createfood:blocks/apple_cheesecake | minecraft:block | createfood:apple_cheesecake createfood:apple_cheesecake_slice createfood:blocks/apple_cheesecake minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/chocolate_bottle_block | minecraft:block | createfood:blocks/chocolate_bottle_block createfood:chocolate_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_cake_base | minecraft:block | createfood:blocks/chocolate_cake_base createfood:chocolate_cake_base minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_cake_base_plate_block | minecraft:block | createfood:blocks/chocolate_cake_base_plate_block createfood:chocolate_cake_base_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_chip_chocolate_cookie_plate_block | minecraft:block | createfood:blocks/chocolate_chip_chocolate_cookie_plate_block createfood:chocolate_chip_chocolate_cookie createfood:chocolate_chip_chocolate_cookie_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_chip_chocolate_milkshake_bottle_block | minecraft:block | createfood:blocks/chocolate_chip_chocolate_milkshake_bottle_block createfood:chocolate_chip_chocolate_milkshake_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_chip_ice_cream_cone_plate_block | minecraft:block | createfood:blocks/chocolate_chip_ice_cream_cone_plate_block createfood:chocolate_chip_ice_cream_cone createfood:chocolate_chip_ice_cream_cone_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_chip_milkshake_bottle_block | minecraft:block | createfood:blocks/chocolate_chip_milkshake_bottle_block createfood:chocolate_chip_milkshake_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_chip_mini_waffle_plate_block | minecraft:block | createfood:blocks/chocolate_chip_mini_waffle_plate_block createfood:chocolate_chip_mini_waffle createfood:chocolate_chip_mini_waffle_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_chip_muffin_plate_block | minecraft:block | createfood:blocks/chocolate_chip_muffin_plate_block createfood:chocolate_chip_muffin createfood:chocolate_chip_muffin_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_chip_waffle | minecraft:block | createfood:blocks/chocolate_chip_waffle createfood:chocolate_chip_mini_waffle createfood:chocolate_chip_waffle minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/chocolate_chip_waffle_plate_block | minecraft:block | createfood:blocks/chocolate_chip_waffle_plate_block createfood:chocolate_chip_waffle_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_chocolate_pastry_plate_block | minecraft:block | createfood:blocks/chocolate_chocolate_pastry_plate_block createfood:chocolate_chocolate_pastry createfood:chocolate_chocolate_pastry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_cream_cake | minecraft:block | createfood:blocks/chocolate_cream_cake createfood:chocolate_cream_cake createfood:chocolate_cream_cake_slice minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/chocolate_cream_cake_butterscotch | minecraft:block | createfood:blocks/chocolate_cream_cake_butterscotch createfood:chocolate_cream_cake_butterscotch createfood:chocolate_cream_cake_slice_butterscotch minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/chocolate_cream_cake_butterscotch_plate_block | minecraft:block | createfood:blocks/chocolate_cream_cake_butterscotch_plate_block createfood:chocolate_cream_cake_butterscotch_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_cream_cake_caramel | minecraft:block | createfood:blocks/chocolate_cream_cake_caramel createfood:chocolate_cream_cake_caramel createfood:chocolate_cream_cake_slice_caramel minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/chocolate_cream_cake_caramel_plate_block | minecraft:block | createfood:blocks/chocolate_cream_cake_caramel_plate_block createfood:chocolate_cream_cake_caramel_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_cream_cake_chocolate | minecraft:block | createfood:blocks/chocolate_cream_cake_chocolate createfood:chocolate_cream_cake_chocolate createfood:chocolate_cream_cake_slice_chocolate minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/chocolate_cream_cake_chocolate_plate_block | minecraft:block | createfood:blocks/chocolate_cream_cake_chocolate_plate_block createfood:chocolate_cream_cake_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_cream_cake_dark_chocolate | minecraft:block | createfood:blocks/chocolate_cream_cake_dark_chocolate createfood:chocolate_cream_cake_dark_chocolate createfood:chocolate_cream_cake_slice_dark_chocolate minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/chocolate_cream_cake_dark_chocolate_plate_block | minecraft:block | createfood:blocks/chocolate_cream_cake_dark_chocolate_plate_block createfood:chocolate_cream_cake_dark_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_cream_cake_plate_block | minecraft:block | createfood:blocks/chocolate_cream_cake_plate_block createfood:chocolate_cream_cake_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_cream_cake_slice_butterscotch_small_plate_block | minecraft:block | createfood:blocks/chocolate_cream_cake_slice_butterscotch_small_plate_block createfood:chocolate_cream_cake_slice_butterscotch_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_cream_cake_slice_caramel_small_plate_block | minecraft:block | createfood:blocks/chocolate_cream_cake_slice_caramel_small_plate_block createfood:chocolate_cream_cake_slice_caramel_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_cream_cake_slice_chocolate_small_plate_block | minecraft:block | createfood:blocks/chocolate_cream_cake_slice_chocolate_small_plate_block createfood:chocolate_cream_cake_slice_chocolate_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_cream_cake_slice_dark_chocolate_small_plate_block | minecraft:block | createfood:blocks/chocolate_cream_cake_slice_dark_chocolate_small_plate_block createfood:chocolate_cream_cake_slice_dark_chocolate_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_cream_cake_slice_small_plate_block | minecraft:block | createfood:blocks/chocolate_cream_cake_slice_small_plate_block createfood:chocolate_cream_cake_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_cream_cake_slice_toffee_small_plate_block | minecraft:block | createfood:blocks/chocolate_cream_cake_slice_toffee_small_plate_block createfood:chocolate_cream_cake_slice_toffee_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_cream_cake_slice_white_chocolate_small_plate_block | minecraft:block | createfood:blocks/chocolate_cream_cake_slice_white_chocolate_small_plate_block createfood:chocolate_cream_cake_slice_white_chocolate_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_cream_cake_toffee | minecraft:block | createfood:blocks/chocolate_cream_cake_toffee createfood:chocolate_cream_cake_slice_toffee createfood:chocolate_cream_cake_toffee minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/chocolate_cream_cake_toffee_plate_block | minecraft:block | createfood:blocks/chocolate_cream_cake_toffee_plate_block createfood:chocolate_cream_cake_toffee_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_cream_cake_white_chocolate | minecraft:block | createfood:blocks/chocolate_cream_cake_white_chocolate createfood:chocolate_cream_cake_slice_white_chocolate createfood:chocolate_cream_cake_white_chocolate minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/chocolate_cream_cake_white_chocolate_plate_block | minecraft:block | createfood:blocks/chocolate_cream_cake_white_chocolate_plate_block createfood:chocolate_cream_cake_white_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_cream_chocolate_cake | minecraft:block | createfood:blocks/chocolate_cream_chocolate_cake createfood:chocolate_cream_chocolate_cake createfood:chocolate_cream_chocolate_cake_slice minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/chocolate_cream_chocolate_cake_plate_block | minecraft:block | createfood:blocks/chocolate_cream_chocolate_cake_plate_block createfood:chocolate_cream_chocolate_cake_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_cream_chocolate_cake_slice_small_plate_block | minecraft:block | createfood:blocks/chocolate_cream_chocolate_cake_slice_small_plate_block createfood:chocolate_cream_chocolate_cake_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_cream_chocolate_cupcake_plate_block | minecraft:block | createfood:blocks/chocolate_cream_chocolate_cupcake_plate_block createfood:chocolate_cream_chocolate_cupcake createfood:chocolate_cream_chocolate_cupcake_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_cream_chocolate_donut_plate_block | minecraft:block | createfood:blocks/chocolate_cream_chocolate_donut_plate_block createfood:chocolate_cream_chocolate_donut createfood:chocolate_cream_chocolate_donut_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_cream_chocolate_sweet_roll_plate_block | minecraft:block | createfood:blocks/chocolate_cream_chocolate_sweet_roll_plate_block createfood:chocolate_cream_chocolate_sweet_roll createfood:chocolate_cream_chocolate_sweet_roll_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_cream_cupcake_plate_block | minecraft:block | createfood:blocks/chocolate_cream_cupcake_plate_block createfood:chocolate_cream_cupcake createfood:chocolate_cream_cupcake_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_cream_donut_plate_block | minecraft:block | createfood:blocks/chocolate_cream_donut_plate_block createfood:chocolate_cream_donut createfood:chocolate_cream_donut_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_cream_frosting_bottle_block | minecraft:block | createfood:blocks/chocolate_cream_frosting_bottle_block createfood:chocolate_cream_frosting_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_cream_mini_waffle_plate_block | minecraft:block | createfood:blocks/chocolate_cream_mini_waffle_plate_block createfood:chocolate_cream_mini_waffle_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_cream_sweet_roll_plate_block | minecraft:block | createfood:blocks/chocolate_cream_sweet_roll_plate_block createfood:chocolate_cream_sweet_roll createfood:chocolate_cream_sweet_roll_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_cupcake_base_plate_block | minecraft:block | createfood:blocks/chocolate_cupcake_base_plate_block createfood:chocolate_cupcake_base createfood:chocolate_cupcake_base_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_custard_bottle_block | minecraft:block | createfood:blocks/chocolate_custard_bottle_block createfood:chocolate_custard_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_donut_base_plate_block | minecraft:block | createfood:blocks/chocolate_donut_base_plate_block createfood:chocolate_donut_base createfood:chocolate_donut_base_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_donut_sugar_plate_block | minecraft:block | createfood:blocks/chocolate_donut_sugar_plate_block createfood:chocolate_donut_sugar createfood:chocolate_donut_sugar_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_fudge_plate_block | minecraft:block | createfood:blocks/chocolate_fudge_plate_block createfood:chocolate_fudge createfood:chocolate_fudge_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_ice_cream_bowl_block | minecraft:block | createfood:blocks/chocolate_ice_cream_bowl_block createfood:chocolate_ice_cream_bowl_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_ice_cream_cone_plate_block | minecraft:block | createfood:blocks/chocolate_ice_cream_cone_plate_block createfood:chocolate_ice_cream_cone createfood:chocolate_ice_cream_cone_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_ice_cream_sandwich_plate_block | minecraft:block | createfood:blocks/chocolate_ice_cream_sandwich_plate_block createfood:chocolate_ice_cream_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_ice_cream_stick_plate_block | minecraft:block | createfood:blocks/chocolate_ice_cream_stick_plate_block createfood:chocolate_ice_cream_stick createfood:chocolate_ice_cream_stick_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_marshmallow_stick_plate_block | minecraft:block | createfood:blocks/chocolate_marshmallow_stick_plate_block createfood:chocolate_marshmallow_stick createfood:chocolate_marshmallow_stick_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_milk_bottle_block | minecraft:block | createfood:blocks/chocolate_milk_bottle_block createfood:chocolate_milk_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_milkshake_bottle_block | minecraft:block | createfood:blocks/chocolate_milkshake_bottle_block createfood:chocolate_milkshake_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_pastry_base_plate_block | minecraft:block | createfood:blocks/chocolate_pastry_base_plate_block createfood:chocolate_pastry_base createfood:chocolate_pastry_base_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_pastry_plate_block | minecraft:block | createfood:blocks/chocolate_pastry_plate_block createfood:chocolate_pastry createfood:chocolate_pastry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_pie_graham_cracker | minecraft:block | createfood:blocks/chocolate_pie_graham_cracker createfood:chocolate_pie_graham_cracker createfood:chocolate_pie_graham_cracker_slice minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/chocolate_pie_graham_cracker_plate_block | minecraft:block | createfood:blocks/chocolate_pie_graham_cracker_plate_block createfood:chocolate_pie_graham_cracker_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_pie_graham_cracker_slice_small_plate_block | minecraft:block | createfood:blocks/chocolate_pie_graham_cracker_slice_small_plate_block createfood:chocolate_pie_graham_cracker_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chocolate_sweet_roll_base_plate_block | minecraft:block | createfood:blocks/chocolate_sweet_roll_base_plate_block createfood:chocolate_sweet_roll_base createfood:chocolate_sweet_roll_base_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chocolate_toast_plate_block | minecraft:block | createfood:blocks/chocolate_toast_plate_block createfood:chocolate_toast_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cheesecake | minecraft:block | createfood:blocks/chorus_fruit_cheesecake createfood:chorus_fruit_cheesecake createfood:chorus_fruit_cheesecake_slice minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/chorus_fruit_cheesecake_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cheesecake_plate_block createfood:chorus_fruit_cheesecake_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cheesecake_slice_small_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cheesecake_slice_small_plate_block createfood:chorus_fruit_cheesecake_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chorus_fruit_cookie_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cookie_plate_block createfood:chorus_fruit_cookie createfood:chorus_fruit_cookie_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_cake | minecraft:block | createfood:blocks/chorus_fruit_cream_cake createfood:chorus_fruit_cream_cake createfood:chorus_fruit_cream_cake_slice minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/chorus_fruit_cream_cake_chorus_fruit | minecraft:block | createfood:blocks/chorus_fruit_cream_cake_chorus_fruit createfood:chorus_fruit_cream_cake_chorus_fruit createfood:chorus_fruit_cream_cake_slice_chorus_fruit minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/chorus_fruit_cream_cake_chorus_fruit_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_cake_chorus_fruit_plate_block createfood:chorus_fruit_cream_cake_chorus_fruit_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_cake_glow_berry | minecraft:block | createfood:blocks/chorus_fruit_cream_cake_glow_berry createfood:chorus_fruit_cream_cake_glow_berry createfood:chorus_fruit_cream_cake_slice_glow_berry minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/chorus_fruit_cream_cake_glow_berry_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_cake_glow_berry_plate_block createfood:chorus_fruit_cream_cake_glow_berry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_cake_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_cake_plate_block createfood:chorus_fruit_cream_cake_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_cake_slice_chorus_fruit_small_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_cake_slice_chorus_fruit_small_plate_block createfood:chorus_fruit_cream_cake_slice_chorus_fruit_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chorus_fruit_cream_cake_slice_glow_berry_small_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_cake_slice_glow_berry_small_plate_block createfood:chorus_fruit_cream_cake_slice_glow_berry_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chorus_fruit_cream_cake_slice_small_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_cake_slice_small_plate_block createfood:chorus_fruit_cream_cake_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chorus_fruit_cream_cake_slice_sweet_berry_small_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_cake_slice_sweet_berry_small_plate_block createfood:chorus_fruit_cream_cake_slice_sweet_berry_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chorus_fruit_cream_cake_sweet_berry | minecraft:block | createfood:blocks/chorus_fruit_cream_cake_sweet_berry createfood:chorus_fruit_cream_cake_slice_sweet_berry createfood:chorus_fruit_cream_cake_sweet_berry minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/chorus_fruit_cream_cake_sweet_berry_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_cake_sweet_berry_plate_block createfood:chorus_fruit_cream_cake_sweet_berry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_chocolate_cupcake_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_chocolate_cupcake_plate_block createfood:chorus_fruit_cream_chocolate_cupcake createfood:chorus_fruit_cream_chocolate_cupcake_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_chocolate_donut_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_chocolate_donut_plate_block createfood:chorus_fruit_cream_chocolate_donut createfood:chorus_fruit_cream_chocolate_donut_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_chocolate_pastry_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_chocolate_pastry_plate_block createfood:chorus_fruit_cream_chocolate_pastry createfood:chorus_fruit_cream_chocolate_pastry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_chocolate_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_chocolate_plate_block createfood:chorus_fruit_cream_chocolate createfood:chorus_fruit_cream_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_chocolate_sweet_roll_chorus_fruit_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_chocolate_sweet_roll_chorus_fruit_plate_block createfood:chorus_fruit_cream_chocolate_sweet_roll_chorus_fruit createfood:chorus_fruit_cream_chocolate_sweet_roll_chorus_fruit_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_chocolate_sweet_roll_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_chocolate_sweet_roll_plate_block createfood:chorus_fruit_cream_chocolate_sweet_roll createfood:chorus_fruit_cream_chocolate_sweet_roll_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_cupcake_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_cupcake_plate_block createfood:chorus_fruit_cream_cupcake createfood:chorus_fruit_cream_cupcake_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_dark_chocolate_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_dark_chocolate_plate_block createfood:chorus_fruit_cream_dark_chocolate createfood:chorus_fruit_cream_dark_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_donut_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_donut_plate_block createfood:chorus_fruit_cream_donut createfood:chorus_fruit_cream_donut_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_frosting_bottle_block | minecraft:block | createfood:blocks/chorus_fruit_cream_frosting_bottle_block createfood:chorus_fruit_cream_frosting_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chorus_fruit_cream_mini_waffle_chorus_fruit_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_mini_waffle_chorus_fruit_plate_block createfood:chorus_fruit_cream_mini_waffle_chorus_fruit_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_mini_waffle_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_mini_waffle_plate_block createfood:chorus_fruit_cream_mini_waffle_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_pastry_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_pastry_plate_block createfood:chorus_fruit_cream_pastry createfood:chorus_fruit_cream_pastry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_sweet_roll_chorus_fruit_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_sweet_roll_chorus_fruit_plate_block createfood:chorus_fruit_cream_sweet_roll_chorus_fruit createfood:chorus_fruit_cream_sweet_roll_chorus_fruit_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_sweet_roll_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_sweet_roll_plate_block createfood:chorus_fruit_cream_sweet_roll createfood:chorus_fruit_cream_sweet_roll_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_cream_white_chocolate_plate_block | minecraft:block | createfood:blocks/chorus_fruit_cream_white_chocolate_plate_block createfood:chorus_fruit_cream_white_chocolate createfood:chorus_fruit_cream_white_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_custard_bottle_block | minecraft:block | createfood:blocks/chorus_fruit_custard_bottle_block createfood:chorus_fruit_custard_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chorus_fruit_ice_cream_bowl_block | minecraft:block | createfood:blocks/chorus_fruit_ice_cream_bowl_block createfood:chorus_fruit_ice_cream_bowl_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chorus_fruit_ice_cream_cone_plate_block | minecraft:block | createfood:blocks/chorus_fruit_ice_cream_cone_plate_block createfood:chorus_fruit_ice_cream_cone createfood:chorus_fruit_ice_cream_cone_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_ice_cream_sandwich_plate_block | minecraft:block | createfood:blocks/chorus_fruit_ice_cream_sandwich_plate_block createfood:chorus_fruit_ice_cream_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_ice_cream_stick_plate_block | minecraft:block | createfood:blocks/chorus_fruit_ice_cream_stick_plate_block createfood:chorus_fruit_ice_cream_stick createfood:chorus_fruit_ice_cream_stick_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_jam_bottle_block | minecraft:block | createfood:blocks/chorus_fruit_jam_bottle_block createfood:chorus_fruit_jam_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chorus_fruit_jam_sandwich_plate_block | minecraft:block | createfood:blocks/chorus_fruit_jam_sandwich_plate_block createfood:chorus_fruit_jam_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/chorus_fruit_juice_bottle_block | minecraft:block | createfood:blocks/chorus_fruit_juice_bottle_block createfood:chorus_fruit_juice_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/chorus_fruit_milkshake_bottle_block | minecraft:block | createfood:blocks/chorus_fruit_milkshake_bottle_block createfood:chorus_fruit_milkshake_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
