quark:blocks/acacia_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch quark:acacia_bookshelf quark:blocks/acacia_bookshelf
quark:blocks/chiseled_soul_sandstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/chiseled_soul_sandstone quark:chiseled_soul_sandstone
quark:blocks/chorus_fruit_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/chorus_fruit_block quark:chorus_fruit_block
quark:blocks/chorus_twist | minecraft:block | minecraft:block minecraft:item minecraft:match_tool quark:blocks/chorus_twist quark:chorus_twist
quark:blocks/chorus_weeds | minecraft:block | minecraft:block minecraft:item minecraft:match_tool quark:blocks/chorus_weeds quark:chorus_weeds
quark:blocks/chute | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/chute quark:chute
quark:blocks/cloud | minecraft:block | minecraft:block quark:blocks/cloud
quark:blocks/cobbled_deepslate_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/cobbled_deepslate_vertical_slab quark:cobbled_deepslate_vertical_slab
quark:blocks/cobblestone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/cobblestone_bricks quark:cobblestone_bricks
quark:blocks/cobblestone_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/cobblestone_bricks_slab quark:cobblestone_bricks_slab
quark:blocks/cobblestone_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/cobblestone_bricks_stairs quark:cobblestone_bricks_stairs
quark:blocks/cobblestone_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/cobblestone_bricks_vertical_slab quark:cobblestone_bricks_vertical_slab
quark:blocks/cobblestone_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/cobblestone_bricks_wall quark:cobblestone_bricks_wall
quark:blocks/cobblestone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/cobblestone_vertical_slab quark:cobblestone_vertical_slab
quark:blocks/cocoa_beans_sack | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/cocoa_beans_sack quark:cocoa_beans_sack
quark:blocks/crate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/crate quark:crate
quark:blocks/crimson_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch quark:blocks/crimson_bookshelf quark:crimson_bookshelf
quark:blocks/crimson_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/crimson_chest quark:crimson_chest
quark:blocks/crimson_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/crimson_ladder quark:crimson_ladder
quark:blocks/crimson_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/crimson_post quark:crimson_post
quark:blocks/crimson_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/crimson_vertical_slab quark:crimson_vertical_slab
quark:blocks/cut_copper_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/cut_copper_vertical_slab quark:cut_copper_vertical_slab
quark:blocks/cut_red_sandstone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/cut_red_sandstone_vertical_slab quark:cut_red_sandstone_vertical_slab
quark:blocks/cut_sandstone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/cut_sandstone_vertical_slab quark:cut_sandstone_vertical_slab
quark:blocks/cut_soul_sandstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/cut_soul_sandstone quark:cut_soul_sandstone
quark:blocks/cut_soul_sandstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/cut_soul_sandstone_slab quark:cut_soul_sandstone_slab
quark:blocks/cut_soul_sandstone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/cut_soul_sandstone_vertical_slab quark:cut_soul_sandstone_vertical_slab
quark:blocks/cut_vine | minecraft:block | minecraft:block quark:blocks/cut_vine
quark:blocks/cyan_framed_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/cyan_framed_glass quark:cyan_framed_glass
quark:blocks/cyan_framed_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/cyan_framed_glass_pane quark:cyan_framed_glass_pane
quark:blocks/cyan_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/cyan_shingles quark:cyan_shingles
quark:blocks/cyan_shingles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/cyan_shingles_slab quark:cyan_shingles_slab
quark:blocks/cyan_shingles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/cyan_shingles_stairs quark:cyan_shingles_stairs
quark:blocks/cyan_shingles_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/cyan_shingles_vertical_slab quark:cyan_shingles_vertical_slab
quark:blocks/cyan_stool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/cyan_stool quark:cyan_stool
quark:blocks/dark_oak_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch quark:blocks/dark_oak_bookshelf quark:dark_oak_bookshelf
quark:blocks/dark_oak_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/dark_oak_chest quark:dark_oak_chest
quark:blocks/dark_oak_hedge | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/dark_oak_hedge quark:dark_oak_hedge
quark:blocks/dark_oak_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/dark_oak_ladder quark:dark_oak_ladder
quark:blocks/dark_oak_leaf_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/dark_oak_leaf_carpet quark:dark_oak_leaf_carpet
quark:blocks/dark_oak_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/dark_oak_post quark:dark_oak_post
quark:blocks/dark_oak_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/dark_oak_vertical_slab quark:dark_oak_vertical_slab
quark:blocks/dark_prismarine_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/dark_prismarine_vertical_slab quark:dark_prismarine_vertical_slab
quark:blocks/deepslate_brick_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/deepslate_brick_vertical_slab quark:deepslate_brick_vertical_slab
quark:blocks/deepslate_furnace | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/deepslate_furnace quark:deepslate_furnace
quark:blocks/deepslate_tile_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/deepslate_tile_vertical_slab quark:deepslate_tile_vertical_slab
quark:blocks/diorite_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/diorite_bricks quark:diorite_bricks
quark:blocks/diorite_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/diorite_bricks_slab quark:diorite_bricks_slab
quark:blocks/diorite_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/diorite_bricks_stairs quark:diorite_bricks_stairs
quark:blocks/diorite_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/diorite_bricks_vertical_slab quark:diorite_bricks_vertical_slab
quark:blocks/diorite_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/diorite_bricks_wall quark:diorite_bricks_wall
quark:blocks/diorite_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/diorite_pillar quark:diorite_pillar
quark:blocks/diorite_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/diorite_vertical_slab quark:diorite_vertical_slab
quark:blocks/dirt_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/dirt_bricks quark:dirt_bricks
quark:blocks/dirt_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/dirt_bricks_slab quark:dirt_bricks_slab
quark:blocks/dirt_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/dirt_bricks_stairs quark:dirt_bricks_stairs
quark:blocks/dirt_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/dirt_bricks_vertical_slab quark:dirt_bricks_vertical_slab
quark:blocks/dirt_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/dirt_bricks_wall quark:dirt_bricks_wall
quark:blocks/dirty_glass | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:blocks/dirty_glass quark:dirty_glass quark:dirty_shard
quark:blocks/dirty_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch quark:blocks/dirty_glass_pane quark:dirty_glass_pane
quark:blocks/dripstone_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/dripstone_block_slab quark:dripstone_block_slab
quark:blocks/dripstone_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/dripstone_block_stairs quark:dripstone_block_stairs
quark:blocks/dripstone_block_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/dripstone_block_vertical_slab quark:dripstone_block_vertical_slab
quark:blocks/dripstone_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/dripstone_block_wall quark:dripstone_block_wall
quark:blocks/dripstone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/dripstone_bricks quark:dripstone_bricks
quark:blocks/dripstone_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/dripstone_bricks_slab quark:dripstone_bricks_slab
quark:blocks/dripstone_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/dripstone_bricks_stairs quark:dripstone_bricks_stairs
quark:blocks/dripstone_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/dripstone_bricks_vertical_slab quark:dripstone_bricks_vertical_slab
quark:blocks/dripstone_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/dripstone_bricks_wall quark:dripstone_bricks_wall
quark:blocks/dripstone_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/dripstone_pillar quark:dripstone_pillar
quark:blocks/duskbound_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/duskbound_block quark:duskbound_block
quark:blocks/duskbound_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/duskbound_block_slab quark:duskbound_block_slab
quark:blocks/duskbound_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/duskbound_block_stairs quark:duskbound_block_stairs
quark:blocks/duskbound_block_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/duskbound_block_vertical_slab quark:duskbound_block_vertical_slab
quark:blocks/duskbound_lantern | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/duskbound_lantern quark:duskbound_lantern
quark:blocks/dusky_myalite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/dusky_myalite quark:dusky_myalite
quark:blocks/encased_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/encased_pipe quark:encased_pipe
quark:blocks/end_stone_brick_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/end_stone_brick_vertical_slab quark:end_stone_brick_vertical_slab
quark:blocks/ender_watcher | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/ender_watcher quark:ender_watcher
quark:blocks/exposed_cut_copper_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/exposed_cut_copper_vertical_slab quark:exposed_cut_copper_vertical_slab
quark:blocks/feeding_trough | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/feeding_trough quark:feeding_trough
quark:blocks/flowering_azalea_hedge | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/flowering_azalea_hedge quark:flowering_azalea_hedge
quark:blocks/flowering_azalea_leaf_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/flowering_azalea_leaf_carpet quark:flowering_azalea_leaf_carpet
quark:blocks/framed_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/framed_glass quark:framed_glass
quark:blocks/framed_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/framed_glass_pane quark:framed_glass_pane
quark:blocks/glow_lichen_growth | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/glow_lichen_growth quark:glow_lichen_growth
quark:blocks/glow_shroom | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/glow_shroom quark:glow_shroom
quark:blocks/glow_shroom_block | minecraft:block | minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform quark:blocks/glow_shroom_block quark:glow_shroom quark:glow_shroom_block
quark:blocks/glow_shroom_ring | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/glow_shroom_ring quark:glow_shroom_ring
quark:blocks/glow_shroom_stem | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch quark:blocks/glow_shroom_stem quark:glow_shroom_stem
quark:blocks/glowberry_sack | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/glowberry_sack quark:glowberry_sack
quark:blocks/gold_bars | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/gold_bars quark:gold_bars
quark:blocks/gold_button | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/gold_button quark:gold_button
quark:blocks/golden_apple_crate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/golden_apple_crate quark:golden_apple_crate
quark:blocks/golden_carrot_crate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/golden_carrot_crate quark:golden_carrot_crate
quark:blocks/granite_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/granite_bricks quark:granite_bricks
quark:blocks/granite_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/granite_bricks_slab quark:granite_bricks_slab
quark:blocks/granite_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/granite_bricks_stairs quark:granite_bricks_stairs
quark:blocks/granite_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/granite_bricks_vertical_slab quark:granite_bricks_vertical_slab
quark:blocks/granite_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/granite_bricks_wall quark:granite_bricks_wall
quark:blocks/granite_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/granite_pillar quark:granite_pillar
quark:blocks/granite_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/granite_vertical_slab quark:granite_vertical_slab
quark:blocks/grate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/grate quark:grate
quark:blocks/gravisand | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/gravisand quark:gravisand
quark:blocks/gray_framed_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/gray_framed_glass quark:gray_framed_glass
quark:blocks/gray_framed_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/gray_framed_glass_pane quark:gray_framed_glass_pane
quark:blocks/gray_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/gray_shingles quark:gray_shingles
quark:blocks/gray_shingles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/gray_shingles_slab quark:gray_shingles_slab
quark:blocks/gray_shingles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/gray_shingles_stairs quark:gray_shingles_stairs
quark:blocks/gray_shingles_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/gray_shingles_vertical_slab quark:gray_shingles_vertical_slab
quark:blocks/gray_stool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/gray_stool quark:gray_stool
quark:blocks/green_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/green_corundum quark:green_corundum
quark:blocks/green_corundum_cluster | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/green_corundum_cluster quark:green_corundum_cluster
quark:blocks/green_corundum_pane | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch quark:blocks/green_corundum_pane quark:green_corundum_pane
quark:blocks/green_crystal_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/green_crystal_lamp quark:green_crystal_lamp
quark:blocks/green_framed_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/green_framed_glass quark:green_framed_glass
quark:blocks/green_framed_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/green_framed_glass_pane quark:green_framed_glass_pane
quark:blocks/green_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/green_shingles quark:green_shingles
quark:blocks/green_shingles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/green_shingles_slab quark:green_shingles_slab
quark:blocks/green_shingles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/green_shingles_stairs quark:green_shingles_stairs
quark:blocks/green_shingles_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/green_shingles_vertical_slab quark:green_shingles_vertical_slab
quark:blocks/green_stool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/green_stool quark:green_stool
quark:blocks/gunpowder_sack | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/gunpowder_sack quark:gunpowder_sack
quark:blocks/hollow_acacia_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/hollow_acacia_log quark:hollow_acacia_log
quark:blocks/hollow_ancient_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/hollow_ancient_log quark:hollow_ancient_log
quark:blocks/hollow_azalea_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/hollow_azalea_log quark:hollow_azalea_log
quark:blocks/hollow_birch_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/hollow_birch_log quark:hollow_birch_log
quark:blocks/hollow_blossom_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/hollow_blossom_log quark:hollow_blossom_log
quark:blocks/hollow_cherry_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/hollow_cherry_log quark:hollow_cherry_log
quark:blocks/hollow_crimson_stem | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/hollow_crimson_stem quark:hollow_crimson_stem
quark:blocks/hollow_dark_oak_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/hollow_dark_oak_log quark:hollow_dark_oak_log
quark:blocks/hollow_jungle_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/hollow_jungle_log quark:hollow_jungle_log
quark:blocks/hollow_mangrove_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/hollow_mangrove_log quark:hollow_mangrove_log
quark:blocks/hollow_oak_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/hollow_oak_log quark:hollow_oak_log
quark:blocks/hollow_spruce_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/hollow_spruce_log quark:hollow_spruce_log
quark:blocks/hollow_warped_stem | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/hollow_warped_stem quark:hollow_warped_stem
quark:blocks/indigo_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/indigo_corundum quark:indigo_corundum
quark:blocks/indigo_corundum_cluster | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/indigo_corundum_cluster quark:indigo_corundum_cluster
quark:blocks/indigo_corundum_pane | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch quark:blocks/indigo_corundum_pane quark:indigo_corundum_pane
quark:blocks/indigo_crystal_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/indigo_crystal_lamp quark:indigo_crystal_lamp
quark:blocks/iron_button | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/iron_button quark:iron_button
quark:blocks/iron_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/iron_ladder quark:iron_ladder
quark:blocks/iron_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/iron_pillar quark:iron_pillar
quark:blocks/iron_plate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/iron_plate quark:iron_plate
quark:blocks/iron_plate_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/iron_plate_slab quark:iron_plate_slab
quark:blocks/iron_plate_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/iron_plate_stairs quark:iron_plate_stairs
quark:blocks/iron_plate_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/iron_plate_vertical_slab quark:iron_plate_vertical_slab
quark:blocks/iron_rod | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/iron_rod quark:iron_rod
quark:blocks/jasper | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/jasper quark:jasper
quark:blocks/jasper_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/jasper_bricks quark:jasper_bricks
quark:blocks/jasper_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/jasper_bricks_slab quark:jasper_bricks_slab
quark:blocks/jasper_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/jasper_bricks_stairs quark:jasper_bricks_stairs
quark:blocks/jasper_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/jasper_bricks_vertical_slab quark:jasper_bricks_vertical_slab
quark:blocks/jasper_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/jasper_bricks_wall quark:jasper_bricks_wall
quark:blocks/jasper_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/jasper_pillar quark:jasper_pillar
quark:blocks/jasper_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/jasper_slab quark:jasper_slab
quark:blocks/jasper_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/jasper_stairs quark:jasper_stairs
quark:blocks/jasper_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/jasper_vertical_slab quark:jasper_vertical_slab
quark:blocks/jasper_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/jasper_wall quark:jasper_wall
quark:blocks/jungle_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch quark:blocks/jungle_bookshelf quark:jungle_bookshelf
quark:blocks/jungle_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/jungle_chest quark:jungle_chest
quark:blocks/jungle_hedge | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/jungle_hedge quark:jungle_hedge
quark:blocks/jungle_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/jungle_ladder quark:jungle_ladder
quark:blocks/jungle_leaf_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/jungle_leaf_carpet quark:jungle_leaf_carpet
quark:blocks/jungle_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/jungle_post quark:jungle_post
quark:blocks/jungle_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/jungle_vertical_slab quark:jungle_vertical_slab
quark:blocks/lavender_blossom_hedge | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/lavender_blossom_hedge quark:lavender_blossom_hedge
quark:blocks/lavender_blossom_leaf_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/lavender_blossom_leaf_carpet quark:lavender_blossom_leaf_carpet
