irons_spellbooks:blocks/alchemist_cauldron | minecraft:block | irons_spellbooks:alchemist_cauldron minecraft:block minecraft:item
irons_spellbooks:entities/priest | minecraft:entity | irons_spellbooks:arcane_essence irons_spellbooks:holy irons_spellbooks:magic_items/good_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:loot_table minecraft:looting minecraft:set_count minecraft:uniform
irons_spellbooks:entities/pyromancer | minecraft:entity | irons_spellbooks:arcane_essence irons_spellbooks:fire irons_spellbooks:magic_items/good_ink irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:loot_table minecraft:looting minecraft:set_count minecraft:uniform
irons_spellbooks:magic_items/all_focuses | ? | irons_spellbooks:lootable_focus minecraft:tag
irons_spellbooks:magic_items/basic_curios | ? | irons_spellbooks:affinity_ring irons_spellbooks:cast_time_ring irons_spellbooks:concentration_amulet irons_spellbooks:conjurers_talisman irons_spellbooks:cooldown_ring irons_spellbooks:emerald_stoneplate_ring irons_spellbooks:fireward_ring irons_spellbooks:frostward_ring irons_spellbooks:heavy_chain_necklace irons_spellbooks:invisibility_ring irons_spellbooks:poisonward_ring irons_spellbooks:randomize_ring_enhancement irons_spellbooks:silver_ring irons_spellbooks:teleportation_amulet minecraft:item
irons_spellbooks:magic_items/decent_ink | ? | irons_spellbooks:common_ink irons_spellbooks:epic_ink irons_spellbooks:rare_ink irons_spellbooks:uncommon_ink minecraft:item
irons_spellbooks:magic_items/good_ink | ? | irons_spellbooks:common_ink irons_spellbooks:epic_ink irons_spellbooks:rare_ink irons_spellbooks:uncommon_ink minecraft:item
irons_spellbooks:magic_items/great_ink | ? | irons_spellbooks:epic_ink irons_spellbooks:legendary_ink irons_spellbooks:rare_ink irons_spellbooks:uncommon_ink minecraft:item
irons_spellbooks:magic_items/poor_ink | ? | irons_spellbooks:common_ink irons_spellbooks:rare_ink irons_spellbooks:uncommon_ink minecraft:item
irons_spellbooks:magic_items/random_elixir | ? | irons_spellbooks:evasion_elixir irons_spellbooks:greater_evasion_elixir irons_spellbooks:greater_healing_potion irons_spellbooks:greater_invisibility_elixir irons_spellbooks:greater_oakskin_elixir irons_spellbooks:invisibility_elixir irons_spellbooks:oakskin_elixir minecraft:item
irons_spellbooks:magic_items/random_potion | ? | irons_spellbooks:instant_mana_one irons_spellbooks:instant_mana_two minecraft:fire_resistance minecraft:healing minecraft:item minecraft:leaping minecraft:long_swiftness minecraft:potion minecraft:regeneration minecraft:set_potion minecraft:strength minecraft:strong_healing minecraft:swiftness minecraft:weakness
irons_spellbooks:magic_items/random_potion_or_elixir | ? | irons_spellbooks:magic_items/random_elixir irons_spellbooks:magic_items/random_potion minecraft:loot_table
irons_spellbooks:magic_items/reward_ink | ? | irons_spellbooks:epic_ink irons_spellbooks:legendary_ink irons_spellbooks:rare_ink minecraft:item
irons_spellbooks:magic_items/scroll_pouch | ? | irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:item
irons_spellbooks:spawners/ancient_battleground/ominous_projectiles | ? | minecraft:fire_charge minecraft:item
irons_spellbooks:spawners/catacombs/ominous_zombie_spawner | ? | irons_spellbooks:arcane_essence irons_spellbooks:blank_rune irons_spellbooks:instant_mana_three irons_spellbooks:instant_mana_two irons_spellbooks:magic_items/good_ink irons_spellbooks:magic_items/random_potion_or_elixir irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:bone minecraft:diamond minecraft:emerald minecraft:empty minecraft:gold_ingot minecraft:healing minecraft:item minecraft:loot_table minecraft:potion minecraft:set_count minecraft:set_potion minecraft:tipped_arrow
irons_spellbooks:spawners/catacombs/regular_zombie_spawner | ? | irons_spellbooks:arcane_essence irons_spellbooks:instant_mana_one irons_spellbooks:instant_mana_two irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:bone minecraft:diamond minecraft:emerald minecraft:empty minecraft:gold_ingot minecraft:healing minecraft:item minecraft:potion minecraft:set_count minecraft:set_potion minecraft:tipped_arrow
irons_spellbooks:test/ring_gen | ? | irons_spellbooks:affinity_ring irons_spellbooks:randomize_ring_enhancement minecraft:item
irons_spellbooks:test/ring_gen_all_schools | ? | irons_spellbooks:affinity_ring irons_spellbooks:blood irons_spellbooks:ender irons_spellbooks:evocation irons_spellbooks:fire irons_spellbooks:holy irons_spellbooks:ice irons_spellbooks:lightning irons_spellbooks:nature irons_spellbooks:randomize_ring_enhancement minecraft:item
irons_spellbooks:test/ring_gen_break_me | ? | irons_spellbooks:affinity_ring irons_spellbooks:randomize_ring_enhancement minecraft:item
irons_spellbooks:test/scroll_gen | ? | irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:item
irons_spellbooks:test/scroll_gen_fire | ? | irons_spellbooks:fire irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:item
irons_spellbooks:test/scroll_gen_force_eldritch | ? | irons_spellbooks:eldritch irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:item
irons_spellbooks:test/scroll_gen_magic_missile | ? | irons_spellbooks:firebolt irons_spellbooks:magic_missile irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:item
irons_spellbooks:test/scroll_gen_notforce_eldritch | ? | irons_spellbooks:eldritch irons_spellbooks:randomize_spell irons_spellbooks:scroll minecraft:item
