upgrade_aquatic:blocks/acan_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:acan_coral upgrade_aquatic:blocks/acan_coral
upgrade_aquatic:blocks/elder_eye | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/elder_eye upgrade_aquatic:elder_eye
upgrade_aquatic:blocks/elder_prismarine_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/elder_prismarine_coral upgrade_aquatic:elder_prismarine_coral
upgrade_aquatic:blocks/elder_prismarine_coral_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/elder_prismarine_coral_block upgrade_aquatic:elder_prismarine_coral_block
upgrade_aquatic:blocks/elder_prismarine_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/elder_prismarine_coral_fan upgrade_aquatic:elder_prismarine_coral_fan
upgrade_aquatic:blocks/elder_prismarine_coral_shower | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/elder_prismarine_coral_shower upgrade_aquatic:elder_prismarine_coral_shower
upgrade_aquatic:blocks/elder_prismarine_coralstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/elder_prismarine_coralstone upgrade_aquatic:elder_prismarine_coralstone
upgrade_aquatic:blocks/elder_prismarine_coralstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count upgrade_aquatic:blocks/elder_prismarine_coralstone_slab upgrade_aquatic:elder_prismarine_coralstone_slab
upgrade_aquatic:blocks/elder_prismarine_coralstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/elder_prismarine_coralstone_stairs upgrade_aquatic:elder_prismarine_coralstone_stairs
upgrade_aquatic:blocks/elder_prismarine_coralstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/elder_prismarine_coralstone_wall upgrade_aquatic:elder_prismarine_coralstone_wall
upgrade_aquatic:blocks/embedded_ammonite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/embedded_ammonite upgrade_aquatic:embedded_ammonite
upgrade_aquatic:blocks/finger_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/finger_coral upgrade_aquatic:finger_coral
upgrade_aquatic:blocks/finger_coral_block | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/finger_coral_block upgrade_aquatic:dead_finger_coral_block upgrade_aquatic:finger_coral_block
upgrade_aquatic:blocks/finger_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/finger_coral_fan upgrade_aquatic:finger_coral_fan
upgrade_aquatic:blocks/finger_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/finger_coralstone upgrade_aquatic:dead_coralstone upgrade_aquatic:finger_coralstone
upgrade_aquatic:blocks/finger_coralstone_slab | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:blocks/finger_coralstone_slab upgrade_aquatic:dead_coralstone_slab upgrade_aquatic:finger_coralstone_slab
upgrade_aquatic:blocks/finger_coralstone_stairs | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/finger_coralstone_stairs upgrade_aquatic:dead_coralstone_stairs upgrade_aquatic:finger_coralstone_stairs
upgrade_aquatic:blocks/finger_coralstone_wall | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/finger_coralstone_wall upgrade_aquatic:dead_coralstone_wall upgrade_aquatic:finger_coralstone_wall
upgrade_aquatic:blocks/fire_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/fire_coralstone upgrade_aquatic:dead_coralstone upgrade_aquatic:fire_coralstone
upgrade_aquatic:blocks/fire_coralstone_slab | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:blocks/fire_coralstone_slab upgrade_aquatic:dead_coralstone_slab upgrade_aquatic:fire_coralstone_slab
upgrade_aquatic:blocks/fire_coralstone_stairs | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/fire_coralstone_stairs upgrade_aquatic:dead_coralstone_stairs upgrade_aquatic:fire_coralstone_stairs
upgrade_aquatic:blocks/fire_coralstone_wall | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/fire_coralstone_wall upgrade_aquatic:dead_coralstone_wall upgrade_aquatic:fire_coralstone_wall
upgrade_aquatic:blocks/flowering_rush | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/flowering_rush upgrade_aquatic:flowering_rush
upgrade_aquatic:blocks/green_jelly_torch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/green_jelly_torch upgrade_aquatic:green_jelly_torch
upgrade_aquatic:blocks/horn_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/horn_coralstone upgrade_aquatic:dead_coralstone upgrade_aquatic:horn_coralstone
upgrade_aquatic:blocks/horn_coralstone_slab | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:blocks/horn_coralstone_slab upgrade_aquatic:dead_coralstone_slab upgrade_aquatic:horn_coralstone_slab
upgrade_aquatic:blocks/horn_coralstone_stairs | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/horn_coralstone_stairs upgrade_aquatic:dead_coralstone_stairs upgrade_aquatic:horn_coralstone_stairs
upgrade_aquatic:blocks/horn_coralstone_wall | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/horn_coralstone_wall upgrade_aquatic:dead_coralstone_wall upgrade_aquatic:horn_coralstone_wall
upgrade_aquatic:blocks/kelp_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/kelp_block upgrade_aquatic:kelp_block
upgrade_aquatic:blocks/kelpy_cobblestone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/kelpy_cobblestone upgrade_aquatic:kelpy_cobblestone
upgrade_aquatic:blocks/kelpy_cobblestone_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count upgrade_aquatic:blocks/kelpy_cobblestone_brick_slab upgrade_aquatic:kelpy_cobblestone_brick_slab
upgrade_aquatic:blocks/kelpy_cobblestone_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/kelpy_cobblestone_brick_stairs upgrade_aquatic:kelpy_cobblestone_brick_stairs
upgrade_aquatic:blocks/kelpy_cobblestone_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/kelpy_cobblestone_brick_wall upgrade_aquatic:kelpy_cobblestone_brick_wall
upgrade_aquatic:blocks/kelpy_cobblestone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/kelpy_cobblestone_bricks upgrade_aquatic:kelpy_cobblestone_bricks
upgrade_aquatic:blocks/kelpy_cobblestone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count upgrade_aquatic:blocks/kelpy_cobblestone_slab upgrade_aquatic:kelpy_cobblestone_slab
upgrade_aquatic:blocks/kelpy_cobblestone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/kelpy_cobblestone_stairs upgrade_aquatic:kelpy_cobblestone_stairs
upgrade_aquatic:blocks/kelpy_cobblestone_tile_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count upgrade_aquatic:blocks/kelpy_cobblestone_tile_slab upgrade_aquatic:kelpy_cobblestone_tile_slab
upgrade_aquatic:blocks/kelpy_cobblestone_tile_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/kelpy_cobblestone_tile_stairs upgrade_aquatic:kelpy_cobblestone_tile_stairs
upgrade_aquatic:blocks/kelpy_cobblestone_tile_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/kelpy_cobblestone_tile_wall upgrade_aquatic:kelpy_cobblestone_tile_wall
upgrade_aquatic:blocks/kelpy_cobblestone_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/kelpy_cobblestone_tiles upgrade_aquatic:kelpy_cobblestone_tiles
upgrade_aquatic:blocks/kelpy_cobblestone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/kelpy_cobblestone_wall upgrade_aquatic:kelpy_cobblestone_wall
upgrade_aquatic:blocks/kelpy_stone_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count upgrade_aquatic:blocks/kelpy_stone_brick_slab upgrade_aquatic:kelpy_stone_brick_slab
upgrade_aquatic:blocks/kelpy_stone_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/kelpy_stone_brick_stairs upgrade_aquatic:kelpy_stone_brick_stairs
upgrade_aquatic:blocks/kelpy_stone_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/kelpy_stone_brick_wall upgrade_aquatic:kelpy_stone_brick_wall
upgrade_aquatic:blocks/kelpy_stone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/kelpy_stone_bricks upgrade_aquatic:kelpy_stone_bricks
upgrade_aquatic:blocks/luminous_prismarine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/luminous_prismarine upgrade_aquatic:luminous_prismarine
upgrade_aquatic:blocks/luminous_prismarine_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count upgrade_aquatic:blocks/luminous_prismarine_slab upgrade_aquatic:luminous_prismarine_slab
upgrade_aquatic:blocks/luminous_prismarine_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/luminous_prismarine_stairs upgrade_aquatic:luminous_prismarine_stairs
upgrade_aquatic:blocks/moss_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/moss_coral upgrade_aquatic:moss_coral
upgrade_aquatic:blocks/moss_coral_block | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/moss_coral_block upgrade_aquatic:dead_moss_coral_block upgrade_aquatic:moss_coral_block
upgrade_aquatic:blocks/moss_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/moss_coral_fan upgrade_aquatic:moss_coral_fan
upgrade_aquatic:blocks/moss_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/moss_coralstone upgrade_aquatic:dead_coralstone upgrade_aquatic:moss_coralstone
upgrade_aquatic:blocks/moss_coralstone_slab | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:blocks/moss_coralstone_slab upgrade_aquatic:dead_coralstone_slab upgrade_aquatic:moss_coralstone_slab
upgrade_aquatic:blocks/moss_coralstone_stairs | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/moss_coralstone_stairs upgrade_aquatic:dead_coralstone_stairs upgrade_aquatic:moss_coralstone_stairs
upgrade_aquatic:blocks/moss_coralstone_wall | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/moss_coralstone_wall upgrade_aquatic:dead_coralstone_wall upgrade_aquatic:moss_coralstone_wall
upgrade_aquatic:blocks/mulberry_jam_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/mulberry_jam_block upgrade_aquatic:mulberry_jam_block
upgrade_aquatic:blocks/mulberry_punnet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/mulberry_punnet upgrade_aquatic:mulberry_punnet
upgrade_aquatic:blocks/mulberry_vine | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count upgrade_aquatic:blocks/mulberry_vine upgrade_aquatic:mulberry upgrade_aquatic:mulberry_vine
upgrade_aquatic:blocks/orange_jelly_torch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/orange_jelly_torch upgrade_aquatic:orange_jelly_torch
upgrade_aquatic:blocks/petal_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/petal_coral upgrade_aquatic:petal_coral
upgrade_aquatic:blocks/petal_coral_block | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/petal_coral_block upgrade_aquatic:dead_petal_coral_block upgrade_aquatic:petal_coral_block
upgrade_aquatic:blocks/petal_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/petal_coral_fan upgrade_aquatic:petal_coral_fan
upgrade_aquatic:blocks/petal_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/petal_coralstone upgrade_aquatic:dead_coralstone upgrade_aquatic:petal_coralstone
upgrade_aquatic:blocks/petal_coralstone_slab | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:blocks/petal_coralstone_slab upgrade_aquatic:dead_coralstone_slab upgrade_aquatic:petal_coralstone_slab
upgrade_aquatic:blocks/petal_coralstone_stairs | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/petal_coralstone_stairs upgrade_aquatic:dead_coralstone_stairs upgrade_aquatic:petal_coralstone_stairs
upgrade_aquatic:blocks/petal_coralstone_wall | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/petal_coralstone_wall upgrade_aquatic:dead_coralstone_wall upgrade_aquatic:petal_coralstone_wall
upgrade_aquatic:blocks/pickerelweed | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/pickerelweed upgrade_aquatic:pickerelweed
upgrade_aquatic:blocks/pickerelweed_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/pickerelweed_block upgrade_aquatic:pickerelweed_block
upgrade_aquatic:blocks/pillow_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/pillow_coral upgrade_aquatic:pillow_coral
upgrade_aquatic:blocks/pillow_coral_block | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/pillow_coral_block upgrade_aquatic:dead_pillow_coral_block upgrade_aquatic:pillow_coral_block
upgrade_aquatic:blocks/pillow_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/pillow_coral_fan upgrade_aquatic:pillow_coral_fan
upgrade_aquatic:blocks/pillow_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/pillow_coralstone upgrade_aquatic:dead_coralstone upgrade_aquatic:pillow_coralstone
upgrade_aquatic:blocks/pillow_coralstone_slab | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:blocks/pillow_coralstone_slab upgrade_aquatic:dead_coralstone_slab upgrade_aquatic:pillow_coralstone_slab
upgrade_aquatic:blocks/pillow_coralstone_stairs | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/pillow_coralstone_stairs upgrade_aquatic:dead_coralstone_stairs upgrade_aquatic:pillow_coralstone_stairs
upgrade_aquatic:blocks/pillow_coralstone_wall | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/pillow_coralstone_wall upgrade_aquatic:dead_coralstone_wall upgrade_aquatic:pillow_coralstone_wall
upgrade_aquatic:blocks/pink_jelly_torch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/pink_jelly_torch upgrade_aquatic:pink_jelly_torch
upgrade_aquatic:blocks/pink_searocket | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/pink_searocket upgrade_aquatic:pink_searocket
upgrade_aquatic:blocks/potted_pickerelweed | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/potted_pickerelweed upgrade_aquatic:pickerelweed
upgrade_aquatic:blocks/potted_pink_searocket | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/potted_pink_searocket upgrade_aquatic:pink_searocket
upgrade_aquatic:blocks/potted_river_sapling | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/potted_river_sapling upgrade_aquatic:river_sapling
upgrade_aquatic:blocks/potted_white_searocket | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/potted_white_searocket upgrade_aquatic:white_searocket
upgrade_aquatic:blocks/prismarine_coral | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:limit_count minecraft:match_tool minecraft:prismarine_shard minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count upgrade_aquatic:blocks/prismarine_coral upgrade_aquatic:prismarine_coral
upgrade_aquatic:blocks/prismarine_coral_block | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:limit_count minecraft:match_tool minecraft:prismarine_shard minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count upgrade_aquatic:blocks/prismarine_coral_block upgrade_aquatic:prismarine_coral_block
upgrade_aquatic:blocks/prismarine_coral_fan | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:limit_count minecraft:match_tool minecraft:prismarine_shard minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count upgrade_aquatic:blocks/prismarine_coral_fan upgrade_aquatic:prismarine_coral_fan
upgrade_aquatic:blocks/prismarine_coral_shower | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:limit_count minecraft:match_tool minecraft:prismarine_shard minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count upgrade_aquatic:blocks/prismarine_coral_shower upgrade_aquatic:prismarine_coral_shower
upgrade_aquatic:blocks/prismarine_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/prismarine_coralstone upgrade_aquatic:elder_prismarine_coralstone upgrade_aquatic:prismarine_coralstone
upgrade_aquatic:blocks/prismarine_coralstone_slab | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:blocks/prismarine_coralstone_slab upgrade_aquatic:elder_prismarine_coralstone_slab upgrade_aquatic:prismarine_coralstone_slab
upgrade_aquatic:blocks/prismarine_coralstone_stairs | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/prismarine_coralstone_stairs upgrade_aquatic:elder_prismarine_coralstone_stairs upgrade_aquatic:prismarine_coralstone_stairs
upgrade_aquatic:blocks/prismarine_coralstone_wall | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/prismarine_coralstone_wall upgrade_aquatic:elder_prismarine_coralstone_wall upgrade_aquatic:prismarine_coralstone_wall
upgrade_aquatic:blocks/prismarine_rod_bundle | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/prismarine_rod_bundle upgrade_aquatic:prismarine_rod_bundle
upgrade_aquatic:blocks/purple_jelly_torch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/purple_jelly_torch upgrade_aquatic:purple_jelly_torch
upgrade_aquatic:blocks/red_jelly_torch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/red_jelly_torch upgrade_aquatic:red_jelly_torch
upgrade_aquatic:blocks/river_beehive | minecraft:block | minecraft:alternatives minecraft:bees minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/river_beehive upgrade_aquatic:river_beehive
upgrade_aquatic:blocks/river_boards | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/river_boards upgrade_aquatic:river_boards
upgrade_aquatic:blocks/river_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:blocks/river_bookshelf upgrade_aquatic:river_bookshelf
upgrade_aquatic:blocks/river_button | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/river_button upgrade_aquatic:river_button
upgrade_aquatic:blocks/river_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/river_chest upgrade_aquatic:river_chest
upgrade_aquatic:blocks/river_door | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/river_door upgrade_aquatic:river_door
upgrade_aquatic:blocks/river_fence | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/river_fence upgrade_aquatic:river_fence
upgrade_aquatic:blocks/river_fence_gate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/river_fence_gate upgrade_aquatic:river_fence_gate
upgrade_aquatic:blocks/river_hanging_sign | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/river_hanging_sign upgrade_aquatic:river_hanging_sign
upgrade_aquatic:blocks/river_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/river_ladder upgrade_aquatic:river_ladder
upgrade_aquatic:blocks/river_leaf_pile | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count upgrade_aquatic:blocks/river_leaf_pile upgrade_aquatic:river_leaf_pile
upgrade_aquatic:blocks/river_leaves | minecraft:block | minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform upgrade_aquatic:blocks/river_leaves upgrade_aquatic:river_leaves upgrade_aquatic:river_sapling
upgrade_aquatic:blocks/river_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/river_log upgrade_aquatic:river_log
upgrade_aquatic:blocks/river_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/river_planks upgrade_aquatic:river_planks
upgrade_aquatic:blocks/river_pressure_plate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/river_pressure_plate upgrade_aquatic:river_pressure_plate
upgrade_aquatic:blocks/river_sapling | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/river_sapling upgrade_aquatic:river_sapling
upgrade_aquatic:blocks/river_sign | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/river_sign upgrade_aquatic:river_sign
upgrade_aquatic:blocks/river_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count upgrade_aquatic:blocks/river_slab upgrade_aquatic:river_slab
upgrade_aquatic:blocks/river_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/river_stairs upgrade_aquatic:river_stairs
upgrade_aquatic:blocks/river_trapdoor | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/river_trapdoor upgrade_aquatic:river_trapdoor
upgrade_aquatic:blocks/river_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/river_wood upgrade_aquatic:river_wood
upgrade_aquatic:blocks/rock_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/rock_coral upgrade_aquatic:rock_coral
upgrade_aquatic:blocks/rock_coral_block | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/rock_coral_block upgrade_aquatic:dead_rock_coral_block upgrade_aquatic:rock_coral_block
upgrade_aquatic:blocks/rock_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/rock_coral_fan upgrade_aquatic:rock_coral_fan
