dtterralith:blocks/acacia_amethyst_leaves | minecraft:block | dtterralith:blocks/acacia_amethyst_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:acacia_leaves minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/spruce_short_conifer_leaves | minecraft:block | dtterralith:blocks/spruce_short_conifer_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:spruce_leaves minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/spruce_sparse_leaves | minecraft:block | dtterralith:blocks/spruce_sparse_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:spruce_leaves minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/spruce_tall_conifer_leaves | minecraft:block | dtterralith:blocks/spruce_tall_conifer_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:spruce_leaves minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/spruce_twiglet_leaves | minecraft:block | dtterralith:blocks/spruce_twiglet_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:spruce_leaves minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:blocks/tall_dark_oak_leaves | minecraft:block | dtterralith:blocks/tall_dark_oak_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:alternatives minecraft:any_of minecraft:block minecraft:dark_oak_leaves minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/branches/mirage | minecraft:block | dtterralith:trees/branches/mirage dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick minecraft:stripped_warped_stem
dtterralith:trees/branches/moonlight | minecraft:block | dtterralith:trees/branches/moonlight dynamictrees:multiply_logs_count dynamictrees:multiply_sticks_count minecraft:block minecraft:explosion_decay minecraft:item minecraft:stick minecraft:stripped_spruce_log
dtterralith:trees/leaves/acacia_amethyst | minecraft:block | dtterralith:trees/leaves/acacia_amethyst dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/acacia_bush | minecraft:block | dtterralith:trees/leaves/acacia_bush dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/acacia_conifer | minecraft:block | dtterralith:trees/leaves/acacia_conifer dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/acacia_deciduous | minecraft:block | dtterralith:trees/leaves/acacia_deciduous dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/acacia_kapok | minecraft:block | dtterralith:trees/leaves/acacia_kapok dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/acacia_poplar | minecraft:block | dtterralith:trees/leaves/acacia_poplar dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/acacia_sparse | minecraft:block | dtterralith:trees/leaves/acacia_sparse dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/acacia_twiglet | minecraft:block | dtterralith:trees/leaves/acacia_twiglet dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/acacia_windswept | minecraft:block | dtterralith:trees/leaves/acacia_windswept dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/azalea_bush | minecraft:block | dtterralith:trees/leaves/azalea_bush dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/azalea_canopy | minecraft:block | dtterralith:trees/leaves/azalea_canopy dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/azalea_ebony | minecraft:block | dtterralith:trees/leaves/azalea_ebony dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/azalea_mahogany | minecraft:block | dtterralith:trees/leaves/azalea_mahogany dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/azalea_mangrove | minecraft:block | dtterralith:trees/leaves/azalea_mangrove dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/azalea_oasis | minecraft:block | dtterralith:trees/leaves/azalea_oasis dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/birch_conifer | minecraft:block | dtterralith:trees/leaves/birch_conifer dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/birch_poplar | minecraft:block | dtterralith:trees/leaves/birch_poplar dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/birch_scruffy | minecraft:block | dtterralith:trees/leaves/birch_scruffy dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/birch_scruffy_conifer | minecraft:block | dtterralith:trees/leaves/birch_scruffy_conifer dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/birch_short_conifer | minecraft:block | dtterralith:trees/leaves/birch_short_conifer dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/birch_sparse | minecraft:block | dtterralith:trees/leaves/birch_sparse dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/birch_twilight | minecraft:block | dtterralith:trees/leaves/birch_twilight dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/birch_windswept | minecraft:block | dtterralith:trees/leaves/birch_windswept dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/cherry_bush | minecraft:block | dtterralith:trees/leaves/cherry_bush dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/dark_oak_ancient | minecraft:block | dtterralith:trees/leaves/dark_oak_ancient dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/dark_oak_ancient_mirage | minecraft:block | dtterralith:trees/leaves/dark_oak_ancient_mirage dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/dark_oak_blue_conifer | minecraft:block | dtterralith:trees/leaves/dark_oak_blue_conifer dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/dark_oak_canopy | minecraft:block | dtterralith:trees/leaves/dark_oak_canopy dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/dark_oak_canopy_mirage | minecraft:block | dtterralith:trees/leaves/dark_oak_canopy_mirage dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/dark_oak_jacaranda | minecraft:block | dtterralith:trees/leaves/dark_oak_jacaranda dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/dark_oak_maple | minecraft:block | dtterralith:trees/leaves/dark_oak_maple dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/dark_oak_orange_conifer | minecraft:block | dtterralith:trees/leaves/dark_oak_orange_conifer dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/dark_oak_red_azalea | minecraft:block | dtterralith:trees/leaves/dark_oak_red_azalea dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/dark_oak_red_conifer | minecraft:block | dtterralith:trees/leaves/dark_oak_red_conifer dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/dark_oak_red_maple | minecraft:block | dtterralith:trees/leaves/dark_oak_red_maple dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/dark_oak_sakura | minecraft:block | dtterralith:trees/leaves/dark_oak_sakura dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/dark_oak_sakura_bush | minecraft:block | dtterralith:trees/leaves/dark_oak_sakura_bush dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/dark_oak_wide | minecraft:block | dtterralith:trees/leaves/dark_oak_wide dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/flowering_azalea_canopy | minecraft:block | dtterralith:trees/leaves/flowering_azalea_canopy dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/flowering_azalea_mahogany | minecraft:block | dtterralith:trees/leaves/flowering_azalea_mahogany dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/flowering_azalea_mangrove | minecraft:block | dtterralith:trees/leaves/flowering_azalea_mangrove dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/flowering_azalea_oasis | minecraft:block | dtterralith:trees/leaves/flowering_azalea_oasis dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/jungle_jacaranda | minecraft:block | dtterralith:trees/leaves/jungle_jacaranda dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/jungle_sakura | minecraft:block | dtterralith:trees/leaves/jungle_sakura dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/jungle_sparse | minecraft:block | dtterralith:trees/leaves/jungle_sparse dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/jungle_windswept | minecraft:block | dtterralith:trees/leaves/jungle_windswept dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/mangrove_scruffy | minecraft:block | dtterralith:trees/leaves/mangrove_scruffy dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/mangrove_sparse | minecraft:block | dtterralith:trees/leaves/mangrove_sparse dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/oak_conifer | minecraft:block | dtterralith:trees/leaves/oak_conifer dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/oak_kapok | minecraft:block | dtterralith:trees/leaves/oak_kapok dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/oak_scruffy | minecraft:block | dtterralith:trees/leaves/oak_scruffy dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/oak_scruffy_tall_conifer | minecraft:block | dtterralith:trees/leaves/oak_scruffy_tall_conifer dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/oak_sparse | minecraft:block | dtterralith:trees/leaves/oak_sparse dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/oak_tall_conifer | minecraft:block | dtterralith:trees/leaves/oak_tall_conifer dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/oak_twiglet | minecraft:block | dtterralith:trees/leaves/oak_twiglet dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/oak_twilight | minecraft:block | dtterralith:trees/leaves/oak_twilight dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/oak_yellow_conifer | minecraft:block | dtterralith:trees/leaves/oak_yellow_conifer dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/spruce_bush | minecraft:block | dtterralith:trees/leaves/spruce_bush dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/spruce_moonlight | minecraft:block | dtterralith:trees/leaves/spruce_moonlight dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/spruce_poplar | minecraft:block | dtterralith:trees/leaves/spruce_poplar dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/spruce_round | minecraft:block | dtterralith:trees/leaves/spruce_round dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/spruce_short_conifer | minecraft:block | dtterralith:trees/leaves/spruce_short_conifer dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/spruce_sparse | minecraft:block | dtterralith:trees/leaves/spruce_sparse dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/spruce_tall_conifer | minecraft:block | dtterralith:trees/leaves/spruce_tall_conifer dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/spruce_twiglet | minecraft:block | dtterralith:trees/leaves/spruce_twiglet dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/leaves/tall_dark_oak | minecraft:block | dtterralith:trees/leaves/tall_dark_oak dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/voluntary/amethyst | minecraft:block | dtterralith:amethyst_seed dtterralith:trees/voluntary/amethyst dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/ancient | minecraft:block | dtterralith:ancient_seed dtterralith:trees/voluntary/ancient dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/birch_pine | minecraft:block | dtterralith:birch_pine_seed dtterralith:trees/voluntary/birch_pine dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/black_poplar | minecraft:block | dtterralith:black_poplar_seed dtterralith:trees/voluntary/black_poplar dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/blue_pine | minecraft:block | dtterralith:blue_pine_seed dtterralith:trees/voluntary/blue_pine dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/cedar | minecraft:block | dtterralith:cedar_seed dtterralith:trees/voluntary/cedar dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/dwarf_pine | minecraft:block | dtterralith:dwarf_pine_seed dtterralith:trees/voluntary/dwarf_pine dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/dwarf_spruce | minecraft:block | dtterralith:dwarf_spruce_seed dtterralith:trees/voluntary/dwarf_spruce dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/ebony | minecraft:block | dtterralith:ebony_seed dtterralith:trees/voluntary/ebony dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/giga_spruce | minecraft:block | dtterralith:giga_spruce_seed dtterralith:trees/voluntary/giga_spruce dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/jacaranda | minecraft:block | dtterralith:jacaranda_seed dtterralith:trees/voluntary/jacaranda dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/kapok | minecraft:block | dtterralith:kapok_seed dtterralith:trees/voluntary/kapok dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/larch | minecraft:block | dtterralith:larch_seed dtterralith:trees/voluntary/larch dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/lush_acacia | minecraft:block | dtterralith:lush_acacia_seed dtterralith:trees/voluntary/lush_acacia dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/maple | minecraft:block | dtterralith:maple_seed dtterralith:trees/voluntary/maple dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/mega_ancient | minecraft:block | dtterralith:mega_ancient_seed dtterralith:trees/voluntary/mega_ancient dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/mega_blue_pine | minecraft:block | dtterralith:mega_blue_pine_seed dtterralith:trees/voluntary/mega_blue_pine dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/mega_larch | minecraft:block | dtterralith:mega_larch_seed dtterralith:trees/voluntary/mega_larch dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/mega_mirage | minecraft:block | dtterralith:mega_mirage_seed dtterralith:trees/voluntary/mega_mirage dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/mega_oasis | minecraft:block | dtterralith:mega_oasis_seed dtterralith:trees/voluntary/mega_oasis dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/mega_orange_pine | minecraft:block | dtterralith:mega_orange_pine_seed dtterralith:trees/voluntary/mega_orange_pine dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
