mcwdoors:blocks/acacia_bamboo_door | minecraft:block | mcwdoors:acacia_bamboo_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_barn_glass_door | minecraft:block | mcwdoors:oak_barn_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_beach_door | minecraft:block | mcwdoors:oak_beach_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_cottage_door | minecraft:block | mcwdoors:oak_cottage_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_four_panel_door | minecraft:block | mcwdoors:oak_four_panel_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_glass_door | minecraft:block | mcwdoors:oak_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_japanese2_door | minecraft:block | mcwdoors:oak_japanese2_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_japanese_door | minecraft:block | mcwdoors:oak_japanese_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_modern_door | minecraft:block | mcwdoors:oak_modern_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_mystic_door | minecraft:block | mcwdoors:oak_mystic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_nether_door | minecraft:block | mcwdoors:oak_nether_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_paper_door | minecraft:block | mcwdoors:oak_paper_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_stable_door | minecraft:block | mcwdoors:oak_stable_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_stable_head_door | minecraft:block | mcwdoors:oak_stable_head_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_swamp_door | minecraft:block | mcwdoors:oak_swamp_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_tropical_door | minecraft:block | mcwdoors:oak_tropical_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_waffle_door | minecraft:block | mcwdoors:oak_waffle_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_western_door | minecraft:block | mcwdoors:oak_western_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/oak_whispering_door | minecraft:block | mcwdoors:oak_whispering_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/sliding_glass_door | minecraft:block | mcwdoors:sliding_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_bamboo_door | minecraft:block | mcwdoors:spruce_bamboo_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_bark_glass_door | minecraft:block | mcwdoors:spruce_bark_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_barn_door | minecraft:block | mcwdoors:spruce_barn_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_barn_glass_door | minecraft:block | mcwdoors:spruce_barn_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_beach_door | minecraft:block | mcwdoors:spruce_beach_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_classic_door | minecraft:block | mcwdoors:spruce_classic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_four_panel_door | minecraft:block | mcwdoors:spruce_four_panel_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_glass_door | minecraft:block | mcwdoors:spruce_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_japanese2_door | minecraft:block | mcwdoors:spruce_japanese2_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_japanese_door | minecraft:block | mcwdoors:spruce_japanese_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_modern_door | minecraft:block | mcwdoors:spruce_modern_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_mystic_door | minecraft:block | mcwdoors:spruce_mystic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_nether_door | minecraft:block | mcwdoors:spruce_nether_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_paper_door | minecraft:block | mcwdoors:spruce_paper_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_stable_door | minecraft:block | mcwdoors:spruce_stable_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_stable_head_door | minecraft:block | mcwdoors:spruce_stable_head_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_swamp_door | minecraft:block | mcwdoors:spruce_swamp_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_tropical_door | minecraft:block | mcwdoors:spruce_tropical_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_waffle_door | minecraft:block | mcwdoors:spruce_waffle_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_western_door | minecraft:block | mcwdoors:spruce_western_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/spruce_whispering_door | minecraft:block | mcwdoors:spruce_whispering_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/store_door | minecraft:block | mcwdoors:store_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_bamboo_door | minecraft:block | mcwdoors:warped_bamboo_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_barn_door | minecraft:block | mcwdoors:warped_barn_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_barn_glass_door | minecraft:block | mcwdoors:warped_barn_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_beach_door | minecraft:block | mcwdoors:warped_beach_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_classic_door | minecraft:block | mcwdoors:warped_classic_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_cottage_door | minecraft:block | mcwdoors:warped_cottage_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_four_panel_door | minecraft:block | mcwdoors:warped_four_panel_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_glass_door | minecraft:block | mcwdoors:warped_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_japanese2_door | minecraft:block | mcwdoors:warped_japanese2_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_japanese_door | minecraft:block | mcwdoors:warped_japanese_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_modern_door | minecraft:block | mcwdoors:warped_modern_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_nether_door | minecraft:block | mcwdoors:warped_nether_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_paper_door | minecraft:block | mcwdoors:warped_paper_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_stable_door | minecraft:block | mcwdoors:warped_stable_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_stable_head_door | minecraft:block | mcwdoors:warped_stable_head_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_stem_glass_door | minecraft:block | mcwdoors:warped_stem_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_swamp_door | minecraft:block | mcwdoors:warped_swamp_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_tropical_door | minecraft:block | mcwdoors:warped_tropical_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_waffle_door | minecraft:block | mcwdoors:warped_waffle_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_western_door | minecraft:block | mcwdoors:warped_western_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
mcwdoors:blocks/warped_whispering_door | minecraft:block | mcwdoors:warped_whispering_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
