ars_nouveau:blocks/agronomic_sourcelink | minecraft:block | ars_nouveau:agronomic_sourcelink ars_nouveau:blocks/agronomic_sourcelink minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_sourcestone_small_bricks_slab | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_small_bricks_slab ars_nouveau:smooth_sourcestone_small_bricks_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/smooth_sourcestone_small_bricks_stairs | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_small_bricks_stairs ars_nouveau:smooth_sourcestone_small_bricks_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/smooth_sourcestone_stairs | minecraft:block | ars_nouveau:blocks/smooth_sourcestone_stairs ars_nouveau:smooth_sourcestone_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/source_gem_block | minecraft:block | ars_nouveau:blocks/source_gem_block ars_nouveau:source_gem_block minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/source_jar | minecraft:block | ars_nouveau:block_fill_contents ars_nouveau:blocks/source_jar ars_nouveau:source_jar minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item
ars_nouveau:blocks/source_lamp | minecraft:block | ars_nouveau:blocks/source_lamp ars_nouveau:source_lamp minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/sourceberry_bush | minecraft:block | ars_nouveau:blocks/sourceberry_bush ars_nouveau:sourceberry_bush minecraft:apply_bonus minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:uniform minecraft:uniform_bonus_count
ars_nouveau:blocks/sourceberry_sack | minecraft:block | ars_nouveau:blocks/sourceberry_sack ars_nouveau:sourceberry_sack minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/sourcestone | minecraft:block | ars_nouveau:blocks/sourcestone ars_nouveau:sourcestone minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/sourcestone_alternating | minecraft:block | ars_nouveau:blocks/sourcestone_alternating ars_nouveau:sourcestone_alternating minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/sourcestone_alternating_slab | minecraft:block | ars_nouveau:blocks/sourcestone_alternating_slab ars_nouveau:sourcestone_alternating_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/sourcestone_alternating_stairs | minecraft:block | ars_nouveau:blocks/sourcestone_alternating_stairs ars_nouveau:sourcestone_alternating_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/sourcestone_basketweave | minecraft:block | ars_nouveau:blocks/sourcestone_basketweave ars_nouveau:sourcestone_basketweave minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/sourcestone_basketweave_slab | minecraft:block | ars_nouveau:blocks/sourcestone_basketweave_slab ars_nouveau:sourcestone_basketweave_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/sourcestone_basketweave_stairs | minecraft:block | ars_nouveau:blocks/sourcestone_basketweave_stairs ars_nouveau:sourcestone_basketweave_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/sourcestone_grate | minecraft:block | ars_nouveau:blocks/sourcestone_grate ars_nouveau:sourcestone_grate minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/sourcestone_large_bricks | minecraft:block | ars_nouveau:blocks/sourcestone_large_bricks ars_nouveau:sourcestone_large_bricks minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/sourcestone_large_bricks_slab | minecraft:block | ars_nouveau:blocks/sourcestone_large_bricks_slab ars_nouveau:sourcestone_large_bricks_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/sourcestone_large_bricks_stairs | minecraft:block | ars_nouveau:blocks/sourcestone_large_bricks_stairs ars_nouveau:sourcestone_large_bricks_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/sourcestone_mosaic | minecraft:block | ars_nouveau:blocks/sourcestone_mosaic ars_nouveau:sourcestone_mosaic minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/sourcestone_mosaic_slab | minecraft:block | ars_nouveau:blocks/sourcestone_mosaic_slab ars_nouveau:sourcestone_mosaic_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/sourcestone_mosaic_stairs | minecraft:block | ars_nouveau:blocks/sourcestone_mosaic_stairs ars_nouveau:sourcestone_mosaic_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/sourcestone_sconce | minecraft:block | ars_nouveau:blocks/sourcestone_sconce ars_nouveau:sourcestone_sconce minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/sourcestone_slab | minecraft:block | ars_nouveau:blocks/sourcestone_slab ars_nouveau:sourcestone_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/sourcestone_small_bricks | minecraft:block | ars_nouveau:blocks/sourcestone_small_bricks ars_nouveau:sourcestone_small_bricks minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/sourcestone_small_bricks_slab | minecraft:block | ars_nouveau:blocks/sourcestone_small_bricks_slab ars_nouveau:sourcestone_small_bricks_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
ars_nouveau:blocks/sourcestone_small_bricks_stairs | minecraft:block | ars_nouveau:blocks/sourcestone_small_bricks_stairs ars_nouveau:sourcestone_small_bricks_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/sourcestone_stairs | minecraft:block | ars_nouveau:blocks/sourcestone_stairs ars_nouveau:sourcestone_stairs minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/spell_prism | minecraft:block | ars_nouveau:blocks/spell_prism ars_nouveau:spell_prism minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/spell_sensor | minecraft:block | ars_nouveau:blocks/spell_sensor ars_nouveau:spell_sensor minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/spell_turret | minecraft:block | ars_nouveau:blocks/spell_turret ars_nouveau:spell_turret minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/storage_lectern | minecraft:block | ars_nouveau:blocks/storage_lectern ars_nouveau:storage_lectern minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/stripped_blue_archwood_log | minecraft:block | ars_nouveau:blocks/stripped_blue_archwood_log ars_nouveau:stripped_blue_archwood_log minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/stripped_blue_archwood_wood | minecraft:block | ars_nouveau:blocks/stripped_blue_archwood_wood ars_nouveau:stripped_blue_archwood_wood minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/stripped_green_archwood_log | minecraft:block | ars_nouveau:blocks/stripped_green_archwood_log ars_nouveau:stripped_green_archwood_log minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/stripped_green_archwood_wood | minecraft:block | ars_nouveau:blocks/stripped_green_archwood_wood ars_nouveau:stripped_green_archwood_wood minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/stripped_purple_archwood_log | minecraft:block | ars_nouveau:blocks/stripped_purple_archwood_log ars_nouveau:stripped_purple_archwood_log minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/stripped_purple_archwood_wood | minecraft:block | ars_nouveau:blocks/stripped_purple_archwood_wood ars_nouveau:stripped_purple_archwood_wood minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/stripped_red_archwood_log | minecraft:block | ars_nouveau:blocks/stripped_red_archwood_log ars_nouveau:stripped_red_archwood_log minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/stripped_red_archwood_wood | minecraft:block | ars_nouveau:blocks/stripped_red_archwood_wood ars_nouveau:stripped_red_archwood_wood minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/timer_spell_turret | minecraft:block | ars_nouveau:blocks/timer_spell_turret ars_nouveau:timer_spell_turret minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/vitalic_sourcelink | minecraft:block | ars_nouveau:blocks/vitalic_sourcelink ars_nouveau:vitalic_sourcelink minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/void_prism | minecraft:block | ars_nouveau:blocks/void_prism ars_nouveau:void_prism minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/volcanic_sourcelink | minecraft:block | ars_nouveau:blocks/volcanic_sourcelink ars_nouveau:volcanic_sourcelink minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/wixie_cauldron | minecraft:block | ars_nouveau:blocks/wixie_cauldron minecraft:block minecraft:cauldron minecraft:item minecraft:survives_explosion
ars_nouveau:blocks/yellow_sbed | minecraft:block | ars_nouveau:blocks/yellow_sbed ars_nouveau:yellow_sbed minecraft:block minecraft:item minecraft:survives_explosion
ars_nouveau:dispel_witch | minecraft:entity | ars_nouveau:dispel_witch ars_nouveau:wixie_shards minecraft:entity minecraft:item minecraft:set_count
ars_nouveau:entities/wilden_guardian | minecraft:entity | ars_nouveau:entities/wilden_guardian ars_nouveau:wilden_spike minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform
ars_nouveau:entities/wilden_hunter | minecraft:entity | ars_nouveau:entities/wilden_hunter ars_nouveau:wilden_horn minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform
ars_nouveau:entities/wilden_stalker | minecraft:entity | ars_nouveau:entities/wilden_stalker ars_nouveau:wilden_wing minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform
ars_nouveau:blocks/mage_block | minecraft:block | minecraft:block
ars_nouveau:entities/wilden_boss | minecraft:entity | minecraft:entity
