northstar:blocks/amethyst_crystal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:amethyst_crystal northstar:blocks/amethyst_crystal
northstar:blocks/mercury_stone_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mercury_stone_lamp northstar:mercury_stone_lamp
northstar:blocks/mercury_stone_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/mercury_stone_pillar northstar:mercury_stone_pillar
northstar:blocks/mercury_titanium_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mercury_titanium_ore northstar:mercury_titanium_ore northstar:raw_titanium_ore
northstar:blocks/mercury_tungsten_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mercury_tungsten_ore northstar:mercury_tungsten_ore northstar:raw_tungsten_ore
northstar:blocks/mercury_zinc_ore | minecraft:block | create:raw_zinc minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/mercury_zinc_ore northstar:mercury_zinc_ore
northstar:blocks/methane_ice | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch northstar:blocks/methane_ice northstar:methane_ice
northstar:blocks/monolithite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/monolithite northstar:monolithite
northstar:blocks/moon_copper_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_copper minecraft:set_count minecraft:silk_touch minecraft:uniform northstar:blocks/moon_copper_ore northstar:moon_copper_ore
northstar:blocks/moon_deep_copper_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_copper minecraft:set_count minecraft:silk_touch minecraft:uniform northstar:blocks/moon_deep_copper_ore northstar:moon_deep_copper_ore
northstar:blocks/moon_deep_diamond_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:diamond minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/moon_deep_diamond_ore northstar:moon_deep_diamond_ore
northstar:blocks/moon_deep_glowstone_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/moon_deep_glowstone_ore northstar:moon_deep_glowstone_ore northstar:raw_glowstone_ore
northstar:blocks/moon_deep_gold_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_gold minecraft:silk_touch northstar:blocks/moon_deep_gold_ore northstar:moon_deep_gold_ore
northstar:blocks/moon_deep_iron_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_iron minecraft:silk_touch northstar:blocks/moon_deep_iron_ore northstar:moon_deep_iron_ore
northstar:blocks/moon_deep_lapis_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:lapis_lazuli minecraft:match_tool minecraft:ore_drops minecraft:set_count minecraft:silk_touch minecraft:uniform northstar:blocks/moon_deep_lapis_ore northstar:moon_deep_lapis_ore
northstar:blocks/moon_deep_redstone_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:redstone minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count northstar:blocks/moon_deep_redstone_ore northstar:moon_deep_redstone_ore
northstar:blocks/moon_deep_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/moon_deep_stone northstar:moon_deep_stone
northstar:blocks/moon_deep_titanium_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/moon_deep_titanium_ore northstar:moon_deep_titanium_ore northstar:raw_titanium_ore
northstar:blocks/moon_deep_zinc_ore | minecraft:block | create:raw_zinc minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/moon_deep_zinc_ore northstar:moon_deep_zinc_ore
northstar:blocks/moon_diamond_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:diamond minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/moon_diamond_ore northstar:moon_diamond_ore
northstar:blocks/moon_glowstone_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/moon_glowstone_ore northstar:moon_glowstone_ore northstar:raw_glowstone_ore
northstar:blocks/moon_gold_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_gold minecraft:silk_touch northstar:blocks/moon_gold_ore northstar:moon_gold_ore
northstar:blocks/moon_iron_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_iron minecraft:silk_touch northstar:blocks/moon_iron_ore northstar:moon_iron_ore
northstar:blocks/moon_lapis_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:lapis_lazuli minecraft:match_tool minecraft:ore_drops minecraft:set_count minecraft:silk_touch minecraft:uniform northstar:blocks/moon_lapis_ore northstar:moon_lapis_ore
northstar:blocks/moon_redstone_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:redstone minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count northstar:blocks/moon_redstone_ore northstar:moon_redstone_ore
northstar:blocks/moon_sand | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/moon_sand northstar:moon_sand
northstar:blocks/moon_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/moon_stone northstar:moon_stone
northstar:blocks/moon_stone_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/moon_stone_brick_slab northstar:moon_stone_brick_slab
northstar:blocks/moon_stone_brick_slab_vertical | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/moon_stone_brick_slab_vertical northstar:moon_stone_brick_slab_vertical
northstar:blocks/moon_stone_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/moon_stone_brick_stairs northstar:moon_stone_brick_stairs
northstar:blocks/moon_stone_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/moon_stone_brick_wall northstar:moon_stone_brick_wall
northstar:blocks/moon_stone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/moon_stone_bricks northstar:moon_stone_bricks
northstar:blocks/moon_stone_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/moon_stone_lamp northstar:moon_stone_lamp
northstar:blocks/moon_stone_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/moon_stone_pillar northstar:moon_stone_pillar
northstar:blocks/moon_titanium_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/moon_titanium_ore northstar:moon_titanium_ore northstar:raw_titanium_ore
northstar:blocks/moon_zinc_ore | minecraft:block | create:raw_zinc minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/moon_zinc_ore northstar:moon_zinc_ore
northstar:blocks/oxygen_detector | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/oxygen_detector northstar:oxygen_detector
northstar:blocks/oxygen_filler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/oxygen_filler northstar:oxygen_filler
northstar:blocks/oxygen_sealer | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/oxygen_sealer northstar:oxygen_sealer
northstar:blocks/plate_fungus | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/plate_fungus northstar:plate_fungus
northstar:blocks/plate_fungus_cap_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/plate_fungus_cap_block northstar:plate_fungus_cap_block
northstar:blocks/plate_fungus_stem_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/plate_fungus_stem_block northstar:plate_fungus_stem_block
northstar:blocks/pointed_crimsite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/pointed_crimsite northstar:pointed_crimsite
northstar:blocks/polished_mars_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/polished_mars_stone northstar:polished_mars_stone
northstar:blocks/polished_mercury_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/polished_mercury_stone northstar:polished_mercury_stone
northstar:blocks/polished_moon_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/polished_moon_stone northstar:polished_moon_stone
northstar:blocks/polished_venus_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/polished_venus_stone northstar:polished_venus_stone
northstar:blocks/rocket_controls | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/rocket_controls northstar:rocket_controls
northstar:blocks/rocket_station | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/rocket_station northstar:rocket_station
northstar:blocks/small_lunar_sapphire_bud | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch northstar:blocks/small_lunar_sapphire_bud northstar:small_lunar_sapphire_bud
northstar:blocks/solar_panel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/solar_panel northstar:solar_panel
northstar:blocks/spike_fungus | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/spike_fungus northstar:spike_fungus
northstar:blocks/spike_fungus_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/spike_fungus_block northstar:spike_fungus_block
northstar:blocks/stripped_argyre_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/stripped_argyre_log northstar:stripped_argyre_log
northstar:blocks/stripped_coiler_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/stripped_coiler_log northstar:stripped_coiler_log
northstar:blocks/stripped_wilter_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/stripped_wilter_log northstar:stripped_wilter_log
northstar:blocks/tall_venus_mycelium | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/tall_venus_mycelium northstar:tall_venus_mycelium
northstar:blocks/telescope | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/telescope northstar:telescope
northstar:blocks/temperature_regulator | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/temperature_regulator northstar:temperature_regulator
northstar:blocks/titanium_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/titanium_block northstar:titanium_block
northstar:blocks/titanium_grate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/titanium_grate northstar:titanium_grate
northstar:blocks/titanium_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/titanium_pillar northstar:titanium_pillar
northstar:blocks/titanium_plating | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/titanium_plating northstar:titanium_plating
northstar:blocks/titanium_plating_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/titanium_plating_slab northstar:titanium_plating_slab
northstar:blocks/titanium_plating_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/titanium_plating_stairs northstar:titanium_plating_stairs
northstar:blocks/titanium_plating_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/titanium_plating_vertical_slab northstar:titanium_plating_vertical_slab
northstar:blocks/titanium_sheetmetal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/titanium_sheetmetal northstar:titanium_sheetmetal
northstar:blocks/titanium_sheetmetal_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/titanium_sheetmetal_slab northstar:titanium_sheetmetal_slab
northstar:blocks/titanium_sheetmetal_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/titanium_sheetmetal_vertical_slab northstar:titanium_sheetmetal_vertical_slab
northstar:blocks/titanium_space_door | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion northstar:blocks/titanium_space_door northstar:titanium_space_door
northstar:blocks/tower_fungus | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/tower_fungus northstar:tower_fungus
northstar:blocks/tower_fungus_cap_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/tower_fungus_cap_block northstar:tower_fungus_cap_block
northstar:blocks/tower_fungus_stem_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/tower_fungus_stem_block northstar:tower_fungus_stem_block
northstar:blocks/tungsten_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/tungsten_block northstar:tungsten_block
northstar:blocks/tungsten_grate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/tungsten_grate northstar:tungsten_grate
northstar:blocks/tungsten_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/tungsten_pillar northstar:tungsten_pillar
northstar:blocks/tungsten_plating | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/tungsten_plating northstar:tungsten_plating
northstar:blocks/tungsten_plating_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/tungsten_plating_slab northstar:tungsten_plating_slab
northstar:blocks/tungsten_plating_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/tungsten_plating_stairs northstar:tungsten_plating_stairs
northstar:blocks/tungsten_plating_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/tungsten_plating_vertical_slab northstar:tungsten_plating_vertical_slab
northstar:blocks/tungsten_sheetmetal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/tungsten_sheetmetal northstar:tungsten_sheetmetal
northstar:blocks/tungsten_sheetmetal_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/tungsten_sheetmetal_slab northstar:tungsten_sheetmetal_slab
northstar:blocks/tungsten_sheetmetal_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/tungsten_sheetmetal_vertical_slab northstar:tungsten_sheetmetal_vertical_slab
northstar:blocks/vent | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/vent northstar:vent
northstar:blocks/venus_coal_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:coal minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/venus_coal_ore northstar:venus_coal_ore
northstar:blocks/venus_copper_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_copper minecraft:set_count minecraft:silk_touch minecraft:uniform northstar:blocks/venus_copper_ore northstar:venus_copper_ore
northstar:blocks/venus_deep_copper_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_copper minecraft:set_count minecraft:silk_touch minecraft:uniform northstar:blocks/venus_deep_copper_ore northstar:venus_deep_copper_ore
northstar:blocks/venus_deep_diamond_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:diamond minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/venus_deep_diamond_ore northstar:venus_deep_diamond_ore
northstar:blocks/venus_deep_glowstone_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/venus_deep_glowstone_ore northstar:raw_glowstone_ore northstar:venus_deep_glowstone_ore
northstar:blocks/venus_deep_gold_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_gold minecraft:silk_touch northstar:blocks/venus_deep_gold_ore northstar:venus_deep_gold_ore
northstar:blocks/venus_deep_iron_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_iron minecraft:silk_touch northstar:blocks/venus_deep_iron_ore northstar:venus_deep_iron_ore
northstar:blocks/venus_deep_quartz_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:quartz minecraft:silk_touch northstar:blocks/venus_deep_quartz_ore northstar:venus_deep_quartz_ore
northstar:blocks/venus_deep_redstone_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:redstone minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count northstar:blocks/venus_deep_redstone_ore northstar:venus_deep_redstone_ore
northstar:blocks/venus_deep_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/venus_deep_stone northstar:venus_deep_stone
northstar:blocks/venus_deep_titanium_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/venus_deep_titanium_ore northstar:raw_titanium_ore northstar:venus_deep_titanium_ore
northstar:blocks/venus_deep_zinc_ore | minecraft:block | create:raw_zinc minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/venus_deep_zinc_ore northstar:venus_deep_zinc_ore
northstar:blocks/venus_diamond_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:diamond minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/venus_diamond_ore northstar:venus_diamond_ore
northstar:blocks/venus_glowstone_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/venus_glowstone_ore northstar:raw_glowstone_ore northstar:venus_glowstone_ore
northstar:blocks/venus_gold_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_gold minecraft:silk_touch northstar:blocks/venus_gold_ore northstar:venus_gold_ore
northstar:blocks/venus_gravel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/venus_gravel northstar:venus_gravel
northstar:blocks/venus_iron_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:raw_iron minecraft:silk_touch northstar:blocks/venus_iron_ore northstar:venus_iron_ore
northstar:blocks/venus_plume | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/venus_plume northstar:venus_plume
northstar:blocks/venus_quartz_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:quartz minecraft:silk_touch northstar:blocks/venus_quartz_ore northstar:venus_quartz_ore
northstar:blocks/venus_redstone_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:redstone minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count northstar:blocks/venus_redstone_ore northstar:venus_redstone_ore
northstar:blocks/venus_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/venus_stone northstar:venus_stone
northstar:blocks/venus_stone_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/venus_stone_brick_slab northstar:venus_stone_brick_slab
northstar:blocks/venus_stone_brick_slab_vertical | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/venus_stone_brick_slab_vertical northstar:venus_stone_brick_slab_vertical
northstar:blocks/venus_stone_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/venus_stone_brick_stairs northstar:venus_stone_brick_stairs
northstar:blocks/venus_stone_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/venus_stone_brick_wall northstar:venus_stone_brick_wall
northstar:blocks/venus_stone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/venus_stone_bricks northstar:venus_stone_bricks
northstar:blocks/venus_stone_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/venus_stone_lamp northstar:venus_stone_lamp
northstar:blocks/venus_stone_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/venus_stone_pillar northstar:venus_stone_pillar
northstar:blocks/venus_titanium_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/venus_titanium_ore northstar:raw_titanium_ore northstar:venus_titanium_ore
northstar:blocks/venus_vines | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:shears northstar:blocks/venus_vines northstar:venus_vines
northstar:blocks/venus_zinc_ore | minecraft:block | create:raw_zinc minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch northstar:blocks/venus_zinc_ore northstar:venus_zinc_ore
northstar:blocks/volcanic_ash | minecraft:block | minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform northstar:blocks/volcanic_ash northstar:volcanic_ash northstar:volcanic_ash_item
northstar:blocks/volcanic_rock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/volcanic_rock northstar:volcanic_rock
northstar:blocks/wilter_leaves | minecraft:block | minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform northstar:blocks/wilter_leaves northstar:wilter_leaves northstar:wilter_sapling
northstar:blocks/wilter_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/wilter_log northstar:wilter_log
northstar:blocks/wilter_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/wilter_planks northstar:wilter_planks
northstar:blocks/wilter_sapling | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/wilter_sapling northstar:wilter_sapling
northstar:blocks/wilter_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count northstar:blocks/wilter_slab northstar:wilter_slab
northstar:blocks/wilter_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion northstar:blocks/wilter_stairs northstar:wilter_stairs
northstar:chests/lunar_base_chest | minecraft:chest | minecraft:amethyst_shard minecraft:bone minecraft:book minecraft:bread minecraft:chest minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:golden_apple minecraft:iron_ingot minecraft:item minecraft:redstone minecraft:set_count minecraft:string minecraft:uniform northstar:circuit northstar:frostbite northstar:liquid_oxygen_bucket northstar:lunar_sapphire_shard
northstar:chests/martian_base_chest | minecraft:chest | minecraft:amethyst_shard minecraft:bone minecraft:book minecraft:bread minecraft:chest minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:golden_apple minecraft:item minecraft:redstone minecraft:set_count minecraft:string minecraft:uniform northstar:advanced_circuit northstar:circuit northstar:frostbite northstar:liquid_oxygen_bucket northstar:lunar_sapphire_shard northstar:martian_steel
northstar:chests/martian_base_seed_chest | minecraft:chest | minecraft:amethyst_shard minecraft:bone minecraft:book minecraft:bread minecraft:chest minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:golden_apple minecraft:item minecraft:set_count minecraft:string minecraft:uniform northstar:dormant_martian_sapling northstar:dormant_martian_seed northstar:frostbite northstar:liquid_oxygen_bucket northstar:lunar_sapphire_shard northstar:martian_steel northstar:martian_strawberry
northstar:entities/frozen_zombie | minecraft:entity | minecraft:entity northstar:entities/frozen_zombie
northstar:entities/mars_cobra | minecraft:entity | minecraft:entity northstar:entities/mars_cobra
northstar:entities/mars_moth | minecraft:entity | minecraft:entity northstar:entities/mars_moth
northstar:entities/mars_toad | minecraft:entity | minecraft:entity northstar:entities/mars_toad
northstar:entities/mars_worm | minecraft:entity | minecraft:entity northstar:entities/mars_worm
northstar:entities/mercury_raptor | minecraft:entity | minecraft:entity northstar:entities/mercury_raptor
northstar:entities/mercury_roach | minecraft:entity | minecraft:entity northstar:entities/mercury_roach
northstar:entities/mercury_tortoise | minecraft:entity | minecraft:entity northstar:entities/mercury_tortoise
