extradelight:blocks/acacia_counter_cabinet | minecraft:block | extradelight:acacia_counter_cabinet extradelight:blocks/acacia_counter_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cherry_molded_red_wallpaper | minecraft:block | extradelight:blocks/cherry_molded_red_wallpaper extradelight:cherry_molded_red_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cherry_molded_white_wallpaper | minecraft:block | extradelight:blocks/cherry_molded_white_wallpaper extradelight:cherry_molded_white_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cherry_molded_yellow_wallpaper | minecraft:block | extradelight:blocks/cherry_molded_yellow_wallpaper extradelight:cherry_molded_yellow_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cherry_sink | minecraft:block | extradelight:blocks/cherry_sink extradelight:cherry_sink minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cherry_spice_rack | minecraft:block | extradelight:blocks/cherry_spice_rack extradelight:cherry_spice_rack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cherry_spice_rack_full | minecraft:block | extradelight:blocks/cherry_spice_rack_full extradelight:cherry_spice_rack_full minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cherry_step_stool | minecraft:block | extradelight:blocks/cherry_step_stool extradelight:cherry_step_stool minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cherry_wreath | minecraft:block | extradelight:blocks/cherry_wreath extradelight:cherry_wreath minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/chicken_stew_block | minecraft:block | extradelight:blocks/chicken_stew_block extradelight:chicken_stew_block extradelight:serving_pot minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/chili_con_carne | minecraft:block | extradelight:blocks/chili_con_carne extradelight:chili_con_carne extradelight:serving_pot minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/chili_crate | minecraft:block | extradelight:blocks/chili_crate extradelight:chili_crate minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/chili_crop | minecraft:block | extradelight:blocks/chili_crop extradelight:chili extradelight:chili_crop extradelight:chili_seeds minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item minecraft:uniform
extradelight:blocks/chili_powder_sack | minecraft:block | extradelight:blocks/chili_powder_sack extradelight:chili_powder_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/chiller | minecraft:block | extradelight:blocks/chiller extradelight:chiller minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/chocolate_cake | minecraft:block | extradelight:blocks/chocolate_cake minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/chocolate_cheesecake | minecraft:block | extradelight:blocks/chocolate_cheesecake minecraft:block
extradelight:blocks/chocolate_chip_cookie_block | minecraft:block | extradelight:blocks/chocolate_chip_cookie_block extradelight:chocolate_chip_cookie_block_item minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/chocolate_cookie_block | minecraft:block | extradelight:blocks/chocolate_cookie_block extradelight:chocolate_cookie_block minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/christmas_pudding | minecraft:block | extradelight:blocks/christmas_pudding extradelight:christmas_pudding minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/cinnamon_button | minecraft:block | extradelight:blocks/cinnamon_button extradelight:cinnamon_button minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_cabinet | minecraft:block | extradelight:blocks/cinnamon_cabinet extradelight:cinnamon_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_counter_cabinet | minecraft:block | extradelight:blocks/cinnamon_counter_cabinet extradelight:cinnamon_counter_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_door | minecraft:block | extradelight:blocks/cinnamon_door extradelight:cinnamon_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_dried_corn_fence | minecraft:block | extradelight:blocks/cinnamon_dried_corn_fence extradelight:cinnamon_dried_corn_fence minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_fence | minecraft:block | extradelight:blocks/cinnamon_fence extradelight:cinnamon_fence minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_fence_gate | minecraft:block | extradelight:blocks/cinnamon_fence_gate extradelight:cinnamon_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_food_display | minecraft:block | extradelight:blocks/cinnamon_food_display extradelight:cinnamon_food_display minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_half_cabinet | minecraft:block | extradelight:blocks/cinnamon_half_cabinet extradelight:cinnamon_half_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_knife_block | minecraft:block | extradelight:blocks/cinnamon_knife_block extradelight:cinnamon_knife_block minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_leaves | minecraft:block | extradelight:blocks/cinnamon_leaves extradelight:cinnamon_leaves extradelight:cinnamon_sapling minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
extradelight:blocks/cinnamon_log | minecraft:block | extradelight:blocks/cinnamon_log extradelight:cinnamon_log minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_molded_black_wallpaper | minecraft:block | extradelight:blocks/cinnamon_molded_black_wallpaper extradelight:cinnamon_molded_black_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_molded_blue_wallpaper | minecraft:block | extradelight:blocks/cinnamon_molded_blue_wallpaper extradelight:cinnamon_molded_blue_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_molded_brown_wallpaper | minecraft:block | extradelight:blocks/cinnamon_molded_brown_wallpaper extradelight:cinnamon_molded_brown_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_molded_cyan_wallpaper | minecraft:block | extradelight:blocks/cinnamon_molded_cyan_wallpaper extradelight:cinnamon_molded_cyan_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_molded_gray_wallpaper | minecraft:block | extradelight:blocks/cinnamon_molded_gray_wallpaper extradelight:cinnamon_molded_gray_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_molded_green_wallpaper | minecraft:block | extradelight:blocks/cinnamon_molded_green_wallpaper extradelight:cinnamon_molded_green_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_molded_light_blue_wallpaper | minecraft:block | extradelight:blocks/cinnamon_molded_light_blue_wallpaper extradelight:cinnamon_molded_light_blue_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_molded_light_gray_wallpaper | minecraft:block | extradelight:blocks/cinnamon_molded_light_gray_wallpaper extradelight:cinnamon_molded_light_gray_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_molded_lime_wallpaper | minecraft:block | extradelight:blocks/cinnamon_molded_lime_wallpaper extradelight:cinnamon_molded_lime_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_molded_magenta_wallpaper | minecraft:block | extradelight:blocks/cinnamon_molded_magenta_wallpaper extradelight:cinnamon_molded_magenta_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_molded_orange_wallpaper | minecraft:block | extradelight:blocks/cinnamon_molded_orange_wallpaper extradelight:cinnamon_molded_orange_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_molded_pink_wallpaper | minecraft:block | extradelight:blocks/cinnamon_molded_pink_wallpaper extradelight:cinnamon_molded_pink_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_molded_purple_wallpaper | minecraft:block | extradelight:blocks/cinnamon_molded_purple_wallpaper extradelight:cinnamon_molded_purple_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_molded_red_wallpaper | minecraft:block | extradelight:blocks/cinnamon_molded_red_wallpaper extradelight:cinnamon_molded_red_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_molded_white_wallpaper | minecraft:block | extradelight:blocks/cinnamon_molded_white_wallpaper extradelight:cinnamon_molded_white_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_molded_yellow_wallpaper | minecraft:block | extradelight:blocks/cinnamon_molded_yellow_wallpaper extradelight:cinnamon_molded_yellow_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_planks | minecraft:block | extradelight:blocks/cinnamon_planks extradelight:cinnamon_planks minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_pressure_plate | minecraft:block | extradelight:blocks/cinnamon_pressure_plate extradelight:cinnamon_pressure_plate minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_rolls | minecraft:block | extradelight:blocks/cinnamon_rolls extradelight:cinnamon_rolls extradelight:square_pan minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/cinnamon_sapling | minecraft:block | extradelight:blocks/cinnamon_sapling extradelight:cinnamon_sapling minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_sink | minecraft:block | extradelight:blocks/cinnamon_sink extradelight:cinnamon_sink minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_slab | minecraft:block | extradelight:blocks/cinnamon_slab extradelight:cinnamon_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
extradelight:blocks/cinnamon_spice_rack | minecraft:block | extradelight:blocks/cinnamon_spice_rack extradelight:cinnamon_spice_rack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_spice_rack_full | minecraft:block | extradelight:blocks/cinnamon_spice_rack_full extradelight:cinnamon_spice_rack_full minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_stairs | minecraft:block | extradelight:blocks/cinnamon_stairs extradelight:cinnamon_stairs minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_step_stool | minecraft:block | extradelight:blocks/cinnamon_step_stool extradelight:cinnamon_step_stool minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_stick_block | minecraft:block | extradelight:blocks/cinnamon_stick_block extradelight:cinnamon_stick_block minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_trapdoor | minecraft:block | extradelight:blocks/cinnamon_trapdoor extradelight:cinnamon_trapdoor minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_wood | minecraft:block | extradelight:blocks/cinnamon_wood extradelight:cinnamon_wood minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cinnamon_wreath | minecraft:block | extradelight:blocks/cinnamon_wreath extradelight:cinnamon_wreath minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cocoa_beans_sack | minecraft:block | extradelight:blocks/cocoa_beans_sack extradelight:cocoa_bean_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cocoa_powder_sack | minecraft:block | extradelight:blocks/cocoa_powder_sack extradelight:cocoa_powder_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cocoa_solids_sack | minecraft:block | extradelight:blocks/cocoa_solids_sack extradelight:cocoa_solids_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/coffee_bean_sack | minecraft:block | extradelight:blocks/coffee_bean_sack extradelight:coffee_bean_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/coffee_bush | minecraft:block | extradelight:blocks/coffee_bush extradelight:coffee_bush extradelight:coffee_cherries minecraft:apply_bonus minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:set_count minecraft:uniform minecraft:uniform_bonus_count
extradelight:blocks/coffee_cake | minecraft:block | extradelight:blocks/coffee_cake minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/coffee_cherry_crate | minecraft:block | extradelight:blocks/coffee_cherry_crate extradelight:coffee_cherry_crate minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/corn_bottom | minecraft:block | extradelight:blocks/corn_bottom extradelight:corn_seeds minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/corn_cob_bundle | minecraft:block | extradelight:blocks/corn_cob_bundle extradelight:corn_cob_bundle minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/corn_crate | minecraft:block | extradelight:blocks/corn_crate extradelight:corn_crate minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/corn_husk_bundle | minecraft:block | extradelight:blocks/corn_husk_bundle extradelight:corn_husk_bundle minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/corn_husk_doll | minecraft:block | extradelight:blocks/corn_husk_doll extradelight:corn_husk_doll minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/corn_pudding | minecraft:block | extradelight:blocks/corn_pudding extradelight:corn_pudding extradelight:square_pan minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/corn_sack | minecraft:block | extradelight:blocks/corn_sack extradelight:corn_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/corn_silk_sack | minecraft:block | extradelight:blocks/corn_silk_sack extradelight:corn_silk_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/corn_top | minecraft:block | extradelight:blocks/corn_top extradelight:corn_seeds extradelight:corn_top extradelight:unshucked_corn minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item
extradelight:blocks/cornbread | minecraft:block | extradelight:blocks/cornbread extradelight:cornbread farmersdelight:skillet minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/cornmeal | minecraft:block | extradelight:blocks/cornmeal extradelight:corn_meal minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cornmeal_sack | minecraft:block | extradelight:blocks/cornmeal_sack extradelight:cornmeal_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_counter_cabinet | minecraft:block | extradelight:blocks/crimson_counter_cabinet extradelight:crimson_counter_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_dried_corn_fence | minecraft:block | extradelight:blocks/crimson_dried_corn_fence extradelight:crimson_dried_corn_fence minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_food_display | minecraft:block | extradelight:blocks/crimson_food_display extradelight:crimson_food_display minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_half_cabinet | minecraft:block | extradelight:blocks/crimson_half_cabinet extradelight:crimson_half_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_knife_block | minecraft:block | extradelight:blocks/crimson_knife_block extradelight:crimson_knife_block minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_molded_black_wallpaper | minecraft:block | extradelight:blocks/crimson_molded_black_wallpaper extradelight:crimson_molded_black_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_molded_blue_wallpaper | minecraft:block | extradelight:blocks/crimson_molded_blue_wallpaper extradelight:crimson_molded_blue_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_molded_brown_wallpaper | minecraft:block | extradelight:blocks/crimson_molded_brown_wallpaper extradelight:crimson_molded_brown_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_molded_cyan_wallpaper | minecraft:block | extradelight:blocks/crimson_molded_cyan_wallpaper extradelight:crimson_molded_cyan_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_molded_gray_wallpaper | minecraft:block | extradelight:blocks/crimson_molded_gray_wallpaper extradelight:crimson_molded_gray_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_molded_green_wallpaper | minecraft:block | extradelight:blocks/crimson_molded_green_wallpaper extradelight:crimson_molded_green_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_molded_light_blue_wallpaper | minecraft:block | extradelight:blocks/crimson_molded_light_blue_wallpaper extradelight:crimson_molded_light_blue_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_molded_light_gray_wallpaper | minecraft:block | extradelight:blocks/crimson_molded_light_gray_wallpaper extradelight:crimson_molded_light_gray_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_molded_lime_wallpaper | minecraft:block | extradelight:blocks/crimson_molded_lime_wallpaper extradelight:crimson_molded_lime_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_molded_magenta_wallpaper | minecraft:block | extradelight:blocks/crimson_molded_magenta_wallpaper extradelight:crimson_molded_magenta_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_molded_orange_wallpaper | minecraft:block | extradelight:blocks/crimson_molded_orange_wallpaper extradelight:crimson_molded_orange_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_molded_pink_wallpaper | minecraft:block | extradelight:blocks/crimson_molded_pink_wallpaper extradelight:crimson_molded_pink_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_molded_purple_wallpaper | minecraft:block | extradelight:blocks/crimson_molded_purple_wallpaper extradelight:crimson_molded_purple_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_molded_red_wallpaper | minecraft:block | extradelight:blocks/crimson_molded_red_wallpaper extradelight:crimson_molded_red_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_molded_white_wallpaper | minecraft:block | extradelight:blocks/crimson_molded_white_wallpaper extradelight:crimson_molded_white_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_molded_yellow_wallpaper | minecraft:block | extradelight:blocks/crimson_molded_yellow_wallpaper extradelight:crimson_molded_yellow_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_sink | minecraft:block | extradelight:blocks/crimson_sink extradelight:crimson_sink minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_spice_rack | minecraft:block | extradelight:blocks/crimson_spice_rack extradelight:crimson_spice_rack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_spice_rack_full | minecraft:block | extradelight:blocks/crimson_spice_rack_full extradelight:crimson_spice_rack_full minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_step_stool | minecraft:block | extradelight:blocks/crimson_step_stool extradelight:crimson_step_stool minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crimson_wreath | minecraft:block | extradelight:blocks/crimson_wreath extradelight:crimson_wreath minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/crisp_rice_treats | minecraft:block | extradelight:blocks/crisp_rice_treats extradelight:crisp_rice_treats extradelight:tray minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/cucumber_crate | minecraft:block | extradelight:blocks/cucumber_crate extradelight:cucumber_crate_item minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cucumber_crop | minecraft:block | extradelight:blocks/cucumber_crop extradelight:cucumber extradelight:cucumber_crop extradelight:cucumber_seed minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item minecraft:uniform
extradelight:blocks/curry_block | minecraft:block | extradelight:blocks/curry_block extradelight:curry_block extradelight:serving_pot minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/cyan_chocolate_box | minecraft:block | extradelight:blocks/cyan_chocolate_box extradelight:cyan_chocolate_box minecraft:block minecraft:container minecraft:copy_components minecraft:item minecraft:survives_explosion
extradelight:blocks/cyan_frosted_gingerbread_block | minecraft:block | extradelight:blocks/cyan_frosted_gingerbread_block minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/cyan_picnic_basket | minecraft:block | extradelight:blocks/cyan_picnic_basket extradelight:cyan_picnic_basket minecraft:block minecraft:container minecraft:copy_components minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_chocolate_block | minecraft:block | extradelight:blocks/dark_chocolate_block minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_chocolate_door | minecraft:block | extradelight:blocks/dark_chocolate_door extradelight:dark_chocolate_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_chocolate_fence | minecraft:block | extradelight:blocks/dark_chocolate_fence extradelight:dark_chocolate_fence minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_chocolate_fence_gate | minecraft:block | extradelight:blocks/dark_chocolate_fence_gate extradelight:dark_chocolate_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_chocolate_fondue | minecraft:block | extradelight:blocks/dark_chocolate_fondue extradelight:dark_chocolate_fondue minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bucket minecraft:item
extradelight:blocks/dark_chocolate_pillar | minecraft:block | extradelight:blocks/dark_chocolate_pillar extradelight:dark_chocolate_pillar minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_chocolate_slab | minecraft:block | extradelight:blocks/dark_chocolate_slab extradelight:dark_chocolate_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
extradelight:blocks/dark_chocolate_stairs | minecraft:block | extradelight:blocks/dark_chocolate_stairs extradelight:dark_chocolate_stairs minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_chocolate_trapdoor | minecraft:block | extradelight:blocks/dark_chocolate_trapdoor extradelight:dark_chocolate_trapdoor minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_counter_cabinet | minecraft:block | extradelight:blocks/dark_oak_counter_cabinet extradelight:dark_oak_counter_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_dried_corn_fence | minecraft:block | extradelight:blocks/dark_oak_dried_corn_fence extradelight:dark_oak_dried_corn_fence minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_food_display | minecraft:block | extradelight:blocks/dark_oak_food_display extradelight:dark_oak_food_display minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_half_cabinet | minecraft:block | extradelight:blocks/dark_oak_half_cabinet extradelight:dark_oak_half_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_knife_block | minecraft:block | extradelight:blocks/dark_oak_knife_block extradelight:dark_oak_knife_block minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_molded_black_wallpaper | minecraft:block | extradelight:blocks/dark_oak_molded_black_wallpaper extradelight:dark_oak_molded_black_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_molded_blue_wallpaper | minecraft:block | extradelight:blocks/dark_oak_molded_blue_wallpaper extradelight:dark_oak_molded_blue_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_molded_brown_wallpaper | minecraft:block | extradelight:blocks/dark_oak_molded_brown_wallpaper extradelight:dark_oak_molded_brown_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_molded_cyan_wallpaper | minecraft:block | extradelight:blocks/dark_oak_molded_cyan_wallpaper extradelight:dark_oak_molded_cyan_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_molded_gray_wallpaper | minecraft:block | extradelight:blocks/dark_oak_molded_gray_wallpaper extradelight:dark_oak_molded_gray_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_molded_green_wallpaper | minecraft:block | extradelight:blocks/dark_oak_molded_green_wallpaper extradelight:dark_oak_molded_green_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_molded_light_blue_wallpaper | minecraft:block | extradelight:blocks/dark_oak_molded_light_blue_wallpaper extradelight:dark_oak_molded_light_blue_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_molded_light_gray_wallpaper | minecraft:block | extradelight:blocks/dark_oak_molded_light_gray_wallpaper extradelight:dark_oak_molded_light_gray_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_molded_lime_wallpaper | minecraft:block | extradelight:blocks/dark_oak_molded_lime_wallpaper extradelight:dark_oak_molded_lime_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_molded_magenta_wallpaper | minecraft:block | extradelight:blocks/dark_oak_molded_magenta_wallpaper extradelight:dark_oak_molded_magenta_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_molded_orange_wallpaper | minecraft:block | extradelight:blocks/dark_oak_molded_orange_wallpaper extradelight:dark_oak_molded_orange_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_molded_pink_wallpaper | minecraft:block | extradelight:blocks/dark_oak_molded_pink_wallpaper extradelight:dark_oak_molded_pink_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_molded_purple_wallpaper | minecraft:block | extradelight:blocks/dark_oak_molded_purple_wallpaper extradelight:dark_oak_molded_purple_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_molded_red_wallpaper | minecraft:block | extradelight:blocks/dark_oak_molded_red_wallpaper extradelight:dark_oak_molded_red_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_molded_white_wallpaper | minecraft:block | extradelight:blocks/dark_oak_molded_white_wallpaper extradelight:dark_oak_molded_white_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_molded_yellow_wallpaper | minecraft:block | extradelight:blocks/dark_oak_molded_yellow_wallpaper extradelight:dark_oak_molded_yellow_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_sink | minecraft:block | extradelight:blocks/dark_oak_sink extradelight:dark_oak_sink minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_spice_rack | minecraft:block | extradelight:blocks/dark_oak_spice_rack extradelight:dark_oak_spice_rack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_spice_rack_full | minecraft:block | extradelight:blocks/dark_oak_spice_rack_full extradelight:dark_oak_spice_rack_full minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_step_stool | minecraft:block | extradelight:blocks/dark_oak_step_stool extradelight:dark_oak_step_stool minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dark_oak_wreath | minecraft:block | extradelight:blocks/dark_oak_wreath extradelight:dark_oak_wreath minecraft:block minecraft:item minecraft:survives_explosion
