mcwroofs:blocks/acacia_attic_roof | minecraft:block | mcwroofs:acacia_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/grass_steep_roof | minecraft:block | mcwroofs:grass_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/grass_top_roof | minecraft:block | mcwroofs:grass_top_roof minecraft:block minecraft:item
mcwroofs:blocks/grass_upper_lower_roof | minecraft:block | mcwroofs:grass_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/grass_upper_steep_roof | minecraft:block | mcwroofs:grass_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_attic_roof | minecraft:block | mcwroofs:gray_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_concrete_attic_roof | minecraft:block | mcwroofs:gray_concrete_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_concrete_lower_roof | minecraft:block | mcwroofs:gray_concrete_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_concrete_roof | minecraft:block | mcwroofs:gray_concrete_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_concrete_steep_roof | minecraft:block | mcwroofs:gray_concrete_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_concrete_top_roof | minecraft:block | mcwroofs:gray_concrete_top_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_concrete_upper_lower_roof | minecraft:block | mcwroofs:gray_concrete_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_concrete_upper_steep_roof | minecraft:block | mcwroofs:gray_concrete_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_lower_roof | minecraft:block | mcwroofs:gray_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_roof | minecraft:block | mcwroofs:gray_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_roof_block | minecraft:block | mcwroofs:gray_roof_block minecraft:block minecraft:item
mcwroofs:blocks/gray_roof_slab | minecraft:block | mcwroofs:gray_roof_slab minecraft:block minecraft:item
mcwroofs:blocks/gray_steep_roof | minecraft:block | mcwroofs:gray_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_striped_awning | minecraft:block | mcwroofs:gray_striped_awning minecraft:block minecraft:item
mcwroofs:blocks/gray_terracotta_attic_roof | minecraft:block | mcwroofs:gray_terracotta_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_terracotta_lower_roof | minecraft:block | mcwroofs:gray_terracotta_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_terracotta_roof | minecraft:block | mcwroofs:gray_terracotta_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_terracotta_steep_roof | minecraft:block | mcwroofs:gray_terracotta_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_terracotta_top_roof | minecraft:block | mcwroofs:gray_terracotta_top_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_terracotta_upper_lower_roof | minecraft:block | mcwroofs:gray_terracotta_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_terracotta_upper_steep_roof | minecraft:block | mcwroofs:gray_terracotta_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_top_roof | minecraft:block | mcwroofs:gray_top_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_upper_lower_roof | minecraft:block | mcwroofs:gray_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/gray_upper_steep_roof | minecraft:block | mcwroofs:gray_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/green_concrete_attic_roof | minecraft:block | mcwroofs:green_concrete_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/green_concrete_lower_roof | minecraft:block | mcwroofs:green_concrete_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/green_concrete_roof | minecraft:block | mcwroofs:green_concrete_roof minecraft:block minecraft:item
mcwroofs:blocks/green_concrete_steep_roof | minecraft:block | mcwroofs:green_concrete_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/green_concrete_top_roof | minecraft:block | mcwroofs:green_concrete_top_roof minecraft:block minecraft:item
mcwroofs:blocks/green_concrete_upper_lower_roof | minecraft:block | mcwroofs:green_concrete_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/green_concrete_upper_steep_roof | minecraft:block | mcwroofs:green_concrete_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/green_striped_awning | minecraft:block | mcwroofs:green_striped_awning minecraft:block minecraft:item
mcwroofs:blocks/green_terracotta_attic_roof | minecraft:block | mcwroofs:green_terracotta_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/green_terracotta_lower_roof | minecraft:block | mcwroofs:green_terracotta_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/green_terracotta_roof | minecraft:block | mcwroofs:green_terracotta_roof minecraft:block minecraft:item
mcwroofs:blocks/green_terracotta_steep_roof | minecraft:block | mcwroofs:green_terracotta_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/green_terracotta_top_roof | minecraft:block | mcwroofs:green_terracotta_top_roof minecraft:block minecraft:item
mcwroofs:blocks/green_terracotta_upper_lower_roof | minecraft:block | mcwroofs:green_terracotta_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/green_terracotta_upper_steep_roof | minecraft:block | mcwroofs:green_terracotta_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/gutter_base | minecraft:block | mcwroofs:gutter_base minecraft:block minecraft:item
mcwroofs:blocks/gutter_base_black | minecraft:block | mcwroofs:gutter_base_black minecraft:block minecraft:item
mcwroofs:blocks/gutter_base_blue | minecraft:block | mcwroofs:gutter_base_blue minecraft:block minecraft:item
mcwroofs:blocks/gutter_base_brown | minecraft:block | mcwroofs:gutter_base_brown minecraft:block minecraft:item
mcwroofs:blocks/gutter_base_cyan | minecraft:block | mcwroofs:gutter_base_cyan minecraft:block minecraft:item
mcwroofs:blocks/gutter_base_gray | minecraft:block | mcwroofs:gutter_base_gray minecraft:block minecraft:item
mcwroofs:blocks/gutter_base_green | minecraft:block | mcwroofs:gutter_base_green minecraft:block minecraft:item
mcwroofs:blocks/gutter_base_light_blue | minecraft:block | mcwroofs:gutter_base_light_blue minecraft:block minecraft:item
mcwroofs:blocks/gutter_base_light_gray | minecraft:block | mcwroofs:gutter_base_light_gray minecraft:block minecraft:item
mcwroofs:blocks/gutter_base_lime | minecraft:block | mcwroofs:gutter_base_lime minecraft:block minecraft:item
mcwroofs:blocks/gutter_base_magenta | minecraft:block | mcwroofs:gutter_base_magenta minecraft:block minecraft:item
mcwroofs:blocks/gutter_base_orange | minecraft:block | mcwroofs:gutter_base_orange minecraft:block minecraft:item
mcwroofs:blocks/gutter_base_pink | minecraft:block | mcwroofs:gutter_base_pink minecraft:block minecraft:item
mcwroofs:blocks/gutter_base_purple | minecraft:block | mcwroofs:gutter_base_purple minecraft:block minecraft:item
mcwroofs:blocks/gutter_base_red | minecraft:block | mcwroofs:gutter_base_red minecraft:block minecraft:item
mcwroofs:blocks/gutter_base_white | minecraft:block | mcwroofs:gutter_base_white minecraft:block minecraft:item
mcwroofs:blocks/gutter_base_yellow | minecraft:block | mcwroofs:gutter_base_yellow minecraft:block minecraft:item
mcwroofs:blocks/gutter_middle | minecraft:block | mcwroofs:gutter_middle minecraft:block minecraft:item
mcwroofs:blocks/gutter_middle_black | minecraft:block | mcwroofs:gutter_middle_black minecraft:block minecraft:item
mcwroofs:blocks/gutter_middle_blue | minecraft:block | mcwroofs:gutter_middle_blue minecraft:block minecraft:item
mcwroofs:blocks/gutter_middle_brown | minecraft:block | mcwroofs:gutter_middle_brown minecraft:block minecraft:item
mcwroofs:blocks/gutter_middle_cyan | minecraft:block | mcwroofs:gutter_middle_cyan minecraft:block minecraft:item
mcwroofs:blocks/gutter_middle_gray | minecraft:block | mcwroofs:gutter_middle_gray minecraft:block minecraft:item
mcwroofs:blocks/gutter_middle_green | minecraft:block | mcwroofs:gutter_middle_green minecraft:block minecraft:item
mcwroofs:blocks/gutter_middle_light_blue | minecraft:block | mcwroofs:gutter_middle_light_blue minecraft:block minecraft:item
mcwroofs:blocks/gutter_middle_light_gray | minecraft:block | mcwroofs:gutter_middle_light_gray minecraft:block minecraft:item
mcwroofs:blocks/gutter_middle_lime | minecraft:block | mcwroofs:gutter_middle_lime minecraft:block minecraft:item
mcwroofs:blocks/gutter_middle_magenta | minecraft:block | mcwroofs:gutter_middle_magenta minecraft:block minecraft:item
mcwroofs:blocks/gutter_middle_orange | minecraft:block | mcwroofs:gutter_middle_orange minecraft:block minecraft:item
mcwroofs:blocks/gutter_middle_pink | minecraft:block | mcwroofs:gutter_middle_pink minecraft:block minecraft:item
mcwroofs:blocks/gutter_middle_purple | minecraft:block | mcwroofs:gutter_middle_purple minecraft:block minecraft:item
mcwroofs:blocks/gutter_middle_red | minecraft:block | mcwroofs:gutter_middle_red minecraft:block minecraft:item
mcwroofs:blocks/gutter_middle_white | minecraft:block | mcwroofs:gutter_middle_white minecraft:block minecraft:item
mcwroofs:blocks/gutter_middle_yellow | minecraft:block | mcwroofs:gutter_middle_yellow minecraft:block minecraft:item
mcwroofs:blocks/jungle_attic_roof | minecraft:block | mcwroofs:jungle_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/jungle_lower_roof | minecraft:block | mcwroofs:jungle_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/jungle_planks_attic_roof | minecraft:block | mcwroofs:jungle_planks_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/jungle_planks_lower_roof | minecraft:block | mcwroofs:jungle_planks_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/jungle_planks_roof | minecraft:block | mcwroofs:jungle_planks_roof minecraft:block minecraft:item
mcwroofs:blocks/jungle_planks_steep_roof | minecraft:block | mcwroofs:jungle_planks_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/jungle_planks_top_roof | minecraft:block | mcwroofs:jungle_planks_top_roof minecraft:block minecraft:item
mcwroofs:blocks/jungle_planks_upper_lower_roof | minecraft:block | mcwroofs:jungle_planks_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/jungle_planks_upper_steep_roof | minecraft:block | mcwroofs:jungle_planks_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/jungle_roof | minecraft:block | mcwroofs:jungle_roof minecraft:block minecraft:item
mcwroofs:blocks/jungle_steep_roof | minecraft:block | mcwroofs:jungle_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/jungle_top_roof | minecraft:block | mcwroofs:jungle_top_roof minecraft:block minecraft:item
mcwroofs:blocks/jungle_upper_lower_roof | minecraft:block | mcwroofs:jungle_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/jungle_upper_steep_roof | minecraft:block | mcwroofs:jungle_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/light_blue_concrete_attic_roof | minecraft:block | mcwroofs:light_blue_concrete_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/light_blue_concrete_lower_roof | minecraft:block | mcwroofs:light_blue_concrete_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/light_blue_concrete_roof | minecraft:block | mcwroofs:light_blue_concrete_roof minecraft:block minecraft:item
mcwroofs:blocks/light_blue_concrete_steep_roof | minecraft:block | mcwroofs:light_blue_concrete_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/light_blue_concrete_top_roof | minecraft:block | mcwroofs:light_blue_concrete_top_roof minecraft:block minecraft:item
mcwroofs:blocks/light_blue_concrete_upper_lower_roof | minecraft:block | mcwroofs:light_blue_concrete_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/light_blue_concrete_upper_steep_roof | minecraft:block | mcwroofs:light_blue_concrete_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/light_blue_striped_awning | minecraft:block | mcwroofs:light_blue_striped_awning minecraft:block minecraft:item
mcwroofs:blocks/light_blue_terracotta_attic_roof | minecraft:block | mcwroofs:light_blue_terracotta_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/light_blue_terracotta_lower_roof | minecraft:block | mcwroofs:light_blue_terracotta_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/light_blue_terracotta_roof | minecraft:block | mcwroofs:light_blue_terracotta_roof minecraft:block minecraft:item
mcwroofs:blocks/light_blue_terracotta_steep_roof | minecraft:block | mcwroofs:light_blue_terracotta_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/light_blue_terracotta_top_roof | minecraft:block | mcwroofs:light_blue_terracotta_top_roof minecraft:block minecraft:item
mcwroofs:blocks/light_blue_terracotta_upper_lower_roof | minecraft:block | mcwroofs:light_blue_terracotta_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/light_blue_terracotta_upper_steep_roof | minecraft:block | mcwroofs:light_blue_terracotta_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_attic_roof | minecraft:block | mcwroofs:light_gray_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_concrete_attic_roof | minecraft:block | mcwroofs:light_gray_concrete_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_concrete_lower_roof | minecraft:block | mcwroofs:light_gray_concrete_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_concrete_roof | minecraft:block | mcwroofs:light_gray_concrete_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_concrete_steep_roof | minecraft:block | mcwroofs:light_gray_concrete_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_concrete_top_roof | minecraft:block | mcwroofs:light_gray_concrete_top_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_concrete_upper_lower_roof | minecraft:block | mcwroofs:light_gray_concrete_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_concrete_upper_steep_roof | minecraft:block | mcwroofs:light_gray_concrete_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_lower_roof | minecraft:block | mcwroofs:light_gray_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_roof | minecraft:block | mcwroofs:light_gray_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_roof_block | minecraft:block | mcwroofs:light_gray_roof_block minecraft:block minecraft:item
mcwroofs:blocks/light_gray_roof_slab | minecraft:block | mcwroofs:light_gray_roof_slab minecraft:block minecraft:item
mcwroofs:blocks/light_gray_steep_roof | minecraft:block | mcwroofs:light_gray_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_striped_awning | minecraft:block | mcwroofs:light_gray_striped_awning minecraft:block minecraft:item
mcwroofs:blocks/light_gray_terracotta_attic_roof | minecraft:block | mcwroofs:light_gray_terracotta_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_terracotta_lower_roof | minecraft:block | mcwroofs:light_gray_terracotta_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_terracotta_roof | minecraft:block | mcwroofs:light_gray_terracotta_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_terracotta_steep_roof | minecraft:block | mcwroofs:light_gray_terracotta_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_terracotta_top_roof | minecraft:block | mcwroofs:light_gray_terracotta_top_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_terracotta_upper_lower_roof | minecraft:block | mcwroofs:light_gray_terracotta_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_terracotta_upper_steep_roof | minecraft:block | mcwroofs:light_gray_terracotta_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_top_roof | minecraft:block | mcwroofs:light_gray_top_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_upper_lower_roof | minecraft:block | mcwroofs:light_gray_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/light_gray_upper_steep_roof | minecraft:block | mcwroofs:light_gray_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/lime_concrete_attic_roof | minecraft:block | mcwroofs:lime_concrete_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/lime_concrete_lower_roof | minecraft:block | mcwroofs:lime_concrete_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/lime_concrete_roof | minecraft:block | mcwroofs:lime_concrete_roof minecraft:block minecraft:item
mcwroofs:blocks/lime_concrete_steep_roof | minecraft:block | mcwroofs:lime_concrete_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/lime_concrete_top_roof | minecraft:block | mcwroofs:lime_concrete_top_roof minecraft:block minecraft:item
mcwroofs:blocks/lime_concrete_upper_lower_roof | minecraft:block | mcwroofs:lime_concrete_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/lime_concrete_upper_steep_roof | minecraft:block | mcwroofs:lime_concrete_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/lime_striped_awning | minecraft:block | mcwroofs:lime_striped_awning minecraft:block minecraft:item
mcwroofs:blocks/lime_terracotta_attic_roof | minecraft:block | mcwroofs:lime_terracotta_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/lime_terracotta_lower_roof | minecraft:block | mcwroofs:lime_terracotta_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/lime_terracotta_roof | minecraft:block | mcwroofs:lime_terracotta_roof minecraft:block minecraft:item
mcwroofs:blocks/lime_terracotta_steep_roof | minecraft:block | mcwroofs:lime_terracotta_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/lime_terracotta_top_roof | minecraft:block | mcwroofs:lime_terracotta_top_roof minecraft:block minecraft:item
mcwroofs:blocks/lime_terracotta_upper_lower_roof | minecraft:block | mcwroofs:lime_terracotta_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/lime_terracotta_upper_steep_roof | minecraft:block | mcwroofs:lime_terracotta_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/magenta_concrete_attic_roof | minecraft:block | mcwroofs:magenta_concrete_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/magenta_concrete_lower_roof | minecraft:block | mcwroofs:magenta_concrete_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/magenta_concrete_roof | minecraft:block | mcwroofs:magenta_concrete_roof minecraft:block minecraft:item
mcwroofs:blocks/magenta_concrete_steep_roof | minecraft:block | mcwroofs:magenta_concrete_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/magenta_concrete_top_roof | minecraft:block | mcwroofs:magenta_concrete_top_roof minecraft:block minecraft:item
mcwroofs:blocks/magenta_concrete_upper_lower_roof | minecraft:block | mcwroofs:magenta_concrete_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/magenta_concrete_upper_steep_roof | minecraft:block | mcwroofs:magenta_concrete_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/magenta_striped_awning | minecraft:block | mcwroofs:magenta_striped_awning minecraft:block minecraft:item
mcwroofs:blocks/magenta_terracotta_attic_roof | minecraft:block | mcwroofs:magenta_terracotta_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/magenta_terracotta_lower_roof | minecraft:block | mcwroofs:magenta_terracotta_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/magenta_terracotta_roof | minecraft:block | mcwroofs:magenta_terracotta_roof minecraft:block minecraft:item
mcwroofs:blocks/magenta_terracotta_steep_roof | minecraft:block | mcwroofs:magenta_terracotta_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/magenta_terracotta_top_roof | minecraft:block | mcwroofs:magenta_terracotta_top_roof minecraft:block minecraft:item
mcwroofs:blocks/magenta_terracotta_upper_lower_roof | minecraft:block | mcwroofs:magenta_terracotta_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/magenta_terracotta_upper_steep_roof | minecraft:block | mcwroofs:magenta_terracotta_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/mangrove_attic_roof | minecraft:block | mcwroofs:mangrove_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/mangrove_lower_roof | minecraft:block | mcwroofs:mangrove_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/mangrove_planks_attic_roof | minecraft:block | mcwroofs:mangrove_planks_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/mangrove_planks_lower_roof | minecraft:block | mcwroofs:mangrove_planks_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/mangrove_planks_roof | minecraft:block | mcwroofs:mangrove_planks_roof minecraft:block minecraft:item
mcwroofs:blocks/mangrove_planks_steep_roof | minecraft:block | mcwroofs:mangrove_planks_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/mangrove_planks_top_roof | minecraft:block | mcwroofs:mangrove_planks_top_roof minecraft:block minecraft:item
mcwroofs:blocks/mangrove_planks_upper_lower_roof | minecraft:block | mcwroofs:mangrove_planks_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/mangrove_planks_upper_steep_roof | minecraft:block | mcwroofs:mangrove_planks_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/mangrove_roof | minecraft:block | mcwroofs:mangrove_roof minecraft:block minecraft:item
mcwroofs:blocks/mangrove_steep_roof | minecraft:block | mcwroofs:mangrove_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/mangrove_top_roof | minecraft:block | mcwroofs:mangrove_top_roof minecraft:block minecraft:item
mcwroofs:blocks/mangrove_upper_lower_roof | minecraft:block | mcwroofs:mangrove_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/mangrove_upper_steep_roof | minecraft:block | mcwroofs:mangrove_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/mud_brick_attic_roof | minecraft:block | mcwroofs:mud_brick_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/mud_brick_lower_roof | minecraft:block | mcwroofs:mud_brick_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/mud_brick_roof | minecraft:block | mcwroofs:mud_brick_roof minecraft:block minecraft:item
mcwroofs:blocks/mud_brick_steep_roof | minecraft:block | mcwroofs:mud_brick_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/mud_brick_top_roof | minecraft:block | mcwroofs:mud_brick_top_roof minecraft:block minecraft:item
mcwroofs:blocks/mud_brick_upper_lower_roof | minecraft:block | mcwroofs:mud_brick_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/mud_brick_upper_steep_roof | minecraft:block | mcwroofs:mud_brick_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/nether_bricks_attic_roof | minecraft:block | mcwroofs:nether_bricks_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/nether_bricks_lower_roof | minecraft:block | mcwroofs:nether_bricks_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/nether_bricks_roof | minecraft:block | mcwroofs:nether_bricks_roof minecraft:block minecraft:item
mcwroofs:blocks/nether_bricks_steep_roof | minecraft:block | mcwroofs:nether_bricks_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/nether_bricks_top_roof | minecraft:block | mcwroofs:nether_bricks_top_roof minecraft:block minecraft:item
mcwroofs:blocks/nether_bricks_upper_lower_roof | minecraft:block | mcwroofs:nether_bricks_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/nether_bricks_upper_steep_roof | minecraft:block | mcwroofs:nether_bricks_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/oak_attic_roof | minecraft:block | mcwroofs:oak_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/oak_lower_roof | minecraft:block | mcwroofs:oak_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/oak_planks_attic_roof | minecraft:block | mcwroofs:oak_planks_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/oak_planks_lower_roof | minecraft:block | mcwroofs:oak_planks_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/oak_planks_roof | minecraft:block | mcwroofs:oak_planks_roof minecraft:block minecraft:item
mcwroofs:blocks/oak_planks_steep_roof | minecraft:block | mcwroofs:oak_planks_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/oak_planks_top_roof | minecraft:block | mcwroofs:oak_planks_top_roof minecraft:block minecraft:item
mcwroofs:blocks/oak_planks_upper_lower_roof | minecraft:block | mcwroofs:oak_planks_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/oak_planks_upper_steep_roof | minecraft:block | mcwroofs:oak_planks_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/oak_roof | minecraft:block | mcwroofs:oak_roof minecraft:block minecraft:item
mcwroofs:blocks/oak_steep_roof | minecraft:block | mcwroofs:oak_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/oak_top_roof | minecraft:block | mcwroofs:oak_top_roof minecraft:block minecraft:item
mcwroofs:blocks/oak_upper_lower_roof | minecraft:block | mcwroofs:oak_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/oak_upper_steep_roof | minecraft:block | mcwroofs:oak_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/orange_concrete_attic_roof | minecraft:block | mcwroofs:orange_concrete_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/orange_concrete_lower_roof | minecraft:block | mcwroofs:orange_concrete_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/orange_concrete_roof | minecraft:block | mcwroofs:orange_concrete_roof minecraft:block minecraft:item
mcwroofs:blocks/orange_concrete_steep_roof | minecraft:block | mcwroofs:orange_concrete_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/orange_concrete_top_roof | minecraft:block | mcwroofs:orange_concrete_top_roof minecraft:block minecraft:item
mcwroofs:blocks/orange_concrete_upper_lower_roof | minecraft:block | mcwroofs:orange_concrete_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/orange_concrete_upper_steep_roof | minecraft:block | mcwroofs:orange_concrete_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/orange_striped_awning | minecraft:block | mcwroofs:orange_striped_awning minecraft:block minecraft:item
mcwroofs:blocks/orange_terracotta_attic_roof | minecraft:block | mcwroofs:orange_terracotta_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/orange_terracotta_lower_roof | minecraft:block | mcwroofs:orange_terracotta_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/orange_terracotta_roof | minecraft:block | mcwroofs:orange_terracotta_roof minecraft:block minecraft:item
mcwroofs:blocks/orange_terracotta_steep_roof | minecraft:block | mcwroofs:orange_terracotta_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/orange_terracotta_top_roof | minecraft:block | mcwroofs:orange_terracotta_top_roof minecraft:block minecraft:item
mcwroofs:blocks/orange_terracotta_upper_lower_roof | minecraft:block | mcwroofs:orange_terracotta_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/orange_terracotta_upper_steep_roof | minecraft:block | mcwroofs:orange_terracotta_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/pink_concrete_attic_roof | minecraft:block | mcwroofs:pink_concrete_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/pink_concrete_lower_roof | minecraft:block | mcwroofs:pink_concrete_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/pink_concrete_roof | minecraft:block | mcwroofs:pink_concrete_roof minecraft:block minecraft:item
mcwroofs:blocks/pink_concrete_steep_roof | minecraft:block | mcwroofs:pink_concrete_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/pink_concrete_top_roof | minecraft:block | mcwroofs:pink_concrete_top_roof minecraft:block minecraft:item
mcwroofs:blocks/pink_concrete_upper_lower_roof | minecraft:block | mcwroofs:pink_concrete_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/pink_concrete_upper_steep_roof | minecraft:block | mcwroofs:pink_concrete_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/pink_striped_awning | minecraft:block | mcwroofs:pink_striped_awning minecraft:block minecraft:item
