mcwwindows:blocks/acacia_blinds | minecraft:block | mcwwindows:acacia_blinds minecraft:block minecraft:item
mcwwindows:blocks/spruce_pane_window | minecraft:block | mcwwindows:spruce_pane_window minecraft:block minecraft:item
mcwwindows:blocks/spruce_plank_four_window | minecraft:block | mcwwindows:spruce_plank_four_window minecraft:block minecraft:item
mcwwindows:blocks/spruce_plank_pane_window | minecraft:block | mcwwindows:spruce_plank_pane_window minecraft:block minecraft:item
mcwwindows:blocks/spruce_plank_parapet | minecraft:block | mcwwindows:spruce_plank_parapet minecraft:block minecraft:item
mcwwindows:blocks/spruce_plank_window | minecraft:block | mcwwindows:spruce_plank_window minecraft:block minecraft:item
mcwwindows:blocks/spruce_plank_window2 | minecraft:block | mcwwindows:spruce_plank_window2 minecraft:block minecraft:item
mcwwindows:blocks/spruce_shutter | minecraft:block | mcwwindows:spruce_shutter minecraft:block minecraft:item
mcwwindows:blocks/spruce_window | minecraft:block | mcwwindows:spruce_window minecraft:block minecraft:item
mcwwindows:blocks/spruce_window2 | minecraft:block | mcwwindows:spruce_window2 minecraft:block minecraft:item
mcwwindows:blocks/stone_brick_arrow_slit | minecraft:block | mcwwindows:stone_brick_arrow_slit minecraft:block minecraft:item
mcwwindows:blocks/stone_brick_gothic | minecraft:block | mcwwindows:stone_brick_gothic minecraft:block minecraft:item
mcwwindows:blocks/stone_four_window | minecraft:block | mcwwindows:stone_four_window minecraft:block minecraft:item
mcwwindows:blocks/stone_pane_window | minecraft:block | mcwwindows:stone_pane_window minecraft:block minecraft:item
mcwwindows:blocks/stone_window | minecraft:block | mcwwindows:stone_window minecraft:block minecraft:item
mcwwindows:blocks/stone_window2 | minecraft:block | mcwwindows:stone_window2 minecraft:block minecraft:item
mcwwindows:blocks/stripped_acacia_log_four_window | minecraft:block | mcwwindows:stripped_acacia_log_four_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_acacia_log_window | minecraft:block | mcwwindows:stripped_acacia_log_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_acacia_log_window2 | minecraft:block | mcwwindows:stripped_acacia_log_window2 minecraft:block minecraft:item
mcwwindows:blocks/stripped_acacia_pane_window | minecraft:block | mcwwindows:stripped_acacia_pane_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_birch_log_four_window | minecraft:block | mcwwindows:stripped_birch_log_four_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_birch_log_window | minecraft:block | mcwwindows:stripped_birch_log_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_birch_log_window2 | minecraft:block | mcwwindows:stripped_birch_log_window2 minecraft:block minecraft:item
mcwwindows:blocks/stripped_birch_pane_window | minecraft:block | mcwwindows:stripped_birch_pane_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_cherry_log_four_window | minecraft:block | mcwwindows:stripped_cherry_log_four_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_cherry_log_window | minecraft:block | mcwwindows:stripped_cherry_log_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_cherry_log_window2 | minecraft:block | mcwwindows:stripped_cherry_log_window2 minecraft:block minecraft:item
mcwwindows:blocks/stripped_cherry_pane_window | minecraft:block | mcwwindows:stripped_cherry_pane_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_crimson_pane_window | minecraft:block | mcwwindows:stripped_crimson_pane_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_crimson_stem_four_window | minecraft:block | mcwwindows:stripped_crimson_stem_four_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_crimson_stem_window | minecraft:block | mcwwindows:stripped_crimson_stem_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_crimson_stem_window2 | minecraft:block | mcwwindows:stripped_crimson_stem_window2 minecraft:block minecraft:item
mcwwindows:blocks/stripped_dark_oak_log_four_window | minecraft:block | mcwwindows:stripped_dark_oak_log_four_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_dark_oak_log_window | minecraft:block | mcwwindows:stripped_dark_oak_log_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_dark_oak_log_window2 | minecraft:block | mcwwindows:stripped_dark_oak_log_window2 minecraft:block minecraft:item
mcwwindows:blocks/stripped_dark_oak_pane_window | minecraft:block | mcwwindows:stripped_dark_oak_pane_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_jungle_log_four_window | minecraft:block | mcwwindows:stripped_jungle_log_four_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_jungle_log_window | minecraft:block | mcwwindows:stripped_jungle_log_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_jungle_log_window2 | minecraft:block | mcwwindows:stripped_jungle_log_window2 minecraft:block minecraft:item
mcwwindows:blocks/stripped_jungle_pane_window | minecraft:block | mcwwindows:stripped_jungle_pane_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_mangrove_log_four_window | minecraft:block | mcwwindows:stripped_mangrove_log_four_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_mangrove_log_window | minecraft:block | mcwwindows:stripped_mangrove_log_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_mangrove_log_window2 | minecraft:block | mcwwindows:stripped_mangrove_log_window2 minecraft:block minecraft:item
mcwwindows:blocks/stripped_mangrove_pane_window | minecraft:block | mcwwindows:stripped_mangrove_pane_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_oak_log_four_window | minecraft:block | mcwwindows:stripped_oak_log_four_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_oak_log_window | minecraft:block | mcwwindows:stripped_oak_log_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_oak_log_window2 | minecraft:block | mcwwindows:stripped_oak_log_window2 minecraft:block minecraft:item
mcwwindows:blocks/stripped_oak_pane_window | minecraft:block | mcwwindows:stripped_oak_pane_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_spruce_log_four_window | minecraft:block | mcwwindows:stripped_spruce_log_four_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_spruce_log_window | minecraft:block | mcwwindows:stripped_spruce_log_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_spruce_log_window2 | minecraft:block | mcwwindows:stripped_spruce_log_window2 minecraft:block minecraft:item
mcwwindows:blocks/stripped_spruce_pane_window | minecraft:block | mcwwindows:stripped_spruce_pane_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_warped_pane_window | minecraft:block | mcwwindows:stripped_warped_pane_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_warped_stem_four_window | minecraft:block | mcwwindows:stripped_warped_stem_four_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_warped_stem_window | minecraft:block | mcwwindows:stripped_warped_stem_window minecraft:block minecraft:item
mcwwindows:blocks/stripped_warped_stem_window2 | minecraft:block | mcwwindows:stripped_warped_stem_window2 minecraft:block minecraft:item
mcwwindows:blocks/warped_blinds | minecraft:block | mcwwindows:warped_blinds minecraft:block minecraft:item
mcwwindows:blocks/warped_curtain_rod | minecraft:block | mcwwindows:warped_curtain_rod minecraft:block minecraft:item
mcwwindows:blocks/warped_louvered_shutter | minecraft:block | mcwwindows:warped_louvered_shutter minecraft:block minecraft:item
mcwwindows:blocks/warped_pane_window | minecraft:block | mcwwindows:warped_pane_window minecraft:block minecraft:item
mcwwindows:blocks/warped_plank_pane_window | minecraft:block | mcwwindows:warped_plank_pane_window minecraft:block minecraft:item
mcwwindows:blocks/warped_plank_parapet | minecraft:block | mcwwindows:warped_plank_parapet minecraft:block minecraft:item
mcwwindows:blocks/warped_planks_four_window | minecraft:block | mcwwindows:warped_planks_four_window minecraft:block minecraft:item
mcwwindows:blocks/warped_planks_window | minecraft:block | mcwwindows:warped_planks_window minecraft:block minecraft:item
mcwwindows:blocks/warped_planks_window2 | minecraft:block | mcwwindows:warped_planks_window2 minecraft:block minecraft:item
mcwwindows:blocks/warped_shutter | minecraft:block | mcwwindows:warped_shutter minecraft:block minecraft:item
mcwwindows:blocks/warped_stem_four_window | minecraft:block | mcwwindows:warped_stem_four_window minecraft:block minecraft:item
mcwwindows:blocks/warped_stem_parapet | minecraft:block | mcwwindows:warped_stem_parapet minecraft:block minecraft:item
mcwwindows:blocks/warped_stem_window | minecraft:block | mcwwindows:warped_stem_window minecraft:block minecraft:item
mcwwindows:blocks/warped_stem_window2 | minecraft:block | mcwwindows:warped_stem_window2 minecraft:block minecraft:item
mcwwindows:blocks/white_curtain | minecraft:block | mcwwindows:white_curtain minecraft:block minecraft:item
mcwwindows:blocks/white_mosaic_glass | minecraft:block | mcwwindows:white_mosaic_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/white_mosaic_glass_pane | minecraft:block | mcwwindows:white_mosaic_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/yellow_curtain | minecraft:block | mcwwindows:yellow_curtain minecraft:block minecraft:item
mcwwindows:blocks/yellow_mosaic_glass | minecraft:block | mcwwindows:yellow_mosaic_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
mcwwindows:blocks/yellow_mosaic_glass_pane | minecraft:block | mcwwindows:yellow_mosaic_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
