deeperdarker:blocks/ancient_vase | minecraft:block | deeperdarker:ancient_vase deeperdarker:blocks/ancient_vase deeperdarker:warden_carapace minecraft:block minecraft:book minecraft:cobweb minecraft:diamond minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:gold_ingot minecraft:golden_apple minecraft:inverted minecraft:iron_ingot minecraft:item minecraft:lapis_lazuli minecraft:match_tool minecraft:redstone minecraft:rotten_flesh minecraft:sand minecraft:set_count minecraft:silk_touch minecraft:stick minecraft:string minecraft:uniform
deeperdarker:blocks/sculk_tendrils_plant | minecraft:block | deeperdarker:blocks/sculk_tendrils_plant deeperdarker:sculk_tendrils minecraft:alternatives minecraft:any_of minecraft:block minecraft:fortune minecraft:item minecraft:match_tool minecraft:shears minecraft:silk_touch minecraft:table_bonus
deeperdarker:blocks/sculk_vines | minecraft:block | deeperdarker:blocks/sculk_vines deeperdarker:sculk_vines minecraft:alternatives minecraft:any_of minecraft:block minecraft:fortune minecraft:item minecraft:match_tool minecraft:shears minecraft:silk_touch minecraft:table_bonus
deeperdarker:blocks/sculk_vines_plant | minecraft:block | deeperdarker:blocks/sculk_vines_plant deeperdarker:sculk_vines minecraft:alternatives minecraft:any_of minecraft:block minecraft:fortune minecraft:item minecraft:match_tool minecraft:shears minecraft:silk_touch minecraft:table_bonus
deeperdarker:blocks/smooth_gloomslate | minecraft:block | deeperdarker:blocks/smooth_gloomslate deeperdarker:smooth_gloomslate minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/smooth_gloomslate_slab | minecraft:block | deeperdarker:blocks/smooth_gloomslate_slab deeperdarker:smooth_gloomslate_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
deeperdarker:blocks/smooth_gloomslate_stairs | minecraft:block | deeperdarker:blocks/smooth_gloomslate_stairs deeperdarker:smooth_gloomslate_stairs minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/smooth_gloomslate_wall | minecraft:block | deeperdarker:blocks/smooth_gloomslate_wall deeperdarker:smooth_gloomslate_wall minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/smooth_sculk_stone | minecraft:block | deeperdarker:blocks/smooth_sculk_stone deeperdarker:smooth_sculk_stone minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/smooth_sculk_stone_slab | minecraft:block | deeperdarker:blocks/smooth_sculk_stone_slab deeperdarker:smooth_sculk_stone_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
deeperdarker:blocks/smooth_sculk_stone_stairs | minecraft:block | deeperdarker:blocks/smooth_sculk_stone_stairs deeperdarker:smooth_sculk_stone_stairs minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/smooth_sculk_stone_wall | minecraft:block | deeperdarker:blocks/smooth_sculk_stone_wall deeperdarker:smooth_sculk_stone_wall minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/soundproof_glass | minecraft:block | deeperdarker:blocks/soundproof_glass deeperdarker:soundproof_glass minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/stripped_blooming_stem | minecraft:block | deeperdarker:blocks/stripped_blooming_stem deeperdarker:stripped_blooming_stem minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/stripped_echo_log | minecraft:block | deeperdarker:blocks/stripped_echo_log deeperdarker:stripped_echo_log minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:blocks/stripped_echo_wood | minecraft:block | deeperdarker:blocks/stripped_echo_wood deeperdarker:stripped_echo_wood minecraft:block minecraft:item minecraft:survives_explosion
deeperdarker:chests/ancient_temple_apex | minecraft:chest | deeperdarker:chests/ancient_temple_apex deeperdarker:crystallized_amber deeperdarker:grime_ball deeperdarker:grime_brick deeperdarker:resonarium_upgrade_smithing_template deeperdarker:sculk_bone deeperdarker:warden_carapace minecraft:book minecraft:chest minecraft:diamond minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_leggings minecraft:disc_fragment_5 minecraft:echo_shard minecraft:emerald minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:flint minecraft:iron_helmet minecraft:iron_ingot minecraft:iron_sword minecraft:item minecraft:lapis_lazuli minecraft:quartz minecraft:redstone minecraft:sculk minecraft:sculk_catalyst minecraft:sculk_sensor minecraft:set_count minecraft:set_damage minecraft:tnt minecraft:uniform
deeperdarker:chests/ancient_temple_basement | minecraft:chest | deeperdarker:catalysis deeperdarker:chests/ancient_temple_basement deeperdarker:crystallized_amber deeperdarker:grime_brick deeperdarker:sculk_bone deeperdarker:soul_dust deeperdarker:warden_carapace minecraft:book minecraft:chest minecraft:diamond minecraft:diamond_axe minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_hoe minecraft:diamond_leggings minecraft:diamond_sword minecraft:echo_shard minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:gold_ingot minecraft:iron_hoe minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_shovel minecraft:item minecraft:music_disc_otherside minecraft:name_tag minecraft:potion minecraft:sculk minecraft:set_count minecraft:set_damage minecraft:set_potion minecraft:soul_soil minecraft:string minecraft:strong_strength minecraft:uniform
deeperdarker:chests/ancient_temple_fountain | minecraft:chest | deeperdarker:chests/ancient_temple_fountain deeperdarker:soul_crystal deeperdarker:soul_dust minecraft:chest minecraft:cobblestone minecraft:cobweb minecraft:diamond minecraft:diamond_sword minecraft:enchant_with_levels minecraft:gold_ingot minecraft:gold_nugget minecraft:iron_ingot minecraft:item minecraft:quartz minecraft:raw_copper minecraft:redstone minecraft:sculk minecraft:sculk_catalyst minecraft:sculk_sensor minecraft:set_count minecraft:string minecraft:uniform
deeperdarker:chests/ancient_temple_secret | minecraft:chest | deeperdarker:chests/ancient_temple_secret deeperdarker:sculk_transmitter deeperdarker:warden_upgrade_smithing_template minecraft:chest minecraft:cobweb minecraft:diamond minecraft:echo_shard minecraft:empty minecraft:item minecraft:set_count minecraft:uniform
deeperdarker:chests/ancient_temple_storage | minecraft:chest | deeperdarker:chests/ancient_temple_storage deeperdarker:echo_log deeperdarker:sculk_stone minecraft:amethyst_shard minecraft:chest minecraft:cobblestone minecraft:diamond minecraft:emerald minecraft:item minecraft:lapis_lazuli minecraft:raw_copper minecraft:raw_gold minecraft:raw_iron minecraft:redstone minecraft:set_count minecraft:uniform
deeperdarker:chests/crystallized_amber | minecraft:chest | deeperdarker:brittle_gloomsherd deeperdarker:chests/crystallized_amber deeperdarker:sculk_bone deeperdarker:soul_dust deeperdarker:temple_gloomsherd deeperdarker:ward_gloomsherd deeperdarker:wayfinder_gloomsherd minecraft:amethyst_shard minecraft:chest minecraft:diamond minecraft:diamond_axe minecraft:emerald minecraft:enchant_with_levels minecraft:gold_ingot minecraft:iron_boots minecraft:iron_ingot minecraft:item minecraft:quartz minecraft:uniform
deeperdarker:entities/anger_pot | minecraft:entity | deeperdarker:brittle_gloomsherd deeperdarker:dark_heart_gloomsherd deeperdarker:entities/anger_pot deeperdarker:gloomsherd deeperdarker:listener_gloomsherd deeperdarker:snapper_gloomsherd deeperdarker:temple_gloomsherd deeperdarker:transmission_gloomsherd deeperdarker:ward_gloomsherd deeperdarker:wayfinder_gloomsherd minecraft:entity minecraft:item minecraft:uniform
deeperdarker:entities/angler_fish | minecraft:entity | deeperdarker:angler_fish deeperdarker:entities/angler_fish minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item
deeperdarker:entities/fear_pot | minecraft:entity | deeperdarker:brittle_gloomsherd deeperdarker:dark_heart_gloomsherd deeperdarker:entities/fear_pot deeperdarker:gloomsherd deeperdarker:listener_gloomsherd deeperdarker:snapper_gloomsherd deeperdarker:temple_gloomsherd deeperdarker:transmission_gloomsherd deeperdarker:ward_gloomsherd deeperdarker:wayfinder_gloomsherd minecraft:entity minecraft:item minecraft:uniform
deeperdarker:entities/sculk_centipede | minecraft:entity | deeperdarker:entities/sculk_centipede minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:string minecraft:uniform
deeperdarker:entities/sculk_leech | minecraft:entity | deeperdarker:entities/sculk_leech deeperdarker:soul_dust minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform
deeperdarker:entities/sculk_snapper | minecraft:entity | deeperdarker:entities/sculk_snapper deeperdarker:soul_dust minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:uniform
deeperdarker:entities/shattered | minecraft:entity | deeperdarker:entities/shattered deeperdarker:sculk_bone minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform
deeperdarker:entities/shriek_worm | minecraft:entity | deeperdarker:entities/shriek_worm minecraft:entity
deeperdarker:entities/sludge | minecraft:entity | deeperdarker:entities/sludge deeperdarker:resonarium minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:item minecraft:looting minecraft:set_count minecraft:slime minecraft:uniform
deeperdarker:entities/sorrow_pot | minecraft:entity | deeperdarker:brittle_gloomsherd deeperdarker:dark_heart_gloomsherd deeperdarker:entities/sorrow_pot deeperdarker:gloomsherd deeperdarker:listener_gloomsherd deeperdarker:snapper_gloomsherd deeperdarker:temple_gloomsherd deeperdarker:transmission_gloomsherd deeperdarker:ward_gloomsherd deeperdarker:wayfinder_gloomsherd minecraft:entity minecraft:item
deeperdarker:entities/stalker | minecraft:entity | deeperdarker:entities/stalker deeperdarker:soul_crystal minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:uniform
