handcrafted:blocks/acacia_bench | minecraft:block | handcrafted:acacia_bench handcrafted:blocks/acacia_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/mangrove_table | minecraft:block | handcrafted:blocks/mangrove_table handcrafted:mangrove_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/oak_bench | minecraft:block | handcrafted:blocks/oak_bench handcrafted:oak_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/oak_chair | minecraft:block | handcrafted:blocks/oak_chair handcrafted:oak_chair minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/oak_corner_trim | minecraft:block | handcrafted:blocks/oak_corner_trim handcrafted:oak_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/oak_couch | minecraft:block | handcrafted:blocks/oak_couch handcrafted:oak_couch minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/oak_counter | minecraft:block | handcrafted:blocks/oak_counter handcrafted:oak_counter minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/oak_cupboard | minecraft:block | handcrafted:blocks/oak_cupboard handcrafted:oak_cupboard minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/oak_desk | minecraft:block | handcrafted:blocks/oak_desk handcrafted:oak_desk minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/oak_dining_bench | minecraft:block | handcrafted:blocks/oak_dining_bench handcrafted:oak_dining_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/oak_drawer | minecraft:block | handcrafted:blocks/oak_drawer handcrafted:oak_drawer minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/oak_fancy_bed | minecraft:block | handcrafted:blocks/oak_fancy_bed handcrafted:oak_fancy_bed minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
handcrafted:blocks/oak_nightstand | minecraft:block | handcrafted:blocks/oak_nightstand handcrafted:oak_nightstand minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/oak_pillar_trim | minecraft:block | handcrafted:blocks/oak_pillar_trim handcrafted:oak_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/oak_shelf | minecraft:block | handcrafted:blocks/oak_shelf handcrafted:oak_shelf minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/oak_side_table | minecraft:block | handcrafted:blocks/oak_side_table handcrafted:oak_side_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/oak_table | minecraft:block | handcrafted:blocks/oak_table handcrafted:oak_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/orange_cushion | minecraft:block | handcrafted:blocks/orange_cushion handcrafted:orange_cushion minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/oven | minecraft:block | handcrafted:blocks/oven handcrafted:oven minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/phantom_trophy | minecraft:block | handcrafted:blocks/phantom_trophy handcrafted:phantom_trophy minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/pillager_trophy | minecraft:block | handcrafted:blocks/pillager_trophy handcrafted:pillager_trophy minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
handcrafted:blocks/pink_cushion | minecraft:block | handcrafted:blocks/pink_cushion handcrafted:pink_cushion minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/pufferfish_trophy | minecraft:block | handcrafted:blocks/pufferfish_trophy handcrafted:pufferfish_trophy minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/purple_cushion | minecraft:block | handcrafted:blocks/purple_cushion handcrafted:purple_cushion minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/quartz_corner_trim | minecraft:block | handcrafted:blocks/quartz_corner_trim handcrafted:quartz_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/quartz_pillar_trim | minecraft:block | handcrafted:blocks/quartz_pillar_trim handcrafted:quartz_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/red_cushion | minecraft:block | handcrafted:blocks/red_cushion handcrafted:red_cushion minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/red_sandstone_corner_trim | minecraft:block | handcrafted:blocks/red_sandstone_corner_trim handcrafted:red_sandstone_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/red_sandstone_pillar_trim | minecraft:block | handcrafted:blocks/red_sandstone_pillar_trim handcrafted:red_sandstone_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/salmon_trophy | minecraft:block | handcrafted:blocks/salmon_trophy handcrafted:salmon_trophy minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/sandstone_corner_trim | minecraft:block | handcrafted:blocks/sandstone_corner_trim handcrafted:sandstone_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/sandstone_pillar_trim | minecraft:block | handcrafted:blocks/sandstone_pillar_trim handcrafted:sandstone_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/silverfish_trophy | minecraft:block | handcrafted:blocks/silverfish_trophy handcrafted:silverfish_trophy minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/skeleton_horse_trophy | minecraft:block | handcrafted:blocks/skeleton_horse_trophy handcrafted:skeleton_horse_trophy minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/skeleton_trophy | minecraft:block | handcrafted:blocks/skeleton_trophy handcrafted:skeleton_trophy minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
handcrafted:blocks/spider_trophy | minecraft:block | handcrafted:blocks/spider_trophy handcrafted:spider_trophy minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/spruce_bench | minecraft:block | handcrafted:blocks/spruce_bench handcrafted:spruce_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/spruce_chair | minecraft:block | handcrafted:blocks/spruce_chair handcrafted:spruce_chair minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/spruce_corner_trim | minecraft:block | handcrafted:blocks/spruce_corner_trim handcrafted:spruce_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/spruce_couch | minecraft:block | handcrafted:blocks/spruce_couch handcrafted:spruce_couch minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/spruce_counter | minecraft:block | handcrafted:blocks/spruce_counter handcrafted:spruce_counter minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/spruce_cupboard | minecraft:block | handcrafted:blocks/spruce_cupboard handcrafted:spruce_cupboard minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/spruce_desk | minecraft:block | handcrafted:blocks/spruce_desk handcrafted:spruce_desk minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/spruce_dining_bench | minecraft:block | handcrafted:blocks/spruce_dining_bench handcrafted:spruce_dining_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/spruce_drawer | minecraft:block | handcrafted:blocks/spruce_drawer handcrafted:spruce_drawer minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/spruce_fancy_bed | minecraft:block | handcrafted:blocks/spruce_fancy_bed handcrafted:spruce_fancy_bed minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
handcrafted:blocks/spruce_nightstand | minecraft:block | handcrafted:blocks/spruce_nightstand handcrafted:spruce_nightstand minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/spruce_pillar_trim | minecraft:block | handcrafted:blocks/spruce_pillar_trim handcrafted:spruce_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/spruce_shelf | minecraft:block | handcrafted:blocks/spruce_shelf handcrafted:spruce_shelf minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/spruce_side_table | minecraft:block | handcrafted:blocks/spruce_side_table handcrafted:spruce_side_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/spruce_table | minecraft:block | handcrafted:blocks/spruce_table handcrafted:spruce_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/stackable_book | minecraft:block | handcrafted:blocks/stackable_book handcrafted:stackable_book minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
handcrafted:blocks/stone_corner_trim | minecraft:block | handcrafted:blocks/stone_corner_trim handcrafted:stone_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/stone_pillar_trim | minecraft:block | handcrafted:blocks/stone_pillar_trim handcrafted:stone_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/terracotta_bowl | minecraft:block | handcrafted:blocks/terracotta_bowl handcrafted:terracotta_bowl minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
handcrafted:blocks/terracotta_crockery_combo | minecraft:block | handcrafted:blocks/terracotta_crockery_combo handcrafted:terracotta_crockery_combo minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/terracotta_cup | minecraft:block | handcrafted:blocks/terracotta_cup handcrafted:terracotta_cup minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
handcrafted:blocks/terracotta_medium_pot | minecraft:block | handcrafted:blocks/terracotta_medium_pot handcrafted:terracotta_medium_pot minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/terracotta_plate | minecraft:block | handcrafted:blocks/terracotta_plate handcrafted:terracotta_plate minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
handcrafted:blocks/terracotta_thick_pot | minecraft:block | handcrafted:blocks/terracotta_thick_pot handcrafted:terracotta_thick_pot minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/terracotta_thin_pot | minecraft:block | handcrafted:blocks/terracotta_thin_pot handcrafted:terracotta_thin_pot minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/terracotta_wide_pot | minecraft:block | handcrafted:blocks/terracotta_wide_pot handcrafted:terracotta_wide_pot minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/tropical_fish_trophy | minecraft:block | handcrafted:blocks/tropical_fish_trophy handcrafted:tropical_fish_trophy minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/vindicator_trophy | minecraft:block | handcrafted:blocks/vindicator_trophy handcrafted:vindicator_trophy minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
handcrafted:blocks/warped_bench | minecraft:block | handcrafted:blocks/warped_bench handcrafted:warped_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/warped_chair | minecraft:block | handcrafted:blocks/warped_chair handcrafted:warped_chair minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/warped_corner_trim | minecraft:block | handcrafted:blocks/warped_corner_trim handcrafted:warped_corner_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/warped_couch | minecraft:block | handcrafted:blocks/warped_couch handcrafted:warped_couch minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/warped_counter | minecraft:block | handcrafted:blocks/warped_counter handcrafted:warped_counter minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/warped_cupboard | minecraft:block | handcrafted:blocks/warped_cupboard handcrafted:warped_cupboard minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/warped_desk | minecraft:block | handcrafted:blocks/warped_desk handcrafted:warped_desk minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/warped_dining_bench | minecraft:block | handcrafted:blocks/warped_dining_bench handcrafted:warped_dining_bench minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/warped_drawer | minecraft:block | handcrafted:blocks/warped_drawer handcrafted:warped_drawer minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/warped_fancy_bed | minecraft:block | handcrafted:blocks/warped_fancy_bed handcrafted:warped_fancy_bed minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
handcrafted:blocks/warped_nightstand | minecraft:block | handcrafted:blocks/warped_nightstand handcrafted:warped_nightstand minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/warped_pillar_trim | minecraft:block | handcrafted:blocks/warped_pillar_trim handcrafted:warped_pillar_trim minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/warped_shelf | minecraft:block | handcrafted:blocks/warped_shelf handcrafted:warped_shelf minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/warped_side_table | minecraft:block | handcrafted:blocks/warped_side_table handcrafted:warped_side_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/warped_table | minecraft:block | handcrafted:blocks/warped_table handcrafted:warped_table minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/white_bowl | minecraft:block | handcrafted:blocks/white_bowl handcrafted:white_bowl minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
handcrafted:blocks/white_crockery_combo | minecraft:block | handcrafted:blocks/white_crockery_combo handcrafted:white_crockery_combo minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/white_cup | minecraft:block | handcrafted:blocks/white_cup handcrafted:white_cup minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
handcrafted:blocks/white_cushion | minecraft:block | handcrafted:blocks/white_cushion handcrafted:white_cushion minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/white_glazed_medium_pot | minecraft:block | handcrafted:blocks/white_glazed_medium_pot handcrafted:white_glazed_medium_pot minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/white_glazed_thick_pot | minecraft:block | handcrafted:blocks/white_glazed_thick_pot handcrafted:white_glazed_thick_pot minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/white_glazed_thin_pot | minecraft:block | handcrafted:blocks/white_glazed_thin_pot handcrafted:white_glazed_thin_pot minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/white_glazed_wide_pot | minecraft:block | handcrafted:blocks/white_glazed_wide_pot handcrafted:white_glazed_wide_pot minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/white_plate | minecraft:block | handcrafted:blocks/white_plate handcrafted:white_plate minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
handcrafted:blocks/witch_trophy | minecraft:block | handcrafted:blocks/witch_trophy handcrafted:witch_trophy minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
handcrafted:blocks/wither_skeleton_trophy | minecraft:block | handcrafted:blocks/wither_skeleton_trophy handcrafted:wither_skeleton_trophy minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/wolf_trophy | minecraft:block | handcrafted:blocks/wolf_trophy handcrafted:wolf_trophy minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/wood_bowl | minecraft:block | handcrafted:blocks/wood_bowl handcrafted:wood_bowl minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
handcrafted:blocks/wood_crockery_combo | minecraft:block | handcrafted:blocks/wood_crockery_combo handcrafted:wood_crockery_combo minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/wood_cup | minecraft:block | handcrafted:blocks/wood_cup handcrafted:wood_cup minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
handcrafted:blocks/wood_plate | minecraft:block | handcrafted:blocks/wood_plate handcrafted:wood_plate minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
handcrafted:blocks/yellow_bowl | minecraft:block | handcrafted:blocks/yellow_bowl handcrafted:yellow_bowl minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
handcrafted:blocks/yellow_crockery_combo | minecraft:block | handcrafted:blocks/yellow_crockery_combo handcrafted:yellow_crockery_combo minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/yellow_cup | minecraft:block | handcrafted:blocks/yellow_cup handcrafted:yellow_cup minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
handcrafted:blocks/yellow_cushion | minecraft:block | handcrafted:blocks/yellow_cushion handcrafted:yellow_cushion minecraft:block minecraft:item minecraft:survives_explosion
handcrafted:blocks/yellow_plate | minecraft:block | handcrafted:blocks/yellow_plate handcrafted:yellow_plate minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
