createbigcannons:blocks/ap_shell | minecraft:block | createbigcannons:ap_shell createbigcannons:blocks/ap_shell createbigcannons:fuze createbigcannons:tracer minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item
createbigcannons:blocks/unbored_small_nethersteel_cannon_layer | minecraft:block | createbigcannons:blocks/unbored_small_nethersteel_cannon_layer createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
createbigcannons:blocks/unbored_small_steel_cannon_layer | minecraft:block | createbigcannons:blocks/unbored_small_steel_cannon_layer createbigcannons:steel_scrap createbigcannons:unbored_small_steel_cannon_layer minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_steel_autocannon_barrel | minecraft:block | createbigcannons:blocks/unbored_steel_autocannon_barrel createbigcannons:steel_scrap createbigcannons:unbored_steel_autocannon_barrel minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_steel_autocannon_breech | minecraft:block | createbigcannons:blocks/unbored_steel_autocannon_breech createbigcannons:steel_scrap createbigcannons:unbored_steel_autocannon_breech minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_steel_autocannon_recoil_spring | minecraft:block | createbigcannons:blocks/unbored_steel_autocannon_recoil_spring createbigcannons:steel_scrap createbigcannons:unbored_steel_autocannon_recoil_spring minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_steel_screw_breech | minecraft:block | createbigcannons:blocks/unbored_steel_screw_breech createbigcannons:steel_scrap createbigcannons:unbored_steel_screw_breech minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_steel_sliding_breech | minecraft:block | createbigcannons:blocks/unbored_steel_sliding_breech createbigcannons:steel_scrap createbigcannons:unbored_steel_sliding_breech minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_very_large_nethersteel_cannon_layer | minecraft:block | createbigcannons:blocks/unbored_very_large_nethersteel_cannon_layer createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
createbigcannons:blocks/unbored_very_large_steel_cannon_layer | minecraft:block | createbigcannons:blocks/unbored_very_large_steel_cannon_layer createbigcannons:steel_scrap createbigcannons:unbored_very_large_steel_cannon_layer minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/unbored_very_small_nethersteel_cannon_layer | minecraft:block | createbigcannons:blocks/unbored_very_small_nethersteel_cannon_layer createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
createbigcannons:blocks/unbored_very_small_steel_cannon_layer | minecraft:block | createbigcannons:blocks/unbored_very_small_steel_cannon_layer createbigcannons:steel_scrap createbigcannons:unbored_very_small_steel_cannon_layer minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/very_large_cast_mould | minecraft:block | createbigcannons:blocks/very_large_cast_mould createbigcannons:very_large_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/very_large_nethersteel_cannon_layer | minecraft:block | createbigcannons:blocks/very_large_nethersteel_cannon_layer createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
createbigcannons:blocks/very_large_steel_cannon_layer | minecraft:block | createbigcannons:blocks/very_large_steel_cannon_layer createbigcannons:steel_scrap createbigcannons:very_large_steel_cannon_layer minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/very_small_cast_mould | minecraft:block | createbigcannons:blocks/very_small_cast_mould createbigcannons:very_small_cast_mould minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/very_small_nethersteel_cannon_layer | minecraft:block | createbigcannons:blocks/very_small_nethersteel_cannon_layer createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
createbigcannons:blocks/very_small_steel_cannon_layer | minecraft:block | createbigcannons:blocks/very_small_steel_cannon_layer createbigcannons:steel_scrap createbigcannons:very_small_steel_cannon_layer minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
createbigcannons:blocks/worm_head | minecraft:block | createbigcannons:blocks/worm_head createbigcannons:worm_head minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/wrought_iron_cannon_chamber | minecraft:block | createbigcannons:blocks/wrought_iron_cannon_chamber createbigcannons:wrought_iron_cannon_chamber minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/wrought_iron_cannon_end | minecraft:block | createbigcannons:blocks/wrought_iron_cannon_end createbigcannons:wrought_iron_cannon_end minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/wrought_iron_drop_mortar_end | minecraft:block | createbigcannons:blocks/wrought_iron_drop_mortar_end createbigcannons:wrought_iron_drop_mortar_end minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:blocks/yaw_controller | minecraft:block | createbigcannons:blocks/yaw_controller createbigcannons:yaw_controller minecraft:block minecraft:item minecraft:survives_explosion
createbigcannons:boring_scrap/unbored_bronze_autocannon_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_bronze_autocannon_breech | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_breech createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_bronze_autocannon_recoil_spring | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_recoil_spring createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_bronze_cannon_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_cannon_barrel createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_bronze_cannon_chamber | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_cannon_chamber createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_bronze_sliding_breech | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_sliding_breech createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_cast_iron_autocannon_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_cast_iron_autocannon_breech | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_breech createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_cast_iron_autocannon_recoil_spring | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_recoil_spring createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_cast_iron_cannon_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_cannon_barrel createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_cast_iron_cannon_chamber | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_cannon_chamber createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_cast_iron_sliding_breech | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_sliding_breech createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_large_nethersteel_cannon_layer | minecraft:block | createbigcannons:boring_scrap/unbored_large_nethersteel_cannon_layer createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_large_steel_cannon_layer | minecraft:block | createbigcannons:boring_scrap/unbored_large_steel_cannon_layer createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_medium_nethersteel_cannon_layer | minecraft:block | createbigcannons:boring_scrap/unbored_medium_nethersteel_cannon_layer createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_medium_steel_cannon_layer | minecraft:block | createbigcannons:boring_scrap/unbored_medium_steel_cannon_layer createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_nethersteel_screw_breech | minecraft:block | createbigcannons:boring_scrap/unbored_nethersteel_screw_breech createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_small_nethersteel_cannon_layer | minecraft:block | createbigcannons:boring_scrap/unbored_small_nethersteel_cannon_layer createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_small_steel_cannon_layer | minecraft:block | createbigcannons:boring_scrap/unbored_small_steel_cannon_layer createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_steel_autocannon_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_steel_autocannon_breech | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_breech createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_steel_autocannon_recoil_spring | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_recoil_spring createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_steel_screw_breech | minecraft:block | createbigcannons:boring_scrap/unbored_steel_screw_breech createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_steel_sliding_breech | minecraft:block | createbigcannons:boring_scrap/unbored_steel_sliding_breech createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_very_large_nethersteel_cannon_layer | minecraft:block | createbigcannons:boring_scrap/unbored_very_large_nethersteel_cannon_layer createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_very_large_steel_cannon_layer | minecraft:block | createbigcannons:boring_scrap/unbored_very_large_steel_cannon_layer createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_very_small_nethersteel_cannon_layer | minecraft:block | createbigcannons:boring_scrap/unbored_very_small_nethersteel_cannon_layer createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
createbigcannons:boring_scrap/unbored_very_small_steel_cannon_layer | minecraft:block | createbigcannons:boring_scrap/unbored_very_small_steel_cannon_layer createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
