minecolonies:blocks/barrel_block | minecraft:block | minecolonies:barrel_block minecolonies:blocks/barrel_block minecraft:block minecraft:item minecraft:survives_explosion
minecolonies:recipes/iron/gravel | ? | minecolonies:recipes/iron/gravel minecraft:coal minecraft:diamond minecraft:emerald minecraft:empty minecraft:gold_ingot minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:lapis_lazuli minecraft:redstone
minecolonies:recipes/iron/sand | ? | minecolonies:recipes/iron/sand minecraft:cactus minecraft:cocoa_beans minecraft:empty minecraft:gold_nugget minecraft:item minecraft:sugar_cane
minecolonies:recipes/iron/soul_sand | ? | minecolonies:recipes/iron/soul_sand minecraft:blaze_powder minecraft:empty minecraft:glowstone_dust minecraft:item minecraft:magma_cream minecraft:nether_wart minecraft:quartz
minecolonies:recipes/large_bottle | ? | minecolonies:large_empty_bottle minecolonies:recipes/large_bottle minecraft:empty minecraft:item
minecolonies:recipes/netherworker/trip1 | ? | minecolonies:adventure_token minecolonies:recipes/netherworker/trip1 minecraft:blaze minecraft:enderman minecraft:ghast minecraft:gravel minecraft:hoglin minecraft:item minecraft:magma_cube minecraft:nether_quartz_ore minecraft:netherrack minecraft:set_components minecraft:set_count minecraft:soul_sand minecraft:soul_soil minecraft:uniform minecraft:zombified_piglin
minecolonies:recipes/netherworker/trip2 | ? | minecolonies:adventure_token minecolonies:recipes/netherworker/trip2 minecraft:blaze minecraft:brown_mushroom minecraft:crimson_fungus minecraft:crimson_nylium minecraft:crimson_stem minecraft:enderman minecraft:ghast minecraft:glowstone minecraft:gravel minecraft:hoglin minecraft:item minecraft:magma_cube minecraft:nether_quartz_ore minecraft:nether_wart minecraft:netherrack minecraft:red_mushroom minecraft:set_components minecraft:set_count minecraft:soul_sand minecraft:soul_soil minecraft:uniform minecraft:zombified_piglin
minecolonies:recipes/netherworker/trip3 | ? | minecolonies:adventure_token minecolonies:recipes/netherworker/trip3 minecraft:basalt minecraft:blaze minecraft:brown_mushroom minecraft:crimson_fungus minecraft:crimson_nylium minecraft:crimson_stem minecraft:enderman minecraft:ghast minecraft:glowstone minecraft:gravel minecraft:hoglin minecraft:item minecraft:magma_cube minecraft:nether_quartz_ore minecraft:nether_wart minecraft:netherrack minecraft:ochre_froglight minecraft:pearlescent_froglight minecraft:red_mushroom minecraft:set_components minecraft:set_count minecraft:soul_sand minecraft:soul_soil minecraft:uniform minecraft:verdant_froglight minecraft:warped_fungus minecraft:warped_nylium minecraft:warped_stem minecraft:zombified_piglin
minecolonies:recipes/netherworker/trip4 | ? | minecolonies:adventure_token minecolonies:recipes/netherworker/trip4 minecraft:basalt minecraft:blackstone minecraft:blaze minecraft:brown_mushroom minecraft:crimson_fungus minecraft:crimson_nylium minecraft:crimson_stem minecraft:enderman minecraft:ghast minecraft:glowstone minecraft:gravel minecraft:hoglin minecraft:item minecraft:magma_cube minecraft:nether_gold_ore minecraft:nether_quartz_ore minecraft:nether_wart minecraft:netherrack minecraft:ochre_froglight minecraft:pearlescent_froglight minecraft:red_mushroom minecraft:set_components minecraft:set_count minecraft:soul_sand minecraft:soul_soil minecraft:uniform minecraft:verdant_froglight minecraft:warped_fungus minecraft:warped_nylium minecraft:warped_stem minecraft:zombified_piglin
minecolonies:recipes/netherworker/trip5 | ? | minecolonies:adventure_token minecolonies:recipes/netherworker/trip5 minecraft:ancient_debris minecraft:basalt minecraft:blackstone minecraft:blaze minecraft:brown_mushroom minecraft:crimson_fungus minecraft:crimson_nylium minecraft:crimson_stem minecraft:enderman minecraft:ghast minecraft:glowstone minecraft:gravel minecraft:hoglin minecraft:item minecraft:magma_cube minecraft:nether_gold_ore minecraft:nether_quartz_ore minecraft:nether_wart minecraft:netherrack minecraft:ochre_froglight minecraft:pearlescent_froglight minecraft:red_mushroom minecraft:set_components minecraft:set_count minecraft:soul_sand minecraft:soul_soil minecraft:uniform minecraft:verdant_froglight minecraft:warped_fungus minecraft:warped_nylium minecraft:warped_stem minecraft:zombified_piglin
minecolonies:recipes/string/dirt | ? | minecolonies:recipes/string/dirt minecraft:birch_sapling minecraft:empty minecraft:item minecraft:jungle_sapling minecraft:oak_sapling minecraft:spruce_sapling minecraft:wheat_seeds
minecolonies:recipes/string/gravel | ? | minecolonies:recipes/string/gravel minecraft:coal minecraft:empty minecraft:flint minecraft:iron_nugget minecraft:item
minecolonies:recipes/string/sand | ? | minecolonies:recipes/string/sand minecraft:cactus minecraft:empty minecraft:item minecraft:sugar_cane
minecolonies:recipes/string/soul_sand | ? | minecolonies:recipes/string/soul_sand minecraft:empty minecraft:item minecraft:nether_wart minecraft:quartz
