createadditionallogistics:blocks/andesite_encased_black_flexible_shaft | minecraft:block | createadditionallogistics:black_flexible_shaft createadditionallogistics:blocks/andesite_encased_black_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/weathered_iron_encased_cyan_flexible_shaft | minecraft:block | createadditionallogistics:blocks/weathered_iron_encased_cyan_flexible_shaft createadditionallogistics:cyan_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/weathered_iron_encased_flexible_shaft | minecraft:block | createadditionallogistics:blocks/weathered_iron_encased_flexible_shaft createadditionallogistics:flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/weathered_iron_encased_gray_flexible_shaft | minecraft:block | createadditionallogistics:blocks/weathered_iron_encased_gray_flexible_shaft createadditionallogistics:gray_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/weathered_iron_encased_green_flexible_shaft | minecraft:block | createadditionallogistics:blocks/weathered_iron_encased_green_flexible_shaft createadditionallogistics:green_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/weathered_iron_encased_lazy_cogwheel | minecraft:block | createadditionallogistics:blocks/weathered_iron_encased_lazy_cogwheel createadditionallogistics:lazy_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/weathered_iron_encased_lazy_large_cogwheel | minecraft:block | createadditionallogistics:blocks/weathered_iron_encased_lazy_large_cogwheel createadditionallogistics:lazy_large_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/weathered_iron_encased_lazy_shaft | minecraft:block | createadditionallogistics:blocks/weathered_iron_encased_lazy_shaft createadditionallogistics:lazy_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/weathered_iron_encased_light_blue_flexible_shaft | minecraft:block | createadditionallogistics:blocks/weathered_iron_encased_light_blue_flexible_shaft createadditionallogistics:light_blue_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/weathered_iron_encased_light_gray_flexible_shaft | minecraft:block | createadditionallogistics:blocks/weathered_iron_encased_light_gray_flexible_shaft createadditionallogistics:light_gray_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/weathered_iron_encased_lime_flexible_shaft | minecraft:block | createadditionallogistics:blocks/weathered_iron_encased_lime_flexible_shaft createadditionallogistics:lime_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/weathered_iron_encased_magenta_flexible_shaft | minecraft:block | createadditionallogistics:blocks/weathered_iron_encased_magenta_flexible_shaft createadditionallogistics:magenta_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/weathered_iron_encased_orange_flexible_shaft | minecraft:block | createadditionallogistics:blocks/weathered_iron_encased_orange_flexible_shaft createadditionallogistics:orange_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/weathered_iron_encased_pink_flexible_shaft | minecraft:block | createadditionallogistics:blocks/weathered_iron_encased_pink_flexible_shaft createadditionallogistics:pink_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/weathered_iron_encased_purple_flexible_shaft | minecraft:block | createadditionallogistics:blocks/weathered_iron_encased_purple_flexible_shaft createadditionallogistics:purple_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/weathered_iron_encased_red_flexible_shaft | minecraft:block | createadditionallogistics:blocks/weathered_iron_encased_red_flexible_shaft createadditionallogistics:red_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/weathered_iron_encased_white_flexible_shaft | minecraft:block | createadditionallogistics:blocks/weathered_iron_encased_white_flexible_shaft createadditionallogistics:white_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/weathered_iron_encased_yellow_flexible_shaft | minecraft:block | createadditionallogistics:blocks/weathered_iron_encased_yellow_flexible_shaft createadditionallogistics:yellow_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/white_flexible_shaft | minecraft:block | createadditionallogistics:blocks/white_flexible_shaft createadditionallogistics:white_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/white_short_seat | minecraft:block | createadditionallogistics:blocks/white_short_seat createadditionallogistics:white_short_seat minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/white_tall_seat | minecraft:block | createadditionallogistics:blocks/white_tall_seat createadditionallogistics:white_tall_seat minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/yellow_flexible_shaft | minecraft:block | createadditionallogistics:blocks/yellow_flexible_shaft createadditionallogistics:yellow_flexible_shaft minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/yellow_short_seat | minecraft:block | createadditionallogistics:blocks/yellow_short_seat createadditionallogistics:yellow_short_seat minecraft:block minecraft:item minecraft:survives_explosion
createadditionallogistics:blocks/yellow_tall_seat | minecraft:block | createadditionallogistics:blocks/yellow_tall_seat createadditionallogistics:yellow_tall_seat minecraft:block minecraft:item minecraft:survives_explosion
