tfmg:blocks/accumulator | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:accumulator tfmg:blocks/accumulator
tfmg:blocks/gray_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/gray_concrete_stairs tfmg:gray_concrete_stairs
tfmg:blocks/gray_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/gray_concrete_wall tfmg:gray_concrete_wall
tfmg:blocks/gray_rebar_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/gray_rebar_concrete tfmg:gray_rebar_concrete
tfmg:blocks/gray_rebar_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/gray_rebar_concrete_slab tfmg:gray_rebar_concrete_slab
tfmg:blocks/gray_rebar_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/gray_rebar_concrete_stairs tfmg:gray_rebar_concrete_stairs
tfmg:blocks/gray_rebar_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/gray_rebar_concrete_wall tfmg:gray_rebar_concrete_wall
tfmg:blocks/green_caution_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/green_caution_block tfmg:green_caution_block
tfmg:blocks/green_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/green_concrete tfmg:green_concrete
tfmg:blocks/green_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/green_concrete_slab tfmg:green_concrete_slab
tfmg:blocks/green_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/green_concrete_stairs tfmg:green_concrete_stairs
tfmg:blocks/green_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/green_concrete_wall tfmg:green_concrete_wall
tfmg:blocks/green_rebar_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/green_rebar_concrete tfmg:green_rebar_concrete
tfmg:blocks/green_rebar_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/green_rebar_concrete_slab tfmg:green_rebar_concrete_slab
tfmg:blocks/green_rebar_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/green_rebar_concrete_stairs tfmg:green_rebar_concrete_stairs
tfmg:blocks/green_rebar_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/green_rebar_concrete_wall tfmg:green_rebar_concrete_wall
tfmg:blocks/hardened_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/hardened_planks tfmg:hardened_planks
tfmg:blocks/heavy_cable_hub | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/heavy_cable_hub tfmg:heavy_cable_hub
tfmg:blocks/heavy_casing_door | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion tfmg:blocks/heavy_casing_door tfmg:heavy_casing_door
tfmg:blocks/heavy_casing_encased_aluminum_cogwheel | minecraft:block | create:cogwheel minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/heavy_casing_encased_aluminum_cogwheel
tfmg:blocks/heavy_casing_encased_large_aluminum_cogwheel | minecraft:block | create:large_cogwheel minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/heavy_casing_encased_large_aluminum_cogwheel
tfmg:blocks/heavy_casing_encased_large_steel_cogwheel | minecraft:block | create:large_cogwheel minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/heavy_casing_encased_large_steel_cogwheel
tfmg:blocks/heavy_casing_encased_shaft | minecraft:block | create:shaft minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/heavy_casing_encased_shaft
tfmg:blocks/heavy_casing_encased_steel_cogwheel | minecraft:block | create:cogwheel minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/heavy_casing_encased_steel_cogwheel
tfmg:blocks/heavy_machinery_casing | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/heavy_machinery_casing tfmg:heavy_machinery_casing
tfmg:blocks/heavy_plated_door | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion tfmg:blocks/heavy_plated_door tfmg:heavy_plated_door
tfmg:blocks/industrial_aluminum_casing | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/industrial_aluminum_casing tfmg:industrial_aluminum_casing
tfmg:blocks/industrial_mixer | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/industrial_mixer tfmg:industrial_mixer
tfmg:blocks/industrial_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/industrial_pipe tfmg:industrial_pipe
tfmg:blocks/laminated_magnetic_alloy_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/laminated_magnetic_alloy_block tfmg:laminated_magnetic_alloy_block
tfmg:blocks/large_aluminum_cogwheel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/large_aluminum_cogwheel tfmg:large_aluminum_cogwheel
tfmg:blocks/large_coil | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/large_coil tfmg:large_coil
tfmg:blocks/large_engine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/large_engine tfmg:large_engine
tfmg:blocks/large_pumpjack_hammer_connector | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/large_pumpjack_hammer_connector tfmg:large_pumpjack_hammer_connector
tfmg:blocks/large_pumpjack_hammer_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/large_pumpjack_hammer_head tfmg:large_pumpjack_hammer_head
tfmg:blocks/large_pumpjack_hammer_part | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/large_pumpjack_hammer_part tfmg:large_pumpjack_hammer_part
tfmg:blocks/large_steel_cogwheel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/large_steel_cogwheel tfmg:large_steel_cogwheel
tfmg:blocks/large_switch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/large_switch tfmg:large_switch
tfmg:blocks/large_transformer | minecraft:block | minecraft:air minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/large_transformer
tfmg:blocks/layered_bauxite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/layered_bauxite tfmg:layered_bauxite
tfmg:blocks/layered_galena | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/layered_galena tfmg:layered_galena
tfmg:blocks/lead_bars | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lead_bars tfmg:lead_bars
tfmg:blocks/lead_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lead_block tfmg:lead_block
tfmg:blocks/lead_flywheel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lead_flywheel tfmg:lead_flywheel
tfmg:blocks/lead_frame | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lead_frame tfmg:lead_frame
tfmg:blocks/lead_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lead_ladder tfmg:lead_ladder
tfmg:blocks/lead_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch tfmg:blocks/lead_ore tfmg:lead_ore tfmg:raw_lead
tfmg:blocks/lead_truss | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lead_truss tfmg:lead_truss
tfmg:blocks/light_blue_caution_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_blue_caution_block tfmg:light_blue_caution_block
tfmg:blocks/light_blue_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_blue_concrete tfmg:light_blue_concrete
tfmg:blocks/light_blue_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_blue_concrete_slab tfmg:light_blue_concrete_slab
tfmg:blocks/light_blue_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_blue_concrete_stairs tfmg:light_blue_concrete_stairs
tfmg:blocks/light_blue_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_blue_concrete_wall tfmg:light_blue_concrete_wall
tfmg:blocks/light_blue_rebar_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_blue_rebar_concrete tfmg:light_blue_rebar_concrete
tfmg:blocks/light_blue_rebar_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_blue_rebar_concrete_slab tfmg:light_blue_rebar_concrete_slab
tfmg:blocks/light_blue_rebar_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_blue_rebar_concrete_stairs tfmg:light_blue_rebar_concrete_stairs
tfmg:blocks/light_blue_rebar_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_blue_rebar_concrete_wall tfmg:light_blue_rebar_concrete_wall
tfmg:blocks/light_bulb | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_bulb tfmg:light_bulb
tfmg:blocks/light_gray_caution_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_gray_caution_block tfmg:light_gray_caution_block
tfmg:blocks/light_gray_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_gray_concrete tfmg:light_gray_concrete
tfmg:blocks/light_gray_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_gray_concrete_slab tfmg:light_gray_concrete_slab
tfmg:blocks/light_gray_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_gray_concrete_stairs tfmg:light_gray_concrete_stairs
tfmg:blocks/light_gray_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_gray_concrete_wall tfmg:light_gray_concrete_wall
tfmg:blocks/light_gray_rebar_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_gray_rebar_concrete tfmg:light_gray_rebar_concrete
tfmg:blocks/light_gray_rebar_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_gray_rebar_concrete_slab tfmg:light_gray_rebar_concrete_slab
tfmg:blocks/light_gray_rebar_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_gray_rebar_concrete_stairs tfmg:light_gray_rebar_concrete_stairs
tfmg:blocks/light_gray_rebar_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/light_gray_rebar_concrete_wall tfmg:light_gray_rebar_concrete_wall
tfmg:blocks/lignite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lignite tfmg:lignite
tfmg:blocks/lime_caution_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lime_caution_block tfmg:lime_caution_block
tfmg:blocks/lime_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lime_concrete tfmg:lime_concrete
tfmg:blocks/lime_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lime_concrete_slab tfmg:lime_concrete_slab
tfmg:blocks/lime_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lime_concrete_stairs tfmg:lime_concrete_stairs
tfmg:blocks/lime_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lime_concrete_wall tfmg:lime_concrete_wall
tfmg:blocks/lime_rebar_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lime_rebar_concrete tfmg:lime_rebar_concrete
tfmg:blocks/lime_rebar_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lime_rebar_concrete_slab tfmg:lime_rebar_concrete_slab
tfmg:blocks/lime_rebar_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lime_rebar_concrete_stairs tfmg:lime_rebar_concrete_stairs
tfmg:blocks/lime_rebar_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lime_rebar_concrete_wall tfmg:lime_rebar_concrete_wall
tfmg:blocks/lithium_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lithium_block tfmg:lithium_block
tfmg:blocks/lithium_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch tfmg:blocks/lithium_ore tfmg:lithium_ore tfmg:raw_lithium
tfmg:blocks/lithium_torch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/lithium_torch tfmg:lithium_torch
tfmg:blocks/machine_input | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/machine_input tfmg:machine_input
tfmg:blocks/magenta_caution_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/magenta_caution_block tfmg:magenta_caution_block
tfmg:blocks/magenta_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/magenta_concrete tfmg:magenta_concrete
tfmg:blocks/magenta_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/magenta_concrete_slab tfmg:magenta_concrete_slab
tfmg:blocks/magenta_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/magenta_concrete_stairs tfmg:magenta_concrete_stairs
tfmg:blocks/magenta_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/magenta_concrete_wall tfmg:magenta_concrete_wall
tfmg:blocks/magenta_rebar_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/magenta_rebar_concrete tfmg:magenta_rebar_concrete
tfmg:blocks/magenta_rebar_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/magenta_rebar_concrete_slab tfmg:magenta_rebar_concrete_slab
tfmg:blocks/magenta_rebar_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/magenta_rebar_concrete_stairs tfmg:magenta_rebar_concrete_stairs
tfmg:blocks/magenta_rebar_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/magenta_rebar_concrete_wall tfmg:magenta_rebar_concrete_wall
tfmg:blocks/metal_smokestack | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/metal_smokestack tfmg:metal_smokestack
tfmg:blocks/modern_light | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/modern_light tfmg:modern_light
tfmg:blocks/napalm_bomb | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/napalm_bomb tfmg:napalm_bomb
tfmg:blocks/neon_tube | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/neon_tube tfmg:neon_tube
tfmg:blocks/nickel_bars | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/nickel_bars tfmg:nickel_bars
tfmg:blocks/nickel_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/nickel_block tfmg:nickel_block
tfmg:blocks/nickel_flywheel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/nickel_flywheel tfmg:nickel_flywheel
tfmg:blocks/nickel_frame | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/nickel_frame tfmg:nickel_frame
tfmg:blocks/nickel_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/nickel_ladder tfmg:nickel_ladder
tfmg:blocks/nickel_ore | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch tfmg:blocks/nickel_ore tfmg:nickel_ore tfmg:raw_nickel
tfmg:blocks/nickel_truss | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/nickel_truss tfmg:nickel_truss
tfmg:blocks/oil_deposit | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/oil_deposit tfmg:oil_deposit
tfmg:blocks/orange_caution_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/orange_caution_block tfmg:orange_caution_block
tfmg:blocks/orange_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/orange_concrete tfmg:orange_concrete
tfmg:blocks/orange_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/orange_concrete_slab tfmg:orange_concrete_slab
tfmg:blocks/orange_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/orange_concrete_stairs tfmg:orange_concrete_stairs
tfmg:blocks/orange_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/orange_concrete_wall tfmg:orange_concrete_wall
tfmg:blocks/orange_rebar_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/orange_rebar_concrete tfmg:orange_rebar_concrete
tfmg:blocks/orange_rebar_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/orange_rebar_concrete_slab tfmg:orange_rebar_concrete_slab
tfmg:blocks/orange_rebar_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/orange_rebar_concrete_stairs tfmg:orange_rebar_concrete_stairs
tfmg:blocks/orange_rebar_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/orange_rebar_concrete_wall tfmg:orange_rebar_concrete_wall
tfmg:blocks/pink_caution_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/pink_caution_block tfmg:pink_caution_block
tfmg:blocks/pink_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/pink_concrete tfmg:pink_concrete
tfmg:blocks/pink_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/pink_concrete_slab tfmg:pink_concrete_slab
tfmg:blocks/pink_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/pink_concrete_stairs tfmg:pink_concrete_stairs
tfmg:blocks/pink_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/pink_concrete_wall tfmg:pink_concrete_wall
tfmg:blocks/pink_rebar_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/pink_rebar_concrete tfmg:pink_rebar_concrete
tfmg:blocks/pink_rebar_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/pink_rebar_concrete_slab tfmg:pink_rebar_concrete_slab
tfmg:blocks/pink_rebar_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/pink_rebar_concrete_stairs tfmg:pink_rebar_concrete_stairs
tfmg:blocks/pink_rebar_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/pink_rebar_concrete_wall tfmg:pink_rebar_concrete_wall
tfmg:blocks/plastic_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/plastic_block tfmg:plastic_block
tfmg:blocks/plastic_fluid_valve | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/plastic_fluid_valve tfmg:plastic_fluid_valve
tfmg:blocks/plastic_mechanical_pump | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/plastic_mechanical_pump tfmg:plastic_mechanical_pump
tfmg:blocks/plastic_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/plastic_pipe tfmg:plastic_pipe
tfmg:blocks/plastic_smart_fluid_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/plastic_smart_fluid_pipe tfmg:plastic_smart_fluid_pipe
tfmg:blocks/polarizer | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/polarizer tfmg:polarizer
tfmg:blocks/polished_cut_bauxite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/polished_cut_bauxite tfmg:polished_cut_bauxite
tfmg:blocks/polished_cut_bauxite_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count tfmg:blocks/polished_cut_bauxite_slab tfmg:polished_cut_bauxite_slab
tfmg:blocks/polished_cut_bauxite_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/polished_cut_bauxite_stairs tfmg:polished_cut_bauxite_stairs
tfmg:blocks/polished_cut_bauxite_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/polished_cut_bauxite_wall tfmg:polished_cut_bauxite_wall
tfmg:blocks/polished_cut_galena | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/polished_cut_galena tfmg:polished_cut_galena
tfmg:blocks/polished_cut_galena_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count tfmg:blocks/polished_cut_galena_slab tfmg:polished_cut_galena_slab
tfmg:blocks/polished_cut_galena_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/polished_cut_galena_stairs tfmg:polished_cut_galena_stairs
tfmg:blocks/polished_cut_galena_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/polished_cut_galena_wall tfmg:polished_cut_galena_wall
tfmg:blocks/potentiometer | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/potentiometer tfmg:potentiometer
tfmg:blocks/pumpjack_base | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/pumpjack_base tfmg:pumpjack_base
tfmg:blocks/pumpjack_crank | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/pumpjack_crank tfmg:pumpjack_crank
tfmg:blocks/pumpjack_hammer | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/pumpjack_hammer tfmg:pumpjack_hammer
tfmg:blocks/pumpjack_hammer_connector | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/pumpjack_hammer_connector tfmg:pumpjack_hammer_connector
tfmg:blocks/pumpjack_hammer_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/pumpjack_hammer_head tfmg:pumpjack_hammer_head
tfmg:blocks/pumpjack_hammer_part | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/pumpjack_hammer_part tfmg:pumpjack_hammer_part
tfmg:blocks/purple_caution_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/purple_caution_block tfmg:purple_caution_block
tfmg:blocks/purple_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/purple_concrete tfmg:purple_concrete
tfmg:blocks/purple_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/purple_concrete_slab tfmg:purple_concrete_slab
tfmg:blocks/purple_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/purple_concrete_stairs tfmg:purple_concrete_stairs
tfmg:blocks/purple_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/purple_concrete_wall tfmg:purple_concrete_wall
tfmg:blocks/purple_rebar_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/purple_rebar_concrete tfmg:purple_rebar_concrete
tfmg:blocks/purple_rebar_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/purple_rebar_concrete_slab tfmg:purple_rebar_concrete_slab
tfmg:blocks/purple_rebar_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/purple_rebar_concrete_stairs tfmg:purple_rebar_concrete_stairs
tfmg:blocks/purple_rebar_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/purple_rebar_concrete_wall tfmg:purple_rebar_concrete_wall
tfmg:blocks/radial_engine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/radial_engine tfmg:radial_engine
tfmg:blocks/raw_lead_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/raw_lead_block tfmg:raw_lead_block
tfmg:blocks/raw_lithium_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/raw_lithium_block tfmg:raw_lithium_block
tfmg:blocks/raw_nickel_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/raw_nickel_block tfmg:raw_nickel_block
tfmg:blocks/rebar_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/rebar_block tfmg:rebar_block
tfmg:blocks/rebar_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/rebar_concrete tfmg:rebar_concrete
tfmg:blocks/rebar_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/rebar_concrete_slab tfmg:rebar_concrete_slab
tfmg:blocks/rebar_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/rebar_concrete_stairs tfmg:rebar_concrete_stairs
tfmg:blocks/rebar_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/rebar_concrete_wall tfmg:rebar_concrete_wall
tfmg:blocks/rebar_floor | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/rebar_floor tfmg:rebar_floor
tfmg:blocks/rebar_pile | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/rebar_pile tfmg:rebar_pile
tfmg:blocks/rebar_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/rebar_pillar tfmg:rebar_pillar
tfmg:blocks/rebar_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/rebar_stairs tfmg:rebar_stairs
tfmg:blocks/rebar_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/rebar_wall tfmg:rebar_wall
tfmg:blocks/red_caution_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/red_caution_block tfmg:red_caution_block
tfmg:blocks/red_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/red_concrete tfmg:red_concrete
