spawn:archaeology/ant_mount_common | minecraft:archaeology | minecraft:archaeology minecraft:beetroot_seeds minecraft:bone_meal minecraft:brown_dye minecraft:brown_mushroom minecraft:clay minecraft:coal minecraft:dead_bush minecraft:emerald minecraft:gold_nugget minecraft:item minecraft:leather minecraft:oak_hanging_sign minecraft:potato minecraft:red_mushroom minecraft:string minecraft:wheat_seeds spawn:archaeology/ant_mount_common spawn:fallen_leaves
spawn:entities/dodo | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:feather minecraft:furnace_smelt minecraft:item minecraft:looting minecraft:set_count minecraft:uniform spawn:dodo spawn:entities/dodo
spawn:entities/firekeeper | minecraft:entity | minecraft:entity minecraft:item minecraft:random_chance spawn:sunstone
spawn:entities/flukeshroom | minecraft:entity | minecraft:beef minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:leather minecraft:looting minecraft:set_count minecraft:uniform spawn:entities/flukeshroom
spawn:entities/herring | minecraft:entity | minecraft:bone_meal minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:random_chance spawn:entities/herring spawn:herring
spawn:entities/pilot_fish | minecraft:entity | minecraft:bone_meal minecraft:entity minecraft:item minecraft:random_chance spawn:entities/pilot_fish
spawn:entities/sea_cow | minecraft:entity | minecraft:beef minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:leather minecraft:looting minecraft:set_count minecraft:uniform spawn:entities/sea_cow
spawn:entities/spider_crab | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:set_count minecraft:spider_eye minecraft:uniform spawn:entities/spider_crab
spawn:entities/stickbug | minecraft:entity | minecraft:damage_source_properties minecraft:entity minecraft:is_lightning minecraft:item minecraft:stick spawn:entities/stickbug spawn:music_disc_rain
spawn:entities/stranded | minecraft:entity | minecraft:entity minecraft:iron_ingot minecraft:item minecraft:set_count minecraft:uniform spawn:barnacle spawn:dead_sea_star spawn:entities/stranded
spawn:entities/tuna | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:looting minecraft:set_count minecraft:uniform spawn:entities/tuna spawn:tuna_chunk
