occultism:blocks/celestial_chalice | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion occultism:blocks/celestial_chalice occultism:celestial_chalice
occultism:entities/possessed_endermite | minecraft:entity | minecraft:enchanted_count_increase minecraft:end_stone minecraft:end_stone_bricks minecraft:ender_eye minecraft:entity minecraft:fermented_spider_eye minecraft:item minecraft:looting minecraft:random_chance minecraft:set_count minecraft:spider_eye minecraft:uniform occultism:entities/possessed_endermite
occultism:entities/possessed_evoker | minecraft:entity | minecraft:empty minecraft:entity minecraft:item minecraft:ominous_bottle minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:totem_of_undying minecraft:uniform minecraft:vex_armor_trim_smithing_template occultism:entities/possessed_evoker
occultism:entities/possessed_ghast | minecraft:entity | minecraft:entity minecraft:ghast_tear minecraft:gunpowder minecraft:item minecraft:set_count minecraft:uniform occultism:entities/possessed_ghast
occultism:entities/possessed_guardian | minecraft:entity | minecraft:brain_coral minecraft:brain_coral_block minecraft:brain_coral_fan minecraft:bubble_coral minecraft:bubble_coral_block minecraft:bubble_coral_fan minecraft:empty minecraft:enchanted_count_increase minecraft:entity minecraft:fire_coral minecraft:fire_coral_block minecraft:fire_coral_fan minecraft:horn_coral minecraft:horn_coral_block minecraft:horn_coral_fan minecraft:item minecraft:kelp minecraft:linear minecraft:looting minecraft:prismarine_crystals minecraft:prismarine_shard minecraft:random_chance_with_enchanted_bonus minecraft:sea_pickle minecraft:set_count minecraft:tube_coral minecraft:tube_coral_block minecraft:tube_coral_fan minecraft:uniform occultism:entities/possessed_guardian
occultism:entities/possessed_hoglin | minecraft:entity | minecraft:entity minecraft:item minecraft:music_disc_pigstep minecraft:nether_brick minecraft:netherite_scrap minecraft:netherite_upgrade_smithing_template minecraft:piglin_banner_pattern minecraft:snout_armor_trim_smithing_template occultism:entities/possessed_hoglin
occultism:entities/possessed_phantom | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:phantom_membrane minecraft:random_chance minecraft:set_count minecraft:uniform minecraft:wind_charge occultism:entities/possessed_phantom
occultism:entities/possessed_shulker | minecraft:entity | minecraft:chorus_flower minecraft:chorus_fruit minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance minecraft:random_chance_with_enchanted_bonus minecraft:shulker_shell minecraft:spire_armor_trim_smithing_template occultism:entities/possessed_shulker
occultism:entities/possessed_skeleton | minecraft:entity | minecraft:arrow minecraft:bone minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:skeleton_skull minecraft:uniform occultism:entities/possessed_skeleton
occultism:entities/possessed_strong_breeze | minecraft:entity | minecraft:empty minecraft:entity minecraft:flow_armor_trim_smithing_template minecraft:flow_banner_pattern minecraft:flow_pottery_sherd minecraft:heavy_core minecraft:item minecraft:music_disc_creator occultism:entities/possessed_strong_breeze
occultism:entities/possessed_warden | minecraft:entity | minecraft:disc_fragment_5 minecraft:echo_shard minecraft:empty minecraft:entity minecraft:item minecraft:music_disc_otherside minecraft:sculk minecraft:sculk_catalyst minecraft:sculk_sensor minecraft:sculk_shrieker minecraft:sculk_vein minecraft:set_count minecraft:silence_armor_trim_smithing_template minecraft:uniform minecraft:ward_armor_trim_smithing_template occultism:entities/possessed_warden
occultism:entities/possessed_weak_breeze | minecraft:entity | minecraft:empty minecraft:entity minecraft:guster_pottery_sherd minecraft:item minecraft:music_disc_creator_music_box minecraft:ominous_bottle minecraft:scrape_pottery_sherd minecraft:set_count minecraft:trial_key minecraft:uniform occultism:entities/possessed_weak_breeze
occultism:entities/possessed_weak_shulker | minecraft:entity | minecraft:chorus_fruit minecraft:entity minecraft:item minecraft:random_chance minecraft:set_count minecraft:shulker_shell minecraft:uniform occultism:entities/possessed_weak_shulker
occultism:entities/possessed_witch | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:experience_bottle minecraft:honey_bottle minecraft:item minecraft:looting minecraft:ominous_bottle minecraft:potion minecraft:set_potion minecraft:uniform minecraft:water occultism:entities/possessed_witch
occultism:entities/possessed_zombie_piglin | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:porkchop minecraft:random_chance minecraft:rotten_flesh minecraft:set_count minecraft:uniform occultism:demonic_meat occultism:entities/possessed_zombie_piglin occultism:tallow
occultism:entities/wild_horde_creeper | minecraft:entity | minecraft:entity minecraft:item minecraft:music_disc_11 minecraft:music_disc_13 minecraft:music_disc_blocks minecraft:music_disc_cat minecraft:music_disc_chirp minecraft:music_disc_far minecraft:music_disc_mall minecraft:music_disc_mellohi minecraft:music_disc_stal minecraft:music_disc_strad minecraft:music_disc_wait minecraft:music_disc_ward minecraft:uniform occultism:entities/wild_horde_creeper
occultism:entities/wild_horde_drowned | minecraft:entity | minecraft:angler_pottery_sherd minecraft:blade_pottery_sherd minecraft:copper_ingot minecraft:empty minecraft:enchanted_count_increase minecraft:entity minecraft:explorer_pottery_sherd minecraft:item minecraft:looting minecraft:mourner_pottery_sherd minecraft:plenty_pottery_sherd minecraft:prismarine_crystals minecraft:prismarine_shard minecraft:shelter_pottery_sherd minecraft:sniffer_egg minecraft:snort_pottery_sherd minecraft:trident minecraft:turtle_egg minecraft:uniform occultism:entities/wild_horde_drowned
occultism:entities/wild_horde_husk | minecraft:entity | minecraft:archer_pottery_sherd minecraft:arms_up_pottery_sherd minecraft:brewer_pottery_sherd minecraft:dune_armor_trim_smithing_template minecraft:empty minecraft:entity minecraft:item minecraft:miner_pottery_sherd minecraft:prize_pottery_sherd minecraft:skull_pottery_sherd occultism:entities/wild_horde_husk
occultism:entities/wild_horde_silverfish | minecraft:entity | minecraft:burn_pottery_sherd minecraft:danger_pottery_sherd minecraft:empty minecraft:entity minecraft:friend_pottery_sherd minecraft:heart_pottery_sherd minecraft:heartbreak_pottery_sherd minecraft:host_armor_trim_smithing_template minecraft:howl_pottery_sherd minecraft:item minecraft:music_disc_relic minecraft:raiser_armor_trim_smithing_template minecraft:shaper_armor_trim_smithing_template minecraft:sheaf_pottery_sherd minecraft:wayfinder_armor_trim_smithing_template occultism:entities/wild_horde_silverfish
occultism:entities/wild_hunt_skeleton | minecraft:entity | minecraft:arrow minecraft:bone minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform occultism:entities/wild_hunt_skeleton
occultism:entities/wild_hunt_wither_skeleton | minecraft:entity | minecraft:bone minecraft:coal minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:random_chance minecraft:rib_armor_trim_smithing_template minecraft:set_count minecraft:uniform minecraft:wither_rose minecraft:wither_skeleton_skull occultism:entities/wild_hunt_wither_skeleton
