more_slabs_stairs_and_walls:blocks/acacia_leaves_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:acacia_leaves_slab
more_slabs_stairs_and_walls:blocks/chiseled_tuff_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:chiseled_tuff_slab
more_slabs_stairs_and_walls:blocks/chiseled_tuff_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_tuff_stairs
more_slabs_stairs_and_walls:blocks/chiseled_tuff_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:chiseled_tuff_wall
more_slabs_stairs_and_walls:blocks/clay_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:clay_slab
more_slabs_stairs_and_walls:blocks/clay_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:clay_stairs
more_slabs_stairs_and_walls:blocks/clay_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:clay_wall
more_slabs_stairs_and_walls:blocks/coal_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:coal_block_slab
more_slabs_stairs_and_walls:blocks/coal_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:coal_block_stairs
more_slabs_stairs_and_walls:blocks/coal_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:coal_block_wall
more_slabs_stairs_and_walls:blocks/coarse_dirt_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:coarse_dirt_slab
more_slabs_stairs_and_walls:blocks/coarse_dirt_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:coarse_dirt_stairs
more_slabs_stairs_and_walls:blocks/coarse_dirt_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:coarse_dirt_wall
more_slabs_stairs_and_walls:blocks/copper_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:copper_block_slab
more_slabs_stairs_and_walls:blocks/copper_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:copper_block_stairs
more_slabs_stairs_and_walls:blocks/copper_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:copper_block_wall
more_slabs_stairs_and_walls:blocks/copper_grate_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:copper_grate_slab
more_slabs_stairs_and_walls:blocks/copper_grate_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:copper_grate_stairs
more_slabs_stairs_and_walls:blocks/copper_grate_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:copper_grate_wall
more_slabs_stairs_and_walls:blocks/cracked_deepslate_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:cracked_deepslate_bricks_slab
more_slabs_stairs_and_walls:blocks/cracked_deepslate_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cracked_deepslate_bricks_stairs
more_slabs_stairs_and_walls:blocks/cracked_deepslate_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cracked_deepslate_bricks_wall
more_slabs_stairs_and_walls:blocks/cracked_deepslate_tiles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:cracked_deepslate_tiles_slab
more_slabs_stairs_and_walls:blocks/cracked_deepslate_tiles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cracked_deepslate_tiles_stairs
more_slabs_stairs_and_walls:blocks/cracked_deepslate_tiles_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cracked_deepslate_tiles_wall
more_slabs_stairs_and_walls:blocks/cracked_nether_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:cracked_nether_bricks_slab
more_slabs_stairs_and_walls:blocks/cracked_nether_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cracked_nether_bricks_stairs
more_slabs_stairs_and_walls:blocks/cracked_nether_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cracked_nether_bricks_wall
more_slabs_stairs_and_walls:blocks/cracked_polished_blackstone_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:cracked_polished_blackstone_bricks_slab
more_slabs_stairs_and_walls:blocks/cracked_polished_blackstone_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cracked_polished_blackstone_bricks_stairs
more_slabs_stairs_and_walls:blocks/cracked_polished_blackstone_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cracked_polished_blackstone_bricks_wall
more_slabs_stairs_and_walls:blocks/cracked_stone_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:cracked_stone_bricks_slab
more_slabs_stairs_and_walls:blocks/cracked_stone_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cracked_stone_bricks_stairs
more_slabs_stairs_and_walls:blocks/cracked_stone_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cracked_stone_bricks_wall
more_slabs_stairs_and_walls:blocks/crimson_hyphae_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:crimson_hyphae_slab
more_slabs_stairs_and_walls:blocks/crimson_hyphae_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:crimson_hyphae_stairs
more_slabs_stairs_and_walls:blocks/crimson_hyphae_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:crimson_hyphae_wall
more_slabs_stairs_and_walls:blocks/crimson_nylium_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:crimson_nylium_slab
more_slabs_stairs_and_walls:blocks/crimson_nylium_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:crimson_nylium_stairs
more_slabs_stairs_and_walls:blocks/crimson_nylium_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:crimson_nylium_wall
more_slabs_stairs_and_walls:blocks/crimson_planks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:crimson_planks_wall
more_slabs_stairs_and_walls:blocks/crimson_stem_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:crimson_stem_slab
more_slabs_stairs_and_walls:blocks/crimson_stem_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:crimson_stem_stairs
more_slabs_stairs_and_walls:blocks/crimson_stem_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:crimson_stem_wall
more_slabs_stairs_and_walls:blocks/crimson_wart_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:crimson_wart_slab
more_slabs_stairs_and_walls:blocks/crimson_wart_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:crimson_wart_stairs
more_slabs_stairs_and_walls:blocks/crimson_wart_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:crimson_wart_wall
more_slabs_stairs_and_walls:blocks/crying_obsidian_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:crying_obsidian_slab
more_slabs_stairs_and_walls:blocks/crying_obsidian_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:crying_obsidian_stairs
more_slabs_stairs_and_walls:blocks/crying_obsidian_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:crying_obsidian_wall
more_slabs_stairs_and_walls:blocks/cut_copper_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cut_copper_wall
more_slabs_stairs_and_walls:blocks/cut_red_sandstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cut_red_sandstone_stairs
more_slabs_stairs_and_walls:blocks/cut_red_sandstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cut_red_sandstone_wall
more_slabs_stairs_and_walls:blocks/cut_sandstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cut_sandstone_stairs
more_slabs_stairs_and_walls:blocks/cut_sandstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cut_sandstone_wall
more_slabs_stairs_and_walls:blocks/cyan_concrete_powder_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:cyan_concrete_powder_slab
more_slabs_stairs_and_walls:blocks/cyan_concrete_powder_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cyan_concrete_powder_stairs
more_slabs_stairs_and_walls:blocks/cyan_concrete_powder_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cyan_concrete_powder_wall
more_slabs_stairs_and_walls:blocks/cyan_concrete_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:cyan_concrete_slab
more_slabs_stairs_and_walls:blocks/cyan_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cyan_concrete_stairs
more_slabs_stairs_and_walls:blocks/cyan_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cyan_concrete_wall
more_slabs_stairs_and_walls:blocks/cyan_glazed_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:cyan_glazed_terracotta_slab
more_slabs_stairs_and_walls:blocks/cyan_glazed_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cyan_glazed_terracotta_stairs
more_slabs_stairs_and_walls:blocks/cyan_glazed_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cyan_glazed_terracotta_wall
more_slabs_stairs_and_walls:blocks/cyan_stained_glass_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:cyan_stained_glass_slab
more_slabs_stairs_and_walls:blocks/cyan_stained_glass_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cyan_stained_glass_stairs
more_slabs_stairs_and_walls:blocks/cyan_stained_glass_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cyan_stained_glass_wall
more_slabs_stairs_and_walls:blocks/cyan_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:cyan_terracotta_slab
more_slabs_stairs_and_walls:blocks/cyan_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cyan_terracotta_stairs
more_slabs_stairs_and_walls:blocks/cyan_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cyan_terracotta_wall
more_slabs_stairs_and_walls:blocks/cyan_wool_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:cyan_wool_slab
more_slabs_stairs_and_walls:blocks/cyan_wool_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cyan_wool_stairs
more_slabs_stairs_and_walls:blocks/cyan_wool_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:cyan_wool_wall
more_slabs_stairs_and_walls:blocks/dark_oak_leaves_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:dark_oak_leaves_slab
more_slabs_stairs_and_walls:blocks/dark_oak_leaves_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dark_oak_leaves_stairs
more_slabs_stairs_and_walls:blocks/dark_oak_leaves_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dark_oak_leaves_wall
more_slabs_stairs_and_walls:blocks/dark_oak_log_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:dark_oak_log_slab
more_slabs_stairs_and_walls:blocks/dark_oak_log_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dark_oak_log_stairs
more_slabs_stairs_and_walls:blocks/dark_oak_log_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dark_oak_log_wall
more_slabs_stairs_and_walls:blocks/dark_oak_planks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dark_oak_planks_wall
more_slabs_stairs_and_walls:blocks/dark_oak_wood_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:dark_oak_wood_slab
more_slabs_stairs_and_walls:blocks/dark_oak_wood_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dark_oak_wood_stairs
more_slabs_stairs_and_walls:blocks/dark_oak_wood_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dark_oak_wood_wall
more_slabs_stairs_and_walls:blocks/dark_prismarine_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dark_prismarine_wall
more_slabs_stairs_and_walls:blocks/dead_brain_coral_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:dead_brain_coral_block_slab
more_slabs_stairs_and_walls:blocks/dead_brain_coral_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dead_brain_coral_block_stairs
more_slabs_stairs_and_walls:blocks/dead_brain_coral_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dead_brain_coral_block_wall
more_slabs_stairs_and_walls:blocks/dead_bubble_coral_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:dead_bubble_coral_block_slab
more_slabs_stairs_and_walls:blocks/dead_bubble_coral_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dead_bubble_coral_block_stairs
more_slabs_stairs_and_walls:blocks/dead_bubble_coral_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dead_bubble_coral_block_wall
more_slabs_stairs_and_walls:blocks/dead_fire_coral_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:dead_fire_coral_block_slab
more_slabs_stairs_and_walls:blocks/dead_fire_coral_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dead_fire_coral_block_stairs
more_slabs_stairs_and_walls:blocks/dead_fire_coral_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dead_fire_coral_block_wall
more_slabs_stairs_and_walls:blocks/dead_horn_coral_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:dead_horn_coral_block_slab
more_slabs_stairs_and_walls:blocks/dead_horn_coral_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dead_horn_coral_block_stairs
more_slabs_stairs_and_walls:blocks/dead_horn_coral_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dead_horn_coral_block_wall
more_slabs_stairs_and_walls:blocks/dead_tube_coral_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:dead_tube_coral_block_slab
more_slabs_stairs_and_walls:blocks/dead_tube_coral_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dead_tube_coral_block_stairs
more_slabs_stairs_and_walls:blocks/dead_tube_coral_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dead_tube_coral_block_wall
more_slabs_stairs_and_walls:blocks/deepslate_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:deepslate_slab
more_slabs_stairs_and_walls:blocks/deepslate_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:deepslate_stairs
more_slabs_stairs_and_walls:blocks/deepslate_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:deepslate_wall
more_slabs_stairs_and_walls:blocks/diamond_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:diamond_block_slab
more_slabs_stairs_and_walls:blocks/diamond_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:diamond_block_stairs
more_slabs_stairs_and_walls:blocks/diamond_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:diamond_block_wall
more_slabs_stairs_and_walls:blocks/dirt_path_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:dirt_slab
more_slabs_stairs_and_walls:blocks/dirt_path_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dirt_stairs
more_slabs_stairs_and_walls:blocks/dirt_path_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dirt_wall
more_slabs_stairs_and_walls:blocks/dirt_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:dirt_slab
more_slabs_stairs_and_walls:blocks/dirt_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dirt_stairs
more_slabs_stairs_and_walls:blocks/dirt_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dirt_wall
more_slabs_stairs_and_walls:blocks/dried_kelp_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:dried_kelp_block_slab
more_slabs_stairs_and_walls:blocks/dried_kelp_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dried_kelp_block_stairs
more_slabs_stairs_and_walls:blocks/dried_kelp_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dried_kelp_block_wall
more_slabs_stairs_and_walls:blocks/dripstone_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:dripstone_block_slab
more_slabs_stairs_and_walls:blocks/dripstone_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dripstone_block_stairs
more_slabs_stairs_and_walls:blocks/dripstone_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dripstone_block_wall
more_slabs_stairs_and_walls:blocks/emerald_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:emerald_block_slab
more_slabs_stairs_and_walls:blocks/emerald_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:emerald_block_stairs
more_slabs_stairs_and_walls:blocks/emerald_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:emerald_block_wall
more_slabs_stairs_and_walls:blocks/end_stone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:end_stone_slab
more_slabs_stairs_and_walls:blocks/end_stone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:end_stone_stairs
more_slabs_stairs_and_walls:blocks/end_stone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:end_stone_wall
more_slabs_stairs_and_walls:blocks/exposed_chiseled_copper_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:exposed_chiseled_copper_slab
more_slabs_stairs_and_walls:blocks/exposed_chiseled_copper_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:exposed_chiseled_copper_stairs
more_slabs_stairs_and_walls:blocks/exposed_chiseled_copper_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:exposed_chiseled_copper_wall
more_slabs_stairs_and_walls:blocks/exposed_copper_grate_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:exposed_copper_grate_slab
more_slabs_stairs_and_walls:blocks/exposed_copper_grate_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:exposed_copper_grate_stairs
more_slabs_stairs_and_walls:blocks/exposed_copper_grate_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:exposed_copper_grate_wall
more_slabs_stairs_and_walls:blocks/exposed_copper_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:exposed_copper_slab
more_slabs_stairs_and_walls:blocks/exposed_copper_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:exposed_copper_stairs
more_slabs_stairs_and_walls:blocks/exposed_copper_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:exposed_copper_wall
more_slabs_stairs_and_walls:blocks/exposed_cut_copper_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:exposed_cut_copper_wall
more_slabs_stairs_and_walls:blocks/fire_coral_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:fire_coral_block_slab
more_slabs_stairs_and_walls:blocks/fire_coral_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:fire_coral_block_stairs
more_slabs_stairs_and_walls:blocks/fire_coral_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:fire_coral_block_wall
more_slabs_stairs_and_walls:blocks/flowering_azalea_leaves_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:flowering_azalea_leaves_slab
more_slabs_stairs_and_walls:blocks/flowering_azalea_leaves_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:flowering_azalea_leaves_stairs
more_slabs_stairs_and_walls:blocks/flowering_azalea_leaves_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:flowering_azalea_leaves_wall
more_slabs_stairs_and_walls:blocks/gilded_blackstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:gilded_blackstone_slab
more_slabs_stairs_and_walls:blocks/gilded_blackstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gilded_blackstone_stairs
more_slabs_stairs_and_walls:blocks/gilded_blackstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gilded_blackstone_wall
more_slabs_stairs_and_walls:blocks/glass_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:glass_slab
more_slabs_stairs_and_walls:blocks/glass_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:glass_stairs
more_slabs_stairs_and_walls:blocks/glass_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:glass_wall
more_slabs_stairs_and_walls:blocks/glowstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:glowstone_slab
more_slabs_stairs_and_walls:blocks/glowstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:glowstone_stairs
more_slabs_stairs_and_walls:blocks/glowstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:glowstone_wall
more_slabs_stairs_and_walls:blocks/gold_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:gold_block_slab
