supplementaries:blocks/ash | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count supplementaries:ash
supplementaries:inject/mineshaft_flax | ? | minecraft:item supplementaries:flax_seeds
supplementaries:inject/mineshaft_rope | ? | supplementaries:rope
supplementaries:inject/pillager_flax | ? | supplementaries:flax_seeds
supplementaries:inject/shipwreck_storage_flax | ? | supplementaries:flax_seeds
supplementaries:inject/shipwreck_treasure_globe | ? | supplementaries:globe
supplementaries:inject/stronghold_blue_bomb | ? | supplementaries:bomb_blue
supplementaries:inject/stronghold_bomb | ? | supplementaries:bomb
supplementaries:inject/temple_blue_bomb | ? | supplementaries:bomb_blue
supplementaries:inject/temple_bomb | ? | supplementaries:bomb
supplementaries:inject/temple_spikes | ? | minecraft:poison minecraft:set_potion minecraft:uniform supplementaries:bamboo_spikes supplementaries:bamboo_spikes_tipped supplementaries:set_charges
supplementaries:inject/test | minecraft:chest | minecraft:chest minecraft:exploration_map minecraft:item minecraft:map minecraft:red_x minecraft:village
supplementaries:loot/galleon/cannon | ? | minecraft:arrow minecraft:gunpowder minecraft:set_count minecraft:uniform moonlight:load_conditions supplementaries:bomb supplementaries:cannonball supplementaries:flag
supplementaries:loot/galleon/chest | minecraft:chest | minecraft:arrow minecraft:book minecraft:bread minecraft:bucket minecraft:chest minecraft:coal minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:feather minecraft:fire_charge minecraft:fishing_rod minecraft:goat_horn minecraft:gold_ingot minecraft:gold_nugget minecraft:golden_carrot minecraft:gunpowder minecraft:item minecraft:melon_seeds minecraft:paper minecraft:pumpkin_seeds minecraft:set_count minecraft:set_damage minecraft:set_instrument minecraft:slime_ball minecraft:string minecraft:uniform moonlight:load_conditions supplementaries:bomb supplementaries:candy supplementaries:cannonball supplementaries:flag supplementaries:flax_seeds supplementaries:globe supplementaries:rope
supplementaries:loot/galleon/key | ? | minecraft:cobweb minecraft:set_count minecraft:string minecraft:uniform moonlight:load_conditions supplementaries:flag supplementaries:key
supplementaries:loot/galleon/safe | ? | minecraft:alternatives minecraft:book minecraft:clock minecraft:compass minecraft:diamond minecraft:diamond_axe minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:experience_bottle minecraft:gold_ingot minecraft:golden_sword minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_leggings minecraft:item minecraft:nautilus_shell minecraft:paper minecraft:set_count minecraft:set_damage minecraft:spectral_arrow minecraft:spyglass minecraft:tnt minecraft:uniform moonlight:load_conditions supplementaries:blast_armor_trim_smithing_template supplementaries:bomb_blue supplementaries:flag supplementaries:hourglass supplementaries:lumisene_bottle
supplementaries:loot/urn_loot/common | minecraft:block | minecraft:block minecraft:bone minecraft:item minecraft:set_count minecraft:torch minecraft:uniform moonlight:load_conditions supplementaries:ash supplementaries:flag supplementaries:flax_seeds
supplementaries:loot/urn_loot/epic | minecraft:block | minecraft:block minecraft:diamond minecraft:diamond_boots minecraft:diamond_helmet minecraft:emerald minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:ender_pearl minecraft:item minecraft:set_count minecraft:set_damage minecraft:slime_ball minecraft:uniform moonlight:load_conditions supplementaries:bomb_blue supplementaries:flag
supplementaries:loot/urn_loot/rare | minecraft:block | minecraft:amethyst_shard minecraft:block minecraft:bundle minecraft:diamond minecraft:emerald minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:iron_boots minecraft:iron_helmet minecraft:item minecraft:lapis_lazuli minecraft:raw_copper minecraft:raw_gold minecraft:raw_iron minecraft:set_count minecraft:set_damage minecraft:skeleton_skull minecraft:uniform minecraft:zombie_head moonlight:load_conditions supplementaries:bomb supplementaries:flag
supplementaries:loot/urn_loot/uncommon | minecraft:block | minecraft:block minecraft:bone minecraft:emerald minecraft:gold_nugget minecraft:iron_nugget minecraft:item minecraft:set_count minecraft:skeleton_skull minecraft:uniform minecraft:zombie_head moonlight:load_conditions supplementaries:antique_ink supplementaries:ash supplementaries:flag supplementaries:flax_seeds
supplementaries:loot/urn_loot/urn_loot | minecraft:block | minecraft:block minecraft:loot_table supplementaries:loot/urn_loot/common supplementaries:loot/urn_loot/epic supplementaries:loot/urn_loot/rare supplementaries:loot/urn_loot/uncommon
