minecraft:archaelogy/jungle_ruins | minecraft:archaeology | minecraft:archaeology minecraft:arms_up_pottery_sherd minecraft:beetroot minecraft:black_wool minecraft:bone minecraft:book minecraft:brewer_pottery_sherd minecraft:brick minecraft:brown_dye minecraft:brown_stained_glass_pane minecraft:candle minecraft:carrot minecraft:cocoa_beans minecraft:danger_pottery_sherd minecraft:diamond minecraft:emerald minecraft:friend_pottery_sherd minecraft:glass_bottle minecraft:glass_pane minecraft:glow_berries minecraft:gold_ingot minecraft:heart_pottery_sherd minecraft:honey_bottle minecraft:honeycomb minecraft:iron_ingot minecraft:item minecraft:jungle_hanging_sign minecraft:jungle_planks minecraft:lapis_lazuli minecraft:lead minecraft:light_blue_stained_glass_pane minecraft:light_gray_stained_glass_pane minecraft:melon_seeds minecraft:melon_slice minecraft:name_tag minecraft:oak_hanging_sign minecraft:oak_planks minecraft:potato minecraft:prize_pottery_sherd minecraft:reference minecraft:saddle minecraft:shelter_pottery_sherd minecraft:skeleton_skull minecraft:sniffer_egg minecraft:snort_pottery_sherd minecraft:stick minecraft:stone_axe minecraft:stone_pickaxe minecraft:stone_shovel minecraft:wheat minecraft:white_wool minecraft:wild_armor_trim_smithing_template minecraft:yellow_candle nova_structures:loot_modifier
nova_structures:chests/end_castle/supply | minecraft:chest | minecraft:apple minecraft:beetroot minecraft:beetroot_seeds minecraft:black_dye minecraft:black_wool minecraft:blaze_powder minecraft:chest minecraft:chorus_flower minecraft:chorus_fruit minecraft:crossbow minecraft:diamond minecraft:emerald minecraft:emerald_block minecraft:end_stone minecraft:ender_pearl minecraft:ghast_tear minecraft:glass minecraft:gold_ingot minecraft:golden_apple minecraft:iron_ingot minecraft:item minecraft:lapis_lazuli minecraft:magenta_dye minecraft:magenta_stained_glass minecraft:magenta_wool minecraft:name_tag minecraft:obsidian minecraft:pearlescent_froglight minecraft:phantom_membrane minecraft:purple_dye minecraft:purple_stained_glass_pane minecraft:purple_wool minecraft:reference minecraft:set_count minecraft:stick minecraft:string minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/end_castle/treasure_lighthouse | minecraft:chest | minecraft:beetroot_soup minecraft:blaze_powder minecraft:blaze_rod minecraft:book minecraft:chest minecraft:chorus_fruit minecraft:empty minecraft:enchant_randomly minecraft:ender_pearl minecraft:glistering_melon_slice minecraft:gold_ingot minecraft:iron_ingot minecraft:item minecraft:nether_wart minecraft:popped_chorus_fruit minecraft:reference minecraft:set_count minecraft:spire_armor_trim_smithing_template minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/end_castle/vault_brigattine | minecraft:chest | minecraft:book minecraft:chest minecraft:diamond_axe minecraft:diamond_block minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_leggings minecraft:diamond_sword minecraft:elytra minecraft:emerald_block minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:ender_eye minecraft:eye_armor_trim_smithing_template minecraft:gold_block minecraft:iron_axe minecraft:iron_block minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:loot_table minecraft:reference minecraft:spire_armor_trim_smithing_template nova_structures:loot_modifier nova_structures:special_items/levitation_arrow nova_structures:special_items/levitation_lingering_potion nova_structures:special_items/levitation_potion nova_structures:special_items/levitation_splash_potion nova_structures:special_items/nausea_arrow
nova_structures:chests/end_castle/vault_galleon | minecraft:chest | minecraft:book minecraft:chest minecraft:crossbow minecraft:diamond_axe minecraft:diamond_block minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_leggings minecraft:diamond_sword minecraft:elytra minecraft:emerald minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:end_crystal minecraft:experience_bottle minecraft:eye_armor_trim_smithing_template minecraft:gold_block minecraft:golden_apple minecraft:iron_block minecraft:item minecraft:lodestone minecraft:loot_table minecraft:reference minecraft:set_count minecraft:spire_armor_trim_smithing_template minecraft:uniform nova_structures:loot_modifier nova_structures:special_items/levitation_arrow nova_structures:special_items/levitation_lingering_potion nova_structures:special_items/levitation_potion nova_structures:special_items/levitation_splash_potion
nova_structures:chests/end_castle/vault_slope | minecraft:chest | minecraft:book minecraft:chest minecraft:crossbow minecraft:diamond_axe minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_leggings minecraft:diamond_sword minecraft:elytra minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:ender_eye minecraft:experience_bottle minecraft:exploration_map minecraft:eye_armor_trim_smithing_template minecraft:golden_apple minecraft:iron_axe minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:loot_table minecraft:map minecraft:reference minecraft:set_components minecraft:set_count minecraft:spire_armor_trim_smithing_template minecraft:uniform nova_structures:end_lighthouse nova_structures:loot_modifier nova_structures:special_items/levitation_arrow nova_structures:special_items/levitation_lingering_potion nova_structures:special_items/levitation_potion nova_structures:special_items/levitation_splash_potion nova_structures:special_items/nausea_arrow
nova_structures:chests/end_lighthouse/supply_lighthouse | minecraft:chest | minecraft:beetroot minecraft:chest minecraft:chorus_fruit minecraft:emerald minecraft:empty minecraft:eye_armor_trim_smithing_template minecraft:gold_ingot minecraft:healing minecraft:iron_ingot minecraft:item minecraft:melon_seeds minecraft:reference minecraft:set_count minecraft:stick minecraft:string minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/end_lighthouse/vault_lighthouse | minecraft:chest | minecraft:beetroot_soup minecraft:book minecraft:chest minecraft:chorus_fruit minecraft:enchant_randomly minecraft:exploration_map minecraft:item minecraft:map minecraft:reference minecraft:set_components minecraft:set_count minecraft:spyglass minecraft:uniform nova_structures:end_castle nova_structures:loot_modifier
nova_structures:chests/firewatch_tower | minecraft:chest | minecraft:book minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:firework_rocket minecraft:item minecraft:map minecraft:paper minecraft:reference minecraft:set_count minecraft:set_fireworks minecraft:spyglass minecraft:uniform minecraft:wayfinder_armor_trim_smithing_template nova_structures:loot_modifier
nova_structures:chests/food_supply | minecraft:chest | minecraft:bread minecraft:carrot minecraft:chest minecraft:glow_berries minecraft:item minecraft:potato minecraft:reference minecraft:saddle minecraft:set_count minecraft:uniform minecraft:wheat minecraft:wheat_seeds nova_structures:loot_modifier
nova_structures:chests/hamlet/hamlet | minecraft:chest | minecraft:arrow minecraft:chest minecraft:cooked_porkchop minecraft:crimson_fungus minecraft:crimson_roots minecraft:crying_obsidian minecraft:empty minecraft:glowstone_dust minecraft:gold_ingot minecraft:gold_nugget minecraft:golden_carrot minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:leather minecraft:music_disc_pigstep minecraft:netherite_scrap minecraft:netherite_upgrade_smithing_template minecraft:piglin_banner_pattern minecraft:porkchop minecraft:reference minecraft:saddle minecraft:set_count minecraft:snout_armor_trim_smithing_template minecraft:string minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/hamlet/hamlet_tresure | minecraft:chest | minecraft:arrow minecraft:chest minecraft:cooked_porkchop minecraft:crimson_fungus minecraft:crimson_roots minecraft:crying_obsidian minecraft:exploration_map minecraft:glowstone_dust minecraft:gold_ingot minecraft:gold_nugget minecraft:golden_carrot minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:leather minecraft:map minecraft:music_disc_pigstep minecraft:netherite_scrap minecraft:netherite_upgrade_smithing_template minecraft:piglin_banner_pattern minecraft:porkchop minecraft:reference minecraft:saddle minecraft:set_components minecraft:set_count minecraft:snout_armor_trim_smithing_template minecraft:string minecraft:uniform nova_structures:bastion_remnant nova_structures:loot_modifier nova_structures:piglin_outstation
nova_structures:chests/illager_camp | minecraft:chest | minecraft:apple minecraft:arrow minecraft:chest minecraft:crossbow minecraft:emerald minecraft:exploration_map minecraft:gold_ingot minecraft:iron_ingot minecraft:item minecraft:map minecraft:name_tag minecraft:pillager_outpost minecraft:reference minecraft:set_components minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/illager_hideout_brewing | minecraft:chest | minecraft:chest minecraft:fermented_spider_eye minecraft:glistering_melon_slice minecraft:glowstone_dust minecraft:golden_carrot minecraft:item minecraft:rabbit_foot minecraft:redstone minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/illager_hideout_fishing | minecraft:chest | minecraft:chest minecraft:cod minecraft:cooked_cod minecraft:cooked_salmon minecraft:enchant_with_levels minecraft:fishing_rod minecraft:item minecraft:nautilus_shell minecraft:reference minecraft:salmon minecraft:set_count minecraft:turtle_scute minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/illager_hideout_heart_loot | minecraft:chest | minecraft:chest minecraft:diamond minecraft:emerald minecraft:enchant_with_levels minecraft:globe_banner_pattern minecraft:gold_ingot minecraft:golden_apple minecraft:iron_axe minecraft:iron_ingot minecraft:item minecraft:music_disc_otherside minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/illager_hideout_lesser_tresure | minecraft:chest | minecraft:book minecraft:chest minecraft:copper_ingot minecraft:diamond minecraft:emerald minecraft:empty minecraft:gold_ingot minecraft:iron_ingot minecraft:item minecraft:limit_count minecraft:music_disc_11 minecraft:music_disc_ward minecraft:reference minecraft:set_count minecraft:uniform minecraft:vex_armor_trim_smithing_template nova_structures:loot_modifier
nova_structures:chests/illager_hideout_library | minecraft:chest | minecraft:book minecraft:chest minecraft:clock minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:feather minecraft:item minecraft:paper minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/illager_hideout_meat | minecraft:chest | minecraft:beef minecraft:chest minecraft:chicken minecraft:cooked_beef minecraft:cooked_chicken minecraft:cooked_mutton minecraft:cooked_porkchop minecraft:cooked_rabbit minecraft:item minecraft:mutton minecraft:porkchop minecraft:rabbit minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/illager_hideout_random | minecraft:chest | minecraft:chest minecraft:empty minecraft:loot_table minecraft:reference minecraft:sentry_armor_trim_smithing_template nova_structures:chests/illager_hideout_brewing nova_structures:chests/illager_hideout_fishing nova_structures:chests/illager_hideout_lesser_tresure nova_structures:chests/illager_hideout_library nova_structures:chests/illager_hideout_meat nova_structures:chests/illager_hideout_raw_ores nova_structures:chests/illager_hideout_trash nova_structures:chests/illager_hideout_tresure nova_structures:chests/illager_hideout_utility nova_structures:chests/illager_hideout_vegitarian nova_structures:chests/illager_hideout_weaponry nova_structures:loot_modifier
nova_structures:chests/illager_hideout_raw_ores | minecraft:chest | minecraft:chest minecraft:item minecraft:raw_copper minecraft:raw_gold minecraft:raw_iron minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/illager_hideout_trash | minecraft:chest | minecraft:beetroot minecraft:bowl minecraft:brown_mushroom minecraft:chest minecraft:item minecraft:red_mushroom minecraft:reference minecraft:rotten_flesh minecraft:set_count minecraft:spider_eye minecraft:stick minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/illager_hideout_tresure | minecraft:chest | minecraft:chest minecraft:diamond minecraft:emerald minecraft:enchanted_golden_apple minecraft:experience_bottle minecraft:gold_ingot minecraft:golden_apple minecraft:item minecraft:lapis_lazuli minecraft:limit_count minecraft:raw_gold minecraft:reference minecraft:set_count minecraft:uniform minecraft:vex_armor_trim_smithing_template nova_structures:loot_modifier
nova_structures:chests/illager_hideout_utility | minecraft:chest | minecraft:book minecraft:chest minecraft:compass minecraft:emerald minecraft:empty minecraft:gold_ingot minecraft:iron_ingot minecraft:item minecraft:lead minecraft:leather minecraft:name_tag minecraft:paper minecraft:reference minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/illager_hideout_vegitarian | minecraft:chest | minecraft:apple minecraft:beetroot_seeds minecraft:bread minecraft:carrot minecraft:chest minecraft:glow_berries minecraft:honey_bottle minecraft:item minecraft:loot_table minecraft:melon_seeds minecraft:melon_slice minecraft:potato minecraft:pumpkin_pie minecraft:pumpkin_seeds minecraft:reference minecraft:set_count minecraft:sweet_berries minecraft:uniform minecraft:wheat_seeds nova_structures:loot_modifier
nova_structures:chests/illager_hideout_weaponry | minecraft:chest | minecraft:arrow minecraft:bow minecraft:chest minecraft:coal minecraft:crossbow minecraft:empty minecraft:enchant_with_levels minecraft:iron_axe minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_hoe minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_pickaxe minecraft:iron_shovel minecraft:iron_sword minecraft:item minecraft:limit_count minecraft:reference minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:stick minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/jungle_ruins/jungle_ruins_house | minecraft:chest | minecraft:bamboo minecraft:chest minecraft:chests/jungle_temple minecraft:cocoa_beans minecraft:empty minecraft:fern minecraft:filtered minecraft:item minecraft:jungle_log minecraft:jungle_sapling minecraft:loot_table minecraft:reference minecraft:set_count minecraft:uniform minecraft:vine nova_structures:chests/ruin_loot_master nova_structures:loot_modifier
nova_structures:chests/jungle_ruins/jungle_ruins_main_temple | minecraft:chest | minecraft:amethyst_shard minecraft:bone minecraft:book minecraft:chest minecraft:chests/jungle_temple minecraft:cocoa_beans minecraft:cookie minecraft:copper_ingot minecraft:diamond minecraft:emerald minecraft:enchant_randomly minecraft:filtered minecraft:gold_ingot minecraft:honey_bottle minecraft:iron_ingot minecraft:item minecraft:lapis_lazuli minecraft:loot_table minecraft:poisonous_potato minecraft:potato minecraft:reference minecraft:rotten_flesh minecraft:set_count minecraft:string minecraft:uniform minecraft:wild_armor_trim_smithing_template minecraft:zombie_head nova_structures:loot_modifier
nova_structures:chests/jungle_ruins/jungle_ruins_main_temple_wild | minecraft:chest | minecraft:amethyst_shard minecraft:bone minecraft:chest minecraft:chests/jungle_temple minecraft:cocoa_beans minecraft:cookie minecraft:copper_ingot minecraft:diamond minecraft:emerald minecraft:filtered minecraft:gold_ingot minecraft:honey_bottle minecraft:iron_ingot minecraft:item minecraft:lapis_lazuli minecraft:loot_table minecraft:poisonous_potato minecraft:potato minecraft:reference minecraft:rotten_flesh minecraft:set_count minecraft:string minecraft:uniform minecraft:wild_armor_trim_smithing_template nova_structures:loot_modifier
nova_structures:chests/lone_citadel/c_banner | minecraft:chest | minecraft:blue_banner minecraft:blue_carpet minecraft:blue_dye minecraft:blue_wool minecraft:chest minecraft:item minecraft:light_blue_banner minecraft:light_blue_carpet minecraft:light_blue_dye minecraft:light_blue_wool minecraft:reference minecraft:set_count minecraft:shears minecraft:skull_banner_pattern minecraft:uniform minecraft:white_banner minecraft:white_carpet minecraft:white_dye minecraft:white_wool nova_structures:loot_modifier
nova_structures:chests/lone_citadel/c_cold_barrel | minecraft:chest | minecraft:blue_ice minecraft:carved_pumpkin minecraft:chest minecraft:item minecraft:packed_ice minecraft:powder_snow_bucket minecraft:pumpkin minecraft:reference minecraft:salmon minecraft:set_count minecraft:set_potion minecraft:slowness minecraft:snow_block minecraft:snowball minecraft:tipped_arrow minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/lone_citadel/c_dispenser | minecraft:chest | minecraft:chest minecraft:egg minecraft:item minecraft:lingering_potion minecraft:reference minecraft:set_potion minecraft:slowness minecraft:snowball minecraft:splash_potion minecraft:tipped_arrow minecraft:wind_charge nova_structures:loot_modifier
nova_structures:chests/lone_citadel/c_forge | minecraft:chest | minecraft:chainmail_boots minecraft:chainmail_chestplate minecraft:chainmail_helmet minecraft:chainmail_leggings minecraft:chest minecraft:coal minecraft:crossbow minecraft:diamond minecraft:gold_ingot minecraft:iron_axe minecraft:iron_helmet minecraft:iron_ingot minecraft:iron_pickaxe minecraft:item minecraft:raw_gold minecraft:raw_iron minecraft:reference minecraft:set_count minecraft:stick minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/lone_citadel/c_forge_chest | minecraft:chest | minecraft:bow minecraft:bucket minecraft:chainmail_boots minecraft:chainmail_chestplate minecraft:chainmail_leggings minecraft:chest minecraft:chest_minecart minecraft:crossbow minecraft:diamond minecraft:diamond_axe minecraft:diamond_helmet minecraft:diamond_hoe minecraft:diamond_pickaxe minecraft:diamond_shovel minecraft:flint_and_steel minecraft:furnace_minecart minecraft:gold_ingot minecraft:gold_nugget minecraft:hopper_minecart minecraft:iron_axe minecraft:iron_block minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_hoe minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_nugget minecraft:iron_pickaxe minecraft:iron_shovel minecraft:item minecraft:minecart minecraft:name_tag minecraft:rail minecraft:raw_copper minecraft:raw_iron minecraft:redstone_torch minecraft:reference minecraft:set_count minecraft:shears minecraft:shield minecraft:tnt_minecart minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/lone_citadel/c_grave | minecraft:chest | minecraft:arrow minecraft:bone minecraft:chainmail_boots minecraft:chainmail_chestplate minecraft:chainmail_helmet minecraft:chainmail_leggings minecraft:chest minecraft:crossbow minecraft:diamond minecraft:emerald minecraft:gold_ingot minecraft:iron_axe minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_leggings minecraft:item minecraft:loot_table minecraft:ominous_bottle minecraft:reference minecraft:rotten_flesh minecraft:set_count minecraft:set_ominous_bottle_amplifier minecraft:set_potion minecraft:skeleton_skull minecraft:slowness minecraft:string minecraft:tipped_arrow minecraft:uniform nova_structures:keys/citadel_key nova_structures:loot_modifier
nova_structures:chests/lone_citadel/c_library | minecraft:chest | minecraft:aqua_affinity minecraft:book minecraft:candle minecraft:chest minecraft:compass minecraft:enchant_randomly minecraft:experience_bottle minecraft:frost_walker minecraft:ink_sac minecraft:iron_ingot minecraft:item minecraft:looting minecraft:paper minecraft:redstone minecraft:reference minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:writable_book nova_structures:loot_modifier
nova_structures:chests/lone_citadel/c_supply | ? | minecraft:apple minecraft:arrow minecraft:book minecraft:bread minecraft:cake minecraft:cooked_rabbit minecraft:cookie minecraft:diamond minecraft:emerald minecraft:empty minecraft:enchant_with_levels minecraft:experience_bottle minecraft:flint minecraft:gold_ingot minecraft:golden_apple minecraft:iron_axe minecraft:iron_helmet minecraft:iron_horse_armor minecraft:iron_ingot minecraft:iron_pickaxe minecraft:item minecraft:light_blue_candle minecraft:name_tag minecraft:pumpkin_pie minecraft:rabbit_hide minecraft:reference minecraft:saddle minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:set_damage minecraft:snowball minecraft:soul_lantern minecraft:soul_torch minecraft:spruce_log minecraft:suspicious_stew nova_structures:loot_modifier
nova_structures:chests/lone_citadel/c_vault | minecraft:chest | minecraft:aqua_affinity minecraft:book minecraft:bow minecraft:chest minecraft:crossbow minecraft:diamond minecraft:diamond_axe minecraft:diamond_block minecraft:diamond_helmet minecraft:diamond_horse_armor minecraft:diamond_pickaxe minecraft:emerald minecraft:emerald_block minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:experience_bottle minecraft:frost_walker minecraft:goat_horn minecraft:gold_block minecraft:gold_ingot minecraft:golden_apple minecraft:golden_carrot minecraft:guster_banner_pattern minecraft:iron_ingot minecraft:item minecraft:lapis_block minecraft:looting minecraft:music_disc_strad minecraft:reference minecraft:saddle minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:set_instrument minecraft:silk_touch minecraft:skeleton_skull minecraft:skull_banner_pattern minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/lone_citadel/c_vault_boss | minecraft:chest | minecraft:book minecraft:chest minecraft:crossbow minecraft:diamond_axe minecraft:diamond_block minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_horse_armor minecraft:diamond_leggings minecraft:diamond_pickaxe minecraft:emerald_block minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:experience_bottle minecraft:flow_armor_trim_smithing_template minecraft:frost_walker minecraft:goat_horn minecraft:gold_block minecraft:golden_apple minecraft:golden_carrot minecraft:iron_block minecraft:item minecraft:lapis_block minecraft:music_disc_strad minecraft:reference minecraft:saddle minecraft:set_count minecraft:set_instrument minecraft:uniform minecraft:wind_charge nova_structures:loot_modifier
nova_structures:chests/mangrove_witchhud | minecraft:chest | minecraft:brown_mushroom minecraft:chest minecraft:fermented_spider_eye minecraft:glass_bottle minecraft:glowstone_dust minecraft:gunpowder minecraft:item minecraft:potion minecraft:rabbit_foot minecraft:red_mushroom minecraft:redstone minecraft:reference minecraft:set_potion minecraft:spider_eye minecraft:stick minecraft:sugar minecraft:water nova_structures:loot_modifier
nova_structures:chests/mining_supply | minecraft:chest | minecraft:chest minecraft:gunpowder minecraft:item minecraft:rail minecraft:red_sand minecraft:reference minecraft:set_count minecraft:stone_pickaxe minecraft:stone_shovel minecraft:torch minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/nether_keep/vault_keep | minecraft:chest | minecraft:ancient_debris minecraft:blaze_rod minecraft:book minecraft:chest minecraft:crying_obsidian minecraft:diamond minecraft:empty minecraft:enchant_randomly minecraft:gold_ingot minecraft:golden_apple minecraft:item minecraft:music_disc_chirp minecraft:netherite_ingot minecraft:netherite_scrap minecraft:netherite_upgrade_smithing_template minecraft:obsidian minecraft:reference minecraft:rib_armor_trim_smithing_template minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/nether_keep/vault_keep_generic | minecraft:chest | minecraft:arrow minecraft:blaze_rod minecraft:book minecraft:chest minecraft:crying_obsidian minecraft:diamond minecraft:empty minecraft:enchant_randomly minecraft:fire_charge minecraft:gold_ingot minecraft:golden_apple minecraft:item minecraft:netherite_upgrade_smithing_template minecraft:obsidian minecraft:ominous_bottle minecraft:reference minecraft:rib_armor_trim_smithing_template minecraft:set_count minecraft:set_ominous_bottle_amplifier minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/nether_port/nether_port_chest | minecraft:chest | minecraft:ancient_debris minecraft:arrow minecraft:blaze_powder minecraft:blaze_rod minecraft:bone minecraft:book minecraft:bow minecraft:chest minecraft:coal minecraft:crimson_fungus minecraft:crimson_planks minecraft:crimson_stem minecraft:diamond minecraft:empty minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:experience_bottle minecraft:feather minecraft:flint minecraft:glowstone_dust minecraft:gold_ingot minecraft:golden_boots minecraft:golden_chestplate minecraft:golden_helmet minecraft:golden_horse_armor minecraft:golden_leggings minecraft:golden_sword minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:magma_cream minecraft:name_tag minecraft:nether_wart minecraft:netherite_scrap minecraft:netherite_upgrade_smithing_template minecraft:porkchop minecraft:red_mushroom minecraft:reference minecraft:rib_armor_trim_smithing_template minecraft:saddle minecraft:set_count minecraft:skeleton_skull minecraft:skull_banner_pattern minecraft:string minecraft:uniform minecraft:warped_fungus minecraft:wither_skeleton_skull nova_structures:loot_modifier
nova_structures:chests/nether_port/nether_port_supplies | minecraft:chest | minecraft:arrow minecraft:blaze_powder minecraft:bow minecraft:chest minecraft:diamond minecraft:empty minecraft:fire_charge minecraft:glowstone_dust minecraft:gold_ingot minecraft:gold_nugget minecraft:gunpowder minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:quartz minecraft:reference minecraft:rib_armor_trim_smithing_template minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/nether_skeleton_tower/skeleton_tower_camp | minecraft:chest | minecraft:bone minecraft:bow minecraft:chest minecraft:empty minecraft:enchant_with_levels minecraft:exploration_map minecraft:flint minecraft:gold_ingot minecraft:gold_nugget minecraft:item minecraft:map minecraft:reference minecraft:rib_armor_trim_smithing_template minecraft:set_components minecraft:set_count minecraft:stick minecraft:stone_sword minecraft:string minecraft:uniform nova_structures:loot_modifier nova_structures:nether_skeleton_tower_crimson nova_structures:nether_skeleton_tower_soul nova_structures:nether_skeleton_tower_warped nova_structures:nether_skeleton_tower_waste
nova_structures:chests/nether_skeleton_tower/skeleton_tower_chest | minecraft:chest | minecraft:bone minecraft:bow minecraft:chest minecraft:empty minecraft:enchant_with_levels minecraft:exploration_map minecraft:flint minecraft:gold_ingot minecraft:gold_nugget minecraft:golden_boots minecraft:golden_chestplate minecraft:golden_helmet minecraft:golden_leggings minecraft:golden_sword minecraft:item minecraft:map minecraft:reference minecraft:rib_armor_trim_smithing_template minecraft:set_components minecraft:set_count minecraft:skeleton_skull minecraft:skull_banner_pattern minecraft:stick minecraft:stone_sword minecraft:string minecraft:uniform nova_structures:loot_modifier nova_structures:nether_fortress nova_structures:nether_keep nova_structures:nether_port
nova_structures:chests/nether_skeleton_tower/skeleton_tower_supply | minecraft:chest | minecraft:chest minecraft:coal minecraft:cooked_porkchop minecraft:item minecraft:porkchop minecraft:quartz minecraft:reference minecraft:set_count minecraft:stick minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/piglin_camp/chest | minecraft:chest | minecraft:arrow minecraft:chest minecraft:cooked_porkchop minecraft:crimson_fungus minecraft:crimson_roots minecraft:crying_obsidian minecraft:exploration_map minecraft:glowstone_dust minecraft:gold_ingot minecraft:gold_nugget minecraft:golden_carrot minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:leather minecraft:map minecraft:porkchop minecraft:reference minecraft:saddle minecraft:set_components minecraft:set_count minecraft:string minecraft:uniform nova_structures:hamlet nova_structures:loot_modifier nova_structures:piglin_outstation
nova_structures:chests/piglin_donjon/donjon_generic | minecraft:chest | minecraft:arrow minecraft:blackstone minecraft:bowl minecraft:brown_mushroom minecraft:chest minecraft:cooked_porkchop minecraft:crimson_fungus minecraft:crimson_nylium minecraft:crimson_stem minecraft:crying_obsidian minecraft:empty minecraft:fire_charge minecraft:glowstone_dust minecraft:gold_ingot minecraft:gold_nugget minecraft:item minecraft:loot_table minecraft:name_tag minecraft:obsidian minecraft:porkchop minecraft:potion minecraft:red_mushroom minecraft:reference minecraft:saddle minecraft:set_count minecraft:set_potion minecraft:shroomlight minecraft:stick minecraft:uniform minecraft:warped_fungus minecraft:warped_fungus_on_a_stick minecraft:water nova_structures:keys/piglin_donjon_key nova_structures:loot_modifier
nova_structures:chests/piglin_donjon/vault_piglin_donjon | minecraft:chest | minecraft:ancient_debris minecraft:chest minecraft:enchanted_golden_apple minecraft:experience_bottle minecraft:gold_block minecraft:golden_apple minecraft:golden_carrot minecraft:iron_block minecraft:item minecraft:netherite_axe minecraft:netherite_boots minecraft:netherite_chestplate minecraft:netherite_helmet minecraft:netherite_hoe minecraft:netherite_ingot minecraft:netherite_leggings minecraft:netherite_pickaxe minecraft:netherite_scrap minecraft:netherite_shovel minecraft:netherite_sword minecraft:netherite_upgrade_smithing_template minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/piglin_outstation/outstation_generic | minecraft:chest | minecraft:arrow minecraft:blackstone minecraft:bowl minecraft:brown_mushroom minecraft:chest minecraft:cooked_porkchop minecraft:crimson_fungus minecraft:crimson_nylium minecraft:crimson_stem minecraft:crying_obsidian minecraft:fire_charge minecraft:glowstone_dust minecraft:gold_ingot minecraft:gold_nugget minecraft:item minecraft:name_tag minecraft:obsidian minecraft:porkchop minecraft:potion minecraft:red_mushroom minecraft:reference minecraft:saddle minecraft:set_count minecraft:set_potion minecraft:shroomlight minecraft:stick minecraft:uniform minecraft:warped_fungus minecraft:warped_fungus_on_a_stick minecraft:water nova_structures:loot_modifier
