cbc_at:blocks/armor_piercing_cartridge | minecraft:block | cbc_at:armor_piercing_cartridge createbigcannons:blocks/ap_shot minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/steel_twin_autocannon_recoil_spring | minecraft:block | cbc_at:steel_twin_autocannon_recoil_spring createbigcannons:blocks/steel_autocannon_recoil_spring createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_twin_autocannon_silencer | minecraft:block | cbc_at:steel_twin_autocannon_silencer createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_vert_twin_autocannon_barrel | minecraft:block | cbc_at:steel_vert_twin_autocannon_barrel createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_vert_twin_autocannon_breech | minecraft:block | cbc_at:steel_vert_twin_autocannon_breech createbigcannons:blocks/steel_autocannon_breech createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_vert_twin_autocannon_muzzle_brake | minecraft:block | cbc_at:steel_vert_twin_autocannon_muzzle_brake createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_vert_twin_autocannon_recoil_spring | minecraft:block | cbc_at:steel_vert_twin_autocannon_recoil_spring createbigcannons:blocks/steel_autocannon_recoil_spring createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/steel_vert_twin_autocannon_silencer | minecraft:block | cbc_at:steel_vert_twin_autocannon_silencer createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/twin_autocannon_barrel_mould | minecraft:block | cbc_at:blocks/twin_autocannon_barrel_mould cbc_at:twin_autocannon_barrel_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/twin_autocannon_breech_mould | minecraft:block | cbc_at:blocks/twin_autocannon_breech_mould cbc_at:twin_autocannon_breech_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/twin_autocannon_muzzle_brake_mould | minecraft:block | cbc_at:blocks/twin_autocannon_muzzle_brake_mould cbc_at:twin_autocannon_muzzle_brake_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/twin_autocannon_recoil_spring_mould | minecraft:block | cbc_at:blocks/twin_autocannon_recoil_spring_mould cbc_at:twin_autocannon_recoil_spring_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/twin_autocannon_silencer_mould | minecraft:block | cbc_at:blocks/twin_autocannon_silencer_mould cbc_at:twin_autocannon_silencer_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/unbored_bronze_autocannon_muzzle_brake | minecraft:block | cbc_at:unbored_bronze_autocannon_muzzle_brake createbigcannons:blocks/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_autocannon_silencer | minecraft:block | cbc_at:unbored_bronze_autocannon_silencer createbigcannons:blocks/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_fume_extractor | minecraft:block | cbc_at:blocks/bronze_fume_extractor cbc_at:unbored_bronze_fume_extractor createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_heavy_autocannon_barrel | minecraft:block | cbc_at:unbored_bronze_heavy_autocannon_barrel createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_heavy_autocannon_breech | minecraft:block | cbc_at:unbored_bronze_heavy_autocannon_breech createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_heavy_autocannon_muzzle_brake | minecraft:block | cbc_at:unbored_bronze_heavy_autocannon_muzzle_brake createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_heavy_autocannon_qfbreech | minecraft:block | cbc_at:unbored_bronze_heavy_autocannon_qfbreech createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_heavy_autocannon_recoil_spring | minecraft:block | cbc_at:unbored_bronze_heavy_autocannon_recoil_spring createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_heavy_autocannon_silencer | minecraft:block | cbc_at:unbored_bronze_heavy_autocannon_silencer createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_muzzle_brake | minecraft:block | cbc_at:bronze_muzzle_brake cbc_at:unbored_bronze_muzzle_brake createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_rifled_barrel | minecraft:block | cbc_at:blocks/bronze_rifled_barrel cbc_at:unbored_bronze_rifled_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_rocket_pod_breech | minecraft:block | cbc_at:unbored_bronze_rocket_pod_breech createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_rocket_pod_rail | minecraft:block | cbc_at:unbored_bronze_rocket_pod_rail createbigcannons:blocks/bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_silencer | minecraft:block | cbc_at:blocks/bronze_silencer cbc_at:unbored_bronze_silencer createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_twin_autocannon_barrel | minecraft:block | cbc_at:unbored_bronze_twin_autocannon_barrel createbigcannons:blocks/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_twin_autocannon_breech | minecraft:block | cbc_at:unbored_bronze_twin_autocannon_breech createbigcannons:blocks/unbored_bronze_autocannon_breech createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_twin_autocannon_muzzle_brake | minecraft:block | cbc_at:unbored_bronze_twin_autocannon_muzzle_brake createbigcannons:blocks/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_twin_autocannon_recoil_spring | minecraft:block | cbc_at:unbored_bronze_twin_autocannon_recoil_spring createbigcannons:blocks/unbored_bronze_autocannon_recoil_spring createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_twin_autocannon_silencer | minecraft:block | cbc_at:unbored_bronze_twin_autocannon_silencer createbigcannons:blocks/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_vert_twin_autocannon_barrel | minecraft:block | cbc_at:unbored_bronze_vert_twin_autocannon_barrel createbigcannons:blocks/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_vert_twin_autocannon_breech | minecraft:block | cbc_at:unbored_bronze_vert_twin_autocannon_breech createbigcannons:blocks/unbored_bronze_autocannon_breech createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_vert_twin_autocannon_muzzle_brake | minecraft:block | cbc_at:unbored_bronze_vert_twin_autocannon_muzzle_brake createbigcannons:blocks/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_vert_twin_autocannon_recoil_spring | minecraft:block | cbc_at:unbored_bronze_vert_twin_autocannon_recoil_spring createbigcannons:blocks/unbored_bronze_autocannon_recoil_spring createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_bronze_vert_twin_autocannon_silencer | minecraft:block | cbc_at:unbored_bronze_vert_twin_autocannon_silencer createbigcannons:blocks/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_autocannon_muzzle_brake | minecraft:block | cbc_at:unbored_cast_iron_autocannon_muzzle_brake createbigcannons:blocks/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_autocannon_silencer | minecraft:block | cbc_at:unbored_cast_iron_autocannon_silencer createbigcannons:blocks/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_fume_extractor | minecraft:block | cbc_at:blocks/cast_iron_fume_extractor cbc_at:unbored_cast_iron_fume_extractor createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_heavy_autocannon_barrel | minecraft:block | cbc_at:unbored_cast_iron_heavy_autocannon_barrel createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_heavy_autocannon_breech | minecraft:block | cbc_at:unbored_cast_iron_heavy_autocannon_breech createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_heavy_autocannon_muzzle_brake | minecraft:block | cbc_at:unbored_cast_iron_heavy_autocannon_muzzle_brake createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_heavy_autocannon_qfbreech | minecraft:block | cbc_at:unbored_cast_iron_heavy_autocannon_qfbreech createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_heavy_autocannon_recoil_spring | minecraft:block | cbc_at:unbored_cast_iron_heavy_autocannon_recoil_spring createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_heavy_autocannon_silencer | minecraft:block | cbc_at:unbored_cast_iron_heavy_autocannon_silencer createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_muzzle_brake | minecraft:block | cbc_at:blocks/cast_iron_muzzle_brake cbc_at:unbored_cast_iron_muzzle_brake createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_rifled_barrel | minecraft:block | cbc_at:blocks/cast_iron_rifled_barrel cbc_at:unbored_cast_iron_rifled_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_rocket_pod_breech | minecraft:block | cbc_at:unbored_cast_iron_rocket_pod_breech createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_rocket_pod_rail | minecraft:block | cbc_at:unbored_cast_iron_rocket_pod_rail createbigcannons:blocks/cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_silencer | minecraft:block | cbc_at:blocks/cast_iron_silencer cbc_at:unbored_cast_iron_silencer createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_twin_autocannon_barrel | minecraft:block | cbc_at:unbored_cast_iron_twin_autocannon_barrel createbigcannons:blocks/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_twin_autocannon_breech | minecraft:block | cbc_at:unbored_cast_iron_twin_autocannon_breech createbigcannons:blocks/unbored_cast_iron_autocannon_breech createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_twin_autocannon_muzzle_brake | minecraft:block | cbc_at:unbored_cast_iron_twin_autocannon_muzzle_brake createbigcannons:blocks/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_twin_autocannon_recoil_spring | minecraft:block | cbc_at:unbored_cast_iron_twin_autocannon_recoil_spring createbigcannons:blocks/unbored_cast_iron_autocannon_recoil_spring createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_twin_autocannon_silencer | minecraft:block | cbc_at:unbored_cast_iron_twin_autocannon_silencer createbigcannons:blocks/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_vert_twin_autocannon_barrel | minecraft:block | cbc_at:unbored_cast_iron_vert_twin_autocannon_barrel createbigcannons:blocks/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_vert_twin_autocannon_breech | minecraft:block | cbc_at:unbored_cast_iron_vert_twin_autocannon_breech createbigcannons:blocks/unbored_cast_iron_autocannon_breech createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_vert_twin_autocannon_muzzle_brake | minecraft:block | cbc_at:unbored_cast_iron_vert_twin_autocannon_muzzle_brake createbigcannons:blocks/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_vert_twin_autocannon_recoil_spring | minecraft:block | cbc_at:unbored_cast_iron_vert_twin_autocannon_recoil_spring createbigcannons:blocks/unbored_cast_iron_autocannon_recoil_spring createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_cast_iron_vert_twin_autocannon_silencer | minecraft:block | cbc_at:unbored_cast_iron_vert_twin_autocannon_silencer createbigcannons:blocks/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_nethersteel_fume_extractor | minecraft:block | cbc_at:blocks/unbored_nethersteel_muzzle_brake createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
cbc_at:blocks/unbored_nethersteel_muzzle_brake | minecraft:block | cbc_at:blocks/unbored_nethersteel_muzzle_brake createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
cbc_at:blocks/unbored_nethersteel_rifled_barrel | minecraft:block | cbc_at:blocks/unbored_nethersteel_muzzle_brake createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
cbc_at:blocks/unbored_nethersteel_silencer | minecraft:block | cbc_at:blocks/unbored_nethersteel_muzzle_brake createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count
cbc_at:blocks/unbored_steel_autocannon_muzzle_brake | minecraft:block | cbc_at:unbored_steel_autocannon_muzzle_brake createbigcannons:blocks/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_autocannon_silencer | minecraft:block | cbc_at:unbored_steel_autocannon_silencer createbigcannons:blocks/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_fume_extractor | minecraft:block | cbc_at:blocks/steel_fume_extractor cbc_at:unbored_steel_fume_extractor createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_heavy_autocannon_barrel | minecraft:block | cbc_at:unbored_steel_heavy_autocannon_barrel createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_heavy_autocannon_breech | minecraft:block | cbc_at:unbored_steel_heavy_autocannon_breech createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_heavy_autocannon_muzzle_brake | minecraft:block | cbc_at:unbored_steel_heavy_autocannon_muzzle_brake createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_heavy_autocannon_qfbreech | minecraft:block | cbc_at:unbored_steel_heavy_autocannon_qfbreech createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_heavy_autocannon_recoil_spring | minecraft:block | cbc_at:unbored_steel_heavy_autocannon_recoil_spring createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_heavy_autocannon_silencer | minecraft:block | cbc_at:unbored_steel_heavy_autocannon_silencer createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_muzzle_brake | minecraft:block | cbc_at:blocks/steel_muzzle_brake cbc_at:unbored_steel_muzzle_brake createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_rifled_barrel | minecraft:block | cbc_at:blocks/steel_rifled_barrel cbc_at:unbored_steel_rifled_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_rocket_pod_breech | minecraft:block | cbc_at:unbored_steel_rocket_pod_breech createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_rocket_pod_rail | minecraft:block | cbc_at:unbored_steel_rocket_pod_rail createbigcannons:blocks/steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_silencer | minecraft:block | cbc_at:blocks/steel_silencer cbc_at:unbored_steel_silencer createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_twin_autocannon_barrel | minecraft:block | cbc_at:unbored_steel_twin_autocannon_barrel createbigcannons:blocks/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_twin_autocannon_breech | minecraft:block | cbc_at:unbored_steel_twin_autocannon_breech createbigcannons:blocks/unbored_steel_autocannon_breech createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_twin_autocannon_muzzle_brake | minecraft:block | cbc_at:unbored_steel_twin_autocannon_muzzle_brake createbigcannons:blocks/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_twin_autocannon_recoil_spring | minecraft:block | cbc_at:unbored_steel_twin_autocannon_recoil_spring createbigcannons:blocks/unbored_steel_autocannon_recoil_spring createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_twin_autocannon_silencer | minecraft:block | cbc_at:unbored_steel_twin_autocannon_silencer createbigcannons:blocks/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_vert_twin_autocannon_barrel | minecraft:block | cbc_at:unbored_steel_vert_twin_autocannon_barrel createbigcannons:blocks/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_vert_twin_autocannon_breech | minecraft:block | cbc_at:unbored_steel_vert_twin_autocannon_breech createbigcannons:blocks/unbored_steel_autocannon_breech createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_vert_twin_autocannon_muzzle_brake | minecraft:block | cbc_at:unbored_steel_vert_twin_autocannon_muzzle_brake createbigcannons:blocks/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_vert_twin_autocannon_recoil_spring | minecraft:block | cbc_at:unbored_steel_vert_twin_autocannon_recoil_spring createbigcannons:blocks/unbored_steel_autocannon_recoil_spring createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/unbored_steel_vert_twin_autocannon_silencer | minecraft:block | cbc_at:unbored_steel_vert_twin_autocannon_silencer createbigcannons:blocks/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:alternatives minecraft:block minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch
cbc_at:blocks/vert_twin_autocannon_barrel_mould | minecraft:block | cbc_at:blocks/vert_twin_autocannon_barrel_mould cbc_at:vert_twin_autocannon_barrel_mould minecraft:block minecraft:item minecraft:survives_explosion
