create:blocks/acacia_window | minecraft:block | create:acacia_window create:blocks/acacia_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/cut_scorchia_brick_stairs | minecraft:block | create:blocks/cut_scorchia_brick_stairs create:cut_scorchia_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_scorchia_brick_wall | minecraft:block | create:blocks/cut_scorchia_brick_wall create:cut_scorchia_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_scorchia_bricks | minecraft:block | create:blocks/cut_scorchia_bricks create:cut_scorchia_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_scorchia_slab | minecraft:block | create:blocks/cut_scorchia_slab create:cut_scorchia_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_scorchia_stairs | minecraft:block | create:blocks/cut_scorchia_stairs create:cut_scorchia_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_scorchia_wall | minecraft:block | create:blocks/cut_scorchia_wall create:cut_scorchia_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_scoria | minecraft:block | create:blocks/cut_scoria create:cut_scoria minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_scoria_brick_slab | minecraft:block | create:blocks/cut_scoria_brick_slab create:cut_scoria_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_scoria_brick_stairs | minecraft:block | create:blocks/cut_scoria_brick_stairs create:cut_scoria_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_scoria_brick_wall | minecraft:block | create:blocks/cut_scoria_brick_wall create:cut_scoria_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_scoria_bricks | minecraft:block | create:blocks/cut_scoria_bricks create:cut_scoria_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_scoria_slab | minecraft:block | create:blocks/cut_scoria_slab create:cut_scoria_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_scoria_stairs | minecraft:block | create:blocks/cut_scoria_stairs create:cut_scoria_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_scoria_wall | minecraft:block | create:blocks/cut_scoria_wall create:cut_scoria_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_tuff | minecraft:block | create:blocks/cut_tuff create:cut_tuff minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_tuff_brick_slab | minecraft:block | create:blocks/cut_tuff_brick_slab create:cut_tuff_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_tuff_brick_stairs | minecraft:block | create:blocks/cut_tuff_brick_stairs create:cut_tuff_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_tuff_brick_wall | minecraft:block | create:blocks/cut_tuff_brick_wall create:cut_tuff_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_tuff_bricks | minecraft:block | create:blocks/cut_tuff_bricks create:cut_tuff_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_tuff_slab | minecraft:block | create:blocks/cut_tuff_slab create:cut_tuff_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_tuff_stairs | minecraft:block | create:blocks/cut_tuff_stairs create:cut_tuff_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_tuff_wall | minecraft:block | create:blocks/cut_tuff_wall create:cut_tuff_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_veridium | minecraft:block | create:blocks/cut_veridium create:cut_veridium minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_veridium_brick_slab | minecraft:block | create:blocks/cut_veridium_brick_slab create:cut_veridium_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_veridium_brick_stairs | minecraft:block | create:blocks/cut_veridium_brick_stairs create:cut_veridium_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_veridium_brick_wall | minecraft:block | create:blocks/cut_veridium_brick_wall create:cut_veridium_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_veridium_bricks | minecraft:block | create:blocks/cut_veridium_bricks create:cut_veridium_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_veridium_slab | minecraft:block | create:blocks/cut_veridium_slab create:cut_veridium_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/cut_veridium_stairs | minecraft:block | create:blocks/cut_veridium_stairs create:cut_veridium_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cut_veridium_wall | minecraft:block | create:blocks/cut_veridium_wall create:cut_veridium_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cyan_nixie_tube | minecraft:block | create:blocks/cyan_nixie_tube create:nixie_tube minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cyan_postbox | minecraft:block | create:blocks/cyan_postbox create:cyan_postbox minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cyan_sail | minecraft:block | create:blocks/cyan_sail create:white_sail minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cyan_seat | minecraft:block | create:blocks/cyan_seat create:cyan_seat minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cyan_table_cloth | minecraft:block | create:blocks/cyan_table_cloth create:cyan_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/cyan_toolbox | minecraft:block | create:blocks/cyan_toolbox create:cyan_toolbox create:toolbox_inventory create:toolbox_uuid minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
create:blocks/cyan_valve_handle | minecraft:block | create:blocks/cyan_valve_handle create:cyan_valve_handle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/dark_oak_window | minecraft:block | create:blocks/dark_oak_window create:dark_oak_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/dark_oak_window_pane | minecraft:block | create:blocks/dark_oak_window_pane create:dark_oak_window_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/deepslate_pillar | minecraft:block | create:blocks/deepslate_pillar create:deepslate_pillar minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/deepslate_zinc_ore | minecraft:block | create:blocks/deepslate_zinc_ore create:deepslate_zinc_ore create:raw_zinc minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
create:blocks/deployer | minecraft:block | create:blocks/deployer create:deployer minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/depot | minecraft:block | create:blocks/depot create:depot minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/desk_bell | minecraft:block | create:blocks/desk_bell create:desk_bell minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/diorite_pillar | minecraft:block | create:blocks/diorite_pillar create:diorite_pillar minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/display_board | minecraft:block | create:blocks/display_board create:display_board minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/display_link | minecraft:block | create:blocks/display_link create:display_link minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/dripstone_pillar | minecraft:block | create:blocks/dripstone_pillar create:dripstone_pillar minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/elevator_contact | minecraft:block | create:blocks/elevator_contact create:redstone_contact minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/elevator_pulley | minecraft:block | create:blocks/elevator_pulley create:elevator_pulley minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/encased_chain_drive | minecraft:block | create:blocks/encased_chain_drive create:encased_chain_drive minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/encased_fan | minecraft:block | create:blocks/encased_fan create:encased_fan minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/encased_fluid_pipe | minecraft:block | create:blocks/encased_fluid_pipe create:fluid_pipe minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/experience_block | minecraft:block | create:blocks/experience_block create:experience_block minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/exposed_copper_shingle_slab | minecraft:block | create:blocks/exposed_copper_shingle_slab create:exposed_copper_shingle_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/exposed_copper_shingle_stairs | minecraft:block | create:blocks/exposed_copper_shingle_stairs create:exposed_copper_shingle_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/exposed_copper_shingles | minecraft:block | create:blocks/exposed_copper_shingles create:exposed_copper_shingles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/exposed_copper_tile_slab | minecraft:block | create:blocks/exposed_copper_tile_slab create:exposed_copper_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/exposed_copper_tile_stairs | minecraft:block | create:blocks/exposed_copper_tile_stairs create:exposed_copper_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/exposed_copper_tiles | minecraft:block | create:blocks/exposed_copper_tiles create:exposed_copper_tiles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/factory_gauge | minecraft:block | create:blocks/factory_gauge create:factory_gauge minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/fake_track | minecraft:block | create:blocks/fake_track minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/fluid_pipe | minecraft:block | create:blocks/fluid_pipe create:fluid_pipe minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/fluid_tank | minecraft:block | create:blocks/fluid_tank create:fluid_tank minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/fluid_valve | minecraft:block | create:blocks/fluid_valve create:fluid_valve minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/flywheel | minecraft:block | create:blocks/flywheel create:flywheel minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/framed_glass | minecraft:block | create:blocks/framed_glass create:framed_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/framed_glass_door | minecraft:block | create:blocks/framed_glass_door create:framed_glass_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
create:blocks/framed_glass_pane | minecraft:block | create:blocks/framed_glass_pane create:framed_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/framed_glass_trapdoor | minecraft:block | create:blocks/framed_glass_trapdoor create:framed_glass_trapdoor minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/gantry_carriage | minecraft:block | create:blocks/gantry_carriage create:gantry_carriage minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/gantry_shaft | minecraft:block | create:blocks/gantry_shaft create:gantry_shaft minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/gearbox | minecraft:block | create:blocks/gearbox create:gearbox minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/gearshift | minecraft:block | create:blocks/gearshift create:gearshift minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/glass_fluid_pipe | minecraft:block | create:blocks/glass_fluid_pipe create:fluid_pipe minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/granite_pillar | minecraft:block | create:blocks/granite_pillar create:granite_pillar minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/gray_nixie_tube | minecraft:block | create:blocks/gray_nixie_tube create:nixie_tube minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/gray_postbox | minecraft:block | create:blocks/gray_postbox create:gray_postbox minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/gray_sail | minecraft:block | create:blocks/gray_sail create:white_sail minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/gray_seat | minecraft:block | create:blocks/gray_seat create:gray_seat minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/gray_table_cloth | minecraft:block | create:blocks/gray_table_cloth create:gray_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/gray_toolbox | minecraft:block | create:blocks/gray_toolbox create:gray_toolbox create:toolbox_inventory create:toolbox_uuid minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
create:blocks/gray_valve_handle | minecraft:block | create:blocks/gray_valve_handle create:gray_valve_handle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/green_nixie_tube | minecraft:block | create:blocks/green_nixie_tube create:nixie_tube minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/green_postbox | minecraft:block | create:blocks/green_postbox create:green_postbox minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/green_sail | minecraft:block | create:blocks/green_sail create:white_sail minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/green_seat | minecraft:block | create:blocks/green_seat create:green_seat minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/green_table_cloth | minecraft:block | create:blocks/green_table_cloth create:green_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/green_toolbox | minecraft:block | create:blocks/green_toolbox create:green_toolbox create:toolbox_inventory create:toolbox_uuid minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
create:blocks/green_valve_handle | minecraft:block | create:blocks/green_valve_handle create:green_valve_handle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/hand_crank | minecraft:block | create:blocks/hand_crank create:hand_crank minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/haunted_bell | minecraft:block | create:blocks/haunted_bell create:haunted_bell minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/horizontal_framed_glass | minecraft:block | create:blocks/horizontal_framed_glass create:horizontal_framed_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/horizontal_framed_glass_pane | minecraft:block | create:blocks/horizontal_framed_glass_pane create:horizontal_framed_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/hose_pulley | minecraft:block | create:blocks/hose_pulley create:hose_pulley minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/industrial_iron_block | minecraft:block | create:blocks/industrial_iron_block create:industrial_iron_block minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/industrial_iron_window | minecraft:block | create:blocks/industrial_iron_window create:industrial_iron_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/industrial_iron_window_pane | minecraft:block | create:blocks/industrial_iron_window_pane create:industrial_iron_window_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/item_drain | minecraft:block | create:blocks/item_drain create:item_drain minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/item_hatch | minecraft:block | create:blocks/item_hatch create:item_hatch minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/item_vault | minecraft:block | create:blocks/item_vault create:item_vault minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/jungle_window | minecraft:block | create:blocks/jungle_window create:jungle_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/jungle_window_pane | minecraft:block | create:blocks/jungle_window_pane create:jungle_window_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/large_bogey | minecraft:block | create:blocks/large_bogey create:railway_casing minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/large_cogwheel | minecraft:block | create:blocks/large_cogwheel create:large_cogwheel minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/large_water_wheel | minecraft:block | create:blocks/large_water_wheel create:large_water_wheel minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/layered_andesite | minecraft:block | create:blocks/layered_andesite create:layered_andesite minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/layered_asurine | minecraft:block | create:blocks/layered_asurine create:layered_asurine minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/layered_calcite | minecraft:block | create:blocks/layered_calcite create:layered_calcite minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/layered_crimsite | minecraft:block | create:blocks/layered_crimsite create:layered_crimsite minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/layered_deepslate | minecraft:block | create:blocks/layered_deepslate create:layered_deepslate minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/layered_diorite | minecraft:block | create:blocks/layered_diorite create:layered_diorite minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/layered_dripstone | minecraft:block | create:blocks/layered_dripstone create:layered_dripstone minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/layered_granite | minecraft:block | create:blocks/layered_granite create:layered_granite minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/layered_limestone | minecraft:block | create:blocks/layered_limestone create:layered_limestone minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/layered_ochrum | minecraft:block | create:blocks/layered_ochrum create:layered_ochrum minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/layered_scorchia | minecraft:block | create:blocks/layered_scorchia create:layered_scorchia minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/layered_scoria | minecraft:block | create:blocks/layered_scoria create:layered_scoria minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/layered_tuff | minecraft:block | create:blocks/layered_tuff create:layered_tuff minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/layered_veridium | minecraft:block | create:blocks/layered_veridium create:layered_veridium minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/lectern_controller | minecraft:block | create:blocks/lectern_controller minecraft:block minecraft:item minecraft:lectern minecraft:survives_explosion
create:blocks/light_blue_nixie_tube | minecraft:block | create:blocks/light_blue_nixie_tube create:nixie_tube minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/light_blue_postbox | minecraft:block | create:blocks/light_blue_postbox create:light_blue_postbox minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/light_blue_sail | minecraft:block | create:blocks/light_blue_sail create:white_sail minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/light_blue_seat | minecraft:block | create:blocks/light_blue_seat create:light_blue_seat minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/light_blue_table_cloth | minecraft:block | create:blocks/light_blue_table_cloth create:light_blue_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/light_blue_toolbox | minecraft:block | create:blocks/light_blue_toolbox create:light_blue_toolbox create:toolbox_inventory create:toolbox_uuid minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
create:blocks/light_blue_valve_handle | minecraft:block | create:blocks/light_blue_valve_handle create:light_blue_valve_handle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/light_gray_nixie_tube | minecraft:block | create:blocks/light_gray_nixie_tube create:nixie_tube minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/light_gray_postbox | minecraft:block | create:blocks/light_gray_postbox create:light_gray_postbox minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/light_gray_sail | minecraft:block | create:blocks/light_gray_sail create:white_sail minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/light_gray_seat | minecraft:block | create:blocks/light_gray_seat create:light_gray_seat minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/light_gray_table_cloth | minecraft:block | create:blocks/light_gray_table_cloth create:light_gray_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/light_gray_toolbox | minecraft:block | create:blocks/light_gray_toolbox create:light_gray_toolbox create:toolbox_inventory create:toolbox_uuid minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
create:blocks/light_gray_valve_handle | minecraft:block | create:blocks/light_gray_valve_handle create:light_gray_valve_handle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/lime_nixie_tube | minecraft:block | create:blocks/lime_nixie_tube create:nixie_tube minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/lime_postbox | minecraft:block | create:blocks/lime_postbox create:lime_postbox minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/lime_sail | minecraft:block | create:blocks/lime_sail create:white_sail minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/lime_seat | minecraft:block | create:blocks/lime_seat create:lime_seat minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/lime_table_cloth | minecraft:block | create:blocks/lime_table_cloth create:lime_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/lime_toolbox | minecraft:block | create:blocks/lime_toolbox create:lime_toolbox create:toolbox_inventory create:toolbox_uuid minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
create:blocks/lime_valve_handle | minecraft:block | create:blocks/lime_valve_handle create:lime_valve_handle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/limestone | minecraft:block | create:blocks/limestone create:limestone minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/limestone_pillar | minecraft:block | create:blocks/limestone_pillar create:limestone_pillar minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/linear_chassis | minecraft:block | create:blocks/linear_chassis create:linear_chassis minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/lit_blaze_burner | minecraft:block | create:blocks/lit_blaze_burner create:empty_blaze_burner minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/magenta_nixie_tube | minecraft:block | create:blocks/magenta_nixie_tube create:nixie_tube minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/magenta_postbox | minecraft:block | create:blocks/magenta_postbox create:magenta_postbox minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/magenta_sail | minecraft:block | create:blocks/magenta_sail create:white_sail minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/magenta_seat | minecraft:block | create:blocks/magenta_seat create:magenta_seat minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/magenta_table_cloth | minecraft:block | create:blocks/magenta_table_cloth create:magenta_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/magenta_toolbox | minecraft:block | create:blocks/magenta_toolbox create:magenta_toolbox create:toolbox_inventory create:toolbox_uuid minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
create:blocks/magenta_valve_handle | minecraft:block | create:blocks/magenta_valve_handle create:magenta_valve_handle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/mangrove_window | minecraft:block | create:blocks/mangrove_window create:mangrove_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/mangrove_window_pane | minecraft:block | create:blocks/mangrove_window_pane create:mangrove_window_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/mechanical_arm | minecraft:block | create:blocks/mechanical_arm create:mechanical_arm minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/mechanical_bearing | minecraft:block | create:blocks/mechanical_bearing create:mechanical_bearing minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/mechanical_crafter | minecraft:block | create:blocks/mechanical_crafter create:mechanical_crafter minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/mechanical_drill | minecraft:block | create:blocks/mechanical_drill create:mechanical_drill minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/mechanical_harvester | minecraft:block | create:blocks/mechanical_harvester create:mechanical_harvester minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/mechanical_mixer | minecraft:block | create:blocks/mechanical_mixer create:mechanical_mixer minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/mechanical_piston | minecraft:block | create:blocks/mechanical_piston create:mechanical_piston minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/mechanical_piston_head | minecraft:block | create:blocks/mechanical_piston_head create:piston_extension_pole minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/mechanical_plough | minecraft:block | create:blocks/mechanical_plough create:mechanical_plough minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/mechanical_press | minecraft:block | create:blocks/mechanical_press create:mechanical_press minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/mechanical_pump | minecraft:block | create:blocks/mechanical_pump create:mechanical_pump minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/mechanical_roller | minecraft:block | create:blocks/mechanical_roller create:mechanical_roller minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/mechanical_saw | minecraft:block | create:blocks/mechanical_saw create:mechanical_saw minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/metal_bracket | minecraft:block | create:blocks/metal_bracket create:metal_bracket minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/metal_girder | minecraft:block | create:blocks/metal_girder create:metal_girder minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/metal_girder_encased_shaft | minecraft:block | create:blocks/metal_girder_encased_shaft create:metal_girder create:shaft minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/millstone | minecraft:block | create:blocks/millstone create:millstone minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/minecart_anchor | minecraft:block | create:blocks/minecart_anchor minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/mysterious_cuckoo_clock | minecraft:block | create:blocks/mysterious_cuckoo_clock create:mysterious_cuckoo_clock minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/netherite_backtank | minecraft:block | create:banktank_air create:blocks/netherite_backtank create:netherite_backtank minecraft:block minecraft:copy_components minecraft:item minecraft:survives_explosion
create:blocks/nixie_tube | minecraft:block | create:blocks/nixie_tube create:nixie_tube minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/nozzle | minecraft:block | create:blocks/nozzle create:nozzle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/oak_window | minecraft:block | create:blocks/oak_window create:oak_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/oak_window_pane | minecraft:block | create:blocks/oak_window_pane create:oak_window_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/ochrum | minecraft:block | create:blocks/ochrum create:ochrum minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/ochrum_pillar | minecraft:block | create:blocks/ochrum_pillar create:ochrum_pillar minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/orange_postbox | minecraft:block | create:blocks/orange_postbox create:orange_postbox minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/orange_sail | minecraft:block | create:blocks/orange_sail create:white_sail minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/orange_seat | minecraft:block | create:blocks/orange_seat create:orange_seat minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/orange_table_cloth | minecraft:block | create:blocks/orange_table_cloth create:orange_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/orange_toolbox | minecraft:block | create:blocks/orange_toolbox create:orange_toolbox create:toolbox_inventory create:toolbox_uuid minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
create:blocks/orange_valve_handle | minecraft:block | create:blocks/orange_valve_handle create:orange_valve_handle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/ornate_iron_window | minecraft:block | create:blocks/ornate_iron_window create:ornate_iron_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/ornate_iron_window_pane | minecraft:block | create:blocks/ornate_iron_window_pane create:ornate_iron_window_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/oxidized_copper_shingle_slab | minecraft:block | create:blocks/oxidized_copper_shingle_slab create:oxidized_copper_shingle_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/oxidized_copper_shingle_stairs | minecraft:block | create:blocks/oxidized_copper_shingle_stairs create:oxidized_copper_shingle_stairs minecraft:block minecraft:item minecraft:survives_explosion
