securitycraft:blocks/alarm | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:alarm securitycraft:blocks/alarm
securitycraft:blocks/reinforced_chiseled_crystal_quartz_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_chiseled_crystal_quartz_block securitycraft:reinforced_chiseled_crystal_quartz_block
securitycraft:blocks/reinforced_chiseled_deepslate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_chiseled_deepslate securitycraft:reinforced_chiseled_deepslate
securitycraft:blocks/reinforced_chiseled_nether_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_chiseled_nether_bricks securitycraft:reinforced_chiseled_nether_bricks
securitycraft:blocks/reinforced_chiseled_polished_blackstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_chiseled_polished_blackstone securitycraft:reinforced_chiseled_polished_blackstone
securitycraft:blocks/reinforced_chiseled_quartz_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_chiseled_quartz_block securitycraft:reinforced_chiseled_quartz_block
securitycraft:blocks/reinforced_chiseled_red_sandstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_chiseled_red_sandstone securitycraft:reinforced_chiseled_red_sandstone
securitycraft:blocks/reinforced_chiseled_sandstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_chiseled_sandstone securitycraft:reinforced_chiseled_sandstone
securitycraft:blocks/reinforced_chiseled_stone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_chiseled_stone_bricks securitycraft:reinforced_chiseled_stone_bricks
securitycraft:blocks/reinforced_chiseled_tuff | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_chiseled_tuff securitycraft:reinforced_chiseled_tuff
securitycraft:blocks/reinforced_chiseled_tuff_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_chiseled_tuff_bricks securitycraft:reinforced_chiseled_tuff_bricks
securitycraft:blocks/reinforced_clay | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_clay securitycraft:reinforced_clay
securitycraft:blocks/reinforced_coal_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_coal_block securitycraft:reinforced_coal_block
securitycraft:blocks/reinforced_coarse_dirt | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_coarse_dirt securitycraft:reinforced_coarse_dirt
securitycraft:blocks/reinforced_cobbled_deepslate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cobbled_deepslate securitycraft:reinforced_cobbled_deepslate
securitycraft:blocks/reinforced_cobbled_deepslate_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_cobbled_deepslate_slab securitycraft:reinforced_cobbled_deepslate_slab
securitycraft:blocks/reinforced_cobbled_deepslate_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cobbled_deepslate_stairs securitycraft:reinforced_cobbled_deepslate_stairs
securitycraft:blocks/reinforced_cobbled_deepslate_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cobbled_deepslate_wall securitycraft:reinforced_cobbled_deepslate_wall
securitycraft:blocks/reinforced_cobblestone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cobblestone securitycraft:reinforced_cobblestone
securitycraft:blocks/reinforced_cobblestone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_cobblestone_slab securitycraft:reinforced_cobblestone_slab
securitycraft:blocks/reinforced_cobblestone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cobblestone_stairs securitycraft:reinforced_cobblestone_stairs
securitycraft:blocks/reinforced_cobblestone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cobblestone_wall securitycraft:reinforced_cobblestone_wall
securitycraft:blocks/reinforced_cobweb | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cobweb securitycraft:reinforced_cobweb
securitycraft:blocks/reinforced_copper_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_copper_block securitycraft:reinforced_copper_block
securitycraft:blocks/reinforced_copper_bulb | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_copper_bulb securitycraft:reinforced_copper_bulb
securitycraft:blocks/reinforced_copper_grate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_copper_grate securitycraft:reinforced_copper_grate
securitycraft:blocks/reinforced_cracked_deepslate_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cracked_deepslate_bricks securitycraft:reinforced_cracked_deepslate_bricks
securitycraft:blocks/reinforced_cracked_deepslate_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cracked_deepslate_tiles securitycraft:reinforced_cracked_deepslate_tiles
securitycraft:blocks/reinforced_cracked_nether_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cracked_nether_bricks securitycraft:reinforced_cracked_nether_bricks
securitycraft:blocks/reinforced_cracked_polished_blackstone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cracked_polished_blackstone_bricks securitycraft:reinforced_cracked_polished_blackstone_bricks
securitycraft:blocks/reinforced_cracked_stone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cracked_stone_bricks securitycraft:reinforced_cracked_stone_bricks
securitycraft:blocks/reinforced_crimson_button | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_crimson_button securitycraft:reinforced_crimson_button
securitycraft:blocks/reinforced_crimson_fence | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_crimson_fence securitycraft:reinforced_crimson_fence
securitycraft:blocks/reinforced_crimson_fence_gate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_crimson_fence_gate securitycraft:reinforced_crimson_fence_gate
securitycraft:blocks/reinforced_crimson_hyphae | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_crimson_hyphae securitycraft:reinforced_crimson_hyphae
securitycraft:blocks/reinforced_crimson_nylium | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_crimson_nylium securitycraft:reinforced_crimson_nylium
securitycraft:blocks/reinforced_crimson_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_crimson_planks securitycraft:reinforced_crimson_planks
securitycraft:blocks/reinforced_crimson_pressure_plate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_crimson_pressure_plate securitycraft:reinforced_crimson_pressure_plate
securitycraft:blocks/reinforced_crimson_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_crimson_slab securitycraft:reinforced_crimson_slab
securitycraft:blocks/reinforced_crimson_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_crimson_stairs securitycraft:reinforced_crimson_stairs
securitycraft:blocks/reinforced_crimson_stem | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_crimson_stem securitycraft:reinforced_crimson_stem
securitycraft:blocks/reinforced_crying_obsidian | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_crying_obsidian securitycraft:reinforced_crying_obsidian
securitycraft:blocks/reinforced_crystal_quartz_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_crystal_quartz_block securitycraft:reinforced_crystal_quartz_block
securitycraft:blocks/reinforced_crystal_quartz_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_crystal_quartz_bricks securitycraft:reinforced_crystal_quartz_bricks
securitycraft:blocks/reinforced_crystal_quartz_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_crystal_quartz_pillar securitycraft:reinforced_crystal_quartz_pillar
securitycraft:blocks/reinforced_crystal_quartz_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_crystal_quartz_slab securitycraft:reinforced_crystal_quartz_slab
securitycraft:blocks/reinforced_crystal_quartz_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_crystal_quartz_stairs securitycraft:reinforced_crystal_quartz_stairs
securitycraft:blocks/reinforced_cut_copper | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cut_copper securitycraft:reinforced_cut_copper
securitycraft:blocks/reinforced_cut_copper_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_cut_copper_slab securitycraft:reinforced_cut_copper_slab
securitycraft:blocks/reinforced_cut_copper_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cut_copper_stairs securitycraft:reinforced_cut_copper_stairs
securitycraft:blocks/reinforced_cut_red_sandstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cut_red_sandstone securitycraft:reinforced_cut_red_sandstone
securitycraft:blocks/reinforced_cut_red_sandstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_cut_red_sandstone_slab securitycraft:reinforced_cut_red_sandstone_slab
securitycraft:blocks/reinforced_cut_sandstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cut_sandstone securitycraft:reinforced_cut_sandstone
securitycraft:blocks/reinforced_cut_sandstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_cut_sandstone_slab securitycraft:reinforced_cut_sandstone_slab
securitycraft:blocks/reinforced_cyan_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cyan_carpet securitycraft:reinforced_cyan_carpet
securitycraft:blocks/reinforced_cyan_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cyan_concrete securitycraft:reinforced_cyan_concrete
securitycraft:blocks/reinforced_cyan_glazed_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cyan_glazed_terracotta securitycraft:reinforced_cyan_glazed_terracotta
securitycraft:blocks/reinforced_cyan_stained_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cyan_stained_glass securitycraft:reinforced_cyan_stained_glass
securitycraft:blocks/reinforced_cyan_stained_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cyan_stained_glass_pane securitycraft:reinforced_cyan_stained_glass_pane
securitycraft:blocks/reinforced_cyan_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cyan_terracotta securitycraft:reinforced_cyan_terracotta
securitycraft:blocks/reinforced_cyan_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_cyan_wool securitycraft:reinforced_cyan_wool
securitycraft:blocks/reinforced_dark_oak_button | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_dark_oak_button securitycraft:reinforced_dark_oak_button
securitycraft:blocks/reinforced_dark_oak_fence | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_dark_oak_fence securitycraft:reinforced_dark_oak_fence
securitycraft:blocks/reinforced_dark_oak_fence_gate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_dark_oak_fence_gate securitycraft:reinforced_dark_oak_fence_gate
securitycraft:blocks/reinforced_dark_oak_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_dark_oak_log securitycraft:reinforced_dark_oak_log
securitycraft:blocks/reinforced_dark_oak_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_dark_oak_planks securitycraft:reinforced_dark_oak_planks
securitycraft:blocks/reinforced_dark_oak_pressure_plate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_dark_oak_pressure_plate securitycraft:reinforced_dark_oak_pressure_plate
securitycraft:blocks/reinforced_dark_oak_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_dark_oak_slab securitycraft:reinforced_dark_oak_slab
securitycraft:blocks/reinforced_dark_oak_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_dark_oak_stairs securitycraft:reinforced_dark_oak_stairs
securitycraft:blocks/reinforced_dark_oak_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_dark_oak_wood securitycraft:reinforced_dark_oak_wood
securitycraft:blocks/reinforced_dark_prismarine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_dark_prismarine securitycraft:reinforced_dark_prismarine
securitycraft:blocks/reinforced_dark_prismarine_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_dark_prismarine_slab securitycraft:reinforced_dark_prismarine_slab
securitycraft:blocks/reinforced_dark_prismarine_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_dark_prismarine_stairs securitycraft:reinforced_dark_prismarine_stairs
securitycraft:blocks/reinforced_deepslate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_deepslate securitycraft:reinforced_deepslate
securitycraft:blocks/reinforced_deepslate_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_deepslate_brick_slab securitycraft:reinforced_deepslate_brick_slab
securitycraft:blocks/reinforced_deepslate_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_deepslate_brick_stairs securitycraft:reinforced_deepslate_brick_stairs
securitycraft:blocks/reinforced_deepslate_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_deepslate_brick_wall securitycraft:reinforced_deepslate_brick_wall
securitycraft:blocks/reinforced_deepslate_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_deepslate_bricks securitycraft:reinforced_deepslate_bricks
securitycraft:blocks/reinforced_deepslate_tile_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_deepslate_tile_slab securitycraft:reinforced_deepslate_tile_slab
securitycraft:blocks/reinforced_deepslate_tile_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_deepslate_tile_stairs securitycraft:reinforced_deepslate_tile_stairs
securitycraft:blocks/reinforced_deepslate_tile_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_deepslate_tile_wall securitycraft:reinforced_deepslate_tile_wall
securitycraft:blocks/reinforced_deepslate_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_deepslate_tiles securitycraft:reinforced_deepslate_tiles
securitycraft:blocks/reinforced_diamond_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_diamond_block securitycraft:reinforced_diamond_block
securitycraft:blocks/reinforced_diorite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_diorite securitycraft:reinforced_diorite
securitycraft:blocks/reinforced_diorite_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_diorite_slab securitycraft:reinforced_diorite_slab
securitycraft:blocks/reinforced_diorite_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_diorite_stairs securitycraft:reinforced_diorite_stairs
securitycraft:blocks/reinforced_diorite_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_diorite_wall securitycraft:reinforced_diorite_wall
securitycraft:blocks/reinforced_dirt | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_dirt securitycraft:reinforced_dirt
securitycraft:blocks/reinforced_dispenser | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_dispenser securitycraft:reinforced_dispenser
securitycraft:blocks/reinforced_dripstone_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_dripstone_block securitycraft:reinforced_dripstone_block
securitycraft:blocks/reinforced_dropper | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_dropper securitycraft:reinforced_dropper
securitycraft:blocks/reinforced_emerald_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_emerald_block securitycraft:reinforced_emerald_block
securitycraft:blocks/reinforced_end_rod | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_end_rod securitycraft:reinforced_end_rod
securitycraft:blocks/reinforced_end_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_end_stone securitycraft:reinforced_end_stone
securitycraft:blocks/reinforced_end_stone_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_end_stone_brick_slab securitycraft:reinforced_end_stone_brick_slab
securitycraft:blocks/reinforced_end_stone_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_end_stone_brick_stairs securitycraft:reinforced_end_stone_brick_stairs
securitycraft:blocks/reinforced_end_stone_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_end_stone_brick_wall securitycraft:reinforced_end_stone_brick_wall
securitycraft:blocks/reinforced_end_stone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_end_stone_bricks securitycraft:reinforced_end_stone_bricks
securitycraft:blocks/reinforced_exposed_chiseled_copper | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_exposed_chiseled_copper securitycraft:reinforced_exposed_chiseled_copper
securitycraft:blocks/reinforced_exposed_copper | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_exposed_copper securitycraft:reinforced_exposed_copper
securitycraft:blocks/reinforced_exposed_copper_bulb | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_exposed_copper_bulb securitycraft:reinforced_exposed_copper_bulb
securitycraft:blocks/reinforced_exposed_copper_grate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_exposed_copper_grate securitycraft:reinforced_exposed_copper_grate
securitycraft:blocks/reinforced_exposed_cut_copper | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_exposed_cut_copper securitycraft:reinforced_exposed_cut_copper
securitycraft:blocks/reinforced_exposed_cut_copper_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_exposed_cut_copper_slab securitycraft:reinforced_exposed_cut_copper_slab
securitycraft:blocks/reinforced_exposed_cut_copper_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_exposed_cut_copper_stairs securitycraft:reinforced_exposed_cut_copper_stairs
securitycraft:blocks/reinforced_fence_gate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_fence_gate securitycraft:reinforced_fence_gate
securitycraft:blocks/reinforced_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_glass securitycraft:reinforced_glass
securitycraft:blocks/reinforced_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_glass_pane securitycraft:reinforced_glass_pane
securitycraft:blocks/reinforced_glowstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_glowstone securitycraft:reinforced_glowstone
securitycraft:blocks/reinforced_gold_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_gold_block securitycraft:reinforced_gold_block
securitycraft:blocks/reinforced_granite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_granite securitycraft:reinforced_granite
securitycraft:blocks/reinforced_granite_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_granite_slab securitycraft:reinforced_granite_slab
securitycraft:blocks/reinforced_granite_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_granite_stairs securitycraft:reinforced_granite_stairs
securitycraft:blocks/reinforced_granite_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_granite_wall securitycraft:reinforced_granite_wall
securitycraft:blocks/reinforced_grass_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_grass_block securitycraft:reinforced_grass_block
securitycraft:blocks/reinforced_grass_path | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_grass_path securitycraft:reinforced_grass_path
securitycraft:blocks/reinforced_gravel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_gravel securitycraft:reinforced_gravel
securitycraft:blocks/reinforced_gray_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_gray_carpet securitycraft:reinforced_gray_carpet
securitycraft:blocks/reinforced_gray_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_gray_concrete securitycraft:reinforced_gray_concrete
securitycraft:blocks/reinforced_gray_glazed_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_gray_glazed_terracotta securitycraft:reinforced_gray_glazed_terracotta
securitycraft:blocks/reinforced_gray_stained_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_gray_stained_glass securitycraft:reinforced_gray_stained_glass
securitycraft:blocks/reinforced_gray_stained_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_gray_stained_glass_pane securitycraft:reinforced_gray_stained_glass_pane
securitycraft:blocks/reinforced_gray_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_gray_terracotta securitycraft:reinforced_gray_terracotta
securitycraft:blocks/reinforced_gray_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_gray_wool securitycraft:reinforced_gray_wool
securitycraft:blocks/reinforced_green_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_green_carpet securitycraft:reinforced_green_carpet
securitycraft:blocks/reinforced_green_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_green_concrete securitycraft:reinforced_green_concrete
securitycraft:blocks/reinforced_green_glazed_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_green_glazed_terracotta securitycraft:reinforced_green_glazed_terracotta
securitycraft:blocks/reinforced_green_stained_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_green_stained_glass securitycraft:reinforced_green_stained_glass
securitycraft:blocks/reinforced_green_stained_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_green_stained_glass_pane securitycraft:reinforced_green_stained_glass_pane
securitycraft:blocks/reinforced_green_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_green_terracotta securitycraft:reinforced_green_terracotta
securitycraft:blocks/reinforced_green_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_green_wool securitycraft:reinforced_green_wool
securitycraft:blocks/reinforced_hardened_clay | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_hardened_clay securitycraft:reinforced_hardened_clay
securitycraft:blocks/reinforced_hopper | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_hopper securitycraft:reinforced_hopper
securitycraft:blocks/reinforced_ice | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_ice securitycraft:reinforced_ice
securitycraft:blocks/reinforced_iron_bars | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_iron_bars securitycraft:reinforced_iron_bars securitycraft:tile_entity_nbt
securitycraft:blocks/reinforced_iron_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_iron_block securitycraft:reinforced_iron_block
securitycraft:blocks/reinforced_iron_trapdoor | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_iron_trapdoor securitycraft:reinforced_iron_trapdoor
securitycraft:blocks/reinforced_jungle_button | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_jungle_button securitycraft:reinforced_jungle_button
securitycraft:blocks/reinforced_jungle_fence | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_jungle_fence securitycraft:reinforced_jungle_fence
securitycraft:blocks/reinforced_jungle_fence_gate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_jungle_fence_gate securitycraft:reinforced_jungle_fence_gate
