born_in_chaos_v1:blocks/argillite_lamp | minecraft:block | born_in_chaos_v1:argillite_lamp born_in_chaos_v1:blocks/argillite_lamp minecraft:block minecraft:item minecraft:survives_explosion
born_in_chaos_v1:entities/infernal_spirit | minecraft:entity | born_in_chaos_v1:entities/infernal_spirit born_in_chaos_v1:ethereal_spirit born_in_chaos_v1:infernal_evil_pumpkin born_in_chaos_v1:smoldering_infernal_ember minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/krampus | minecraft:entity | born_in_chaos_v1:birch_branches born_in_chaos_v1:entities/krampus born_in_chaos_v1:krampus_horn born_in_chaos_v1:krampuss_bag born_in_chaos_v1:monster_flesh born_in_chaos_v1:permafrost_shard born_in_chaos_v1:pieceofdarkmetal minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count
born_in_chaos_v1:entities/krampus_henchman | minecraft:entity | born_in_chaos_v1:entities/krampus_henchman born_in_chaos_v1:monster_flesh born_in_chaos_v1:permafrost_shard minecraft:coal minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/lifestealer_true_form | minecraft:entity | born_in_chaos_v1:entities/lifestealer_true_form born_in_chaos_v1:lifestealer_bone born_in_chaos_v1:lifestealer_skull born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:seedof_chaos minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count
born_in_chaos_v1:entities/lord_pumpkinhead_head | minecraft:entity | born_in_chaos_v1:bagof_candy born_in_chaos_v1:entities/lord_pumpkinhead_head born_in_chaos_v1:lord_pumpkinheads_hat_helmet born_in_chaos_v1:lord_pumpkinheads_lamp born_in_chaos_v1:magical_holiday_candy born_in_chaos_v1:pumpkin_bullet born_in_chaos_v1:pumpkinhandgun born_in_chaos_v1:smoldering_infernal_ember born_in_chaos_v1:soulbane minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/maggot | minecraft:entity | born_in_chaos_v1:corpse_maggot born_in_chaos_v1:entities/maggot minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/missionary_raider | minecraft:entity | born_in_chaos_v1:charmof_endurance born_in_chaos_v1:charmof_fury born_in_chaos_v1:charmof_power born_in_chaos_v1:charmof_resistance born_in_chaos_v1:charmof_stealth born_in_chaos_v1:entities/missionary_raider born_in_chaos_v1:ethereal_spirit born_in_chaos_v1:missionary_hat_helmet born_in_chaos_v1:orbofthe_summoner born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:pileof_dark_metal minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/missioner | minecraft:entity | born_in_chaos_v1:charmof_endurance born_in_chaos_v1:charmof_fury born_in_chaos_v1:charmof_power born_in_chaos_v1:charmof_resistance born_in_chaos_v1:charmof_stealth born_in_chaos_v1:entities/missioner born_in_chaos_v1:ethereal_spirit born_in_chaos_v1:missionary_hat_helmet born_in_chaos_v1:orbofthe_summoner born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:pileof_dark_metal minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/mother_spider | minecraft:entity | born_in_chaos_v1:entities/mother_spider born_in_chaos_v1:spider_mandible minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:spider_eye minecraft:string
born_in_chaos_v1:entities/mr_pumpkin | minecraft:entity | born_in_chaos_v1:entities/mr_pumpkin born_in_chaos_v1:smoldering_infernal_ember minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/nightmare_stalker | minecraft:entity | born_in_chaos_v1:entities/nightmare_stalker born_in_chaos_v1:monster_flesh born_in_chaos_v1:monster_skin born_in_chaos_v1:nightmare_claw born_in_chaos_v1:nightmare_stalker_skull born_in_chaos_v1:pieceofdarkmetal minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count
born_in_chaos_v1:entities/phantom_creeper_copy | minecraft:entity | born_in_chaos_v1:entities/phantom_creeper_copy born_in_chaos_v1:phantom_powder minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/pumpkin_bruiser | minecraft:entity | born_in_chaos_v1:caramel_pepper born_in_chaos_v1:chocolate_heart born_in_chaos_v1:coffee_candy born_in_chaos_v1:entities/pumpkin_bruiser born_in_chaos_v1:gummy_vampire_teeth born_in_chaos_v1:holiday_candy born_in_chaos_v1:mint_candy born_in_chaos_v1:mint_ice_cream born_in_chaos_v1:rotten_infernal_pumpkin born_in_chaos_v1:smoldering_infernal_ember minecraft:entity minecraft:item minecraft:rotten_flesh minecraft:set_count
born_in_chaos_v1:entities/pumpkin_dunce | minecraft:entity | born_in_chaos_v1:caramel_pepper born_in_chaos_v1:chocolate_heart born_in_chaos_v1:coffee_candy born_in_chaos_v1:entities/pumpkin_dunce born_in_chaos_v1:gummy_vampire_teeth born_in_chaos_v1:holiday_candy born_in_chaos_v1:mint_candy born_in_chaos_v1:mint_ice_cream born_in_chaos_v1:smoldering_infernal_ember minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/pumpkin_spirit | minecraft:entity | born_in_chaos_v1:entities/pumpkin_spirit born_in_chaos_v1:ethereal_spirit minecraft:carved_pumpkin minecraft:entity minecraft:hay_block minecraft:item minecraft:set_count minecraft:stick
born_in_chaos_v1:entities/pumpkinhead | minecraft:entity | born_in_chaos_v1:bagof_candy born_in_chaos_v1:entities/pumpkinhead born_in_chaos_v1:fel_lamp born_in_chaos_v1:holiday_candy born_in_chaos_v1:pumpkinstaffa born_in_chaos_v1:serpumpkinhead_m born_in_chaos_v1:smoldering_infernal_ember born_in_chaos_v1:soul_cutlass minecraft:enchant_with_levels minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/restless_spirit | minecraft:entity | born_in_chaos_v1:entities/restless_spirit born_in_chaos_v1:ethereal_spirit minecraft:chain minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/seared_spirit | minecraft:entity | born_in_chaos_v1:entities/seared_spirit born_in_chaos_v1:ethereal_spirit born_in_chaos_v1:fire_dust born_in_chaos_v1:flaming_evil_pumpkin minecraft:charcoal minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/seared_spirit_not_despawn | minecraft:entity | born_in_chaos_v1:entities/seared_spirit_not_despawn born_in_chaos_v1:ethereal_spirit born_in_chaos_v1:fire_dust born_in_chaos_v1:flaming_evil_pumpkin minecraft:charcoal minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/senor_pumpkin | minecraft:entity | born_in_chaos_v1:caramel_pepper born_in_chaos_v1:chocolate_heart born_in_chaos_v1:coffee_candy born_in_chaos_v1:entities/senor_pumpkin born_in_chaos_v1:gummy_vampire_teeth born_in_chaos_v1:holiday_candy born_in_chaos_v1:mint_candy born_in_chaos_v1:smoldering_infernal_ember minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/skeleton_demoman | minecraft:entity | born_in_chaos_v1:damned_demomans_hat_helmet born_in_chaos_v1:entities/skeleton_demoman minecraft:bone minecraft:entity minecraft:gunpowder minecraft:item minecraft:set_count
born_in_chaos_v1:entities/skeleton_thrasher | minecraft:entity | born_in_chaos_v1:entities/skeleton_thrasher born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:pileof_dark_metal born_in_chaos_v1:shattered_skull born_in_chaos_v1:skullbreaker_hammer minecraft:bone minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:shield
born_in_chaos_v1:entities/skeleton_thrasher_not_despawn | minecraft:entity | born_in_chaos_v1:entities/skeleton_thrasher_not_despawn born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:pileof_dark_metal born_in_chaos_v1:shattered_skull born_in_chaos_v1:skullbreaker_hammer minecraft:bone minecraft:entity minecraft:item minecraft:set_count minecraft:shield
born_in_chaos_v1:entities/spirit_guide | minecraft:entity | born_in_chaos_v1:entities/spirit_guide born_in_chaos_v1:ethereal_spirit born_in_chaos_v1:marigolds born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:shattered_skull born_in_chaos_v1:spiritual_guide_sombrero_helmet minecraft:bone minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/spiritof_chaos | minecraft:entity | born_in_chaos_v1:entities/spiritof_chaos born_in_chaos_v1:ethereal_spirit born_in_chaos_v1:seedof_chaos minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/supreme_bonescaller_stage_2 | minecraft:entity | born_in_chaos_v1:death_totem born_in_chaos_v1:entities/supreme_bonescaller_stage_2 born_in_chaos_v1:orbofthe_summoner born_in_chaos_v1:seedof_chaos born_in_chaos_v1:shattered_skull born_in_chaos_v1:spiritual_dust born_in_chaos_v1:staff_of_magic_arrows minecraft:bone minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/swarmer | minecraft:entity | born_in_chaos_v1:corpse_maggot born_in_chaos_v1:entities/swarmer minecraft:entity minecraft:item minecraft:rotten_flesh minecraft:set_count minecraft:slime_ball
born_in_chaos_v1:entities/thornshell_crab | minecraft:entity | born_in_chaos_v1:entities/thornshell_crab born_in_chaos_v1:rotten_fish born_in_chaos_v1:spiny_shell minecraft:entity minecraft:item minecraft:set_count
born_in_chaos_v1:entities/zombie_bruiser | minecraft:entity | born_in_chaos_v1:entities/zombie_bruiser born_in_chaos_v1:pieceofdarkmetal minecraft:entity minecraft:golden_carrot minecraft:iron_ingot minecraft:item minecraft:oak_log minecraft:rotten_flesh minecraft:set_count
born_in_chaos_v1:entities/zombie_clown | minecraft:entity | born_in_chaos_v1:entities/zombie_clown born_in_chaos_v1:intoxicating_dagger born_in_chaos_v1:intoxicating_decoction born_in_chaos_v1:stimulating_decoction minecraft:entity minecraft:item minecraft:poisonous_potato minecraft:rotten_flesh minecraft:set_count
born_in_chaos_v1:entities/zombie_clown_not_despawn | minecraft:entity | born_in_chaos_v1:entities/zombie_clown_not_despawn born_in_chaos_v1:intoxicating_dagger born_in_chaos_v1:intoxicating_decoction born_in_chaos_v1:stimulating_decoction minecraft:entity minecraft:item minecraft:poisonous_potato minecraft:rotten_flesh minecraft:set_count
born_in_chaos_v1:entities/zombie_fisherman | minecraft:entity | born_in_chaos_v1:entities/zombie_fisherman born_in_chaos_v1:river_mint born_in_chaos_v1:rotten_fish minecraft:enchant_with_levels minecraft:entity minecraft:fishing_rod minecraft:item minecraft:pufferfish minecraft:rotten_flesh minecraft:salmon minecraft:set_count
born_in_chaos_v1:entities/zombie_lumberjack | minecraft:entity | born_in_chaos_v1:entities/zombie_lumberjack born_in_chaos_v1:wood_splitter_axe minecraft:acacia_log minecraft:birch_log minecraft:cherry_log minecraft:dark_oak_log minecraft:entity minecraft:iron_ingot minecraft:item minecraft:jungle_log minecraft:mangrove_log minecraft:oak_log minecraft:rotten_flesh minecraft:set_count minecraft:spruce_log
minecraft:chests/basic_chest | minecraft:chest | born_in_chaos_v1:dark_upgrade born_in_chaos_v1:monster_flesh born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:smoked_flesh minecraft:apple minecraft:arrow minecraft:bone minecraft:book minecraft:bread minecraft:brown_mushroom minecraft:carrot minecraft:chest minecraft:chests/basic_chest minecraft:coal minecraft:copper_ingot minecraft:emerald minecraft:gold_ingot minecraft:iron_ingot minecraft:item minecraft:leather minecraft:leather_horse_armor minecraft:mushroom_stew minecraft:name_tag minecraft:poisonous_potato minecraft:potato minecraft:saddle minecraft:set_count minecraft:string minecraft:wheat
minecraft:chests/chest_level_1 | minecraft:chest | born_in_chaos_v1:dark_upgrade born_in_chaos_v1:monster_flesh born_in_chaos_v1:monster_skin born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:seedof_chaos born_in_chaos_v1:shattered_skull born_in_chaos_v1:smoked_flesh minecraft:arrow minecraft:bone minecraft:book minecraft:carrot minecraft:chest minecraft:chests/chest_level_1 minecraft:coal minecraft:diamond minecraft:emerald minecraft:enchant_with_levels minecraft:gold_ingot minecraft:golden_apple minecraft:gunpowder minecraft:iron_axe minecraft:iron_horse_armor minecraft:iron_ingot minecraft:iron_pickaxe minecraft:iron_sword minecraft:item minecraft:name_tag minecraft:red_mushroom minecraft:rotten_flesh minecraft:set_count
minecraft:chests/chest_level_2 | minecraft:chest | born_in_chaos_v1:anluka_doors born_in_chaos_v1:dark_upgrade born_in_chaos_v1:monster_flesh born_in_chaos_v1:monster_skin born_in_chaos_v1:nightmare_claw born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:pileof_dark_metal born_in_chaos_v1:seedof_chaos born_in_chaos_v1:shattered_skull minecraft:book minecraft:chest minecraft:chests/chest_level_2 minecraft:diamond minecraft:diamond_axe minecraft:diamond_pickaxe minecraft:diamond_sword minecraft:emerald minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:ender_pearl minecraft:gold_ingot minecraft:golden_apple minecraft:golden_horse_armor minecraft:gunpowder minecraft:iron_ingot minecraft:item minecraft:name_tag minecraft:set_count
minecraft:chests/chest_level_3 | minecraft:chest | born_in_chaos_v1:anluka_doors born_in_chaos_v1:dark_ritual_dagger born_in_chaos_v1:dark_rod born_in_chaos_v1:dark_upgrade born_in_chaos_v1:death_totem born_in_chaos_v1:great_reaper_axe born_in_chaos_v1:monster_skin born_in_chaos_v1:nightmare_claw born_in_chaos_v1:nightmare_scythe born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:pileof_dark_metal born_in_chaos_v1:seedof_chaos born_in_chaos_v1:shattered_skull born_in_chaos_v1:skullbreaker_hammer minecraft:chest minecraft:chests/chest_level_3 minecraft:diamond minecraft:emerald minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:ender_pearl minecraft:gold_ingot minecraft:golden_apple minecraft:iron_ingot minecraft:item minecraft:music_disc_11 minecraft:name_tag minecraft:set_count
minecraft:chests/farm_drop | minecraft:chest | minecraft:apple minecraft:beetroot minecraft:book minecraft:bread minecraft:carrot minecraft:chest minecraft:chests/farm_drop minecraft:coal minecraft:egg minecraft:experience_bottle minecraft:golden_apple minecraft:golden_carrot minecraft:honeycomb minecraft:iron_hoe minecraft:iron_ingot minecraft:item minecraft:leather minecraft:potato minecraft:pumpkin_pie minecraft:rabbit_hide minecraft:saddle minecraft:set_count minecraft:sunflower minecraft:sweet_berries minecraft:wheat minecraft:wheat_seeds
minecraft:chests/firewell_d | minecraft:chest | born_in_chaos_v1:anluka_doors born_in_chaos_v1:dark_upgrade born_in_chaos_v1:fire_dust born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:pileof_dark_metal born_in_chaos_v1:seedof_chaos born_in_chaos_v1:shattered_skull born_in_chaos_v1:smoldering_scorched_log minecraft:blaze_powder minecraft:blaze_rod minecraft:bone minecraft:chest minecraft:chests/firewell_d minecraft:coal minecraft:coal_block minecraft:experience_bottle minecraft:fire_charge minecraft:gold_ingot minecraft:golden_apple minecraft:iron_ingot minecraft:item minecraft:magma_block minecraft:magma_cream minecraft:nether_wart minecraft:set_count
minecraft:chests/shater | minecraft:chest | born_in_chaos_v1:caramel_pepper born_in_chaos_v1:chocolate_heart born_in_chaos_v1:coffee_candy born_in_chaos_v1:cultivated_pumpkin born_in_chaos_v1:dark_upgrade born_in_chaos_v1:gummy_vampire_teeth born_in_chaos_v1:holiday_candy born_in_chaos_v1:intoxicating_dagger born_in_chaos_v1:intoxicating_decoction born_in_chaos_v1:killer_rabbit_ears_helmet born_in_chaos_v1:mint_candy born_in_chaos_v1:mint_ice_cream born_in_chaos_v1:monster_flesh born_in_chaos_v1:monster_skin born_in_chaos_v1:monstrous_easter_egg born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:rotten_easter_egg born_in_chaos_v1:serpumpkinhead_m born_in_chaos_v1:smoked_flesh born_in_chaos_v1:spiritual_easter_egg born_in_chaos_v1:transmuting_elixir minecraft:cake minecraft:carrot minecraft:chest minecraft:chests/shater minecraft:copper_ingot minecraft:enchant_with_levels minecraft:glow_berries minecraft:golden_apple minecraft:item minecraft:melon_slice minecraft:name_tag minecraft:rabbit_hide minecraft:saddle minecraft:set_count minecraft:sugar minecraft:sweet_berries
