mcwwindows:acacia_blinds | minecraft:crafting_shaped | mcwwindows:acacia_blinds minecraft:acacia_slab minecraft:crafting_shaped minecraft:stick
mcwwindows:metal_curtain_rod | minecraft:crafting_shaped | mcwwindows:metal_curtain_rod minecraft:crafting_shaped minecraft:iron_ingot minecraft:iron_nugget
mcwwindows:metal_four_window | minecraft:crafting_shaped | mcwwindows:metal_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:iron_block
mcwwindows:metal_pane_window | minecraft:crafting_shaped | mcwwindows:metal_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:iron_block
mcwwindows:metal_window | minecraft:crafting_shaped | mcwwindows:metal_window mcwwindows:window_base minecraft:crafting_shaped minecraft:iron_block
mcwwindows:metal_window2 | minecraft:crafting_shaped | mcwwindows:metal_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:iron_block
mcwwindows:mud_brick_arrow_slit | minecraft:crafting_shaped | mcwwindows:mud_brick_arrow_slit minecraft:crafting_shaped minecraft:mud_brick_slab minecraft:mud_bricks
mcwwindows:mud_brick_gothic | minecraft:crafting_shaped | mcwwindows:mud_brick_gothic minecraft:crafting_shaped minecraft:glass_pane minecraft:mud_bricks
mcwwindows:nether_brick_arrow_slit | minecraft:crafting_shaped | mcwwindows:nether_brick_arrow_slit minecraft:crafting_shaped minecraft:nether_brick_slab minecraft:nether_bricks
mcwwindows:nether_brick_gothic | minecraft:crafting_shaped | mcwwindows:nether_brick_gothic minecraft:crafting_shaped minecraft:glass_pane minecraft:nether_bricks
mcwwindows:oak_blinds | minecraft:crafting_shaped | mcwwindows:oak_blinds minecraft:crafting_shaped minecraft:oak_slab minecraft:stick
mcwwindows:oak_curtain_rod | minecraft:crafting_shaped | mcwwindows:oak_curtain_rod minecraft:crafting_shaped minecraft:oak_log minecraft:stick
mcwwindows:oak_four_window | minecraft:crafting_shaped | mcwwindows:oak_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:oak_log
mcwwindows:oak_log_parapet | minecraft:crafting_shaped | mcwwindows:oak_log_parapet minecraft:crafting_shaped minecraft:oak_log minecraft:stick
mcwwindows:oak_louvered_shutter | minecraft:crafting_shaped | mcwwindows:oak_louvered_shutter minecraft:crafting_shaped minecraft:oak_slab
mcwwindows:oak_pane_window | minecraft:crafting_shaped | mcwwindows:oak_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:oak_log
mcwwindows:oak_plank_four_window | minecraft:crafting_shaped | mcwwindows:oak_plank_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:oak_planks
mcwwindows:oak_plank_pane_window | minecraft:crafting_shaped | mcwwindows:oak_plank_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:oak_planks
mcwwindows:oak_plank_parapet | minecraft:crafting_shaped | mcwwindows:oak_plank_parapet minecraft:crafting_shaped minecraft:oak_planks minecraft:stick
mcwwindows:oak_plank_window | minecraft:crafting_shaped | mcwwindows:oak_plank_window mcwwindows:window_base minecraft:crafting_shaped minecraft:oak_planks
mcwwindows:oak_plank_window2 | minecraft:crafting_shaped | mcwwindows:oak_plank_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:oak_planks
mcwwindows:oak_shutter | minecraft:crafting_shaped | mcwwindows:oak_shutter minecraft:crafting_shaped minecraft:oak_trapdoor
mcwwindows:oak_window | minecraft:crafting_shaped | mcwwindows:oak_window mcwwindows:window_base minecraft:crafting_shaped minecraft:oak_log
mcwwindows:oak_window2 | minecraft:crafting_shaped | mcwwindows:oak_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:oak_log
mcwwindows:one_way_glass | minecraft:crafting_shaped | mcwwindows:one_way_glass minecraft:black_dye minecraft:crafting_shaped minecraft:glass
mcwwindows:one_way_glass_pane | minecraft:crafting_shaped | mcwwindows:one_way_glass mcwwindows:one_way_glass_pane minecraft:crafting_shaped
mcwwindows:orange_curtain | minecraft:crafting_shaped | mcwwindows:orange_curtain minecraft:crafting_shaped minecraft:orange_wool
mcwwindows:orange_mosaic_glass | minecraft:crafting_shaped | mcwwindows:orange_mosaic_glass minecraft:crafting_shaped minecraft:orange_dye minecraft:orange_stained_glass
mcwwindows:orange_mosaic_glass_pane | minecraft:crafting_shaped | mcwwindows:orange_mosaic_glass mcwwindows:orange_mosaic_glass_pane minecraft:crafting_shaped
mcwwindows:pink_curtain | minecraft:crafting_shaped | mcwwindows:pink_curtain minecraft:crafting_shaped minecraft:pink_wool
mcwwindows:pink_mosaic_glass | minecraft:crafting_shaped | mcwwindows:pink_mosaic_glass minecraft:crafting_shaped minecraft:pink_dye minecraft:pink_stained_glass
mcwwindows:pink_mosaic_glass_pane | minecraft:crafting_shaped | mcwwindows:pink_mosaic_glass mcwwindows:pink_mosaic_glass_pane minecraft:crafting_shaped
mcwwindows:prismarine_brick_arrow_slit | minecraft:crafting_shaped | mcwwindows:prismarine_brick_arrow_slit minecraft:crafting_shaped minecraft:prismarine_brick_slab minecraft:prismarine_bricks
mcwwindows:prismarine_brick_gothic | minecraft:crafting_shaped | mcwwindows:prismarine_brick_gothic minecraft:crafting_shaped minecraft:glass_pane minecraft:prismarine_bricks
mcwwindows:prismarine_four_window | minecraft:crafting_shaped | mcwwindows:prismarine_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:prismarine_bricks
mcwwindows:prismarine_pane_window | minecraft:crafting_shaped | mcwwindows:prismarine_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:prismarine_bricks
mcwwindows:prismarine_parapet | minecraft:crafting_shaped | mcwwindows:prismarine_parapet minecraft:crafting_shaped minecraft:prismarine_bricks minecraft:stick
mcwwindows:prismarine_window | minecraft:crafting_shaped | mcwwindows:prismarine_window mcwwindows:window_base minecraft:crafting_shaped minecraft:prismarine_bricks
mcwwindows:prismarine_window2 | minecraft:crafting_shaped | mcwwindows:prismarine_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:prismarine_bricks
mcwwindows:purple_curtain | minecraft:crafting_shaped | mcwwindows:purple_curtain minecraft:crafting_shaped minecraft:purple_wool
mcwwindows:purple_mosaic_glass | minecraft:crafting_shaped | mcwwindows:purple_mosaic_glass minecraft:crafting_shaped minecraft:purple_dye minecraft:purple_stained_glass
mcwwindows:purple_mosaic_glass_pane | minecraft:crafting_shaped | mcwwindows:purple_mosaic_glass mcwwindows:purple_mosaic_glass_pane minecraft:crafting_shaped
mcwwindows:quartz_four_window | minecraft:crafting_shaped | mcwwindows:quartz_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:quartz_block
mcwwindows:quartz_pane_window | minecraft:crafting_shaped | mcwwindows:quartz_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:quartz_block
mcwwindows:quartz_window | minecraft:crafting_shaped | mcwwindows:quartz_window mcwwindows:window_base minecraft:crafting_shaped minecraft:quartz_block
mcwwindows:quartz_window2 | minecraft:crafting_shaped | mcwwindows:quartz_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:quartz_block
mcwwindows:red_curtain | minecraft:crafting_shaped | mcwwindows:red_curtain minecraft:crafting_shaped minecraft:red_wool
mcwwindows:red_mosaic_glass | minecraft:crafting_shaped | mcwwindows:red_mosaic_glass minecraft:crafting_shaped minecraft:red_dye minecraft:red_stained_glass
mcwwindows:red_mosaic_glass_pane | minecraft:crafting_shaped | mcwwindows:red_mosaic_glass mcwwindows:red_mosaic_glass_pane minecraft:crafting_shaped
mcwwindows:red_sandstone_four_window | minecraft:crafting_shaped | mcwwindows:red_sandstone_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:red_sandstone
mcwwindows:red_sandstone_pane_window | minecraft:crafting_shaped | mcwwindows:red_sandstone_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:red_sandstone
mcwwindows:red_sandstone_window | minecraft:crafting_shaped | mcwwindows:red_sandstone_window mcwwindows:window_base minecraft:crafting_shaped minecraft:red_sandstone
mcwwindows:red_sandstone_window2 | minecraft:crafting_shaped | mcwwindows:red_sandstone_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:red_sandstone
mcwwindows:sandstone_four_window | minecraft:crafting_shaped | mcwwindows:sandstone_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:sandstone
mcwwindows:sandstone_pane_window | minecraft:crafting_shaped | mcwwindows:sandstone_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:sandstone
mcwwindows:sandstone_window | minecraft:crafting_shaped | mcwwindows:sandstone_window mcwwindows:window_base minecraft:crafting_shaped minecraft:sandstone
mcwwindows:sandstone_window2 | minecraft:crafting_shaped | mcwwindows:sandstone_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:sandstone
mcwwindows:spruce_blinds | minecraft:crafting_shaped | mcwwindows:spruce_blinds minecraft:crafting_shaped minecraft:spruce_slab minecraft:stick
mcwwindows:spruce_curtain_rod | minecraft:crafting_shaped | mcwwindows:spruce_curtain_rod minecraft:crafting_shaped minecraft:spruce_log minecraft:stick
mcwwindows:spruce_four_window | minecraft:crafting_shaped | mcwwindows:spruce_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:spruce_log
mcwwindows:spruce_log_parapet | minecraft:crafting_shaped | mcwwindows:spruce_log_parapet minecraft:crafting_shaped minecraft:spruce_log minecraft:stick
mcwwindows:spruce_louvered_shutter | minecraft:crafting_shaped | mcwwindows:spruce_louvered_shutter minecraft:crafting_shaped minecraft:spruce_slab
mcwwindows:spruce_pane_window | minecraft:crafting_shaped | mcwwindows:spruce_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:spruce_log
mcwwindows:spruce_plank_four_window | minecraft:crafting_shaped | mcwwindows:spruce_plank_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:spruce_planks
mcwwindows:spruce_plank_pane_window | minecraft:crafting_shaped | mcwwindows:spruce_plank_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:spruce_planks
mcwwindows:spruce_plank_parapet | minecraft:crafting_shaped | mcwwindows:spruce_plank_parapet minecraft:crafting_shaped minecraft:spruce_planks minecraft:stick
mcwwindows:spruce_plank_window | minecraft:crafting_shaped | mcwwindows:spruce_plank_window mcwwindows:window_base minecraft:crafting_shaped minecraft:spruce_planks
mcwwindows:spruce_plank_window2 | minecraft:crafting_shaped | mcwwindows:spruce_plank_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:spruce_planks
mcwwindows:spruce_shutter | minecraft:crafting_shaped | mcwwindows:spruce_shutter minecraft:crafting_shaped minecraft:spruce_trapdoor
mcwwindows:spruce_window | minecraft:crafting_shaped | mcwwindows:spruce_window mcwwindows:window_base minecraft:crafting_shaped minecraft:spruce_log
mcwwindows:spruce_window2 | minecraft:crafting_shaped | mcwwindows:spruce_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:spruce_log
mcwwindows:stone_brick_arrow_slit | minecraft:crafting_shaped | mcwwindows:stone_brick_arrow_slit minecraft:crafting_shaped minecraft:stone_brick_slab minecraft:stone_bricks
mcwwindows:stone_brick_gothic | minecraft:crafting_shaped | mcwwindows:stone_brick_gothic minecraft:crafting_shaped minecraft:glass_pane minecraft:stone_bricks
mcwwindows:stone_four_window | minecraft:crafting_shaped | mcwwindows:stone_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:stone
mcwwindows:stone_pane_window | minecraft:crafting_shaped | mcwwindows:stone_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stone
mcwwindows:stone_window | minecraft:crafting_shaped | mcwwindows:stone_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stone
mcwwindows:stone_window2 | minecraft:crafting_shaped | mcwwindows:stone_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:stone
mcwwindows:stripped_acacia_log_four_window | minecraft:crafting_shaped | mcwwindows:stripped_acacia_log_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:stripped_acacia_log
mcwwindows:stripped_acacia_log_window | minecraft:crafting_shaped | mcwwindows:stripped_acacia_log_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_acacia_log
mcwwindows:stripped_acacia_log_window2 | minecraft:crafting_shaped | mcwwindows:stripped_acacia_log_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:stripped_acacia_log
mcwwindows:stripped_acacia_pane_window | minecraft:crafting_shaped | mcwwindows:stripped_acacia_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_acacia_log
mcwwindows:stripped_birch_log_four_window | minecraft:crafting_shaped | mcwwindows:stripped_birch_log_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:stripped_birch_log
mcwwindows:stripped_birch_log_window | minecraft:crafting_shaped | mcwwindows:stripped_birch_log_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_birch_log
mcwwindows:stripped_birch_log_window2 | minecraft:crafting_shaped | mcwwindows:stripped_birch_log_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:stripped_birch_log
mcwwindows:stripped_birch_pane_window | minecraft:crafting_shaped | mcwwindows:stripped_birch_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_birch_log
mcwwindows:stripped_cherry_log_four_window | minecraft:crafting_shaped | mcwwindows:stripped_cherry_log_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:stripped_cherry_log
mcwwindows:stripped_cherry_log_window | minecraft:crafting_shaped | mcwwindows:stripped_cherry_log_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_cherry_log
mcwwindows:stripped_cherry_log_window2 | minecraft:crafting_shaped | mcwwindows:stripped_cherry_log_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:stripped_cherry_log
mcwwindows:stripped_cherry_pane_window | minecraft:crafting_shaped | mcwwindows:stripped_cherry_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_cherry_log
mcwwindows:stripped_crimson_pane_window | minecraft:crafting_shaped | mcwwindows:stripped_crimson_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_crimson_stem
mcwwindows:stripped_crimson_stem_four_window | minecraft:crafting_shaped | mcwwindows:stripped_crimson_stem_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:stripped_crimson_stem
mcwwindows:stripped_crimson_stem_window | minecraft:crafting_shaped | mcwwindows:stripped_crimson_stem_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_crimson_stem
mcwwindows:stripped_crimson_stem_window2 | minecraft:crafting_shaped | mcwwindows:stripped_crimson_stem_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:stripped_crimson_stem
mcwwindows:stripped_dark_oak_log_four_window | minecraft:crafting_shaped | mcwwindows:stripped_dark_oak_log_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:stripped_dark_oak_log
mcwwindows:stripped_dark_oak_log_window | minecraft:crafting_shaped | mcwwindows:stripped_dark_oak_log_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_dark_oak_log
mcwwindows:stripped_dark_oak_log_window2 | minecraft:crafting_shaped | mcwwindows:stripped_dark_oak_log_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:stripped_dark_oak_log
mcwwindows:stripped_dark_oak_pane_window | minecraft:crafting_shaped | mcwwindows:stripped_dark_oak_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_dark_oak_log
mcwwindows:stripped_jungle_log_four_window | minecraft:crafting_shaped | mcwwindows:stripped_jungle_log_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:stripped_jungle_log
mcwwindows:stripped_jungle_log_window | minecraft:crafting_shaped | mcwwindows:stripped_jungle_log_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_jungle_log
mcwwindows:stripped_jungle_log_window2 | minecraft:crafting_shaped | mcwwindows:stripped_jungle_log_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:stripped_jungle_log
mcwwindows:stripped_jungle_pane_window | minecraft:crafting_shaped | mcwwindows:stripped_jungle_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_jungle_log
mcwwindows:stripped_mangrove_log_four_window | minecraft:crafting_shaped | mcwwindows:stripped_mangrove_log_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:stripped_mangrove_log
mcwwindows:stripped_mangrove_log_window | minecraft:crafting_shaped | mcwwindows:stripped_mangrove_log_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_mangrove_log
mcwwindows:stripped_mangrove_log_window2 | minecraft:crafting_shaped | mcwwindows:stripped_mangrove_log_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:stripped_mangrove_log
mcwwindows:stripped_mangrove_pane_window | minecraft:crafting_shaped | mcwwindows:stripped_mangrove_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_mangrove_log
mcwwindows:stripped_oak_log_four_window | minecraft:crafting_shaped | mcwwindows:stripped_oak_log_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:stripped_oak_log
mcwwindows:stripped_oak_log_window | minecraft:crafting_shaped | mcwwindows:stripped_oak_log_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_oak_log
mcwwindows:stripped_oak_log_window2 | minecraft:crafting_shaped | mcwwindows:stripped_oak_log_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:stripped_oak_log
mcwwindows:stripped_oak_pane_window | minecraft:crafting_shaped | mcwwindows:stripped_oak_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_oak_log
mcwwindows:stripped_spruce_log_four_window | minecraft:crafting_shaped | mcwwindows:stripped_spruce_log_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:stripped_spruce_log
mcwwindows:stripped_spruce_log_window | minecraft:crafting_shaped | mcwwindows:stripped_spruce_log_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_spruce_log
mcwwindows:stripped_spruce_log_window2 | minecraft:crafting_shaped | mcwwindows:stripped_spruce_log_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:stripped_spruce_log
mcwwindows:stripped_spruce_pane_window | minecraft:crafting_shaped | mcwwindows:stripped_spruce_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_spruce_log
mcwwindows:stripped_warped_pane_window | minecraft:crafting_shaped | mcwwindows:stripped_warped_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_warped_stem
mcwwindows:stripped_warped_stem_four_window | minecraft:crafting_shaped | mcwwindows:stripped_warped_stem_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:stripped_warped_stem
mcwwindows:stripped_warped_stem_window | minecraft:crafting_shaped | mcwwindows:stripped_warped_stem_window mcwwindows:window_base minecraft:crafting_shaped minecraft:stripped_warped_stem
mcwwindows:stripped_warped_stem_window2 | minecraft:crafting_shaped | mcwwindows:stripped_warped_stem_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:stripped_warped_stem
mcwwindows:warped_blinds | minecraft:crafting_shaped | mcwwindows:warped_blinds minecraft:crafting_shaped minecraft:stick minecraft:warped_slab
mcwwindows:warped_curtain_rod | minecraft:crafting_shaped | mcwwindows:warped_curtain_rod minecraft:crafting_shaped minecraft:stick minecraft:warped_stem
mcwwindows:warped_louvered_shutter | minecraft:crafting_shaped | mcwwindows:warped_louvered_shutter minecraft:crafting_shaped minecraft:warped_slab
mcwwindows:warped_pane_window | minecraft:crafting_shaped | mcwwindows:warped_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:warped_stem
mcwwindows:warped_plank_pane_window | minecraft:crafting_shaped | mcwwindows:warped_plank_pane_window mcwwindows:window_base minecraft:crafting_shaped minecraft:warped_planks
mcwwindows:warped_plank_parapet | minecraft:crafting_shaped | mcwwindows:warped_plank_parapet minecraft:crafting_shaped minecraft:stick minecraft:warped_planks
mcwwindows:warped_planks_four_window | minecraft:crafting_shaped | mcwwindows:warped_planks_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:warped_planks
mcwwindows:warped_planks_window | minecraft:crafting_shaped | mcwwindows:warped_planks_window mcwwindows:window_base minecraft:crafting_shaped minecraft:warped_planks
mcwwindows:warped_planks_window2 | minecraft:crafting_shaped | mcwwindows:warped_planks_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:warped_planks
mcwwindows:warped_shutter | minecraft:crafting_shaped | mcwwindows:warped_shutter minecraft:crafting_shaped minecraft:warped_trapdoor
mcwwindows:warped_stem_four_window | minecraft:crafting_shaped | mcwwindows:warped_stem_four_window mcwwindows:window_centre_bar_base minecraft:crafting_shaped minecraft:warped_stem
mcwwindows:warped_stem_parapet | minecraft:crafting_shaped | mcwwindows:warped_stem_parapet minecraft:crafting_shaped minecraft:stick minecraft:warped_stem
mcwwindows:warped_stem_window | minecraft:crafting_shaped | mcwwindows:warped_stem_window mcwwindows:window_base minecraft:crafting_shaped minecraft:warped_stem
mcwwindows:warped_stem_window2 | minecraft:crafting_shaped | mcwwindows:warped_stem_window2 mcwwindows:window_half_bar_base minecraft:crafting_shaped minecraft:warped_stem
mcwwindows:white_curtain | minecraft:crafting_shaped | mcwwindows:white_curtain minecraft:crafting_shaped minecraft:white_wool
mcwwindows:white_mosaic_glass | minecraft:crafting_shaped | mcwwindows:white_mosaic_glass minecraft:crafting_shaped minecraft:white_dye minecraft:white_stained_glass
mcwwindows:white_mosaic_glass_pane | minecraft:crafting_shaped | mcwwindows:white_mosaic_glass mcwwindows:white_mosaic_glass_pane minecraft:crafting_shaped
mcwwindows:window_base | minecraft:crafting_shaped | mcwwindows:window_base minecraft:crafting_shaped minecraft:glass minecraft:stick
mcwwindows:window_centre_bar_base | minecraft:crafting_shapeless | mcwwindows:window_centre_bar_base mcwwindows:window_half_bar_base minecraft:crafting_shapeless
mcwwindows:window_centre_bar_base_revert | minecraft:crafting_shapeless | mcwwindows:window_centre_bar_base mcwwindows:window_half_bar_base minecraft:crafting_shapeless
mcwwindows:window_half_bar_base | minecraft:crafting_shapeless | mcwwindows:window_base mcwwindows:window_half_bar_base minecraft:crafting_shapeless
mcwwindows:window_half_bar_base_revert | minecraft:crafting_shapeless | mcwwindows:window_base mcwwindows:window_half_bar_base minecraft:crafting_shapeless
mcwwindows:yellow_curtain | minecraft:crafting_shaped | mcwwindows:yellow_curtain minecraft:crafting_shaped minecraft:yellow_wool
mcwwindows:yellow_mosaic_glass | minecraft:crafting_shaped | mcwwindows:yellow_mosaic_glass minecraft:crafting_shaped minecraft:yellow_dye minecraft:yellow_stained_glass
mcwwindows:yellow_mosaic_glass_pane | minecraft:crafting_shaped | mcwwindows:yellow_mosaic_glass mcwwindows:yellow_mosaic_glass_pane minecraft:crafting_shaped
