railways:benchcart | minecraft:crafting_shapeless | c:workbench minecraft:crafting_shapeless minecraft:minecart railways:benchcart
railways:crafting/palettes/dyeing_1x/yellow_locometal_pillar | minecraft:crafting_shapeless | c:dyes/yellow minecraft:crafting_shapeless railways:palettes/dye_groups/pillar railways:yellow_locometal_pillar
railways:crafting/palettes/dyeing_1x/yellow_locometal_smokebox | minecraft:crafting_shapeless | c:dyes/yellow minecraft:crafting_shapeless railways:palettes/dye_groups/smokebox railways:yellow_locometal_smokebox
railways:crafting/palettes/dyeing_1x/yellow_plated_locometal | minecraft:crafting_shapeless | c:dyes/yellow minecraft:crafting_shapeless railways:palettes/dye_groups/plated railways:yellow_plated_locometal
railways:crafting/palettes/dyeing_1x/yellow_riveted_locometal | minecraft:crafting_shapeless | c:dyes/yellow minecraft:crafting_shapeless railways:palettes/dye_groups/riveted railways:yellow_riveted_locometal
railways:crafting/palettes/dyeing_1x/yellow_slashed_locometal | minecraft:crafting_shapeless | c:dyes/yellow minecraft:crafting_shapeless railways:palettes/dye_groups/slashed railways:yellow_slashed_locometal
railways:crafting/palettes/dyeing_8x/black_brass_wrapped_locometal | minecraft:crafting_shaped | c:dyes/black minecraft:crafting_shaped railways:black_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_8x/black_brass_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/black minecraft:crafting_shaped railways:black_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_8x/black_copper_wrapped_locometal | minecraft:crafting_shaped | c:dyes/black minecraft:crafting_shaped railways:black_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_8x/black_copper_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/black minecraft:crafting_shaped railways:black_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_8x/black_flat_riveted_locometal | minecraft:crafting_shaped | c:dyes/black minecraft:crafting_shaped railways:black_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_8x/black_flat_slashed_locometal | minecraft:crafting_shaped | c:dyes/black minecraft:crafting_shaped railways:black_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_8x/black_iron_wrapped_locometal | minecraft:crafting_shaped | c:dyes/black minecraft:crafting_shaped railways:black_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_8x/black_iron_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/black minecraft:crafting_shaped railways:black_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_8x/black_locometal_boiler | minecraft:crafting_shaped | c:dyes/black minecraft:crafting_shaped railways:black_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_8x/black_locometal_pillar | minecraft:crafting_shaped | c:dyes/black minecraft:crafting_shaped railways:black_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_8x/black_locometal_smokebox | minecraft:crafting_shaped | c:dyes/black minecraft:crafting_shaped railways:black_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_8x/black_plated_locometal | minecraft:crafting_shaped | c:dyes/black minecraft:crafting_shaped railways:black_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_8x/black_riveted_locometal | minecraft:crafting_shaped | c:dyes/black minecraft:crafting_shaped railways:black_riveted_locometal railways:palettes/dye_groups/riveted
railways:crafting/palettes/dyeing_8x/black_slashed_locometal | minecraft:crafting_shaped | c:dyes/black minecraft:crafting_shaped railways:black_slashed_locometal railways:palettes/dye_groups/slashed
railways:crafting/palettes/dyeing_8x/blue_brass_wrapped_locometal | minecraft:crafting_shaped | c:dyes/blue minecraft:crafting_shaped railways:blue_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_8x/blue_brass_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/blue minecraft:crafting_shaped railways:blue_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_8x/blue_copper_wrapped_locometal | minecraft:crafting_shaped | c:dyes/blue minecraft:crafting_shaped railways:blue_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_8x/blue_copper_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/blue minecraft:crafting_shaped railways:blue_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_8x/blue_flat_riveted_locometal | minecraft:crafting_shaped | c:dyes/blue minecraft:crafting_shaped railways:blue_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_8x/blue_flat_slashed_locometal | minecraft:crafting_shaped | c:dyes/blue minecraft:crafting_shaped railways:blue_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_8x/blue_iron_wrapped_locometal | minecraft:crafting_shaped | c:dyes/blue minecraft:crafting_shaped railways:blue_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_8x/blue_iron_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/blue minecraft:crafting_shaped railways:blue_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_8x/blue_locometal_boiler | minecraft:crafting_shaped | c:dyes/blue minecraft:crafting_shaped railways:blue_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_8x/blue_locometal_pillar | minecraft:crafting_shaped | c:dyes/blue minecraft:crafting_shaped railways:blue_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_8x/blue_locometal_smokebox | minecraft:crafting_shaped | c:dyes/blue minecraft:crafting_shaped railways:blue_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_8x/blue_plated_locometal | minecraft:crafting_shaped | c:dyes/blue minecraft:crafting_shaped railways:blue_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_8x/blue_riveted_locometal | minecraft:crafting_shaped | c:dyes/blue minecraft:crafting_shaped railways:blue_riveted_locometal railways:palettes/dye_groups/riveted
railways:crafting/palettes/dyeing_8x/blue_slashed_locometal | minecraft:crafting_shaped | c:dyes/blue minecraft:crafting_shaped railways:blue_slashed_locometal railways:palettes/dye_groups/slashed
railways:crafting/palettes/dyeing_8x/brown_brass_wrapped_locometal | minecraft:crafting_shaped | c:dyes/brown minecraft:crafting_shaped railways:brown_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_8x/brown_brass_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/brown minecraft:crafting_shaped railways:brown_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_8x/brown_copper_wrapped_locometal | minecraft:crafting_shaped | c:dyes/brown minecraft:crafting_shaped railways:brown_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_8x/brown_copper_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/brown minecraft:crafting_shaped railways:brown_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_8x/brown_flat_riveted_locometal | minecraft:crafting_shaped | c:dyes/brown minecraft:crafting_shaped railways:brown_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_8x/brown_flat_slashed_locometal | minecraft:crafting_shaped | c:dyes/brown minecraft:crafting_shaped railways:brown_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_8x/brown_iron_wrapped_locometal | minecraft:crafting_shaped | c:dyes/brown minecraft:crafting_shaped railways:brown_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_8x/brown_iron_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/brown minecraft:crafting_shaped railways:brown_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_8x/brown_locometal_boiler | minecraft:crafting_shaped | c:dyes/brown minecraft:crafting_shaped railways:brown_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_8x/brown_locometal_pillar | minecraft:crafting_shaped | c:dyes/brown minecraft:crafting_shaped railways:brown_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_8x/brown_locometal_smokebox | minecraft:crafting_shaped | c:dyes/brown minecraft:crafting_shaped railways:brown_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_8x/brown_plated_locometal | minecraft:crafting_shaped | c:dyes/brown minecraft:crafting_shaped railways:brown_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_8x/brown_riveted_locometal | minecraft:crafting_shaped | c:dyes/brown minecraft:crafting_shaped railways:brown_riveted_locometal railways:palettes/dye_groups/riveted
railways:crafting/palettes/dyeing_8x/brown_slashed_locometal | minecraft:crafting_shaped | c:dyes/brown minecraft:crafting_shaped railways:brown_slashed_locometal railways:palettes/dye_groups/slashed
railways:crafting/palettes/dyeing_8x/cyan_brass_wrapped_locometal | minecraft:crafting_shaped | c:dyes/cyan minecraft:crafting_shaped railways:cyan_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_8x/cyan_brass_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/cyan minecraft:crafting_shaped railways:cyan_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_8x/cyan_copper_wrapped_locometal | minecraft:crafting_shaped | c:dyes/cyan minecraft:crafting_shaped railways:cyan_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_8x/cyan_copper_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/cyan minecraft:crafting_shaped railways:cyan_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_8x/cyan_flat_riveted_locometal | minecraft:crafting_shaped | c:dyes/cyan minecraft:crafting_shaped railways:cyan_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_8x/cyan_flat_slashed_locometal | minecraft:crafting_shaped | c:dyes/cyan minecraft:crafting_shaped railways:cyan_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_8x/cyan_iron_wrapped_locometal | minecraft:crafting_shaped | c:dyes/cyan minecraft:crafting_shaped railways:cyan_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_8x/cyan_iron_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/cyan minecraft:crafting_shaped railways:cyan_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_8x/cyan_locometal_boiler | minecraft:crafting_shaped | c:dyes/cyan minecraft:crafting_shaped railways:cyan_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_8x/cyan_locometal_pillar | minecraft:crafting_shaped | c:dyes/cyan minecraft:crafting_shaped railways:cyan_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_8x/cyan_locometal_smokebox | minecraft:crafting_shaped | c:dyes/cyan minecraft:crafting_shaped railways:cyan_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_8x/cyan_plated_locometal | minecraft:crafting_shaped | c:dyes/cyan minecraft:crafting_shaped railways:cyan_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_8x/cyan_riveted_locometal | minecraft:crafting_shaped | c:dyes/cyan minecraft:crafting_shaped railways:cyan_riveted_locometal railways:palettes/dye_groups/riveted
railways:crafting/palettes/dyeing_8x/cyan_slashed_locometal | minecraft:crafting_shaped | c:dyes/cyan minecraft:crafting_shaped railways:cyan_slashed_locometal railways:palettes/dye_groups/slashed
railways:crafting/palettes/dyeing_8x/gray_brass_wrapped_locometal | minecraft:crafting_shaped | c:dyes/gray minecraft:crafting_shaped railways:gray_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_8x/gray_brass_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/gray minecraft:crafting_shaped railways:gray_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_8x/gray_copper_wrapped_locometal | minecraft:crafting_shaped | c:dyes/gray minecraft:crafting_shaped railways:gray_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_8x/gray_copper_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/gray minecraft:crafting_shaped railways:gray_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_8x/gray_flat_riveted_locometal | minecraft:crafting_shaped | c:dyes/gray minecraft:crafting_shaped railways:gray_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_8x/gray_flat_slashed_locometal | minecraft:crafting_shaped | c:dyes/gray minecraft:crafting_shaped railways:gray_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_8x/gray_iron_wrapped_locometal | minecraft:crafting_shaped | c:dyes/gray minecraft:crafting_shaped railways:gray_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_8x/gray_iron_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/gray minecraft:crafting_shaped railways:gray_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_8x/gray_locometal_boiler | minecraft:crafting_shaped | c:dyes/gray minecraft:crafting_shaped railways:gray_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_8x/gray_locometal_pillar | minecraft:crafting_shaped | c:dyes/gray minecraft:crafting_shaped railways:gray_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_8x/gray_locometal_smokebox | minecraft:crafting_shaped | c:dyes/gray minecraft:crafting_shaped railways:gray_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_8x/gray_plated_locometal | minecraft:crafting_shaped | c:dyes/gray minecraft:crafting_shaped railways:gray_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_8x/gray_riveted_locometal | minecraft:crafting_shaped | c:dyes/gray minecraft:crafting_shaped railways:gray_riveted_locometal railways:palettes/dye_groups/riveted
railways:crafting/palettes/dyeing_8x/gray_slashed_locometal | minecraft:crafting_shaped | c:dyes/gray minecraft:crafting_shaped railways:gray_slashed_locometal railways:palettes/dye_groups/slashed
railways:crafting/palettes/dyeing_8x/green_brass_wrapped_locometal | minecraft:crafting_shaped | c:dyes/green minecraft:crafting_shaped railways:green_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_8x/green_brass_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/green minecraft:crafting_shaped railways:green_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_8x/green_copper_wrapped_locometal | minecraft:crafting_shaped | c:dyes/green minecraft:crafting_shaped railways:green_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_8x/green_copper_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/green minecraft:crafting_shaped railways:green_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_8x/green_flat_riveted_locometal | minecraft:crafting_shaped | c:dyes/green minecraft:crafting_shaped railways:green_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_8x/green_flat_slashed_locometal | minecraft:crafting_shaped | c:dyes/green minecraft:crafting_shaped railways:green_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_8x/green_iron_wrapped_locometal | minecraft:crafting_shaped | c:dyes/green minecraft:crafting_shaped railways:green_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_8x/green_iron_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/green minecraft:crafting_shaped railways:green_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_8x/green_locometal_boiler | minecraft:crafting_shaped | c:dyes/green minecraft:crafting_shaped railways:green_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_8x/green_locometal_pillar | minecraft:crafting_shaped | c:dyes/green minecraft:crafting_shaped railways:green_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_8x/green_locometal_smokebox | minecraft:crafting_shaped | c:dyes/green minecraft:crafting_shaped railways:green_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_8x/green_plated_locometal | minecraft:crafting_shaped | c:dyes/green minecraft:crafting_shaped railways:green_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_8x/green_riveted_locometal | minecraft:crafting_shaped | c:dyes/green minecraft:crafting_shaped railways:green_riveted_locometal railways:palettes/dye_groups/riveted
railways:crafting/palettes/dyeing_8x/green_slashed_locometal | minecraft:crafting_shaped | c:dyes/green minecraft:crafting_shaped railways:green_slashed_locometal railways:palettes/dye_groups/slashed
railways:crafting/palettes/dyeing_8x/light_blue_brass_wrapped_locometal | minecraft:crafting_shaped | c:dyes/light_blue minecraft:crafting_shaped railways:light_blue_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_8x/light_blue_brass_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/light_blue minecraft:crafting_shaped railways:light_blue_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_8x/light_blue_copper_wrapped_locometal | minecraft:crafting_shaped | c:dyes/light_blue minecraft:crafting_shaped railways:light_blue_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_8x/light_blue_copper_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/light_blue minecraft:crafting_shaped railways:light_blue_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_8x/light_blue_flat_riveted_locometal | minecraft:crafting_shaped | c:dyes/light_blue minecraft:crafting_shaped railways:light_blue_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_8x/light_blue_flat_slashed_locometal | minecraft:crafting_shaped | c:dyes/light_blue minecraft:crafting_shaped railways:light_blue_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_8x/light_blue_iron_wrapped_locometal | minecraft:crafting_shaped | c:dyes/light_blue minecraft:crafting_shaped railways:light_blue_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_8x/light_blue_iron_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/light_blue minecraft:crafting_shaped railways:light_blue_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_8x/light_blue_locometal_boiler | minecraft:crafting_shaped | c:dyes/light_blue minecraft:crafting_shaped railways:light_blue_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_8x/light_blue_locometal_pillar | minecraft:crafting_shaped | c:dyes/light_blue minecraft:crafting_shaped railways:light_blue_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_8x/light_blue_locometal_smokebox | minecraft:crafting_shaped | c:dyes/light_blue minecraft:crafting_shaped railways:light_blue_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_8x/light_blue_plated_locometal | minecraft:crafting_shaped | c:dyes/light_blue minecraft:crafting_shaped railways:light_blue_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_8x/light_blue_riveted_locometal | minecraft:crafting_shaped | c:dyes/light_blue minecraft:crafting_shaped railways:light_blue_riveted_locometal railways:palettes/dye_groups/riveted
railways:crafting/palettes/dyeing_8x/light_blue_slashed_locometal | minecraft:crafting_shaped | c:dyes/light_blue minecraft:crafting_shaped railways:light_blue_slashed_locometal railways:palettes/dye_groups/slashed
railways:crafting/palettes/dyeing_8x/light_gray_brass_wrapped_locometal | minecraft:crafting_shaped | c:dyes/light_gray minecraft:crafting_shaped railways:light_gray_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_8x/light_gray_brass_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/light_gray minecraft:crafting_shaped railways:light_gray_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_8x/light_gray_copper_wrapped_locometal | minecraft:crafting_shaped | c:dyes/light_gray minecraft:crafting_shaped railways:light_gray_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_8x/light_gray_copper_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/light_gray minecraft:crafting_shaped railways:light_gray_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_8x/light_gray_flat_riveted_locometal | minecraft:crafting_shaped | c:dyes/light_gray minecraft:crafting_shaped railways:light_gray_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_8x/light_gray_flat_slashed_locometal | minecraft:crafting_shaped | c:dyes/light_gray minecraft:crafting_shaped railways:light_gray_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_8x/light_gray_iron_wrapped_locometal | minecraft:crafting_shaped | c:dyes/light_gray minecraft:crafting_shaped railways:light_gray_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_8x/light_gray_iron_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/light_gray minecraft:crafting_shaped railways:light_gray_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_8x/light_gray_locometal_boiler | minecraft:crafting_shaped | c:dyes/light_gray minecraft:crafting_shaped railways:light_gray_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_8x/light_gray_locometal_pillar | minecraft:crafting_shaped | c:dyes/light_gray minecraft:crafting_shaped railways:light_gray_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_8x/light_gray_locometal_smokebox | minecraft:crafting_shaped | c:dyes/light_gray minecraft:crafting_shaped railways:light_gray_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_8x/light_gray_plated_locometal | minecraft:crafting_shaped | c:dyes/light_gray minecraft:crafting_shaped railways:light_gray_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_8x/light_gray_riveted_locometal | minecraft:crafting_shaped | c:dyes/light_gray minecraft:crafting_shaped railways:light_gray_riveted_locometal railways:palettes/dye_groups/riveted
railways:crafting/palettes/dyeing_8x/light_gray_slashed_locometal | minecraft:crafting_shaped | c:dyes/light_gray minecraft:crafting_shaped railways:light_gray_slashed_locometal railways:palettes/dye_groups/slashed
railways:crafting/palettes/dyeing_8x/lime_brass_wrapped_locometal | minecraft:crafting_shaped | c:dyes/lime minecraft:crafting_shaped railways:lime_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_8x/lime_brass_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/lime minecraft:crafting_shaped railways:lime_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_8x/lime_copper_wrapped_locometal | minecraft:crafting_shaped | c:dyes/lime minecraft:crafting_shaped railways:lime_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_8x/lime_copper_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/lime minecraft:crafting_shaped railways:lime_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_8x/lime_flat_riveted_locometal | minecraft:crafting_shaped | c:dyes/lime minecraft:crafting_shaped railways:lime_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_8x/lime_flat_slashed_locometal | minecraft:crafting_shaped | c:dyes/lime minecraft:crafting_shaped railways:lime_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_8x/lime_iron_wrapped_locometal | minecraft:crafting_shaped | c:dyes/lime minecraft:crafting_shaped railways:lime_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_8x/lime_iron_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/lime minecraft:crafting_shaped railways:lime_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_8x/lime_locometal_boiler | minecraft:crafting_shaped | c:dyes/lime minecraft:crafting_shaped railways:lime_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_8x/lime_locometal_pillar | minecraft:crafting_shaped | c:dyes/lime minecraft:crafting_shaped railways:lime_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_8x/lime_locometal_smokebox | minecraft:crafting_shaped | c:dyes/lime minecraft:crafting_shaped railways:lime_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_8x/lime_plated_locometal | minecraft:crafting_shaped | c:dyes/lime minecraft:crafting_shaped railways:lime_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_8x/lime_riveted_locometal | minecraft:crafting_shaped | c:dyes/lime minecraft:crafting_shaped railways:lime_riveted_locometal railways:palettes/dye_groups/riveted
railways:crafting/palettes/dyeing_8x/lime_slashed_locometal | minecraft:crafting_shaped | c:dyes/lime minecraft:crafting_shaped railways:lime_slashed_locometal railways:palettes/dye_groups/slashed
railways:crafting/palettes/dyeing_8x/magenta_brass_wrapped_locometal | minecraft:crafting_shaped | c:dyes/magenta minecraft:crafting_shaped railways:magenta_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_8x/magenta_brass_wrapped_locometal_boiler | minecraft:crafting_shaped | c:dyes/magenta minecraft:crafting_shaped railways:magenta_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_8x/magenta_copper_wrapped_locometal | minecraft:crafting_shaped | c:dyes/magenta minecraft:crafting_shaped railways:magenta_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
