minecraft:repair_item | occultism:crafting_special_repairitem | occultism:crafting_special_repairitem
occultism:crushing/electrum_dust_from_ingot | occultism:crushing | c:dusts/electrum c:ingots/electrum neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/emerald_dust_from_gem | occultism:crushing | c:dusts/emerald c:gems/emerald neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/emerald_dust_from_ore | occultism:crushing | c:dusts/emerald c:ores/emerald neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/end_stone_dust | occultism:crushing | c:dusts/end_stone c:end_stones occultism:crushing occultism:tag
occultism:crushing/ender_pearl_dust_from_tag | occultism:crushing | c:dusts/ender_pearl c:ender_pearls neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/enderium_dust_from_ingot | occultism:crushing | c:dusts/enderium c:ingots/enderium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/energite_dust_from_ingot | occultism:crushing | c:dusts/energite c:ingots/energite neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/entro_dust_from_gem | occultism:crushing | c:dusts/entro c:gems/entro neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/fluix_dust_from_gem | occultism:crushing | c:dusts/fluix c:gems/fluix neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/fluorite_dust_from_gem | occultism:crushing | c:dusts/fluorite c:gems/fluorite neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/fluorite_dust_from_ore | occultism:crushing | c:dusts/fluorite c:ores/fluorite neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/gold_dirty_dust_from_clump | occultism:crushing | c:clumps/gold c:dirty_dusts/gold neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/gold_dust_from_ingot | occultism:crushing | c:dusts/gold c:ingots/gold neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/gold_dust_from_ore | occultism:crushing | c:dusts/gold c:ores/gold neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/gold_dust_from_raw | occultism:crushing | c:dusts/gold c:raw_materials/gold neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/gold_dust_from_raw_block | occultism:crushing | c:dusts/gold c:storage_blocks/raw_gold neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/graphite_dirty_dust_from_clump | occultism:crushing | c:clumps/graphite c:dirty_dusts/graphite neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/graphite_dust_from_ingot | occultism:crushing | c:dusts/graphite c:ingots/graphite neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/graphite_dust_from_ore | occultism:crushing | c:dusts/graphite c:ores/graphite neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/graphite_dust_from_raw | occultism:crushing | c:dusts/graphite c:raw_materials/graphite neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/graphite_dust_from_raw_block | occultism:crushing | c:dusts/graphite c:storage_blocks/raw_graphite neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/he_mox_dust_from_ingot | occultism:crushing | c:dusts/he_mox c:ingots/he_mox neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/he_uranium_dust_from_ingot | occultism:crushing | c:dusts/he_uranium c:ingots/he_uranium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/hop_graphite_dust_from_ingot | occultism:crushing | c:dusts/hop_graphite c:ingots/hop_graphite neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/ice_dust | occultism:crushing | c:dusts/ice minecraft:ice occultism:crushing occultism:tag
occultism:crushing/iesnium_dirty_dust_from_clump | occultism:crushing | c:clumps/iesnium c:dirty_dusts/iesnium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/iesnium_dust_from_ingot | occultism:crushing | c:dusts/iesnium c:ingots/iesnium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/iesnium_dust_from_ore | occultism:crushing | c:dusts/iesnium c:ores/iesnium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/iesnium_dust_from_raw | occultism:crushing | c:dusts/iesnium c:raw_materials/iesnium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/iesnium_dust_from_raw_block | occultism:crushing | c:dusts/iesnium c:storage_blocks/raw_iesnium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/invar_dust_from_ingot | occultism:crushing | c:dusts/invar c:ingots/invar neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/iridium_dirty_dust_from_clump | occultism:crushing | c:clumps/iridium c:dirty_dusts/iridium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/iridium_dust_from_ingot | occultism:crushing | c:dusts/iridium c:ingots/iridium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/iridium_dust_from_ore | occultism:crushing | c:dusts/iridium c:ores/iridium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/iridium_dust_from_raw | occultism:crushing | c:dusts/iridium c:raw_materials/iridium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/iridium_dust_from_raw_block | occultism:crushing | c:dusts/iridium c:storage_blocks/raw_iridium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/iron_dirty_dust_from_clump | occultism:crushing | c:clumps/iron c:dirty_dusts/iron neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/iron_dust_from_ingot | occultism:crushing | c:dusts/iron c:ingots/iron neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/iron_dust_from_ore | occultism:crushing | c:dusts/iron c:ores/iron neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/iron_dust_from_raw | occultism:crushing | c:dusts/iron c:raw_materials/iron neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/iron_dust_from_raw_block | occultism:crushing | c:dusts/iron c:storage_blocks/raw_iron neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/kanthal_dust_from_ingot | occultism:crushing | c:dusts/kanthal c:ingots/kanthal neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/lapis_dust_from_gem | occultism:crushing | c:dusts/lapis c:gems/lapis neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/lapis_dust_from_ore | occultism:crushing | c:dusts/lapis c:ores/lapis neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/le_mox_dust_from_ingot | occultism:crushing | c:dusts/le_mox c:ingots/le_mox neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/le_uranium_dust_from_ingot | occultism:crushing | c:dusts/le_uranium c:ingots/le_uranium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/lead_dirty_dust_from_clump | occultism:crushing | c:clumps/lead c:dirty_dusts/lead neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/lead_dust_from_ingot | occultism:crushing | c:dusts/lead c:ingots/lead neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/lead_dust_from_ore | occultism:crushing | c:dusts/lead c:ores/lead neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/lead_dust_from_raw | occultism:crushing | c:dusts/lead c:raw_materials/lead neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/lead_dust_from_raw_block | occultism:crushing | c:dusts/lead c:storage_blocks/raw_lead neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/lignite_coal_dust_from_ore | occultism:crushing | c:dusts/lignite_coal c:ores/lignite_coal neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/lumium_dust_from_ingot | occultism:crushing | c:dusts/lumium c:ingots/lumium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/mithril_dirty_dust_from_clump | occultism:crushing | c:clumps/mithril c:dirty_dusts/mithril neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/mithril_dust_from_ingot | occultism:crushing | c:dusts/mithril c:ingots/mithril neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/mithril_dust_from_ore | occultism:crushing | c:dusts/mithril c:ores/mithril neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/mithril_dust_from_raw | occultism:crushing | c:dusts/mithril c:raw_materials/mithril neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/mithril_dust_from_raw_block | occultism:crushing | c:dusts/mithril c:storage_blocks/raw_mithril neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/monazite_dust_from_ore | occultism:crushing | c:dusts/monazite c:ores/monazite neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/netherite_dust_from_ingot | occultism:crushing | c:dusts/netherite c:ingots/netherite neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/netherite_scrap_dust_from_ore | occultism:crushing | c:dusts/netherite_scrap c:ores/netherite_scrap neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/netherite_scrap_dust_from_scrap | occultism:crushing | c:dusts/netherite_scrap minecraft:netherite_scrap neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/nickel_dirty_dust_from_clump | occultism:crushing | c:clumps/nickel c:dirty_dusts/nickel neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/nickel_dust_from_ingot | occultism:crushing | c:dusts/nickel c:ingots/nickel neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/nickel_dust_from_ore | occultism:crushing | c:dusts/nickel c:ores/nickel neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/nickel_dust_from_raw | occultism:crushing | c:dusts/nickel c:raw_materials/nickel neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/nickel_dust_from_raw_block | occultism:crushing | c:dusts/nickel c:storage_blocks/raw_nickel neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/obsidian_dust | occultism:crushing | c:dusts/obsidian c:obsidians occultism:crushing occultism:tag
occultism:crushing/osmium_dirty_dust_from_clump | occultism:crushing | c:clumps/osmium c:dirty_dusts/osmium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/osmium_dust_from_ingot | occultism:crushing | c:dusts/osmium c:ingots/osmium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/osmium_dust_from_ore | occultism:crushing | c:dusts/osmium c:ores/osmium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/osmium_dust_from_raw | occultism:crushing | c:dusts/osmium c:raw_materials/osmium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/osmium_dust_from_raw_block | occultism:crushing | c:dusts/osmium c:storage_blocks/raw_osmium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/othercobblerock | occultism:crushing | occultism:crushing occultism:item occultism:othercobblerock occultism:otherrock
occultism:crushing/othercobblestone | occultism:crushing | neoforge:not neoforge:tag_empty occultism:crushing occultism:othercobblestone occultism:otherstone occultism:tag
occultism:crushing/packed_ice_dust | occultism:crushing | c:dusts/packed_ice minecraft:packed_ice occultism:crushing occultism:tag
occultism:crushing/peridot_dust_from_gem | occultism:crushing | c:dusts/peridot c:gems/peridot neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/peridot_dust_from_ore | occultism:crushing | c:dusts/peridot c:ores/peridot neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/pewter_dirty_dust_from_clump | occultism:crushing | c:clumps/pewter c:dirty_dusts/pewter neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/pewter_dust_from_ingot | occultism:crushing | c:dusts/pewter c:ingots/pewter neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/pewter_dust_from_ore | occultism:crushing | c:dusts/pewter c:ores/pewter neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/pewter_dust_from_raw | occultism:crushing | c:dusts/pewter c:raw_materials/pewter neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/pewter_dust_from_raw_block | occultism:crushing | c:dusts/pewter c:storage_blocks/raw_pewter neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/platinum_dirty_dust_from_clump | occultism:crushing | c:clumps/platinum c:dirty_dusts/platinum neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/platinum_dust_from_ingot | occultism:crushing | c:dusts/platinum c:ingots/platinum neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/platinum_dust_from_ore | occultism:crushing | c:dusts/platinum c:ores/platinum neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/platinum_dust_from_raw | occultism:crushing | c:dusts/platinum c:raw_materials/platinum neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/platinum_dust_from_raw_block | occultism:crushing | c:dusts/platinum c:storage_blocks/raw_platinum neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/plutonium_dust_from_ingot | occultism:crushing | c:dusts/plutonium c:ingots/plutonium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/quartz_dust_from_gem | occultism:crushing | c:dusts/quartz c:gems/quartz neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/quartz_dust_from_ore | occultism:crushing | c:dusts/quartz c:ores/quartz neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/quicksilver_dirty_dust_from_clump | occultism:crushing | c:clumps/quicksilver c:dirty_dusts/quicksilver neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/quicksilver_dust_from_ingot | occultism:crushing | c:dusts/quicksilver c:ingots/quicksilver neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/quicksilver_dust_from_ore | occultism:crushing | c:dusts/quicksilver c:ores/quicksilver neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/quicksilver_dust_from_raw | occultism:crushing | c:dusts/quicksilver c:raw_materials/quicksilver neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/quicksilver_dust_from_raw_block | occultism:crushing | c:dusts/quicksilver c:storage_blocks/raw_quicksilver neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/redstone_dust_from_ore | occultism:crushing | c:dusts/redstone c:ores/redstone neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/refined_obsidian_dust_from_ingot | occultism:crushing | c:dusts/refined_obsidian c:ingots/refined_obsidian neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/ruby_dust_from_gem | occultism:crushing | c:dusts/ruby c:gems/ruby neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/ruby_dust_from_ore | occultism:crushing | c:dusts/ruby c:ores/ruby neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/salt_dust_from_ore | occultism:crushing | c:dusts/salt c:ores/salt neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/saltpeter_dust_from_ore | occultism:crushing | c:dusts/saltpeter c:ores/saltpeter neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/sapphire_dust_from_gem | occultism:crushing | c:dusts/sapphire c:gems/sapphire neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/sapphire_dust_from_ore | occultism:crushing | c:dusts/sapphire c:ores/sapphire neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/signalum_dust_from_ingot | occultism:crushing | c:dusts/signalum c:ingots/signalum neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/silicon_dust_from_ingot | occultism:crushing | c:dusts/silicon c:ingots/silicon neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/silver_dirty_dust_from_clump | occultism:crushing | c:clumps/silver c:dirty_dusts/silver neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/silver_dust_from_ingot | occultism:crushing | c:dusts/silver c:ingots/silver neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/silver_dust_from_ore | occultism:crushing | c:dusts/silver c:ores/silver neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/silver_dust_from_raw | occultism:crushing | c:dusts/silver c:raw_materials/silver neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/silver_dust_from_raw_block | occultism:crushing | c:dusts/silver c:storage_blocks/raw_silver neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/sky_stone_dust | occultism:crushing | c:dusts/sky_stone c:sky_stones neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/steel_dust_from_ingot | occultism:crushing | c:dusts/steel c:ingots/steel neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/sulfur_dust_from_gem | occultism:crushing | c:dusts/sulfur c:gems/sulfur neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/sulfur_dust_from_ore | occultism:crushing | c:dusts/sulfur c:ores/sulfur neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/superconductor_dust_from_ingot | occultism:crushing | c:dusts/superconductor c:ingots/superconductor neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/tin_dirty_dust_from_clump | occultism:crushing | c:clumps/tin c:dirty_dusts/tin neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/tin_dust_from_ingot | occultism:crushing | c:dusts/tin c:ingots/tin neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/tin_dust_from_ore | occultism:crushing | c:dusts/tin c:ores/tin neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/tin_dust_from_raw | occultism:crushing | c:dusts/tin c:raw_materials/tin neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/tin_dust_from_raw_block | occultism:crushing | c:dusts/tin c:storage_blocks/raw_tin neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/titanium_dirty_dust_from_clump | occultism:crushing | c:clumps/titanium c:dirty_dusts/titanium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/titanium_dust_from_ingot | occultism:crushing | c:dusts/titanium c:ingots/titanium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/titanium_dust_from_ore | occultism:crushing | c:dusts/titanium c:ores/titanium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/titanium_dust_from_raw | occultism:crushing | c:dusts/titanium c:raw_materials/titanium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/titanium_dust_from_raw_block | occultism:crushing | c:dusts/titanium c:storage_blocks/raw_titanium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/topaz_dust_from_gem | occultism:crushing | c:dusts/topaz c:gems/topaz neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/topaz_dust_from_ore | occultism:crushing | c:dusts/topaz c:ores/topaz neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/tungsten_dirty_dust_from_clump | occultism:crushing | c:clumps/tungsten c:dirty_dusts/tungsten neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/tungsten_dust_from_ingot | occultism:crushing | c:dusts/tungsten c:ingots/tungsten neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/tungsten_dust_from_ore | occultism:crushing | c:dusts/tungsten c:ores/tungsten neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/tungsten_dust_from_raw | occultism:crushing | c:dusts/tungsten c:raw_materials/tungsten neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/tungsten_dust_from_raw_block | occultism:crushing | c:dusts/tungsten c:storage_blocks/raw_tungsten neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/tyrian_steel_dust_from_ingot | occultism:crushing | c:dusts/tyrian_steel c:ingots/tyrian_steel neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/unobtainium_allthemodium_alloy_dust_from_ingot | occultism:crushing | c:dusts/unobtainium_allthemodium_alloy c:ingots/unobtainium_allthemodium_alloy neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/unobtainium_dirty_dust_from_clump | occultism:crushing | c:clumps/unobtainium c:dirty_dusts/unobtainium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/unobtainium_dust_from_ingot | occultism:crushing | c:dusts/unobtainium c:ingots/unobtainium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/unobtainium_dust_from_ore | occultism:crushing | c:dusts/unobtainium c:ores/unobtainium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/unobtainium_dust_from_raw | occultism:crushing | c:dusts/unobtainium c:raw_materials/unobtainium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/unobtainium_dust_from_raw_block | occultism:crushing | c:dusts/unobtainium c:storage_blocks/raw_unobtainium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/unobtainium_vibranium_alloy_dust_from_ingot | occultism:crushing | c:dusts/unobtainium_vibranium_alloy c:ingots/unobtainium_vibranium_alloy neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/uranium_235_dust_from_ingot | occultism:crushing | c:dusts/uranium_235 c:ingots/uranium_235 neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/uranium_238_dust_from_ingot | occultism:crushing | c:dusts/uranium_238 c:ingots/uranium_238 neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/uranium_dirty_dust_from_clump | occultism:crushing | c:clumps/uranium c:dirty_dusts/uranium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/uranium_dust_from_ingot | occultism:crushing | c:dusts/uranium c:ingots/uranium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/uranium_dust_from_ore | occultism:crushing | c:dusts/uranium c:ores/uranium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/uranium_dust_from_raw | occultism:crushing | c:dusts/uranium c:raw_materials/uranium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/uranium_dust_from_raw_block | occultism:crushing | c:dusts/uranium c:storage_blocks/raw_uranium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/vibranium_allthemodium_alloy_dust_from_ingot | occultism:crushing | c:dusts/vibranium_allthemodium_alloy c:ingots/vibranium_allthemodium_alloy neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/vibranium_dirty_dust_from_clump | occultism:crushing | c:clumps/vibranium c:dirty_dusts/vibranium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/vibranium_dust_from_ingot | occultism:crushing | c:dusts/vibranium c:ingots/vibranium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/vibranium_dust_from_ore | occultism:crushing | c:dusts/vibranium c:ores/vibranium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/vibranium_dust_from_raw | occultism:crushing | c:dusts/vibranium c:raw_materials/vibranium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/vibranium_dust_from_raw_block | occultism:crushing | c:dusts/vibranium c:storage_blocks/raw_vibranium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/wind_charge_from_rod | occultism:crushing | c:rods/breeze minecraft:wind_charge occultism:crushing occultism:item
occultism:crushing/zinc_dirty_dust_from_clump | occultism:crushing | c:clumps/zinc c:dirty_dusts/zinc neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/zinc_dust_from_ingot | occultism:crushing | c:dusts/zinc c:ingots/zinc neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/zinc_dust_from_ore | occultism:crushing | c:dusts/zinc c:ores/zinc neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/zinc_dust_from_raw | occultism:crushing | c:dusts/zinc c:raw_materials/zinc neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/zinc_dust_from_raw_block | occultism:crushing | c:dusts/zinc c:storage_blocks/raw_zinc neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crystallize/amber_from_dust | occultism:crystallize | c:dusts/amber c:gems/amber neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/amber_from_ore | occultism:crystallize | c:gems/amber c:ores/amber neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/amethyst_from_block | occultism:crystallize | minecraft:amethyst_block minecraft:amethyst_shard occultism:crystallize occultism:item
occultism:crystallize/amethyst_from_dust | occultism:crystallize | c:dusts/amethyst c:gems/amethyst neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/apatite_from_dust | occultism:crystallize | c:dusts/apatite c:gems/apatite neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/apatite_from_ore | occultism:crystallize | c:gems/apatite c:ores/apatite neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/arcane_crystal_from_dust | occultism:crystallize | c:dusts/arcane_crystal c:gems/arcane_crystal neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/arcane_crystal_from_ore | occultism:crystallize | c:gems/arcane_crystal c:ores/arcane_crystal neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/black_quartz_from_dust | occultism:crystallize | c:dusts/black_quartz c:gems/black_quartz neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/black_quartz_from_ore | occultism:crystallize | c:gems/black_quartz c:ores/black_quartz neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/blackstone | occultism:crystallize | c:dusts/blackstone minecraft:blackstone occultism:crystallize occultism:item
occultism:crystallize/blue_ice | occultism:crystallize | c:dusts/blue_ice minecraft:blue_ice occultism:crystallize occultism:item
occultism:crystallize/budding_amethyst | occultism:crystallize | minecraft:amethyst_cluster minecraft:budding_amethyst occultism:crystallize occultism:item
occultism:crystallize/calcite | occultism:crystallize | c:dusts/calcite minecraft:calcite occultism:crystallize occultism:item
occultism:crystallize/certus_quartz_from_dust | occultism:crystallize | c:dusts/certus_quartz c:gems/certus_quartz neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/charcoal | occultism:crystallize | c:dusts/charcoal minecraft:charcoal neoforge:not neoforge:tag_empty occultism:crystallize occultism:item
occultism:crystallize/cinnabar_from_dust | occultism:crystallize | c:dusts/cinnabar c:gems/cinnabar neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
occultism:crystallize/cinnabar_from_ore | occultism:crystallize | c:gems/cinnabar c:ores/cinnabar neoforge:not neoforge:tag_empty occultism:crystallize occultism:tag
