recipe_integration:aether/freezing/biomeswevegone/packed_black_ice | aether:freezing | aether:freezing biomeswevegone:black_ice biomeswevegone:packed_black_ice neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/cedar_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:cedar_log natures_spirit:stripped_cedar_log neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/cedar_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:cedar_wood natures_spirit:stripped_cedar_wood neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/coconut_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:coconut_log natures_spirit:stripped_coconut_log neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/coconut_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:coconut_wood natures_spirit:stripped_coconut_wood neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/cypress_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:cypress_log natures_spirit:stripped_cypress_log neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/cypress_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:cypress_wood natures_spirit:stripped_cypress_wood neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/fir_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:fir_log natures_spirit:stripped_fir_log neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/fir_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:fir_wood natures_spirit:stripped_fir_wood neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/ghaf_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:ghaf_log natures_spirit:stripped_ghaf_log neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/ghaf_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:ghaf_wood natures_spirit:stripped_ghaf_wood neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/joshua_bundle | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:joshua_bundle natures_spirit:stripped_joshua_bundle neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/joshua_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:joshua_log natures_spirit:stripped_joshua_log neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/larch_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:larch_log natures_spirit:stripped_larch_log neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/larch_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:larch_wood natures_spirit:stripped_larch_wood neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/mahogany_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:mahogany_log natures_spirit:stripped_mahogany_log neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/mahogany_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:mahogany_wood natures_spirit:stripped_mahogany_wood neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/maple_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:maple_log natures_spirit:stripped_maple_log neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/maple_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:maple_wood natures_spirit:stripped_maple_wood neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/olive_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:olive_log natures_spirit:stripped_olive_log neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/olive_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:olive_wood natures_spirit:stripped_olive_wood neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/palo_verde_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:palo_verde_log natures_spirit:stripped_palo_verde_log neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/palo_verde_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:palo_verde_wood natures_spirit:stripped_palo_verde_wood neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/redwood_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:redwood_log natures_spirit:stripped_redwood_log neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/redwood_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:redwood_wood natures_spirit:stripped_redwood_wood neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/saxaul_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:saxaul_log natures_spirit:stripped_saxaul_log neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/saxaul_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:saxaul_wood natures_spirit:stripped_saxaul_wood neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/sugi_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:stripped_sugi_log natures_spirit:sugi_log neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/sugi_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:stripped_sugi_wood natures_spirit:sugi_wood neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/willow_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:stripped_willow_log natures_spirit:willow_log neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/willow_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:stripped_willow_wood natures_spirit:willow_wood neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/wisteria_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:stripped_wisteria_log natures_spirit:wisteria_log neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/natures_spirit/wisteria_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:stripped_wisteria_wood natures_spirit:wisteria_wood neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/nexus/warpblossom_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded nexus:stripped_warpblossom_log nexus:warpblossom_log
recipe_integration:farmersdelight/cutting/nexus/warpblossom_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded nexus:stripped_warpblossom_wood nexus:warpblossom_wood
recipe_integration:farmersdelight/cutting/occultism/otherworld_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:otherworld_log natures_spirit:stripped_otherworld_log neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/occultism/otherworld_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip natures_spirit:otherworld_wood natures_spirit:stripped_otherworld_wood neoforge:mod_loaded
recipe_integration:farmersdelight/cutting/phantasm/pream_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded phantasm:pream_log phantasm:stripped_pream_log
recipe_integration:farmersdelight/cutting/phantasm/pream_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded phantasm:pream_wood phantasm:stripped_pream_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/ashen_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:ashen_log regions_unexplored:stripped_dead_log
recipe_integration:farmersdelight/cutting/regions_unexplored/ashen_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:ashen_wood regions_unexplored:stripped_dead_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/bamboo_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:bamboo_log regions_unexplored:stripped_bamboo_log
recipe_integration:farmersdelight/cutting/regions_unexplored/baobab_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:baobab_wood regions_unexplored:stripped_baobab_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/baobab_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:baobab_log regions_unexplored:stripped_baobab_log
recipe_integration:farmersdelight/cutting/regions_unexplored/blackwood_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:blackwood_log regions_unexplored:stripped_blackwood_log
recipe_integration:farmersdelight/cutting/regions_unexplored/blackwood_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:blackwood_wood regions_unexplored:stripped_blackwood_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/blue_bioshroom_hyphae | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:blue_bioshroom_hyphae regions_unexplored:stripped_blue_bioshroom_hyphae
recipe_integration:farmersdelight/cutting/regions_unexplored/blue_bioshroom_stem | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:blue_bioshroom_stem regions_unexplored:stripped_blue_bioshroom_stem
recipe_integration:farmersdelight/cutting/regions_unexplored/brimwood_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:brimwood_wood regions_unexplored:stripped_brimwood_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/brimwood_log_magma | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:brimwood_log_magma regions_unexplored:stripped_brimwood_log
recipe_integration:farmersdelight/cutting/regions_unexplored/brimwood_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:brimwood_log regions_unexplored:stripped_brimwood_log
recipe_integration:farmersdelight/cutting/regions_unexplored/cobalt_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:cobalt_log regions_unexplored:stripped_cobalt_log
recipe_integration:farmersdelight/cutting/regions_unexplored/cobalt_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:cobalt_wood regions_unexplored:stripped_cobalt_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/cypress_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:cypress_log regions_unexplored:stripped_cypress_log
recipe_integration:farmersdelight/cutting/regions_unexplored/cypress_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:cypress_wood regions_unexplored:stripped_cypress_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/dead_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:dead_log regions_unexplored:stripped_dead_log
recipe_integration:farmersdelight/cutting/regions_unexplored/dead_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:dead_wood regions_unexplored:stripped_dead_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/eucalyptus_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:eucalyptus_log regions_unexplored:stripped_eucalyptus_log
recipe_integration:farmersdelight/cutting/regions_unexplored/eucalyptus_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:eucalyptus_wood regions_unexplored:stripped_eucalyptus_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/green_bioshroom_hyphae | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:green_bioshroom_hyphae regions_unexplored:stripped_green_bioshroom_hyphae
recipe_integration:farmersdelight/cutting/regions_unexplored/green_bioshroom_stem | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:green_bioshroom_stem regions_unexplored:stripped_green_bioshroom_stem
recipe_integration:farmersdelight/cutting/regions_unexplored/joshua_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:joshua_wood regions_unexplored:stripped_joshua_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/joshua_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:joshua_log regions_unexplored:stripped_joshua_log
recipe_integration:farmersdelight/cutting/regions_unexplored/kapok_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:kapok_log regions_unexplored:stripped_kapok_log
recipe_integration:farmersdelight/cutting/regions_unexplored/kapok_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:kapok_wood regions_unexplored:stripped_kapok_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/larch_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:larch_log regions_unexplored:stripped_larch_log
recipe_integration:farmersdelight/cutting/regions_unexplored/larch_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:larch_wood regions_unexplored:stripped_larch_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/magnolia_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:magnolia_log regions_unexplored:stripped_magnolia_log
recipe_integration:farmersdelight/cutting/regions_unexplored/magnolia_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:magnolia_wood regions_unexplored:stripped_magnolia_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/maple_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:maple_log regions_unexplored:stripped_maple_log
recipe_integration:farmersdelight/cutting/regions_unexplored/maple_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:maple_wood regions_unexplored:stripped_maple_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/mauve_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:mauve_log regions_unexplored:stripped_mauve_log
recipe_integration:farmersdelight/cutting/regions_unexplored/mauve_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:mauve_wood regions_unexplored:stripped_mauve_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/palm_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:palm_log regions_unexplored:stripped_palm_log
recipe_integration:farmersdelight/cutting/regions_unexplored/palm_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:palm_wood regions_unexplored:stripped_palm_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/pine_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:pine_log regions_unexplored:stripped_pine_log
recipe_integration:farmersdelight/cutting/regions_unexplored/pine_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:pine_wood regions_unexplored:stripped_pine_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/pink_bioshroom_hyphae | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:pink_bioshroom_hyphae regions_unexplored:stripped_pink_bioshroom_hyphae
recipe_integration:farmersdelight/cutting/regions_unexplored/pink_bioshroom_stem | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:pink_bioshroom_stem regions_unexplored:stripped_pink_bioshroom_stem
recipe_integration:farmersdelight/cutting/regions_unexplored/redwood_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:redwood_wood regions_unexplored:stripped_redwood_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/redwood_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:redwood_log regions_unexplored:stripped_redwood_log
recipe_integration:farmersdelight/cutting/regions_unexplored/silver_birch_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip minecraft:stripped_birch_log neoforge:mod_loaded regions_unexplored:silver_birch_log
recipe_integration:farmersdelight/cutting/regions_unexplored/small_oak_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:small_oak_log regions_unexplored:stripped_small_oak_log
recipe_integration:farmersdelight/cutting/regions_unexplored/socotra_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:socotra_log regions_unexplored:stripped_socotra_log
recipe_integration:farmersdelight/cutting/regions_unexplored/socotra_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:socotra_wood regions_unexplored:stripped_socotra_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/willow_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:stripped_willow_log regions_unexplored:willow_log
recipe_integration:farmersdelight/cutting/regions_unexplored/willow_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:stripped_willow_wood regions_unexplored:willow_wood
recipe_integration:farmersdelight/cutting/regions_unexplored/yellow_bioshroom_hyphae | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:stripped_yellow_bioshroom_hyphae regions_unexplored:yellow_bioshroom_hyphae
recipe_integration:farmersdelight/cutting/regions_unexplored/yellow_bioshroom_stem | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded regions_unexplored:stripped_yellow_bioshroom_stem regions_unexplored:yellow_bioshroom_stem
recipe_integration:farmersdelight/cutting/silentgear/netherwood_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded silentgear:netherwood_log silentgear:stripped_netherwood_log
recipe_integration:farmersdelight/cutting/silentgear/netherwood_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded silentgear:netherwood_wood silentgear:stripped_netherwood_wood
recipe_integration:farmersdelight/cutting/twilightforest/canopy_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded twilightforest:canopy_log twilightforest:stripped_canopy_log
recipe_integration:farmersdelight/cutting/twilightforest/canopy_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded twilightforest:canopy_wood twilightforest:stripped_canopy_wood
recipe_integration:farmersdelight/cutting/twilightforest/dark_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded twilightforest:dark_log twilightforest:stripped_dark_log
recipe_integration:farmersdelight/cutting/twilightforest/dark_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded twilightforest:dark_wood twilightforest:stripped_dark_wood
recipe_integration:farmersdelight/cutting/twilightforest/mangrove_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded twilightforest:mangrove_log twilightforest:stripped_mangrove_log
recipe_integration:farmersdelight/cutting/twilightforest/mangrove_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded twilightforest:mangrove_wood twilightforest:stripped_mangrove_wood
recipe_integration:farmersdelight/cutting/twilightforest/mining_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded twilightforest:mining_log twilightforest:stripped_mining_log
recipe_integration:farmersdelight/cutting/twilightforest/mining_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded twilightforest:mining_wood twilightforest:stripped_mining_wood
recipe_integration:farmersdelight/cutting/twilightforest/sorting_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded twilightforest:sorting_log twilightforest:stripped_sorting_log
recipe_integration:farmersdelight/cutting/twilightforest/sorting_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded twilightforest:sorting_wood twilightforest:stripped_sorting_wood
recipe_integration:farmersdelight/cutting/twilightforest/time_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded twilightforest:stripped_time_log twilightforest:time_log
recipe_integration:farmersdelight/cutting/twilightforest/time_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded twilightforest:stripped_time_wood twilightforest:time_wood
recipe_integration:farmersdelight/cutting/twilightforest/transformation_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded twilightforest:stripped_transformation_log twilightforest:transformation_log
recipe_integration:farmersdelight/cutting/twilightforest/transformation_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded twilightforest:stripped_transformation_wood twilightforest:transformation_wood
recipe_integration:farmersdelight/cutting/twilightforest/twilight_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded twilightforest:stripped_twilight_oak_log twilightforest:twilight_oak_log
recipe_integration:farmersdelight/cutting/twilightforest/twilight_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded twilightforest:stripped_twilight_oak_wood twilightforest:twilight_oak_wood
