minecraft:beehive | minecraft:crafting_shaped | minecraft:beehive minecraft:crafting_shaped minecraft:honeycomb minecraft:planks woodworks:config
woodworks:jungle_fence_from_jungle_logs_sawing | woodworks:sawmill | minecraft:jungle_fence minecraft:jungle_logs woodworks:config woodworks:sawmill
woodworks:jungle_fence_from_jungle_planks_sawing | woodworks:sawmill | minecraft:jungle_fence minecraft:jungle_planks woodworks:config woodworks:sawmill
woodworks:jungle_fence_gate_from_jungle_logs_sawing | woodworks:sawmill | minecraft:jungle_fence_gate minecraft:jungle_logs woodworks:config woodworks:sawmill
woodworks:jungle_ladder | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_planks minecraft:stick woodworks:config woodworks:jungle_ladder
woodworks:jungle_ladder_from_jungle_logs_sawing | woodworks:sawmill | blueprint:and minecraft:jungle_logs woodworks:config woodworks:jungle_ladder woodworks:sawmill
woodworks:jungle_ladder_from_jungle_planks_sawing | woodworks:sawmill | blueprint:and minecraft:jungle_planks woodworks:config woodworks:jungle_ladder woodworks:sawmill
woodworks:jungle_leaf_pile | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:jungle_leaves woodworks:config woodworks:jungle_leaf_pile
woodworks:jungle_leaves_from_jungle_leaf_pile | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_leaves woodworks:config woodworks:jungle_leaf_pile
woodworks:jungle_planks_from_jungle_logs_sawing | woodworks:sawmill | minecraft:jungle_logs minecraft:jungle_planks woodworks:config woodworks:sawmill
woodworks:jungle_pressure_plate_from_jungle_logs_sawing | woodworks:sawmill | minecraft:jungle_logs minecraft:jungle_pressure_plate woodworks:config woodworks:sawmill
woodworks:jungle_sign_from_jungle_logs_sawing | woodworks:sawmill | minecraft:jungle_logs minecraft:jungle_sign woodworks:config woodworks:sawmill
woodworks:jungle_slab_from_jungle_logs_sawing | woodworks:sawmill | minecraft:jungle_logs minecraft:jungle_slab woodworks:config woodworks:sawmill
woodworks:jungle_slab_from_jungle_planks_sawing | woodworks:sawmill | minecraft:jungle_planks minecraft:jungle_slab woodworks:config woodworks:sawmill
woodworks:jungle_stairs_from_jungle_logs_sawing | woodworks:sawmill | minecraft:jungle_logs minecraft:jungle_stairs woodworks:config woodworks:sawmill
woodworks:jungle_stairs_from_jungle_planks_sawing | woodworks:sawmill | minecraft:jungle_planks minecraft:jungle_stairs woodworks:config woodworks:sawmill
woodworks:jungle_trapdoor_from_jungle_logs_sawing | woodworks:sawmill | minecraft:jungle_logs minecraft:jungle_trapdoor woodworks:config woodworks:sawmill
woodworks:mangrove_beehive | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:honeycomb minecraft:mangrove_planks woodworks:config woodworks:mangrove_beehive
woodworks:mangrove_boards | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mangrove_slab woodworks:config woodworks:mangrove_boards
woodworks:mangrove_boards_from_mangrove_logs_sawing | woodworks:sawmill | blueprint:and minecraft:mangrove_logs woodworks:config woodworks:mangrove_boards woodworks:sawmill
woodworks:mangrove_boards_from_mangrove_planks_sawing | woodworks:sawmill | blueprint:and minecraft:mangrove_planks woodworks:config woodworks:mangrove_boards woodworks:sawmill
woodworks:mangrove_bookshelf | minecraft:crafting_shaped | minecraft:book minecraft:crafting_shaped minecraft:mangrove_planks woodworks:config woodworks:mangrove_bookshelf
woodworks:mangrove_button_from_mangrove_logs_sawing | woodworks:sawmill | minecraft:mangrove_button minecraft:mangrove_logs woodworks:config woodworks:sawmill
woodworks:mangrove_button_from_mangrove_planks_sawing | woodworks:sawmill | minecraft:mangrove_button minecraft:mangrove_planks woodworks:config woodworks:sawmill
woodworks:mangrove_chest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mangrove_planks woodworks:config woodworks:mangrove_chest
woodworks:mangrove_door_from_mangrove_logs_sawing | woodworks:sawmill | minecraft:mangrove_door minecraft:mangrove_logs woodworks:config woodworks:sawmill
woodworks:mangrove_fence_from_mangrove_logs_sawing | woodworks:sawmill | minecraft:mangrove_fence minecraft:mangrove_logs woodworks:config woodworks:sawmill
woodworks:mangrove_fence_from_mangrove_planks_sawing | woodworks:sawmill | minecraft:mangrove_fence minecraft:mangrove_planks woodworks:config woodworks:sawmill
woodworks:mangrove_fence_gate_from_mangrove_logs_sawing | woodworks:sawmill | minecraft:mangrove_fence_gate minecraft:mangrove_logs woodworks:config woodworks:sawmill
woodworks:mangrove_ladder | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mangrove_planks minecraft:stick woodworks:config woodworks:mangrove_ladder
woodworks:mangrove_ladder_from_mangrove_logs_sawing | woodworks:sawmill | blueprint:and minecraft:mangrove_logs woodworks:config woodworks:mangrove_ladder woodworks:sawmill
woodworks:mangrove_ladder_from_mangrove_planks_sawing | woodworks:sawmill | blueprint:and minecraft:mangrove_planks woodworks:config woodworks:mangrove_ladder woodworks:sawmill
woodworks:mangrove_leaf_pile | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:mangrove_leaves woodworks:config woodworks:mangrove_leaf_pile
woodworks:mangrove_leaves_from_mangrove_leaf_pile | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mangrove_leaves woodworks:config woodworks:mangrove_leaf_pile
woodworks:mangrove_planks_from_mangrove_logs_sawing | woodworks:sawmill | minecraft:mangrove_logs minecraft:mangrove_planks woodworks:config woodworks:sawmill
woodworks:mangrove_pressure_plate_from_mangrove_logs_sawing | woodworks:sawmill | minecraft:mangrove_logs minecraft:mangrove_pressure_plate woodworks:config woodworks:sawmill
woodworks:mangrove_sign_from_mangrove_logs_sawing | woodworks:sawmill | minecraft:mangrove_logs minecraft:mangrove_sign woodworks:config woodworks:sawmill
woodworks:mangrove_slab_from_mangrove_logs_sawing | woodworks:sawmill | minecraft:mangrove_logs minecraft:mangrove_slab woodworks:config woodworks:sawmill
woodworks:mangrove_slab_from_mangrove_planks_sawing | woodworks:sawmill | minecraft:mangrove_planks minecraft:mangrove_slab woodworks:config woodworks:sawmill
woodworks:mangrove_stairs_from_mangrove_logs_sawing | woodworks:sawmill | minecraft:mangrove_logs minecraft:mangrove_stairs woodworks:config woodworks:sawmill
woodworks:mangrove_stairs_from_mangrove_planks_sawing | woodworks:sawmill | minecraft:mangrove_planks minecraft:mangrove_stairs woodworks:config woodworks:sawmill
woodworks:mangrove_trapdoor_from_mangrove_logs_sawing | woodworks:sawmill | minecraft:mangrove_logs minecraft:mangrove_trapdoor woodworks:config woodworks:sawmill
woodworks:oak_beehive | minecraft:crafting_shaped | minecraft:beehive minecraft:crafting_shaped minecraft:honeycomb minecraft:oak_planks woodworks:config
woodworks:oak_boards | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:oak_slab woodworks:config woodworks:oak_boards
woodworks:oak_boards_from_oak_logs_sawing | woodworks:sawmill | blueprint:and minecraft:oak_logs woodworks:config woodworks:oak_boards woodworks:sawmill
woodworks:oak_boards_from_oak_planks_sawing | woodworks:sawmill | blueprint:and minecraft:oak_planks woodworks:config woodworks:oak_boards woodworks:sawmill
woodworks:oak_bookshelf | minecraft:crafting_shaped | minecraft:book minecraft:bookshelf minecraft:crafting_shaped minecraft:oak_planks woodworks:config
woodworks:oak_button_from_oak_logs_sawing | woodworks:sawmill | minecraft:oak_button minecraft:oak_logs woodworks:config woodworks:sawmill
woodworks:oak_button_from_oak_planks_sawing | woodworks:sawmill | minecraft:oak_button minecraft:oak_planks woodworks:config woodworks:sawmill
woodworks:oak_chest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:oak_planks woodworks:config woodworks:oak_chest
woodworks:oak_chiseled_bookshelf | minecraft:crafting_shaped | minecraft:chiseled_bookshelf minecraft:crafting_shaped minecraft:oak_planks minecraft:oak_slab woodworks:config
woodworks:oak_door_from_oak_logs_sawing | woodworks:sawmill | minecraft:oak_door minecraft:oak_logs woodworks:config woodworks:sawmill
woodworks:oak_fence_from_oak_logs_sawing | woodworks:sawmill | minecraft:oak_fence minecraft:oak_logs woodworks:config woodworks:sawmill
woodworks:oak_fence_from_oak_planks_sawing | woodworks:sawmill | minecraft:oak_fence minecraft:oak_planks woodworks:config woodworks:sawmill
woodworks:oak_fence_gate_from_oak_logs_sawing | woodworks:sawmill | minecraft:oak_fence_gate minecraft:oak_logs woodworks:config woodworks:sawmill
woodworks:oak_ladder | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:ladder minecraft:oak_planks minecraft:stick woodworks:config
woodworks:oak_ladder_from_oak_logs_sawing | woodworks:sawmill | blueprint:and minecraft:ladder minecraft:oak_logs woodworks:config woodworks:sawmill
woodworks:oak_ladder_from_oak_planks_sawing | woodworks:sawmill | blueprint:and minecraft:ladder minecraft:oak_planks woodworks:config woodworks:sawmill
woodworks:oak_leaf_pile | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:oak_leaves woodworks:config woodworks:oak_leaf_pile
woodworks:oak_leaves_from_oak_leaf_pile | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:oak_leaves woodworks:config woodworks:oak_leaf_pile
woodworks:oak_planks_from_oak_logs_sawing | woodworks:sawmill | minecraft:oak_logs minecraft:oak_planks woodworks:config woodworks:sawmill
woodworks:oak_pressure_plate_from_oak_logs_sawing | woodworks:sawmill | minecraft:oak_logs minecraft:oak_pressure_plate woodworks:config woodworks:sawmill
woodworks:oak_sign_from_oak_logs_sawing | woodworks:sawmill | minecraft:oak_logs minecraft:oak_sign woodworks:config woodworks:sawmill
woodworks:oak_slab_from_oak_logs_sawing | woodworks:sawmill | minecraft:oak_logs minecraft:oak_slab woodworks:config woodworks:sawmill
woodworks:oak_slab_from_oak_planks_sawing | woodworks:sawmill | minecraft:oak_planks minecraft:oak_slab woodworks:config woodworks:sawmill
woodworks:oak_stairs_from_oak_logs_sawing | woodworks:sawmill | minecraft:oak_logs minecraft:oak_stairs woodworks:config woodworks:sawmill
woodworks:oak_stairs_from_oak_planks_sawing | woodworks:sawmill | minecraft:oak_planks minecraft:oak_stairs woodworks:config woodworks:sawmill
woodworks:oak_trapdoor_from_oak_logs_sawing | woodworks:sawmill | minecraft:oak_logs minecraft:oak_trapdoor woodworks:config woodworks:sawmill
woodworks:sawmill | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:planks minecraft:wooden_slabs woodworks:config woodworks:sawmill
woodworks:spruce_beehive | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:honeycomb minecraft:spruce_planks woodworks:config woodworks:spruce_beehive
woodworks:spruce_boards | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_slab woodworks:config woodworks:spruce_boards
woodworks:spruce_boards_from_spruce_logs_sawing | woodworks:sawmill | blueprint:and minecraft:spruce_logs woodworks:config woodworks:sawmill woodworks:spruce_boards
woodworks:spruce_boards_from_spruce_planks_sawing | woodworks:sawmill | blueprint:and minecraft:spruce_planks woodworks:config woodworks:sawmill woodworks:spruce_boards
woodworks:spruce_bookshelf | minecraft:crafting_shaped | minecraft:book minecraft:crafting_shaped minecraft:spruce_planks woodworks:config woodworks:spruce_bookshelf
woodworks:spruce_button_from_spruce_logs_sawing | woodworks:sawmill | minecraft:spruce_button minecraft:spruce_logs woodworks:config woodworks:sawmill
woodworks:spruce_button_from_spruce_planks_sawing | woodworks:sawmill | minecraft:spruce_button minecraft:spruce_planks woodworks:config woodworks:sawmill
woodworks:spruce_chest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_planks woodworks:config woodworks:spruce_chest
woodworks:spruce_door_from_spruce_logs_sawing | woodworks:sawmill | minecraft:spruce_door minecraft:spruce_logs woodworks:config woodworks:sawmill
woodworks:spruce_fence_from_spruce_logs_sawing | woodworks:sawmill | minecraft:spruce_fence minecraft:spruce_logs woodworks:config woodworks:sawmill
woodworks:spruce_fence_from_spruce_planks_sawing | woodworks:sawmill | minecraft:spruce_fence minecraft:spruce_planks woodworks:config woodworks:sawmill
woodworks:spruce_fence_gate_from_spruce_logs_sawing | woodworks:sawmill | minecraft:spruce_fence_gate minecraft:spruce_logs woodworks:config woodworks:sawmill
woodworks:spruce_ladder | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_planks minecraft:stick woodworks:config woodworks:spruce_ladder
woodworks:spruce_ladder_from_spruce_logs_sawing | woodworks:sawmill | blueprint:and minecraft:spruce_logs woodworks:config woodworks:sawmill woodworks:spruce_ladder
woodworks:spruce_ladder_from_spruce_planks_sawing | woodworks:sawmill | blueprint:and minecraft:spruce_planks woodworks:config woodworks:sawmill woodworks:spruce_ladder
woodworks:spruce_leaf_pile | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:spruce_leaves woodworks:config woodworks:spruce_leaf_pile
woodworks:spruce_leaves_from_spruce_leaf_pile | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_leaves woodworks:config woodworks:spruce_leaf_pile
woodworks:spruce_planks_from_spruce_logs_sawing | woodworks:sawmill | minecraft:spruce_logs minecraft:spruce_planks woodworks:config woodworks:sawmill
woodworks:spruce_pressure_plate_from_spruce_logs_sawing | woodworks:sawmill | minecraft:spruce_logs minecraft:spruce_pressure_plate woodworks:config woodworks:sawmill
woodworks:spruce_sign_from_spruce_logs_sawing | woodworks:sawmill | minecraft:spruce_logs minecraft:spruce_sign woodworks:config woodworks:sawmill
woodworks:spruce_slab_from_spruce_logs_sawing | woodworks:sawmill | minecraft:spruce_logs minecraft:spruce_slab woodworks:config woodworks:sawmill
woodworks:spruce_slab_from_spruce_planks_sawing | woodworks:sawmill | minecraft:spruce_planks minecraft:spruce_slab woodworks:config woodworks:sawmill
woodworks:spruce_stairs_from_spruce_logs_sawing | woodworks:sawmill | minecraft:spruce_logs minecraft:spruce_stairs woodworks:config woodworks:sawmill
woodworks:spruce_stairs_from_spruce_planks_sawing | woodworks:sawmill | minecraft:spruce_planks minecraft:spruce_stairs woodworks:config woodworks:sawmill
woodworks:spruce_trapdoor_from_spruce_logs_sawing | woodworks:sawmill | minecraft:spruce_logs minecraft:spruce_trapdoor woodworks:config woodworks:sawmill
woodworks:trapped_acacia_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook woodworks:acacia_chest woodworks:config woodworks:trapped_acacia_chest
woodworks:trapped_bamboo_closet | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook woodworks:bamboo_closet woodworks:config woodworks:trapped_bamboo_closet
woodworks:trapped_birch_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook woodworks:birch_chest woodworks:config woodworks:trapped_birch_chest
woodworks:trapped_cherry_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook woodworks:cherry_chest woodworks:config woodworks:trapped_cherry_chest
woodworks:trapped_chest | minecraft:crafting_shapeless | minecraft:chest minecraft:crafting_shapeless minecraft:trapped_chest minecraft:tripwire_hook woodworks:config
woodworks:trapped_crimson_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook woodworks:config woodworks:crimson_chest woodworks:trapped_crimson_chest
woodworks:trapped_dark_oak_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook woodworks:config woodworks:dark_oak_chest woodworks:trapped_dark_oak_chest
woodworks:trapped_jungle_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook woodworks:config woodworks:jungle_chest woodworks:trapped_jungle_chest
woodworks:trapped_mangrove_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook woodworks:config woodworks:mangrove_chest woodworks:trapped_mangrove_chest
woodworks:trapped_oak_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook woodworks:config woodworks:oak_chest woodworks:trapped_oak_chest
woodworks:trapped_spruce_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook woodworks:config woodworks:spruce_chest woodworks:trapped_spruce_chest
woodworks:trapped_warped_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook woodworks:config woodworks:trapped_warped_chest woodworks:warped_chest
woodworks:warped_beehive | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:honeycomb minecraft:warped_planks woodworks:config woodworks:warped_beehive
woodworks:warped_boards | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:warped_slab woodworks:config woodworks:warped_boards
woodworks:warped_boards_from_warped_planks_sawing | woodworks:sawmill | blueprint:and minecraft:warped_planks woodworks:config woodworks:sawmill woodworks:warped_boards
woodworks:warped_boards_from_warped_stems_sawing | woodworks:sawmill | blueprint:and minecraft:warped_stems woodworks:config woodworks:sawmill woodworks:warped_boards
woodworks:warped_bookshelf | minecraft:crafting_shaped | minecraft:book minecraft:crafting_shaped minecraft:warped_planks woodworks:config woodworks:warped_bookshelf
woodworks:warped_button_from_warped_planks_sawing | woodworks:sawmill | minecraft:warped_button minecraft:warped_planks woodworks:config woodworks:sawmill
woodworks:warped_button_from_warped_stems_sawing | woodworks:sawmill | minecraft:warped_button minecraft:warped_stems woodworks:config woodworks:sawmill
woodworks:warped_chest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:warped_planks woodworks:config woodworks:warped_chest
woodworks:warped_door_from_warped_stems_sawing | woodworks:sawmill | minecraft:warped_door minecraft:warped_stems woodworks:config woodworks:sawmill
woodworks:warped_fence_from_warped_planks_sawing | woodworks:sawmill | minecraft:warped_fence minecraft:warped_planks woodworks:config woodworks:sawmill
woodworks:warped_fence_from_warped_stems_sawing | woodworks:sawmill | minecraft:warped_fence minecraft:warped_stems woodworks:config woodworks:sawmill
woodworks:warped_fence_gate_from_warped_stems_sawing | woodworks:sawmill | minecraft:warped_fence_gate minecraft:warped_stems woodworks:config woodworks:sawmill
woodworks:warped_ladder | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick minecraft:warped_planks woodworks:config woodworks:warped_ladder
woodworks:warped_ladder_from_warped_planks_sawing | woodworks:sawmill | blueprint:and minecraft:warped_planks woodworks:config woodworks:sawmill woodworks:warped_ladder
woodworks:warped_ladder_from_warped_stems_sawing | woodworks:sawmill | blueprint:and minecraft:warped_stems woodworks:config woodworks:sawmill woodworks:warped_ladder
woodworks:warped_planks_from_warped_stems_sawing | woodworks:sawmill | minecraft:warped_planks minecraft:warped_stems woodworks:config woodworks:sawmill
woodworks:warped_pressure_plate_from_warped_stems_sawing | woodworks:sawmill | minecraft:warped_pressure_plate minecraft:warped_stems woodworks:config woodworks:sawmill
woodworks:warped_sign_from_warped_stems_sawing | woodworks:sawmill | minecraft:warped_sign minecraft:warped_stems woodworks:config woodworks:sawmill
woodworks:warped_slab_from_warped_planks_sawing | woodworks:sawmill | minecraft:warped_planks minecraft:warped_slab woodworks:config woodworks:sawmill
woodworks:warped_slab_from_warped_stems_sawing | woodworks:sawmill | minecraft:warped_slab minecraft:warped_stems woodworks:config woodworks:sawmill
woodworks:warped_stairs_from_warped_planks_sawing | woodworks:sawmill | minecraft:warped_planks minecraft:warped_stairs woodworks:config woodworks:sawmill
woodworks:warped_stairs_from_warped_stems_sawing | woodworks:sawmill | minecraft:warped_stairs minecraft:warped_stems woodworks:config woodworks:sawmill
woodworks:warped_trapdoor_from_warped_stems_sawing | woodworks:sawmill | minecraft:warped_stems minecraft:warped_trapdoor woodworks:config woodworks:sawmill
woodworks:wooden_chest | woodworks:crafting_special_woodenchest | woodworks:config woodworks:crafting_special_woodenchest
