irons_spellbooks:affinity_ring | minecraft:crafting_shaped | irons_spellbooks:affinity_ring irons_spellbooks:mithril_scrap minecraft:bucket minecraft:crafting_shaped
irons_spellbooks:electromancer_leggings_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:electromancer_leggings irons_spellbooks:lightning_rune irons_spellbooks:wizard_base_leggings minecraft:crafting_shapeless
irons_spellbooks:electromancer_leggings_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:electromancer_leggings irons_spellbooks:lightning_rune irons_spellbooks:wizard_base_leggings minecraft:smithing_transform
irons_spellbooks:emerald_stoneplate_ring | minecraft:crafting_shaped | irons_spellbooks:emerald_stoneplate_ring irons_spellbooks:mithril_scrap minecraft:crafting_shaped minecraft:experience_bottle
irons_spellbooks:ender_rune | minecraft:crafting_shaped | irons_spellbooks:blank_rune irons_spellbooks:ender_focus irons_spellbooks:ender_rune minecraft:crafting_shaped
irons_spellbooks:ender_upgrade_orb | minecraft:crafting_shaped | irons_spellbooks:ender_rune irons_spellbooks:ender_upgrade_orb irons_spellbooks:upgrade_orb minecraft:crafting_shaped
irons_spellbooks:energized_core | minecraft:crafting_shaped | irons_spellbooks:energized_core irons_spellbooks:lightning_focus minecraft:copper_block minecraft:crafting_shaped
irons_spellbooks:evocation_rune | minecraft:crafting_shaped | irons_spellbooks:blank_rune irons_spellbooks:evocation_focus irons_spellbooks:evocation_rune minecraft:crafting_shaped
irons_spellbooks:evocation_upgrade_orb | minecraft:crafting_shaped | irons_spellbooks:evocation_rune irons_spellbooks:evocation_upgrade_orb irons_spellbooks:upgrade_orb minecraft:crafting_shaped
irons_spellbooks:expulsion_ring | minecraft:crafting_shaped | irons_spellbooks:expulsion_ring irons_spellbooks:mithril_scrap minecraft:crafting_shaped minecraft:wind_charge
irons_spellbooks:fire_rune | minecraft:crafting_shaped | irons_spellbooks:blank_rune irons_spellbooks:fire_focus irons_spellbooks:fire_rune minecraft:crafting_shaped
irons_spellbooks:fire_upgrade_orb | minecraft:crafting_shaped | irons_spellbooks:fire_rune irons_spellbooks:fire_upgrade_orb irons_spellbooks:upgrade_orb minecraft:crafting_shaped
irons_spellbooks:firefly_jar | minecraft:crafting_shaped | c:glass_blocks irons_spellbooks:arcane_essence irons_spellbooks:firefly_jar minecraft:crafting_shaped minecraft:lantern
irons_spellbooks:fireward_ring | minecraft:crafting_shaped | irons_spellbooks:cinder_essence irons_spellbooks:fireward_ring irons_spellbooks:mithril_scrap minecraft:crafting_shaped
irons_spellbooks:frosted_helve | minecraft:crafting_shaped | irons_spellbooks:arcane_ingot irons_spellbooks:frosted_helve irons_spellbooks:frozen_bone minecraft:crafting_shaped
irons_spellbooks:frostward_ring | minecraft:crafting_shaped | irons_spellbooks:frostward_ring irons_spellbooks:mithril_scrap irons_spellbooks:permafrost_shard minecraft:crafting_shaped
irons_spellbooks:frozen_bone_to_bonemeal | minecraft:crafting_shapeless | irons_spellbooks:frozen_bone minecraft:bone_meal minecraft:crafting_shapeless
irons_spellbooks:gold_spell_book | minecraft:crafting_shaped | c:ingots/gold irons_spellbooks:arcane_essence irons_spellbooks:gold_spell_book irons_spellbooks:hogskin minecraft:crafting_shaped
irons_spellbooks:graybeard_staff | minecraft:crafting_shaped | c:ingots/iron irons_spellbooks:arcane_essence irons_spellbooks:graybeard_staff minecraft:crafting_shaped minecraft:wooden_shovel
irons_spellbooks:greater_conjurers_talisman | minecraft:crafting_shaped | irons_spellbooks:arcane_rune irons_spellbooks:bloody_vellum irons_spellbooks:conjurers_talisman irons_spellbooks:greater_conjurers_talisman minecraft:crafting_shaped
irons_spellbooks:heavy_chain_necklace | minecraft:crafting_shaped | irons_spellbooks:heavy_chain_necklace irons_spellbooks:mithril_scrap minecraft:chain minecraft:crafting_shaped
irons_spellbooks:hogskin_to_leather | minecraft:crafting_shapeless | irons_spellbooks:hogskin minecraft:crafting_shapeless minecraft:leather
irons_spellbooks:holy_rune | minecraft:crafting_shaped | irons_spellbooks:blank_rune irons_spellbooks:holy_focus irons_spellbooks:holy_rune minecraft:crafting_shaped
irons_spellbooks:holy_upgrade_orb | minecraft:crafting_shaped | irons_spellbooks:holy_rune irons_spellbooks:holy_upgrade_orb irons_spellbooks:upgrade_orb minecraft:crafting_shaped
irons_spellbooks:ice_rune | minecraft:crafting_shaped | irons_spellbooks:blank_rune irons_spellbooks:ice_focus irons_spellbooks:ice_rune minecraft:crafting_shaped
irons_spellbooks:ice_spell_book | minecraft:crafting_shaped | irons_spellbooks:ice_spell_book irons_spellbooks:ice_venom_vial irons_spellbooks:magic_cloth irons_spellbooks:mithril_scrap irons_spellbooks:ruined_book minecraft:crafting_shaped
irons_spellbooks:ice_staff | minecraft:crafting_shapeless | irons_spellbooks:frosted_helve irons_spellbooks:ice_staff irons_spellbooks:permafrost_shard minecraft:crafting_shapeless
irons_spellbooks:ice_upgrade_orb | minecraft:crafting_shaped | irons_spellbooks:ice_rune irons_spellbooks:ice_upgrade_orb irons_spellbooks:upgrade_orb minecraft:crafting_shaped
irons_spellbooks:infernal_sorcerer_chestplate | minecraft:crafting_shaped | c:ingots/pyrium irons_spellbooks:divine_soulshard irons_spellbooks:infernal_sorcerer_chestplate irons_spellbooks:mithril_weave irons_spellbooks:pyromancer_chestplate minecraft:crafting_shaped
irons_spellbooks:inscription_table | minecraft:crafting_shaped | irons_spellbooks:inscription_table minecraft:book minecraft:crafting_shaped minecraft:wooden_fences minecraft:wooden_slabs
irons_spellbooks:iron_spell_book | minecraft:crafting_shaped | c:leathers irons_spellbooks:iron_spell_book minecraft:chain minecraft:crafting_shaped minecraft:paper
irons_spellbooks:legionnaire_flamberge_repair | minecraft:smithing_transform | c:ingots/pyrium irons_spellbooks:keeper_flamberge irons_spellbooks:legionnaire_flamberge irons_spellbooks:timeless_slurry minecraft:smithing_transform
irons_spellbooks:lesser_spell_slot_upgrade | minecraft:crafting_shaped | irons_spellbooks:hogskin irons_spellbooks:lesser_spell_slot_upgrade irons_spellbooks:magic_cloth minecraft:crafting_shaped
irons_spellbooks:lightning_rune | minecraft:crafting_shaped | irons_spellbooks:blank_rune irons_spellbooks:lightning_focus irons_spellbooks:lightning_rune minecraft:crafting_shaped
irons_spellbooks:lightning_upgrade_orb | minecraft:crafting_shaped | irons_spellbooks:lightning_rune irons_spellbooks:lightning_upgrade_orb irons_spellbooks:upgrade_orb minecraft:crafting_shaped
irons_spellbooks:magic_cloth | minecraft:crafting_shaped | irons_spellbooks:arcane_essence irons_spellbooks:magic_cloth minecraft:crafting_shaped minecraft:wool
irons_spellbooks:mana_ring | minecraft:crafting_shaped | c:gems/diamond irons_spellbooks:arcane_ingot irons_spellbooks:mana_ring minecraft:crafting_shaped
irons_spellbooks:mana_upgrade_orb | minecraft:crafting_shaped | irons_spellbooks:arcane_rune irons_spellbooks:mana_upgrade_orb irons_spellbooks:upgrade_orb minecraft:crafting_shaped
irons_spellbooks:mithril_ingot_from_scrap | minecraft:crafting_shaped | irons_spellbooks:mithril_ingot irons_spellbooks:mithril_scrap minecraft:crafting_shaped
irons_spellbooks:mithril_scrap_from_ingot | minecraft:blasting | irons_spellbooks:mithril_ingot irons_spellbooks:mithril_scrap minecraft:blasting
irons_spellbooks:mithril_scrap_from_ore | minecraft:blasting | irons_spellbooks:mithril_scrap irons_spellbooks:raw_mithril minecraft:blasting
irons_spellbooks:mithril_weave | minecraft:crafting_shaped | c:ingots/mithril irons_spellbooks:mithril_weave minecraft:chain minecraft:crafting_shaped
irons_spellbooks:music_disc_flame_still_burns | minecraft:crafting_shaped | c:ingots/pyrium irons_spellbooks:disc_fragment_flame_still_burns irons_spellbooks:music_disc_flame_still_burns minecraft:crafting_shaped
irons_spellbooks:nature_rune | minecraft:crafting_shaped | irons_spellbooks:blank_rune irons_spellbooks:nature_focus irons_spellbooks:nature_rune minecraft:crafting_shaped
irons_spellbooks:nature_upgrade_orb | minecraft:crafting_shaped | irons_spellbooks:nature_rune irons_spellbooks:nature_upgrade_orb irons_spellbooks:upgrade_orb minecraft:crafting_shaped
irons_spellbooks:nether_brick_pillar | minecraft:stonecutting | irons_spellbooks:nether_brick_pillar minecraft:nether_bricks minecraft:stonecutting
irons_spellbooks:netherite_mage_boots | minecraft:smithing_transform | c:ingots/netherite irons_spellbooks:netherite_mage_boots irons_spellbooks:wizard_base_boots minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
irons_spellbooks:netherite_mage_chestplate | minecraft:smithing_transform | c:ingots/netherite irons_spellbooks:netherite_mage_chestplate irons_spellbooks:wizard_base_chestplate minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
irons_spellbooks:netherite_mage_helmet | minecraft:smithing_transform | c:ingots/netherite irons_spellbooks:netherite_mage_helmet irons_spellbooks:wizard_base_helmet minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
irons_spellbooks:netherite_mage_leggings | minecraft:smithing_transform | c:ingots/netherite irons_spellbooks:netherite_mage_leggings irons_spellbooks:wizard_base_leggings minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
irons_spellbooks:netherite_spell_book | minecraft:crafting_shaped | c:ingots/netherite irons_spellbooks:blood_vial irons_spellbooks:lightning_bottle irons_spellbooks:magic_cloth irons_spellbooks:netherite_spell_book irons_spellbooks:ruined_book minecraft:crafting_shaped
irons_spellbooks:paladin_chestplate | minecraft:crafting_shaped | c:ingots/gold irons_spellbooks:divine_soulshard irons_spellbooks:mithril_weave irons_spellbooks:paladin_chestplate irons_spellbooks:priest_chestplate minecraft:crafting_shaped
irons_spellbooks:patchouli_book | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:iss_guide_book minecraft:book minecraft:crafting_shapeless neoforge:mod_loaded patchouli:guide_book
irons_spellbooks:pedestal | minecraft:stonecutting | irons_spellbooks:pedestal minecraft:stone_bricks minecraft:stonecutting
irons_spellbooks:plagued_boots_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:nature_rune irons_spellbooks:plagued_boots irons_spellbooks:wizard_base_boots minecraft:crafting_shapeless
irons_spellbooks:plagued_boots_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:nature_rune irons_spellbooks:plagued_boots irons_spellbooks:wizard_base_boots minecraft:smithing_transform
irons_spellbooks:plagued_chestplate_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:nature_rune irons_spellbooks:plagued_chestplate irons_spellbooks:wizard_base_chestplate minecraft:crafting_shapeless
irons_spellbooks:plagued_chestplate_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:nature_rune irons_spellbooks:plagued_chestplate irons_spellbooks:wizard_base_chestplate minecraft:smithing_transform
irons_spellbooks:plagued_helmet_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:nature_rune irons_spellbooks:plagued_helmet irons_spellbooks:wizard_base_helmet minecraft:crafting_shapeless
irons_spellbooks:plagued_helmet_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:nature_rune irons_spellbooks:plagued_helmet irons_spellbooks:wizard_base_helmet minecraft:smithing_transform
irons_spellbooks:plagued_leggings_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:nature_rune irons_spellbooks:plagued_leggings irons_spellbooks:wizard_base_leggings minecraft:crafting_shapeless
irons_spellbooks:plagued_leggings_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:nature_rune irons_spellbooks:plagued_leggings irons_spellbooks:wizard_base_leggings minecraft:smithing_transform
irons_spellbooks:poisonous_potato | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:poisonous_potato minecraft:potato
irons_spellbooks:poisonward_ring | minecraft:crafting_shaped | irons_spellbooks:mithril_scrap irons_spellbooks:nature_rune irons_spellbooks:poisonward_ring minecraft:crafting_shaped
irons_spellbooks:portal_frame | minecraft:crafting_shaped | c:ingots/mithril irons_spellbooks:arcane_ingot irons_spellbooks:portal_frame minecraft:crafting_shaped minecraft:ender_pearl
irons_spellbooks:priest_boots_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:holy_rune irons_spellbooks:priest_boots irons_spellbooks:wizard_base_boots minecraft:crafting_shapeless
irons_spellbooks:priest_boots_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:holy_rune irons_spellbooks:priest_boots irons_spellbooks:wizard_base_boots minecraft:smithing_transform
irons_spellbooks:priest_chestplate_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:holy_rune irons_spellbooks:priest_chestplate irons_spellbooks:wizard_base_chestplate minecraft:crafting_shapeless
irons_spellbooks:priest_chestplate_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:holy_rune irons_spellbooks:priest_chestplate irons_spellbooks:wizard_base_chestplate minecraft:smithing_transform
irons_spellbooks:priest_helmet_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:holy_rune irons_spellbooks:priest_helmet irons_spellbooks:wizard_base_helmet minecraft:crafting_shapeless
irons_spellbooks:priest_helmet_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:holy_rune irons_spellbooks:priest_helmet irons_spellbooks:wizard_base_helmet minecraft:smithing_transform
irons_spellbooks:priest_leggings_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:holy_rune irons_spellbooks:priest_leggings irons_spellbooks:wizard_base_leggings minecraft:crafting_shapeless
irons_spellbooks:priest_leggings_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:holy_rune irons_spellbooks:priest_leggings irons_spellbooks:wizard_base_leggings minecraft:smithing_transform
irons_spellbooks:protection_rune | minecraft:crafting_shaped | irons_spellbooks:blank_rune irons_spellbooks:protection_rune minecraft:crafting_shaped minecraft:pufferfish
irons_spellbooks:protection_upgrade_orb | minecraft:crafting_shaped | irons_spellbooks:protection_rune irons_spellbooks:protection_upgrade_orb irons_spellbooks:upgrade_orb minecraft:crafting_shaped
irons_spellbooks:pumpkin_boots | minecraft:crafting_shaped | irons_spellbooks:magic_cloth irons_spellbooks:pumpkin_boots minecraft:crafting_shaped minecraft:hay_block
irons_spellbooks:pumpkin_chestplate | minecraft:crafting_shaped | irons_spellbooks:magic_cloth irons_spellbooks:pumpkin_chestplate minecraft:crafting_shaped minecraft:hay_block minecraft:leather
irons_spellbooks:pumpkin_helmet | minecraft:crafting_shaped | irons_spellbooks:magic_cloth irons_spellbooks:pumpkin_helmet minecraft:carved_pumpkin minecraft:crafting_shaped minecraft:leather_helmet
irons_spellbooks:pumpkin_leggings | minecraft:crafting_shaped | irons_spellbooks:magic_cloth irons_spellbooks:pumpkin_leggings minecraft:crafting_shaped minecraft:hay_block minecraft:leather
irons_spellbooks:pyrium_staff | minecraft:crafting_shaped | c:ingots/netherite c:ingots/pyrium irons_spellbooks:magic_cloth irons_spellbooks:pyrium_staff minecraft:crafting_shaped
irons_spellbooks:pyromancer_boots_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:fire_rune irons_spellbooks:pyromancer_boots irons_spellbooks:wizard_base_boots minecraft:crafting_shapeless
irons_spellbooks:pyromancer_boots_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:fire_rune irons_spellbooks:pyromancer_boots irons_spellbooks:wizard_base_boots minecraft:smithing_transform
irons_spellbooks:pyromancer_chestplate_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:fire_rune irons_spellbooks:pyromancer_chestplate irons_spellbooks:wizard_base_chestplate minecraft:crafting_shapeless
irons_spellbooks:pyromancer_chestplate_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:fire_rune irons_spellbooks:pyromancer_chestplate irons_spellbooks:wizard_base_chestplate minecraft:smithing_transform
irons_spellbooks:pyromancer_helmet_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:fire_rune irons_spellbooks:pyromancer_helmet irons_spellbooks:wizard_base_helmet minecraft:crafting_shapeless
irons_spellbooks:pyromancer_helmet_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:fire_rune irons_spellbooks:pyromancer_helmet irons_spellbooks:wizard_base_helmet minecraft:smithing_transform
irons_spellbooks:pyromancer_leggings_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:fire_rune irons_spellbooks:pyromancer_leggings irons_spellbooks:wizard_base_leggings minecraft:crafting_shapeless
irons_spellbooks:pyromancer_leggings_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:fire_rune irons_spellbooks:pyromancer_leggings irons_spellbooks:wizard_base_leggings minecraft:smithing_transform
irons_spellbooks:scroll_forge | minecraft:crafting_shaped | irons_spellbooks:scroll_forge minecraft:crafting_shaped minecraft:crying_obsidian minecraft:polished_deepslate
irons_spellbooks:shadowwalker_boots_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:ender_rune irons_spellbooks:shadowwalker_boots irons_spellbooks:wizard_base_boots minecraft:crafting_shapeless
irons_spellbooks:shadowwalker_boots_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:ender_rune irons_spellbooks:shadowwalker_boots irons_spellbooks:wizard_base_boots minecraft:smithing_transform
irons_spellbooks:shadowwalker_chestplate_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:ender_rune irons_spellbooks:shadowwalker_chestplate irons_spellbooks:wizard_base_chestplate minecraft:crafting_shapeless
irons_spellbooks:shadowwalker_chestplate_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:ender_rune irons_spellbooks:shadowwalker_chestplate irons_spellbooks:wizard_base_chestplate minecraft:smithing_transform
irons_spellbooks:shadowwalker_helmet_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:ender_rune irons_spellbooks:shadowwalker_helmet irons_spellbooks:wizard_base_helmet minecraft:crafting_shapeless
irons_spellbooks:shadowwalker_helmet_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:ender_rune irons_spellbooks:shadowwalker_helmet irons_spellbooks:wizard_base_helmet minecraft:smithing_transform
irons_spellbooks:shadowwalker_leggings_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:ender_rune irons_spellbooks:shadowwalker_leggings irons_spellbooks:wizard_base_leggings minecraft:crafting_shapeless
irons_spellbooks:shadowwalker_leggings_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:ender_rune irons_spellbooks:shadowwalker_leggings irons_spellbooks:wizard_base_leggings minecraft:smithing_transform
irons_spellbooks:shriving_stone | minecraft:crafting_shapeless | c:gems/amethyst c:raw_materials/iron irons_spellbooks:shriving_stone minecraft:crafting_shapeless
irons_spellbooks:speed_boots | minecraft:crafting_shaped | irons_spellbooks:archevoker_boots irons_spellbooks:divine_soulshard irons_spellbooks:mithril_weave irons_spellbooks:speed_boots minecraft:crafting_shaped minecraft:feather
irons_spellbooks:spellbreaker | minecraft:crafting_shaped | c:gems/diamond c:ingots/mithril irons_spellbooks:spellbreaker irons_spellbooks:weapon_parts minecraft:crafting_shaped
irons_spellbooks:spider_den_map | minecraft:crafting_shaped | irons_spellbooks:frozen_bone irons_spellbooks:furled_map_ice_spider_den irons_spellbooks:magic_cloth minecraft:cobweb minecraft:crafting_shaped
irons_spellbooks:twilight_gale | minecraft:crafting_shaped | c:ingots/mithril irons_spellbooks:lightning_bottle irons_spellbooks:twilight_gale irons_spellbooks:twilight_gale_crystal irons_spellbooks:weapon_parts minecraft:crafting_shaped
irons_spellbooks:tyros_statue | minecraft:crafting_shaped | c:ingots/pyrium irons_spellbooks:tyros_statue minecraft:crafting_shaped minecraft:smooth_stone_slab minecraft:stone
irons_spellbooks:uninscribe_rune | minecraft:crafting_shapeless | irons_spellbooks:blank_rune irons_spellbooks:inscribed_rune irons_spellbooks:shriving_stone minecraft:crafting_shapeless
irons_spellbooks:upgrade_orb | minecraft:crafting_shaped | irons_spellbooks:arcane_ingot irons_spellbooks:cinder_essence irons_spellbooks:mithril_material irons_spellbooks:upgrade_orb minecraft:crafting_shaped
irons_spellbooks:visibility_ring | minecraft:crafting_shaped | irons_spellbooks:mithril_scrap irons_spellbooks:visibility_ring minecraft:crafting_shaped minecraft:spyglass
irons_spellbooks:wandering_magician_boots | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:wandering_magician_boots minecraft:crafting_shapeless minecraft:leather_boots
irons_spellbooks:wandering_magician_chestplate | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:wandering_magician_chestplate minecraft:crafting_shapeless minecraft:leather_chestplate
irons_spellbooks:wandering_magician_helmet | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:wandering_magician_helmet minecraft:crafting_shapeless minecraft:leather_helmet
irons_spellbooks:wandering_magician_leggings | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:wandering_magician_leggings minecraft:crafting_shapeless minecraft:leather_leggings
irons_spellbooks:wayward_compass | minecraft:crafting_shaped | c:ingots/iron irons_spellbooks:arcane_essence irons_spellbooks:wayward_compass minecraft:crafting_shaped minecraft:soul_lantern
irons_spellbooks:weapon_parts | minecraft:crafting_shaped | c:ingots/mithril irons_spellbooks:arcane_ingot irons_spellbooks:weapon_parts minecraft:crafting_shaped
irons_spellbooks:wisewood_bookshelf | minecraft:crafting_shaped | c:bookshelves irons_spellbooks:arcane_essence irons_spellbooks:wisewood_bookshelf minecraft:crafting_shaped
irons_spellbooks:wizard_boots | minecraft:crafting_shaped | irons_spellbooks:magic_cloth irons_spellbooks:wizard_boots minecraft:crafting_shaped
irons_spellbooks:wizard_chestplate | minecraft:crafting_shaped | irons_spellbooks:magic_cloth irons_spellbooks:wizard_chestplate minecraft:crafting_shaped
irons_spellbooks:wizard_helmet_hat | minecraft:crafting_shaped | irons_spellbooks:magic_cloth irons_spellbooks:wizard_hat minecraft:crafting_shaped
irons_spellbooks:wizard_helmet_hood | minecraft:crafting_shaped | irons_spellbooks:magic_cloth irons_spellbooks:wizard_helmet minecraft:crafting_shaped
irons_spellbooks:wizard_leggings | minecraft:crafting_shaped | irons_spellbooks:magic_cloth irons_spellbooks:wizard_leggings minecraft:crafting_shaped
minecraft:alchemist_cauldron/soak_crying_obsidian | irons_spellbooks:alchemist_cauldron_brew | irons_spellbooks:alchemist_cauldron_brew irons_spellbooks:evasion_elixir minecraft:crying_obsidian minecraft:obsidian
