bits_n_bobs:andesite_from_stone_types_andesite_stonecutting | minecraft:stonecutting | create:stone_types/andesite minecraft:andesite minecraft:stonecutting
create:deepslate_tile_slab_recycling | minecraft:crafting_shapeless | bits_n_bobs:deepslate_tile_slab bits_n_bobs:deepslate_tiles minecraft:crafting_shapeless
create:diorite_tile_slab_recycling | minecraft:crafting_shapeless | bits_n_bobs:diorite_tile_slab bits_n_bobs:diorite_tiles minecraft:crafting_shapeless
create:dripstone_tile_slab_recycling | minecraft:crafting_shapeless | bits_n_bobs:dripstone_tile_slab bits_n_bobs:dripstone_tiles minecraft:crafting_shapeless
create:granite_tile_slab_recycling | minecraft:crafting_shapeless | bits_n_bobs:granite_tile_slab bits_n_bobs:granite_tiles minecraft:crafting_shapeless
create:limestone_tile_slab_recycling | minecraft:crafting_shapeless | bits_n_bobs:limestone_tile_slab bits_n_bobs:limestone_tiles minecraft:crafting_shapeless
create:ochrum_tile_slab_recycling | minecraft:crafting_shapeless | bits_n_bobs:ochrum_tile_slab bits_n_bobs:ochrum_tiles minecraft:crafting_shapeless
create:scorchia_tile_slab_recycling | minecraft:crafting_shapeless | bits_n_bobs:scorchia_tile_slab bits_n_bobs:scorchia_tiles minecraft:crafting_shapeless
create:scoria_tile_slab_recycling | minecraft:crafting_shapeless | bits_n_bobs:scoria_tile_slab bits_n_bobs:scoria_tiles minecraft:crafting_shapeless
create:tuff_tile_slab_recycling | minecraft:crafting_shapeless | bits_n_bobs:tuff_tile_slab bits_n_bobs:tuff_tiles minecraft:crafting_shapeless
create:veridium_tile_slab_recycling | minecraft:crafting_shapeless | bits_n_bobs:veridium_tile_slab bits_n_bobs:veridium_tiles minecraft:crafting_shapeless
