justenoughbreeding:allay_duplication/minecraft/allay | justenoughbreeding:allay_duplication | justenoughbreeding:allay_duplication minecraft:allay minecraft:amethyst_shard
justenoughbreeding:breeding/crittersandcompanions/red_panda | justenoughbreeding:breeding | crittersandcompanions:red_panda justenoughbreeding:breeding minecraft:bamboo neoforge:mod_loaded
justenoughbreeding:breeding/deep_aether/quail | justenoughbreeding:breeding | deep_aether:golden_grass_seeds deep_aether:quail justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/duckling/duck | justenoughbreeding:breeding | duckling:duck justenoughbreeding:breeding minecraft:bread neoforge:mod_loaded
justenoughbreeding:breeding/earthmobsmod/albino_cow | justenoughbreeding:breeding | earthmobsmod:albino_cow justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/earthmobsmod/cluck_shroom | justenoughbreeding:breeding | earthmobsmod:cluck_shroom justenoughbreeding:breeding minecraft:beetroot_seeds minecraft:melon_seeds minecraft:pitcher_pod minecraft:pumpkin_seeds minecraft:torchflower_seeds minecraft:wheat_seeds neoforge:mod_loaded
justenoughbreeding:breeding/earthmobsmod/cream_cow | justenoughbreeding:breeding | earthmobsmod:cream_cow justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/earthmobsmod/duck | justenoughbreeding:breeding | earthmobsmod:duck justenoughbreeding:breeding minecraft:beetroot_seeds minecraft:melon_seeds minecraft:pitcher_pod minecraft:pumpkin_seeds minecraft:torchflower_seeds minecraft:wheat_seeds neoforge:mod_loaded
justenoughbreeding:breeding/earthmobsmod/fancy_chicken | justenoughbreeding:breeding | earthmobsmod:fancy_chicken justenoughbreeding:breeding minecraft:beetroot_seeds minecraft:melon_seeds minecraft:pitcher_pod minecraft:pumpkin_seeds minecraft:torchflower_seeds minecraft:wheat_seeds neoforge:mod_loaded
justenoughbreeding:breeding/earthmobsmod/horned_sheep | justenoughbreeding:breeding | earthmobsmod:horned_sheep justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/earthmobsmod/hyper_rabbit | justenoughbreeding:breeding | earthmobsmod:hyper_rabbit justenoughbreeding:breeding minecraft:carrot minecraft:dandelion minecraft:golden_carrot neoforge:mod_loaded
justenoughbreeding:breeding/earthmobsmod/joilly_llama | justenoughbreeding:breeding | earthmobsmod:jolly_llama justenoughbreeding:breeding minecraft:hay_block minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/earthmobsmod/jumbo_rabbit | justenoughbreeding:breeding | earthmobsmod:jumbo_rabbit justenoughbreeding:breeding minecraft:carrot minecraft:dandelion minecraft:golden_carrot neoforge:mod_loaded
justenoughbreeding:breeding/earthmobsmod/magma_cow | justenoughbreeding:breeding | earthmobsmod:magma_cow justenoughbreeding:breeding minecraft:magma_cream neoforge:mod_loaded
justenoughbreeding:breeding/earthmobsmod/moobloom | justenoughbreeding:breeding | earthmobsmod:moobloom justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/earthmobsmod/moolip | justenoughbreeding:breeding | earthmobsmod:moolip justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/earthmobsmod/teacup_pig | justenoughbreeding:breeding | earthmobsmod:teacup_pig justenoughbreeding:breeding minecraft:beetroot minecraft:carrot minecraft:potato neoforge:mod_loaded
justenoughbreeding:breeding/earthmobsmod/umbra_cow | justenoughbreeding:breeding | earthmobsmod:umbra_cow justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/earthmobsmod/wooly_cow | justenoughbreeding:breeding | earthmobsmod:wooly_cow justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/earthmobsmod/zombified_pig | justenoughbreeding:breeding | earthmobsmod:zombified_pig justenoughbreeding:breeding minecraft:beetroot minecraft:carrot minecraft:potato neoforge:mod_loaded
justenoughbreeding:breeding/earthmobsmod/zombified_rabbit | justenoughbreeding:breeding | earthmobsmod:zombified_rabbit justenoughbreeding:breeding minecraft:carrot minecraft:dandelion minecraft:golden_carrot neoforge:mod_loaded
justenoughbreeding:breeding/ecologics/camel | justenoughbreeding:breeding | ecologics:camel ecologics:prickly_pear justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/ecologics/penguin | justenoughbreeding:breeding | ecologics:penguin ecologics:penguin_tempt_items justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/ecologics/squirrel | justenoughbreeding:breeding | ecologics:squirrel ecologics:squirrel_tempt_items justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/endergetic/puff_bug | justenoughbreeding:breeding | endergetic:puff_bug endergetic:tall_poise_bush justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/environmental/deer | justenoughbreeding:breeding | environmental:deer environmental:deer_food justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/environmental/duck | justenoughbreeding:breeding | environmental:duck environmental:duck_food justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/environmental/reindeer | justenoughbreeding:breeding | environmental:reindeer environmental:reindeer_food justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/environmental/slabfish | justenoughbreeding:breeding | environmental:slabfish environmental:slabfish_food justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/environmental/yak | justenoughbreeding:breeding | environmental:yak environmental:yak_food justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/environmental/zebra | justenoughbreeding:breeding | environmental:zebra justenoughbreeding:breeding minecraft:enchanted_golden_apple minecraft:golden_apple minecraft:golden_carrot neoforge:mod_loaded
justenoughbreeding:breeding/farmlife/domestic_tribull | justenoughbreeding:breeding | farmlife:domestic_tribull justenoughbreeding:breeding minecraft:beetroot neoforge:mod_loaded
justenoughbreeding:breeding/farmlife/galliraptor | justenoughbreeding:breeding | farmlife:galliraptor justenoughbreeding:breeding minecraft:melon minecraft:melon_seeds neoforge:mod_loaded
justenoughbreeding:breeding/fennecfox/fennecfox | justenoughbreeding:breeding | fennecfox:fennecfox justenoughbreeding:breeding minecraft:glow_berries minecraft:rabbit_foot minecraft:sweet_berries neoforge:mod_loaded
justenoughbreeding:breeding/fishofthieves/axolotl | justenoughbreeding:breeding | fishofthieves:worms justenoughbreeding:breeding minecraft:axolotl neoforge:mod_loaded
justenoughbreeding:breeding/fishofthieves/chicken | justenoughbreeding:breeding | fishofthieves:worms justenoughbreeding:breeding minecraft:chicken neoforge:mod_loaded
justenoughbreeding:breeding/friendsandfoes/crab | justenoughbreeding:breeding | friendsandfoes:crab friendsandfoes:crab_egg justenoughbreeding:breeding minecraft:kelp neoforge:mod_loaded
justenoughbreeding:breeding/friendsandfoes/glare | justenoughbreeding:breeding | friendsandfoes:glare friendsandfoes:glare_tempt_items justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/friendsandfoes/moobloom | justenoughbreeding:breeding | friendsandfoes:moobloom justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/frostrealm/crystal_fox | justenoughbreeding:breeding | frostrealm:bearberry frostrealm:crystal_fox justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/frostrealm/crystal_tortoise | justenoughbreeding:breeding | frostrealm:cold_grass frostrealm:crystal_tortoise justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/frostrealm/frost_wolf | justenoughbreeding:breeding | frostrealm:frost_wolf justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/frostrealm/seal | justenoughbreeding:breeding | frostrealm:seal justenoughbreeding:breeding minecraft:fishes neoforge:mod_loaded
justenoughbreeding:breeding/frostrealm/snowpile_quail | justenoughbreeding:breeding | frostrealm:snowpile_quail frostrealm:snowpile_quail_egg frostrealm:sugarbeet_seeds justenoughbreeding:breeding minecraft:beetroot_seeds minecraft:pumpkin_seeds minecraft:seeds neoforge:mod_loaded
justenoughbreeding:breeding/frozenup/chilloo | justenoughbreeding:breeding | frozenup:chilloo frozenup:chilloo_breed_items justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/frozenup/penguin | justenoughbreeding:breeding | frozenup:penguin justenoughbreeding:breeding minecraft:fishes neoforge:mod_loaded
justenoughbreeding:breeding/galosphere/spectre | justenoughbreeding:breeding | galosphere:lichen_cordyceps galosphere:spectre galosphere:spectre_spawn_egg justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/glare/glare | justenoughbreeding:breeding | glare:glare justenoughbreeding:breeding minecraft:glow_berries neoforge:mod_loaded
justenoughbreeding:breeding/iceandfire/amphithere | justenoughbreeding:breeding | iceandfire:amphithere iceandfire:spawn_egg_amphithere justenoughbreeding:breeding minecraft:cookie neoforge:mod_loaded
justenoughbreeding:breeding/iceandfire/fire_dragon | justenoughbreeding:breeding | iceandfire:dragonegg_bronze iceandfire:dragonegg_gray iceandfire:dragonegg_green iceandfire:dragonegg_red iceandfire:fire_dragon iceandfire:fire_stew iceandfire:spawn_egg_fire_dragon justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/iceandfire/hippocampus | justenoughbreeding:breeding | iceandfire:hippocampus iceandfire:spawn_egg_hippocampus justenoughbreeding:breeding minecraft:prismarine_crystals neoforge:mod_loaded
justenoughbreeding:breeding/iceandfire/hippogryph | justenoughbreeding:breeding | iceandfire:hippogryph iceandfire:hippogryph_egg iceandfire:spawn_egg_hippogryph justenoughbreeding:breeding minecraft:rabbit_stew neoforge:mod_loaded
justenoughbreeding:breeding/iceandfire/ice_dragon | justenoughbreeding:breeding | iceandfire:dragonegg_blue iceandfire:dragonegg_sapphire iceandfire:dragonegg_silver iceandfire:dragonegg_white iceandfire:frost_stew iceandfire:ice_dragon iceandfire:spawn_egg_ice_dragon justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/iceandfire/lightning_dragon | justenoughbreeding:breeding | iceandfire:dragonegg_amythest iceandfire:dragonegg_black iceandfire:dragonegg_copper iceandfire:dragonegg_electric iceandfire:lightning_dragon iceandfire:lightning_stew iceandfire:spawn_egg_lightning_dragon justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/kiwiboi/kiwi | justenoughbreeding:breeding | justenoughbreeding:breeding kiwiboi:kiwi kiwiboi:kiwicake neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/asian_leopard_cat | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:asian_leopard_cat koopascritters:cooked_wild_bird koopascritters:raw_wild_bird minecraft:chicken minecraft:cooked_chicken neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/attenboroughs_echidna | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:attenboroughs_echidna koopascritters:cooked_termite_kc koopascritters:termite_raw_kc neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/binturong | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:binturong koopascritters:fig_kc koopascritters:wasp_fig_kc neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/burrowing_owl | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:burrowing_owl minecraft:cooked_rabbit minecraft:rabbit neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/bush_dog | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:bush_dog koopascritters:raw_wild_bird minecraft:beef minecraft:chicken minecraft:cooked_beef minecraft:cooked_chicken minecraft:cooked_mutton minecraft:cooked_porkchop minecraft:cooked_rabbit minecraft:mutton minecraft:porkchop minecraft:rabbit minecraft:rotten_flesh neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/california_quail | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:california_quail minecraft:beetroot_seeds minecraft:melon_seeds minecraft:pumpkin_seeds minecraft:torchflower_seeds minecraft:wheat_seeds neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/cape_buffalo | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:cape_buffalo minecraft:wheat minecraft:wheat_seeds neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/chacoan_peccary | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:chacoan_peccary minecraft:cactus minecraft:glow_berries minecraft:sweet_berries neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/chinstrap_penguin | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:chinstrap_penguin minecraft:cod minecraft:cooked_cod minecraft:cooked_salmon minecraft:pufferfish minecraft:salmon minecraft:tropical_fish neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/fire_salamander | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:cooked_termite_kc koopascritters:fire_salamander koopascritters:termite_raw_kc neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/gentoo_penguin | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:gentoo_penguin minecraft:cod minecraft:cooked_cod minecraft:cooked_salmon minecraft:pufferfish minecraft:salmon minecraft:tropical_fish neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/giant_muntjac | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:giant_muntjac minecraft:wheat minecraft:wheat_seeds neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/helmeted_guineafowl | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:helmeted_guineafowl minecraft:beetroot_seeds minecraft:melon_seeds minecraft:pumpkin_seeds minecraft:torchflower_seeds minecraft:wheat_seeds neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/marabou_stork | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:marabou_stork koopascritters:raw_wild_bird minecraft:cod minecraft:pufferfish minecraft:rotten_flesh minecraft:salmon minecraft:tropical_fish neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/mexican_rosy_boa | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:mexican_rosy_boa minecraft:cooked_rabbit minecraft:rabbit neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/northern_rock_hopper_penguin | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:northern_rock_hopper_penguin minecraft:cod minecraft:cooked_cod minecraft:cooked_salmon minecraft:pufferfish minecraft:salmon minecraft:tropical_fish neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/pallas_cat | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:cooked_wild_bird koopascritters:pallas_cat koopascritters:raw_wild_bird minecraft:chicken minecraft:cooked_chicken neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/pink_land_iguana | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:pink_land_iguana minecraft:cactus minecraft:glow_berries minecraft:sweet_berries neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/pink_velvet_worm | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:pink_velvet_worm koopascritters:termite_raw_kc neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/south_island_takahe | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:south_island_takahe minecraft:beetroot_seeds minecraft:melon_seeds minecraft:pumpkin_seeds minecraft:torchflower_seeds minecraft:wheat_seeds neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/tricolor_hognose_snake | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:tricolor_hognose_snake minecraft:rabbit neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/uakari_monkey | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:fig_kc koopascritters:uakari_monkey minecraft:melon_slice neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/upside_down_jellyfish | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:upside_down_jellyfish minecraft:glow_ink_sac minecraft:ink_sac neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/yangtze_giant_softshell_turtle | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:yangtze_giant_softshell_turtle minecraft:cod minecraft:salmon neoforge:mod_loaded
justenoughbreeding:breeding/koopascritters/yellow_eye_penguin | justenoughbreeding:breeding | justenoughbreeding:breeding koopascritters:yellow_eye_penguin minecraft:cod minecraft:cooked_cod minecraft:cooked_salmon minecraft:pufferfish minecraft:salmon minecraft:tropical_fish neoforge:mod_loaded
justenoughbreeding:breeding/lilcritters/banded_penguin | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:banded_penguin neoforge:mod_loaded zawa:corydoras
justenoughbreeding:breeding/lilcritters/box_turtle | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:box_turtle neoforge:mod_loaded zawa:earthworm
justenoughbreeding:breeding/lilcritters/bullfrog | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:bullfrog neoforge:mod_loaded zawa:brown_rat
justenoughbreeding:breeding/lilcritters/capybara | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:capybara minecraft:melon_slice neoforge:mod_loaded
justenoughbreeding:breeding/lilcritters/dart_frog | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:dart_frog neoforge:mod_loaded zawa:leafcutter_ant
justenoughbreeding:breeding/lilcritters/dwarf_crocodile | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:dwarf_crocodile neoforge:mod_loaded zawa:brown_rat
justenoughbreeding:breeding/lilcritters/guinea_pig | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:guinea_pig minecraft:carrot neoforge:mod_loaded
justenoughbreeding:breeding/lilcritters/opossum | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:mystery_snail lilcritters:opossum neoforge:mod_loaded
justenoughbreeding:breeding/lilcritters/pacman_frog | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:pacman_frog neoforge:mod_loaded zawa:brown_rat
justenoughbreeding:breeding/lilcritters/pond_slider | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:pond_slider neoforge:mod_loaded zawa:water_lettuce
justenoughbreeding:breeding/lilcritters/pumpkin_toadlet | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:pumpkin_toadlet neoforge:mod_loaded zawa:leafcutter_ant
justenoughbreeding:breeding/lilcritters/raccoon | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:raccoon neoforge:mod_loaded zawa:small_meat
justenoughbreeding:breeding/lilcritters/skunk | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:skunk neoforge:mod_loaded zawa:earthworm
justenoughbreeding:breeding/lilcritters/small_clawed_otter | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:small_clawed_otter neoforge:mod_loaded zawa:mussels
justenoughbreeding:breeding/lilcritters/tomato_frog | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:tomato_frog neoforge:mod_loaded zawa:brown_rat
justenoughbreeding:breeding/lilcritters/tree_monitor | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:tree_monitor neoforge:mod_loaded zawa:termites
justenoughbreeding:breeding/lilcritters/tree_squirrel | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:tree_squirrel minecraft:pumpkin_seeds neoforge:mod_loaded
justenoughbreeding:breeding/lilcritters/tufted_deer | justenoughbreeding:breeding | justenoughbreeding:breeding lilcritters:tufted_deer minecraft:sweet_berries neoforge:mod_loaded
justenoughbreeding:breeding/lilwings/aponi | justenoughbreeding:breeding | justenoughbreeding:breeding lilwings:aponi lilwings:aponi_egg minecraft:brown_mushroom neoforge:mod_loaded
justenoughbreeding:breeding/lilwings/butter_gold | justenoughbreeding:breeding | justenoughbreeding:breeding lilwings:butter_gold lilwings:butter_gold_egg minecraft:dandelion neoforge:mod_loaded
justenoughbreeding:breeding/lilwings/cloudy_puff | justenoughbreeding:breeding | justenoughbreeding:breeding lilwings:cloudy_puff lilwings:cloudy_puff_egg minecraft:azure_bluet neoforge:mod_loaded
justenoughbreeding:breeding/lilwings/crystal_puff | justenoughbreeding:breeding | justenoughbreeding:breeding lilwings:crystal_puff lilwings:crystal_puff_egg minecraft:allium neoforge:mod_loaded
justenoughbreeding:breeding/lilwings/ender_wing | justenoughbreeding:breeding | justenoughbreeding:breeding lilwings:ender_wing lilwings:ender_wing_egg minecraft:lily_of_the_valley neoforge:mod_loaded
justenoughbreeding:breeding/lilwings/grayling | justenoughbreeding:breeding | justenoughbreeding:breeding lilwings:grayling lilwings:grayling_egg minecraft:moss_block neoforge:mod_loaded
justenoughbreeding:breeding/lilwings/painted_panther | justenoughbreeding:breeding | justenoughbreeding:breeding lilwings:painted_panther lilwings:painted_panther_egg minecraft:end_stone neoforge:mod_loaded
justenoughbreeding:breeding/lilwings/red_applefly | justenoughbreeding:breeding | justenoughbreeding:breeding lilwings:red_applefly lilwings:red_applefly_egg minecraft:apple neoforge:mod_loaded
justenoughbreeding:breeding/lilwings/shroom_skipper | justenoughbreeding:breeding | justenoughbreeding:breeding lilwings:shroom_skipper lilwings:shroom_skipper_egg minecraft:red_mushroom neoforge:mod_loaded
justenoughbreeding:breeding/lilwings/swallow_tail | justenoughbreeding:breeding | justenoughbreeding:breeding lilwings:swallow_tail lilwings:swallow_tail_egg minecraft:wheat_seeds neoforge:mod_loaded
justenoughbreeding:breeding/lilwings/swamp_hopper | justenoughbreeding:breeding | justenoughbreeding:breeding lilwings:swamp_hopper lilwings:swamp_hopper_egg minecraft:blue_orchid neoforge:mod_loaded
justenoughbreeding:breeding/lilwings/white_fox | justenoughbreeding:breeding | justenoughbreeding:breeding lilwings:white_fox lilwings:white_fox_egg minecraft:lily_of_the_valley neoforge:mod_loaded
justenoughbreeding:breeding/marineiguana/marineiguana | justenoughbreeding:breeding | justenoughbreeding:breeding marineiguana:marineiguana marineiguana:marineiguana_egg minecraft:seagrass neoforge:mod_loaded
justenoughbreeding:breeding/meadow/water_buffalo | justenoughbreeding:breeding | justenoughbreeding:breeding meadow:water_buffalo minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/meadow/wooly_cow | justenoughbreeding:breeding | justenoughbreeding:breeding meadow:wooly_cow minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/meadow/wooly_sheep | justenoughbreeding:breeding | justenoughbreeding:breeding meadow:wooly_sheep minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/minecraft/armadillo | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:armadillo minecraft:armadillo_food
justenoughbreeding:breeding/minecraft/axolotl | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:axolotl minecraft:axolotl_food
justenoughbreeding:breeding/minecraft/bee | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:bee minecraft:bee_food
justenoughbreeding:breeding/minecraft/brown_mooshroom | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:cow_food minecraft:mooshroom
justenoughbreeding:breeding/minecraft/camel | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:camel minecraft:camel_food
justenoughbreeding:breeding/minecraft/cat | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:cat minecraft:cat_food
justenoughbreeding:breeding/minecraft/chicken | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:chicken minecraft:chicken_food
justenoughbreeding:breeding/minecraft/cow | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:cow minecraft:cow_food
justenoughbreeding:breeding/minecraft/donkey | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:donkey minecraft:horse_food
justenoughbreeding:breeding/minecraft/fox | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:fox minecraft:fox_food
justenoughbreeding:breeding/minecraft/frog | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:frog minecraft:frog_food minecraft:frogspawn
justenoughbreeding:breeding/minecraft/goat | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:goat minecraft:goat_food
justenoughbreeding:breeding/minecraft/hoglin | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:hoglin minecraft:hoglin_food
justenoughbreeding:breeding/minecraft/horse | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:horse minecraft:horse_food
justenoughbreeding:breeding/minecraft/llama | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:llama minecraft:llama_food
justenoughbreeding:breeding/minecraft/mooshroom | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:cow_food minecraft:mooshroom
justenoughbreeding:breeding/minecraft/ocelot | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:ocelot minecraft:ocelot_food
justenoughbreeding:breeding/minecraft/panda | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:panda minecraft:panda_food
justenoughbreeding:breeding/minecraft/pig | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:pig minecraft:pig_food
justenoughbreeding:breeding/minecraft/rabbit | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:rabbit minecraft:rabbit_food
justenoughbreeding:breeding/minecraft/sheep | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:sheep minecraft:sheep_food
justenoughbreeding:breeding/minecraft/sniffer | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:sniffer minecraft:sniffer_egg minecraft:sniffer_food
justenoughbreeding:breeding/minecraft/strider | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:strider minecraft:strider_food
justenoughbreeding:breeding/minecraft/trader_llama | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:llama_food minecraft:trader_llama
justenoughbreeding:breeding/minecraft/turtle | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:turtle minecraft:turtle_egg minecraft:turtle_food
justenoughbreeding:breeding/minecraft/wolf | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:wolf minecraft:wolf_food
justenoughbreeding:breeding/more_critters/avoider | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:kelp more_critters:avoider neoforge:mod_loaded
justenoughbreeding:breeding/more_critters/balloon_rat | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:spider_eye more_critters:balloon_rat neoforge:mod_loaded
justenoughbreeding:breeding/more_critters/blubberfish | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:gravel more_critters:blubberfish neoforge:mod_loaded
justenoughbreeding:breeding/more_critters/bouncelizard | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:spider_eye more_critters:bouncelizard more_critters:bouncelizard_egg neoforge:mod_loaded
justenoughbreeding:breeding/more_critters/bunbug | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:dead_bush more_critters:bunbug neoforge:mod_loaded
justenoughbreeding:breeding/more_critters/kelpire | justenoughbreeding:breeding | justenoughbreeding:breeding more_critters:kelpire more_critters:raw_blubberfish neoforge:mod_loaded
justenoughbreeding:breeding/naturalist/alligator | justenoughbreeding:breeding | justenoughbreeding:breeding naturalist:alligator naturalist:alligator_egg naturalist:alligator_food_items neoforge:mod_loaded
justenoughbreeding:breeding/naturalist/bear | justenoughbreeding:breeding | justenoughbreeding:breeding naturalist:bear naturalist:bear_tempt_items neoforge:mod_loaded
justenoughbreeding:breeding/naturalist/boar | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:boar naturalist:boar_food_items neoforge:mod_loaded
justenoughbreeding:breeding/naturalist/butterfly | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:flowers naturalist:butterfly neoforge:mod_loaded
justenoughbreeding:breeding/naturalist/deer | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:apple naturalist:deer neoforge:mod_loaded
justenoughbreeding:breeding/naturalist/duck | justenoughbreeding:breeding | justenoughbreeding:breeding naturalist:duck naturalist:duck_food_items neoforge:mod_loaded
