cataclysm:abyss_eye | minecraft:crafting_shaped | cataclysm:abyss_eye minecraft:crafting_shaped minecraft:crying_obsidian minecraft:ender_eye minecraft:obsidian
cataclysm:stonecutting/frosted_stone_brick_wall_from_stonecutting | minecraft:stonecutting | cataclysm:frosted_stone_brick_wall cataclysm:frosted_stone_bricks minecraft:stonecutting
cataclysm:stonecutting/obsidian_brick_slab_from_stonecutting | minecraft:stonecutting | cataclysm:obsidian_brick_slab cataclysm:obsidian_bricks minecraft:obsidian minecraft:stonecutting
cataclysm:stonecutting/obsidian_brick_stairs_from_stonecutting | minecraft:stonecutting | cataclysm:obsidian_brick_stairs cataclysm:obsidian_bricks minecraft:obsidian minecraft:stonecutting
cataclysm:stonecutting/obsidian_brick_wall_from_stonecutting | minecraft:stonecutting | cataclysm:obsidian_brick_wall cataclysm:obsidian_bricks minecraft:obsidian minecraft:stonecutting
cataclysm:stonecutting/obsidian_bricks_from_stonecutting | minecraft:stonecutting | cataclysm:obsidian_bricks minecraft:obsidian minecraft:stonecutting
cataclysm:stonecutting/polished_azure_seastone_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:polished_azure_seastone minecraft:stonecutting
cataclysm:stonecutting/polished_azure_seastone_slab_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:polished_azure_seastone cataclysm:polished_azure_seastone_slab minecraft:stonecutting
cataclysm:stonecutting/polished_azure_seastone_stairs_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:polished_azure_seastone cataclysm:polished_azure_seastone_stairs minecraft:stonecutting
cataclysm:stonecutting/polished_azure_seastone_wall_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:polished_azure_seastone cataclysm:polished_azure_seastone_wall minecraft:stonecutting
cataclysm:stonecutting/polished_end_stone_from_stonecutting | minecraft:stonecutting | cataclysm:polished_end_stone minecraft:end_stone minecraft:stonecutting
cataclysm:stonecutting/polished_end_stone_slab_from_stonecutting | minecraft:stonecutting | cataclysm:polished_end_stone cataclysm:polished_end_stone_slab minecraft:end_stone minecraft:stonecutting
cataclysm:stonecutting/polished_end_stone_stairs_from_stonecutting | minecraft:stonecutting | cataclysm:polished_end_stone cataclysm:polished_end_stone_stairs minecraft:end_stone minecraft:stonecutting
cataclysm:stonecutting/polished_obsidian_from_stonecutting | minecraft:stonecutting | cataclysm:polished_obsidian minecraft:obsidian minecraft:stonecutting
cataclysm:stonecutting/polished_obsidian_slab_from_stonecutting | minecraft:stonecutting | cataclysm:polished_obsidian cataclysm:polished_obsidian_slab minecraft:obsidian minecraft:stonecutting
cataclysm:stonecutting/polished_obsidian_stairs_from_stonecutting | minecraft:stonecutting | cataclysm:polished_obsidian cataclysm:polished_obsidian_stairs minecraft:obsidian minecraft:stonecutting
cataclysm:stonecutting/polished_obsidian_wall_from_stonecutting | minecraft:stonecutting | cataclysm:polished_obsidian cataclysm:polished_obsidian_wall minecraft:obsidian minecraft:stonecutting
cataclysm:stonecutting/purpur_tile_pillar_from_stonecutting | minecraft:stonecutting | cataclysm:purpur_tile_pillar cataclysm:purpur_tiles minecraft:purpur_block minecraft:stonecutting
cataclysm:stonecutting/purpur_tile_slab_from_stonecutting | minecraft:stonecutting | cataclysm:purpur_tile_slab cataclysm:purpur_tiles minecraft:purpur_block minecraft:stonecutting
cataclysm:stonecutting/purpur_tile_stairs_from_stonecutting | minecraft:stonecutting | cataclysm:purpur_tile_stairs cataclysm:purpur_tiles minecraft:purpur_block minecraft:stonecutting
cataclysm:stonecutting/purpur_tile_wall_from_stonecutting | minecraft:stonecutting | cataclysm:purpur_tile_wall cataclysm:purpur_tiles minecraft:purpur_block minecraft:stonecutting
cataclysm:stonecutting/purpur_tiles_from_stonecutting | minecraft:stonecutting | cataclysm:purpur_tiles minecraft:purpur_block minecraft:stonecutting
cataclysm:stonecutting/purpur_wall_from_stonecutting | minecraft:stonecutting | cataclysm:purpur_wall minecraft:purpur_block minecraft:stonecutting
cataclysm:stonecutting/quartz_brick_wall_from_stonecutting | minecraft:stonecutting | cataclysm:quartz_brick_wall minecraft:quartz_bricks minecraft:stonecutting
cataclysm:stonecutting/stone_pillar_from_stonecutting | minecraft:stonecutting | cataclysm:stone_pillar minecraft:stone minecraft:stonecutting
cataclysm:stonecutting/stone_tile_slab_from_stonecutting | minecraft:stonecutting | cataclysm:stone_tile_slab cataclysm:stone_tiles minecraft:stone minecraft:stonecutting
cataclysm:stonecutting/stone_tile_stairs_from_stonecutting | minecraft:stonecutting | cataclysm:stone_tile_stairs cataclysm:stone_tiles minecraft:stone minecraft:stonecutting
cataclysm:stonecutting/stone_tile_wall_from_stonecutting | minecraft:stonecutting | cataclysm:stone_tile_wall cataclysm:stone_tiles minecraft:stone minecraft:stonecutting
cataclysm:stonecutting/stone_tiles_from_stonecutting | minecraft:stonecutting | cataclysm:stone_tiles minecraft:stone minecraft:stone_bricks minecraft:stonecutting
cataclysm:storm_eye | minecraft:crafting_shaped | cataclysm:storm_eye minecraft:crafting_shaped minecraft:diamond minecraft:ender_eye minecraft:lightning_rod minecraft:prismarine_crystals minecraft:prismarine_shard minecraft:water_bucket
cataclysm:the_annihilator | minecraft:crafting_shaped | cataclysm:black_steel_ingot cataclysm:cursium_ingot cataclysm:the_annihilator minecraft:crafting_shaped
cataclysm:the_incinerator | minecraft:crafting_shaped | cataclysm:ignitium_ingot cataclysm:the_incinerator minecraft:blaze_rod minecraft:crafting_shaped minecraft:netherite_sword
cataclysm:void_eye | minecraft:crafting_shaped | cataclysm:void_eye minecraft:crafting_shaped minecraft:end_stone_bricks minecraft:ender_eye minecraft:purpur_block minecraft:purpur_pillar minecraft:shulker_shell
cataclysm:void_purpur_tiles | minecraft:crafting_shaped | cataclysm:purpur_tiles cataclysm:void_purpur_tiles cataclysm:void_stone minecraft:crafting_shaped
cataclysm:void_scatter_arrow | minecraft:crafting_shaped | cataclysm:void_jaw cataclysm:void_scatter_arrow minecraft:crafting_shaped minecraft:spectral_arrow
cataclysm:weapon_infusion/brontes | cataclysm:weapon_fusion | cataclysm:astrape cataclysm:brontes cataclysm:infernal_forge cataclysm:weapon_fusion
cataclysm:weapon_infusion/gauntlet_of_bulwark | cataclysm:weapon_fusion | cataclysm:bulwark_of_the_flame cataclysm:gauntlet_of_bulwark cataclysm:gauntlet_of_guard cataclysm:weapon_fusion
cataclysm:weapon_infusion/gauntlet_of_maelstrom | cataclysm:weapon_fusion | cataclysm:gauntlet_of_guard cataclysm:gauntlet_of_maelstrom cataclysm:sandstorm_in_a_bottle cataclysm:weapon_fusion
cataclysm:weapon_infusion/ignitium_elytra_chestplate | cataclysm:weapon_fusion | cataclysm:ignitium_chestplate cataclysm:ignitium_elytra_chestplate cataclysm:weapon_fusion minecraft:elytra
cataclysm:weapon_infusion/the_immolator | cataclysm:weapon_fusion | cataclysm:ignitium_ingot cataclysm:the_annihilator cataclysm:the_immolator cataclysm:weapon_fusion
cataclysm:weapon_infusion/void_assault_shoulder_weapon | cataclysm:weapon_fusion | cataclysm:void_assault_shoulder_weapon cataclysm:void_core cataclysm:weapon_fusion cataclysm:wither_assault_shoulder_weapon
cataclysm:weapon_infusion/void_forge | cataclysm:weapon_fusion | cataclysm:infernal_forge cataclysm:void_core cataclysm:void_forge cataclysm:weapon_fusion
cataclysm:weapon_infusion/wrath_of_the_desert | cataclysm:weapon_fusion | cataclysm:cursed_bow cataclysm:sandstorm_in_a_bottle cataclysm:weapon_fusion cataclysm:wrath_of_the_desert
cataclysm:wither_assault_shoulder_weapon | minecraft:crafting_shaped | cataclysm:wither_assault_shoulder_weapon cataclysm:witherite_ingot minecraft:crafting_shaped minecraft:gunpowder minecraft:redstone_block
cataclysm:witherite_block | minecraft:crafting_shaped | cataclysm:witherite_block cataclysm:witherite_ingot minecraft:crafting_shaped
cataclysm:witherite_ingot | minecraft:crafting_shapeless | cataclysm:witherite_block cataclysm:witherite_ingot minecraft:crafting_shapeless
