samurai_dynasty:cloth | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:wool samurai_dynasty:cloth
samurai_dynasty:naginata | minecraft:crafting_shaped | c:ingots/gold c:ingots/steel minecraft:crafting_shaped samurai_dynasty:naginata samurai_dynasty:spear_handle
samurai_dynasty:netherite_kabutowari_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:kabutowari samurai_dynasty:kabutowari_netherite
samurai_dynasty:netherite_kama_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:kama samurai_dynasty:kama_netherite
samurai_dynasty:netherite_kamayari_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:kamayari samurai_dynasty:kamayari_netherite
samurai_dynasty:netherite_katana_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:katana samurai_dynasty:katana_netherite
samurai_dynasty:netherite_kunai_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:kunai samurai_dynasty:kunai_netherite
samurai_dynasty:netherite_masakari_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:masakari samurai_dynasty:masakari_netherite
samurai_dynasty:netherite_nagamaki_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:nagamaki samurai_dynasty:nagamaki_netherite
samurai_dynasty:netherite_naginata_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:naginata samurai_dynasty:naginata_netherite
samurai_dynasty:netherite_ninja_boots_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:netherite_ninja_boots samurai_dynasty:steel_ninja_boots
samurai_dynasty:netherite_ninja_chestplate_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:netherite_ninja_chestplate samurai_dynasty:steel_ninja_chestplate
samurai_dynasty:netherite_ninja_helmet_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:netherite_ninja_helmet samurai_dynasty:steel_ninja_helmet
samurai_dynasty:netherite_odachi_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:odachi samurai_dynasty:odachi_netherite
samurai_dynasty:netherite_sai_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:sai samurai_dynasty:sai_netherite
samurai_dynasty:netherite_samruai_boots_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:netherite_samurai_boots samurai_dynasty:steel_samurai_boots
samurai_dynasty:netherite_samruai_chestplate_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:netherite_samurai_chestplate samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:netherite_samruai_helmet_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:netherite_samurai_helmet samurai_dynasty:steel_samurai_helmet
samurai_dynasty:netherite_samruai_leggings_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:netherite_samurai_leggings samurai_dynasty:steel_samurai_leggings
samurai_dynasty:netherite_shuko_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:shuko samurai_dynasty:shuko_netherite
samurai_dynasty:netherite_tetsubo_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:tetsubo samurai_dynasty:tetsubo_netherite
samurai_dynasty:netherite_tonbukiri_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:tonbukiri samurai_dynasty:tonbukiri_netherite
samurai_dynasty:netherite_wakizashi_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform samurai_dynasty:wakizashi samurai_dynasty:wakizashi_netherite
samurai_dynasty:ninja_leggings | minecraft:crafting_shaped | minecraft:crafting_shaped samurai_dynasty:cloth samurai_dynasty:ninja_leggings
samurai_dynasty:odachi | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped samurai_dynasty:katana samurai_dynasty:odachi
samurai_dynasty:oni_mask | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped samurai_dynasty:oni_horn samurai_dynasty:oni_mask
samurai_dynasty:sai | minecraft:crafting_shaped | c:ingots/steel c:nuggets/steel minecraft:crafting_shaped samurai_dynasty:knive_handle samurai_dynasty:sai
samurai_dynasty:shuko | minecraft:crafting_shaped | c:ingots/gold c:ingots/steel c:nuggets/steel minecraft:crafting_shaped samurai_dynasty:katana_handle samurai_dynasty:shuko
samurai_dynasty:shuriken | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped samurai_dynasty:shuriken
samurai_dynasty:spear_handle | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick samurai_dynasty:katana_handle samurai_dynasty:spear_handle
samurai_dynasty:spirit_upgrade_smithing_template | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diamond samurai_dynasty:spirit_stone samurai_dynasty:spirit_upgrade_smithing_template
samurai_dynasty:steel_block | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped samurai_dynasty:steel_block
samurai_dynasty:steel_boots | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped minecraft:leather samurai_dynasty:steel_boots
samurai_dynasty:steel_chestplate | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped minecraft:leather samurai_dynasty:steel_chestplate
samurai_dynasty:steel_helmet | minecraft:crafting_shaped | c:feathers c:ingots/steel minecraft:crafting_shaped samurai_dynasty:steel_helmet
samurai_dynasty:steel_ingot | minecraft:crafting_shapeless | minecraft:crafting_shapeless samurai_dynasty:steel_block samurai_dynasty:steel_ingot
samurai_dynasty:steel_ingot_from_blasting_iron_ingot | minecraft:blasting | minecraft:blasting minecraft:iron_ingot samurai_dynasty:steel_ingot
samurai_dynasty:steel_ingot_from_nugget | minecraft:crafting_shaped | c:nuggets/steel minecraft:crafting_shaped samurai_dynasty:steel_ingot
samurai_dynasty:steel_leggings | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped minecraft:leather samurai_dynasty:steel_leggings
samurai_dynasty:steel_ninja_boots | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped samurai_dynasty:cloth samurai_dynasty:steel_ninja_boots
samurai_dynasty:steel_ninja_chestplate | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped samurai_dynasty:cloth samurai_dynasty:steel_ninja_chestplate
samurai_dynasty:steel_ninja_helmet | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped samurai_dynasty:cloth samurai_dynasty:steel_ninja_helmet
samurai_dynasty:steel_nugget | minecraft:crafting_shapeless | minecraft:crafting_shapeless samurai_dynasty:steel_ingot samurai_dynasty:steel_nugget
samurai_dynasty:steel_samurai_boots | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped minecraft:iron_ingot samurai_dynasty:steel_samurai_boots
samurai_dynasty:steel_samurai_chestplate | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped minecraft:iron_ingot samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:steel_samurai_helmet | minecraft:crafting_shaped | c:gems/jade c:ingots/steel minecraft:crafting_shaped minecraft:iron_ingot samurai_dynasty:steel_samurai_helmet
samurai_dynasty:steel_samurai_leggings | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped minecraft:iron_ingot samurai_dynasty:steel_samurai_leggings
samurai_dynasty:stones/chiseled_pattern_spirit_stone_from_stonecutting | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:chiseled_pattern_spirit_stone_bricks samurai_dynasty:spirit_stone
samurai_dynasty:stones/chiseled_spirit_stone_from_stonecutting | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:chiseled_spirit_stone_bricks samurai_dynasty:spirit_stone
samurai_dynasty:stones/dragon_spirit_stone_from_stonecutting | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:dragon_spirit_stone samurai_dynasty:spirit_stone
samurai_dynasty:stones/kawauso_statue | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:kawauso_statue samurai_dynasty:spirit_stone
samurai_dynasty:stones/komainu_statue | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:komainu_statue samurai_dynasty:spirit_stone
samurai_dynasty:stones/mosaic_spirit_stone_from_stonecutting | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:mosaic_spirit_stone_bricks samurai_dynasty:spirit_stone
samurai_dynasty:stones/mossy_pattern_spirit_stone | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:vine samurai_dynasty:pattern_mossy_spirit_stone_bricks samurai_dynasty:pattern_spirit_stone_bricks
samurai_dynasty:stones/mossy_pattern_spirit_stone2 | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:moss_block samurai_dynasty:pattern_mossy_spirit_stone_bricks samurai_dynasty:pattern_spirit_stone_bricks
samurai_dynasty:stones/mossy_spirit_stone | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:vine samurai_dynasty:mossy_spirit_stone_bricks samurai_dynasty:spirit_stone
samurai_dynasty:stones/mossy_spirit_stone2 | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:moss_block samurai_dynasty:mossy_spirit_stone_bricks samurai_dynasty:spirit_stone
samurai_dynasty:stones/mossy_spirit_stone_brick_slab | minecraft:crafting_shaped | minecraft:crafting_shaped samurai_dynasty:mossy_spirit_stone_brick_slab samurai_dynasty:mossy_spirit_stone_bricks
samurai_dynasty:stones/mossy_spirit_stone_brick_slab_from_stonecutting | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:mossy_spirit_stone_brick_slab samurai_dynasty:mossy_spirit_stone_bricks
samurai_dynasty:stones/mossy_spirit_stone_brick_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped samurai_dynasty:mossy_spirit_stone_brick_stairs samurai_dynasty:mossy_spirit_stone_bricks
samurai_dynasty:stones/mossy_spirit_stone_brick_stairs_from_stonecutting | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:mossy_spirit_stone_brick_stairs samurai_dynasty:mossy_spirit_stone_bricks
samurai_dynasty:stones/mossy_spirit_stone_brick_wall | minecraft:crafting_shaped | minecraft:crafting_shaped samurai_dynasty:mossy_spirit_stone_brick_wall samurai_dynasty:mossy_spirit_stone_bricks
samurai_dynasty:stones/mossy_spirit_stone_brick_wall_from_stonecutting | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:mossy_spirit_stone_brick_wall samurai_dynasty:mossy_spirit_stone_bricks
samurai_dynasty:stones/path_spirit_stone_from_stonecutting | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:path_spirit_stone_bricks samurai_dynasty:spirit_stone
samurai_dynasty:stones/pattern_spirit_stone_from_stonecutting | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:pattern_spirit_stone_bricks samurai_dynasty:spirit_stone
samurai_dynasty:stones/polished_spirit_stone_from_stonecutting | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:polished_spirit_stone samurai_dynasty:spirit_stone
samurai_dynasty:stones/polished_spirit_stone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped samurai_dynasty:polished_spirit_stone samurai_dynasty:polished_spirit_stone_slab
samurai_dynasty:stones/polished_spirit_stone_slab_from_stonecutting | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:polished_spirit_stone samurai_dynasty:polished_spirit_stone_slab
samurai_dynasty:stones/polished_spirit_stone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped samurai_dynasty:polished_spirit_stone samurai_dynasty:polished_spirit_stone_stairs
samurai_dynasty:stones/polished_spirit_stone_stairs_from_stonecutting | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:polished_spirit_stone samurai_dynasty:polished_spirit_stone_stairs
samurai_dynasty:stones/polished_spirit_stone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped samurai_dynasty:polished_spirit_stone samurai_dynasty:polished_spirit_stone_wall
samurai_dynasty:stones/polished_spirit_stone_wall_from_stonecutting | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:polished_spirit_stone samurai_dynasty:polished_spirit_stone_wall
samurai_dynasty:stones/spirit_stone | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stone samurai_dynasty:spirit_flame samurai_dynasty:spirit_stone
samurai_dynasty:stones/spirit_stone_base | minecraft:crafting_shaped | minecraft:crafting_shaped samurai_dynasty:spirit_stone samurai_dynasty:spirit_stone_base
samurai_dynasty:stones/spirit_stone_from_stonecutting | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:spirit_stone samurai_dynasty:spirit_stone_base
samurai_dynasty:stones/spirit_stone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped samurai_dynasty:spirit_stone samurai_dynasty:spirit_stone_slab
samurai_dynasty:stones/spirit_stone_slab_from_stonecutting | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:spirit_stone samurai_dynasty:spirit_stone_slab
samurai_dynasty:stones/spirit_stone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped samurai_dynasty:spirit_stone samurai_dynasty:spirit_stone_stairs
samurai_dynasty:stones/spirit_stone_stairs_from_stonecutting | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:spirit_stone samurai_dynasty:spirit_stone_stairs
samurai_dynasty:stones/spirit_stone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped samurai_dynasty:spirit_stone samurai_dynasty:spirit_stone_wall
samurai_dynasty:stones/spirit_stone_wall_from_stonecutting | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:spirit_stone samurai_dynasty:spirit_stone_wall
samurai_dynasty:stones/stone_roof | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:spirit_stone samurai_dynasty:stone_roof
samurai_dynasty:stones/stone_roof_corner | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:spirit_stone samurai_dynasty:stone_roof_corner
samurai_dynasty:stones/stone_roof_top | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:spirit_stone samurai_dynasty:stone_roof_top
samurai_dynasty:stones/tanuki_statue | minecraft:stonecutting | minecraft:stonecutting samurai_dynasty:spirit_stone samurai_dynasty:tanuki_statue
samurai_dynasty:straw_hat | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:leather minecraft:wheat samurai_dynasty:straw_hat
samurai_dynasty:tetsubo | minecraft:crafting_shaped | c:ingots/gold c:ingots/steel minecraft:crafting_shaped samurai_dynasty:katana_handle samurai_dynasty:tetsubo
samurai_dynasty:tonbukiri | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped samurai_dynasty:katana_handle samurai_dynasty:tonbukiri
samurai_dynasty:wakizashi | minecraft:crafting_shaped | c:ingots/steel c:nuggets/gold minecraft:crafting_shaped samurai_dynasty:katana_handle samurai_dynasty:wakizashi
samurai_dynasty:yumi | minecraft:crafting_shaped | c:ingots/steel minecraft:bow minecraft:crafting_shaped minecraft:leather samurai_dynasty:yumi
