mcwroofs:acacia_attic_roof | minecraft:crafting_shaped | mcwroofs:acacia_attic_roof minecraft:acacia_log minecraft:crafting_shaped minecraft:glass
mcwroofs:dark_oak_planks_lower_roof | minecraft:crafting_shaped | mcwroofs:dark_oak_planks_lower_roof minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:stick
mcwroofs:dark_oak_planks_roof | minecraft:crafting_shaped | mcwroofs:dark_oak_planks_roof minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:stick
mcwroofs:dark_oak_planks_steep_roof | minecraft:crafting_shaped | mcwroofs:dark_oak_planks_steep_roof minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:stick
mcwroofs:dark_oak_planks_top_roof | minecraft:crafting_shaped | mcwroofs:dark_oak_planks_top_roof minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:stick
mcwroofs:dark_oak_planks_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:dark_oak_planks_upper_lower_roof minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:stick
mcwroofs:dark_oak_planks_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:dark_oak_planks_upper_steep_roof minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:stick
mcwroofs:dark_oak_roof | minecraft:crafting_shaped | mcwroofs:dark_oak_roof minecraft:crafting_shaped minecraft:dark_oak_log minecraft:stick
mcwroofs:dark_oak_steep_roof | minecraft:crafting_shaped | mcwroofs:dark_oak_steep_roof minecraft:crafting_shaped minecraft:dark_oak_log minecraft:stick
mcwroofs:dark_oak_top_roof | minecraft:crafting_shaped | mcwroofs:dark_oak_top_roof minecraft:crafting_shaped minecraft:dark_oak_log minecraft:stick
mcwroofs:dark_oak_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:dark_oak_upper_lower_roof minecraft:crafting_shaped minecraft:dark_oak_log minecraft:stick
mcwroofs:dark_oak_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:dark_oak_upper_steep_roof minecraft:crafting_shaped minecraft:dark_oak_log minecraft:stick
mcwroofs:dark_prismarine_attic_roof | minecraft:stonecutting | mcwroofs:dark_prismarine_attic_roof minecraft:dark_prismarine minecraft:stonecutting
mcwroofs:dark_prismarine_lower_roof | minecraft:stonecutting | mcwroofs:dark_prismarine_lower_roof minecraft:dark_prismarine minecraft:stonecutting
mcwroofs:dark_prismarine_roof | minecraft:stonecutting | mcwroofs:dark_prismarine_roof minecraft:dark_prismarine minecraft:stonecutting
mcwroofs:dark_prismarine_steep_roof | minecraft:stonecutting | mcwroofs:dark_prismarine_steep_roof minecraft:dark_prismarine minecraft:stonecutting
mcwroofs:dark_prismarine_top_roof | minecraft:stonecutting | mcwroofs:dark_prismarine_top_roof minecraft:dark_prismarine minecraft:stonecutting
mcwroofs:dark_prismarine_upper_lower_roof | minecraft:stonecutting | mcwroofs:dark_prismarine_upper_lower_roof minecraft:dark_prismarine minecraft:stonecutting
mcwroofs:dark_prismarine_upper_steep_roof | minecraft:stonecutting | mcwroofs:dark_prismarine_upper_steep_roof minecraft:dark_prismarine minecraft:stonecutting
mcwroofs:deepslate_attic_roof | minecraft:stonecutting | mcwroofs:deepslate_attic_roof minecraft:deepslate minecraft:stonecutting
mcwroofs:deepslate_lower_roof | minecraft:stonecutting | mcwroofs:deepslate_lower_roof minecraft:deepslate minecraft:stonecutting
mcwroofs:deepslate_roof | minecraft:stonecutting | mcwroofs:deepslate_roof minecraft:deepslate minecraft:stonecutting
mcwroofs:deepslate_steep_roof | minecraft:stonecutting | mcwroofs:deepslate_steep_roof minecraft:deepslate minecraft:stonecutting
mcwroofs:deepslate_top_roof | minecraft:stonecutting | mcwroofs:deepslate_top_roof minecraft:deepslate minecraft:stonecutting
mcwroofs:deepslate_upper_lower_roof | minecraft:stonecutting | mcwroofs:deepslate_upper_lower_roof minecraft:deepslate minecraft:stonecutting
mcwroofs:deepslate_upper_steep_roof | minecraft:stonecutting | mcwroofs:deepslate_upper_steep_roof minecraft:deepslate minecraft:stonecutting
mcwroofs:diorite_attic_roof | minecraft:stonecutting | mcwroofs:diorite_attic_roof minecraft:diorite minecraft:stonecutting
mcwroofs:diorite_lower_roof | minecraft:stonecutting | mcwroofs:diorite_lower_roof minecraft:diorite minecraft:stonecutting
mcwroofs:diorite_roof | minecraft:stonecutting | mcwroofs:diorite_roof minecraft:diorite minecraft:stonecutting
mcwroofs:diorite_steep_roof | minecraft:stonecutting | mcwroofs:diorite_steep_roof minecraft:diorite minecraft:stonecutting
mcwroofs:diorite_top_roof | minecraft:stonecutting | mcwroofs:diorite_top_roof minecraft:diorite minecraft:stonecutting
mcwroofs:diorite_upper_lower_roof | minecraft:stonecutting | mcwroofs:diorite_upper_lower_roof minecraft:diorite minecraft:stonecutting
mcwroofs:diorite_upper_steep_roof | minecraft:stonecutting | mcwroofs:diorite_upper_steep_roof minecraft:diorite minecraft:stonecutting
mcwroofs:granite_attic_roof | minecraft:stonecutting | mcwroofs:granite_attic_roof minecraft:granite minecraft:stonecutting
mcwroofs:granite_lower_roof | minecraft:stonecutting | mcwroofs:granite_lower_roof minecraft:granite minecraft:stonecutting
mcwroofs:granite_roof | minecraft:stonecutting | mcwroofs:granite_roof minecraft:granite minecraft:stonecutting
mcwroofs:granite_steep_roof | minecraft:stonecutting | mcwroofs:granite_steep_roof minecraft:granite minecraft:stonecutting
mcwroofs:granite_top_roof | minecraft:stonecutting | mcwroofs:granite_top_roof minecraft:granite minecraft:stonecutting
mcwroofs:granite_upper_lower_roof | minecraft:stonecutting | mcwroofs:granite_upper_lower_roof minecraft:granite minecraft:stonecutting
mcwroofs:granite_upper_steep_roof | minecraft:stonecutting | mcwroofs:granite_upper_steep_roof minecraft:granite minecraft:stonecutting
mcwroofs:grass_attic_roof | minecraft:stonecutting | mcwroofs:grass_attic_roof minecraft:grass_block minecraft:stonecutting
mcwroofs:grass_lower_roof | minecraft:stonecutting | mcwroofs:grass_lower_roof minecraft:grass_block minecraft:stonecutting
mcwroofs:grass_roof | minecraft:stonecutting | mcwroofs:grass_roof minecraft:grass_block minecraft:stonecutting
mcwroofs:grass_steep_roof | minecraft:stonecutting | mcwroofs:grass_steep_roof minecraft:grass_block minecraft:stonecutting
mcwroofs:grass_top_roof | minecraft:stonecutting | mcwroofs:grass_top_roof minecraft:grass_block minecraft:stonecutting
mcwroofs:grass_upper_lower_roof | minecraft:stonecutting | mcwroofs:grass_upper_lower_roof minecraft:grass_block minecraft:stonecutting
mcwroofs:grass_upper_steep_roof | minecraft:stonecutting | mcwroofs:grass_upper_steep_roof minecraft:grass_block minecraft:stonecutting
mcwroofs:gray_attic_roof | minecraft:stonecutting | mcwroofs:gray_attic_roof minecraft:gray_terracotta minecraft:stonecutting
mcwroofs:gray_concrete_attic_roof | minecraft:stonecutting | mcwroofs:gray_concrete_attic_roof minecraft:gray_concrete minecraft:stonecutting
mcwroofs:gray_concrete_lower_roof | minecraft:stonecutting | mcwroofs:gray_concrete_lower_roof minecraft:gray_concrete minecraft:stonecutting
mcwroofs:gray_concrete_roof | minecraft:stonecutting | mcwroofs:gray_concrete_roof minecraft:gray_concrete minecraft:stonecutting
mcwroofs:gray_concrete_steep_roof | minecraft:stonecutting | mcwroofs:gray_concrete_steep_roof minecraft:gray_concrete minecraft:stonecutting
mcwroofs:gray_concrete_top_roof | minecraft:stonecutting | mcwroofs:gray_concrete_top_roof minecraft:gray_concrete minecraft:stonecutting
mcwroofs:gray_concrete_upper_lower_roof | minecraft:stonecutting | mcwroofs:gray_concrete_upper_lower_roof minecraft:gray_concrete minecraft:stonecutting
mcwroofs:gray_concrete_upper_steep_roof | minecraft:stonecutting | mcwroofs:gray_concrete_upper_steep_roof minecraft:gray_concrete minecraft:stonecutting
mcwroofs:gray_lower_roof | minecraft:stonecutting | mcwroofs:gray_lower_roof minecraft:gray_terracotta minecraft:stonecutting
mcwroofs:gray_roof | minecraft:stonecutting | mcwroofs:gray_roof minecraft:gray_terracotta minecraft:stonecutting
mcwroofs:gray_roof_block | minecraft:stonecutting | mcwroofs:gray_roof_block minecraft:gray_terracotta minecraft:stonecutting
mcwroofs:gray_roof_slab | minecraft:stonecutting | mcwroofs:gray_roof_slab minecraft:gray_terracotta minecraft:stonecutting
mcwroofs:gray_steep_roof | minecraft:stonecutting | mcwroofs:gray_steep_roof minecraft:gray_terracotta minecraft:stonecutting
mcwroofs:gray_striped_awning | minecraft:crafting_shaped | mcwroofs:gray_striped_awning minecraft:crafting_shaped minecraft:gray_carpet minecraft:white_carpet
mcwroofs:gray_terracotta_attic_roof | minecraft:stonecutting | mcwroofs:gray_terracotta_attic_roof minecraft:gray_terracotta minecraft:stonecutting
mcwroofs:gray_terracotta_lower_roof | minecraft:stonecutting | mcwroofs:gray_terracotta_lower_roof minecraft:gray_terracotta minecraft:stonecutting
mcwroofs:gray_terracotta_roof | minecraft:stonecutting | mcwroofs:gray_terracotta_roof minecraft:gray_terracotta minecraft:stonecutting
mcwroofs:gray_terracotta_steep_roof | minecraft:stonecutting | mcwroofs:gray_terracotta_steep_roof minecraft:gray_terracotta minecraft:stonecutting
mcwroofs:gray_terracotta_top_roof | minecraft:stonecutting | mcwroofs:gray_terracotta_top_roof minecraft:gray_terracotta minecraft:stonecutting
mcwroofs:gray_terracotta_upper_lower_roof | minecraft:stonecutting | mcwroofs:gray_terracotta_upper_lower_roof minecraft:gray_terracotta minecraft:stonecutting
mcwroofs:gray_terracotta_upper_steep_roof | minecraft:stonecutting | mcwroofs:gray_terracotta_upper_steep_roof minecraft:gray_terracotta minecraft:stonecutting
mcwroofs:gray_top_roof | minecraft:stonecutting | mcwroofs:gray_top_roof minecraft:gray_terracotta minecraft:stonecutting
mcwroofs:gray_upper_lower_roof | minecraft:stonecutting | mcwroofs:gray_upper_lower_roof minecraft:gray_terracotta minecraft:stonecutting
mcwroofs:gray_upper_steep_roof | minecraft:stonecutting | mcwroofs:gray_upper_steep_roof minecraft:gray_terracotta minecraft:stonecutting
mcwroofs:green_concrete_attic_roof | minecraft:stonecutting | mcwroofs:green_concrete_attic_roof minecraft:green_concrete minecraft:stonecutting
mcwroofs:green_concrete_lower_roof | minecraft:stonecutting | mcwroofs:green_concrete_lower_roof minecraft:green_concrete minecraft:stonecutting
mcwroofs:green_concrete_roof | minecraft:stonecutting | mcwroofs:green_concrete_roof minecraft:green_concrete minecraft:stonecutting
mcwroofs:green_concrete_steep_roof | minecraft:stonecutting | mcwroofs:green_concrete_steep_roof minecraft:green_concrete minecraft:stonecutting
mcwroofs:green_concrete_top_roof | minecraft:stonecutting | mcwroofs:green_concrete_top_roof minecraft:green_concrete minecraft:stonecutting
mcwroofs:green_concrete_upper_lower_roof | minecraft:stonecutting | mcwroofs:green_concrete_upper_lower_roof minecraft:green_concrete minecraft:stonecutting
mcwroofs:green_concrete_upper_steep_roof | minecraft:stonecutting | mcwroofs:green_concrete_upper_steep_roof minecraft:green_concrete minecraft:stonecutting
mcwroofs:green_striped_awning | minecraft:crafting_shaped | mcwroofs:green_striped_awning minecraft:crafting_shaped minecraft:green_carpet minecraft:white_carpet
mcwroofs:green_terracotta_attic_roof | minecraft:stonecutting | mcwroofs:green_terracotta_attic_roof minecraft:green_terracotta minecraft:stonecutting
mcwroofs:green_terracotta_lower_roof | minecraft:stonecutting | mcwroofs:green_terracotta_lower_roof minecraft:green_terracotta minecraft:stonecutting
mcwroofs:green_terracotta_roof | minecraft:stonecutting | mcwroofs:green_terracotta_roof minecraft:green_terracotta minecraft:stonecutting
mcwroofs:green_terracotta_steep_roof | minecraft:stonecutting | mcwroofs:green_terracotta_steep_roof minecraft:green_terracotta minecraft:stonecutting
mcwroofs:green_terracotta_top_roof | minecraft:stonecutting | mcwroofs:green_terracotta_top_roof minecraft:green_terracotta minecraft:stonecutting
mcwroofs:green_terracotta_upper_lower_roof | minecraft:stonecutting | mcwroofs:green_terracotta_upper_lower_roof minecraft:green_terracotta minecraft:stonecutting
mcwroofs:green_terracotta_upper_steep_roof | minecraft:stonecutting | mcwroofs:green_terracotta_upper_steep_roof minecraft:green_terracotta minecraft:stonecutting
mcwroofs:gutter | minecraft:crafting_shaped | mcwroofs:rain_gutter minecraft:crafting_shaped minecraft:iron_nugget
mcwroofs:gutter_base | minecraft:crafting_shaped | mcwroofs:gutter_base mcwroofs:rain_gutter minecraft:crafting_shaped
mcwroofs:gutter_base_black | minecraft:crafting_shaped | mcwroofs:gutter_base mcwroofs:gutter_base_black minecraft:black_dye minecraft:crafting_shaped
mcwroofs:gutter_base_blue | minecraft:crafting_shaped | mcwroofs:gutter_base mcwroofs:gutter_base_blue minecraft:blue_dye minecraft:crafting_shaped
mcwroofs:gutter_base_brown | minecraft:crafting_shaped | mcwroofs:gutter_base mcwroofs:gutter_base_brown minecraft:brown_dye minecraft:crafting_shaped
mcwroofs:gutter_base_cyan | minecraft:crafting_shaped | mcwroofs:gutter_base mcwroofs:gutter_base_cyan minecraft:crafting_shaped minecraft:cyan_dye
mcwroofs:gutter_base_gray | minecraft:crafting_shaped | mcwroofs:gutter_base mcwroofs:gutter_base_gray minecraft:crafting_shaped minecraft:gray_dye
mcwroofs:gutter_base_green | minecraft:crafting_shaped | mcwroofs:gutter_base mcwroofs:gutter_base_green minecraft:crafting_shaped minecraft:green_dye
mcwroofs:gutter_base_light_blue | minecraft:crafting_shaped | mcwroofs:gutter_base mcwroofs:gutter_base_light_blue minecraft:crafting_shaped minecraft:light_blue_dye
mcwroofs:gutter_base_light_gray | minecraft:crafting_shaped | mcwroofs:gutter_base mcwroofs:gutter_base_light_gray minecraft:crafting_shaped minecraft:light_gray_dye
mcwroofs:gutter_base_lime | minecraft:crafting_shaped | mcwroofs:gutter_base mcwroofs:gutter_base_lime minecraft:crafting_shaped minecraft:lime_dye
mcwroofs:gutter_base_magenta | minecraft:crafting_shaped | mcwroofs:gutter_base mcwroofs:gutter_base_magenta minecraft:crafting_shaped minecraft:magenta_dye
mcwroofs:gutter_base_orange | minecraft:crafting_shaped | mcwroofs:gutter_base mcwroofs:gutter_base_orange minecraft:crafting_shaped minecraft:orange_dye
mcwroofs:gutter_base_pink | minecraft:crafting_shaped | mcwroofs:gutter_base mcwroofs:gutter_base_pink minecraft:crafting_shaped minecraft:pink_dye
mcwroofs:gutter_base_purple | minecraft:crafting_shaped | mcwroofs:gutter_base mcwroofs:gutter_base_purple minecraft:crafting_shaped minecraft:purple_dye
mcwroofs:gutter_base_red | minecraft:crafting_shaped | mcwroofs:gutter_base mcwroofs:gutter_base_red minecraft:crafting_shaped minecraft:red_dye
mcwroofs:gutter_base_white | minecraft:crafting_shaped | mcwroofs:gutter_base mcwroofs:gutter_base_white minecraft:crafting_shaped minecraft:white_dye
mcwroofs:gutter_base_yellow | minecraft:crafting_shaped | mcwroofs:gutter_base mcwroofs:gutter_base_yellow minecraft:crafting_shaped minecraft:yellow_dye
mcwroofs:gutter_middle | minecraft:crafting_shaped | mcwroofs:gutter_middle mcwroofs:rain_gutter minecraft:crafting_shaped
mcwroofs:gutter_middle_black | minecraft:crafting_shaped | mcwroofs:gutter_middle mcwroofs:gutter_middle_black minecraft:black_dye minecraft:crafting_shaped
mcwroofs:gutter_middle_blue | minecraft:crafting_shaped | mcwroofs:gutter_middle mcwroofs:gutter_middle_blue minecraft:blue_dye minecraft:crafting_shaped
mcwroofs:gutter_middle_brown | minecraft:crafting_shaped | mcwroofs:gutter_middle mcwroofs:gutter_middle_brown minecraft:brown_dye minecraft:crafting_shaped
mcwroofs:gutter_middle_cyan | minecraft:crafting_shaped | mcwroofs:gutter_middle mcwroofs:gutter_middle_cyan minecraft:crafting_shaped minecraft:cyan_dye
mcwroofs:gutter_middle_gray | minecraft:crafting_shaped | mcwroofs:gutter_middle mcwroofs:gutter_middle_gray minecraft:crafting_shaped minecraft:gray_dye
mcwroofs:gutter_middle_green | minecraft:crafting_shaped | mcwroofs:gutter_middle mcwroofs:gutter_middle_green minecraft:crafting_shaped minecraft:green_dye
mcwroofs:gutter_middle_light_blue | minecraft:crafting_shaped | mcwroofs:gutter_middle mcwroofs:gutter_middle_light_blue minecraft:crafting_shaped minecraft:light_blue_dye
mcwroofs:gutter_middle_light_gray | minecraft:crafting_shaped | mcwroofs:gutter_middle mcwroofs:gutter_middle_light_gray minecraft:crafting_shaped minecraft:light_gray_dye
mcwroofs:gutter_middle_lime | minecraft:crafting_shaped | mcwroofs:gutter_middle mcwroofs:gutter_middle_lime minecraft:crafting_shaped minecraft:lime_dye
mcwroofs:gutter_middle_magenta | minecraft:crafting_shaped | mcwroofs:gutter_middle mcwroofs:gutter_middle_magenta minecraft:crafting_shaped minecraft:magenta_dye
mcwroofs:gutter_middle_orange | minecraft:crafting_shaped | mcwroofs:gutter_middle mcwroofs:gutter_middle_orange minecraft:crafting_shaped minecraft:orange_dye
mcwroofs:gutter_middle_pink | minecraft:crafting_shaped | mcwroofs:gutter_middle mcwroofs:gutter_middle_pink minecraft:crafting_shaped minecraft:pink_dye
mcwroofs:gutter_middle_purple | minecraft:crafting_shaped | mcwroofs:gutter_middle mcwroofs:gutter_middle_purple minecraft:crafting_shaped minecraft:purple_dye
mcwroofs:gutter_middle_red | minecraft:crafting_shaped | mcwroofs:gutter_middle mcwroofs:gutter_middle_red minecraft:crafting_shaped minecraft:red_dye
mcwroofs:gutter_middle_white | minecraft:crafting_shaped | mcwroofs:gutter_middle mcwroofs:gutter_middle_white minecraft:crafting_shaped minecraft:white_dye
mcwroofs:gutter_middle_yellow | minecraft:crafting_shaped | mcwroofs:gutter_middle mcwroofs:gutter_middle_yellow minecraft:crafting_shaped minecraft:yellow_dye
mcwroofs:jungle_attic_roof | minecraft:crafting_shaped | mcwroofs:jungle_attic_roof minecraft:crafting_shaped minecraft:glass minecraft:jungle_log
mcwroofs:jungle_lower_roof | minecraft:crafting_shaped | mcwroofs:jungle_lower_roof minecraft:crafting_shaped minecraft:jungle_log minecraft:stick
mcwroofs:jungle_planks_attic_roof | minecraft:crafting_shaped | mcwroofs:jungle_planks_attic_roof minecraft:crafting_shaped minecraft:glass minecraft:jungle_planks
mcwroofs:jungle_planks_lower_roof | minecraft:crafting_shaped | mcwroofs:jungle_planks_lower_roof minecraft:crafting_shaped minecraft:jungle_planks minecraft:stick
mcwroofs:jungle_planks_roof | minecraft:crafting_shaped | mcwroofs:jungle_planks_roof minecraft:crafting_shaped minecraft:jungle_planks minecraft:stick
mcwroofs:jungle_planks_steep_roof | minecraft:crafting_shaped | mcwroofs:jungle_planks_steep_roof minecraft:crafting_shaped minecraft:jungle_planks minecraft:stick
mcwroofs:jungle_planks_top_roof | minecraft:crafting_shaped | mcwroofs:jungle_planks_top_roof minecraft:crafting_shaped minecraft:jungle_planks minecraft:stick
mcwroofs:jungle_planks_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:jungle_planks_upper_lower_roof minecraft:crafting_shaped minecraft:jungle_planks minecraft:stick
mcwroofs:jungle_planks_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:jungle_planks_upper_steep_roof minecraft:crafting_shaped minecraft:jungle_planks minecraft:stick
mcwroofs:jungle_roof | minecraft:crafting_shaped | mcwroofs:jungle_roof minecraft:crafting_shaped minecraft:jungle_log minecraft:stick
mcwroofs:jungle_steep_roof | minecraft:crafting_shaped | mcwroofs:jungle_steep_roof minecraft:crafting_shaped minecraft:jungle_log minecraft:stick
mcwroofs:jungle_top_roof | minecraft:crafting_shaped | mcwroofs:jungle_top_roof minecraft:crafting_shaped minecraft:jungle_log minecraft:stick
mcwroofs:jungle_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:jungle_upper_lower_roof minecraft:crafting_shaped minecraft:jungle_log minecraft:stick
mcwroofs:jungle_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:jungle_upper_steep_roof minecraft:crafting_shaped minecraft:jungle_log minecraft:stick
mcwroofs:light_blue_concrete_attic_roof | minecraft:stonecutting | mcwroofs:light_blue_concrete_attic_roof minecraft:light_blue_concrete minecraft:stonecutting
mcwroofs:light_blue_concrete_lower_roof | minecraft:stonecutting | mcwroofs:light_blue_concrete_lower_roof minecraft:light_blue_concrete minecraft:stonecutting
mcwroofs:light_blue_concrete_roof | minecraft:stonecutting | mcwroofs:light_blue_concrete_roof minecraft:light_blue_concrete minecraft:stonecutting
mcwroofs:light_blue_concrete_steep_roof | minecraft:stonecutting | mcwroofs:light_blue_concrete_steep_roof minecraft:light_blue_concrete minecraft:stonecutting
mcwroofs:light_blue_concrete_top_roof | minecraft:stonecutting | mcwroofs:light_blue_concrete_top_roof minecraft:light_blue_concrete minecraft:stonecutting
mcwroofs:light_blue_concrete_upper_lower_roof | minecraft:stonecutting | mcwroofs:light_blue_concrete_upper_lower_roof minecraft:light_blue_concrete minecraft:stonecutting
mcwroofs:light_blue_concrete_upper_steep_roof | minecraft:stonecutting | mcwroofs:light_blue_concrete_upper_steep_roof minecraft:light_blue_concrete minecraft:stonecutting
mcwroofs:light_blue_striped_awning | minecraft:crafting_shaped | mcwroofs:light_blue_striped_awning minecraft:crafting_shaped minecraft:light_blue_carpet minecraft:white_carpet
mcwroofs:light_blue_terracotta_attic_roof | minecraft:stonecutting | mcwroofs:light_blue_terracotta_attic_roof minecraft:light_blue_terracotta minecraft:stonecutting
mcwroofs:light_blue_terracotta_lower_roof | minecraft:stonecutting | mcwroofs:light_blue_terracotta_lower_roof minecraft:light_blue_terracotta minecraft:stonecutting
mcwroofs:light_blue_terracotta_roof | minecraft:stonecutting | mcwroofs:light_blue_terracotta_roof minecraft:light_blue_terracotta minecraft:stonecutting
mcwroofs:light_blue_terracotta_steep_roof | minecraft:stonecutting | mcwroofs:light_blue_terracotta_steep_roof minecraft:light_blue_terracotta minecraft:stonecutting
mcwroofs:light_blue_terracotta_top_roof | minecraft:stonecutting | mcwroofs:light_blue_terracotta_top_roof minecraft:light_blue_terracotta minecraft:stonecutting
mcwroofs:light_blue_terracotta_upper_lower_roof | minecraft:stonecutting | mcwroofs:light_blue_terracotta_upper_lower_roof minecraft:light_blue_terracotta minecraft:stonecutting
mcwroofs:light_blue_terracotta_upper_steep_roof | minecraft:stonecutting | mcwroofs:light_blue_terracotta_upper_steep_roof minecraft:light_blue_terracotta minecraft:stonecutting
mcwroofs:light_gray_attic_roof | minecraft:stonecutting | mcwroofs:light_gray_attic_roof minecraft:light_gray_terracotta minecraft:stonecutting
mcwroofs:light_gray_concrete_attic_roof | minecraft:stonecutting | mcwroofs:light_gray_concrete_attic_roof minecraft:light_gray_concrete minecraft:stonecutting
mcwroofs:light_gray_concrete_lower_roof | minecraft:stonecutting | mcwroofs:light_gray_concrete_lower_roof minecraft:light_gray_concrete minecraft:stonecutting
mcwroofs:light_gray_concrete_roof | minecraft:stonecutting | mcwroofs:light_gray_concrete_roof minecraft:light_gray_concrete minecraft:stonecutting
mcwroofs:light_gray_concrete_steep_roof | minecraft:stonecutting | mcwroofs:light_gray_concrete_steep_roof minecraft:light_gray_concrete minecraft:stonecutting
mcwroofs:light_gray_concrete_top_roof | minecraft:stonecutting | mcwroofs:light_gray_concrete_top_roof minecraft:light_gray_concrete minecraft:stonecutting
mcwroofs:light_gray_concrete_upper_lower_roof | minecraft:stonecutting | mcwroofs:light_gray_concrete_upper_lower_roof minecraft:light_gray_concrete minecraft:stonecutting
mcwroofs:light_gray_concrete_upper_steep_roof | minecraft:stonecutting | mcwroofs:light_gray_concrete_upper_steep_roof minecraft:light_gray_concrete minecraft:stonecutting
mcwroofs:light_gray_lower_roof | minecraft:stonecutting | mcwroofs:light_gray_lower_roof minecraft:light_gray_terracotta minecraft:stonecutting
mcwroofs:light_gray_roof | minecraft:stonecutting | mcwroofs:light_gray_roof minecraft:light_gray_terracotta minecraft:stonecutting
mcwroofs:light_gray_roof_block | minecraft:stonecutting | mcwroofs:light_gray_roof_block minecraft:light_gray_terracotta minecraft:stonecutting
mcwroofs:light_gray_roof_slab | minecraft:stonecutting | mcwroofs:light_gray_roof_slab minecraft:light_gray_terracotta minecraft:stonecutting
mcwroofs:light_gray_steep_roof | minecraft:stonecutting | mcwroofs:light_gray_steep_roof minecraft:light_gray_terracotta minecraft:stonecutting
mcwroofs:light_gray_striped_awning | minecraft:crafting_shaped | mcwroofs:light_gray_striped_awning minecraft:crafting_shaped minecraft:light_gray_carpet minecraft:white_carpet
mcwroofs:light_gray_terracotta_attic_roof | minecraft:stonecutting | mcwroofs:light_gray_terracotta_attic_roof minecraft:light_gray_terracotta minecraft:stonecutting
mcwroofs:light_gray_terracotta_lower_roof | minecraft:stonecutting | mcwroofs:light_gray_terracotta_lower_roof minecraft:light_gray_terracotta minecraft:stonecutting
mcwroofs:light_gray_terracotta_roof | minecraft:stonecutting | mcwroofs:light_gray_terracotta_roof minecraft:light_gray_terracotta minecraft:stonecutting
mcwroofs:light_gray_terracotta_steep_roof | minecraft:stonecutting | mcwroofs:light_gray_terracotta_steep_roof minecraft:light_gray_terracotta minecraft:stonecutting
mcwroofs:light_gray_terracotta_top_roof | minecraft:stonecutting | mcwroofs:light_gray_terracotta_top_roof minecraft:light_gray_terracotta minecraft:stonecutting
mcwroofs:light_gray_terracotta_upper_lower_roof | minecraft:stonecutting | mcwroofs:light_gray_terracotta_upper_lower_roof minecraft:light_gray_terracotta minecraft:stonecutting
mcwroofs:light_gray_terracotta_upper_steep_roof | minecraft:stonecutting | mcwroofs:light_gray_terracotta_upper_steep_roof minecraft:light_gray_terracotta minecraft:stonecutting
mcwroofs:light_gray_top_roof | minecraft:stonecutting | mcwroofs:light_gray_top_roof minecraft:light_gray_terracotta minecraft:stonecutting
mcwroofs:light_gray_upper_lower_roof | minecraft:stonecutting | mcwroofs:light_gray_upper_lower_roof minecraft:light_gray_terracotta minecraft:stonecutting
mcwroofs:light_gray_upper_steep_roof | minecraft:stonecutting | mcwroofs:light_gray_upper_steep_roof minecraft:light_gray_terracotta minecraft:stonecutting
mcwroofs:lime_concrete_attic_roof | minecraft:stonecutting | mcwroofs:lime_concrete_attic_roof minecraft:lime_concrete minecraft:stonecutting
mcwroofs:lime_concrete_lower_roof | minecraft:stonecutting | mcwroofs:lime_concrete_lower_roof minecraft:lime_concrete minecraft:stonecutting
mcwroofs:lime_concrete_roof | minecraft:stonecutting | mcwroofs:lime_concrete_roof minecraft:lime_concrete minecraft:stonecutting
mcwroofs:lime_concrete_steep_roof | minecraft:stonecutting | mcwroofs:lime_concrete_steep_roof minecraft:lime_concrete minecraft:stonecutting
mcwroofs:lime_concrete_top_roof | minecraft:stonecutting | mcwroofs:lime_concrete_top_roof minecraft:lime_concrete minecraft:stonecutting
mcwroofs:lime_concrete_upper_lower_roof | minecraft:stonecutting | mcwroofs:lime_concrete_upper_lower_roof minecraft:lime_concrete minecraft:stonecutting
mcwroofs:lime_concrete_upper_steep_roof | minecraft:stonecutting | mcwroofs:lime_concrete_upper_steep_roof minecraft:lime_concrete minecraft:stonecutting
mcwroofs:lime_striped_awning | minecraft:crafting_shaped | mcwroofs:lime_striped_awning minecraft:crafting_shaped minecraft:lime_carpet minecraft:white_carpet
mcwroofs:lime_terracotta_attic_roof | minecraft:stonecutting | mcwroofs:lime_terracotta_attic_roof minecraft:lime_terracotta minecraft:stonecutting
mcwroofs:lime_terracotta_lower_roof | minecraft:stonecutting | mcwroofs:lime_terracotta_lower_roof minecraft:lime_terracotta minecraft:stonecutting
mcwroofs:lime_terracotta_roof | minecraft:stonecutting | mcwroofs:lime_terracotta_roof minecraft:lime_terracotta minecraft:stonecutting
mcwroofs:lime_terracotta_steep_roof | minecraft:stonecutting | mcwroofs:lime_terracotta_steep_roof minecraft:lime_terracotta minecraft:stonecutting
