create:crushing/deepslate_tin_ore | create:crushing | create:crushing create:experience_nugget create_ironworks:crushed_raw_tin create_ironworks:deepslate_tin_ore minecraft:cobbled_deepslate
create_ironworks:misc/crafting/soul_lantern | minecraft:crafting_shaped | create_ironworks:tin_nugget minecraft:crafting_shaped minecraft:soul_lantern minecraft:soul_torch
create_ironworks:misc/crushing/crushing_charcoal | create:crushing | create:crushing create_ironworks:charcoal_dust minecraft:charcoal
create_ironworks:misc/crushing/crushing_coal | create:crushing | create:crushing create_ironworks:coal_dust minecraft:coal
create_ironworks:misc/mixing/mixing_gunpowder | create:mixing | c:dusts/coal create:mixing minecraft:blaze_powder minecraft:gunpowder
create_ironworks:smeltable_brass | minecraft:smelting | create:brass_nugget create_ironworks:smeltable/brass minecraft:smelting
create_ironworks:smeltable_bronze | minecraft:smelting | create_ironworks:bronze_nugget create_ironworks:smeltable/bronze minecraft:smelting
create_ironworks:smeltable_copper | minecraft:smelting | create:copper_nugget create_ironworks:smeltable/copper minecraft:smelting
create_ironworks:smeltable_gold | minecraft:smelting | create_ironworks:smeltable/gold minecraft:gold_nugget minecraft:smelting
create_ironworks:smeltable_iron | minecraft:smelting | create_ironworks:smeltable/iron minecraft:iron_nugget minecraft:smelting
create_ironworks:smeltable_steel | minecraft:smelting | create_ironworks:smeltable/steel create_ironworks:steel_nugget minecraft:smelting
create_ironworks:tools/axe/brass | minecraft:crafting_shaped | create:brass_ingot create_ironworks:brass_axe minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/axe/bronze | minecraft:crafting_shaped | create_ironworks:bronze_axe create_ironworks:bronze_ingot minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/axe/bronze_tag | minecraft:crafting_shaped | c:ingots/bronze create_ironworks:bronze_axe minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/axe/copper | minecraft:crafting_shaped | create_ironworks:copper_axe minecraft:copper_ingot minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/axe/netherite_steel | minecraft:smithing_transform | create_ironworks:steel_axe minecraft:netherite_axe minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
create_ironworks:tools/axe/steel | minecraft:crafting_shaped | create_ironworks:steel_axe create_ironworks:steel_ingot minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/axe/steel_tag | minecraft:crafting_shaped | c:ingots/steel create_ironworks:steel_axe minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/hammer/brass | minecraft:crafting_shaped | create:brass_ingot create_ironworks:brass_hammer minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/hammer/bronze | minecraft:crafting_shaped | create_ironworks:bronze_hammer create_ironworks:bronze_ingot minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/hammer/bronze_tag | minecraft:crafting_shaped | c:ingots/bronze create_ironworks:bronze_hammer minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/hammer/copper | minecraft:crafting_shaped | create_ironworks:copper_hammer minecraft:copper_ingot minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/hammer/diamond | minecraft:crafting_shaped | create_ironworks:diamond_hammer minecraft:crafting_shaped minecraft:diamond minecraft:stick
create_ironworks:tools/hammer/gold | minecraft:crafting_shaped | create_ironworks:gold_hammer minecraft:crafting_shaped minecraft:gold_ingot minecraft:stick
create_ironworks:tools/hammer/iron | minecraft:crafting_shaped | create_ironworks:iron_hammer minecraft:crafting_shaped minecraft:iron_ingot minecraft:stick
create_ironworks:tools/hammer/netherite_diamond | minecraft:smithing_transform | create_ironworks:diamond_hammer create_ironworks:netherite_hammer minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
create_ironworks:tools/hammer/netherite_steel | minecraft:smithing_transform | create_ironworks:netherite_hammer create_ironworks:steel_hammer minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
create_ironworks:tools/hammer/steel | minecraft:crafting_shaped | create_ironworks:steel_hammer create_ironworks:steel_ingot minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/hammer/steel_tag | minecraft:crafting_shaped | c:ingots/steel create_ironworks:steel_hammer minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/hoe/brass | minecraft:crafting_shaped | create:brass_ingot create_ironworks:brass_hoe minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/hoe/bronze | minecraft:crafting_shaped | create_ironworks:bronze_hoe create_ironworks:bronze_ingot minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/hoe/bronze_tag | minecraft:crafting_shaped | c:ingots/bronze create_ironworks:bronze_hoe minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/hoe/copper | minecraft:crafting_shaped | create_ironworks:copper_hoe minecraft:copper_ingot minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/hoe/netherite_steel | minecraft:smithing_transform | create_ironworks:steel_hoe minecraft:netherite_hoe minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
create_ironworks:tools/hoe/steel | minecraft:crafting_shaped | create_ironworks:steel_hoe create_ironworks:steel_ingot minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/hoe/steel_tag | minecraft:crafting_shaped | c:ingots/steel create_ironworks:steel_hoe minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/paxel/brass | minecraft:crafting_shaped | create:brass_ingot create_ironworks:brass_paxel minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/paxel/bronze | minecraft:crafting_shaped | create_ironworks:bronze_ingot create_ironworks:bronze_paxel minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/paxel/bronze_tag | minecraft:crafting_shaped | c:ingots/bronze create_ironworks:bronze_paxel minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/paxel/copper | minecraft:crafting_shaped | create_ironworks:copper_paxel minecraft:copper_ingot minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/paxel/diamond | minecraft:crafting_shaped | create_ironworks:diamond_paxel minecraft:crafting_shaped minecraft:diamond minecraft:stick
create_ironworks:tools/paxel/gold | minecraft:crafting_shaped | create_ironworks:gold_paxel minecraft:crafting_shaped minecraft:gold_ingot minecraft:stick
create_ironworks:tools/paxel/iron | minecraft:crafting_shaped | create_ironworks:iron_paxel minecraft:crafting_shaped minecraft:iron_ingot minecraft:stick
create_ironworks:tools/paxel/netherite_diamond | minecraft:smithing_transform | create_ironworks:diamond_paxel create_ironworks:netherite_paxel minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
create_ironworks:tools/paxel/netherite_steel | minecraft:smithing_transform | create_ironworks:netherite_paxel create_ironworks:steel_paxel minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
create_ironworks:tools/paxel/steel | minecraft:crafting_shaped | create_ironworks:steel_ingot create_ironworks:steel_paxel minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/paxel/steel_tag | minecraft:crafting_shaped | c:ingots/steel create_ironworks:steel_paxel minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/pickaxe/brass | minecraft:crafting_shaped | create:brass_ingot create_ironworks:brass_pickaxe minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/pickaxe/bronze | minecraft:crafting_shaped | create_ironworks:bronze_ingot create_ironworks:bronze_pickaxe minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/pickaxe/bronze_tag | minecraft:crafting_shaped | c:ingots/bronze create_ironworks:bronze_pickaxe minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/pickaxe/copper | minecraft:crafting_shaped | create_ironworks:copper_pickaxe minecraft:copper_ingot minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/pickaxe/netherite_steel | minecraft:smithing_transform | create_ironworks:steel_pickaxe minecraft:netherite_ingot minecraft:netherite_pickaxe minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
create_ironworks:tools/pickaxe/steel | minecraft:crafting_shaped | create_ironworks:steel_ingot create_ironworks:steel_pickaxe minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/pickaxe/steel_tag | minecraft:crafting_shaped | c:ingots/steel create_ironworks:steel_pickaxe minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/shovel/brass | minecraft:crafting_shaped | create:brass_ingot create_ironworks:brass_shovel minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/shovel/bronze | minecraft:crafting_shaped | create_ironworks:bronze_ingot create_ironworks:bronze_shovel minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/shovel/bronze_tag | minecraft:crafting_shaped | c:ingots/bronze create_ironworks:bronze_shovel minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/shovel/copper | minecraft:crafting_shaped | create_ironworks:copper_shovel minecraft:copper_ingot minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/shovel/netherite_steel | minecraft:smithing_transform | create_ironworks:steel_shovel minecraft:netherite_ingot minecraft:netherite_shovel minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
create_ironworks:tools/shovel/steel | minecraft:crafting_shaped | create_ironworks:steel_ingot create_ironworks:steel_shovel minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/shovel/steel_tag | minecraft:crafting_shaped | c:ingots/steel create_ironworks:steel_shovel minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/sword/brass | minecraft:crafting_shaped | create:brass_ingot create_ironworks:brass_sword minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/sword/bronze | minecraft:crafting_shaped | create_ironworks:bronze_ingot create_ironworks:bronze_sword minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/sword/bronze_tag | minecraft:crafting_shaped | c:ingots/bronze create_ironworks:bronze_sword minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/sword/copper | minecraft:crafting_shaped | create_ironworks:copper_sword minecraft:copper_ingot minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/sword/netherite_steel | minecraft:smithing_transform | create_ironworks:steel_sword minecraft:netherite_ingot minecraft:netherite_sword minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
create_ironworks:tools/sword/steel | minecraft:crafting_shaped | create_ironworks:steel_ingot create_ironworks:steel_sword minecraft:crafting_shaped minecraft:stick
create_ironworks:tools/sword/steel_tag | minecraft:crafting_shaped | c:ingots/steel create_ironworks:steel_sword minecraft:crafting_shaped minecraft:stick
