mcwstairs:acacia_balcony | minecraft:crafting_shaped | mcwstairs:acacia_balcony minecraft:acacia_fence minecraft:crafting_shaped minecraft:stick
mcwstairs:red_sandstone_skyline_stairs | minecraft:stonecutting | mcwstairs:red_sandstone_skyline_stairs minecraft:red_sandstone minecraft:stonecutting
mcwstairs:red_sandstone_terrace_stairs | minecraft:stonecutting | mcwstairs:red_sandstone_terrace_stairs minecraft:red_sandstone minecraft:stonecutting
mcwstairs:sandstone_balcony | minecraft:stonecutting | mcwstairs:sandstone_balcony minecraft:sandstone minecraft:stonecutting
mcwstairs:sandstone_bulk_stairs | minecraft:stonecutting | mcwstairs:sandstone_bulk_stairs minecraft:sandstone minecraft:stonecutting
mcwstairs:sandstone_compact_stairs | minecraft:stonecutting | mcwstairs:sandstone_compact_stairs minecraft:sandstone minecraft:stonecutting
mcwstairs:sandstone_loft_stairs | minecraft:stonecutting | mcwstairs:sandstone_loft_stairs minecraft:sandstone minecraft:stonecutting
mcwstairs:sandstone_platform | minecraft:stonecutting | mcwstairs:sandstone_platform minecraft:sandstone minecraft:stonecutting
mcwstairs:sandstone_railing | minecraft:stonecutting | mcwstairs:sandstone_railing minecraft:sandstone minecraft:stonecutting
mcwstairs:sandstone_skyline_stairs | minecraft:stonecutting | mcwstairs:sandstone_skyline_stairs minecraft:sandstone minecraft:stonecutting
mcwstairs:sandstone_terrace_stairs | minecraft:stonecutting | mcwstairs:sandstone_terrace_stairs minecraft:sandstone minecraft:stonecutting
mcwstairs:spruce_balcony | minecraft:crafting_shaped | mcwstairs:spruce_balcony minecraft:crafting_shaped minecraft:spruce_fence minecraft:stick
mcwstairs:spruce_bulk_stairs | minecraft:crafting_shaped | mcwstairs:spruce_bulk_stairs minecraft:crafting_shaped minecraft:spruce_log minecraft:stripped_spruce_log
mcwstairs:spruce_compact_stairs | minecraft:crafting_shaped | mcwstairs:spruce_compact_stairs minecraft:crafting_shaped minecraft:stripped_spruce_log
mcwstairs:spruce_loft_stairs | minecraft:crafting_shaped | mcwstairs:spruce_loft_stairs minecraft:crafting_shaped minecraft:stripped_spruce_log
mcwstairs:spruce_platform | minecraft:crafting_shaped | mcwstairs:spruce_platform minecraft:crafting_shaped minecraft:spruce_log minecraft:spruce_slab
mcwstairs:spruce_railing | minecraft:crafting_shaped | mcwstairs:spruce_balcony mcwstairs:spruce_railing minecraft:crafting_shaped
mcwstairs:spruce_skyline_stairs | minecraft:crafting_shaped | mcwstairs:spruce_skyline_stairs minecraft:crafting_shaped minecraft:spruce_log minecraft:stripped_spruce_log
mcwstairs:spruce_terrace_stairs | minecraft:crafting_shaped | mcwstairs:spruce_terrace_stairs minecraft:crafting_shaped minecraft:spruce_log minecraft:stripped_spruce_log
mcwstairs:stone_brick_balcony | minecraft:stonecutting | mcwstairs:stone_brick_balcony minecraft:stone_bricks minecraft:stonecutting
mcwstairs:stone_brick_bulk_stairs | minecraft:stonecutting | mcwstairs:stone_brick_bulk_stairs minecraft:stone_bricks minecraft:stonecutting
mcwstairs:stone_brick_compact_stairs | minecraft:stonecutting | mcwstairs:stone_brick_compact_stairs minecraft:stone_bricks minecraft:stonecutting
mcwstairs:stone_brick_loft_stairs | minecraft:stonecutting | mcwstairs:stone_brick_loft_stairs minecraft:stone_bricks minecraft:stonecutting
mcwstairs:stone_brick_platform | minecraft:stonecutting | mcwstairs:stone_brick_platform minecraft:stone_bricks minecraft:stonecutting
mcwstairs:stone_brick_railing | minecraft:stonecutting | mcwstairs:stone_brick_railing minecraft:stone_bricks minecraft:stonecutting
mcwstairs:stone_brick_skyline_stairs | minecraft:stonecutting | mcwstairs:stone_brick_skyline_stairs minecraft:stone_bricks minecraft:stonecutting
mcwstairs:stone_brick_terrace_stairs | minecraft:stonecutting | mcwstairs:stone_brick_terrace_stairs minecraft:stone_bricks minecraft:stonecutting
mcwstairs:warped_balcony | minecraft:crafting_shaped | mcwstairs:warped_balcony minecraft:crafting_shaped minecraft:stick minecraft:warped_fence
mcwstairs:warped_bulk_stairs | minecraft:crafting_shaped | mcwstairs:warped_bulk_stairs minecraft:crafting_shaped minecraft:stripped_warped_stem minecraft:warped_stem
mcwstairs:warped_compact_stairs | minecraft:crafting_shaped | mcwstairs:warped_compact_stairs minecraft:crafting_shaped minecraft:stripped_warped_stem
mcwstairs:warped_loft_stairs | minecraft:crafting_shaped | mcwstairs:warped_loft_stairs minecraft:crafting_shaped minecraft:stripped_warped_stem
mcwstairs:warped_platform | minecraft:crafting_shaped | mcwstairs:warped_platform minecraft:crafting_shaped minecraft:warped_slab minecraft:warped_stem
mcwstairs:warped_railing | minecraft:crafting_shaped | mcwstairs:warped_balcony mcwstairs:warped_railing minecraft:crafting_shaped
mcwstairs:warped_skyline_stairs | minecraft:crafting_shaped | mcwstairs:warped_skyline_stairs minecraft:crafting_shaped minecraft:stripped_warped_stem minecraft:warped_stem
mcwstairs:warped_terrace_stairs | minecraft:crafting_shaped | mcwstairs:warped_terrace_stairs minecraft:crafting_shaped minecraft:stripped_warped_stem minecraft:warped_stem
