create:crushing/bauxite | create:crushing | create:crushing tfmg:bauxite tfmg:bauxite_powder
tfmg:crafting/materials/glass_cable_insulator | minecraft:crafting_shaped | c:nuggets/copper c:nuggets/steel minecraft:crafting_shaped tfmg:glass_cable_insulator tfmg:glass_insulator_segment
tfmg:crafting/materials/glass_insulator_segment | minecraft:crafting_shaped | c:nuggets/copper c:nuggets/steel minecraft:crafting_shaped minecraft:green_stained_glass_pane tfmg:glass_insulator_segment
tfmg:crafting/materials/gray_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:gray_dye tfmg:concrete tfmg:gray_concrete
tfmg:crafting/materials/gray_multimeter | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:gray_dye tfmg:gray_multimeter tfmg:multimeter
tfmg:crafting/materials/gray_rebar_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:gray_dye tfmg:gray_rebar_concrete tfmg:rebar_concrete
tfmg:crafting/materials/green_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:green_dye tfmg:concrete tfmg:green_concrete
tfmg:crafting/materials/green_multimeter | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:green_dye tfmg:green_multimeter tfmg:multimeter
tfmg:crafting/materials/green_rebar_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:green_dye tfmg:green_rebar_concrete tfmg:rebar_concrete
tfmg:crafting/materials/heavy_cable_hub | minecraft:crafting_shaped | c:wires/copper minecraft:crafting_shaped tfmg:heavy_cable_hub tfmg:heavy_machinery_casing
tfmg:crafting/materials/heavy_casing_door | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:wooden_doors tfmg:heavy_casing_door tfmg:heavy_machinery_casing
tfmg:crafting/materials/heavy_plated_door | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped tfmg:heavy_plated_door
tfmg:crafting/materials/industrial_mixer | minecraft:crafting_shaped | create:shaft minecraft:crafting_shaped tfmg:heavy_machinery_casing tfmg:industrial_mixer tfmg:large_steel_cogwheel tfmg:screw tfmg:steel_mechanism
tfmg:crafting/materials/laminated_magnetic_alloy_block | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:laminated_magnetic_alloy_block tfmg:magnetic_alloy_sheet
tfmg:crafting/materials/large_aluminum_cogwheel | minecraft:crafting_shapeless | c:ingots/aluminum create:shaft minecraft:crafting_shapeless tfmg:large_aluminum_cogwheel
tfmg:crafting/materials/large_pumpjack_hammer_connector | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:large_pumpjack_hammer_connector tfmg:large_pumpjack_hammer_part tfmg:rebar
tfmg:crafting/materials/large_pumpjack_hammer_head | minecraft:crafting_shaped | c:plates/steel c:storage_blocks/steel minecraft:crafting_shaped tfmg:large_pumpjack_hammer_head
tfmg:crafting/materials/large_steel_cogwheel | minecraft:crafting_shapeless | create:shaft minecraft:crafting_shapeless tfmg:large_steel_cogwheel tfmg:steel_ingot
tfmg:crafting/materials/large_switch | minecraft:crafting_shaped | c:plates/brass c:wires/copper minecraft:crafting_shaped tfmg:cable_connector tfmg:electric_post tfmg:large_switch tfmg:rebar tfmg:steel_cable_hub tfmg:steel_mechanism
tfmg:crafting/materials/lead_axe | minecraft:crafting_shaped | c:ingots/lead minecraft:crafting_shaped minecraft:stick tfmg:lead_axe
tfmg:crafting/materials/lead_block_from_compacting | minecraft:crafting_shaped | c:ingots/lead minecraft:crafting_shaped tfmg:lead_block
tfmg:crafting/materials/lead_flywheel | minecraft:crafting_shaped | c:ingots/lead create:shaft minecraft:crafting_shaped tfmg:lead_flywheel
tfmg:crafting/materials/lead_frame | minecraft:crafting_shaped | c:nuggets/lead minecraft:crafting_shaped tfmg:lead_frame
tfmg:crafting/materials/lead_hoe | minecraft:crafting_shaped | c:ingots/lead minecraft:crafting_shaped minecraft:stick tfmg:lead_hoe
tfmg:crafting/materials/lead_ingot_from_compacting | minecraft:crafting_shaped | c:nuggets/lead minecraft:crafting_shaped tfmg:lead_ingot
tfmg:crafting/materials/lead_ingot_from_decompacting | minecraft:crafting_shapeless | c:storage_blocks/lead minecraft:crafting_shapeless tfmg:lead_ingot
tfmg:crafting/materials/lead_nugget_from_decompacting | minecraft:crafting_shapeless | c:ingots/lead minecraft:crafting_shapeless tfmg:lead_nugget
tfmg:crafting/materials/lead_pickaxe | minecraft:crafting_shaped | c:ingots/lead minecraft:crafting_shaped minecraft:stick tfmg:lead_pickaxe
tfmg:crafting/materials/lead_shovel | minecraft:crafting_shaped | c:ingots/lead minecraft:crafting_shaped minecraft:stick tfmg:lead_shovel
tfmg:crafting/materials/lead_sword | minecraft:crafting_shaped | c:ingots/lead minecraft:crafting_shaped minecraft:stick tfmg:lead_sword
tfmg:crafting/materials/lead_truss | minecraft:crafting_shaped | c:nuggets/lead minecraft:crafting_shaped tfmg:lead_truss
tfmg:crafting/materials/light_blue_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:light_blue_dye tfmg:concrete tfmg:light_blue_concrete
tfmg:crafting/materials/light_blue_multimeter | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_blue_dye tfmg:light_blue_multimeter tfmg:multimeter
tfmg:crafting/materials/light_blue_rebar_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:light_blue_dye tfmg:light_blue_rebar_concrete tfmg:rebar_concrete
tfmg:crafting/materials/light_bulb | minecraft:crafting_shaped | c:nuggets/copper c:nuggets/steel create:framed_glass minecraft:crafting_shaped tfmg:constantan_wire tfmg:light_bulb
tfmg:crafting/materials/light_gray_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:light_gray_dye tfmg:concrete tfmg:light_gray_concrete
tfmg:crafting/materials/light_gray_multimeter | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_gray_dye tfmg:light_gray_multimeter tfmg:multimeter
tfmg:crafting/materials/light_gray_rebar_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:light_gray_dye tfmg:light_gray_rebar_concrete tfmg:rebar_concrete
tfmg:crafting/materials/lime_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:lime_dye tfmg:concrete tfmg:lime_concrete
tfmg:crafting/materials/lime_multimeter | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:lime_dye tfmg:lime_multimeter tfmg:multimeter
tfmg:crafting/materials/lime_rebar_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:lime_dye tfmg:lime_rebar_concrete tfmg:rebar_concrete
tfmg:crafting/materials/lithium_blade | minecraft:crafting_shaped | c:plates/aluminum c:wires/copper minecraft:crafting_shaped tfmg:circuit_board tfmg:heavy_plate tfmg:lithium_blade tfmg:spark_plug tfmg:steel_sword
tfmg:crafting/materials/lithium_block_from_compacting | minecraft:crafting_shaped | c:ingots/lithium minecraft:crafting_shaped tfmg:lithium_block
tfmg:crafting/materials/lithium_charge | minecraft:crafting_shaped | c:ingots/lithium c:plates/aluminum minecraft:crafting_shaped tfmg:lithium_charge tfmg:plastic_sheet
tfmg:crafting/materials/lithium_ingot_from_compacting | minecraft:crafting_shaped | c:nuggets/lithium minecraft:crafting_shaped tfmg:lithium_ingot
tfmg:crafting/materials/lithium_ingot_from_decompacting | minecraft:crafting_shapeless | c:storage_blocks/lithium minecraft:crafting_shapeless tfmg:lithium_ingot
tfmg:crafting/materials/lithium_nugget_from_decompacting | minecraft:crafting_shapeless | c:ingots/lithium minecraft:crafting_shapeless tfmg:lithium_nugget
tfmg:crafting/materials/lithium_torch | minecraft:crafting_shaped | c:ingots/aluminum c:ingots/lithium minecraft:crafting_shaped tfmg:lithium_torch
tfmg:crafting/materials/machine_input | minecraft:crafting_shaped | create:shaft minecraft:crafting_shaped tfmg:heavy_machinery_casing tfmg:machine_input tfmg:steel_mechanism
tfmg:crafting/materials/magenta_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:magenta_dye tfmg:concrete tfmg:magenta_concrete
tfmg:crafting/materials/magenta_multimeter | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:magenta_dye tfmg:magenta_multimeter tfmg:multimeter
tfmg:crafting/materials/magenta_rebar_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:magenta_dye tfmg:magenta_rebar_concrete tfmg:rebar_concrete
tfmg:crafting/materials/metal_smokestack | minecraft:crafting_shaped | c:nuggets/steel minecraft:crafting_shaped tfmg:industrial_pipe tfmg:metal_smokestack
tfmg:crafting/materials/mixer_blade | minecraft:crafting_shaped | create:propeller create:shaft minecraft:crafting_shaped tfmg:heavy_plate tfmg:mixer_blade
tfmg:crafting/materials/modern_light | minecraft:crafting_shaped | c:nuggets/steel create:framed_glass_pane minecraft:crafting_shaped tfmg:light_bulb tfmg:modern_light
tfmg:crafting/materials/multimeter | minecraft:crafting_shaped | c:plates/brass c:wires/copper minecraft:crafting_shaped tfmg:multimeter tfmg:voltmeter
tfmg:crafting/materials/napalm_bomb | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:napalm_bomb tfmg:napalm_bucket tfmg:plastic_sheet
tfmg:crafting/materials/neon_tube | minecraft:crafting_shaped | c:nuggets/copper c:nuggets/steel create:framed_glass minecraft:crafting_shaped tfmg:neon_bucket tfmg:neon_tube
tfmg:crafting/materials/nickel_block_from_compacting | minecraft:crafting_shaped | c:ingots/nickel minecraft:crafting_shaped tfmg:nickel_block
tfmg:crafting/materials/nickel_flywheel | minecraft:crafting_shaped | c:ingots/nickel create:shaft minecraft:crafting_shaped tfmg:nickel_flywheel
tfmg:crafting/materials/nickel_frame | minecraft:crafting_shaped | c:nuggets/nickel minecraft:crafting_shaped tfmg:nickel_frame
tfmg:crafting/materials/nickel_ingot_from_compacting | minecraft:crafting_shaped | c:nuggets/nickel minecraft:crafting_shaped tfmg:nickel_ingot
tfmg:crafting/materials/nickel_ingot_from_decompacting | minecraft:crafting_shapeless | c:storage_blocks/nickel minecraft:crafting_shapeless tfmg:nickel_ingot
tfmg:crafting/materials/nickel_nugget_from_decompacting | minecraft:crafting_shapeless | c:ingots/nickel minecraft:crafting_shapeless tfmg:nickel_nugget
tfmg:crafting/materials/nickel_truss | minecraft:crafting_shaped | c:nuggets/nickel minecraft:crafting_shaped tfmg:nickel_truss
tfmg:crafting/materials/oil_can | minecraft:crafting_shaped | c:nuggets/steel c:plates/brass minecraft:crafting_shaped tfmg:oil_can
tfmg:crafting/materials/oil_hammer | minecraft:crafting_shaped | c:ingots/steel c:plates/aluminum minecraft:crafting_shaped tfmg:oil_hammer tfmg:rebar
tfmg:crafting/materials/orange_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:orange_dye tfmg:concrete tfmg:orange_concrete
tfmg:crafting/materials/orange_multimeter | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:orange_dye tfmg:multimeter tfmg:orange_multimeter
tfmg:crafting/materials/orange_rebar_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:orange_dye tfmg:orange_rebar_concrete tfmg:rebar_concrete
tfmg:crafting/materials/pink_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:pink_dye tfmg:concrete tfmg:pink_concrete
tfmg:crafting/materials/pink_multimeter | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:pink_dye tfmg:multimeter tfmg:pink_multimeter
tfmg:crafting/materials/pink_rebar_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:pink_dye tfmg:pink_rebar_concrete tfmg:rebar_concrete
tfmg:crafting/materials/pipe_bomb | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tnt tfmg:pipe_bomb tfmg:steel_pipe
tfmg:crafting/materials/plastic_block | minecraft:crafting_shapeless | minecraft:crafting_shapeless tfmg:plastic_block tfmg:plastic_sheet
tfmg:crafting/materials/plastic_fluid_valve | minecraft:crafting_shapeless | c:plates/iron minecraft:crafting_shapeless tfmg:plastic_fluid_valve tfmg:plastic_pipe
tfmg:crafting/materials/plastic_mechanical_pump | minecraft:crafting_shapeless | create:cogwheel minecraft:crafting_shapeless tfmg:plastic_mechanical_pump tfmg:plastic_pipe
tfmg:crafting/materials/plastic_pipe | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:plastic_pipe tfmg:plastic_sheet
tfmg:crafting/materials/plastic_pipe_vertical | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:plastic_pipe tfmg:plastic_sheet
tfmg:crafting/materials/plastic_sheet | minecraft:crafting_shapeless | minecraft:crafting_shapeless tfmg:plastic_block tfmg:plastic_sheet
tfmg:crafting/materials/plastic_smart_fluid_pipe | minecraft:crafting_shaped | c:plates/steel create:electron_tube minecraft:crafting_shaped tfmg:plastic_pipe tfmg:plastic_smart_fluid_pipe
tfmg:crafting/materials/polarizer | minecraft:crafting_shaped | c:plates/brass c:wires/copper minecraft:crafting_shaped tfmg:capacitor_item tfmg:polarizer tfmg:resistor tfmg:steel_casing tfmg:voltmeter
tfmg:crafting/materials/pumpjack_base | minecraft:crafting_shaped | c:strings minecraft:crafting_shaped tfmg:heavy_machinery_casing tfmg:industrial_pipe tfmg:pumpjack_base tfmg:steel_fluid_tank tfmg:steel_mechanism tfmg:steel_pipe
tfmg:crafting/materials/pumpjack_crank | minecraft:crafting_shaped | c:strings minecraft:crafting_shaped tfmg:heavy_machinery_casing tfmg:heavy_plate tfmg:pumpjack_crank tfmg:rebar tfmg:steel_mechanism
tfmg:crafting/materials/pumpjack_hammer | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped tfmg:pumpjack_hammer tfmg:rebar tfmg:steel_truss
tfmg:crafting/materials/pumpjack_hammer_connector | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:pumpjack_hammer_connector tfmg:pumpjack_hammer_part tfmg:rebar
tfmg:crafting/materials/pumpjack_hammer_head | minecraft:crafting_shaped | c:plates/steel c:storage_blocks/steel minecraft:crafting_shaped tfmg:pumpjack_hammer_head
tfmg:crafting/materials/purple_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:purple_dye tfmg:concrete tfmg:purple_concrete
tfmg:crafting/materials/purple_multimeter | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:purple_dye tfmg:multimeter tfmg:purple_multimeter
tfmg:crafting/materials/purple_rebar_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:purple_dye tfmg:purple_rebar_concrete tfmg:rebar_concrete
tfmg:crafting/materials/radial_engine | minecraft:crafting_shaped | c:ingots/steel c:nuggets/steel create:shaft minecraft:crafting_shaped tfmg:heavy_machinery_casing tfmg:radial_engine
tfmg:crafting/materials/raw_lead | minecraft:crafting_shapeless | minecraft:crafting_shapeless tfmg:raw_lead tfmg:raw_lead_block
tfmg:crafting/materials/raw_lead_block | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:raw_lead tfmg:raw_lead_block
tfmg:crafting/materials/raw_lithium | minecraft:crafting_shapeless | minecraft:crafting_shapeless tfmg:raw_lithium tfmg:raw_lithium_block
tfmg:crafting/materials/raw_lithium_block | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:raw_lithium tfmg:raw_lithium_block
tfmg:crafting/materials/raw_nickel | minecraft:crafting_shapeless | minecraft:crafting_shapeless tfmg:raw_nickel tfmg:raw_nickel_block
tfmg:crafting/materials/raw_nickel_block | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:raw_nickel tfmg:raw_nickel_block
tfmg:crafting/materials/rebar | minecraft:crafting_shapeless | minecraft:crafting_shapeless tfmg:rebar tfmg:rebar_pile
tfmg:crafting/materials/rebar_block | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:rebar tfmg:rebar_block
tfmg:crafting/materials/rebar_floor | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:rebar tfmg:rebar_floor
tfmg:crafting/materials/rebar_pile | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:rebar tfmg:rebar_pile
tfmg:crafting/materials/rebar_pillar | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:rebar tfmg:rebar_pillar
tfmg:crafting/materials/rebar_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:rebar tfmg:rebar_stairs
tfmg:crafting/materials/rebar_wall | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:rebar tfmg:rebar_wall
tfmg:crafting/materials/red_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:red_dye tfmg:concrete tfmg:red_concrete
tfmg:crafting/materials/red_multimeter | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:red_dye tfmg:multimeter tfmg:red_multimeter
tfmg:crafting/materials/red_rebar_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:red_dye tfmg:rebar_concrete tfmg:red_rebar_concrete
tfmg:crafting/materials/regular_engine | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped tfmg:heavy_machinery_casing tfmg:heavy_plate tfmg:regular_engine
tfmg:crafting/materials/rusted_blast_furnace_reinforcement | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:water_bucket tfmg:blast_furnace_reinforcement tfmg:rusted_blast_furnace_reinforcement
tfmg:crafting/materials/screwdriver | minecraft:crafting_shaped | c:ingots/aluminum minecraft:crafting_shaped tfmg:rebar tfmg:screwdriver
tfmg:crafting/materials/screwdriverfrom_brass | minecraft:crafting_shaped | c:ingots/brass minecraft:crafting_shaped tfmg:rebar tfmg:screwdriver
tfmg:crafting/materials/segmented_display | minecraft:crafting_shaped | c:wires/copper minecraft:black_stained_glass_pane minecraft:crafting_shaped tfmg:circuit_board tfmg:industrial_aluminum_casing tfmg:segmented_display tfmg:silicon_ingot
tfmg:crafting/materials/steel_axe | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped minecraft:stick tfmg:steel_axe
tfmg:crafting/materials/steel_block_from_compacting | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped tfmg:steel_block
tfmg:crafting/materials/steel_cable_hub | minecraft:crafting_shaped | c:nuggets/steel c:wires/copper minecraft:crafting_shaped tfmg:steel_cable_hub
tfmg:crafting/materials/steel_casing_cable_hub | minecraft:crafting_shaped | c:wires/copper minecraft:crafting_shaped tfmg:steel_casing tfmg:steel_casing_cable_hub
tfmg:crafting/materials/steel_chemical_vat | minecraft:crafting_shaped | c:plates/nickel minecraft:crafting_shaped tfmg:heavy_plate tfmg:steel_chemical_vat tfmg:steel_fluid_tank
tfmg:crafting/materials/steel_cogwheel | minecraft:crafting_shapeless | create:shaft minecraft:crafting_shapeless tfmg:steel_cogwheel tfmg:steel_ingot
tfmg:crafting/materials/steel_distillation_controller | minecraft:crafting_shaped | c:plates/lead create:electron_tube minecraft:compass minecraft:crafting_shaped tfmg:heavy_machinery_casing tfmg:industrial_pipe tfmg:steel_distillation_controller tfmg:steel_mechanism
tfmg:crafting/materials/steel_distillation_output | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:heavy_machinery_casing tfmg:steel_distillation_output tfmg:steel_fluid_tank tfmg:steel_pipe
tfmg:crafting/materials/steel_door | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:wooden_doors tfmg:steel_casing tfmg:steel_door
tfmg:crafting/materials/steel_fluid_tank | minecraft:crafting_shaped | minecraft:barrel minecraft:crafting_shaped tfmg:heavy_plate tfmg:steel_fluid_tank
tfmg:crafting/materials/steel_fluid_valve | minecraft:crafting_shapeless | c:plates/iron minecraft:crafting_shapeless tfmg:steel_fluid_valve tfmg:steel_pipe
tfmg:crafting/materials/steel_flywheel | minecraft:crafting_shaped | create:shaft minecraft:crafting_shaped tfmg:steel_flywheel tfmg:steel_ingot
tfmg:crafting/materials/steel_frame | minecraft:crafting_shaped | c:nuggets/steel minecraft:crafting_shaped tfmg:steel_frame
tfmg:crafting/materials/steel_gearbox | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:heavy_machinery_casing tfmg:steel_cogwheel tfmg:steel_gearbox
tfmg:crafting/materials/steel_hoe | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped minecraft:stick tfmg:steel_hoe
tfmg:crafting/materials/steel_ingot_from_compacting | minecraft:crafting_shaped | c:nuggets/steel minecraft:crafting_shaped tfmg:steel_ingot
tfmg:crafting/materials/steel_ingot_from_decompacting | minecraft:crafting_shapeless | c:storage_blocks/steel minecraft:crafting_shapeless tfmg:steel_ingot
tfmg:crafting/materials/steel_mechanical_pump | minecraft:crafting_shapeless | create:cogwheel minecraft:crafting_shapeless tfmg:steel_mechanical_pump tfmg:steel_pipe
tfmg:crafting/materials/steel_nugget_from_decompacting | minecraft:crafting_shapeless | c:ingots/steel minecraft:crafting_shapeless tfmg:steel_nugget
tfmg:crafting/materials/steel_pickaxe | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped minecraft:stick tfmg:steel_pickaxe
tfmg:crafting/materials/steel_pipe | minecraft:crafting_shaped | c:ingots/steel c:plates/steel minecraft:crafting_shaped tfmg:steel_pipe
tfmg:crafting/materials/steel_pipe_vertical | minecraft:crafting_shaped | c:ingots/steel c:plates/steel minecraft:crafting_shaped tfmg:steel_pipe
tfmg:crafting/materials/steel_shovel | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped minecraft:stick tfmg:steel_shovel
tfmg:crafting/materials/steel_smart_fluid_pipe | minecraft:crafting_shaped | c:plates/aluminum create:electron_tube minecraft:crafting_shaped tfmg:steel_pipe tfmg:steel_smart_fluid_pipe
tfmg:crafting/materials/steel_sword | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped minecraft:stick tfmg:steel_sword
tfmg:crafting/materials/steel_trapdoor | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped tfmg:steel_trapdoor
tfmg:crafting/materials/steel_truss | minecraft:crafting_shaped | c:nuggets/steel minecraft:crafting_shaped tfmg:steel_truss
tfmg:crafting/materials/surface_scanner | minecraft:crafting_shaped | create:electron_tube minecraft:crafting_shaped tfmg:heavy_machinery_casing tfmg:steel_mechanism tfmg:surface_scanner
tfmg:crafting/materials/thermite_grenade | minecraft:crafting_shaped | c:ingots/aluminum minecraft:crafting_shaped tfmg:thermite_grenade tfmg:thermite_powder
tfmg:crafting/materials/traffic_light | minecraft:crafting_shaped | c:wires/copper minecraft:crafting_shaped minecraft:green_stained_glass_pane minecraft:orange_stained_glass_pane minecraft:red_stained_glass_pane tfmg:circuit_board tfmg:heavy_machinery_casing tfmg:light_bulb tfmg:traffic_light
tfmg:crafting/materials/transformer | minecraft:crafting_shaped | c:plates/nickel c:wires/copper minecraft:crafting_shaped tfmg:magnetic_alloy_sheet tfmg:steel_casing tfmg:transformer
tfmg:crafting/materials/transmission | minecraft:crafting_shaped | c:plates/aluminum minecraft:crafting_shaped tfmg:aluminum_cogwheel tfmg:plastic_sheet tfmg:steel_mechanism tfmg:transmission
tfmg:crafting/materials/turbine_engine | minecraft:crafting_shaped | c:plates/steel minecraft:crafting_shaped tfmg:aluminum_pipe tfmg:heavy_machinery_casing tfmg:turbine_engine
tfmg:crafting/materials/turbo | minecraft:crafting_shaped | create:propeller minecraft:crafting_shaped tfmg:aluminum_pipe tfmg:steel_bars tfmg:turbo
tfmg:crafting/materials/unfinished_electromagnetic_coil | minecraft:crafting_shaped | c:nuggets/steel minecraft:crafting_shaped tfmg:magnetic_alloy_ingot tfmg:unfinished_electromagnetic_coil
tfmg:crafting/materials/unfinished_resistor | minecraft:crafting_shaped | c:wires/copper minecraft:crafting_shaped tfmg:plastic_sheet tfmg:unfinished_resistor
tfmg:crafting/materials/unfinished_resistorfrom_slime | minecraft:crafting_shaped | c:wires/copper minecraft:crafting_shaped minecraft:slime_ball tfmg:unfinished_resistor
tfmg:crafting/materials/voltage_observer | minecraft:crafting_shaped | c:dusts/redstone c:wires/copper minecraft:crafting_shaped tfmg:capacitor_item tfmg:industrial_aluminum_casing tfmg:transistor_item tfmg:voltage_observer
tfmg:crafting/materials/voltmeter | minecraft:crafting_shaped | c:ingots/steel c:nuggets/steel minecraft:compass minecraft:crafting_shaped tfmg:magnet tfmg:voltmeter
tfmg:crafting/materials/white_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:white_dye tfmg:concrete tfmg:white_concrete
tfmg:crafting/materials/white_multimeter | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:white_dye tfmg:multimeter tfmg:white_multimeter
tfmg:crafting/materials/white_rebar_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:white_dye tfmg:rebar_concrete tfmg:white_rebar_concrete
tfmg:crafting/materials/winding_machine | minecraft:crafting_shaped | c:ingots/steel create:shaft minecraft:crafting_shaped tfmg:heavy_machinery_casing tfmg:heavy_plate tfmg:steel_mechanism tfmg:winding_machine
tfmg:crafting/materials/yellow_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:yellow_dye tfmg:concrete tfmg:yellow_concrete
tfmg:crafting/materials/yellow_multimeter | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:yellow_dye tfmg:multimeter tfmg:yellow_multimeter
tfmg:crafting/materials/yellow_rebar_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:yellow_dye tfmg:rebar_concrete tfmg:yellow_rebar_concrete
tfmg:crafting/materials/zinc_frame | minecraft:crafting_shaped | c:nuggets/zinc minecraft:crafting_shaped tfmg:zinc_frame
tfmg:crafting/materials/zinc_grenade | minecraft:crafting_shaped | c:ingots/zinc minecraft:crafting_shaped tfmg:thermite_grenade tfmg:zinc_grenade
tfmg:crafting/materials/zinc_truss | minecraft:crafting_shaped | c:nuggets/zinc minecraft:crafting_shaped tfmg:zinc_truss
tfmg:cut_bauxite_brick_slab | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:cut_bauxite_brick_slab tfmg:cut_bauxite_bricks
tfmg:cut_bauxite_brick_slab_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cut_bauxite_brick_slab tfmg:stone_types/bauxite
tfmg:cut_bauxite_brick_slab_recycling | minecraft:crafting_shapeless | minecraft:crafting_shapeless tfmg:cut_bauxite_brick_slab tfmg:cut_bauxite_bricks
tfmg:cut_bauxite_brick_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:cut_bauxite_brick_stairs tfmg:cut_bauxite_bricks
tfmg:cut_bauxite_brick_stairs_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cut_bauxite_brick_stairs tfmg:stone_types/bauxite
tfmg:cut_bauxite_brick_wall | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:cut_bauxite_brick_wall tfmg:cut_bauxite_bricks
tfmg:cut_bauxite_brick_wall_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cut_bauxite_brick_wall tfmg:stone_types/bauxite
tfmg:cut_bauxite_bricks_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cut_bauxite_bricks tfmg:stone_types/bauxite
tfmg:cut_bauxite_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cut_bauxite tfmg:stone_types/bauxite
tfmg:cut_bauxite_slab | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:cut_bauxite tfmg:cut_bauxite_slab
tfmg:cut_bauxite_slab_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cut_bauxite_slab tfmg:stone_types/bauxite
tfmg:cut_bauxite_slab_recycling | minecraft:crafting_shapeless | minecraft:crafting_shapeless tfmg:cut_bauxite tfmg:cut_bauxite_slab
