more_slabs_stairs_and_walls:acacia_leaves_slab_from_acacia_leaves_stonecutting | minecraft:stonecutting | minecraft:acacia_leaves minecraft:stonecutting more_slabs_stairs_and_walls:acacia_leaves_slab
more_slabs_stairs_and_walls:cyan_glazed_terracotta_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cyan_glazed_terracotta more_slabs_stairs_and_walls:cyan_glazed_terracotta_wall
more_slabs_stairs_and_walls:cyan_stained_glass_slab_from_cyan_stained_glass_stonecutting | minecraft:stonecutting | minecraft:cyan_stained_glass minecraft:stonecutting more_slabs_stairs_and_walls:cyan_stained_glass_slab
more_slabs_stairs_and_walls:cyan_stained_glass_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cyan_stained_glass more_slabs_stairs_and_walls:cyan_stained_glass_slab
more_slabs_stairs_and_walls:cyan_stained_glass_stairs_from_cyan_stained_glass_stonecutting | minecraft:stonecutting | minecraft:cyan_stained_glass minecraft:stonecutting more_slabs_stairs_and_walls:cyan_stained_glass_stairs
more_slabs_stairs_and_walls:cyan_stained_glass_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cyan_stained_glass more_slabs_stairs_and_walls:cyan_stained_glass_stairs
more_slabs_stairs_and_walls:cyan_stained_glass_wall_from_cyan_stained_glass_stonecutting | minecraft:stonecutting | minecraft:cyan_stained_glass minecraft:stonecutting more_slabs_stairs_and_walls:cyan_stained_glass_wall
more_slabs_stairs_and_walls:cyan_terracotta_slab_from_cyan_terracotta_stonecutting | minecraft:stonecutting | minecraft:cyan_terracotta minecraft:stonecutting more_slabs_stairs_and_walls:cyan_terracotta_slab
more_slabs_stairs_and_walls:cyan_terracotta_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cyan_terracotta more_slabs_stairs_and_walls:cyan_terracotta_slab
more_slabs_stairs_and_walls:cyan_terracotta_stairs_from_cyan_terracotta_stonecutting | minecraft:stonecutting | minecraft:cyan_terracotta minecraft:stonecutting more_slabs_stairs_and_walls:cyan_terracotta_stairs
more_slabs_stairs_and_walls:cyan_terracotta_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cyan_terracotta more_slabs_stairs_and_walls:cyan_terracotta_stairs
more_slabs_stairs_and_walls:cyan_terracotta_wall_from_cyan_terracotta_stonecutting | minecraft:stonecutting | minecraft:cyan_terracotta minecraft:stonecutting more_slabs_stairs_and_walls:cyan_terracotta_wall
more_slabs_stairs_and_walls:cyan_terracotta_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cyan_terracotta more_slabs_stairs_and_walls:cyan_terracotta_wall
more_slabs_stairs_and_walls:cyan_wool_slab_from_cyan_wool_stonecutting | minecraft:stonecutting | minecraft:cyan_wool minecraft:stonecutting more_slabs_stairs_and_walls:cyan_wool_slab
more_slabs_stairs_and_walls:cyan_wool_slab_from_dye | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cyan_dye more_slabs_stairs_and_walls:cyan_wool_slab more_slabs_stairs_and_walls:wool_slabs
more_slabs_stairs_and_walls:cyan_wool_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cyan_wool more_slabs_stairs_and_walls:cyan_wool_slab
more_slabs_stairs_and_walls:cyan_wool_stairs_from_cyan_wool_stonecutting | minecraft:stonecutting | minecraft:cyan_wool minecraft:stonecutting more_slabs_stairs_and_walls:cyan_wool_stairs
more_slabs_stairs_and_walls:cyan_wool_stairs_from_dye | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cyan_dye more_slabs_stairs_and_walls:cyan_wool_stairs more_slabs_stairs_and_walls:wool_stairs
more_slabs_stairs_and_walls:cyan_wool_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cyan_wool more_slabs_stairs_and_walls:cyan_wool_stairs
more_slabs_stairs_and_walls:cyan_wool_wall_from_cyan_wool_stonecutting | minecraft:stonecutting | minecraft:cyan_wool minecraft:stonecutting more_slabs_stairs_and_walls:cyan_wool_wall
more_slabs_stairs_and_walls:cyan_wool_wall_from_dye | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cyan_dye more_slabs_stairs_and_walls:cyan_wool_wall more_slabs_stairs_and_walls:wool_walls
more_slabs_stairs_and_walls:cyan_wool_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cyan_wool more_slabs_stairs_and_walls:cyan_wool_wall
more_slabs_stairs_and_walls:dark_oak_leaves_slab_from_dark_oak_leaves_stonecutting | minecraft:stonecutting | minecraft:dark_oak_leaves minecraft:stonecutting more_slabs_stairs_and_walls:dark_oak_leaves_slab
more_slabs_stairs_and_walls:dark_oak_leaves_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_leaves more_slabs_stairs_and_walls:dark_oak_leaves_slab
more_slabs_stairs_and_walls:dark_oak_leaves_stairs_from_dark_oak_leaves_stonecutting | minecraft:stonecutting | minecraft:dark_oak_leaves minecraft:stonecutting more_slabs_stairs_and_walls:dark_oak_leaves_stairs
more_slabs_stairs_and_walls:dark_oak_leaves_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_leaves more_slabs_stairs_and_walls:dark_oak_leaves_stairs
more_slabs_stairs_and_walls:dark_oak_leaves_wall_from_dark_oak_leaves_stonecutting | minecraft:stonecutting | minecraft:dark_oak_leaves minecraft:stonecutting more_slabs_stairs_and_walls:dark_oak_leaves_wall
more_slabs_stairs_and_walls:dark_oak_leaves_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_leaves more_slabs_stairs_and_walls:dark_oak_leaves_wall
more_slabs_stairs_and_walls:dark_oak_log_slab_from_dark_oak_log_stonecutting | minecraft:stonecutting | minecraft:dark_oak_log minecraft:stonecutting more_slabs_stairs_and_walls:dark_oak_log_slab
more_slabs_stairs_and_walls:dark_oak_log_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_log more_slabs_stairs_and_walls:dark_oak_log_slab
more_slabs_stairs_and_walls:dark_oak_log_slab_to_planks | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dark_oak_planks more_slabs_stairs_and_walls:dark_oak_log_slab
more_slabs_stairs_and_walls:dark_oak_log_stairs_from_dark_oak_log_stonecutting | minecraft:stonecutting | minecraft:dark_oak_log minecraft:stonecutting more_slabs_stairs_and_walls:dark_oak_log_stairs
more_slabs_stairs_and_walls:dark_oak_log_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_log more_slabs_stairs_and_walls:dark_oak_log_stairs
more_slabs_stairs_and_walls:dark_oak_log_stairs_to_planks | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dark_oak_planks more_slabs_stairs_and_walls:dark_oak_log_stairs
more_slabs_stairs_and_walls:dark_oak_log_wall_from_dark_oak_log_stonecutting | minecraft:stonecutting | minecraft:dark_oak_log minecraft:stonecutting more_slabs_stairs_and_walls:dark_oak_log_wall
more_slabs_stairs_and_walls:dark_oak_log_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_log more_slabs_stairs_and_walls:dark_oak_log_wall
more_slabs_stairs_and_walls:dark_oak_log_wall_to_planks | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dark_oak_planks more_slabs_stairs_and_walls:dark_oak_log_wall
more_slabs_stairs_and_walls:dark_oak_planks_wall_from_dark_oak_planks_stonecutting | minecraft:stonecutting | minecraft:dark_oak_planks minecraft:stonecutting more_slabs_stairs_and_walls:dark_oak_planks_wall
more_slabs_stairs_and_walls:dark_oak_planks_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_planks more_slabs_stairs_and_walls:dark_oak_planks_wall
more_slabs_stairs_and_walls:dark_oak_wood_slab_from_dark_oak_wood_stonecutting | minecraft:stonecutting | minecraft:dark_oak_wood minecraft:stonecutting more_slabs_stairs_and_walls:dark_oak_wood_slab
more_slabs_stairs_and_walls:dark_oak_wood_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_wood more_slabs_stairs_and_walls:dark_oak_wood_slab
more_slabs_stairs_and_walls:dark_oak_wood_slab_to_planks | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dark_oak_planks more_slabs_stairs_and_walls:dark_oak_wood_slab
more_slabs_stairs_and_walls:dark_oak_wood_stairs_from_dark_oak_wood_stonecutting | minecraft:stonecutting | minecraft:dark_oak_wood minecraft:stonecutting more_slabs_stairs_and_walls:dark_oak_wood_stairs
more_slabs_stairs_and_walls:dark_oak_wood_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_wood more_slabs_stairs_and_walls:dark_oak_wood_stairs
more_slabs_stairs_and_walls:dark_oak_wood_stairs_to_planks | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dark_oak_planks more_slabs_stairs_and_walls:dark_oak_wood_stairs
more_slabs_stairs_and_walls:dark_oak_wood_wall_from_dark_oak_wood_stonecutting | minecraft:stonecutting | minecraft:dark_oak_wood minecraft:stonecutting more_slabs_stairs_and_walls:dark_oak_wood_wall
more_slabs_stairs_and_walls:dark_oak_wood_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_wood more_slabs_stairs_and_walls:dark_oak_wood_wall
more_slabs_stairs_and_walls:dark_oak_wood_wall_to_planks | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dark_oak_planks more_slabs_stairs_and_walls:dark_oak_wood_wall
more_slabs_stairs_and_walls:dark_prismarine_wall_from_dark_prismarine_stonecutting | minecraft:stonecutting | minecraft:dark_prismarine minecraft:stonecutting more_slabs_stairs_and_walls:dark_prismarine_wall
more_slabs_stairs_and_walls:dark_prismarine_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_prismarine more_slabs_stairs_and_walls:dark_prismarine_wall
more_slabs_stairs_and_walls:dead_brain_coral_block_slab_from_dead_brain_coral_block_stonecutting | minecraft:stonecutting | minecraft:dead_brain_coral_block minecraft:stonecutting more_slabs_stairs_and_walls:dead_brain_coral_block_slab
more_slabs_stairs_and_walls:dead_brain_coral_block_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_brain_coral_block more_slabs_stairs_and_walls:dead_brain_coral_block_slab
more_slabs_stairs_and_walls:dead_brain_coral_block_stairs_from_dead_brain_coral_block_stonecutting | minecraft:stonecutting | minecraft:dead_brain_coral_block minecraft:stonecutting more_slabs_stairs_and_walls:dead_brain_coral_block_stairs
more_slabs_stairs_and_walls:dead_brain_coral_block_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_brain_coral_block more_slabs_stairs_and_walls:dead_brain_coral_block_stairs
more_slabs_stairs_and_walls:dead_brain_coral_block_wall_from_dead_brain_coral_block_stonecutting | minecraft:stonecutting | minecraft:dead_brain_coral_block minecraft:stonecutting more_slabs_stairs_and_walls:dead_brain_coral_block_wall
more_slabs_stairs_and_walls:dead_brain_coral_block_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_brain_coral_block more_slabs_stairs_and_walls:dead_brain_coral_block_wall
more_slabs_stairs_and_walls:dead_bubble_coral_block_slab_from_dead_bubble_coral_block_stonecutting | minecraft:stonecutting | minecraft:dead_bubble_coral_block minecraft:stonecutting more_slabs_stairs_and_walls:dead_bubble_coral_block_slab
more_slabs_stairs_and_walls:dead_bubble_coral_block_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_bubble_coral_block more_slabs_stairs_and_walls:dead_bubble_coral_block_slab
more_slabs_stairs_and_walls:dead_bubble_coral_block_stairs_from_dead_bubble_coral_block_stonecutting | minecraft:stonecutting | minecraft:dead_bubble_coral_block minecraft:stonecutting more_slabs_stairs_and_walls:dead_bubble_coral_block_stairs
more_slabs_stairs_and_walls:dead_bubble_coral_block_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_bubble_coral_block more_slabs_stairs_and_walls:dead_bubble_coral_block_stairs
more_slabs_stairs_and_walls:dead_bubble_coral_block_wall_from_dead_bubble_coral_block_stonecutting | minecraft:stonecutting | minecraft:dead_bubble_coral_block minecraft:stonecutting more_slabs_stairs_and_walls:dead_bubble_coral_block_wall
more_slabs_stairs_and_walls:dead_bubble_coral_block_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_bubble_coral_block more_slabs_stairs_and_walls:dead_bubble_coral_block_wall
more_slabs_stairs_and_walls:dead_fire_coral_block_slab_from_dead_fire_coral_block_stonecutting | minecraft:stonecutting | minecraft:dead_fire_coral_block minecraft:stonecutting more_slabs_stairs_and_walls:dead_fire_coral_block_slab
more_slabs_stairs_and_walls:dead_fire_coral_block_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_fire_coral_block more_slabs_stairs_and_walls:dead_fire_coral_block_slab
more_slabs_stairs_and_walls:dead_fire_coral_block_stairs_from_dead_fire_coral_block_stonecutting | minecraft:stonecutting | minecraft:dead_fire_coral_block minecraft:stonecutting more_slabs_stairs_and_walls:dead_fire_coral_block_stairs
more_slabs_stairs_and_walls:dead_fire_coral_block_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_fire_coral_block more_slabs_stairs_and_walls:dead_fire_coral_block_stairs
more_slabs_stairs_and_walls:dead_fire_coral_block_wall_from_dead_fire_coral_block_stonecutting | minecraft:stonecutting | minecraft:dead_fire_coral_block minecraft:stonecutting more_slabs_stairs_and_walls:dead_fire_coral_block_wall
more_slabs_stairs_and_walls:dead_fire_coral_block_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_fire_coral_block more_slabs_stairs_and_walls:dead_fire_coral_block_wall
more_slabs_stairs_and_walls:dead_horn_coral_block_slab_from_dead_horn_coral_block_stonecutting | minecraft:stonecutting | minecraft:dead_horn_coral_block minecraft:stonecutting more_slabs_stairs_and_walls:dead_horn_coral_block_slab
more_slabs_stairs_and_walls:dead_horn_coral_block_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_horn_coral_block more_slabs_stairs_and_walls:dead_horn_coral_block_slab
more_slabs_stairs_and_walls:dead_horn_coral_block_stairs_from_dead_horn_coral_block_stonecutting | minecraft:stonecutting | minecraft:dead_horn_coral_block minecraft:stonecutting more_slabs_stairs_and_walls:dead_horn_coral_block_stairs
more_slabs_stairs_and_walls:dead_horn_coral_block_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_horn_coral_block more_slabs_stairs_and_walls:dead_horn_coral_block_stairs
more_slabs_stairs_and_walls:dead_horn_coral_block_wall_from_dead_horn_coral_block_stonecutting | minecraft:stonecutting | minecraft:dead_horn_coral_block minecraft:stonecutting more_slabs_stairs_and_walls:dead_horn_coral_block_wall
more_slabs_stairs_and_walls:dead_horn_coral_block_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_horn_coral_block more_slabs_stairs_and_walls:dead_horn_coral_block_wall
more_slabs_stairs_and_walls:dead_tube_coral_block_slab_from_dead_tube_coral_block_stonecutting | minecraft:stonecutting | minecraft:dead_tube_coral_block minecraft:stonecutting more_slabs_stairs_and_walls:dead_tube_coral_block_slab
more_slabs_stairs_and_walls:dead_tube_coral_block_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_tube_coral_block more_slabs_stairs_and_walls:dead_tube_coral_block_slab
more_slabs_stairs_and_walls:dead_tube_coral_block_stairs_from_dead_tube_coral_block_stonecutting | minecraft:stonecutting | minecraft:dead_tube_coral_block minecraft:stonecutting more_slabs_stairs_and_walls:dead_tube_coral_block_stairs
more_slabs_stairs_and_walls:dead_tube_coral_block_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_tube_coral_block more_slabs_stairs_and_walls:dead_tube_coral_block_stairs
more_slabs_stairs_and_walls:dead_tube_coral_block_wall_from_dead_tube_coral_block_stonecutting | minecraft:stonecutting | minecraft:dead_tube_coral_block minecraft:stonecutting more_slabs_stairs_and_walls:dead_tube_coral_block_wall
more_slabs_stairs_and_walls:dead_tube_coral_block_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_tube_coral_block more_slabs_stairs_and_walls:dead_tube_coral_block_wall
more_slabs_stairs_and_walls:deepslate_slab_from_deepslate_stonecutting | minecraft:stonecutting | minecraft:deepslate minecraft:stonecutting more_slabs_stairs_and_walls:deepslate_slab
more_slabs_stairs_and_walls:deepslate_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:deepslate more_slabs_stairs_and_walls:deepslate_slab
more_slabs_stairs_and_walls:deepslate_stairs_from_deepslate_stonecutting | minecraft:stonecutting | minecraft:deepslate minecraft:stonecutting more_slabs_stairs_and_walls:deepslate_stairs
more_slabs_stairs_and_walls:deepslate_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:deepslate more_slabs_stairs_and_walls:deepslate_stairs
more_slabs_stairs_and_walls:deepslate_wall_from_deepslate_stonecutting | minecraft:stonecutting | minecraft:deepslate minecraft:stonecutting more_slabs_stairs_and_walls:deepslate_wall
more_slabs_stairs_and_walls:deepslate_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:deepslate more_slabs_stairs_and_walls:deepslate_wall
more_slabs_stairs_and_walls:diamond_block_slab_from_diamond_block_stonecutting | minecraft:stonecutting | minecraft:diamond_block minecraft:stonecutting more_slabs_stairs_and_walls:diamond_block_slab
more_slabs_stairs_and_walls:diamond_block_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diamond_block more_slabs_stairs_and_walls:diamond_block_slab
more_slabs_stairs_and_walls:diamond_block_stairs_from_diamond_block_stonecutting | minecraft:stonecutting | minecraft:diamond_block minecraft:stonecutting more_slabs_stairs_and_walls:diamond_block_stairs
more_slabs_stairs_and_walls:diamond_block_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diamond_block more_slabs_stairs_and_walls:diamond_block_stairs
more_slabs_stairs_and_walls:diamond_block_wall_from_diamond_block_stonecutting | minecraft:stonecutting | minecraft:diamond_block minecraft:stonecutting more_slabs_stairs_and_walls:diamond_block_wall
more_slabs_stairs_and_walls:diamond_block_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diamond_block more_slabs_stairs_and_walls:diamond_block_wall
more_slabs_stairs_and_walls:dirt_path_slab_from_dirt_path_stonecutting | minecraft:stonecutting | minecraft:dirt_path minecraft:stonecutting more_slabs_stairs_and_walls:dirt_path_slab
more_slabs_stairs_and_walls:dirt_path_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dirt_path more_slabs_stairs_and_walls:dirt_path_slab
more_slabs_stairs_and_walls:dirt_path_stairs_from_dirt_path_stonecutting | minecraft:stonecutting | minecraft:dirt_path minecraft:stonecutting more_slabs_stairs_and_walls:dirt_path_stairs
more_slabs_stairs_and_walls:dirt_path_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dirt_path more_slabs_stairs_and_walls:dirt_path_stairs
more_slabs_stairs_and_walls:dirt_path_wall_from_dirt_path_stonecutting | minecraft:stonecutting | minecraft:dirt_path minecraft:stonecutting more_slabs_stairs_and_walls:dirt_path_wall
more_slabs_stairs_and_walls:dirt_path_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dirt_path more_slabs_stairs_and_walls:dirt_path_wall
more_slabs_stairs_and_walls:dirt_slab_from_dirt_stonecutting | minecraft:stonecutting | minecraft:dirt minecraft:stonecutting more_slabs_stairs_and_walls:dirt_slab
more_slabs_stairs_and_walls:dirt_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dirt more_slabs_stairs_and_walls:dirt_slab
more_slabs_stairs_and_walls:dirt_stairs_from_dirt_stonecutting | minecraft:stonecutting | minecraft:dirt minecraft:stonecutting more_slabs_stairs_and_walls:dirt_stairs
more_slabs_stairs_and_walls:dirt_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dirt more_slabs_stairs_and_walls:dirt_stairs
more_slabs_stairs_and_walls:dirt_wall_from_dirt_stonecutting | minecraft:stonecutting | minecraft:dirt minecraft:stonecutting more_slabs_stairs_and_walls:dirt_wall
more_slabs_stairs_and_walls:dirt_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dirt more_slabs_stairs_and_walls:dirt_wall
more_slabs_stairs_and_walls:dried_kelp_block_slab_from_dried_kelp_block_stonecutting | minecraft:stonecutting | minecraft:dried_kelp_block minecraft:stonecutting more_slabs_stairs_and_walls:dried_kelp_block_slab
more_slabs_stairs_and_walls:dried_kelp_block_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dried_kelp_block more_slabs_stairs_and_walls:dried_kelp_block_slab
more_slabs_stairs_and_walls:dried_kelp_block_stairs_from_dried_kelp_block_stonecutting | minecraft:stonecutting | minecraft:dried_kelp_block minecraft:stonecutting more_slabs_stairs_and_walls:dried_kelp_block_stairs
more_slabs_stairs_and_walls:dried_kelp_block_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dried_kelp_block more_slabs_stairs_and_walls:dried_kelp_block_stairs
more_slabs_stairs_and_walls:dried_kelp_block_wall_from_dried_kelp_block_stonecutting | minecraft:stonecutting | minecraft:dried_kelp_block minecraft:stonecutting more_slabs_stairs_and_walls:dried_kelp_block_wall
more_slabs_stairs_and_walls:dried_kelp_block_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dried_kelp_block more_slabs_stairs_and_walls:dried_kelp_block_wall
more_slabs_stairs_and_walls:dripstone_block_slab_from_dripstone_block_stonecutting | minecraft:stonecutting | minecraft:dripstone_block minecraft:stonecutting more_slabs_stairs_and_walls:dripstone_block_slab
more_slabs_stairs_and_walls:dripstone_block_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dripstone_block more_slabs_stairs_and_walls:dripstone_block_slab
more_slabs_stairs_and_walls:dripstone_block_stairs_from_dripstone_block_stonecutting | minecraft:stonecutting | minecraft:dripstone_block minecraft:stonecutting more_slabs_stairs_and_walls:dripstone_block_stairs
more_slabs_stairs_and_walls:dripstone_block_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dripstone_block more_slabs_stairs_and_walls:dripstone_block_stairs
more_slabs_stairs_and_walls:dripstone_block_wall_from_dripstone_block_stonecutting | minecraft:stonecutting | minecraft:dripstone_block minecraft:stonecutting more_slabs_stairs_and_walls:dripstone_block_wall
more_slabs_stairs_and_walls:dripstone_block_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dripstone_block more_slabs_stairs_and_walls:dripstone_block_wall
more_slabs_stairs_and_walls:emerald_block_slab_from_emerald_block_stonecutting | minecraft:stonecutting | minecraft:emerald_block minecraft:stonecutting more_slabs_stairs_and_walls:emerald_block_slab
more_slabs_stairs_and_walls:emerald_block_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:emerald_block more_slabs_stairs_and_walls:emerald_block_slab
more_slabs_stairs_and_walls:emerald_block_stairs_from_emerald_block_stonecutting | minecraft:stonecutting | minecraft:emerald_block minecraft:stonecutting more_slabs_stairs_and_walls:emerald_block_stairs
more_slabs_stairs_and_walls:emerald_block_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:emerald_block more_slabs_stairs_and_walls:emerald_block_stairs
more_slabs_stairs_and_walls:emerald_block_wall_from_emerald_block_stonecutting | minecraft:stonecutting | minecraft:emerald_block minecraft:stonecutting more_slabs_stairs_and_walls:emerald_block_wall
more_slabs_stairs_and_walls:emerald_block_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:emerald_block more_slabs_stairs_and_walls:emerald_block_wall
more_slabs_stairs_and_walls:end_stone_slab_from_end_stone_stonecutting | minecraft:stonecutting | minecraft:end_stone minecraft:stonecutting more_slabs_stairs_and_walls:end_stone_slab
more_slabs_stairs_and_walls:end_stone_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:end_stone more_slabs_stairs_and_walls:end_stone_slab
more_slabs_stairs_and_walls:end_stone_stairs_from_end_stone_stonecutting | minecraft:stonecutting | minecraft:end_stone minecraft:stonecutting more_slabs_stairs_and_walls:end_stone_stairs
more_slabs_stairs_and_walls:end_stone_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:end_stone more_slabs_stairs_and_walls:end_stone_stairs
more_slabs_stairs_and_walls:end_stone_wall_from_end_stone_stonecutting | minecraft:stonecutting | minecraft:end_stone minecraft:stonecutting more_slabs_stairs_and_walls:end_stone_wall
more_slabs_stairs_and_walls:end_stone_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:end_stone more_slabs_stairs_and_walls:end_stone_wall
more_slabs_stairs_and_walls:exposed_chiseled_copper_slab_from_exposed_chiseled_copper_stonecutting | minecraft:stonecutting | minecraft:exposed_chiseled_copper minecraft:stonecutting more_slabs_stairs_and_walls:exposed_chiseled_copper_slab
more_slabs_stairs_and_walls:exposed_chiseled_copper_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:exposed_chiseled_copper more_slabs_stairs_and_walls:exposed_chiseled_copper_slab
more_slabs_stairs_and_walls:exposed_chiseled_copper_stairs_from_exposed_chiseled_copper_stonecutting | minecraft:stonecutting | minecraft:exposed_chiseled_copper minecraft:stonecutting more_slabs_stairs_and_walls:exposed_chiseled_copper_stairs
more_slabs_stairs_and_walls:exposed_chiseled_copper_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:exposed_chiseled_copper more_slabs_stairs_and_walls:exposed_chiseled_copper_stairs
more_slabs_stairs_and_walls:exposed_chiseled_copper_wall_from_exposed_chiseled_copper_stonecutting | minecraft:stonecutting | minecraft:exposed_chiseled_copper minecraft:stonecutting more_slabs_stairs_and_walls:exposed_chiseled_copper_wall
more_slabs_stairs_and_walls:exposed_chiseled_copper_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:exposed_chiseled_copper more_slabs_stairs_and_walls:exposed_chiseled_copper_wall
more_slabs_stairs_and_walls:exposed_copper_grate_slab_from_exposed_copper_grate_stonecutting | minecraft:stonecutting | minecraft:exposed_copper_grate minecraft:stonecutting more_slabs_stairs_and_walls:exposed_copper_grate_slab
more_slabs_stairs_and_walls:exposed_copper_grate_slab_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:exposed_copper_grate more_slabs_stairs_and_walls:exposed_copper_grate_slab
more_slabs_stairs_and_walls:exposed_copper_grate_stairs_from_exposed_copper_grate_stonecutting | minecraft:stonecutting | minecraft:exposed_copper_grate minecraft:stonecutting more_slabs_stairs_and_walls:exposed_copper_grate_stairs
more_slabs_stairs_and_walls:exposed_copper_grate_stairs_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:exposed_copper_grate more_slabs_stairs_and_walls:exposed_copper_grate_stairs
more_slabs_stairs_and_walls:exposed_copper_grate_wall_from_exposed_copper_grate_stonecutting | minecraft:stonecutting | minecraft:exposed_copper_grate minecraft:stonecutting more_slabs_stairs_and_walls:exposed_copper_grate_wall
more_slabs_stairs_and_walls:exposed_copper_grate_wall_shaped | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:exposed_copper_grate more_slabs_stairs_and_walls:exposed_copper_grate_wall
