farmersdelight:acacia_cabinet | minecraft:crafting_shaped | farmersdelight:acacia_cabinet minecraft:acacia_slab minecraft:acacia_trapdoor minecraft:crafting_shaped
farmersdelight:food_serving | farmersdelight:food_serving | farmersdelight:food_serving
farmersdelight:fried_egg | minecraft:smelting | farmersdelight:fried_egg minecraft:egg minecraft:smelting
farmersdelight:fried_egg_from_campfire_cooking | minecraft:campfire_cooking | farmersdelight:fried_egg minecraft:campfire_cooking minecraft:egg
farmersdelight:fried_egg_from_smoking | minecraft:smoking | farmersdelight:fried_egg minecraft:egg minecraft:smoking
farmersdelight:fruit_salad | minecraft:crafting_shapeless | c:foods/berry farmersdelight:fruit_salad farmersdelight:pumpkin_slice minecraft:apple minecraft:bowl minecraft:crafting_shapeless minecraft:melon_slice
farmersdelight:full_tatami_mat | minecraft:crafting_shapeless | farmersdelight:full_tatami_mat farmersdelight:tatami minecraft:crafting_shapeless
farmersdelight:full_tatami_mat_from_halves | minecraft:crafting_shapeless | farmersdelight:full_tatami_mat farmersdelight:half_tatami_mat minecraft:crafting_shapeless
farmersdelight:gleaming_salad_block | minecraft:crafting_shapeless | c:crops/beetroot c:crops/tomato farmersdelight:cabbage farmersdelight:gleaming_salad_block minecraft:bowl minecraft:crafting_shapeless minecraft:glow_berries minecraft:golden_carrot minecraft:honey_bottle
farmersdelight:gold_nugget_from_blasting_knife | minecraft:blasting | farmersdelight:golden_knife minecraft:blasting minecraft:gold_nugget
farmersdelight:gold_nugget_from_smelting_knife | minecraft:smelting | farmersdelight:golden_knife minecraft:gold_nugget minecraft:smelting
farmersdelight:golden_knife | minecraft:crafting_shaped | farmersdelight:golden_knife minecraft:crafting_shaped minecraft:gold_ingot minecraft:stick
farmersdelight:gray_canvas_sign | minecraft:crafting_shapeless | c:dyes/gray farmersdelight:canvas_signs farmersdelight:gray_canvas_sign minecraft:crafting_shapeless
farmersdelight:gray_hanging_canvas_sign | minecraft:crafting_shapeless | c:dyes/gray farmersdelight:gray_hanging_canvas_sign farmersdelight:hanging_canvas_signs minecraft:crafting_shapeless
farmersdelight:green_canvas_sign | minecraft:crafting_shapeless | c:dyes/green farmersdelight:canvas_signs farmersdelight:green_canvas_sign minecraft:crafting_shapeless
farmersdelight:green_hanging_canvas_sign | minecraft:crafting_shapeless | c:dyes/green farmersdelight:green_hanging_canvas_sign farmersdelight:hanging_canvas_signs minecraft:crafting_shapeless
farmersdelight:grilled_salmon | minecraft:crafting_shapeless | c:crops/cabbage c:crops/onion c:foods/cooked_salmon farmersdelight:grilled_salmon minecraft:bowl minecraft:crafting_shapeless minecraft:sweet_berries
farmersdelight:half_tatami_mat | minecraft:crafting_shapeless | farmersdelight:full_tatami_mat farmersdelight:half_tatami_mat minecraft:crafting_shapeless
farmersdelight:hamburger | minecraft:crafting_shapeless | c:crops/onion c:crops/tomato c:foods/bread c:foods/leafy_green farmersdelight:beef_patty farmersdelight:hamburger minecraft:crafting_shapeless
farmersdelight:hanging_canvas_sign | minecraft:crafting_shaped | farmersdelight:canvas farmersdelight:hanging_canvas_sign minecraft:chain minecraft:crafting_shaped minecraft:logs
farmersdelight:honey_cookie | minecraft:crafting_shapeless | c:crops/wheat farmersdelight:honey_cookie minecraft:crafting_shapeless minecraft:honey_bottle
farmersdelight:honey_glazed_ham_block | minecraft:crafting_shapeless | farmersdelight:cooked_rice farmersdelight:honey_glazed_ham_block farmersdelight:smoked_ham minecraft:bowl minecraft:crafting_shapeless minecraft:honey_bottle minecraft:sweet_berries
farmersdelight:horse_feed | minecraft:crafting_shapeless | farmersdelight:horse_feed farmersdelight:rice_bale minecraft:apple minecraft:crafting_shapeless minecraft:golden_carrot minecraft:hay_block
farmersdelight:integration/create/filling/chocolate_pie | create:filling | c:chocolate create:filling farmersdelight:chocolate_pie farmersdelight:pie_crust neoforge:mod_loaded neoforge:tag
farmersdelight:integration/create/milling/rice_panicle | create:milling | create:milling farmersdelight:rice farmersdelight:rice_panicle farmersdelight:straw neoforge:mod_loaded
farmersdelight:integration/create/milling/wild_beetroots | create:milling | create:milling farmersdelight:wild_beetroots minecraft:beetroot_seeds minecraft:red_dye neoforge:mod_loaded
farmersdelight:integration/create/milling/wild_cabbages | create:milling | create:milling farmersdelight:cabbage_seeds farmersdelight:wild_cabbages minecraft:yellow_dye neoforge:mod_loaded
farmersdelight:integration/create/milling/wild_carrots | create:milling | create:milling farmersdelight:wild_carrots minecraft:light_gray_dye minecraft:lime_dye neoforge:mod_loaded
farmersdelight:integration/create/milling/wild_onions | create:milling | create:milling farmersdelight:wild_onions minecraft:lime_dye minecraft:magenta_dye neoforge:mod_loaded
farmersdelight:integration/create/milling/wild_potatoes | create:milling | create:milling farmersdelight:wild_potatoes minecraft:lime_dye minecraft:purple_dye neoforge:mod_loaded
farmersdelight:integration/create/milling/wild_rice | create:milling | create:milling farmersdelight:rice farmersdelight:straw farmersdelight:wild_rice neoforge:mod_loaded
farmersdelight:integration/create/milling/wild_tomatoes | create:milling | create:milling farmersdelight:tomato_seeds farmersdelight:wild_tomatoes minecraft:green_dye neoforge:mod_loaded
farmersdelight:integration/create/mixing/cabbage_slice_from_mixing | create:mixing | create:mixing farmersdelight:cabbage farmersdelight:cabbage_leaf neoforge:mod_loaded
farmersdelight:integration/create/mixing/pie_crust_from_mixing | create:mixing | c:milk create:mixing create:wheat_flour farmersdelight:pie_crust neoforge:mod_loaded neoforge:tag
farmersdelight:integration/create/mixing/tomato_sauce_from_mixing | create:mixing | c:crops/tomato create:mixing farmersdelight:tomato_sauce minecraft:bowl neoforge:mod_loaded
farmersdelight:integration/immersiveengineering/cloche/cabbage | immersiveengineering:cloche | farmersdelight:cabbage farmersdelight:cabbage_seeds farmersdelight:cabbages immersiveengineering:cloche immersiveengineering:crop minecraft:dirt neoforge:mod_loaded
farmersdelight:integration/immersiveengineering/cloche/onion | immersiveengineering:cloche | farmersdelight:onion farmersdelight:onions immersiveengineering:cloche immersiveengineering:crop minecraft:dirt neoforge:mod_loaded
farmersdelight:integration/immersiveengineering/cloche/rice | immersiveengineering:cloche | farmersdelight:rice farmersdelight:rice_panicle farmersdelight:rice_panicles immersiveengineering:cloche immersiveengineering:crop minecraft:dirt neoforge:mod_loaded
farmersdelight:integration/immersiveengineering/cloche/tomato | immersiveengineering:cloche | farmersdelight:tomato farmersdelight:tomato_seeds farmersdelight:tomatoes immersiveengineering:cloche immersiveengineering:crop minecraft:dirt neoforge:mod_loaded
farmersdelight:integration/immersiveengineering/crusher/rice_panicle | immersiveengineering:crusher | farmersdelight:rice farmersdelight:rice_panicle farmersdelight:straw immersiveengineering:crusher neoforge:mod_loaded
farmersdelight:integration/immersiveengineering/crusher/wild_beetroots | immersiveengineering:crusher | farmersdelight:wild_beetroots immersiveengineering:crusher minecraft:beetroot_seeds minecraft:red_dye neoforge:mod_loaded
farmersdelight:integration/immersiveengineering/crusher/wild_cabbages | immersiveengineering:crusher | farmersdelight:cabbage_seeds farmersdelight:wild_cabbages immersiveengineering:crusher minecraft:yellow_dye neoforge:mod_loaded
farmersdelight:integration/immersiveengineering/crusher/wild_carrots | immersiveengineering:crusher | farmersdelight:wild_carrots immersiveengineering:crusher minecraft:light_gray_dye minecraft:lime_dye neoforge:mod_loaded
farmersdelight:integration/immersiveengineering/crusher/wild_onions | immersiveengineering:crusher | farmersdelight:wild_onions immersiveengineering:crusher minecraft:lime_dye minecraft:magenta_dye neoforge:mod_loaded
farmersdelight:integration/immersiveengineering/crusher/wild_potatoes | immersiveengineering:crusher | farmersdelight:wild_potatoes immersiveengineering:crusher minecraft:lime_dye minecraft:purple_dye neoforge:mod_loaded
farmersdelight:integration/immersiveengineering/crusher/wild_rice | immersiveengineering:crusher | farmersdelight:rice farmersdelight:wild_rice immersiveengineering:crusher minecraft:green_dye neoforge:mod_loaded
farmersdelight:integration/immersiveengineering/crusher/wild_tomatoes | immersiveengineering:crusher | farmersdelight:tomato_seeds farmersdelight:wild_tomatoes immersiveengineering:crusher minecraft:green_dye neoforge:mod_loaded
farmersdelight:integration/immersiveengineering/fermenter/tomato | immersiveengineering:fermenter | c:crops/tomato immersiveengineering:ethanol immersiveengineering:fermenter neoforge:mod_loaded
farmersdelight:integration/immersiveengineering/metalpress/pumpkin | immersiveengineering:metal_press | farmersdelight:pumpkin_slice immersiveengineering:metal_press immersiveengineering:mold_unpacking minecraft:pumpkin neoforge:mod_loaded
farmersdelight:integration/immersiveengineering/squeezer/cabbage_seeds | immersiveengineering:squeezer | farmersdelight:cabbage_seeds immersiveengineering:plantoil immersiveengineering:squeezer neoforge:mod_loaded
farmersdelight:integration/immersiveengineering/squeezer/tomato_seeds | immersiveengineering:squeezer | farmersdelight:tomato_seeds immersiveengineering:plantoil immersiveengineering:squeezer neoforge:mod_loaded
farmersdelight:integration/silentgear/cutting/netherwood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:tool_action farmersdelight:tree_bark minecraft:item.axe.strip neoforge:mod_loaded silentgear:netherwood_log silentgear:stripped_netherwood_log
farmersdelight:iron_knife | minecraft:crafting_shaped | c:ingots/iron farmersdelight:iron_knife minecraft:crafting_shaped minecraft:stick
farmersdelight:iron_nugget_from_blasting_knife | minecraft:blasting | farmersdelight:iron_knife minecraft:blasting minecraft:iron_nugget
farmersdelight:iron_nugget_from_smelting_knife | minecraft:smelting | farmersdelight:iron_knife minecraft:iron_nugget minecraft:smelting
farmersdelight:jungle_cabinet | minecraft:crafting_shaped | farmersdelight:jungle_cabinet minecraft:crafting_shaped minecraft:jungle_slab minecraft:jungle_trapdoor
farmersdelight:kelp_roll | minecraft:crafting_shaped | c:foods/vegetable farmersdelight:cooked_rice farmersdelight:kelp_roll minecraft:crafting_shaped minecraft:dried_kelp
farmersdelight:lead_from_straw | minecraft:crafting_shaped | farmersdelight:straw minecraft:crafting_shaped minecraft:lead
farmersdelight:light_blue_canvas_sign | minecraft:crafting_shapeless | c:dyes/light_blue farmersdelight:canvas_signs farmersdelight:light_blue_canvas_sign minecraft:crafting_shapeless
farmersdelight:light_blue_hanging_canvas_sign | minecraft:crafting_shapeless | c:dyes/light_blue farmersdelight:hanging_canvas_signs farmersdelight:light_blue_hanging_canvas_sign minecraft:crafting_shapeless
farmersdelight:light_gray_canvas_sign | minecraft:crafting_shapeless | c:dyes/light_gray farmersdelight:canvas_signs farmersdelight:light_gray_canvas_sign minecraft:crafting_shapeless
farmersdelight:light_gray_hanging_canvas_sign | minecraft:crafting_shapeless | c:dyes/light_gray farmersdelight:hanging_canvas_signs farmersdelight:light_gray_hanging_canvas_sign minecraft:crafting_shapeless
farmersdelight:lime_canvas_sign | minecraft:crafting_shapeless | c:dyes/lime farmersdelight:canvas_signs farmersdelight:lime_canvas_sign minecraft:crafting_shapeless
farmersdelight:lime_hanging_canvas_sign | minecraft:crafting_shapeless | c:dyes/lime farmersdelight:hanging_canvas_signs farmersdelight:lime_hanging_canvas_sign minecraft:crafting_shapeless
farmersdelight:magenta_canvas_sign | minecraft:crafting_shapeless | c:dyes/magenta farmersdelight:canvas_signs farmersdelight:magenta_canvas_sign minecraft:crafting_shapeless
farmersdelight:magenta_hanging_canvas_sign | minecraft:crafting_shapeless | c:dyes/magenta farmersdelight:hanging_canvas_signs farmersdelight:magenta_hanging_canvas_sign minecraft:crafting_shapeless
farmersdelight:mangrove_cabinet | minecraft:crafting_shaped | farmersdelight:mangrove_cabinet minecraft:crafting_shaped minecraft:mangrove_slab minecraft:mangrove_trapdoor
farmersdelight:melon_juice | minecraft:crafting_shapeless | farmersdelight:melon_juice minecraft:crafting_shapeless minecraft:glass_bottle minecraft:melon_slice minecraft:sugar
farmersdelight:melon_popsicle | minecraft:crafting_shaped | farmersdelight:melon_popsicle minecraft:crafting_shaped minecraft:ice minecraft:melon_slice minecraft:stick
farmersdelight:milk_bottle | minecraft:crafting_shapeless | farmersdelight:milk_bottle minecraft:crafting_shapeless minecraft:glass_bottle minecraft:milk_bucket
farmersdelight:milk_bucket_from_bottles | minecraft:crafting_shapeless | farmersdelight:milk_bottle minecraft:bucket minecraft:crafting_shapeless minecraft:milk_bucket
farmersdelight:mixed_salad | minecraft:crafting_shapeless | c:crops/beetroot c:crops/tomato c:foods/leafy_green farmersdelight:mixed_salad minecraft:bowl minecraft:crafting_shapeless
farmersdelight:mutton_wrap | minecraft:crafting_shapeless | c:crops/onion c:foods/bread c:foods/cooked_mutton c:foods/leafy_green farmersdelight:mutton_wrap minecraft:crafting_shapeless
farmersdelight:nether_salad | minecraft:crafting_shapeless | farmersdelight:nether_salad minecraft:bowl minecraft:crafting_shapeless minecraft:crimson_fungus minecraft:warped_fungus
farmersdelight:netherite_knife_smithing | minecraft:smithing_transform | farmersdelight:diamond_knife farmersdelight:netherite_knife minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
farmersdelight:oak_cabinet | minecraft:crafting_shaped | farmersdelight:oak_cabinet minecraft:crafting_shaped minecraft:oak_slab minecraft:oak_trapdoor
farmersdelight:onion | minecraft:crafting_shapeless | farmersdelight:onion farmersdelight:onion_crate minecraft:crafting_shapeless
farmersdelight:onion_crate | minecraft:crafting_shaped | farmersdelight:onion farmersdelight:onion_crate minecraft:crafting_shaped
farmersdelight:orange_canvas_sign | minecraft:crafting_shapeless | c:dyes/orange farmersdelight:canvas_signs farmersdelight:orange_canvas_sign minecraft:crafting_shapeless
farmersdelight:orange_hanging_canvas_sign | minecraft:crafting_shapeless | c:dyes/orange farmersdelight:hanging_canvas_signs farmersdelight:orange_hanging_canvas_sign minecraft:crafting_shapeless
farmersdelight:organic_compost_from_rotten_flesh | minecraft:crafting_shapeless | farmersdelight:organic_compost farmersdelight:straw minecraft:bone_meal minecraft:crafting_shapeless minecraft:dirt minecraft:rotten_flesh
farmersdelight:organic_compost_from_tree_bark | minecraft:crafting_shapeless | farmersdelight:organic_compost farmersdelight:straw farmersdelight:tree_bark minecraft:bone_meal minecraft:crafting_shapeless minecraft:dirt
farmersdelight:packed_mud_from_straw | minecraft:crafting_shapeless | farmersdelight:straw minecraft:crafting_shapeless minecraft:mud minecraft:packed_mud
farmersdelight:painting_from_canvas | minecraft:crafting_shaped | farmersdelight:canvas minecraft:crafting_shaped minecraft:painting minecraft:stick
farmersdelight:paper_from_tree_bark | minecraft:crafting_shapeless | farmersdelight:tree_bark minecraft:crafting_shapeless minecraft:paper
farmersdelight:pie_crust | minecraft:crafting_shaped | c:crops/wheat c:drinks/milk farmersdelight:pie_crust minecraft:crafting_shaped
farmersdelight:pink_canvas_sign | minecraft:crafting_shapeless | c:dyes/pink farmersdelight:canvas_signs farmersdelight:pink_canvas_sign minecraft:crafting_shapeless
farmersdelight:pink_hanging_canvas_sign | minecraft:crafting_shapeless | c:dyes/pink farmersdelight:hanging_canvas_signs farmersdelight:pink_hanging_canvas_sign minecraft:crafting_shapeless
farmersdelight:potato_crate | minecraft:crafting_shaped | farmersdelight:potato_crate farmersdelight:vanilla_crates_enabled minecraft:crafting_shaped minecraft:potato
farmersdelight:potato_from_crate | minecraft:crafting_shapeless | farmersdelight:potato_crate minecraft:crafting_shapeless minecraft:potato
farmersdelight:pumpkin_from_slices | minecraft:crafting_shaped | farmersdelight:pumpkin_slice minecraft:crafting_shaped minecraft:pumpkin
farmersdelight:pumpkin_pie_from_pie_crust | minecraft:crafting_shaped | c:eggs farmersdelight:pie_crust farmersdelight:pumpkin_slice minecraft:crafting_shaped minecraft:pumpkin_pie minecraft:sugar
farmersdelight:pumpkin_pie_from_slices | minecraft:crafting_shaped | farmersdelight:pumpkin_pie_slice minecraft:crafting_shaped minecraft:pumpkin_pie
farmersdelight:pumpkin_seeds_from_slice | minecraft:crafting_shapeless | farmersdelight:pumpkin_slice minecraft:crafting_shapeless minecraft:pumpkin_seeds
farmersdelight:purple_canvas_sign | minecraft:crafting_shapeless | c:dyes/purple farmersdelight:canvas_signs farmersdelight:purple_canvas_sign minecraft:crafting_shapeless
farmersdelight:purple_hanging_canvas_sign | minecraft:crafting_shapeless | c:dyes/purple farmersdelight:hanging_canvas_signs farmersdelight:purple_hanging_canvas_sign minecraft:crafting_shapeless
farmersdelight:red_canvas_sign | minecraft:crafting_shapeless | c:dyes/red farmersdelight:canvas_signs farmersdelight:red_canvas_sign minecraft:crafting_shapeless
farmersdelight:red_hanging_canvas_sign | minecraft:crafting_shapeless | c:dyes/red farmersdelight:hanging_canvas_signs farmersdelight:red_hanging_canvas_sign minecraft:crafting_shapeless
farmersdelight:rice | minecraft:crafting_shapeless | farmersdelight:rice farmersdelight:rice_panicle minecraft:crafting_shapeless
farmersdelight:rice_bag | minecraft:crafting_shaped | farmersdelight:rice farmersdelight:rice_bag minecraft:crafting_shaped
farmersdelight:rice_bale | minecraft:crafting_shaped | farmersdelight:rice_bale farmersdelight:rice_panicle minecraft:crafting_shaped
farmersdelight:rice_from_bag | minecraft:crafting_shapeless | farmersdelight:rice farmersdelight:rice_bag minecraft:crafting_shapeless
farmersdelight:rice_panicle | minecraft:crafting_shapeless | farmersdelight:rice_bale farmersdelight:rice_panicle minecraft:crafting_shapeless
farmersdelight:rice_roll_medley_block | minecraft:crafting_shapeless | farmersdelight:cod_roll farmersdelight:kelp_roll_slice farmersdelight:rice_roll_medley_block farmersdelight:salmon_roll minecraft:bowl minecraft:crafting_shapeless
farmersdelight:roast_chicken_block | minecraft:crafting_shapeless | c:crops/carrot c:crops/onion c:eggs c:foods/bread farmersdelight:roast_chicken_block minecraft:baked_potato minecraft:bowl minecraft:cooked_chicken minecraft:crafting_shapeless
farmersdelight:roasted_mutton_chops | minecraft:crafting_shapeless | c:crops/beetroot c:crops/tomato farmersdelight:cooked_mutton_chops farmersdelight:cooked_rice farmersdelight:roasted_mutton_chops minecraft:bowl minecraft:crafting_shapeless
farmersdelight:rope | minecraft:crafting_shaped | farmersdelight:rope farmersdelight:straw minecraft:crafting_shaped
farmersdelight:rope_fence | minecraft:crafting_shaped | farmersdelight:rope farmersdelight:rope_fence minecraft:crafting_shaped minecraft:stick
farmersdelight:rope_fence_gate | minecraft:crafting_shaped | farmersdelight:rope farmersdelight:rope_fence_gate minecraft:crafting_shaped minecraft:stick
farmersdelight:rope_from_safety_net | minecraft:crafting_shapeless | farmersdelight:rope farmersdelight:safety_net minecraft:crafting_shapeless
farmersdelight:safety_net | minecraft:crafting_shaped | farmersdelight:rope farmersdelight:safety_net minecraft:crafting_shaped
farmersdelight:salmon_roll | minecraft:crafting_shapeless | farmersdelight:cooked_rice farmersdelight:salmon_roll farmersdelight:salmon_slice minecraft:crafting_shapeless
farmersdelight:salvaging/acacia_chest_boat | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:acacia_boat minecraft:acacia_chest_boat minecraft:chest minecraft:hoes
farmersdelight:salvaging/acacia_furniture | farmersdelight:cutting | farmersdelight:acacia_cabinet farmersdelight:cutting farmersdelight:item_ability minecraft:acacia_boat minecraft:acacia_button minecraft:acacia_door minecraft:acacia_fence minecraft:acacia_fence_gate minecraft:acacia_hanging_sign minecraft:acacia_planks minecraft:acacia_pressure_plate minecraft:acacia_sign minecraft:acacia_trapdoor minecraft:axes neoforge:compound
farmersdelight:salvaging/amethyst_block | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:amethyst_block minecraft:amethyst_shard minecraft:pickaxes
farmersdelight:salvaging/bamboo_chest_raft | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:bamboo_chest_raft minecraft:bamboo_raft minecraft:chest minecraft:hoes
farmersdelight:salvaging/bamboo_furniture | farmersdelight:cutting | farmersdelight:bamboo_cabinet farmersdelight:cutting farmersdelight:item_ability minecraft:axes minecraft:bamboo_button minecraft:bamboo_door minecraft:bamboo_fence minecraft:bamboo_fence_gate minecraft:bamboo_hanging_sign minecraft:bamboo_planks minecraft:bamboo_pressure_plate minecraft:bamboo_raft minecraft:bamboo_sign minecraft:bamboo_trapdoor neoforge:compound
farmersdelight:salvaging/birch_chest_boat | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:birch_boat minecraft:birch_chest_boat minecraft:chest minecraft:hoes
farmersdelight:salvaging/birch_furniture | farmersdelight:cutting | farmersdelight:birch_cabinet farmersdelight:cutting farmersdelight:item_ability minecraft:axes minecraft:birch_boat minecraft:birch_button minecraft:birch_door minecraft:birch_fence minecraft:birch_fence_gate minecraft:birch_hanging_sign minecraft:birch_planks minecraft:birch_pressure_plate minecraft:birch_sign minecraft:birch_trapdoor neoforge:compound
farmersdelight:salvaging/bricks | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:brick minecraft:bricks minecraft:pickaxes
farmersdelight:salvaging/cherry_chest_boat | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:cherry_boat minecraft:cherry_chest_boat minecraft:chest minecraft:hoes
farmersdelight:salvaging/cherry_furniture | farmersdelight:cutting | farmersdelight:cherry_cabinet farmersdelight:cutting farmersdelight:item_ability minecraft:axes minecraft:cherry_boat minecraft:cherry_button minecraft:cherry_door minecraft:cherry_fence minecraft:cherry_fence_gate minecraft:cherry_hanging_sign minecraft:cherry_planks minecraft:cherry_pressure_plate minecraft:cherry_sign minecraft:cherry_trapdoor neoforge:compound
farmersdelight:salvaging/chest_minecart | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:block.metal.break minecraft:chest minecraft:chest_minecart minecraft:hoes minecraft:minecart
farmersdelight:salvaging/crimson_furniture | farmersdelight:cutting | farmersdelight:crimson_cabinet farmersdelight:cutting farmersdelight:item_ability minecraft:axes minecraft:crimson_button minecraft:crimson_door minecraft:crimson_fence minecraft:crimson_fence_gate minecraft:crimson_hanging_sign minecraft:crimson_planks minecraft:crimson_pressure_plate minecraft:crimson_sign minecraft:crimson_trapdoor neoforge:compound
farmersdelight:salvaging/dark_oak_chest_boat | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:chest minecraft:dark_oak_boat minecraft:dark_oak_chest_boat minecraft:hoes
farmersdelight:salvaging/dark_oak_furniture | farmersdelight:cutting | farmersdelight:cutting farmersdelight:dark_oak_cabinet farmersdelight:item_ability minecraft:axes minecraft:dark_oak_boat minecraft:dark_oak_button minecraft:dark_oak_door minecraft:dark_oak_fence minecraft:dark_oak_fence_gate minecraft:dark_oak_hanging_sign minecraft:dark_oak_planks minecraft:dark_oak_pressure_plate minecraft:dark_oak_sign minecraft:dark_oak_trapdoor neoforge:compound
farmersdelight:salvaging/deepslate | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:cobbled_deepslate minecraft:deepslate minecraft:pickaxes
farmersdelight:salvaging/furnace_minecart | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:block.metal.break minecraft:furnace minecraft:furnace_minecart minecraft:hoes minecraft:minecart
farmersdelight:salvaging/hopper_minecart | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:block.metal.break minecraft:hoes minecraft:hopper minecraft:hopper_minecart minecraft:minecart
farmersdelight:salvaging/jungle_chest_boat | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:chest minecraft:hoes minecraft:jungle_boat minecraft:jungle_chest_boat
farmersdelight:salvaging/jungle_furniture | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:jungle_cabinet minecraft:axes minecraft:jungle_boat minecraft:jungle_button minecraft:jungle_door minecraft:jungle_fence minecraft:jungle_fence_gate minecraft:jungle_hanging_sign minecraft:jungle_planks minecraft:jungle_pressure_plate minecraft:jungle_sign minecraft:jungle_trapdoor neoforge:compound
farmersdelight:salvaging/leather_armor | farmersdelight:cutting | c:tools/shear farmersdelight:cutting farmersdelight:item_ability minecraft:leather minecraft:leather_boots minecraft:leather_chestplate minecraft:leather_helmet minecraft:leather_leggings neoforge:compound
farmersdelight:salvaging/leather_horse_armor | farmersdelight:cutting | c:tools/shear farmersdelight:cutting farmersdelight:item_ability minecraft:leather minecraft:leather_horse_armor
farmersdelight:salvaging/mangrove_chest_boat | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:chest minecraft:hoes minecraft:mangrove_boat minecraft:mangrove_chest_boat
farmersdelight:salvaging/mangrove_furniture | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:mangrove_cabinet minecraft:axes minecraft:mangrove_boat minecraft:mangrove_button minecraft:mangrove_door minecraft:mangrove_fence minecraft:mangrove_fence_gate minecraft:mangrove_hanging_sign minecraft:mangrove_planks minecraft:mangrove_pressure_plate minecraft:mangrove_sign minecraft:mangrove_trapdoor neoforge:compound
farmersdelight:salvaging/nether_bricks | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:nether_brick minecraft:nether_bricks minecraft:pickaxes
farmersdelight:salvaging/oak_chest_boat | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:chest minecraft:hoes minecraft:oak_boat minecraft:oak_chest_boat
farmersdelight:salvaging/oak_furniture | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:oak_cabinet minecraft:axes minecraft:oak_boat minecraft:oak_button minecraft:oak_door minecraft:oak_fence minecraft:oak_fence_gate minecraft:oak_hanging_sign minecraft:oak_planks minecraft:oak_pressure_plate minecraft:oak_sign minecraft:oak_trapdoor neoforge:compound
farmersdelight:salvaging/quartz_block | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:pickaxes minecraft:quartz minecraft:quartz_block
farmersdelight:salvaging/saddle | farmersdelight:cutting | c:tools/shear farmersdelight:cutting farmersdelight:item_ability minecraft:iron_nugget minecraft:leather minecraft:saddle
farmersdelight:salvaging/spruce_chest_boat | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:chest minecraft:hoes minecraft:spruce_boat minecraft:spruce_chest_boat
farmersdelight:salvaging/spruce_furniture | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:spruce_cabinet minecraft:axes minecraft:spruce_boat minecraft:spruce_button minecraft:spruce_door minecraft:spruce_fence minecraft:spruce_fence_gate minecraft:spruce_hanging_sign minecraft:spruce_planks minecraft:spruce_pressure_plate minecraft:spruce_sign minecraft:spruce_trapdoor neoforge:compound
farmersdelight:salvaging/stone | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:cobblestone minecraft:pickaxes minecraft:stone
farmersdelight:salvaging/tnt_minecart | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:block.metal.break minecraft:hoes minecraft:minecart minecraft:tnt minecraft:tnt_minecart
farmersdelight:salvaging/warped_furniture | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:warped_cabinet minecraft:axes minecraft:warped_button minecraft:warped_door minecraft:warped_fence minecraft:warped_fence_gate minecraft:warped_hanging_sign minecraft:warped_planks minecraft:warped_pressure_plate minecraft:warped_sign minecraft:warped_trapdoor neoforge:compound
farmersdelight:scaffolding_from_canvas | minecraft:crafting_shaped | farmersdelight:canvas minecraft:bamboo minecraft:crafting_shaped minecraft:scaffolding
farmersdelight:shepherds_pie_block | minecraft:crafting_shapeless | c:crops/onion c:drinks/milk c:foods/cooked_mutton farmersdelight:shepherds_pie_block minecraft:baked_potato minecraft:bowl minecraft:crafting_shapeless
farmersdelight:skillet | minecraft:crafting_shaped | c:ingots/iron farmersdelight:skillet minecraft:brick minecraft:crafting_shaped
farmersdelight:smoked_ham | minecraft:smoking | farmersdelight:ham farmersdelight:smoked_ham minecraft:smoking
farmersdelight:spruce_cabinet | minecraft:crafting_shaped | farmersdelight:spruce_cabinet minecraft:crafting_shaped minecraft:spruce_slab minecraft:spruce_trapdoor
