quark:automation/crafting/chute | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:planks quark:chute zeta:flag
quark:building/crafting/stonevariants/dripstone_pillar | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:dripstone_pillar quark:polished_dripstone_slab zeta:flag
quark:building/crafting/stonevariants/granite_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:polished_granite neoforge:and quark:granite_bricks zeta:flag
quark:building/crafting/stonevariants/granite_pillar | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:polished_granite_slab neoforge:and quark:granite_pillar zeta:flag
quark:building/crafting/stonevariants/polished_calcite | minecraft:crafting_shaped | minecraft:calcite minecraft:crafting_shaped quark:polished_calcite zeta:flag
quark:building/crafting/stonevariants/polished_dripstone | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dripstone_block quark:polished_dripstone zeta:flag
quark:building/crafting/stonevariants/worldstones/chiseled_jasper_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:chiseled_jasper_bricks quark:jasper_bricks_slab zeta:flag
quark:building/crafting/stonevariants/worldstones/chiseled_limestone_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:chiseled_limestone_bricks quark:limestone_bricks_slab zeta:flag
quark:building/crafting/stonevariants/worldstones/chiseled_myalite_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:chiseled_myalite_bricks quark:myalite_bricks_slab zeta:flag
quark:building/crafting/stonevariants/worldstones/chiseled_shale_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:chiseled_shale_bricks quark:shale_bricks_slab zeta:flag
quark:building/crafting/stonevariants/worldstones/jasper_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:jasper_bricks quark:polished_jasper zeta:flag
quark:building/crafting/stonevariants/worldstones/jasper_pillar | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:jasper_pillar quark:polished_jasper_slab zeta:flag
quark:building/crafting/stonevariants/worldstones/limestone_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:limestone_bricks quark:polished_limestone zeta:flag
quark:building/crafting/stonevariants/worldstones/limestone_pillar | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:limestone_pillar quark:polished_limestone_slab zeta:flag
quark:building/crafting/stonevariants/worldstones/myalite_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:myalite_bricks quark:polished_myalite zeta:flag
quark:building/crafting/stonevariants/worldstones/myalite_pillar | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:chiseled_myalite_bricks quark:polished_myalite_slab zeta:flag
quark:building/crafting/stonevariants/worldstones/shale_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:polished_shale quark:shale_bricks zeta:flag
quark:building/crafting/stonevariants/worldstones/shale_pillar | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:polished_shale_slab quark:shale_pillar zeta:flag
quark:building/crafting/stools/black_stool | minecraft:crafting_shaped | minecraft:black_wool minecraft:crafting_shaped minecraft:wooden_slabs quark:black_stool zeta:flag
quark:building/crafting/stools/blue_stool | minecraft:crafting_shaped | minecraft:blue_wool minecraft:crafting_shaped minecraft:wooden_slabs quark:blue_stool zeta:flag
quark:building/crafting/stools/brown_stool | minecraft:crafting_shaped | minecraft:brown_wool minecraft:crafting_shaped minecraft:wooden_slabs quark:brown_stool zeta:flag
quark:building/crafting/stools/cyan_stool | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cyan_wool minecraft:wooden_slabs quark:cyan_stool zeta:flag
quark:building/crafting/stools/gray_stool | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:gray_wool minecraft:wooden_slabs quark:gray_stool zeta:flag
quark:building/crafting/stools/green_stool | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:green_wool minecraft:wooden_slabs quark:green_stool zeta:flag
quark:building/crafting/stools/light_blue_stool | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:light_blue_wool minecraft:wooden_slabs quark:light_blue_stool zeta:flag
quark:building/crafting/stools/light_gray_stool | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:light_gray_wool minecraft:wooden_slabs quark:light_gray_stool zeta:flag
quark:building/crafting/stools/lime_stool | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:lime_wool minecraft:wooden_slabs quark:lime_stool zeta:flag
quark:building/crafting/stools/magenta_stool | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:magenta_wool minecraft:wooden_slabs quark:magenta_stool zeta:flag
quark:building/crafting/stools/orange_stool | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:orange_wool minecraft:wooden_slabs quark:orange_stool zeta:flag
quark:building/crafting/stools/pink_stool | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:pink_wool minecraft:wooden_slabs quark:pink_stool zeta:flag
quark:building/crafting/stools/purple_stool | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:purple_wool minecraft:wooden_slabs quark:purple_stool zeta:flag
quark:building/crafting/stools/red_stool | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:red_wool minecraft:wooden_slabs quark:red_stool zeta:flag
quark:building/crafting/stools/white_stool | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:white_wool minecraft:wooden_slabs quark:white_stool zeta:flag
quark:building/crafting/stools/yellow_stool | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:wooden_slabs minecraft:yellow_wool quark:yellow_stool zeta:flag
quark:building/crafting/sturdy_stone | minecraft:crafting_shaped | minecraft:cobblestone minecraft:crafting_shaped neoforge:and neoforge:mod_loaded neoforge:not quark:sturdy_stone zeta:flag
quark:building/crafting/sturdy_stone_cyclic | minecraft:crafting_shaped | minecraft:cobblestone minecraft:crafting_shaped minecraft:stone neoforge:and neoforge:mod_loaded quark:sturdy_stone zeta:flag
quark:building/crafting/sturdy_stone_uncompress | minecraft:crafting_shapeless | minecraft:cobblestone minecraft:crafting_shapeless neoforge:and neoforge:mod_loaded neoforge:not quark:sturdy_stone zeta:flag
quark:building/crafting/thatch | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:wheat quark:thatch zeta:flag
quark:building/crafting/thatch_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:wheat quark:thatch zeta:flag
quark:building/crafting/trapped_chest_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:trapped_chest quark:revertable_trapped_chests zeta:flag
quark:building/crafting/vertplanks/vertical_acacia_planks | minecraft:crafting_shaped | minecraft:acacia_planks minecraft:crafting_shaped quark:vertical_acacia_planks zeta:flag
quark:building/crafting/vertplanks/vertical_acacia_planks_revert | minecraft:crafting_shapeless | minecraft:acacia_planks minecraft:crafting_shapeless quark:vertical_acacia_planks zeta:flag
quark:building/crafting/vertplanks/vertical_bamboo_planks | minecraft:crafting_shaped | minecraft:bamboo_planks minecraft:crafting_shaped quark:vertical_bamboo_planks zeta:flag
quark:building/crafting/vertplanks/vertical_bamboo_planks_revert | minecraft:crafting_shapeless | minecraft:bamboo_planks minecraft:crafting_shapeless quark:vertical_bamboo_planks zeta:flag
quark:building/crafting/vertplanks/vertical_birch_planks | minecraft:crafting_shaped | minecraft:birch_planks minecraft:crafting_shaped quark:vertical_birch_planks zeta:flag
quark:building/crafting/vertplanks/vertical_birch_planks_revert | minecraft:crafting_shapeless | minecraft:birch_planks minecraft:crafting_shapeless quark:vertical_birch_planks zeta:flag
quark:building/crafting/vertplanks/vertical_cherry_planks | minecraft:crafting_shaped | minecraft:cherry_planks minecraft:crafting_shaped quark:vertical_cherry_planks zeta:flag
quark:building/crafting/vertplanks/vertical_cherry_planks_revert | minecraft:crafting_shapeless | minecraft:cherry_planks minecraft:crafting_shapeless quark:vertical_cherry_planks zeta:flag
quark:building/crafting/vertplanks/vertical_crimson_planks | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:crimson_planks quark:vertical_crimson_planks zeta:flag
quark:building/crafting/vertplanks/vertical_crimson_planks_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:crimson_planks quark:vertical_crimson_planks zeta:flag
quark:building/crafting/vertplanks/vertical_dark_oak_planks | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_planks quark:vertical_dark_oak_planks zeta:flag
quark:building/crafting/vertplanks/vertical_dark_oak_planks_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dark_oak_planks quark:vertical_dark_oak_planks zeta:flag
quark:building/crafting/vertplanks/vertical_jungle_planks | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_planks quark:vertical_jungle_planks zeta:flag
quark:building/crafting/vertplanks/vertical_jungle_planks_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:jungle_planks quark:vertical_jungle_planks zeta:flag
quark:building/crafting/vertplanks/vertical_mangrove_planks | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mangrove_planks quark:vertical_mangrove_planks zeta:flag
quark:building/crafting/vertplanks/vertical_mangrove_planks_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:mangrove_planks quark:vertical_mangrove_planks zeta:flag
quark:building/crafting/vertplanks/vertical_oak_planks | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:oak_planks quark:vertical_oak_planks zeta:flag
quark:building/crafting/vertplanks/vertical_oak_planks_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:oak_planks quark:vertical_oak_planks zeta:flag
quark:building/crafting/vertplanks/vertical_spruce_planks | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_planks quark:vertical_spruce_planks zeta:flag
quark:building/crafting/vertplanks/vertical_spruce_planks_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:spruce_planks quark:vertical_spruce_planks zeta:flag
quark:building/crafting/vertplanks/vertical_warped_planks | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:warped_planks quark:vertical_warped_planks zeta:flag
quark:building/crafting/vertplanks/vertical_warped_planks_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:warped_planks quark:vertical_warped_planks zeta:flag
quark:building/crafting/vertslabs/acacia_vertical_slab | minecraft:crafting_shaped | minecraft:acacia_slab minecraft:crafting_shaped quark:acacia_vertical_slab zeta:flag
quark:building/crafting/vertslabs/acacia_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:acacia_slab minecraft:crafting_shapeless quark:acacia_vertical_slab zeta:flag
quark:building/crafting/vertslabs/ancient_planks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:ancient_planks_slab quark:ancient_planks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/ancient_planks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:ancient_planks_slab quark:ancient_planks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/andesite_bricks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:andesite_bricks_slab quark:andesite_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/andesite_bricks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:andesite_bricks_slab quark:andesite_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/andesite_vertical_slab | minecraft:crafting_shaped | minecraft:andesite_slab minecraft:crafting_shaped quark:andesite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/andesite_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:andesite_slab minecraft:crafting_shapeless quark:andesite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/azalea_planks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:azalea_planks_slab quark:azalea_planks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/azalea_planks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:azalea_planks_slab quark:azalea_planks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/bamboo_mosaic_vertical_slab | minecraft:crafting_shaped | minecraft:bamboo_mosaic_slab minecraft:crafting_shaped quark:bamboo_mosaic_vertical_slab zeta:flag
quark:building/crafting/vertslabs/bamboo_mosaic_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:bamboo_mosaic_slab minecraft:crafting_shapeless quark:bamboo_mosaic_vertical_slab zeta:flag
quark:building/crafting/vertslabs/bamboo_vertical_slab | minecraft:crafting_shaped | minecraft:bamboo_slab minecraft:crafting_shaped quark:bamboo_vertical_slab zeta:flag
quark:building/crafting/vertslabs/bamboo_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:bamboo_slab minecraft:crafting_shapeless quark:bamboo_vertical_slab zeta:flag
quark:building/crafting/vertslabs/birch_vertical_slab | minecraft:crafting_shaped | minecraft:birch_slab minecraft:crafting_shaped quark:birch_vertical_slab zeta:flag
quark:building/crafting/vertslabs/birch_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:birch_slab minecraft:crafting_shapeless quark:birch_vertical_slab zeta:flag
quark:building/crafting/vertslabs/black_shingles_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:black_shingles_slab quark:black_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/black_shingles_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:black_shingles_slab quark:black_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/blackstone_bricks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:blackstone_bricks_slab quark:blackstone_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/blackstone_bricks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:blackstone_bricks_slab quark:blackstone_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/blackstone_vertical_slab | minecraft:crafting_shaped | minecraft:blackstone_slab minecraft:crafting_shaped quark:blackstone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/blackstone_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:blackstone_slab minecraft:crafting_shapeless quark:blackstone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/blossom_planks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:blossom_planks_slab quark:blossom_planks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/blossom_planks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:blossom_planks_slab quark:blossom_planks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/blue_nether_bricks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:blue_nether_bricks_slab quark:blue_nether_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/blue_nether_bricks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:blue_nether_bricks_slab quark:blue_nether_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/blue_shingles_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:blue_shingles_slab quark:blue_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/blue_shingles_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:blue_shingles_slab quark:blue_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/brick_vertical_slab | minecraft:crafting_shaped | minecraft:brick_slab minecraft:crafting_shaped quark:brick_vertical_slab zeta:flag
quark:building/crafting/vertslabs/brick_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:brick_slab minecraft:crafting_shapeless quark:brick_vertical_slab zeta:flag
quark:building/crafting/vertslabs/brown_shingles_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:brown_shingles_slab quark:brown_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/brown_shingles_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:brown_shingles_slab quark:brown_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/calcite_bricks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:calcite_bricks_slab quark:calcite_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/calcite_bricks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:calcite_bricks_slab quark:calcite_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/calcite_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped quark:calcite_slab quark:calcite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/calcite_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless quark:calcite_slab quark:calcite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cherry_vertical_slab | minecraft:crafting_shaped | minecraft:cherry_slab minecraft:crafting_shaped quark:cherry_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cherry_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:cherry_slab minecraft:crafting_shapeless quark:cherry_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cobbled_deepslate_vertical_slab | minecraft:crafting_shaped | minecraft:cobbled_deepslate_slab minecraft:crafting_shaped quark:cobbled_deepslate_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cobbled_deepslate_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:cobbled_deepslate_slab minecraft:crafting_shapeless quark:cobbled_deepslate_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cobblestone_bricks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:cobblestone_bricks_slab quark:cobblestone_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cobblestone_bricks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:cobblestone_bricks_slab quark:cobblestone_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cobblestone_vertical_slab | minecraft:crafting_shaped | minecraft:cobblestone_slab minecraft:crafting_shaped quark:cobblestone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cobblestone_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:cobblestone_slab minecraft:crafting_shapeless quark:cobblestone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/crimson_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:crimson_slab quark:crimson_vertical_slab zeta:flag
quark:building/crafting/vertslabs/crimson_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:crimson_slab quark:crimson_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cut_copper_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cut_copper_slab quark:cut_copper_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cut_copper_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cut_copper_slab quark:cut_copper_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cut_red_sandstone_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cut_red_sandstone_slab quark:cut_red_sandstone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cut_red_sandstone_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cut_red_sandstone_slab quark:cut_red_sandstone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cut_sandstone_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cut_sandstone_slab quark:cut_sandstone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cut_sandstone_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cut_sandstone_slab quark:cut_sandstone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cut_soul_sandstone_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:cut_soul_sandstone_slab quark:cut_soul_sandstone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cut_soul_sandstone_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:cut_soul_sandstone_slab quark:cut_soul_sandstone_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cyan_shingles_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:cyan_shingles_slab quark:cyan_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/cyan_shingles_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:cyan_shingles_slab quark:cyan_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/dark_oak_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_slab quark:dark_oak_vertical_slab zeta:flag
quark:building/crafting/vertslabs/dark_oak_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dark_oak_slab quark:dark_oak_vertical_slab zeta:flag
quark:building/crafting/vertslabs/dark_prismarine_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_prismarine_slab quark:dark_prismarine_vertical_slab zeta:flag
quark:building/crafting/vertslabs/dark_prismarine_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dark_prismarine_slab quark:dark_prismarine_vertical_slab zeta:flag
quark:building/crafting/vertslabs/deepslate_brick_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:deepslate_brick_slab quark:deepslate_brick_vertical_slab zeta:flag
quark:building/crafting/vertslabs/deepslate_brick_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:deepslate_brick_slab quark:deepslate_brick_vertical_slab zeta:flag
quark:building/crafting/vertslabs/deepslate_tile_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:deepslate_tile_slab quark:deepslate_tile_vertical_slab zeta:flag
quark:building/crafting/vertslabs/deepslate_tile_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:deepslate_tile_slab quark:deepslate_tile_vertical_slab zeta:flag
quark:building/crafting/vertslabs/diorite_bricks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:diorite_bricks_slab quark:diorite_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/diorite_bricks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:diorite_bricks_slab quark:diorite_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/diorite_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diorite_slab quark:diorite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/diorite_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:diorite_slab quark:diorite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/dirt_bricks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:dirt_bricks_slab quark:dirt_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/dirt_bricks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:dirt_bricks_slab quark:dirt_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/dripstone_block_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped quark:dripstone_block_slab quark:dripstone_block_vertical_slab zeta:flag
quark:building/crafting/vertslabs/dripstone_block_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless quark:dripstone_block_slab quark:dripstone_block_vertical_slab zeta:flag
quark:building/crafting/vertslabs/dripstone_bricks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:dripstone_bricks_slab quark:dripstone_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/dripstone_bricks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:dripstone_bricks_slab quark:dripstone_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/duskbound_block_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:duskbound_block_slab quark:duskbound_block_vertical_slab zeta:flag
quark:building/crafting/vertslabs/duskbound_block_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:duskbound_block_slab quark:duskbound_block_vertical_slab zeta:flag
quark:building/crafting/vertslabs/end_stone_brick_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:end_stone_brick_slab quark:end_stone_brick_vertical_slab zeta:flag
quark:building/crafting/vertslabs/end_stone_brick_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:end_stone_brick_slab quark:end_stone_brick_vertical_slab zeta:flag
quark:building/crafting/vertslabs/exposed_cut_copper_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:exposed_cut_copper_slab quark:exposed_cut_copper_vertical_slab zeta:flag
quark:building/crafting/vertslabs/exposed_cut_copper_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:exposed_cut_copper_slab quark:exposed_cut_copper_vertical_slab zeta:flag
quark:building/crafting/vertslabs/granite_bricks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:granite_bricks_slab quark:granite_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/granite_bricks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:granite_bricks_slab quark:granite_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/granite_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:granite_slab quark:granite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/granite_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:granite_slab quark:granite_vertical_slab zeta:flag
quark:building/crafting/vertslabs/gray_shingles_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:gray_shingles_slab quark:gray_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/gray_shingles_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:gray_shingles_slab quark:gray_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/green_shingles_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:green_shingles_slab quark:green_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/green_shingles_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:green_shingles_slab quark:green_shingles_vertical_slab zeta:flag
quark:building/crafting/vertslabs/iron_plate_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:iron_plate_slab quark:iron_plate_vertical_slab zeta:flag
quark:building/crafting/vertslabs/iron_plate_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:iron_plate_slab quark:iron_plate_vertical_slab zeta:flag
quark:building/crafting/vertslabs/jasper_bricks_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:jasper_bricks_slab quark:jasper_bricks_vertical_slab zeta:flag
quark:building/crafting/vertslabs/jasper_bricks_vertical_slab_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:and quark:jasper_bricks_slab quark:jasper_bricks_vertical_slab zeta:flag
