mcwfences:acacia_curved_gate | minecraft:crafting_shaped | mcwfences:acacia_curved_gate minecraft:acacia_log minecraft:acacia_planks minecraft:crafting_shaped
mcwfences:railing_granite_wall_stonecutter | minecraft:stonecutting | mcwfences:railing_granite_wall minecraft:granite minecraft:stonecutting
mcwfences:railing_mud_brick_wall | minecraft:crafting_shaped | mcwfences:railing_mud_brick_wall minecraft:crafting_shaped minecraft:iron_bars minecraft:mud_bricks
mcwfences:railing_mud_brick_wall_stonecutter | minecraft:stonecutting | mcwfences:railing_mud_brick_wall minecraft:mud_bricks minecraft:stonecutting
mcwfences:railing_nether_brick_wall | minecraft:crafting_shaped | mcwfences:railing_nether_brick_wall minecraft:crafting_shaped minecraft:iron_bars minecraft:nether_bricks
mcwfences:railing_nether_brick_wall_stonecutter | minecraft:stonecutting | mcwfences:railing_nether_brick_wall minecraft:nether_bricks minecraft:stonecutting
mcwfences:railing_prismarine_wall | minecraft:crafting_shaped | mcwfences:railing_prismarine_wall minecraft:crafting_shaped minecraft:iron_bars minecraft:prismarine
mcwfences:railing_prismarine_wall_stonecutter | minecraft:stonecutting | mcwfences:railing_prismarine_wall minecraft:prismarine minecraft:stonecutting
mcwfences:railing_quartz_wall | minecraft:crafting_shaped | mcwfences:railing_quartz_wall minecraft:crafting_shaped minecraft:iron_bars minecraft:quartz_block
mcwfences:railing_quartz_wall_stonecutter | minecraft:stonecutting | mcwfences:railing_quartz_wall minecraft:quartz_block minecraft:stonecutting
mcwfences:railing_red_sandstone_wall | minecraft:crafting_shaped | mcwfences:railing_red_sandstone_wall minecraft:crafting_shaped minecraft:iron_bars minecraft:smooth_red_sandstone
mcwfences:railing_red_sandstone_wall_stonecutter | minecraft:stonecutting | mcwfences:railing_red_sandstone_wall minecraft:red_sandstone minecraft:stonecutting
mcwfences:railing_sandstone_wall | minecraft:crafting_shaped | mcwfences:railing_sandstone_wall minecraft:crafting_shaped minecraft:iron_bars minecraft:smooth_sandstone
mcwfences:railing_sandstone_wall_stonecutter | minecraft:stonecutting | mcwfences:railing_sandstone_wall minecraft:sandstone minecraft:stonecutting
mcwfences:railing_stone_brick_wall | minecraft:crafting_shaped | mcwfences:railing_stone_brick_wall minecraft:crafting_shaped minecraft:iron_bars minecraft:stone_bricks
mcwfences:railing_stone_brick_wall_stonecutter | minecraft:stonecutting | mcwfences:railing_stone_brick_wall minecraft:stone_bricks minecraft:stonecutting
mcwfences:red_sandstone_grass_topped_wall | minecraft:crafting_shaped | mcwfences:red_sandstone_grass_topped_wall minecraft:crafting_shaped minecraft:dirt minecraft:red_sandstone minecraft:smooth_red_sandstone
mcwfences:red_sandstone_pillar_wall | minecraft:crafting_shaped | mcwfences:red_sandstone_pillar_wall minecraft:crafting_shaped minecraft:red_sandstone minecraft:smooth_red_sandstone
mcwfences:red_sandstone_railing_gate | minecraft:crafting_shaped | mcwfences:red_sandstone_railing_gate minecraft:crafting_shaped minecraft:iron_bars minecraft:red_sandstone
mcwfences:red_sandstone_railing_gate_stonecutter | minecraft:stonecutting | mcwfences:red_sandstone_railing_gate minecraft:red_sandstone minecraft:stonecutting
mcwfences:sandstone_grass_topped_wall | minecraft:crafting_shaped | mcwfences:sandstone_grass_topped_wall minecraft:crafting_shaped minecraft:dirt minecraft:sandstone minecraft:smooth_sandstone
mcwfences:sandstone_pillar_wall | minecraft:crafting_shaped | mcwfences:sandstone_pillar_wall minecraft:crafting_shaped minecraft:sandstone minecraft:smooth_sandstone
mcwfences:sandstone_railing_gate | minecraft:crafting_shaped | mcwfences:sandstone_railing_gate minecraft:crafting_shaped minecraft:iron_bars minecraft:sandstone
mcwfences:sandstone_railing_gate_stonecutter | minecraft:stonecutting | mcwfences:sandstone_railing_gate minecraft:sandstone minecraft:stonecutting
mcwfences:spruce_curved_gate | minecraft:crafting_shaped | mcwfences:spruce_curved_gate minecraft:crafting_shaped minecraft:spruce_log minecraft:spruce_planks
mcwfences:spruce_hedge | minecraft:crafting_shaped | mcwfences:spruce_hedge minecraft:crafting_shaped minecraft:spruce_leaves
mcwfences:spruce_highley_gate | minecraft:crafting_shaped | mcwfences:spruce_highley_gate minecraft:crafting_shaped minecraft:spruce_log minecraft:stick
mcwfences:spruce_horse_fence | minecraft:crafting_shaped | mcwfences:spruce_horse_fence minecraft:crafting_shaped minecraft:spruce_log minecraft:stick
mcwfences:spruce_picket_fence | minecraft:crafting_shaped | mcwfences:spruce_picket_fence minecraft:crafting_shaped minecraft:spruce_log minecraft:spruce_planks minecraft:stick
mcwfences:spruce_pyramid_gate | minecraft:crafting_shaped | mcwfences:spruce_pyramid_gate minecraft:crafting_shaped minecraft:spruce_log minecraft:spruce_planks minecraft:stick
mcwfences:spruce_stockade_fence | minecraft:crafting_shaped | mcwfences:spruce_stockade_fence minecraft:crafting_shaped minecraft:spruce_log minecraft:spruce_planks
mcwfences:spruce_wired_fence | minecraft:crafting_shaped | mcwfences:spruce_wired_fence minecraft:crafting_shaped minecraft:iron_bars minecraft:spruce_log minecraft:stick
mcwfences:stone_brick_railing_gate | minecraft:crafting_shaped | mcwfences:stone_brick_railing_gate minecraft:crafting_shaped minecraft:iron_bars minecraft:stone_bricks
mcwfences:stone_brick_railing_gate_stonecutter | minecraft:stonecutting | mcwfences:stone_brick_railing_gate minecraft:stone_bricks minecraft:stonecutting
mcwfences:stone_grass_topped_wall | minecraft:crafting_shaped | mcwfences:stone_grass_topped_wall minecraft:cobblestone minecraft:crafting_shaped minecraft:dirt minecraft:stone_bricks
mcwfences:stone_pillar_wall | minecraft:crafting_shaped | mcwfences:stone_pillar_wall minecraft:cobblestone minecraft:crafting_shaped minecraft:stone_bricks
mcwfences:twilight_metal_fence | minecraft:stonecutting | mcwfences:twilight_metal_fence minecraft:iron_bars minecraft:stonecutting
mcwfences:vintage_metal_fence | minecraft:stonecutting | mcwfences:vintage_metal_fence minecraft:iron_bars minecraft:stonecutting
mcwfences:warped_curved_gate | minecraft:crafting_shaped | mcwfences:warped_curved_gate minecraft:crafting_shaped minecraft:warped_planks minecraft:warped_stem
mcwfences:warped_highley_gate | minecraft:crafting_shaped | mcwfences:warped_highley_gate minecraft:crafting_shaped minecraft:stick minecraft:warped_stem
mcwfences:warped_horse_fence | minecraft:crafting_shaped | mcwfences:warped_horse_fence minecraft:crafting_shaped minecraft:stick minecraft:warped_stem
mcwfences:warped_picket_fence | minecraft:crafting_shaped | mcwfences:warped_picket_fence minecraft:crafting_shaped minecraft:stick minecraft:warped_planks minecraft:warped_stem
mcwfences:warped_pyramid_gate | minecraft:crafting_shaped | mcwfences:warped_pyramid_gate minecraft:crafting_shaped minecraft:stick minecraft:warped_planks minecraft:warped_stem
mcwfences:warped_stockade_fence | minecraft:crafting_shaped | mcwfences:warped_stockade_fence minecraft:crafting_shaped minecraft:warped_planks minecraft:warped_stem
mcwfences:warped_wired_fence | minecraft:crafting_shaped | mcwfences:warped_wired_fence minecraft:crafting_shaped minecraft:iron_bars minecraft:stick minecraft:warped_stem
mcwfences:wooden_cheval_de_frise | minecraft:crafting_shaped | mcwfences:wooden_cheval_de_frise minecraft:crafting_shaped minecraft:logs minecraft:stick
