butchercraft:stuff_salami | butchercraft:grinder | butchercraft:extruder_tip butchercraft:grinder c:salami_mix extradelight:unripe_salami_item neoforge:mod_loaded
extradelight:cherry_molded_light_blue_wallpaper | minecraft:crafting_shapeless | c:dyes/light_blue extradelight:cherry_molded_light_blue_wallpaper minecraft:cherry_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cherry_molded_light_gray_wallpaper | minecraft:crafting_shapeless | c:dyes/light_gray extradelight:cherry_molded_light_gray_wallpaper minecraft:cherry_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cherry_molded_lime_wallpaper | minecraft:crafting_shapeless | c:dyes/lime extradelight:cherry_molded_lime_wallpaper minecraft:cherry_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cherry_molded_magenta_wallpaper | minecraft:crafting_shapeless | c:dyes/magenta extradelight:cherry_molded_magenta_wallpaper minecraft:cherry_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cherry_molded_orange_wallpaper | minecraft:crafting_shapeless | c:dyes/orange extradelight:cherry_molded_orange_wallpaper minecraft:cherry_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cherry_molded_pink_wallpaper | minecraft:crafting_shapeless | c:dyes/pink extradelight:cherry_molded_pink_wallpaper minecraft:cherry_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cherry_molded_purple_wallpaper | minecraft:crafting_shapeless | c:dyes/purple extradelight:cherry_molded_purple_wallpaper minecraft:cherry_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cherry_molded_red_wallpaper | minecraft:crafting_shapeless | c:dyes/red extradelight:cherry_molded_red_wallpaper minecraft:cherry_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cherry_molded_white_wallpaper | minecraft:crafting_shapeless | c:dyes/white extradelight:cherry_molded_white_wallpaper minecraft:cherry_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cherry_molded_yellow_wallpaper | minecraft:crafting_shapeless | c:dyes/yellow extradelight:cherry_molded_yellow_wallpaper minecraft:cherry_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cherry_spice_rack | minecraft:crafting_shaped | extradelight:cherry_spice_rack minecraft:cherry_slab minecraft:crafting_shaped minecraft:iron_bars minecraft:stick
extradelight:cherry_spice_rack_full | minecraft:crafting_shapeless | extradelight:cherry_spice_rack extradelight:cherry_spice_rack_full minecraft:crafting_shapeless minecraft:glass_bottle
extradelight:cherry_step_stool | minecraft:crafting_shaped | extradelight:cherry_step_stool minecraft:cherry_slab minecraft:crafting_shaped minecraft:stick
extradelight:cherry_wreath | minecraft:crafting_shaped | extradelight:cherry_wreath minecraft:cherry_leaves minecraft:crafting_shaped
extradelight:chili_from_block | minecraft:crafting_shapeless | extradelight:chili extradelight:chili_crate minecraft:crafting_shapeless
extradelight:chili_powder_from_block | minecraft:crafting_shapeless | extradelight:chili_powder extradelight:chili_powder_sack minecraft:crafting_shapeless
extradelight:chili_powder_to_block | minecraft:crafting_shapeless | c:chili/powder extradelight:chili_powder_sack minecraft:crafting_shapeless
extradelight:chili_seeds | minecraft:crafting_shapeless | extradelight:chili extradelight:chili_seeds minecraft:crafting_shapeless
extradelight:chili_to_block | minecraft:crafting_shapeless | c:crops/chili extradelight:chili_crate minecraft:crafting_shapeless
extradelight:chiller | minecraft:crafting_shaped | extradelight:chiller extradelight:keg_item farmersdelight:cabinets minecraft:crafting_shaped minecraft:iron_block
extradelight:chilling/blood_chocolate_bar | extradelight:chiller | extradelight:bar_mold extradelight:blood_chocolate_bar extradelight:blood_chocolate_syrup_fluid extradelight:chiller
extradelight:chilling/blood_chocolate_filled_bar | extradelight:chiller | extradelight:bar_mold extradelight:blood_chocolate_filled_bar extradelight:blood_chocolate_syrup_fluid extradelight:chiller extradelight:chocolate_bar_filling
extradelight:chilling/blood_chocolate_truffle | extradelight:chiller | extradelight:blood_chocolate_syrup_fluid extradelight:blood_chocolate_truffle extradelight:chiller extradelight:chocolate_truffle_filling extradelight:muffin_tin
extradelight:chilling/dark_chocolate_bar | extradelight:chiller | extradelight:bar_mold extradelight:chiller extradelight:dark_chocolate_bar extradelight:dark_chocolate_syrup_fluid
extradelight:chilling/dark_chocolate_filled_bar | extradelight:chiller | extradelight:bar_mold extradelight:chiller extradelight:chocolate_bar_filling extradelight:dark_chocolate_filled_bar extradelight:dark_chocolate_syrup_fluid
extradelight:chilling/dark_chocolate_truffle | extradelight:chiller | extradelight:chiller extradelight:chocolate_truffle_filling extradelight:dark_chocolate_syrup_fluid extradelight:dark_chocolate_truffle extradelight:muffin_tin
extradelight:chilling/milk_chocolate_bar | extradelight:chiller | extradelight:bar_mold extradelight:chiller extradelight:milk_chocolate_bar extradelight:milk_chocolate_syrup_fluid
extradelight:chilling/milk_chocolate_filled_bar | extradelight:chiller | extradelight:bar_mold extradelight:chiller extradelight:chocolate_bar_filling extradelight:milk_chocolate_filled_bar extradelight:milk_chocolate_syrup_fluid
extradelight:chilling/milk_chocolate_truffle | extradelight:chiller | extradelight:chiller extradelight:chocolate_truffle_filling extradelight:milk_chocolate_syrup_fluid extradelight:milk_chocolate_truffle extradelight:muffin_tin
extradelight:chilling/white_chocolate_bar | extradelight:chiller | extradelight:bar_mold extradelight:chiller extradelight:white_chocolate_bar extradelight:white_chocolate_syrup_fluid
extradelight:chilling/white_chocolate_filled_bar | extradelight:chiller | extradelight:bar_mold extradelight:chiller extradelight:chocolate_bar_filling extradelight:white_chocolate_filled_bar extradelight:white_chocolate_syrup_fluid
extradelight:chilling/white_chocolate_truffle | extradelight:chiller | extradelight:chiller extradelight:chocolate_truffle_filling extradelight:muffin_tin extradelight:white_chocolate_syrup_fluid extradelight:white_chocolate_truffle
extradelight:chocolate_cake_from_slice | minecraft:crafting_shapeless | extradelight:chocolate_cake extradelight:chocolate_cake_block minecraft:crafting_shapeless
extradelight:chocolate_cake_whole | minecraft:crafting_shapeless | extradelight:chocolate_cake extradelight:chocolate_cake_block minecraft:crafting_shapeless
extradelight:chocolate_cheesecake_slice | minecraft:crafting_shaped | extradelight:chocolate_cheesecake extradelight:chocolate_cheesecake_slice minecraft:crafting_shaped
extradelight:chocolate_milk | minecraft:crafting_shapeless | c:cocoa/powder extradelight:chocolate_milk farmersdelight:milk_bottle minecraft:crafting_shapeless
extradelight:chocolate_milk_bucket | minecraft:crafting_shapeless | c:cocoa/powder extradelight:chocolate_milk minecraft:crafting_shapeless minecraft:glass_bottle minecraft:milk_bucket
extradelight:cinnamon_button | minecraft:crafting_shapeless | extradelight:cinnamon_button extradelight:cinnamon_planks minecraft:crafting_shapeless
extradelight:cinnamon_cabinet | minecraft:crafting_shaped | extradelight:cinnamon_cabinet extradelight:cinnamon_slab extradelight:cinnamon_trapdoor minecraft:crafting_shaped
extradelight:cinnamon_door | minecraft:crafting_shaped | extradelight:cinnamon_door extradelight:cinnamon_planks minecraft:crafting_shaped
extradelight:cinnamon_dried_corn_fence | minecraft:crafting_shapeless | extradelight:cinnamon_dried_corn_fence extradelight:cinnamon_fence extradelight:dried_corn_husk minecraft:crafting_shapeless
extradelight:cinnamon_dried_corn_fence_back | minecraft:crafting_shapeless | extradelight:cinnamon_dried_corn_fence extradelight:cinnamon_fence minecraft:crafting_shapeless
extradelight:cinnamon_fence | minecraft:crafting_shaped | extradelight:cinnamon_fence extradelight:cinnamon_planks minecraft:crafting_shaped minecraft:stick
extradelight:cinnamon_fence_gate | minecraft:crafting_shaped | extradelight:cinnamon_fence_gate extradelight:cinnamon_planks minecraft:crafting_shaped minecraft:stick
extradelight:cinnamon_food_display | minecraft:crafting_shaped | extradelight:cinnamon_food_display extradelight:cinnamon_slab minecraft:crafting_shaped minecraft:stick
extradelight:cinnamon_knife_block | minecraft:crafting_shaped | c:tools/knife extradelight:cinnamon_knife_block extradelight:cinnamon_slab minecraft:crafting_shaped
extradelight:cinnamon_molded_black_wallpaper | minecraft:crafting_shapeless | c:dyes/black extradelight:cinnamon_molded_black_wallpaper extradelight:cinnamon_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cinnamon_molded_blue_wallpaper | minecraft:crafting_shapeless | c:dyes/blue extradelight:cinnamon_molded_blue_wallpaper extradelight:cinnamon_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cinnamon_molded_brown_wallpaper | minecraft:crafting_shapeless | c:dyes/brown extradelight:cinnamon_molded_brown_wallpaper extradelight:cinnamon_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cinnamon_molded_cyan_wallpaper | minecraft:crafting_shapeless | c:dyes/cyan extradelight:cinnamon_molded_cyan_wallpaper extradelight:cinnamon_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cinnamon_molded_gray_wallpaper | minecraft:crafting_shapeless | c:dyes/gray extradelight:cinnamon_molded_gray_wallpaper extradelight:cinnamon_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cinnamon_molded_green_wallpaper | minecraft:crafting_shapeless | c:dyes/green extradelight:cinnamon_molded_green_wallpaper extradelight:cinnamon_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cinnamon_molded_light_blue_wallpaper | minecraft:crafting_shapeless | c:dyes/light_blue extradelight:cinnamon_molded_light_blue_wallpaper extradelight:cinnamon_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cinnamon_molded_light_gray_wallpaper | minecraft:crafting_shapeless | c:dyes/light_gray extradelight:cinnamon_molded_light_gray_wallpaper extradelight:cinnamon_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cinnamon_molded_lime_wallpaper | minecraft:crafting_shapeless | c:dyes/lime extradelight:cinnamon_molded_lime_wallpaper extradelight:cinnamon_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cinnamon_molded_magenta_wallpaper | minecraft:crafting_shapeless | c:dyes/magenta extradelight:cinnamon_molded_magenta_wallpaper extradelight:cinnamon_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cinnamon_molded_orange_wallpaper | minecraft:crafting_shapeless | c:dyes/orange extradelight:cinnamon_molded_orange_wallpaper extradelight:cinnamon_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cinnamon_molded_pink_wallpaper | minecraft:crafting_shapeless | c:dyes/pink extradelight:cinnamon_molded_pink_wallpaper extradelight:cinnamon_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cinnamon_molded_purple_wallpaper | minecraft:crafting_shapeless | c:dyes/purple extradelight:cinnamon_molded_purple_wallpaper extradelight:cinnamon_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cinnamon_molded_red_wallpaper | minecraft:crafting_shapeless | c:dyes/red extradelight:cinnamon_molded_red_wallpaper extradelight:cinnamon_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cinnamon_molded_white_wallpaper | minecraft:crafting_shapeless | c:dyes/white extradelight:cinnamon_molded_white_wallpaper extradelight:cinnamon_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cinnamon_molded_yellow_wallpaper | minecraft:crafting_shapeless | c:dyes/yellow extradelight:cinnamon_molded_yellow_wallpaper extradelight:cinnamon_slab minecraft:crafting_shapeless minecraft:paper
extradelight:cinnamon_planks | minecraft:crafting_shapeless | c:cinnamon_logs extradelight:cinnamon_planks minecraft:crafting_shapeless
extradelight:cinnamon_pressure_plate | minecraft:crafting_shaped | extradelight:cinnamon_planks extradelight:cinnamon_pressure_plate minecraft:crafting_shaped
extradelight:cinnamon_slab | minecraft:crafting_shaped | extradelight:cinnamon_planks extradelight:cinnamon_slab minecraft:crafting_shaped
extradelight:cinnamon_spice_rack | minecraft:crafting_shaped | extradelight:cinnamon_slab extradelight:cinnamon_spice_rack minecraft:crafting_shaped minecraft:iron_bars minecraft:stick
extradelight:cinnamon_spice_rack_full | minecraft:crafting_shapeless | extradelight:cinnamon_spice_rack extradelight:cinnamon_spice_rack_full minecraft:crafting_shapeless minecraft:glass_bottle
extradelight:cinnamon_stairs | minecraft:crafting_shaped | extradelight:cinnamon_planks extradelight:cinnamon_stairs minecraft:crafting_shaped
extradelight:cinnamon_step_stool | minecraft:crafting_shaped | extradelight:cinnamon_slab extradelight:cinnamon_step_stool minecraft:crafting_shaped minecraft:stick
extradelight:cinnamon_stick_from_block | minecraft:crafting_shapeless | extradelight:cinnamon_stick extradelight:cinnamon_stick_block minecraft:crafting_shapeless
extradelight:cinnamon_stick_to_block | minecraft:crafting_shapeless | extradelight:cinnamon_stick extradelight:cinnamon_stick_block minecraft:crafting_shapeless
extradelight:cinnamon_toast | minecraft:crafting_shapeless | c:butter c:cinnamon/ground c:toast extradelight:cinnamon_toast extradelight:sweetener minecraft:crafting_shapeless
extradelight:cinnamon_trapdoor | minecraft:crafting_shaped | extradelight:cinnamon_planks extradelight:cinnamon_trapdoor minecraft:crafting_shaped
extradelight:cinnamon_wood | minecraft:crafting_shaped | extradelight:cinnamon_log extradelight:cinnamon_wood minecraft:crafting_shaped
extradelight:cinnamon_wreath | minecraft:crafting_shaped | extradelight:cinnamon_leaves extradelight:cinnamon_wreath minecraft:crafting_shaped
extradelight:citrus_pattern | minecraft:crafting_shapeless | extradelight:citrus_rind_banner_item extradelight:processed/citrus minecraft:crafting_shapeless minecraft:paper
extradelight:cocoa_beans_from_block | minecraft:crafting_shapeless | extradelight:cocoa_bean_sack minecraft:cocoa_beans minecraft:crafting_shapeless
extradelight:cocoa_beans_to_block | minecraft:crafting_shapeless | extradelight:cocoa_bean_sack minecraft:cocoa_beans minecraft:crafting_shapeless
extradelight:cocoa_butter_from_bucket | minecraft:crafting_shapeless | extradelight:cocoa_butter_bottle extradelight:cocoa_butter_fluid_bucket minecraft:crafting_shapeless minecraft:glass_bottle
extradelight:cocoa_butter_to_bucket | minecraft:crafting_shapeless | extradelight:cocoa_butter_bottle extradelight:cocoa_butter_fluid_bucket minecraft:bucket minecraft:crafting_shapeless
extradelight:cocoa_nut_butter_spread_from_bucket | minecraft:crafting_shapeless | extradelight:cocoa_nut_butter_spread_fluid_bucket extradelight:hazelnut_spread_bottle minecraft:crafting_shapeless minecraft:glass_bottle
extradelight:cocoa_nut_butter_spread_to_bucket | minecraft:crafting_shapeless | extradelight:cocoa_nut_butter_spread_fluid_bucket extradelight:hazelnut_spread_bottle minecraft:bucket minecraft:crafting_shapeless
extradelight:cocoa_powder_from_block | minecraft:crafting_shapeless | extradelight:cocoa_powder extradelight:cocoa_powder_sack minecraft:crafting_shapeless
extradelight:cocoa_powder_to_block | minecraft:crafting_shapeless | c:cocoa/powder extradelight:cocoa_powder_sack minecraft:crafting_shapeless
extradelight:cocoa_solids_from_block | minecraft:crafting_shapeless | extradelight:cocoa_solids extradelight:cocoa_solids_sack minecraft:crafting_shapeless
extradelight:cocoa_solids_to_block | minecraft:crafting_shapeless | c:cocoa/solids extradelight:cocoa_solids_sack minecraft:crafting_shapeless
extradelight:coffee_beans_from_block | minecraft:crafting_shapeless | extradelight:coffee_bean_sack extradelight:coffee_beans minecraft:crafting_shapeless
extradelight:coffee_beans_to_block | minecraft:crafting_shapeless | c:crops/coffee/cooked extradelight:coffee_bean_sack minecraft:crafting_shapeless
extradelight:coffee_cake_from_slice | minecraft:crafting_shapeless | extradelight:coffe_cake_feast extradelight:coffee_cake_slice minecraft:crafting_shapeless
extradelight:coffee_cherries_from_block | minecraft:crafting_shapeless | extradelight:coffee_cherries extradelight:coffee_cherry_crate minecraft:crafting_shapeless
extradelight:coffee_cherries_to_block | minecraft:crafting_shapeless | c:crops/coffee extradelight:coffee_cherry_crate minecraft:crafting_shapeless
extradelight:coffee_from_bucket | minecraft:crafting_shapeless | extradelight:coffee extradelight:coffee_fluid_bucket minecraft:crafting_shapeless minecraft:glass_bottle
extradelight:coffee_to_bucket | minecraft:crafting_shapeless | extradelight:coffee extradelight:coffee_fluid_bucket minecraft:bucket minecraft:crafting_shapeless
extradelight:cooked_cactus | minecraft:crafting_shapeless | c:cactus/cooked extradelight:cactus_eggs extradelight:scrambled_eggs minecraft:crafting_shapeless
extradelight:cooking/oven/apple_cheesecake | extradelight:oven | c:foods/milk extradelight:apple_cheesecake extradelight:oven extradelight:pie_dish extradelight:processed/apple farmersdelight:pie_crust
extradelight:cooking/oven/apple_chips | extradelight:oven | c:apple/sliced c:cinnamon/ground extradelight:apple_chips extradelight:oven extradelight:sheet
extradelight:cooking/oven/apple_cookie | extradelight:oven | extradelight:apple_cookie extradelight:apple_cookie_dough extradelight:oven extradelight:sheet
extradelight:cooking/oven/apple_cookie_block_item | extradelight:oven | extradelight:apple_cookie_block_item extradelight:apple_cookie_dough extradelight:oven extradelight:sheet
extradelight:cooking/oven/apple_crisp_feast | extradelight:oven | c:butter c:flour extradelight:apple_crisp_feast extradelight:oven extradelight:processed/apple extradelight:square_pan extradelight:sweetener minecraft:wheat_seeds
extradelight:cooking/oven/apple_pie | extradelight:oven | extradelight:oven extradelight:pie_dish extradelight:processed/apple extradelight:sweetener farmersdelight:apple_pie farmersdelight:pie_crust
extradelight:cooking/oven/apple_pie_stewed | extradelight:oven | extradelight:oven extradelight:pie_dish extradelight:stewed_apples farmersdelight:apple_pie farmersdelight:pie_crust
extradelight:cooking/oven/bacon_egg_pie | extradelight:oven | c:eggs extradelight:bacon_egg_pie extradelight:oven extradelight:pie_dish farmersdelight:bacon farmersdelight:pie_crust
extradelight:cooking/oven/baked_cod_item | extradelight:oven | c:cooking_oil c:salt extradelight:baked_cod_item extradelight:oven extradelight:processed/garlic extradelight:processed/lemon extradelight:tray minecraft:cod
extradelight:cooking/oven/beef_wellington_block_item | extradelight:oven | c:beef/roast c:butter c:dough c:eggs c:foods/cooked_bacon c:liver c:mushrooms extradelight:beef_wellington_block_item extradelight:oven extradelight:processed/onion extradelight:tray
extradelight:cooking/oven/blondies_block | extradelight:oven | c:butter c:butterscotch c:eggs c:flour extradelight:blondies_block extradelight:oven extradelight:square_pan extradelight:sweetener
extradelight:cooking/oven/brownies_block | extradelight:oven | c:butter c:chocolate/chips c:eggs c:flour c:liquid_chocolate extradelight:brownies_block extradelight:oven extradelight:square_pan extradelight:sweetener
extradelight:cooking/oven/cake | extradelight:oven | c:eggs c:flour c:foods/milk extradelight:oven extradelight:square_pan extradelight:sweetener minecraft:cake
extradelight:cooking/oven/caramel_cheesecake_item | extradelight:oven | c:foods/milk extradelight:caramel_cheesecake_item extradelight:caramel_sauce extradelight:oven extradelight:pie_dish farmersdelight:pie_crust
extradelight:cooking/oven/cheese_souffle | extradelight:oven | c:butter c:cheese c:chili/powder c:flour c:foods/milk extradelight:cheese_souffle extradelight:curry_powder extradelight:egg_or_yolk extradelight:oven extradelight:stiff_peaks minecraft:bowl neoforge:compound
extradelight:cooking/oven/cheeseburger_pickle | extradelight:oven | c:beef/ground/raw c:cheese c:foods/pickled/vegetables/cucumber c:foods/raw_bacon extradelight:cheeseburger_pickle extradelight:oven extradelight:sheet
extradelight:cooking/oven/cheesecake | extradelight:oven | c:foods/milk extradelight:cheesecake extradelight:oven extradelight:pie_dish farmersdelight:pie_crust
extradelight:cooking/oven/cheesy_garlic_bread | extradelight:oven | c:butter c:cheese extradelight:cheesy_garlic_bread extradelight:oven extradelight:processed/garlic extradelight:sheet minecraft:bread
extradelight:cooking/oven/cheesymite_scroll_block_item | extradelight:oven | c:butter c:cheese c:dough c:yeast_spread extradelight:cheesymite_scroll_block_item extradelight:oven extradelight:square_pan
extradelight:cooking/oven/chicken_kiev | extradelight:oven | c:bread/crumbs c:butter c:chicken/breast/raw c:eggs extradelight:chicken_kiev extradelight:oven extradelight:processed/garlic extradelight:tray
extradelight:cooking/oven/chicken_parm | extradelight:oven | c:cheese extradelight:chicken_parm extradelight:fried_chicken extradelight:oven extradelight:tray farmersdelight:tomato_sauce
extradelight:cooking/oven/chili_cheese_cornbread_muffin | extradelight:oven | c:cheese c:corn/meal c:flour extradelight:butter extradelight:chili_cheese_cornbread_muffin extradelight:egg_mix extradelight:muffin_tin extradelight:oven extradelight:processed/chili extradelight:sweetener
extradelight:cooking/oven/chocolate_cake_block | extradelight:oven | c:eggs c:flour c:foods/milk c:liquid_chocolate extradelight:chocolate_cake_block extradelight:oven extradelight:square_pan extradelight:sweetener
extradelight:cooking/oven/chocolate_cheesecake | extradelight:oven | c:cocoa/powder c:foods/milk extradelight:chocolate_cheesecake extradelight:oven extradelight:pie_dish farmersdelight:pie_crust
extradelight:cooking/oven/chocolate_chip_cookie_block_item | extradelight:oven | c:cookie_dough/chocolate_chip extradelight:chocolate_chip_cookie_block_item extradelight:oven extradelight:sheet
extradelight:cooking/oven/chocolate_cookie | extradelight:oven | extradelight:chocolate_cookie extradelight:chocolate_cookie_dough extradelight:oven extradelight:sheet
extradelight:cooking/oven/chocolate_cookie_block | extradelight:oven | extradelight:chocolate_cookie_block extradelight:chocolate_cookie_dough extradelight:oven extradelight:sheet
extradelight:cooking/oven/chocolate_pie | extradelight:oven | c:cocoa/powder c:flour c:whipped_cream extradelight:egg_mix extradelight:oven extradelight:pie_dish extradelight:sweetener farmersdelight:chocolate_pie farmersdelight:pie_crust
extradelight:cooking/oven/christmas_pudding_feast | extradelight:oven | c:bread/crumbs c:cinnamon/ground c:eggs c:flour c:fruit/dried extradelight:christmas_pudding_feast extradelight:oven extradelight:square_pan extradelight:sweetener
extradelight:cooking/oven/cinnamon_rolls_feast | extradelight:oven | c:butter c:cinnamon/ground c:dough extradelight:cinnamon_rolls_feast extradelight:frosting_white extradelight:oven extradelight:square_pan extradelight:sweetener
extradelight:cooking/oven/coffe_cake_feast | extradelight:oven | c:butter c:cinnamon/ground c:eggs c:flour c:foods/milk extradelight:coffe_cake_feast extradelight:oven extradelight:square_pan extradelight:sweetener
extradelight:cooking/oven/cookie | extradelight:oven | c:cookie_dough/chocolate_chip extradelight:oven extradelight:sheet minecraft:cookie
extradelight:cooking/oven/corn_pudding_feast | extradelight:oven | c:corn/meal c:foods/milk extradelight:butter extradelight:cooked_corn extradelight:corn_pudding_feast extradelight:egg_mix extradelight:oven extradelight:square_pan extradelight:sweetener
extradelight:cooking/oven/cornbread_feast | extradelight:oven | c:corn/meal c:flour extradelight:butter extradelight:cornbread_feast extradelight:egg_mix extradelight:oven extradelight:sweetener farmersdelight:skillet
extradelight:cooking/oven/crackers | extradelight:oven | c:butter c:flour extradelight:crackers extradelight:oven extradelight:sheet
extradelight:cooking/oven/egg_in_the_basket | extradelight:oven | c:bread/sliced c:eggs extradelight:egg_in_the_basket extradelight:oven extradelight:sheet
extradelight:cooking/oven/fat_potatoes | extradelight:oven | c:fat extradelight:fat_potatoes extradelight:oven extradelight:square_pan minecraft:bowl minecraft:potato
extradelight:cooking/oven/french_toast | extradelight:oven | c:bread/sliced c:butter c:cinnamon/ground c:eggs c:foods/milk extradelight:french_toast extradelight:oven extradelight:sweetener extradelight:tray
extradelight:cooking/oven/fruit_bread | extradelight:oven | c:dough c:fruit/dried extradelight:fruit_bread extradelight:loaf_pan extradelight:oven extradelight:processed/fruit neoforge:compound
extradelight:cooking/oven/garlic_bread | extradelight:oven | c:butter extradelight:garlic_bread extradelight:oven extradelight:processed/garlic extradelight:sheet minecraft:bread
extradelight:cooking/oven/gingerbread_cookie | extradelight:oven | c:cookie_dough/gingerbread extradelight:gingerbread_cookie extradelight:oven extradelight:sheet
extradelight:cooking/oven/gingerbread_cookie_block_item | extradelight:oven | c:cookie_dough/gingerbread extradelight:gingerbread_cookie_block_item extradelight:oven extradelight:sheet
extradelight:cooking/oven/glow_berry_cheesecake | extradelight:oven | c:foods/milk extradelight:glow_berry_cheesecake extradelight:oven extradelight:pie_dish farmersdelight:pie_crust minecraft:glow_berries
extradelight:cooking/oven/glow_berry_cookie | extradelight:oven | c:cookie_dough/glow_berry extradelight:glow_berry_cookie extradelight:oven extradelight:sheet
extradelight:cooking/oven/glow_berry_cookie_block_item | extradelight:oven | c:cookie_dough/glow_berry extradelight:glow_berry_cookie_block_item extradelight:oven extradelight:sheet
extradelight:cooking/oven/glow_berry_pie | extradelight:oven | c:flour extradelight:glow_berry_pie extradelight:oven extradelight:pie_dish extradelight:sweetener farmersdelight:pie_crust minecraft:glow_berries
extradelight:cooking/oven/graham_cracker | extradelight:oven | c:cinnamon/ground c:cooking_oil c:eggs c:flour c:foods/milk extradelight:graham_cracker extradelight:oven extradelight:sweetener extradelight:tray
extradelight:cooking/oven/grilled_grapefruit | extradelight:oven | c:crops/grapefruit extradelight:grilled_grapefruit extradelight:oven extradelight:sweetener extradelight:tray
extradelight:cooking/oven/haggis_block_item | extradelight:oven | c:lung c:meat/scrap c:offal c:seeds c:stomach extradelight:haggis_block_item extradelight:oven extradelight:tray
extradelight:cooking/oven/honey_cheesecake | extradelight:oven | c:foods/milk extradelight:honey_cheesecake extradelight:oven extradelight:pie_dish farmersdelight:pie_crust minecraft:honey_bottle
extradelight:cooking/oven/honey_cookie | extradelight:oven | c:cookie_dough/honey extradelight:oven extradelight:sheet farmersdelight:honey_cookie
extradelight:cooking/oven/honey_cookie_block_item | extradelight:oven | c:cookie_dough/honey extradelight:honey_cookie_block_item extradelight:oven extradelight:sheet
extradelight:cooking/oven/honey_ham | extradelight:oven | c:fruit/sweet_berry extradelight:butter extradelight:oven extradelight:tray farmersdelight:cooked_rice farmersdelight:ham farmersdelight:honey_glazed_ham_block minecraft:honey_bottle
extradelight:cooking/oven/hotdish | extradelight:oven | c:food/starch c:foods/soup c:foods/vegetable c:meat/cooked extradelight:hotdish_feast extradelight:oven extradelight:square_pan
extradelight:cooking/oven/jaffa_cake | extradelight:oven | c:butter c:eggs c:flour extradelight:dark_chocolate_syrup_bottle extradelight:dynamic_jam extradelight:jaffa_cake extradelight:muffin_tin extradelight:orange_zest extradelight:oven extradelight:sweetener neoforge:components
extradelight:cooking/oven/jalapeno_popper | extradelight:oven | c:cheese c:crops/chili c:foods/raw_bacon extradelight:jalapeno_popper extradelight:oven extradelight:tray
extradelight:cooking/oven/key_lime_pie_item | extradelight:oven | c:foods/milk c:whipped_cream extradelight:egg_or_yolk extradelight:key_lime_pie_item extradelight:lime_juice extradelight:lime_zest extradelight:oven extradelight:pie_dish extradelight:processed/lime extradelight:stiff_peaks extradelight:sweetener farmersdelight:pie_crust
extradelight:cooking/oven/kyiv_cake_item | extradelight:oven | c:butter c:crops/hazelnut/cooked c:eggs c:flour c:liquid_chocolate c:whipped_cream extradelight:kyiv_cake_item extradelight:oven extradelight:sheet extradelight:stiff_peaks extradelight:sweetener
extradelight:cooking/oven/lava_cake | extradelight:oven | c:eggs c:flour c:foods/milk c:liquid_chocolate extradelight:lava_cake extradelight:muffin_tin extradelight:oven extradelight:sweetener
extradelight:cooking/oven/lemon_cucumber_cake_item | extradelight:oven | c:butter c:eggs c:flour c:frosting/white extradelight:lemon_cucumber_cake_item extradelight:lemon_juice extradelight:lemon_zest extradelight:oven extradelight:processed/cucumber extradelight:processed/lemon extradelight:square_pan extradelight:sweetener
extradelight:cooking/oven/lemon_delicious | extradelight:oven | c:butter c:flour c:foods/milk extradelight:egg_or_yolk extradelight:lemon_delicious extradelight:lemon_juice extradelight:lemon_zest extradelight:oven extradelight:stiff_peaks extradelight:sweetener minecraft:bowl
extradelight:cooking/oven/lemon_meringue_pie_item | extradelight:oven | extradelight:lemon_curd extradelight:lemon_meringue_pie_item extradelight:oven extradelight:pie_dish extradelight:stiff_peaks extradelight:sweetener farmersdelight:pie_crust
extradelight:cooking/oven/lime_souffle | extradelight:oven | c:butter c:foods/milk extradelight:egg_or_yolk extradelight:lime_juice extradelight:lime_souffle extradelight:lime_zest extradelight:oven extradelight:stiff_peaks extradelight:sweetener minecraft:bowl
extradelight:cooking/oven/meat_pie | extradelight:oven | c:ground_meat/raw c:mushrooms extradelight:meat_pie_block_item extradelight:oven extradelight:pie_dish extradelight:processed/onion extradelight:processed/potato farmersdelight:pie_crust
