deeperdarker:ancient_compass | minecraft:crafting_shaped | deeperdarker:ancient_compass deeperdarker:warden_carapace minecraft:compass minecraft:crafting_shaped
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/brick_wall_to_polished | mekanism:enriching | deeperdarker:polished_sculk_stone_wall deeperdarker:sculk_stone_brick_wall mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/bricks_to_polished | mekanism:enriching | deeperdarker:polished_sculk_stone deeperdarker:sculk_stone_bricks mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/cut_slabs_to_smooth | mekanism:enriching | deeperdarker:cut_sculk_stone_slab deeperdarker:smooth_sculk_stone_slab mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/cut_stairs_to_smooth | mekanism:enriching | deeperdarker:cut_sculk_stone_stairs deeperdarker:smooth_sculk_stone_stairs mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/cut_to_smooth | mekanism:enriching | deeperdarker:cut_sculk_stone deeperdarker:smooth_sculk_stone mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/cut_wall_to_smooth | mekanism:enriching | deeperdarker:cut_sculk_stone_wall deeperdarker:smooth_sculk_stone_wall mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/from_cobbled | mekanism:enriching | deeperdarker:cobbled_sculk_stone deeperdarker:sculk_stone mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/from_cobbled_slabs | mekanism:enriching | deeperdarker:cobbled_sculk_stone_slab deeperdarker:sculk_stone_slab mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/from_cobbled_stairs | mekanism:enriching | deeperdarker:cobbled_sculk_stone_stairs deeperdarker:sculk_stone_stairs mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/from_cobbled_wall | mekanism:enriching | deeperdarker:cobbled_sculk_stone_wall deeperdarker:sculk_stone_wall mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/polished_slabs_to_cut | mekanism:enriching | deeperdarker:cut_sculk_stone_slab deeperdarker:polished_sculk_stone_slab mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/polished_stairs_to_cut | mekanism:enriching | deeperdarker:cut_sculk_stone_stairs deeperdarker:polished_sculk_stone_stairs mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/polished_to_cut | mekanism:enriching | deeperdarker:cut_sculk_stone deeperdarker:polished_sculk_stone mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/polished_wall_to_cut | mekanism:enriching | deeperdarker:cut_sculk_stone_wall deeperdarker:polished_sculk_stone_wall mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/slabs_to_smooth | mekanism:enriching | deeperdarker:sculk_stone_slab deeperdarker:smooth_sculk_stone_slab mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/stairs_to_smooth | mekanism:enriching | deeperdarker:sculk_stone_stairs deeperdarker:smooth_sculk_stone_stairs mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/tile_slabs_to_brick | mekanism:enriching | deeperdarker:sculk_stone_brick_slab deeperdarker:sculk_stone_tile_slab mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/tile_stairs_to_brick | mekanism:enriching | deeperdarker:sculk_stone_brick_stairs deeperdarker:sculk_stone_tile_stairs mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/tile_wall_to_brick | mekanism:enriching | deeperdarker:sculk_stone_brick_wall deeperdarker:sculk_stone_tile_wall mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/tiles_to_bricks | mekanism:enriching | deeperdarker:sculk_stone_bricks deeperdarker:sculk_stone_tiles mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/to_smooth | mekanism:enriching | deeperdarker:sculk_stone deeperdarker:smooth_sculk_stone mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/enriching/conversion/sculk_stone/wall_to_smooth | mekanism:enriching | deeperdarker:sculk_stone_wall deeperdarker:smooth_sculk_stone_wall mekanism:enriching neoforge:mod_loaded
deeperdarker:compatibility/mekanism/sawing/boat/echo | mekanism:sawing | deeperdarker:echo_boat deeperdarker:echo_planks mekanism:sawing neoforge:mod_loaded
deeperdarker:compatibility/mekanism/sawing/chest_boat/echo | mekanism:sawing | deeperdarker:echo_boat deeperdarker:echo_chest_boat mekanism:sawing minecraft:chest neoforge:mod_loaded
deeperdarker:compatibility/mekanism/sawing/door/echo | mekanism:sawing | deeperdarker:echo_door deeperdarker:echo_planks mekanism:sawing neoforge:mod_loaded
deeperdarker:compatibility/mekanism/sawing/fence_gate/echo | mekanism:sawing | deeperdarker:echo_fence_gate deeperdarker:echo_planks mekanism:sawing minecraft:stick neoforge:mod_loaded
deeperdarker:compatibility/mekanism/sawing/hanging_sign/echo | mekanism:sawing | deeperdarker:echo_hanging_sign deeperdarker:echo_planks mekanism:sawdust mekanism:sawing neoforge:mod_loaded
deeperdarker:compatibility/mekanism/sawing/log/echo | mekanism:sawing | deeperdarker:echo_logs deeperdarker:echo_planks mekanism:sawdust mekanism:sawing neoforge:mod_loaded
deeperdarker:compatibility/mekanism/sawing/pressure_plate/echo | mekanism:sawing | deeperdarker:echo_planks deeperdarker:echo_pressure_plate mekanism:sawdust mekanism:sawing neoforge:mod_loaded
deeperdarker:compatibility/mekanism/sawing/trapdoor/echo | mekanism:sawing | deeperdarker:echo_planks deeperdarker:echo_trapdoor mekanism:sawing neoforge:mod_loaded
deeperdarker:compatibility/pneumaticcraft/block_heat_properties/deeperdarker/gloomy_geyser | pneumaticcraft:heat_properties | deeperdarker:gloomy_geyser deeperdarker:gloomy_sculk neoforge:mod_loaded pneumaticcraft:heat_properties
deeperdarker:cooked_angler_fish | minecraft:smelting | deeperdarker:angler_fish deeperdarker:cooked_angler_fish minecraft:smelting
deeperdarker:cooked_angler_fish_from_campfire_cooking | minecraft:campfire_cooking | deeperdarker:angler_fish deeperdarker:cooked_angler_fish minecraft:campfire_cooking
deeperdarker:cooked_angler_fish_from_smoking | minecraft:smoking | deeperdarker:angler_fish deeperdarker:cooked_angler_fish minecraft:smoking
deeperdarker:copper_ingot_from_blasting_gloomslate_copper_ore | minecraft:blasting | deeperdarker:gloomslate_copper_ore minecraft:blasting minecraft:copper_ingot
deeperdarker:copper_ingot_from_blasting_sculk_stone_copper_ore | minecraft:blasting | deeperdarker:sculk_stone_copper_ore minecraft:blasting minecraft:copper_ingot
deeperdarker:copper_ingot_from_smelting_gloomslate_copper_ore | minecraft:smelting | deeperdarker:gloomslate_copper_ore minecraft:copper_ingot minecraft:smelting
deeperdarker:copper_ingot_from_smelting_sculk_stone_copper_ore | minecraft:smelting | deeperdarker:sculk_stone_copper_ore minecraft:copper_ingot minecraft:smelting
deeperdarker:cut_gloomslate | minecraft:crafting_shaped | deeperdarker:cut_gloomslate deeperdarker:smooth_gloomslate minecraft:crafting_shaped
deeperdarker:cut_gloomslate_slab | minecraft:crafting_shaped | deeperdarker:cut_gloomslate deeperdarker:cut_gloomslate_slab minecraft:crafting_shaped
deeperdarker:cut_gloomslate_slab_from_cut_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cut_gloomslate deeperdarker:cut_gloomslate_slab minecraft:stonecutting
deeperdarker:cut_gloomslate_slab_from_smooth_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cut_gloomslate_slab deeperdarker:smooth_gloomslate minecraft:stonecutting
deeperdarker:cut_gloomslate_stairs | minecraft:crafting_shaped | deeperdarker:cut_gloomslate deeperdarker:cut_gloomslate_stairs minecraft:crafting_shaped
deeperdarker:cut_gloomslate_stairs_from_cut_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cut_gloomslate deeperdarker:cut_gloomslate_stairs minecraft:stonecutting
deeperdarker:cut_gloomslate_stairs_from_smooth_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cut_gloomslate_stairs deeperdarker:smooth_gloomslate minecraft:stonecutting
deeperdarker:cut_gloomslate_wall | minecraft:crafting_shaped | deeperdarker:cut_gloomslate deeperdarker:cut_gloomslate_wall minecraft:crafting_shaped
deeperdarker:cut_gloomslate_wall_from_cut_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cut_gloomslate deeperdarker:cut_gloomslate_wall minecraft:stonecutting
deeperdarker:cut_gloomslate_wall_from_smooth_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cut_gloomslate_wall deeperdarker:smooth_gloomslate minecraft:stonecutting
deeperdarker:cut_sculk_stone | minecraft:crafting_shaped | deeperdarker:cut_sculk_stone deeperdarker:smooth_sculk_stone minecraft:crafting_shaped
deeperdarker:cut_sculk_stone_slab | minecraft:crafting_shaped | deeperdarker:cut_sculk_stone deeperdarker:cut_sculk_stone_slab minecraft:crafting_shaped
deeperdarker:cut_sculk_stone_slab_from_cut_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cut_sculk_stone deeperdarker:cut_sculk_stone_slab minecraft:stonecutting
deeperdarker:cut_sculk_stone_slab_from_smooth_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cut_sculk_stone_slab deeperdarker:smooth_sculk_stone minecraft:stonecutting
deeperdarker:cut_sculk_stone_stairs | minecraft:crafting_shaped | deeperdarker:cut_sculk_stone deeperdarker:cut_sculk_stone_stairs minecraft:crafting_shaped
deeperdarker:cut_sculk_stone_stairs_from_cut_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cut_sculk_stone deeperdarker:cut_sculk_stone_stairs minecraft:stonecutting
deeperdarker:cut_sculk_stone_stairs_from_smooth_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cut_sculk_stone_stairs deeperdarker:smooth_sculk_stone minecraft:stonecutting
deeperdarker:cut_sculk_stone_wall | minecraft:crafting_shaped | deeperdarker:cut_sculk_stone deeperdarker:cut_sculk_stone_wall minecraft:crafting_shaped
deeperdarker:cut_sculk_stone_wall_from_cut_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cut_sculk_stone deeperdarker:cut_sculk_stone_wall minecraft:stonecutting
deeperdarker:cut_sculk_stone_wall_from_smooth_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cut_sculk_stone_wall deeperdarker:smooth_sculk_stone minecraft:stonecutting
deeperdarker:diamond_from_blasting_gloomslate_diamond_ore | minecraft:blasting | deeperdarker:gloomslate_diamond_ore minecraft:blasting minecraft:diamond
deeperdarker:diamond_from_blasting_sculk_stone_diamond_ore | minecraft:blasting | deeperdarker:sculk_stone_diamond_ore minecraft:blasting minecraft:diamond
deeperdarker:diamond_from_smelting_gloomslate_diamond_ore | minecraft:smelting | deeperdarker:gloomslate_diamond_ore minecraft:diamond minecraft:smelting
deeperdarker:diamond_from_smelting_sculk_stone_diamond_ore | minecraft:smelting | deeperdarker:sculk_stone_diamond_ore minecraft:diamond minecraft:smelting
deeperdarker:echo_boat | minecraft:crafting_shaped | deeperdarker:echo_boat deeperdarker:echo_planks minecraft:crafting_shaped
deeperdarker:echo_button | minecraft:crafting_shapeless | deeperdarker:echo_button deeperdarker:echo_planks minecraft:crafting_shapeless
deeperdarker:echo_chest_boat | minecraft:crafting_shapeless | deeperdarker:echo_boat deeperdarker:echo_chest_boat minecraft:chest minecraft:crafting_shapeless
deeperdarker:echo_door | minecraft:crafting_shaped | deeperdarker:echo_door deeperdarker:echo_planks minecraft:crafting_shaped
deeperdarker:echo_fence | minecraft:crafting_shaped | deeperdarker:echo_fence deeperdarker:echo_planks minecraft:crafting_shaped minecraft:stick
deeperdarker:echo_fence_gate | minecraft:crafting_shaped | deeperdarker:echo_fence_gate deeperdarker:echo_planks minecraft:crafting_shaped minecraft:stick
deeperdarker:echo_hanging_sign | minecraft:crafting_shaped | deeperdarker:echo_hanging_sign deeperdarker:stripped_echo_log minecraft:chain minecraft:crafting_shaped
deeperdarker:echo_planks | minecraft:crafting_shapeless | deeperdarker:echo_logs deeperdarker:echo_planks minecraft:crafting_shapeless
deeperdarker:echo_pressure_plate | minecraft:crafting_shaped | deeperdarker:echo_planks deeperdarker:echo_pressure_plate minecraft:crafting_shaped
deeperdarker:echo_sign | minecraft:crafting_shaped | deeperdarker:echo_planks deeperdarker:echo_sign minecraft:crafting_shaped minecraft:stick
deeperdarker:echo_slab | minecraft:crafting_shaped | deeperdarker:echo_planks deeperdarker:echo_slab minecraft:crafting_shaped
deeperdarker:echo_stairs | minecraft:crafting_shaped | deeperdarker:echo_planks deeperdarker:echo_stairs minecraft:crafting_shaped
deeperdarker:echo_trapdoor | minecraft:crafting_shaped | deeperdarker:echo_planks deeperdarker:echo_trapdoor minecraft:crafting_shaped
deeperdarker:echo_wood | minecraft:crafting_shaped | deeperdarker:echo_log deeperdarker:echo_wood minecraft:crafting_shaped
deeperdarker:emerald_from_blasting_gloomslate_emerald_ore | minecraft:blasting | deeperdarker:gloomslate_emerald_ore minecraft:blasting minecraft:emerald
deeperdarker:emerald_from_blasting_sculk_stone_emerald_ore | minecraft:blasting | deeperdarker:sculk_stone_emerald_ore minecraft:blasting minecraft:emerald
deeperdarker:emerald_from_smelting_gloomslate_emerald_ore | minecraft:smelting | deeperdarker:gloomslate_emerald_ore minecraft:emerald minecraft:smelting
deeperdarker:emerald_from_smelting_sculk_stone_emerald_ore | minecraft:smelting | deeperdarker:sculk_stone_emerald_ore minecraft:emerald minecraft:smelting
deeperdarker:gleam_gel_block | minecraft:crafting_shaped | deeperdarker:gleam_gel deeperdarker:gleam_gel_block minecraft:crafting_shaped
deeperdarker:gloomslate | minecraft:smelting | deeperdarker:cobbled_gloomslate deeperdarker:gloomslate minecraft:smelting
deeperdarker:gloomslate_brick_fence | minecraft:crafting_shaped | deeperdarker:gloomslate_brick_fence deeperdarker:gloomslate_bricks minecraft:crafting_shaped minecraft:stick
deeperdarker:gloomslate_brick_slab | minecraft:crafting_shaped | deeperdarker:gloomslate_brick_slab deeperdarker:gloomslate_bricks minecraft:crafting_shaped
deeperdarker:gloomslate_brick_slab_from_cobbled_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_gloomslate deeperdarker:gloomslate_brick_slab minecraft:stonecutting
deeperdarker:gloomslate_brick_slab_from_gloomslate_bricks_stonecutting | minecraft:stonecutting | deeperdarker:gloomslate_brick_slab deeperdarker:gloomslate_bricks minecraft:stonecutting
deeperdarker:gloomslate_brick_slab_from_polished_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:gloomslate_brick_slab deeperdarker:polished_gloomslate minecraft:stonecutting
deeperdarker:gloomslate_brick_stairs | minecraft:crafting_shaped | deeperdarker:gloomslate_brick_stairs deeperdarker:gloomslate_bricks minecraft:crafting_shaped
deeperdarker:gloomslate_brick_stairs_from_cobbled_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_gloomslate deeperdarker:gloomslate_brick_stairs minecraft:stonecutting
deeperdarker:gloomslate_brick_stairs_from_gloomslate_bricks_stonecutting | minecraft:stonecutting | deeperdarker:gloomslate_brick_stairs deeperdarker:gloomslate_bricks minecraft:stonecutting
deeperdarker:gloomslate_brick_stairs_from_polished_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:gloomslate_brick_stairs deeperdarker:polished_gloomslate minecraft:stonecutting
deeperdarker:gloomslate_brick_wall | minecraft:crafting_shaped | deeperdarker:gloomslate_brick_wall deeperdarker:gloomslate_bricks minecraft:crafting_shaped
deeperdarker:gloomslate_brick_wall_from_cobbled_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_gloomslate deeperdarker:gloomslate_brick_wall minecraft:stonecutting
deeperdarker:gloomslate_brick_wall_from_gloomslate_bricks_stonecutting | minecraft:stonecutting | deeperdarker:gloomslate_brick_wall deeperdarker:gloomslate_bricks minecraft:stonecutting
deeperdarker:gloomslate_brick_wall_from_polished_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:gloomslate_brick_wall deeperdarker:polished_gloomslate minecraft:stonecutting
deeperdarker:gloomslate_bricks | minecraft:crafting_shaped | deeperdarker:gloomslate_bricks deeperdarker:polished_gloomslate minecraft:crafting_shaped
deeperdarker:gloomslate_bricks_from_cobbled_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_gloomslate deeperdarker:gloomslate_bricks minecraft:stonecutting
deeperdarker:gloomslate_bricks_from_polished_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:gloomslate_bricks deeperdarker:polished_gloomslate minecraft:stonecutting
deeperdarker:gloomslate_light | minecraft:crafting_shaped | deeperdarker:gloomslate deeperdarker:gloomslate_light deeperdarker:sculk_gleam minecraft:crafting_shaped
deeperdarker:gloomslate_pot | deeperdarker:gloomslate_pot_recipe | deeperdarker:gloomslate_pot_recipe
deeperdarker:gloomslate_slab | minecraft:crafting_shaped | deeperdarker:gloomslate deeperdarker:gloomslate_slab minecraft:crafting_shaped
deeperdarker:gloomslate_slab_from_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:gloomslate deeperdarker:gloomslate_slab minecraft:stonecutting
deeperdarker:gloomslate_stairs | minecraft:crafting_shaped | deeperdarker:gloomslate deeperdarker:gloomslate_stairs minecraft:crafting_shaped
deeperdarker:gloomslate_stairs_from_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:gloomslate deeperdarker:gloomslate_stairs minecraft:stonecutting
deeperdarker:gloomslate_tile_slab | minecraft:crafting_shaped | deeperdarker:gloomslate_tile_slab deeperdarker:gloomslate_tiles minecraft:crafting_shaped
deeperdarker:gloomslate_tile_slab_from_cobbled_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_gloomslate deeperdarker:gloomslate_tile_slab minecraft:stonecutting
deeperdarker:gloomslate_tile_slab_from_gloomslate_tiles_stonecutting | minecraft:stonecutting | deeperdarker:gloomslate_tile_slab deeperdarker:gloomslate_tiles minecraft:stonecutting
deeperdarker:gloomslate_tile_slab_from_polished_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:gloomslate_tile_slab deeperdarker:polished_gloomslate minecraft:stonecutting
deeperdarker:gloomslate_tile_stairs | minecraft:crafting_shaped | deeperdarker:gloomslate_tile_stairs deeperdarker:gloomslate_tiles minecraft:crafting_shaped
deeperdarker:gloomslate_tile_stairs_from_cobbled_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_gloomslate deeperdarker:gloomslate_tile_stairs minecraft:stonecutting
deeperdarker:gloomslate_tile_stairs_from_gloomslate_tiles_stonecutting | minecraft:stonecutting | deeperdarker:gloomslate_tile_stairs deeperdarker:gloomslate_tiles minecraft:stonecutting
deeperdarker:gloomslate_tile_stairs_from_polished_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:gloomslate_tile_stairs deeperdarker:polished_gloomslate minecraft:stonecutting
deeperdarker:gloomslate_tile_wall | minecraft:crafting_shaped | deeperdarker:gloomslate_tile_wall deeperdarker:gloomslate_tiles minecraft:crafting_shaped
deeperdarker:gloomslate_tile_wall_from_cobbled_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_gloomslate deeperdarker:gloomslate_tile_wall minecraft:stonecutting
deeperdarker:gloomslate_tile_wall_from_gloomslate_tiles_stonecutting | minecraft:stonecutting | deeperdarker:gloomslate_tile_wall deeperdarker:gloomslate_tiles minecraft:stonecutting
deeperdarker:gloomslate_tile_wall_from_polished_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:gloomslate_tile_wall deeperdarker:polished_gloomslate minecraft:stonecutting
deeperdarker:gloomslate_tiles | minecraft:crafting_shaped | deeperdarker:gloomslate_bricks deeperdarker:gloomslate_tiles minecraft:crafting_shaped
deeperdarker:gloomslate_tiles_from_cobbled_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_gloomslate deeperdarker:gloomslate_tiles minecraft:stonecutting
deeperdarker:gloomslate_tiles_from_polished_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:gloomslate_tiles deeperdarker:polished_gloomslate minecraft:stonecutting
deeperdarker:gloomslate_wall | minecraft:crafting_shaped | deeperdarker:gloomslate deeperdarker:gloomslate_wall minecraft:crafting_shaped
deeperdarker:gloomslate_wall_from_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:gloomslate deeperdarker:gloomslate_wall minecraft:stonecutting
deeperdarker:gold_ingot_from_blasting_gloomslate_gold_ore | minecraft:blasting | deeperdarker:gloomslate_gold_ore minecraft:blasting minecraft:gold_ingot
deeperdarker:gold_ingot_from_blasting_sculk_stone_gold_ore | minecraft:blasting | deeperdarker:sculk_stone_gold_ore minecraft:blasting minecraft:gold_ingot
deeperdarker:gold_ingot_from_smelting_gloomslate_gold_ore | minecraft:smelting | deeperdarker:gloomslate_gold_ore minecraft:gold_ingot minecraft:smelting
deeperdarker:gold_ingot_from_smelting_sculk_stone_gold_ore | minecraft:smelting | deeperdarker:sculk_stone_gold_ore minecraft:gold_ingot minecraft:smelting
deeperdarker:grime_brick | minecraft:smelting | deeperdarker:grime_ball deeperdarker:grime_brick minecraft:smelting
deeperdarker:iron_ingot_from_blasting_gloomslate_iron_ore | minecraft:blasting | deeperdarker:gloomslate_iron_ore minecraft:blasting minecraft:iron_ingot
deeperdarker:iron_ingot_from_blasting_sculk_stone_iron_ore | minecraft:blasting | deeperdarker:sculk_stone_iron_ore minecraft:blasting minecraft:iron_ingot
deeperdarker:iron_ingot_from_smelting_gloomslate_iron_ore | minecraft:smelting | deeperdarker:gloomslate_iron_ore minecraft:iron_ingot minecraft:smelting
deeperdarker:iron_ingot_from_smelting_sculk_stone_iron_ore | minecraft:smelting | deeperdarker:sculk_stone_iron_ore minecraft:iron_ingot minecraft:smelting
deeperdarker:lapis_lazuli_from_blasting_gloomslate_lapis_ore | minecraft:blasting | deeperdarker:gloomslate_lapis_ore minecraft:blasting minecraft:lapis_lazuli
deeperdarker:lapis_lazuli_from_blasting_sculk_stone_lapis_ore | minecraft:blasting | deeperdarker:sculk_stone_lapis_ore minecraft:blasting minecraft:lapis_lazuli
deeperdarker:lapis_lazuli_from_smelting_gloomslate_lapis_ore | minecraft:smelting | deeperdarker:gloomslate_lapis_ore minecraft:lapis_lazuli minecraft:smelting
deeperdarker:lapis_lazuli_from_smelting_sculk_stone_lapis_ore | minecraft:smelting | deeperdarker:sculk_stone_lapis_ore minecraft:lapis_lazuli minecraft:smelting
deeperdarker:lite | minecraft:crafting_shapeless | deeperdarker:lite deeperdarker:lite_block minecraft:crafting_shapeless
deeperdarker:lite_block | minecraft:crafting_shaped | deeperdarker:lite deeperdarker:lite_block minecraft:crafting_shaped
deeperdarker:polished_gloomslate | minecraft:crafting_shaped | deeperdarker:cobbled_gloomslate deeperdarker:polished_gloomslate minecraft:crafting_shaped
deeperdarker:polished_gloomslate_from_cobbled_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_gloomslate deeperdarker:polished_gloomslate minecraft:stonecutting
deeperdarker:polished_gloomslate_slab | minecraft:crafting_shaped | deeperdarker:polished_gloomslate deeperdarker:polished_gloomslate_slab minecraft:crafting_shaped
deeperdarker:polished_gloomslate_slab_from_cobbled_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_gloomslate deeperdarker:polished_gloomslate_slab minecraft:stonecutting
deeperdarker:polished_gloomslate_slab_from_polished_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:polished_gloomslate deeperdarker:polished_gloomslate_slab minecraft:stonecutting
deeperdarker:polished_gloomslate_stairs | minecraft:crafting_shaped | deeperdarker:polished_gloomslate deeperdarker:polished_gloomslate_stairs minecraft:crafting_shaped
deeperdarker:polished_gloomslate_stairs_from_cobbled_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_gloomslate deeperdarker:polished_gloomslate_stairs minecraft:stonecutting
deeperdarker:polished_gloomslate_stairs_from_polished_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:polished_gloomslate deeperdarker:polished_gloomslate_stairs minecraft:stonecutting
deeperdarker:polished_gloomslate_wall | minecraft:crafting_shaped | deeperdarker:polished_gloomslate deeperdarker:polished_gloomslate_wall minecraft:crafting_shaped
deeperdarker:polished_gloomslate_wall_from_cobbled_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_gloomslate deeperdarker:polished_gloomslate_wall minecraft:stonecutting
deeperdarker:polished_gloomslate_wall_from_polished_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:polished_gloomslate deeperdarker:polished_gloomslate_wall minecraft:stonecutting
deeperdarker:polished_sculk_stone | minecraft:crafting_shaped | deeperdarker:cobbled_sculk_stone deeperdarker:polished_sculk_stone minecraft:crafting_shaped
deeperdarker:polished_sculk_stone_from_cobbled_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_sculk_stone deeperdarker:polished_sculk_stone minecraft:stonecutting
deeperdarker:polished_sculk_stone_slab | minecraft:crafting_shaped | deeperdarker:polished_sculk_stone deeperdarker:polished_sculk_stone_slab minecraft:crafting_shaped
deeperdarker:polished_sculk_stone_slab_from_cobbled_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_sculk_stone deeperdarker:polished_sculk_stone_slab minecraft:stonecutting
deeperdarker:polished_sculk_stone_slab_from_polished_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:polished_sculk_stone deeperdarker:polished_sculk_stone_slab minecraft:stonecutting
deeperdarker:polished_sculk_stone_stairs | minecraft:crafting_shaped | deeperdarker:polished_sculk_stone deeperdarker:polished_sculk_stone_stairs minecraft:crafting_shaped
deeperdarker:polished_sculk_stone_stairs_from_cobbled_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_sculk_stone deeperdarker:polished_sculk_stone_stairs minecraft:stonecutting
deeperdarker:polished_sculk_stone_stairs_from_polished_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:polished_sculk_stone deeperdarker:polished_sculk_stone_stairs minecraft:stonecutting
deeperdarker:polished_sculk_stone_wall | minecraft:crafting_shaped | deeperdarker:polished_sculk_stone deeperdarker:polished_sculk_stone_wall minecraft:crafting_shaped
deeperdarker:polished_sculk_stone_wall_from_cobbled_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_sculk_stone deeperdarker:polished_sculk_stone_wall minecraft:stonecutting
deeperdarker:polished_sculk_stone_wall_from_polished_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:polished_sculk_stone deeperdarker:polished_sculk_stone_wall minecraft:stonecutting
deeperdarker:redstone_from_blasting_gloomslate_redstone_ore | minecraft:blasting | deeperdarker:gloomslate_redstone_ore minecraft:blasting minecraft:redstone
deeperdarker:redstone_from_blasting_sculk_stone_redstone_ore | minecraft:blasting | deeperdarker:sculk_stone_redstone_ore minecraft:blasting minecraft:redstone
deeperdarker:redstone_from_smelting_gloomslate_redstone_ore | minecraft:smelting | deeperdarker:gloomslate_redstone_ore minecraft:redstone minecraft:smelting
