meadow:alpine_salt_from_blasting_alpine_salt_ore | minecraft:blasting | meadow:alpine_salt meadow:alpine_salt_ore minecraft:blasting
meadow:wood_cutter/birch/birch_button_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:birch_button minecraft:birch_logs
meadow:wood_cutter/birch/birch_door_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:birch_door minecraft:birch_logs
meadow:wood_cutter/birch/birch_fence_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:birch_fence minecraft:birch_logs
meadow:wood_cutter/birch/birch_fencegate_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:birch_fence_gate minecraft:birch_logs
meadow:wood_cutter/birch/birch_planks_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:birch_logs minecraft:birch_planks
meadow:wood_cutter/birch/birch_pp_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:birch_logs minecraft:birch_pressure_plate
meadow:wood_cutter/birch/birch_sign_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:birch_logs minecraft:birch_sign
meadow:wood_cutter/birch/birch_slabs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:birch_logs minecraft:birch_slab
meadow:wood_cutter/birch/birch_stairs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:birch_logs minecraft:birch_stairs
meadow:wood_cutter/birch/birch_trapdoor_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:birch_logs minecraft:birch_trapdoor
meadow:wood_cutter/cherry/cherry_button_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:cherry_button minecraft:cherry_logs
meadow:wood_cutter/cherry/cherry_door_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:cherry_door minecraft:cherry_logs
meadow:wood_cutter/cherry/cherry_fence_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:cherry_fence minecraft:cherry_logs
meadow:wood_cutter/cherry/cherry_fencegate_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:cherry_fence_gate minecraft:cherry_logs
meadow:wood_cutter/cherry/cherry_planks_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:cherry_logs minecraft:cherry_planks
meadow:wood_cutter/cherry/cherry_pp_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:cherry_logs minecraft:cherry_pressure_plate
meadow:wood_cutter/cherry/cherry_sign_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:cherry_logs minecraft:cherry_sign
meadow:wood_cutter/cherry/cherry_slabs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:cherry_logs minecraft:cherry_slab
meadow:wood_cutter/cherry/cherry_stairs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:cherry_logs minecraft:cherry_stairs
meadow:wood_cutter/cherry/cherry_trapdoor_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:cherry_logs minecraft:cherry_trapdoor
meadow:wood_cutter/crimson/crimson_hyphae_button_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:crimson_button minecraft:crimson_stems
meadow:wood_cutter/crimson/crimson_hyphae_door_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:crimson_door minecraft:crimson_stems
meadow:wood_cutter/crimson/crimson_hyphae_fence_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:crimson_fence minecraft:crimson_stems
meadow:wood_cutter/crimson/crimson_hyphae_fencegate_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:crimson_fence_gate minecraft:crimson_stems
meadow:wood_cutter/crimson/crimson_hyphae_planks_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:crimson_planks minecraft:crimson_stems
meadow:wood_cutter/crimson/crimson_hyphae_pp_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:crimson_pressure_plate minecraft:crimson_stems
meadow:wood_cutter/crimson/crimson_hyphae_sign_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:crimson_sign minecraft:crimson_stems
meadow:wood_cutter/crimson/crimson_hyphae_slabs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:crimson_slab minecraft:crimson_stems
meadow:wood_cutter/crimson/crimson_hyphae_stairs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:crimson_stairs minecraft:crimson_stems
meadow:wood_cutter/crimson/crimson_hyphae_trapdoor_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:crimson_stems minecraft:crimson_trapdoor
meadow:wood_cutter/dark_oak/dark_oak_button_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:dark_oak_button minecraft:dark_oak_logs
meadow:wood_cutter/dark_oak/dark_oak_door_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:dark_oak_door minecraft:dark_oak_logs
meadow:wood_cutter/dark_oak/dark_oak_fence_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:dark_oak_fence minecraft:dark_oak_logs
meadow:wood_cutter/dark_oak/dark_oak_fencegate_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:dark_oak_fence_gate minecraft:dark_oak_logs
meadow:wood_cutter/dark_oak/dark_oak_planks_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:dark_oak_logs minecraft:dark_oak_planks
meadow:wood_cutter/dark_oak/dark_oak_pp_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:dark_oak_logs minecraft:dark_oak_pressure_plate
meadow:wood_cutter/dark_oak/dark_oak_sign_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:dark_oak_logs minecraft:dark_oak_sign
meadow:wood_cutter/dark_oak/dark_oak_slabs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:dark_oak_logs minecraft:dark_oak_slab
meadow:wood_cutter/dark_oak/dark_oak_stairs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:dark_oak_logs minecraft:dark_oak_stairs
meadow:wood_cutter/dark_oak/dark_oak_trapdoor_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:dark_oak_logs minecraft:dark_oak_trapdoor
meadow:wood_cutter/jungle/jungle_button_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:jungle_button minecraft:jungle_logs
meadow:wood_cutter/jungle/jungle_door_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:jungle_door minecraft:jungle_logs
meadow:wood_cutter/jungle/jungle_fence_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:jungle_fence minecraft:jungle_logs
meadow:wood_cutter/jungle/jungle_fencegate_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:jungle_fence_gate minecraft:jungle_logs
meadow:wood_cutter/jungle/jungle_planks_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:jungle_logs minecraft:jungle_planks
meadow:wood_cutter/jungle/jungle_pp_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:jungle_logs minecraft:jungle_pressure_plate
meadow:wood_cutter/jungle/jungle_sign_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:jungle_logs minecraft:jungle_sign
meadow:wood_cutter/jungle/jungle_slabs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:jungle_logs minecraft:jungle_slab
meadow:wood_cutter/jungle/jungle_stairs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:jungle_logs minecraft:jungle_stairs
meadow:wood_cutter/jungle/jungle_trapdoor_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:jungle_logs minecraft:jungle_trapdoor
meadow:wood_cutter/mangrove/mangrove_button_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:mangrove_button minecraft:mangrove_logs
meadow:wood_cutter/mangrove/mangrove_door_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:mangrove_door minecraft:mangrove_logs
meadow:wood_cutter/mangrove/mangrove_fence_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:mangrove_fence minecraft:mangrove_logs
meadow:wood_cutter/mangrove/mangrove_fencegate_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:mangrove_fence_gate minecraft:mangrove_logs
meadow:wood_cutter/mangrove/mangrove_planks_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:mangrove_logs minecraft:mangrove_planks
meadow:wood_cutter/mangrove/mangrove_pp_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:mangrove_logs minecraft:mangrove_pressure_plate
meadow:wood_cutter/mangrove/mangrove_sign_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:mangrove_logs minecraft:mangrove_sign
meadow:wood_cutter/mangrove/mangrove_slabs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:mangrove_logs minecraft:mangrove_slab
meadow:wood_cutter/mangrove/mangrove_stairs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:mangrove_logs minecraft:mangrove_stairs
meadow:wood_cutter/mangrove/mangrove_trapdoor_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:mangrove_logs minecraft:mangrove_trapdoor
meadow:wood_cutter/oak/oak_button_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:oak_button minecraft:oak_logs
meadow:wood_cutter/oak/oak_door_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:oak_door minecraft:oak_logs
meadow:wood_cutter/oak/oak_fence_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:oak_fence minecraft:oak_logs
meadow:wood_cutter/oak/oak_fencegate_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:oak_fence_gate minecraft:oak_logs
meadow:wood_cutter/oak/oak_planks_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:oak_logs minecraft:oak_planks
meadow:wood_cutter/oak/oak_pp_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:oak_logs minecraft:oak_pressure_plate
meadow:wood_cutter/oak/oak_sign_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:oak_logs minecraft:oak_sign
meadow:wood_cutter/oak/oak_slabs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:oak_logs minecraft:oak_slab
meadow:wood_cutter/oak/oak_stairs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:oak_logs minecraft:oak_stairs
meadow:wood_cutter/oak/oak_trapdoor_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:oak_logs minecraft:oak_trapdoor
meadow:wood_cutter/pine/pine_beam_woodcutter | meadow:woodcutting | meadow:pine_beam meadow:pine_logs meadow:woodcutting
meadow:wood_cutter/pine/pine_button_woodcutter | meadow:woodcutting | meadow:pine_button meadow:pine_logs meadow:woodcutting
meadow:wood_cutter/pine/pine_door_woodcutter | meadow:woodcutting | meadow:pine_door meadow:pine_logs meadow:woodcutting
meadow:wood_cutter/pine/pine_fence_woodcutter | meadow:woodcutting | meadow:pine_fence meadow:pine_logs meadow:woodcutting
meadow:wood_cutter/pine/pine_fencegate_woodcutter | meadow:woodcutting | meadow:pine_fence_gate meadow:pine_logs meadow:woodcutting
meadow:wood_cutter/pine/pine_planks_woodcutter | meadow:woodcutting | meadow:pine_logs meadow:pine_planks meadow:woodcutting
meadow:wood_cutter/pine/pine_pp_woodcutter | meadow:woodcutting | meadow:pine_logs meadow:pine_pressure_plate meadow:woodcutting
meadow:wood_cutter/pine/pine_railing_woodcutter | meadow:woodcutting | meadow:pine_logs meadow:pine_railing meadow:woodcutting
meadow:wood_cutter/pine/pine_slabs_woodcutter | meadow:woodcutting | meadow:pine_logs meadow:pine_slab meadow:woodcutting
meadow:wood_cutter/pine/pine_stairs_woodcutter | meadow:woodcutting | meadow:pine_logs meadow:pine_stairs meadow:woodcutting
meadow:wood_cutter/pine/pine_trapdoor_woodcutter | meadow:woodcutting | meadow:pine_logs meadow:pine_trapdoor meadow:woodcutting
meadow:wood_cutter/reclaimed_pine/reclaimed_pine_door_woodcutter | meadow:woodcutting | meadow:reclaimed_pine_door meadow:reclaimed_pine_planks meadow:woodcutting
meadow:wood_cutter/reclaimed_pine/reclaimed_pine_planks_woodcutter | meadow:woodcutting | meadow:pine_planks meadow:reclaimed_pine_planks meadow:woodcutting
meadow:wood_cutter/reclaimed_pine/reclaimed_pine_slabs_woodcutter | meadow:woodcutting | meadow:reclaimed_pine_planks meadow:reclaimed_pine_slab meadow:woodcutting
meadow:wood_cutter/reclaimed_pine/reclaimed_pine_stairs_woodcutter | meadow:woodcutting | meadow:reclaimed_pine_planks meadow:reclaimed_pine_stairs meadow:woodcutting
meadow:wood_cutter/reclaimed_pine/reclaimed_pine_trapdoor_woodcutter | meadow:woodcutting | meadow:reclaimed_pine_planks meadow:reclaimed_pine_trapdoor meadow:woodcutting
meadow:wood_cutter/spruce/spruce_button_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:spruce_button minecraft:spruce_logs
meadow:wood_cutter/spruce/spruce_door_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:spruce_door minecraft:spruce_logs
meadow:wood_cutter/spruce/spruce_fence_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:spruce_fence minecraft:spruce_logs
meadow:wood_cutter/spruce/spruce_fencegate_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:spruce_fence_gate minecraft:spruce_logs
meadow:wood_cutter/spruce/spruce_planks_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:spruce_logs minecraft:spruce_planks
meadow:wood_cutter/spruce/spruce_pp_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:spruce_logs minecraft:spruce_pressure_plate
meadow:wood_cutter/spruce/spruce_sign_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:spruce_logs minecraft:spruce_sign
meadow:wood_cutter/spruce/spruce_slabs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:spruce_logs minecraft:spruce_slab
meadow:wood_cutter/spruce/spruce_stairs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:spruce_logs minecraft:spruce_stairs
meadow:wood_cutter/spruce/spruce_trapdoor_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:spruce_logs minecraft:spruce_trapdoor
meadow:wood_cutter/warped/warped_button_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:warped_button minecraft:warped_stems
meadow:wood_cutter/warped/warped_door_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:warped_door minecraft:warped_stems
meadow:wood_cutter/warped/warped_fence_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:warped_fence minecraft:warped_stems
meadow:wood_cutter/warped/warped_fencegate_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:warped_fence_gate minecraft:warped_stems
meadow:wood_cutter/warped/warped_planks_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:warped_planks minecraft:warped_stems
meadow:wood_cutter/warped/warped_pp_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:warped_pressure_plate minecraft:warped_stems
meadow:wood_cutter/warped/warped_sign_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:warped_sign minecraft:warped_stems
meadow:wood_cutter/warped/warped_slabs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:warped_slab minecraft:warped_stems
meadow:wood_cutter/warped/warped_stairs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:warped_stairs minecraft:warped_stems
meadow:wood_cutter/warped/warped_trapdoor_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:warped_stems minecraft:warped_trapdoor
meadow:woodcutter | minecraft:crafting_shaped | meadow:woodcutter minecraft:crafting_shaped minecraft:iron_axe minecraft:logs
meadow:wooden_bucket | minecraft:crafting_shaped | meadow:wooden_bucket minecraft:crafting_shaped minecraft:planks minecraft:wooden_slabs
meadow:wooden_cauldron | minecraft:crafting_shaped | meadow:wooden_cauldron minecraft:crafting_shaped minecraft:iron_ingot minecraft:planks
meadow:wooden_flower_box | minecraft:crafting_shaped | meadow:wooden_flower_box minecraft:crafting_shaped minecraft:dirt minecraft:planks
meadow:wooden_flower_pot | minecraft:crafting_shaped | meadow:wooden_flower_pot_small minecraft:crafting_shaped minecraft:dirt minecraft:planks
meadow:wooden_flower_pot_big | minecraft:crafting_shaped | meadow:wooden_flower_pot_big minecraft:crafting_shaped minecraft:planks
meadow:yellow_dye_from_alpine_poppy | minecraft:crafting_shapeless | meadow:alpine_poppy minecraft:crafting_shapeless minecraft:yellow_dye
