create:acacia_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:acacia_window minecraft:acacia_planks minecraft:crafting_shaped
create:crafting/logistics/yellow_table_cloth_clear | minecraft:crafting_shapeless | create:yellow_table_cloth minecraft:crafting_shapeless
create:crafting/logistics/yellow_table_cloth_from_other_table_cloth | minecraft:crafting_shapeless | c:dyes/yellow create:dyed_table_cloths create:yellow_table_cloth minecraft:crafting_shapeless
create:crafting/materials/andesite_alloy | minecraft:crafting_shaped | c:nuggets/iron create:andesite_alloy minecraft:andesite minecraft:crafting_shaped
create:crafting/materials/andesite_alloy_block | minecraft:crafting_shaped | create:andesite_alloy create:andesite_alloy_block minecraft:crafting_shaped
create:crafting/materials/andesite_alloy_from_block | minecraft:crafting_shapeless | create:andesite_alloy create:andesite_alloy_block minecraft:crafting_shapeless
create:crafting/materials/andesite_alloy_from_zinc | minecraft:crafting_shaped | c:nuggets/zinc create:andesite_alloy minecraft:andesite minecraft:crafting_shaped
create:crafting/materials/bound_cardboard_block | minecraft:crafting_shapeless | c:strings create:bound_cardboard_block create:cardboard_block minecraft:crafting_shapeless
create:crafting/materials/brass_block_from_compacting | minecraft:crafting_shaped | c:ingots/brass create:brass_block minecraft:crafting_shaped
create:crafting/materials/brass_ingot_from_compacting | minecraft:crafting_shaped | c:nuggets/brass create:brass_ingot minecraft:crafting_shaped
create:crafting/materials/brass_ingot_from_decompacting | minecraft:crafting_shapeless | c:storage_blocks/brass create:brass_ingot minecraft:crafting_shapeless
create:crafting/materials/brass_nugget_from_decompacting | minecraft:crafting_shapeless | c:ingots/brass create:brass_nugget minecraft:crafting_shapeless
create:crafting/materials/cardboard_block | minecraft:crafting_shaped | create:cardboard create:cardboard_block minecraft:crafting_shaped
create:crafting/materials/cardboard_from_block | minecraft:crafting_shapeless | create:cardboard create:cardboard_block minecraft:crafting_shapeless
create:crafting/materials/cardboard_from_bound_block | minecraft:crafting_shapeless | create:bound_cardboard_block create:cardboard minecraft:crafting_shapeless
create:crafting/materials/copper_ingot | minecraft:crafting_shaped | c:nuggets/copper minecraft:copper_ingot minecraft:crafting_shaped
create:crafting/materials/copper_nugget | minecraft:crafting_shapeless | c:ingots/copper create:copper_nugget minecraft:crafting_shapeless
create:crafting/materials/electron_tube | minecraft:crafting_shaped | c:plates/iron create:electron_tube create:polished_rose_quartz minecraft:crafting_shaped
create:crafting/materials/experience_block | minecraft:crafting_shaped | create:experience_block create:experience_nugget minecraft:crafting_shaped
create:crafting/materials/experience_nugget_from_block | minecraft:crafting_shapeless | create:experience_block create:experience_nugget minecraft:crafting_shapeless
create:crafting/materials/raw_zinc | minecraft:crafting_shapeless | create:raw_zinc create:raw_zinc_block minecraft:crafting_shapeless
create:crafting/materials/raw_zinc_block | minecraft:crafting_shaped | create:raw_zinc create:raw_zinc_block minecraft:crafting_shaped
create:crafting/materials/red_sand_paper | minecraft:crafting_shapeless | c:sands/red create:red_sand_paper minecraft:crafting_shapeless minecraft:paper
create:crafting/materials/rose_quartz | minecraft:crafting_shapeless | c:dusts/redstone c:gems/quartz create:rose_quartz minecraft:crafting_shapeless
create:crafting/materials/rose_quartz_tiles_from_conversion | minecraft:crafting_shapeless | create:rose_quartz_tiles create:small_rose_quartz_tiles minecraft:crafting_shapeless
create:crafting/materials/sand_paper | minecraft:crafting_shapeless | c:sands/colorless create:sand_paper minecraft:crafting_shapeless minecraft:paper
create:crafting/materials/small_rose_quartz_tiles_from_conversion | minecraft:crafting_shapeless | create:rose_quartz_tiles create:small_rose_quartz_tiles minecraft:crafting_shapeless
create:crafting/materials/transmitter | minecraft:crafting_shaped | c:dusts/redstone c:plates/copper create:transmitter minecraft:crafting_shaped minecraft:lightning_rod
create:crafting/materials/zinc_block_from_compacting | minecraft:crafting_shaped | c:ingots/zinc create:zinc_block minecraft:crafting_shaped
create:crafting/materials/zinc_ingot_from_compacting | minecraft:crafting_shaped | c:nuggets/zinc create:zinc_ingot minecraft:crafting_shaped
create:crafting/materials/zinc_ingot_from_decompacting | minecraft:crafting_shapeless | c:storage_blocks/zinc create:zinc_ingot minecraft:crafting_shapeless
create:crafting/materials/zinc_nugget_from_decompacting | minecraft:crafting_shapeless | c:ingots/zinc create:zinc_nugget minecraft:crafting_shapeless
create:crafting/palettes/scorchia | minecraft:crafting_shaped | c:dyes/black create:scorchia create:scoria minecraft:crafting_shaped
create:crafting/schematics/empty_schematic | minecraft:crafting_shapeless | c:dyes/light_blue create:empty_schematic minecraft:crafting_shapeless minecraft:paper
create:crafting/schematics/schematic_and_quill | minecraft:crafting_shapeless | c:feathers create:empty_schematic create:schematic_and_quill minecraft:crafting_shapeless
create:crafting/schematics/schematic_table | minecraft:crafting_shaped | create:schematic_table minecraft:crafting_shaped minecraft:smooth_stone minecraft:wooden_slabs
create:crafting/schematics/schematicannon | minecraft:crafting_shaped | create:schematicannon minecraft:crafting_shaped minecraft:dispenser minecraft:iron_block minecraft:logs minecraft:smooth_stone
create:crafting/tree_fertilizer | minecraft:crafting_shapeless | create:tree_fertilizer create:upgrade_aquatic/coral minecraft:bone_meal minecraft:crafting_shapeless minecraft:small_flowers neoforge:mod_loaded
create:crimsite_from_stone_types_crimsite_stonecutting | minecraft:stonecutting | create:crimsite create:stone_types/crimsite minecraft:stonecutting
create:crimsite_pillar_from_stone_types_crimsite_stonecutting | minecraft:stonecutting | create:crimsite_pillar create:stone_types/crimsite minecraft:stonecutting
create:crimson_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:crimson_window minecraft:crafting_shaped minecraft:crimson_planks
create:crimson_window_pane | minecraft:crafting_shaped | create:crimson_window create:crimson_window_pane minecraft:crafting_shaped
create:crushing/aluminum_ore | create:crushing | c:ores/aluminum create:crushed_raw_aluminum create:crushing create:experience_nugget neoforge:not neoforge:tag_empty
create:crushing/amethyst_block | create:crushing | create:crushing minecraft:amethyst_block minecraft:amethyst_shard
create:crushing/amethyst_cluster | create:crushing | create:crushing minecraft:amethyst_cluster minecraft:amethyst_shard
create:crushing/asurine | create:crushing | create:asurine create:crushed_raw_zinc create:crushing create:zinc_nugget
create:crushing/asurine_recycling | create:crushing | create:crushed_raw_zinc create:crushing create:stone_types/asurine create:zinc_nugget
create:crushing/blaze_rod | create:crushing | create:crushing minecraft:blaze_powder minecraft:blaze_rod
create:crushing/coal_ore | create:crushing | create:crushing create:experience_nugget minecraft:coal minecraft:coal_ore minecraft:cobblestone
create:crushing/compat/aether/ambrosium_ore | create:crushing | aether:ambrosium_ore aether:ambrosium_shard aether:holystone create:crushing create:experience_nugget neoforge:compound neoforge:mod_loaded
create:crushing/compat/aether/zanite_ore | create:crushing | aether:holystone aether:zanite_gemstone aether:zanite_ore create:crushing create:experience_nugget neoforge:compound neoforge:mod_loaded
create:crushing/compat/biomesoplenty/rose_quartz | create:crushing | biomesoplenty:rose_quartz_chunk biomesoplenty:rose_quartz_cluster create:crushing neoforge:compound neoforge:mod_loaded
create:crushing/compat/biomeswevegone/red_rock | create:crushing | biomeswevegone:red_rock create:crushing minecraft:red_sand neoforge:compound neoforge:mod_loaded
create:crushing/compat/druidcraft/amber_ore | create:crushing | create:crushing druidcraft:amber druidcraft:amber_ore minecraft:cobblestone neoforge:compound neoforge:mod_loaded
create:crushing/compat/druidcraft/fiery_glass_ore | create:crushing | create:crushing druidcraft:fiery_glass druidcraft:fiery_glass_ore minecraft:cobblestone neoforge:compound neoforge:mod_loaded
create:crushing/compat/druidcraft/moonstone_ore | create:crushing | create:crushing druidcraft:moonstone druidcraft:moonstone_ore minecraft:cobblestone neoforge:compound neoforge:mod_loaded
create:crushing/compat/elementaryores/ore_coal_end | create:crushing | create:crushing create:experience_nugget elementaryores:ore_coal_end minecraft:coal minecraft:end_stone neoforge:compound neoforge:mod_loaded
create:crushing/compat/elementaryores/ore_coal_nether | create:crushing | create:crushing create:experience_nugget elementaryores:ore_coal_nether minecraft:coal minecraft:netherrack neoforge:compound neoforge:mod_loaded
create:crushing/compat/elementaryores/ore_copper_end | create:crushing | create:crushed_raw_copper create:crushing create:experience_nugget elementaryores:ore_copper_end minecraft:end_stone neoforge:compound neoforge:mod_loaded
create:crushing/compat/elementaryores/ore_copper_nether | create:crushing | create:crushed_raw_copper create:crushing create:experience_nugget elementaryores:ore_copper_nether minecraft:netherrack neoforge:compound neoforge:mod_loaded
create:crushing/compat/elementaryores/ore_diamond_end | create:crushing | create:crushing create:experience_nugget elementaryores:ore_diamond_end minecraft:diamond minecraft:end_stone neoforge:compound neoforge:mod_loaded
create:crushing/compat/elementaryores/ore_diamond_nether | create:crushing | create:crushing create:experience_nugget elementaryores:ore_diamond_nether minecraft:diamond minecraft:netherrack neoforge:compound neoforge:mod_loaded
create:crushing/compat/elementaryores/ore_emerald_end | create:crushing | create:crushing create:experience_nugget elementaryores:ore_emerald_end minecraft:emerald minecraft:end_stone neoforge:compound neoforge:mod_loaded
create:crushing/compat/elementaryores/ore_emerald_nether | create:crushing | create:crushing create:experience_nugget elementaryores:ore_emerald_nether minecraft:emerald minecraft:netherrack neoforge:compound neoforge:mod_loaded
create:crushing/compat/elementaryores/ore_ender_end | create:crushing | create:crushing create:experience_nugget elementaryores:ore_ender_end minecraft:end_stone minecraft:ender_pearl neoforge:compound neoforge:mod_loaded
create:crushing/compat/elementaryores/ore_ghast_nether | create:crushing | create:crushing create:experience_nugget elementaryores:ore_ghast_nether minecraft:ghast_tear minecraft:netherrack neoforge:compound neoforge:mod_loaded
create:crushing/compat/elementaryores/ore_iron_nether | create:crushing | create:crushed_raw_iron create:crushing create:experience_nugget elementaryores:ore_iron_nether minecraft:netherrack neoforge:compound neoforge:mod_loaded
create:crushing/compat/elementaryores/ore_lapis_end | create:crushing | create:crushing create:experience_nugget elementaryores:ore_lapis_end minecraft:end_stone minecraft:lapis_lazuli neoforge:compound neoforge:mod_loaded
create:crushing/compat/elementaryores/ore_lapis_nether | create:crushing | create:crushing create:experience_nugget elementaryores:ore_lapis_nether minecraft:lapis_lazuli minecraft:netherrack neoforge:compound neoforge:mod_loaded
create:crushing/compat/elementaryores/ore_redstone_end | create:crushing | create:crushing create:experience_nugget elementaryores:ore_redstone_end minecraft:end_stone minecraft:redstone neoforge:compound neoforge:mod_loaded
create:crushing/compat/exnihilosequentia/andesite | create:crushing | create:crushing exnihilosequentia:crushed_andesite minecraft:andesite neoforge:compound neoforge:mod_loaded
create:crushing/compat/exnihilosequentia/crushed_diorite | create:crushing | create:crushing exnihilosequentia:crushed_diorite minecraft:quartz neoforge:compound neoforge:mod_loaded
create:crushing/compat/exnihilosequentia/crushed_netherrack | create:crushing | create:cinder_flour create:crushing exnihilosequentia:crushed_netherrack neoforge:compound neoforge:mod_loaded
create:crushing/compat/exnihilosequentia/diorite | create:crushing | create:crushing exnihilosequentia:crushed_diorite minecraft:diorite neoforge:compound neoforge:mod_loaded
create:crushing/compat/exnihilosequentia/dust | create:crushing | create:crushing exnihilosequentia:dust minecraft:sand neoforge:mod_loaded
create:crushing/compat/exnihilosequentia/end_stone | create:crushing | create:crushing exnihilosequentia:crushed_end_stone minecraft:end_stone neoforge:compound neoforge:mod_loaded
create:crushing/compat/exnihilosequentia/granite | create:crushing | create:crushing exnihilosequentia:crushed_granite minecraft:granite neoforge:compound neoforge:mod_loaded
create:crushing/compat/exnihilosequentia/netherrack | create:crushing | create:crushing exnihilosequentia:crushed_netherrack minecraft:netherrack neoforge:compound neoforge:mod_loaded
create:crushing/compat/galosphere/allurite | create:crushing | create:crushing create:stone_types/galosphere/allurite galosphere:allurite_shard neoforge:mod_loaded
create:crushing/compat/galosphere/amethyst | create:crushing | create:crushing create:stone_types/galosphere/amethyst minecraft:amethyst_shard neoforge:mod_loaded
create:crushing/compat/galosphere/lumiere | create:crushing | create:crushing create:stone_types/galosphere/lumiere galosphere:lumiere_shard neoforge:mod_loaded
create:crushing/compat/immersiveengineering/coal_coke | create:crushing | create:crushing immersiveengineering:coal_coke immersiveengineering:dust_coke neoforge:compound neoforge:mod_loaded
create:crushing/compat/immersiveengineering/coke_block | create:crushing | create:crushing immersiveengineering:coke immersiveengineering:dust_coke neoforge:compound neoforge:mod_loaded
create:crushing/compat/immersiveengineering/slag | create:crushing | create:crushing immersiveengineering:slag immersiveengineering:slag_gravel neoforge:compound neoforge:mod_loaded
create:crushing/compat/neapolitan/ice | create:crushing | create:crushing minecraft:ice neapolitan:ice_cubes neoforge:mod_loaded
create:crushing/compat/quark/moss_block | create:crushing | create:crushing minecraft:moss_block neoforge:mod_loaded quark:moss_paste
create:crushing/compat/silentgems/alexandrite_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:alexandrite silentgems:alexandrite_ore
create:crushing/compat/silentgems/ammolite_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:ammolite silentgems:ammolite_ore
create:crushing/compat/silentgems/aquamarine_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:aquamarine silentgems:aquamarine_ore
create:crushing/compat/silentgems/black_diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:black_diamond silentgems:black_diamond_ore
create:crushing/compat/silentgems/carnelian_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:carnelian silentgems:carnelian_ore
create:crushing/compat/silentgems/citrine_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:citrine silentgems:citrine_ore
create:crushing/compat/silentgems/deepslate_alexandrite_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:alexandrite silentgems:deepslate_alexandrite_ore
create:crushing/compat/silentgems/deepslate_ammolite_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:ammolite silentgems:deepslate_ammolite_ore
create:crushing/compat/silentgems/deepslate_aquamarine_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:aquamarine silentgems:deepslate_aquamarine_ore
create:crushing/compat/silentgems/deepslate_black_diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:black_diamond silentgems:deepslate_black_diamond_ore
create:crushing/compat/silentgems/deepslate_carnelian_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:carnelian silentgems:deepslate_carnelian_ore
create:crushing/compat/silentgems/deepslate_citrine_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:citrine silentgems:deepslate_citrine_ore
create:crushing/compat/silentgems/deepslate_garnet_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:deepslate_garnet_ore silentgems:garnet
create:crushing/compat/silentgems/deepslate_heliodor_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:deepslate_heliodor_ore silentgems:heliodor
create:crushing/compat/silentgems/deepslate_iolite_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:deepslate_iolite_ore silentgems:iolite
create:crushing/compat/silentgems/deepslate_kyanite_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:deepslate_kyanite_ore silentgems:kyanite
create:crushing/compat/silentgems/deepslate_moldavite_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:deepslate_moldavite_ore silentgems:moldavite
create:crushing/compat/silentgems/deepslate_opal_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:deepslate_opal_ore silentgems:opal
create:crushing/compat/silentgems/deepslate_pearl_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:deepslate_pearl_ore silentgems:pearl
create:crushing/compat/silentgems/deepslate_peridot_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:deepslate_peridot_ore silentgems:peridot
create:crushing/compat/silentgems/deepslate_rose_quartz_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:deepslate_rose_quartz_ore silentgems:rose_quartz
create:crushing/compat/silentgems/deepslate_ruby_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:deepslate_ruby_ore silentgems:ruby
create:crushing/compat/silentgems/deepslate_sapphire_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:deepslate_sapphire_ore silentgems:sapphire
create:crushing/compat/silentgems/deepslate_tanzanite_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:deepslate_tanzanite_ore silentgems:tanzanite
create:crushing/compat/silentgems/deepslate_topaz_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:deepslate_topaz_ore silentgems:topaz
create:crushing/compat/silentgems/deepslate_turquoise_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:deepslate_turquoise_ore silentgems:turquoise
create:crushing/compat/silentgems/deepslate_white_diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobbled_deepslate neoforge:compound neoforge:mod_loaded silentgems:deepslate_white_diamond_ore silentgems:white_diamond
create:crushing/compat/silentgems/end_alexandrite_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:alexandrite silentgems:end_alexandrite_ore
create:crushing/compat/silentgems/end_ammolite_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:ammolite silentgems:end_ammolite_ore
create:crushing/compat/silentgems/end_aquamarine_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:aquamarine silentgems:end_aquamarine_ore
create:crushing/compat/silentgems/end_black_diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:black_diamond silentgems:end_black_diamond_ore
create:crushing/compat/silentgems/end_carnelian_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:carnelian silentgems:end_carnelian_ore
create:crushing/compat/silentgems/end_citrine_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:citrine silentgems:end_citrine_ore
create:crushing/compat/silentgems/end_garnet_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:end_garnet_ore silentgems:garnet
create:crushing/compat/silentgems/end_heliodor_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:end_heliodor_ore silentgems:heliodor
create:crushing/compat/silentgems/end_iolite_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:end_iolite_ore silentgems:iolite
create:crushing/compat/silentgems/end_kyanite_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:end_kyanite_ore silentgems:kyanite
create:crushing/compat/silentgems/end_moldavite_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:end_moldavite_ore silentgems:moldavite
create:crushing/compat/silentgems/end_opal_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:end_opal_ore silentgems:opal
create:crushing/compat/silentgems/end_pearl_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:end_pearl_ore silentgems:pearl
create:crushing/compat/silentgems/end_peridot_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:end_peridot_ore silentgems:peridot
create:crushing/compat/silentgems/end_rose_quartz_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:end_rose_quartz_ore silentgems:rose_quartz
create:crushing/compat/silentgems/end_ruby_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:end_ruby_ore silentgems:ruby
create:crushing/compat/silentgems/end_sapphire_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:end_sapphire_ore silentgems:sapphire
create:crushing/compat/silentgems/end_tanzanite_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:end_tanzanite_ore silentgems:tanzanite
create:crushing/compat/silentgems/end_topaz_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:end_topaz_ore silentgems:topaz
create:crushing/compat/silentgems/end_turquoise_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:end_turquoise_ore silentgems:turquoise
create:crushing/compat/silentgems/end_white_diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:end_stone neoforge:compound neoforge:mod_loaded silentgems:end_white_diamond_ore silentgems:white_diamond
create:crushing/compat/silentgems/garnet_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:garnet silentgems:garnet_ore
create:crushing/compat/silentgems/heliodor_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:heliodor silentgems:heliodor_ore
create:crushing/compat/silentgems/iolite_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:iolite silentgems:iolite_ore
create:crushing/compat/silentgems/kyanite_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:kyanite silentgems:kyanite_ore
create:crushing/compat/silentgems/moldavite_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:moldavite silentgems:moldavite_ore
create:crushing/compat/silentgems/nether_alexandrite_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:alexandrite silentgems:nether_alexandrite_ore
create:crushing/compat/silentgems/nether_ammolite_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:ammolite silentgems:nether_ammolite_ore
create:crushing/compat/silentgems/nether_aquamarine_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:aquamarine silentgems:nether_aquamarine_ore
create:crushing/compat/silentgems/nether_black_diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:black_diamond silentgems:nether_black_diamond_ore
create:crushing/compat/silentgems/nether_carnelian_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:carnelian silentgems:nether_carnelian_ore
create:crushing/compat/silentgems/nether_citrine_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:citrine silentgems:nether_citrine_ore
create:crushing/compat/silentgems/nether_garnet_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:garnet silentgems:nether_garnet_ore
create:crushing/compat/silentgems/nether_heliodor_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:heliodor silentgems:nether_heliodor_ore
create:crushing/compat/silentgems/nether_iolite_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:iolite silentgems:nether_iolite_ore
create:crushing/compat/silentgems/nether_kyanite_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:kyanite silentgems:nether_kyanite_ore
create:crushing/compat/silentgems/nether_moldavite_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:moldavite silentgems:nether_moldavite_ore
create:crushing/compat/silentgems/nether_opal_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:nether_opal_ore silentgems:opal
create:crushing/compat/silentgems/nether_pearl_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:nether_pearl_ore silentgems:pearl
create:crushing/compat/silentgems/nether_peridot_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:nether_peridot_ore silentgems:peridot
create:crushing/compat/silentgems/nether_rose_quartz_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:nether_rose_quartz_ore silentgems:rose_quartz
create:crushing/compat/silentgems/nether_ruby_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:nether_ruby_ore silentgems:ruby
create:crushing/compat/silentgems/nether_sapphire_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:nether_sapphire_ore silentgems:sapphire
create:crushing/compat/silentgems/nether_tanzanite_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:nether_tanzanite_ore silentgems:tanzanite
create:crushing/compat/silentgems/nether_topaz_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:nether_topaz_ore silentgems:topaz
create:crushing/compat/silentgems/nether_turquoise_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:nether_turquoise_ore silentgems:turquoise
create:crushing/compat/silentgems/nether_white_diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:netherrack neoforge:compound neoforge:mod_loaded silentgems:nether_white_diamond_ore silentgems:white_diamond
create:crushing/compat/silentgems/opal_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:opal silentgems:opal_ore
create:crushing/compat/silentgems/pearl_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:pearl silentgems:pearl_ore
create:crushing/compat/silentgems/peridot_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:peridot silentgems:peridot_ore
create:crushing/compat/silentgems/rose_quartz_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:rose_quartz silentgems:rose_quartz_ore
create:crushing/compat/silentgems/ruby_ore | create:crushing | create:crushing create:experience_nugget minecraft:cobblestone neoforge:compound neoforge:mod_loaded silentgems:ruby silentgems:ruby_ore
