travelersbackpack:backpack_tank | minecraft:crafting_shaped | c:glass_blocks/colorless c:ingots/iron minecraft:crafting_shaped travelersbackpack:backpack_tank
travelersbackpack:smoker_upgrade | minecraft:crafting_shaped | c:chests/wooden minecraft:crafting_shaped minecraft:smoker travelersbackpack:blank_upgrade travelersbackpack:smoker_upgrade
travelersbackpack:snow | travelersbackpack:backpack_shaped | minecraft:ice minecraft:snow_block minecraft:snowball travelersbackpack:backpack_shaped travelersbackpack:snow travelersbackpack:standard
travelersbackpack:snow_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:snow
travelersbackpack:spider | travelersbackpack:backpack_shaped | minecraft:spider_eye minecraft:string travelersbackpack:backpack_shaped travelersbackpack:spider travelersbackpack:standard
travelersbackpack:spider_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:spider
travelersbackpack:sponge | travelersbackpack:backpack_shaped | minecraft:sponge travelersbackpack:backpack_shaped travelersbackpack:sponge travelersbackpack:standard
travelersbackpack:sponge_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:sponge
travelersbackpack:squid | travelersbackpack:backpack_shaped | minecraft:glow_ink_sac minecraft:ink_sac travelersbackpack:backpack_shaped travelersbackpack:squid travelersbackpack:standard
travelersbackpack:squid_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:squid
travelersbackpack:standard | travelersbackpack:backpack_shaped | c:chests/wooden c:leathers c:strings travelersbackpack:backpack_shaped travelersbackpack:backpack_tank travelersbackpack:sleeping_bags travelersbackpack:standard
travelersbackpack:standard_no_tanks | travelersbackpack:backpack_shaped | c:chests/wooden c:leathers c:strings travelersbackpack:backpack_shaped travelersbackpack:sleeping_bags travelersbackpack:standard
travelersbackpack:standard_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:standard
travelersbackpack:tanks_upgrade | minecraft:crafting_shaped | minecraft:crafting_shaped travelersbackpack:backpack_tank travelersbackpack:blank_upgrade travelersbackpack:tanks_upgrade
travelersbackpack:villager_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:villager
travelersbackpack:void_upgrade | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped minecraft:lava_bucket travelersbackpack:blank_upgrade travelersbackpack:void_upgrade
travelersbackpack:warden | travelersbackpack:backpack_shaped | minecraft:echo_shard minecraft:ward_armor_trim_smithing_template travelersbackpack:backpack_shaped travelersbackpack:standard travelersbackpack:warden
travelersbackpack:warden_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:warden
travelersbackpack:white_sleeping_bag | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:white_wool travelersbackpack:white_sleeping_bag
travelersbackpack:wither | travelersbackpack:backpack_shaped | minecraft:soul_sand minecraft:wither_skeleton_skull travelersbackpack:backpack_shaped travelersbackpack:standard travelersbackpack:wither
travelersbackpack:wither_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:wither
travelersbackpack:wolf | travelersbackpack:backpack_shaped | c:bones travelersbackpack:backpack_shaped travelersbackpack:standard travelersbackpack:wolf
travelersbackpack:wolf_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:wolf
travelersbackpack:yellow_sleeping_bag | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:white_wool minecraft:yellow_wool travelersbackpack:yellow_sleeping_bag
