createfood:crafting/shaped/apple_cream_cake_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting_piping_bag c:cake_base createfood:apple_cream_cake createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/raw_berry_pie_from_shaped | minecraft:crafting_shaped | c:berry_pie_filling_bucket c:raw_pie_crust createfood:enabled createfood:raw_berry_pie minecraft:crafting_shaped
createfood:crafting/shaped/raw_cheese_calzone_from_shaped | minecraft:crafting_shaped | c:cheeses c:raw_calzone createfood:enabled createfood:raw_cheese_calzone minecraft:crafting_shaped
createfood:crafting/shaped/raw_cheese_pizza_from_shaped | minecraft:crafting_shaped | c:cheeses c:pizza_dough_tomato_sauce createfood:enabled createfood:raw_cheese_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_cheesecake_from_shaped | minecraft:crafting_shaped | c:cheesecake_filling_bucket c:raw_graham_cracker_pie_crust createfood:enabled createfood:raw_cheesecake minecraft:crafting_shaped
createfood:crafting/shaped/raw_chicken_calzone_from_shaped | minecraft:crafting_shaped | c:cooked_chicken c:raw_cheese_calzone createfood:enabled createfood:raw_chicken_calzone minecraft:crafting_shaped
createfood:crafting/shaped/raw_chocolate_pastry_base_from_shaped | minecraft:crafting_shaped | c:butter c:chocolate_sweet_dough createfood:enabled createfood:raw_chocolate_pastry_base minecraft:crafting_shaped
createfood:crafting/shaped/raw_chocolate_pie_from_shaped | minecraft:crafting_shaped | c:chocolate_bottle c:raw_pie_crust createfood:enabled createfood:raw_chocolate_pie minecraft:crafting_shaped
createfood:crafting/shaped/raw_chocolate_pie_graham_cracker_from_shaped | minecraft:crafting_shaped | c:chocolate_bottle c:raw_graham_cracker_pie_crust createfood:enabled createfood:raw_chocolate_pie_graham_cracker minecraft:crafting_shaped
createfood:crafting/shaped/raw_chocolate_sweet_roll_base_from_shaped | minecraft:crafting_shaped | c:chocolate_sweet_dough c:sugar createfood:enabled createfood:raw_chocolate_sweet_roll_base minecraft:crafting_shaped
createfood:crafting/shaped/raw_chorus_fruit_cheesecake_from_shaped | minecraft:crafting_shaped | c:chorus_fruit c:raw_cheesecake createfood:enabled createfood:raw_chorus_fruit_cheesecake minecraft:crafting_shaped
createfood:crafting/shaped/raw_chorus_fruit_pie_from_shaped | minecraft:crafting_shaped | c:chorus_fruit_pie_filling_bucket c:raw_pie_crust createfood:enabled createfood:raw_chorus_fruit_pie minecraft:crafting_shaped
createfood:crafting/shaped/raw_cream_pie_chocolate_graham_cracker_from_shaped | minecraft:crafting_shaped | c:cream_pie_filling_bucket c:raw_chocolate_graham_cracker_pie_crust createfood:enabled createfood:raw_cream_pie_chocolate_graham_cracker minecraft:crafting_shaped
createfood:crafting/shaped/raw_cream_pie_graham_cracker_from_shaped | minecraft:crafting_shaped | c:cream_pie_filling_bucket c:raw_graham_cracker_pie_crust createfood:enabled createfood:raw_cream_pie_graham_cracker minecraft:crafting_shaped
createfood:crafting/shaped/raw_fish_bacon_pizza_from_shaped | minecraft:crafting_shaped | c:cooked_pork c:raw_fish_pizza createfood:enabled createfood:raw_fish_bacon_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_fish_bacon_pizza_from_shaped_alt_2 | minecraft:crafting_shaped | c:cooked_fishes c:raw_bacon_pizza createfood:enabled createfood:raw_fish_bacon_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_fish_calzone_from_shaped | minecraft:crafting_shaped | c:cooked_fishes c:raw_cheese_calzone createfood:enabled createfood:raw_fish_calzone minecraft:crafting_shaped
createfood:crafting/shaped/raw_fish_onion_pizza_from_shaped | minecraft:crafting_shaped | c:onion c:raw_fish_pizza createfood:enabled createfood:raw_fish_onion_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_fish_onion_pizza_from_shaped_alt_2 | minecraft:crafting_shaped | c:cooked_fishes c:raw_onion_pizza createfood:enabled createfood:raw_fish_onion_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_fish_pizza_from_shaped | minecraft:crafting_shaped | c:cooked_fishes c:raw_cheese_pizza createfood:enabled createfood:raw_fish_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_glow_berry_cheesecake_from_shaped | minecraft:crafting_shaped | c:raw_cheesecake createfood:enabled createfood:raw_glow_berry_cheesecake minecraft:crafting_shaped minecraft:glow_berries
createfood:crafting/shaped/raw_glow_berry_pie_from_shaped | minecraft:crafting_shaped | c:glow_berry_pie_filling_bucket c:raw_pie_crust createfood:enabled createfood:raw_glow_berry_pie minecraft:crafting_shaped
createfood:crafting/shaped/raw_meat_pie_from_shaped | minecraft:crafting_shaped | c:meat_pie_filling c:raw_pie_crust createfood:enabled createfood:raw_meat_pie minecraft:crafting_shaped
createfood:crafting/shaped/raw_mushroom_bacon_pizza_from_shaped | minecraft:crafting_shaped | c:cooked_pork c:raw_mushroom_pizza createfood:enabled createfood:raw_mushroom_bacon_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_mushroom_bacon_pizza_from_shaped_alt_2 | minecraft:crafting_shaped | c:mushrooms c:raw_bacon_pizza createfood:enabled createfood:raw_mushroom_bacon_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_mushroom_calzone_from_shaped | minecraft:crafting_shaped | c:mushrooms c:raw_cheese_calzone createfood:enabled createfood:raw_mushroom_calzone minecraft:crafting_shaped
createfood:crafting/shaped/raw_mushroom_fish_pizza_from_shaped | minecraft:crafting_shaped | c:cooked_fishes c:raw_mushroom_pizza createfood:enabled createfood:raw_mushroom_fish_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_mushroom_fish_pizza_from_shaped_alt_2 | minecraft:crafting_shaped | c:mushrooms c:raw_fish_pizza createfood:enabled createfood:raw_mushroom_fish_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_mushroom_onion_pizza_from_shaped | minecraft:crafting_shaped | c:onion c:raw_mushroom_pizza createfood:enabled createfood:raw_mushroom_onion_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_mushroom_onion_pizza_from_shaped_alt_2 | minecraft:crafting_shaped | c:mushrooms c:raw_onion_pizza createfood:enabled createfood:raw_mushroom_onion_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_mushroom_pizza_from_shaped | minecraft:crafting_shaped | c:mushrooms c:raw_cheese_pizza createfood:enabled createfood:raw_mushroom_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_mutton_calzone_from_shaped | minecraft:crafting_shaped | c:gyro_mutton_ingredient c:raw_cheese_calzone createfood:enabled createfood:raw_mutton_calzone minecraft:crafting_shaped
createfood:crafting/shaped/raw_onion_bacon_pizza_from_shaped | minecraft:crafting_shaped | c:cooked_pork c:raw_onion_pizza createfood:enabled createfood:raw_onion_bacon_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_onion_bacon_pizza_from_shaped_alt_2 | minecraft:crafting_shaped | c:onion c:raw_bacon_pizza createfood:enabled createfood:raw_onion_bacon_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_onion_calzone_from_shaped | minecraft:crafting_shaped | c:onion c:raw_cheese_calzone createfood:enabled createfood:raw_onion_calzone minecraft:crafting_shaped
createfood:crafting/shaped/raw_onion_pizza_from_shaped | minecraft:crafting_shaped | c:onion c:raw_cheese_pizza createfood:enabled createfood:raw_onion_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_pastry_base_from_shaped | minecraft:crafting_shaped | c:butter c:sweet_dough createfood:enabled createfood:raw_pastry_base minecraft:crafting_shaped
createfood:crafting/shaped/raw_pumpkin_pie_from_shaped | minecraft:crafting_shaped | c:pumpkin_pie_filling_bucket c:raw_pie_crust createfood:enabled createfood:raw_pumpkin_pie minecraft:crafting_shaped
createfood:crafting/shaped/raw_rabbit_calzone_from_shaped | minecraft:crafting_shaped | c:cooked_rabbit c:raw_cheese_calzone createfood:enabled createfood:raw_rabbit_calzone minecraft:crafting_shaped
createfood:crafting/shaped/raw_sausage_bacon_pizza_from_shaped | minecraft:crafting_shaped | c:cooked_pork c:raw_sausage_pizza createfood:enabled createfood:raw_sausage_bacon_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_sausage_bacon_pizza_from_shaped_alt_2 | minecraft:crafting_shaped | c:raw_bacon_pizza c:sausages createfood:enabled createfood:raw_sausage_bacon_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_sausage_calzone_from_shaped | minecraft:crafting_shaped | c:raw_cheese_calzone c:sausages createfood:enabled createfood:raw_sausage_calzone minecraft:crafting_shaped
createfood:crafting/shaped/raw_sausage_fish_pizza_from_shaped | minecraft:crafting_shaped | c:cooked_fishes c:raw_sausage_pizza createfood:enabled createfood:raw_sausage_fish_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_sausage_fish_pizza_from_shaped_alt_2 | minecraft:crafting_shaped | c:raw_fish_pizza c:sausages createfood:enabled createfood:raw_sausage_fish_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_sausage_mushroom_pizza_from_shaped | minecraft:crafting_shaped | c:mushrooms c:raw_sausage_pizza createfood:enabled createfood:raw_sausage_mushroom_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_sausage_mushroom_pizza_from_shaped_alt_2 | minecraft:crafting_shaped | c:raw_mushroom_pizza c:sausages createfood:enabled createfood:raw_sausage_mushroom_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_sausage_onion_pizza_from_shaped | minecraft:crafting_shaped | c:onion c:raw_sausage_pizza createfood:enabled createfood:raw_sausage_onion_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_sausage_onion_pizza_from_shaped_alt_2 | minecraft:crafting_shaped | c:raw_onion_pizza c:sausages createfood:enabled createfood:raw_sausage_onion_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_sausage_pizza_from_shaped | minecraft:crafting_shaped | c:raw_cheese_pizza c:sausages createfood:enabled createfood:raw_sausage_pizza minecraft:crafting_shaped
createfood:crafting/shaped/raw_sausage_roll_from_shaped | minecraft:crafting_shaped | c:butter_dough c:raw_sausages createfood:enabled createfood:raw_sausage_roll minecraft:crafting_shaped
createfood:crafting/shaped/raw_scone_from_shaped | minecraft:crafting_shaped | c:butter_dough_small c:sugar_dough_small createfood:enabled createfood:raw_scone minecraft:crafting_shaped
createfood:crafting/shaped/raw_spicy_sausage_roll_from_shaped | minecraft:crafting_shaped | c:butter_dough c:raw_spicy_sausages createfood:enabled createfood:raw_spicy_sausage_roll minecraft:crafting_shaped
createfood:crafting/shaped/raw_spicy_sausages_from_shaped | minecraft:crafting_shaped | c:paprika c:raw_sausages createfood:enabled createfood:raw_spicy_sausages minecraft:crafting_shaped
createfood:crafting/shaped/raw_sweet_roll_base_from_shaped | minecraft:crafting_shaped | c:sugar c:sweet_dough createfood:enabled createfood:raw_sweet_roll_base minecraft:crafting_shaped
createfood:crafting/shaped/red_gelatin_dessert_block_from_shaped_alt | minecraft:crafting_shaped | c:dyes/red c:gelatin_dessert_block createfood:enabled createfood:red_gelatin_dessert_block minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_bacon_from_shaped | minecraft:crafting_shaped | c:cooked_pork c:sausage_biscuit createfood:enabled createfood:sausage_biscuit_bacon minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_cheese_bacon_from_shaped | minecraft:crafting_shaped | c:cooked_pork c:sausage_biscuit_cheese createfood:enabled createfood:sausage_biscuit_cheese_bacon minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_cheese_bacon_from_shaped_alt | minecraft:crafting_shaped | c:cheeses c:sausage_biscuit_bacon createfood:enabled createfood:sausage_biscuit_cheese_bacon minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_cheese_fried_egg_bacon_from_shaped | minecraft:crafting_shaped | c:cooked_pork c:sausage_biscuit_cheese_fried_egg createfood:enabled createfood:sausage_biscuit_cheese_fried_egg_bacon minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_cheese_fried_egg_bacon_from_shaped_alt | minecraft:crafting_shaped | c:cooked_eggs c:sausage_biscuit_cheese_bacon createfood:enabled createfood:sausage_biscuit_cheese_fried_egg_bacon minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_cheese_fried_egg_bacon_from_shaped_alt_2 | minecraft:crafting_shaped | c:cheeses c:sausage_biscuit_fried_egg_bacon createfood:enabled createfood:sausage_biscuit_cheese_fried_egg_bacon minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_cheese_fried_egg_from_shaped | minecraft:crafting_shaped | c:cooked_eggs c:sausage_biscuit_cheese createfood:enabled createfood:sausage_biscuit_cheese_fried_egg minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_cheese_fried_egg_from_shaped_alt | minecraft:crafting_shaped | c:cheeses c:sausage_biscuit_fried_egg createfood:enabled createfood:sausage_biscuit_cheese_fried_egg minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_cheese_from_shaped | minecraft:crafting_shaped | c:cheeses c:sausage_biscuit createfood:enabled createfood:sausage_biscuit_cheese minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_fried_egg_bacon_from_shaped | minecraft:crafting_shaped | c:cooked_pork c:sausage_biscuit_fried_egg createfood:enabled createfood:sausage_biscuit_fried_egg_bacon minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_fried_egg_bacon_from_shaped_alt | minecraft:crafting_shaped | c:cooked_eggs c:sausage_biscuit_bacon createfood:enabled createfood:sausage_biscuit_fried_egg_bacon minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_fried_egg_from_shaped | minecraft:crafting_shaped | c:cooked_eggs c:sausage_biscuit createfood:enabled createfood:sausage_biscuit_fried_egg minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_from_shaped | minecraft:crafting_shaped | c:biscuit c:sausage_patty createfood:enabled createfood:sausage_biscuit minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_sandwich_bacon_from_shaped | minecraft:crafting_shaped | c:biscuit c:sausage_biscuit_bacon createfood:enabled createfood:sausage_biscuit_sandwich_bacon minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_sandwich_cheese_bacon_from_shaped | minecraft:crafting_shaped | c:biscuit c:sausage_biscuit_cheese_bacon createfood:enabled createfood:sausage_biscuit_sandwich_cheese_bacon minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_sandwich_cheese_fried_egg_bacon_from_shaped | minecraft:crafting_shaped | c:biscuit c:sausage_biscuit_cheese_fried_egg_bacon createfood:enabled createfood:sausage_biscuit_sandwich_cheese_fried_egg_bacon minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_sandwich_cheese_fried_egg_from_shaped | minecraft:crafting_shaped | c:biscuit c:sausage_biscuit_cheese_fried_egg createfood:enabled createfood:sausage_biscuit_sandwich_cheese_fried_egg minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_sandwich_cheese_from_shaped | minecraft:crafting_shaped | c:biscuit c:sausage_biscuit_cheese createfood:enabled createfood:sausage_biscuit_sandwich_cheese minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_sandwich_fried_egg_bacon_from_shaped | minecraft:crafting_shaped | c:biscuit c:sausage_biscuit_fried_egg_bacon createfood:enabled createfood:sausage_biscuit_sandwich_fried_egg_bacon minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_sandwich_fried_egg_from_shaped | minecraft:crafting_shaped | c:biscuit c:sausage_biscuit_fried_egg createfood:enabled createfood:sausage_biscuit_sandwich_fried_egg minecraft:crafting_shaped
createfood:crafting/shaped/sausage_biscuit_sandwich_from_shaped | minecraft:crafting_shaped | c:biscuit c:sausage_biscuit createfood:enabled createfood:sausage_biscuit_sandwich minecraft:crafting_shaped
createfood:crafting/shaped/scone_apple_jam_from_shaped | minecraft:crafting_shaped | c:apple_jam_bottle c:scone createfood:enabled createfood:scone_apple_jam minecraft:crafting_shaped
createfood:crafting/shaped/scone_berry_jam_from_shaped | minecraft:crafting_shaped | c:berry_jam_bottle c:scone createfood:enabled createfood:scone_berry_jam minecraft:crafting_shaped
createfood:crafting/shaped/scone_chorus_fruit_jam_from_shaped | minecraft:crafting_shaped | c:chorus_fruit_jam_bottle c:scone createfood:enabled createfood:scone_chorus_fruit_jam minecraft:crafting_shaped
createfood:crafting/shaped/scone_glow_berry_jam_from_shaped | minecraft:crafting_shaped | c:glow_berry_jam_bottle c:scone createfood:enabled createfood:scone_glow_berry_jam minecraft:crafting_shaped
createfood:crafting/shaped/scone_melon_jam_from_shaped | minecraft:crafting_shaped | c:melon_jam_bottle c:scone createfood:enabled createfood:scone_melon_jam minecraft:crafting_shaped
createfood:crafting/shaped/scrambled_egg_sandwich_from_shaped | minecraft:crafting_shaped | c:bread_slice c:bread_slice_scrambled_egg createfood:enabled createfood:scrambled_egg_sandwich minecraft:crafting_shaped
createfood:crafting/shaped/sliced_brown_mushroom_salt_from_shaped | minecraft:crafting_shaped | c:salt c:sliced_brown_mushroom createfood:enabled createfood:sliced_brown_mushroom_salt minecraft:crafting_shaped
createfood:crafting/shaped/sliced_crimson_fungus_salt_from_shaped | minecraft:crafting_shaped | c:salt c:sliced_crimson_fungus createfood:enabled createfood:sliced_crimson_fungus_salt minecraft:crafting_shaped
createfood:crafting/shaped/sliced_red_mushroom_salt_from_shaped | minecraft:crafting_shaped | c:salt c:sliced_red_mushroom createfood:enabled createfood:sliced_red_mushroom_salt minecraft:crafting_shaped
createfood:crafting/shaped/sliced_warped_fungus_salt_from_shaped | minecraft:crafting_shaped | c:salt c:sliced_warped_fungus createfood:enabled createfood:sliced_warped_fungus_salt minecraft:crafting_shaped
createfood:crafting/shaped/smore_from_shaped_alt_2 | minecraft:crafting_shaped | c:graham_cracker c:graham_cracker_chocolate_marshmallow createfood:enabled createfood:smore minecraft:crafting_shaped
createfood:crafting/shaped/smore_from_shaped_alt_3 | minecraft:crafting_shaped | c:graham_cracker_chocolate c:graham_cracker_marshmallow createfood:enabled createfood:smore minecraft:crafting_shaped
createfood:crafting/shaped/smores_pie_from_shaped | minecraft:crafting_shaped | c:chocolate_pie_graham_cracker c:marshmallow createfood:enabled createfood:smores_pie minecraft:crafting_shaped
createfood:crafting/shaped/spicy_chicken_nuggets_from_shaped | minecraft:crafting_shaped | c:chicken_nuggets c:paprika createfood:enabled createfood:spicy_chicken_nuggets minecraft:crafting_shaped
createfood:crafting/shaped/spicy_chicken_nuggets_from_shaped_alt | minecraft:crafting_shaped | c:chicken_nuggets c:chili_pepper createfood:enabled createfood:spicy_chicken_nuggets fabric:tags_populated minecraft:crafting_shaped minecraft:item neoforge:not neoforge:tag_empty
createfood:crafting/shaped/spicy_sausages_from_shaped | minecraft:crafting_shaped | c:paprika c:sausages createfood:enabled createfood:spicy_sausages minecraft:crafting_shaped
createfood:crafting/shaped/spicy_sausages_from_shaped_alt | minecraft:crafting_shaped | c:chili_pepper c:sausages createfood:enabled createfood:spicy_sausages fabric:tags_populated minecraft:crafting_shaped minecraft:item neoforge:not neoforge:tag_empty
createfood:crafting/shaped/strider_meatball_sandwich_from_shaped | minecraft:crafting_shaped | c:small_strider_meatballs createfood:enabled createfood:strider_meatball_sandwich minecraft:bread minecraft:crafting_shaped
createfood:crafting/shaped/strider_meatball_stick_1_from_shaped | minecraft:crafting_shaped | c:strider_meatball createfood:enabled createfood:strider_meatball_stick_1 minecraft:crafting_shaped minecraft:stick
createfood:crafting/shaped/strider_meatball_stick_2_from_shaped | minecraft:crafting_shaped | c:strider_meatball createfood:enabled createfood:strider_meatball_stick_1 createfood:strider_meatball_stick_2 minecraft:crafting_shaped
createfood:crafting/shaped/strider_meatball_stick_3_from_shaped | minecraft:crafting_shaped | c:strider_meatball createfood:enabled createfood:strider_meatball_stick_2 createfood:strider_meatball_stick_3 minecraft:crafting_shaped
createfood:crafting/shaped/sweet_roll_from_shaped | minecraft:crafting_shaped | c:cream_frosting c:sweet_roll_base create:sweet_roll createfood:enabled fabric:all_mods_loaded minecraft:crafting_shaped neoforge:mod_loaded
createfood:crafting/shaped/toast_fried_egg_plate_from_shaped | minecraft:crafting_shaped | c:cooked_eggs c:toast_plate createfood:enabled createfood:toast_fried_egg_plate minecraft:crafting_shaped
createfood:crafting/shaped/toast_plate_from_shaped | minecraft:crafting_shaped | c:toast_slice createfood:enabled createfood:toast_plate minecraft:bowl minecraft:crafting_shaped
createfood:crafting/shaped/toffee_apple_from_shaped | minecraft:crafting_shaped | c:toffee createfood:enabled createfood:toffee_apple minecraft:apple minecraft:crafting_shaped
createfood:crafting/shaped/toffee_apple_slice_from_shaped | minecraft:crafting_shaped | c:apple_slice c:toffee createfood:enabled createfood:toffee_apple_slice minecraft:crafting_shaped
createfood:crafting/shaped/toffee_berries_from_shaped | minecraft:crafting_shaped | c:toffee createfood:enabled createfood:toffee_berries minecraft:crafting_shaped minecraft:sweet_berries
createfood:crafting/shaped/toffee_chip_chocolate_milkshake_bottle_from_shaped | minecraft:crafting_shaped | c:chocolate_milkshake c:toffee_chips createfood:enabled createfood:toffee_chip_chocolate_milkshake_bottle minecraft:crafting_shaped
createfood:crafting/shaped/toffee_chip_ice_cream_cone_from_shaped | minecraft:crafting_shaped | c:ice_cream_cone c:toffee_chips createfood:enabled createfood:toffee_chip_ice_cream_cone minecraft:crafting_shaped
createfood:crafting/shaped/toffee_chocolate_from_shaped | minecraft:crafting_shaped | c:hollow_chocolate c:toffee createfood:enabled createfood:toffee_chocolate minecraft:crafting_shaped
createfood:crafting/shaped/toffee_chocolate_pastry_from_shaped | minecraft:crafting_shaped | c:chocolate_pastry_base c:toffee createfood:enabled createfood:toffee_chocolate_pastry minecraft:crafting_shaped
createfood:crafting/shaped/toffee_chocolate_sweet_roll_from_shaped | minecraft:crafting_shaped | c:chocolate_sweet_roll_base c:toffee createfood:enabled createfood:toffee_chocolate_sweet_roll minecraft:crafting_shaped
createfood:crafting/shaped/toffee_dark_chocolate_from_shaped | minecraft:crafting_shaped | c:hollow_dark_chocolate c:toffee createfood:enabled createfood:toffee_dark_chocolate minecraft:crafting_shaped
createfood:crafting/shaped/toffee_marshmallow_stick_from_shaped | minecraft:crafting_shaped | c:marshmallow_stick c:toffee createfood:enabled createfood:toffee_marshmallow_stick minecraft:crafting_shaped
createfood:crafting/shaped/toffee_pastry_from_shaped | minecraft:crafting_shaped | c:pastry_base c:toffee createfood:enabled createfood:toffee_pastry minecraft:crafting_shaped
createfood:crafting/shaped/toffee_pretzel_stick_from_shaped | minecraft:crafting_shaped | c:pretzel_stick c:toffee createfood:enabled createfood:toffee_pretzel_stick minecraft:crafting_shaped
createfood:crafting/shaped/toffee_sweet_roll_from_shaped | minecraft:crafting_shaped | c:sweet_roll_base c:toffee createfood:enabled createfood:toffee_sweet_roll minecraft:crafting_shaped
createfood:crafting/shaped/toffee_toast_from_shaped | minecraft:crafting_shaped | c:toast c:toffee createfood:enabled createfood:toffee_toast minecraft:crafting_shaped
createfood:crafting/shaped/toffee_white_chocolate_from_shaped | minecraft:crafting_shaped | c:hollow_white_chocolate c:toffee createfood:enabled createfood:toffee_white_chocolate minecraft:crafting_shaped
createfood:crafting/shaped/ube_cream_ube_cake_from_shaped | minecraft:crafting_shaped | c:ube_cake_base c:ube_cream_frosting_piping_bag createfood:enabled createfood:ube_cream_ube_cake minecraft:crafting_shaped
createfood:crafting/shaped/ube_cream_ube_cupcake_from_shaped | minecraft:crafting_shaped | c:ube_cream_frosting c:ube_cupcake_base createfood:enabled createfood:ube_cream_ube_cupcake minecraft:crafting_shaped
createfood:crafting/shaped/vegetable_sandwich_beetroot_lettuce_from_shaped | minecraft:crafting_shaped | c:bread_slice_beetroot c:bread_slice_lettuce createfood:enabled createfood:vegetable_sandwich_beetroot_lettuce minecraft:crafting_shaped
createfood:crafting/shaped/vegetable_sandwich_beetroot_lettuce_from_shaped_alt_2 | minecraft:crafting_shaped | c:bread_slice c:bread_slice_beetroot_lettuce createfood:enabled createfood:vegetable_sandwich_beetroot_lettuce minecraft:crafting_shaped
createfood:crafting/shaped/vegetable_sandwich_lettuce_tomato_from_shaped_alt | minecraft:crafting_shaped | c:bread_slice c:bread_slice_lettuce_tomato createfood:enabled createfood:vegetable_sandwich_lettuce_tomato minecraft:crafting_shaped
createfood:crafting/shaped/white_chocolate_apple_from_shaped | minecraft:crafting_shaped | c:bar_of_white_chocolate createfood:enabled createfood:white_chocolate_apple minecraft:apple minecraft:crafting_shaped
createfood:crafting/shaped/white_chocolate_apple_slice_from_shaped | minecraft:crafting_shaped | c:apple_slice c:white_chocolate createfood:enabled createfood:white_chocolate_apple_slice minecraft:crafting_shaped
createfood:crafting/shaped/white_chocolate_berries_from_shaped | minecraft:crafting_shaped | c:bar_of_white_chocolate createfood:enabled createfood:white_chocolate_berries minecraft:crafting_shaped minecraft:sweet_berries
createfood:crafting/shaped/white_chocolate_chip_chocolate_milkshake_bottle_from_shaped | minecraft:crafting_shaped | c:chocolate_milkshake c:white_chocolate_chips createfood:enabled createfood:white_chocolate_chip_chocolate_milkshake_bottle minecraft:crafting_shaped
createfood:crafting/shaped/white_chocolate_chip_ice_cream_cone_from_shaped | minecraft:crafting_shaped | c:ice_cream_cone c:white_chocolate_chips createfood:enabled createfood:white_chocolate_chip_ice_cream_cone minecraft:crafting_shaped
createfood:crafting/shaped/white_chocolate_chocolate_pastry_from_shaped | minecraft:crafting_shaped | c:chocolate_pastry_base c:white_chocolate_bottle createfood:enabled createfood:white_chocolate_chocolate_pastry minecraft:crafting_shaped
createfood:crafting/shaped/white_chocolate_marshmallow_stick_from_shaped | minecraft:crafting_shaped | c:marshmallow_stick c:white_chocolate_bottle createfood:enabled createfood:white_chocolate_marshmallow_stick minecraft:crafting_shaped
createfood:crafting/shaped/white_chocolate_pastry_from_shaped | minecraft:crafting_shaped | c:pastry_base c:white_chocolate_bottle createfood:enabled createfood:white_chocolate_pastry minecraft:crafting_shaped
createfood:crafting/shaped/white_chocolate_pretzel_stick_from_shaped | minecraft:crafting_shaped | c:pretzel_stick c:white_chocolate_bottle createfood:enabled createfood:white_chocolate_pretzel_stick minecraft:crafting_shaped
createfood:crafting/shaped/white_chocolate_toast_from_shaped | minecraft:crafting_shaped | c:toast c:white_chocolate_bottle createfood:enabled createfood:white_chocolate_toast minecraft:crafting_shaped
createfood:crafting/shaped/yellow_gelatin_dessert_block_from_shaped_alt | minecraft:crafting_shaped | c:dyes/yellow c:gelatin_dessert_block createfood:enabled createfood:yellow_gelatin_dessert_block minecraft:crafting_shaped
createfood:crafting/shaped/yogurt_bowl_berry_from_shaped | minecraft:crafting_shaped | c:yogurt_bowl createfood:enabled createfood:yogurt_bowl_berry minecraft:crafting_shaped minecraft:sweet_berries
createfood:crafting/shaped/yogurt_bowl_chorus_fruit_from_shaped | minecraft:crafting_shaped | c:chorus_fruit c:yogurt_bowl createfood:enabled createfood:yogurt_bowl_chorus_fruit minecraft:crafting_shaped
createfood:crafting/shaped/yogurt_bowl_glow_berry_from_shaped | minecraft:crafting_shaped | c:yogurt_bowl createfood:enabled createfood:yogurt_bowl_glow_berry minecraft:crafting_shaped minecraft:glow_berries
createfood:crafting/shaped/yogurt_bowl_honey_from_shaped | minecraft:crafting_shaped | c:yogurt_bowl createfood:enabled createfood:yogurt_bowl_honey minecraft:crafting_shaped minecraft:honey_bottle
createfood:create/compacting/apple_jam_fluid_from_compacting | create:compacting | c:apple c:sugar create:compacting createfood:apple_jam createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/compacting/apple_juice_fluid_from_compacting_water | create:compacting | c:apple c:sugar c:water create:compacting createfood:apple_juice createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
