supplementaries:altimeter | minecraft:crafting_shaped | c:ingots/copper minecraft:crafting_shaped minecraft:redstone supplementaries:altimeter supplementaries:flag
supplementaries:flags/flag_brown | minecraft:crafting_shaped | c:rods/wooden minecraft:brown_wool minecraft:crafting_shaped supplementaries:flag supplementaries:flag_brown
supplementaries:flags/flag_cyan | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:cyan_wool supplementaries:flag supplementaries:flag_cyan
supplementaries:flags/flag_from_banner | supplementaries:flag_from_banner | supplementaries:flag supplementaries:flag_from_banner
supplementaries:flags/flag_gray | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:gray_wool supplementaries:flag supplementaries:flag_gray
supplementaries:flags/flag_green | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:green_wool supplementaries:flag supplementaries:flag_green
supplementaries:flags/flag_light_blue | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:light_blue_wool supplementaries:flag supplementaries:flag_light_blue
supplementaries:flags/flag_light_gray | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:light_gray_wool supplementaries:flag supplementaries:flag_light_gray
supplementaries:flags/flag_lime | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:lime_wool supplementaries:flag supplementaries:flag_lime
supplementaries:flags/flag_magenta | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:magenta_wool supplementaries:flag supplementaries:flag_magenta
supplementaries:flags/flag_orange | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:orange_wool supplementaries:flag supplementaries:flag_orange
supplementaries:flags/flag_pink | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:pink_wool supplementaries:flag supplementaries:flag_pink
supplementaries:flags/flag_purple | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:purple_wool supplementaries:flag supplementaries:flag_purple
supplementaries:flags/flag_red | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:red_wool supplementaries:flag supplementaries:flag_red
supplementaries:flags/flag_white | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:white_wool supplementaries:flag supplementaries:flag_white
supplementaries:flags/flag_yellow | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:yellow_wool supplementaries:flag supplementaries:flag_yellow
supplementaries:flax_block | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:flag supplementaries:flax supplementaries:flax_block
supplementaries:flax_block_uncrafting | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:flag supplementaries:flax supplementaries:flax_block
supplementaries:flint_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:flint supplementaries:flag supplementaries:flint_block
supplementaries:flint_block_uncrafting | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:flint supplementaries:flag supplementaries:flint_block
supplementaries:flower_box | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dirt minecraft:wooden_slabs supplementaries:flag supplementaries:flower_box
supplementaries:flute | minecraft:crafting_shaped | minecraft:bamboo minecraft:crafting_shaped supplementaries:flag supplementaries:flute
supplementaries:fodder | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:hay_block supplementaries:flag supplementaries:flax_block supplementaries:fodder
supplementaries:globe_sepia | minecraft:crafting_shapeless | minecraft:crafting_shapeless supplementaries:antique_ink supplementaries:flag supplementaries:globe supplementaries:globe_sepia
supplementaries:goblet | minecraft:crafting_shaped | c:ingots/iron c:nuggets/iron minecraft:crafting_shaped supplementaries:flag supplementaries:goblet
supplementaries:gold_bars | minecraft:crafting_shaped | c:ingots/gold minecraft:crafting_shaped supplementaries:flag supplementaries:gold_bars
supplementaries:gold_door | minecraft:crafting_shaped | c:ingots/gold minecraft:crafting_shaped supplementaries:flag supplementaries:gold_door
supplementaries:gold_gate | minecraft:crafting_shaped | c:ingots/gold c:nuggets/gold fabric:mod_loaded fabric:or minecraft:crafting_shaped neoforge:mod_loaded neoforge:or supplementaries:flag supplementaries:gold_gate
supplementaries:gold_trapdoor | minecraft:crafting_shaped | c:ingots/gold minecraft:crafting_shaped supplementaries:flag supplementaries:gold_trapdoor
supplementaries:gravel_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:gravel supplementaries:flag supplementaries:gravel_bricks
supplementaries:hat_stand | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:planks minecraft:smooth_stone_slab supplementaries:flag supplementaries:hat_stand
supplementaries:hourglass | minecraft:crafting_shaped | c:ingots/gold minecraft:crafting_shaped minecraft:glass supplementaries:flag supplementaries:hourglass
supplementaries:integration/lumisene_mixing | create:mixing | create:mixing fabric:mod_loaded minecraft:glow_berries neoforge:mod_loaded supplementaries:flag supplementaries:lumisene
supplementaries:integration/pancake_fd | minecraft:crafting_shapeless | c:drinks/milk c:eggs c:foods/dough fabric:mod_loaded minecraft:crafting_shapeless minecraft:sugar neoforge:mod_loaded supplementaries:flag supplementaries:pancake
supplementaries:integration/planter_rich_fd | minecraft:crafting_shaped | fabric:mod_loaded farmersdelight:rich_soil minecraft:bone_meal minecraft:brick minecraft:crafting_shaped neoforge:mod_loaded supplementaries:flag supplementaries:planter
supplementaries:integration/quiver_fd | farmersdelight:cutting | fabric:mod_loaded farmersdelight:cutting farmersdelight:item_ability minecraft:leather minecraft:saddle neoforge:mod_loaded supplementaries:flag
supplementaries:integration/sconce_haunting | create:haunting | create:haunting fabric:mod_loaded neoforge:mod_loaded supplementaries:flag supplementaries:sconce supplementaries:sconce_soul
supplementaries:integration/tipped_spikes_washing | create:splashing | create:splashing fabric:mod_loaded neoforge:mod_loaded supplementaries:bamboo_spikes supplementaries:bamboo_spikes_tipped supplementaries:flag
supplementaries:iron_gate | minecraft:crafting_shaped | c:ingots/iron c:nuggets/iron minecraft:crafting_shaped supplementaries:flag supplementaries:iron_gate
supplementaries:item_lore | supplementaries:item_lore | minecraft:name_tag supplementaries:flag supplementaries:item_lore
supplementaries:item_lore_clear | supplementaries:item_lore | supplementaries:flag supplementaries:item_lore supplementaries:soap
supplementaries:item_shelf | minecraft:crafting_shaped | fabric:mod_loaded fabric:not minecraft:crafting_shaped minecraft:wooden_slabs neoforge:mod_loaded neoforge:not supplementaries:flag supplementaries:item_shelf
supplementaries:jar | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:glass minecraft:wooden_slabs supplementaries:flag supplementaries:jar
supplementaries:jeed/flammable | jeed:effect_provider | fabric:mod_loaded jeed:effect_provider neoforge:mod_loaded supplementaries:flag supplementaries:flammable supplementaries:lumisene supplementaries:lumisene_bucket
supplementaries:jeed/overencumbering | jeed:effect_provider | fabric:mod_loaded jeed:effect_provider neoforge:mod_loaded supplementaries:overencumbered supplementaries:overencumbering
supplementaries:jeed/tipped_spikes_potion_provider | jeed:potion_provider | fabric:mod_loaded jeed:potion_provider neoforge:mod_loaded supplementaries:bamboo_spikes_tipped
supplementaries:key | minecraft:crafting_shaped | c:ingots/gold c:nuggets/gold minecraft:crafting_shaped supplementaries:flag supplementaries:key
supplementaries:lapis_brick_slab | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:flag supplementaries:lapis_bricks supplementaries:lapis_bricks_slab
supplementaries:lapis_brick_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:flag supplementaries:lapis_bricks supplementaries:lapis_bricks_stairs
supplementaries:lapis_brick_wall | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:flag supplementaries:lapis_bricks supplementaries:lapis_bricks_wall
supplementaries:lapis_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:lapis_lazuli supplementaries:flag supplementaries:lapis_bricks
supplementaries:lock_block | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:planks minecraft:redstone supplementaries:flag supplementaries:lock_block
supplementaries:lumisene_bottle | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:glass_bottle minecraft:glow_berries supplementaries:flag supplementaries:lumisene_bottle
supplementaries:lumisene_bucket | minecraft:crafting_shapeless | minecraft:bucket minecraft:crafting_shapeless minecraft:glow_berries supplementaries:flag supplementaries:lumisene_bucket
supplementaries:lunch_basket | minecraft:crafting_shaped | minecraft:bamboo minecraft:crafting_shaped minecraft:wool_carpets supplementaries:flag supplementaries:lunch_basket
supplementaries:netherite_door | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:netherite_scrap supplementaries:flag supplementaries:gold_door supplementaries:netherite_door
supplementaries:netherite_trapdoor | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:netherite_scrap supplementaries:flag supplementaries:gold_trapdoor supplementaries:netherite_trapdoor
supplementaries:notice_board | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:paper minecraft:planks supplementaries:flag supplementaries:notice_board
supplementaries:pancake | minecraft:crafting_shapeless | c:crops/wheat c:drinks/milk c:eggs fabric:mod_loaded fabric:not minecraft:crafting_shapeless minecraft:sugar neoforge:mod_loaded neoforge:not supplementaries:flag supplementaries:pancake
supplementaries:pedestal | minecraft:crafting_shaped | minecraft:chiseled_stone_bricks minecraft:crafting_shaped minecraft:stone_brick_slab minecraft:stone_bricks supplementaries:flag supplementaries:pedestal
supplementaries:planter | minecraft:crafting_shaped | fabric:mod_loaded fabric:not fabric:or minecraft:bone_meal minecraft:brick minecraft:crafting_shaped minecraft:dirt neoforge:mod_loaded neoforge:not neoforge:or supplementaries:flag supplementaries:planter
supplementaries:present | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:paper supplementaries:flag supplementaries:present
supplementaries:present_2 | minecraft:crafting_shaped | create:cardboard fabric:mod_loaded minecraft:crafting_shaped neoforge:mod_loaded supplementaries:flag supplementaries:present
supplementaries:present_dye | supplementaries:present_dye | supplementaries:flag supplementaries:present_dye
supplementaries:pulley | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:planks minecraft:wooden_slabs supplementaries:flag supplementaries:pulley_block
supplementaries:redstone_illuminator | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:redstone minecraft:sea_lantern supplementaries:flag supplementaries:redstone_illuminator
supplementaries:relayer | minecraft:crafting_shaped | c:ingots/iron minecraft:cobblestone minecraft:crafting_shaped minecraft:redstone supplementaries:flag supplementaries:relayer
supplementaries:rope | minecraft:crafting_shaped | c:crops/flax minecraft:crafting_shaped supplementaries:flag supplementaries:rope
supplementaries:rope_2 | minecraft:crafting_shaped | c:strings fabric:not minecraft:crafting_shaped neoforge:not supplementaries:flag supplementaries:rope
supplementaries:rope_arrow_add | supplementaries:add_charges | supplementaries:add_charges supplementaries:flag supplementaries:rope_arrow supplementaries:ropes
supplementaries:rope_arrow_create | supplementaries:add_charges | minecraft:arrow supplementaries:add_charges supplementaries:flag supplementaries:rope_arrow supplementaries:ropes
supplementaries:sack | minecraft:crafting_shaped | c:crops/flax c:strings minecraft:crafting_shaped supplementaries:flag supplementaries:sack
supplementaries:sack_2 | minecraft:crafting_shaped | c:strings fabric:mod_loaded fabric:not minecraft:crafting_shaped minecraft:wheat neoforge:mod_loaded neoforge:not supplementaries:flag supplementaries:sack
supplementaries:sack_3 | minecraft:crafting_shaped | fabric:mod_loaded farmersdelight:canvas minecraft:crafting_shaped minecraft:string neoforge:mod_loaded supplementaries:flag supplementaries:sack
supplementaries:safe | supplementaries:safe | c:shulker_boxes minecraft:netherite_ingot supplementaries:flag supplementaries:safe
supplementaries:sconce | minecraft:crafting_shaped | c:nuggets/iron minecraft:crafting_shaped minecraft:torch supplementaries:flag supplementaries:sconce
supplementaries:sconce_ender | minecraft:crafting_shaped | c:nuggets/iron endergetic:ender_torch fabric:mod_loaded minecraft:crafting_shaped neoforge:mod_loaded supplementaries:flag supplementaries:sconce_ender
supplementaries:sconce_glow | minecraft:crafting_shaped | c:nuggets/iron fabric:mod_loaded infernalexp:glowlight_torch minecraft:crafting_shaped neoforge:mod_loaded supplementaries:flag supplementaries:sconce_glow
supplementaries:sconce_green | minecraft:crafting_shaped | c:nuggets/iron caverns_and_chasms:cupric_torch fabric:mod_loaded minecraft:crafting_shaped neoforge:mod_loaded supplementaries:flag supplementaries:sconce_green
supplementaries:sconce_lever | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:redstone supplementaries:flag supplementaries:sconce supplementaries:sconce_lever
supplementaries:sconce_nether_brass | minecraft:crafting_shaped | architects_palette:nether_brass_nugget architects_palette:nether_brass_torch fabric:mod_loaded minecraft:crafting_shaped neoforge:mod_loaded supplementaries:flag supplementaries:sconce_nether_brass
supplementaries:sconce_soul | minecraft:crafting_shaped | c:nuggets/iron minecraft:crafting_shaped minecraft:soul_torch supplementaries:flag supplementaries:sconce_soul
supplementaries:slice_map | minecraft:crafting_shapeless | fabric:not fabric:tag_empty minecraft:crafting_shapeless minecraft:map neoforge:not neoforge:tag_empty supplementaries:altimeters supplementaries:flag supplementaries:slice_map
supplementaries:slidy_block | minecraft:crafting_shaped | c:nuggets/iron minecraft:crafting_shaped minecraft:tuff supplementaries:flag supplementaries:slidy_block
supplementaries:slingshot | minecraft:crafting_shaped | c:rods/wooden c:slime_balls c:strings minecraft:crafting_shaped minecraft:rabbit_hide supplementaries:flag supplementaries:slingshot
supplementaries:soap | minecraft:crafting_shapeless | c:ash minecraft:crafting_shapeless minecraft:porkchop minecraft:water_bucket supplementaries:flag supplementaries:soap
supplementaries:soap/blackboard | minecraft:crafting_shapeless | minecraft:crafting_shapeless supplementaries:blackboard supplementaries:flag supplementaries:soap
supplementaries:soap/cave_paintings | minecraft:crafting_shapeless | alexscaves:cave_paintings alexscaves:smooth_limestone fabric:mod_loaded minecraft:crafting_shapeless neoforge:mod_loaded supplementaries:flag supplementaries:soap
supplementaries:soap/clear | supplementaries:soap_clearing | supplementaries:flag supplementaries:soap supplementaries:soap_clearing
supplementaries:soap/dirty_glass | minecraft:crafting_shapeless | fabric:mod_loaded minecraft:crafting_shapeless minecraft:glass neoforge:mod_loaded quark:dirty_glass supplementaries:flag supplementaries:soap
supplementaries:soap/dirty_glass_pane | minecraft:crafting_shapeless | fabric:mod_loaded minecraft:crafting_shapeless minecraft:glass_pane neoforge:mod_loaded quark:dirty_glass_pane supplementaries:flag supplementaries:soap
supplementaries:soap/dirty_shard | minecraft:crafting_shapeless | fabric:mod_loaded minecraft:crafting_shapeless neoforge:mod_loaded quark:clear_shard quark:dirty_shard supplementaries:flag supplementaries:soap
supplementaries:soap/globe_sepia | minecraft:crafting_shapeless | minecraft:crafting_shapeless supplementaries:flag supplementaries:globe supplementaries:globe_sepia supplementaries:soap
supplementaries:soap/map | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:filled_map minecraft:map supplementaries:flag supplementaries:soap
supplementaries:soap/piston | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:piston minecraft:sticky_piston supplementaries:flag supplementaries:soap
supplementaries:soap/spike | minecraft:crafting_shapeless | minecraft:crafting_shapeless supplementaries:bamboo_spikes supplementaries:bamboo_spikes_tipped supplementaries:flag supplementaries:soap
supplementaries:soap/tipped_arrow | minecraft:crafting_shapeless | minecraft:arrow minecraft:crafting_shapeless minecraft:tipped_arrow supplementaries:flag supplementaries:soap
supplementaries:soap_block | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:flag supplementaries:soap supplementaries:soap_block
supplementaries:soap_block_uncrafting | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:flag supplementaries:soap supplementaries:soap_block
supplementaries:speaker_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:emerald minecraft:planks supplementaries:flag supplementaries:speaker_block
supplementaries:spiky_bomb | minecraft:crafting_shaped | c:ingots/iron c:strings fabric:mod_loaded minecraft:crafting_shaped neoforge:mod_loaded oreganized:shrapnel_bomb supplementaries:bomb_spiky supplementaries:flag
supplementaries:spiky_bomb_2 | minecraft:crafting_shaped | c:ingots/lead c:strings fabric:mod_loaded fabric:not fabric:tag_empty minecraft:crafting_shaped minecraft:tnt neoforge:mod_loaded neoforge:not neoforge:tag_empty supplementaries:bomb_spiky supplementaries:flag
supplementaries:spring_launcher | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:gunpowder minecraft:slime_block minecraft:sticky_piston supplementaries:flag supplementaries:spring_launcher
supplementaries:statue | minecraft:crafting_shaped | minecraft:clay minecraft:crafting_shaped minecraft:smooth_stone_slab supplementaries:flag supplementaries:statue
supplementaries:stone_lamp | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stone minecraft:torch supplementaries:flag supplementaries:stone_lamp
supplementaries:stone_tile | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stone_bricks supplementaries:flag supplementaries:stone_tile
supplementaries:stone_tile_slab | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:flag supplementaries:stone_tile supplementaries:stone_tile_slab
supplementaries:stone_tile_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:flag supplementaries:stone_tile supplementaries:stone_tile_stairs
supplementaries:stone_tile_wall | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:flag supplementaries:stone_tile supplementaries:stone_tile_wall
supplementaries:stonecutting/ash_brick_slab_from_bricks | minecraft:stonecutting | minecraft:stonecutting supplementaries:ash_bricks supplementaries:ash_bricks_slab supplementaries:flag
supplementaries:stonecutting/ash_brick_stairs_from_bricks | minecraft:stonecutting | minecraft:stonecutting supplementaries:ash_bricks supplementaries:ash_bricks_stairs supplementaries:flag
supplementaries:stonecutting/ash_brick_wall_from_bricks | minecraft:stonecutting | minecraft:stonecutting supplementaries:ash_bricks supplementaries:ash_bricks_wall supplementaries:flag
supplementaries:stonecutting/blackstone_tile | minecraft:stonecutting | minecraft:polished_blackstone_bricks minecraft:stonecutting supplementaries:blackstone_tile supplementaries:flag
supplementaries:stonecutting/blackstone_tile_slab | minecraft:stonecutting | minecraft:stonecutting supplementaries:blackstone_tile supplementaries:blackstone_tile_slab supplementaries:flag
supplementaries:stonecutting/blackstone_tile_stairs_from_bricks | minecraft:stonecutting | minecraft:stonecutting supplementaries:blackstone_tile supplementaries:blackstone_tile_stairs supplementaries:flag
supplementaries:stonecutting/blackstone_tile_wall_from_bricks | minecraft:stonecutting | minecraft:stonecutting supplementaries:blackstone_tile supplementaries:blackstone_tile_wall supplementaries:flag
supplementaries:stonecutting/checker_slab | minecraft:stonecutting | minecraft:stonecutting supplementaries:checker_block supplementaries:checker_slab supplementaries:flag
supplementaries:stonecutting/lapis_brick_slab_from_bricks | minecraft:stonecutting | minecraft:stonecutting supplementaries:flag supplementaries:lapis_bricks supplementaries:lapis_bricks_slab
supplementaries:stonecutting/lapis_brick_stairs_from_bricks | minecraft:stonecutting | minecraft:stonecutting supplementaries:flag supplementaries:lapis_bricks supplementaries:lapis_bricks_stairs
supplementaries:stonecutting/lapis_brick_wall_from_bricks | minecraft:stonecutting | minecraft:stonecutting supplementaries:flag supplementaries:lapis_bricks supplementaries:lapis_bricks_wall
supplementaries:stonecutting/stone_tile | minecraft:stonecutting | minecraft:stone_bricks minecraft:stonecutting supplementaries:flag supplementaries:stone_tile
supplementaries:stonecutting/stone_tile_slab | minecraft:stonecutting | minecraft:stonecutting supplementaries:flag supplementaries:stone_tile supplementaries:stone_tile_slab
supplementaries:stonecutting/stone_tile_stairs_from_bricks | minecraft:stonecutting | minecraft:stonecutting supplementaries:flag supplementaries:stone_tile supplementaries:stone_tile_stairs
supplementaries:stonecutting/stone_tile_wall_from_bricks | minecraft:stonecutting | minecraft:stonecutting supplementaries:flag supplementaries:stone_tile supplementaries:stone_tile_wall
supplementaries:stool_from_feather_block | minecraft:crafting_shaped | fabric:mod_loaded minecraft:crafting_shaped minecraft:wooden_slabs neoforge:mod_loaded quark:white_stool supplementaries:feather_block supplementaries:flag
supplementaries:strings | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:string supplementaries:flag supplementaries:flax
supplementaries:sugar_cube | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:sugar supplementaries:flag supplementaries:sugar_cube
supplementaries:sugar_cube_uncrafting | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:sugar supplementaries:flag supplementaries:sugar_cube
supplementaries:sus_bricks | supplementaries:sus_crafting | supplementaries:flag supplementaries:gravel_bricks supplementaries:sus_crafting supplementaries:suspicious_gravel_bricks
supplementaries:sus_gravel | supplementaries:sus_crafting | minecraft:gravel minecraft:suspicious_gravel supplementaries:flag supplementaries:sus_crafting
supplementaries:sus_sand | supplementaries:sus_crafting | minecraft:sand minecraft:suspicious_sand supplementaries:flag supplementaries:sus_crafting
supplementaries:timber_brace | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped supplementaries:flag supplementaries:timber_brace
supplementaries:timber_cross_brace | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped supplementaries:flag supplementaries:timber_cross_brace
supplementaries:timber_frame | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped supplementaries:flag supplementaries:timber_frame
supplementaries:trapped_present | supplementaries:trapped_present | minecraft:tripwire_hook supplementaries:flag supplementaries:trapped_present
supplementaries:trapped_present_2 | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:paper minecraft:tripwire_hook supplementaries:flag supplementaries:trapped_present
supplementaries:trapped_present_3 | minecraft:crafting_shaped | create:cardboard fabric:mod_loaded minecraft:crafting_shaped minecraft:tripwire_hook neoforge:mod_loaded supplementaries:flag supplementaries:trapped_present
supplementaries:turn_table | minecraft:crafting_shaped | c:ingots/copper minecraft:cobblestone minecraft:crafting_shaped minecraft:planks minecraft:redstone supplementaries:flag supplementaries:turn_table
supplementaries:way_sign_oak | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:oak_sign supplementaries:flag supplementaries:way_sign_oak
supplementaries:wicker_fence | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:sugar_cane supplementaries:flag supplementaries:wicker_fence
supplementaries:wind_vane | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:iron_bars minecraft:redstone supplementaries:flag supplementaries:wind_vane
supplementaries:wrench | minecraft:crafting_shaped | c:ingots/copper minecraft:crafting_shaped supplementaries:flag supplementaries:wrench
supplementaries:inspirations/blackboard_clear | neoforge:conditional | fabric:mod_loaded inspirations:config neoforge:conditional supplementaries:blackboard supplementaries:cauldron_blackboard supplementaries:flag
supplementaries:inspirations/flag_clear | neoforge:conditional | fabric:mod_loaded inspirations:config neoforge:conditional supplementaries:cauldron_flag_clear supplementaries:flag
supplementaries:inspirations/flag_dye | neoforge:conditional | fabric:mod_loaded inspirations:config neoforge:conditional supplementaries:cauldron_flag_dye supplementaries:flag supplementaries:flag_white
supplementaries:neoforge/ash_bricks_fd | farmersdelight:cutting | fabric:mod_loaded farmersdelight:cutting farmersdelight:item_ability supplementaries:ash_brick supplementaries:ash_bricks supplementaries:flag
supplementaries:neoforge/lapis_bricks_fd | farmersdelight:cutting | fabric:mod_loaded farmersdelight:cutting farmersdelight:item_ability minecraft:lapis_lazuli supplementaries:flag supplementaries:lapis_bricks
