born_in_chaos_v1:argillite_lamp_k | minecraft:crafting_shaped | born_in_chaos_v1:argillite_lamp born_in_chaos_v1:fired_black_argillite minecraft:crafting_shaped minecraft:glass_pane minecraft:glowstone_dust
born_in_chaos_v1:spiny_shell_chestplate_k | minecraft:crafting_shaped | born_in_chaos_v1:spiny_shell born_in_chaos_v1:spiny_shell_armor_chestplate minecraft:crafting_shaped
born_in_chaos_v1:spiny_shell_helm_k | minecraft:crafting_shaped | born_in_chaos_v1:spiny_shell born_in_chaos_v1:spiny_shell_armor_helmet minecraft:crafting_shaped
born_in_chaos_v1:spinyshelltrap_k | minecraft:crafting_shaped | born_in_chaos_v1:spiny_shell born_in_chaos_v1:spiny_shell_trap minecraft:crafting_shaped
born_in_chaos_v1:spiritual_divider_k | minecraft:crafting_shaped | born_in_chaos_v1:bone_handle born_in_chaos_v1:dark_metal_nugget born_in_chaos_v1:seedof_chaos born_in_chaos_v1:spiritual_sword minecraft:crafting_shaped
born_in_chaos_v1:spiritual_dust_k | minecraft:crafting_shapeless | born_in_chaos_v1:ethereal_spirit born_in_chaos_v1:spiritual_dust minecraft:bone_meal minecraft:crafting_shapeless
born_in_chaos_v1:spiritual_gingerbread_craft | minecraft:crafting_shaped | born_in_chaos_v1:spiritual_dust born_in_chaos_v1:spiritual_gingerbread minecraft:crafting_shaped minecraft:wheat
born_in_chaos_v1:staffofthe_summoner_k | minecraft:crafting_shaped | born_in_chaos_v1:bone_handle born_in_chaos_v1:bonescaller_staff born_in_chaos_v1:dark_metal_nugget born_in_chaos_v1:orbofthe_summoner born_in_chaos_v1:shattered_skull minecraft:bone minecraft:crafting_shaped
born_in_chaos_v1:stained_black_argillite_brick_k | minecraft:crafting_shaped | born_in_chaos_v1:black_argillite_brick born_in_chaos_v1:stained_black_argillite_brick minecraft:beetroot minecraft:crafting_shaped
born_in_chaos_v1:stimulating_bomb_k | minecraft:crafting_shapeless | born_in_chaos_v1:fire_dust born_in_chaos_v1:stimulating_bomb born_in_chaos_v1:stimulating_decoction minecraft:crafting_shapeless minecraft:string minecraft:sugar
born_in_chaos_v1:stormcallers_horn_craft | minecraft:crafting_shaped | born_in_chaos_v1:dark_metal_nugget born_in_chaos_v1:krampus_horn born_in_chaos_v1:permafrost_shard born_in_chaos_v1:stormcallers_horn minecraft:crafting_shaped
born_in_chaos_v1:sweet_axe_craft | minecraft:crafting_shaped | born_in_chaos_v1:cultivated_pumpkin born_in_chaos_v1:holiday_candy born_in_chaos_v1:sweet_axe minecraft:crafting_shaped minecraft:stick
born_in_chaos_v1:sweet_sword_craft | minecraft:crafting_shaped | born_in_chaos_v1:cultivated_pumpkin born_in_chaos_v1:holiday_candy born_in_chaos_v1:sweet_sword minecraft:crafting_shaped minecraft:stick
born_in_chaos_v1:transformativeflower_k | minecraft:crafting_shaped | born_in_chaos_v1:dark_metal_nugget born_in_chaos_v1:seedof_chaos born_in_chaos_v1:transformative_flower minecraft:crafting_shaped
born_in_chaos_v1:transformingeastercake_craft | minecraft:crafting_shaped | born_in_chaos_v1:transforming_easter_cake born_in_chaos_v1:transmuting_elixir minecraft:crafting_shaped minecraft:sugar minecraft:wheat
born_in_chaos_v1:transmuting_elixirkraft | minecraft:crafting_shapeless | born_in_chaos_v1:chaos_component born_in_chaos_v1:holiday_candy born_in_chaos_v1:intoxicating_decoction born_in_chaos_v1:transmuting_elixir minecraft:blaze_powder minecraft:chorus_fruit minecraft:crafting_shapeless minecraft:diamond minecraft:sculk_catalyst minecraft:torchflower minecraft:turtle_scute
born_in_chaos_v1:webbed_cobblestone_craft | minecraft:crafting_shapeless | born_in_chaos_v1:cobweb_cover born_in_chaos_v1:webbed_cobblestone minecraft:crafting_shapeless minecraft:stone
