create:crushing/basalt | create:crushing | create:crushing minecraft:basalt northstar:salt
northstar:crushing/mercury_deep_gold_ore | create:crushing | create:crushed_raw_gold create:crushing create:experience_nugget northstar:mercury_deep_gold_ore northstar:mercury_deep_stone
northstar:crushing/mercury_deep_iron_ore | create:crushing | create:crushed_raw_iron create:crushing create:experience_nugget northstar:mercury_deep_iron_ore northstar:mercury_deep_stone
northstar:crushing/mercury_deep_lapis_ore | create:crushing | create:crushing create:experience_nugget minecraft:lapis_lazuli northstar:mercury_deep_lapis_ore northstar:mercury_deep_stone
northstar:crushing/mercury_deep_redstone_ore | create:crushing | create:crushing create:experience_nugget minecraft:redstone northstar:mercury_deep_redstone_ore northstar:mercury_deep_stone
northstar:crushing/mercury_deep_titanium_ore | create:crushing | create:crushing create:experience_nugget northstar:mercury_deep_stone northstar:mercury_deep_titanium_ore northstar:raw_titanium_ore
northstar:crushing/mercury_deep_tungsten_ore | create:crushing | create:crushing create:experience_nugget northstar:crushed_raw_tungsten northstar:mercury_deep_stone northstar:mercury_deep_tungsten_ore
northstar:crushing/mercury_deep_zinc_ore | create:crushing | create:crushing create:experience_nugget minecraft:iron_ingot northstar:mercury_deep_stone northstar:mercury_deep_zinc_ore
northstar:crushing/mercury_diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:diamond northstar:mercury_diamond_ore northstar:mercury_stone
northstar:crushing/mercury_glowstone_ore | create:crushing | create:crushing create:experience_nugget northstar:mercury_glowstone_ore northstar:mercury_stone northstar:raw_glowstone_ore
northstar:crushing/mercury_gold_ore | create:crushing | create:crushed_raw_gold create:crushing create:experience_nugget northstar:mercury_gold_ore northstar:mercury_stone
northstar:crushing/mercury_iron_ore | create:crushing | create:crushed_raw_iron create:crushing create:experience_nugget northstar:mercury_iron_ore northstar:mercury_stone
northstar:crushing/mercury_lapis_ore | create:crushing | create:crushing create:experience_nugget minecraft:lapis_lazuli northstar:mercury_lapis_ore northstar:mercury_stone
northstar:crushing/mercury_redstone_ore | create:crushing | create:crushing create:experience_nugget minecraft:redstone northstar:mercury_redstone_ore northstar:mercury_stone
northstar:crushing/mercury_titanium_ore | create:crushing | create:crushing create:experience_nugget northstar:mercury_stone northstar:mercury_titanium_ore northstar:raw_titanium_ore
northstar:crushing/mercury_tungsten_ore | create:crushing | create:crushing create:experience_nugget northstar:crushed_raw_tungsten northstar:mercury_stone northstar:mercury_tungsten_ore
northstar:crushing/mercury_zinc_ore | create:crushing | create:crushing create:experience_nugget minecraft:iron_ingot northstar:mercury_stone northstar:mercury_zinc_ore
northstar:crushing/moon_copper_ore | create:crushing | create:crushed_raw_copper create:crushing create:experience_nugget northstar:moon_copper_ore northstar:moon_stone
northstar:crushing/moon_deep_copper_ore | create:crushing | create:crushed_raw_copper create:crushing create:experience_nugget northstar:moon_deep_copper_ore northstar:moon_deep_stone
northstar:crushing/moon_deep_diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:diamond northstar:moon_deep_diamond_ore northstar:moon_deep_stone
northstar:crushing/moon_deep_glowstone_ore | create:crushing | create:crushing create:experience_nugget northstar:moon_deep_glowstone_ore northstar:moon_deep_stone northstar:raw_glowstone_ore
northstar:crushing/moon_deep_gold_ore | create:crushing | create:crushed_raw_gold create:crushing create:experience_nugget northstar:moon_deep_gold_ore northstar:moon_deep_stone
northstar:crushing/moon_deep_iron_ore | create:crushing | create:crushed_raw_iron create:crushing create:experience_nugget northstar:moon_deep_iron_ore northstar:moon_deep_stone
northstar:crushing/moon_deep_lapis_ore | create:crushing | create:crushing create:experience_nugget minecraft:lapis_lazuli northstar:moon_deep_lapis_ore northstar:moon_deep_stone
northstar:crushing/moon_deep_redstone_ore | create:crushing | create:crushing create:experience_nugget minecraft:redstone northstar:moon_deep_redstone_ore northstar:moon_deep_stone
northstar:crushing/moon_deep_titanium_ore | create:crushing | create:crushing create:experience_nugget northstar:moon_deep_stone northstar:moon_deep_titanium_ore northstar:raw_titanium_ore
northstar:crushing/moon_deep_zinc_ore | create:crushing | create:crushing create:experience_nugget minecraft:iron_ingot northstar:moon_deep_stone northstar:moon_deep_zinc_ore
northstar:crushing/moon_diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:diamond northstar:moon_diamond_ore northstar:moon_stone
northstar:crushing/moon_glowstone_ore | create:crushing | create:crushing create:experience_nugget northstar:moon_glowstone_ore northstar:moon_stone northstar:raw_glowstone_ore
northstar:crushing/moon_gold_ore | create:crushing | create:crushed_raw_gold create:crushing create:experience_nugget northstar:moon_gold_ore northstar:moon_stone
northstar:crushing/moon_iron_ore | create:crushing | create:crushed_raw_iron create:crushing create:experience_nugget northstar:moon_iron_ore northstar:moon_stone
northstar:crushing/moon_lapis_ore | create:crushing | create:crushing create:experience_nugget minecraft:lapis_lazuli northstar:moon_lapis_ore northstar:moon_stone
northstar:crushing/moon_redstone_ore | create:crushing | create:crushing create:experience_nugget minecraft:redstone northstar:moon_redstone_ore northstar:moon_stone
northstar:crushing/moon_titanium_ore | create:crushing | create:crushing create:experience_nugget northstar:moon_stone northstar:moon_titanium_ore northstar:raw_titanium_ore
northstar:crushing/moon_zinc_ore | create:crushing | create:crushing create:experience_nugget minecraft:iron_ingot northstar:moon_stone northstar:moon_zinc_ore
northstar:crushing/sand | create:crushing | create:crushing minecraft:sand northstar:rutile_concentrate
northstar:crushing/venus_coal_ore | create:crushing | create:crushing create:experience_nugget minecraft:coal northstar:venus_coal_ore northstar:venus_stone
northstar:crushing/venus_copper_ore | create:crushing | create:crushed_raw_copper create:crushing create:experience_nugget northstar:venus_copper_ore northstar:venus_stone
northstar:crushing/venus_deep_copper_ore | create:crushing | create:crushed_raw_copper create:crushing create:experience_nugget northstar:venus_deep_copper_ore northstar:venus_deep_stone
northstar:crushing/venus_deep_diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:diamond northstar:venus_deep_diamond_ore northstar:venus_deep_stone
northstar:crushing/venus_deep_glowstone_ore | create:crushing | create:crushing create:experience_nugget northstar:raw_glowstone_ore northstar:venus_deep_glowstone_ore northstar:venus_deep_stone
northstar:crushing/venus_deep_gold_ore | create:crushing | create:crushed_raw_gold create:crushing create:experience_nugget northstar:venus_deep_gold_ore northstar:venus_deep_stone
northstar:crushing/venus_deep_iron_ore | create:crushing | create:crushed_raw_iron create:crushing create:experience_nugget northstar:venus_deep_iron_ore northstar:venus_deep_stone
northstar:crushing/venus_deep_quartz_ore | create:crushing | create:crushing create:experience_nugget minecraft:quartz northstar:venus_deep_quartz_ore northstar:venus_deep_stone
northstar:crushing/venus_deep_redstone_ore | create:crushing | create:crushing create:experience_nugget minecraft:redstone northstar:venus_deep_redstone_ore northstar:venus_deep_stone
northstar:crushing/venus_deep_titanium_ore | create:crushing | create:crushing create:experience_nugget northstar:raw_titanium_ore northstar:venus_deep_stone northstar:venus_deep_titanium_ore
northstar:crushing/venus_deep_zinc_ore | create:crushing | create:crushing create:experience_nugget minecraft:iron_ingot northstar:venus_deep_stone northstar:venus_deep_zinc_ore
northstar:crushing/venus_diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:diamond northstar:venus_diamond_ore northstar:venus_stone
northstar:crushing/venus_glowstone_ore | create:crushing | create:crushing create:experience_nugget northstar:raw_glowstone_ore northstar:venus_glowstone_ore northstar:venus_stone
northstar:crushing/venus_gold_ore | create:crushing | create:crushed_raw_gold create:crushing create:experience_nugget northstar:venus_gold_ore northstar:venus_stone
northstar:crushing/venus_iron_ore | create:crushing | create:crushed_raw_iron create:crushing create:experience_nugget northstar:venus_iron_ore northstar:venus_stone
northstar:crushing/venus_quartz_ore | create:crushing | create:crushing create:experience_nugget minecraft:quartz northstar:venus_quartz_ore northstar:venus_stone
northstar:crushing/venus_redstone_ore | create:crushing | create:crushing create:experience_nugget minecraft:redstone northstar:venus_redstone_ore northstar:venus_stone
northstar:crushing/venus_titanium_ore | create:crushing | create:crushing create:experience_nugget northstar:raw_titanium_ore northstar:venus_stone northstar:venus_titanium_ore
northstar:crushing/venus_zinc_ore | create:crushing | create:crushing create:experience_nugget minecraft:iron_ingot northstar:venus_stone northstar:venus_zinc_ore
northstar:electrolysis/brine | northstar:electrolysis | c:brine neoforge:tag northstar:chlorine northstar:electrolysis northstar:sodium
northstar:electrolysis/water | northstar:electrolysis | minecraft:water neoforge:tag northstar:electrolysis northstar:hydrogen northstar:oxygen
northstar:filling/chocolate_ice_cream | create:filling | c:chocolate_ice_cream create:filling neoforge:tag northstar:chocolate_ice_cream northstar:ice_cream_cone
northstar:filling/oxidization/copper_block_to_exposed_copper | create:filling | c:liquid_oxygen create:filling minecraft:copper_block minecraft:exposed_copper neoforge:tag
northstar:filling/oxidization/cut_copper_slab_to_exposed_cut_copper_slab | create:filling | c:liquid_oxygen create:filling minecraft:cut_copper_slab minecraft:exposed_cut_copper_slab neoforge:tag
northstar:filling/oxidization/cut_copper_stairs_to_exposed_cut_copper_stairs | create:filling | c:liquid_oxygen create:filling minecraft:cut_copper_stairs minecraft:exposed_cut_copper_stairs neoforge:tag
northstar:filling/oxidization/cut_copper_to_exposed_cut_copper | create:filling | c:liquid_oxygen create:filling minecraft:cut_copper minecraft:exposed_cut_copper neoforge:tag
northstar:filling/oxidization/exposed_copper_to_weathered_copper | create:filling | c:liquid_oxygen create:filling minecraft:exposed_copper minecraft:weathered_copper neoforge:tag
northstar:filling/oxidization/exposed_cut_copper_slab_to_weathered_cut_copper_slab | create:filling | c:liquid_oxygen create:filling minecraft:exposed_cut_copper_slab minecraft:weathered_cut_copper_slab neoforge:tag
northstar:filling/oxidization/exposed_cut_copper_stairs_to_weathered_cut_copper_stairs | create:filling | c:liquid_oxygen create:filling minecraft:exposed_cut_copper_stairs minecraft:weathered_cut_copper_stairs neoforge:tag
northstar:filling/oxidization/exposed_cut_copper_to_weathered_cut_copper | create:filling | c:liquid_oxygen create:filling minecraft:exposed_cut_copper minecraft:weathered_cut_copper neoforge:tag
northstar:filling/oxidization/waxed_copper_block_to_waxed_exposed_copper | create:filling | c:liquid_oxygen create:filling minecraft:waxed_copper_block minecraft:waxed_exposed_copper neoforge:tag
northstar:filling/oxidization/waxed_cut_copper_slab_to_waxed_exposed_cut_copper_slab | create:filling | c:liquid_oxygen create:filling minecraft:waxed_cut_copper_slab minecraft:waxed_exposed_cut_copper_slab neoforge:tag
northstar:filling/oxidization/waxed_cut_copper_stairs_to_waxed_exposed_cut_copper_stairs | create:filling | c:liquid_oxygen create:filling minecraft:waxed_cut_copper_stairs minecraft:waxed_exposed_cut_copper_stairs neoforge:tag
northstar:filling/oxidization/waxed_cut_copper_to_waxed_exposed_cut_copper | create:filling | c:liquid_oxygen create:filling minecraft:waxed_cut_copper minecraft:waxed_exposed_cut_copper neoforge:tag
northstar:filling/oxidization/waxed_exposed_copper_to_waxed_weathered_copper | create:filling | c:liquid_oxygen create:filling minecraft:waxed_exposed_copper minecraft:waxed_weathered_copper neoforge:tag
northstar:filling/oxidization/waxed_exposed_cut_copper_slab_to_waxed_weathered_cut_copper_slab | create:filling | c:liquid_oxygen create:filling minecraft:waxed_exposed_cut_copper_slab minecraft:waxed_weathered_cut_copper_slab neoforge:tag
northstar:filling/oxidization/waxed_exposed_cut_copper_stairs_to_waxed_weathered_cut_copper_stairs | create:filling | c:liquid_oxygen create:filling minecraft:waxed_exposed_cut_copper_stairs minecraft:waxed_weathered_cut_copper_stairs neoforge:tag
northstar:filling/oxidization/waxed_exposed_cut_copper_to_waxed_weathered_cut_copper | create:filling | c:liquid_oxygen create:filling minecraft:waxed_exposed_cut_copper minecraft:waxed_weathered_cut_copper neoforge:tag
northstar:filling/oxidization/waxed_weathered_copper_to_waxed_oxidized_copper | create:filling | c:liquid_oxygen create:filling minecraft:waxed_oxidized_copper minecraft:waxed_weathered_copper neoforge:tag
northstar:filling/oxidization/waxed_weathered_cut_copper_slab_to_waxed_oxidized_cut_copper_slab | create:filling | c:liquid_oxygen create:filling minecraft:waxed_oxidized_cut_copper_slab minecraft:waxed_weathered_cut_copper_slab neoforge:tag
northstar:filling/oxidization/waxed_weathered_cut_copper_stairs_to_waxed_oxidized_cut_copper_stairs | create:filling | c:liquid_oxygen create:filling minecraft:waxed_oxidized_cut_copper_stairs minecraft:waxed_weathered_cut_copper_stairs neoforge:tag
northstar:filling/oxidization/waxed_weathered_cut_copper_to_waxed_oxidized_cut_copper | create:filling | c:liquid_oxygen create:filling minecraft:waxed_oxidized_cut_copper minecraft:waxed_weathered_cut_copper neoforge:tag
northstar:filling/oxidization/weathered_copper_to_oxidized_copper | create:filling | c:liquid_oxygen create:filling minecraft:oxidized_copper minecraft:weathered_copper neoforge:tag
northstar:filling/oxidization/weathered_cut_copper_slab_to_oxidized_cut_copper_slab | create:filling | c:liquid_oxygen create:filling minecraft:oxidized_cut_copper_slab minecraft:weathered_cut_copper_slab neoforge:tag
northstar:filling/oxidization/weathered_cut_copper_stairs_to_oxidized_cut_copper_stairs | create:filling | c:liquid_oxygen create:filling minecraft:oxidized_cut_copper_stairs minecraft:weathered_cut_copper_stairs neoforge:tag
northstar:filling/oxidization/weathered_cut_copper_to_oxidized_cut_copper | create:filling | c:liquid_oxygen create:filling minecraft:oxidized_cut_copper minecraft:weathered_cut_copper neoforge:tag
northstar:filling/reduction/exposed_copper_to_copper_block | create:filling | c:sodium create:filling minecraft:copper_block minecraft:exposed_copper neoforge:tag
northstar:filling/reduction/exposed_cut_copper_slab_to_cut_copper_slab | create:filling | c:sodium create:filling minecraft:cut_copper_slab minecraft:exposed_cut_copper_slab neoforge:tag
northstar:filling/reduction/exposed_cut_copper_stairs_to_cut_copper_stairs | create:filling | c:sodium create:filling minecraft:cut_copper_stairs minecraft:exposed_cut_copper_stairs neoforge:tag
northstar:filling/reduction/exposed_cut_copper_to_cut_copper | create:filling | c:sodium create:filling minecraft:cut_copper minecraft:exposed_cut_copper neoforge:tag
northstar:filling/reduction/oxidized_copper_to_weathered_copper | create:filling | c:sodium create:filling minecraft:oxidized_copper minecraft:weathered_copper neoforge:tag
northstar:filling/reduction/oxidized_cut_copper_slab_to_weathered_cut_copper_slab | create:filling | c:sodium create:filling minecraft:oxidized_cut_copper_slab minecraft:weathered_cut_copper_slab neoforge:tag
northstar:filling/reduction/oxidized_cut_copper_stairs_to_weathered_cut_copper_stairs | create:filling | c:sodium create:filling minecraft:oxidized_cut_copper_stairs minecraft:weathered_cut_copper_stairs neoforge:tag
northstar:filling/reduction/oxidized_cut_copper_to_weathered_cut_copper | create:filling | c:sodium create:filling minecraft:oxidized_cut_copper minecraft:weathered_cut_copper neoforge:tag
northstar:filling/reduction/waxed_exposed_copper_to_waxed_copper_block | create:filling | c:sodium create:filling minecraft:waxed_copper_block minecraft:waxed_exposed_copper neoforge:tag
northstar:filling/reduction/waxed_exposed_cut_copper_slab_to_waxed_cut_copper_slab | create:filling | c:sodium create:filling minecraft:waxed_cut_copper_slab minecraft:waxed_exposed_cut_copper_slab neoforge:tag
northstar:filling/reduction/waxed_exposed_cut_copper_stairs_to_waxed_cut_copper_stairs | create:filling | c:sodium create:filling minecraft:waxed_cut_copper_stairs minecraft:waxed_exposed_cut_copper_stairs neoforge:tag
northstar:filling/reduction/waxed_exposed_cut_copper_to_waxed_cut_copper | create:filling | c:sodium create:filling minecraft:waxed_cut_copper minecraft:waxed_exposed_cut_copper neoforge:tag
northstar:filling/reduction/waxed_oxidized_copper_to_waxed_weathered_copper | create:filling | c:sodium create:filling minecraft:waxed_oxidized_copper minecraft:waxed_weathered_copper neoforge:tag
northstar:filling/reduction/waxed_oxidized_cut_copper_slab_to_waxed_weathered_cut_copper_slab | create:filling | c:sodium create:filling minecraft:waxed_oxidized_cut_copper_slab minecraft:waxed_weathered_cut_copper_slab neoforge:tag
northstar:filling/reduction/waxed_oxidized_cut_copper_stairs_to_waxed_weathered_cut_copper_stairs | create:filling | c:sodium create:filling minecraft:waxed_oxidized_cut_copper_stairs minecraft:waxed_weathered_cut_copper_stairs neoforge:tag
northstar:filling/reduction/waxed_oxidized_cut_copper_to_waxed_weathered_cut_copper | create:filling | c:sodium create:filling minecraft:waxed_oxidized_cut_copper minecraft:waxed_weathered_cut_copper neoforge:tag
northstar:filling/reduction/waxed_weathered_copper_to_waxed_exposed_copper | create:filling | c:sodium create:filling minecraft:waxed_exposed_copper minecraft:waxed_weathered_copper neoforge:tag
northstar:filling/reduction/waxed_weathered_cut_copper_slab_to_waxed_exposed_cut_copper_slab | create:filling | c:sodium create:filling minecraft:waxed_exposed_cut_copper_slab minecraft:waxed_weathered_cut_copper_slab neoforge:tag
northstar:filling/reduction/waxed_weathered_cut_copper_stairs_to_waxed_exposed_cut_copper_stairs | create:filling | c:sodium create:filling minecraft:waxed_exposed_cut_copper_stairs minecraft:waxed_weathered_cut_copper_stairs neoforge:tag
northstar:filling/reduction/waxed_weathered_cut_copper_to_waxed_exposed_cut_copper | create:filling | c:sodium create:filling minecraft:waxed_exposed_cut_copper minecraft:waxed_weathered_cut_copper neoforge:tag
northstar:filling/reduction/weathered_copper_to_exposed_copper | create:filling | c:sodium create:filling minecraft:exposed_copper minecraft:weathered_copper neoforge:tag
northstar:filling/reduction/weathered_cut_copper_slab_to_exposed_cut_copper_slab | create:filling | c:sodium create:filling minecraft:exposed_cut_copper_slab minecraft:weathered_cut_copper_slab neoforge:tag
northstar:filling/reduction/weathered_cut_copper_stairs_to_exposed_cut_copper_stairs | create:filling | c:sodium create:filling minecraft:exposed_cut_copper_stairs minecraft:weathered_cut_copper_stairs neoforge:tag
northstar:filling/reduction/weathered_cut_copper_to_exposed_cut_copper | create:filling | c:sodium create:filling minecraft:exposed_cut_copper minecraft:weathered_cut_copper neoforge:tag
northstar:filling/sodium_catalyst | create:filling | c:dusts/salt create:filling minecraft:lava neoforge:tag northstar:sodium_catalyst
northstar:filling/strawberry_ice_cream | create:filling | c:strawberry_ice_cream create:filling neoforge:tag northstar:ice_cream_cone northstar:strawberry_ice_cream
northstar:filling/vanilla_ice_cream | create:filling | c:vanilla_ice_cream create:filling neoforge:tag northstar:ice_cream_cone northstar:vanilla_ice_cream
northstar:freezing/hydrogen_condensation | northstar:freezing | c:hydrogen neoforge:tag northstar:freezing northstar:liquid_hydrogen
northstar:freezing/hydrogen_evaporation | northstar:freezing | c:liquid_hydrogen neoforge:tag northstar:freezing northstar:hydrogen
northstar:freezing/ice_melting | northstar:freezing | minecraft:ice minecraft:water northstar:freezing
northstar:freezing/methane_freezing | northstar:freezing | c:methane neoforge:tag northstar:freezing northstar:methane_ice
northstar:freezing/methane_ice_melting | northstar:freezing | northstar:freezing northstar:methane northstar:methane_ice
northstar:freezing/oxygen_condensation | northstar:freezing | c:oxygen neoforge:tag northstar:freezing northstar:liquid_oxygen
northstar:freezing/oxygen_evaporation | northstar:freezing | c:liquid_oxygen neoforge:tag northstar:freezing northstar:oxygen
northstar:freezing/vanilla_ice_cream | northstar:freezing | c:milk minecraft:sugar neoforge:tag northstar:freezing northstar:vanilla_ice_cream
northstar:freezing/water_freezing | northstar:freezing | minecraft:ice minecraft:water neoforge:tag northstar:freezing
northstar:liquid_burning/biofuel | createaddition:liquid_burning | createaddition:liquid_burning neoforge:mod_loaded neoforge:single northstar:biofuel
northstar:liquid_burning/hydrocarbon | createaddition:liquid_burning | createaddition:liquid_burning neoforge:mod_loaded neoforge:single northstar:hydrocarbon
northstar:liquid_burning/hydrogen | createaddition:liquid_burning | createaddition:liquid_burning neoforge:mod_loaded neoforge:single northstar:hydrogen
northstar:liquid_burning/liquid_hydrogen | createaddition:liquid_burning | createaddition:liquid_burning neoforge:mod_loaded neoforge:single northstar:liquid_hydrogen
northstar:liquid_burning/methane | createaddition:liquid_burning | createaddition:liquid_burning neoforge:mod_loaded neoforge:single northstar:methane
northstar:mars_stone_brick_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:mars_stone_brick_slab northstar:mars_stone_bricks
northstar:mars_stone_brick_slab_from_mars_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:mars_stone_brick_slab northstar:mars_stone_bricks
northstar:mars_stone_brick_slab_vertical | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:mars_stone_brick_slab_vertical northstar:mars_stone_bricks
northstar:mars_stone_brick_slab_vertical_from_mars_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:mars_stone_brick_slab_vertical northstar:mars_stone_bricks
northstar:mars_stone_brick_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:mars_stone_brick_stairs northstar:mars_stone_bricks
northstar:mars_stone_brick_stairs_from_mars_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:mars_stone_brick_stairs northstar:mars_stone_bricks
northstar:mars_stone_brick_wall | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:mars_stone_brick_wall northstar:mars_stone_bricks
northstar:mars_stone_brick_wall_from_mars_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:mars_stone_brick_wall northstar:mars_stone_bricks
northstar:mars_stone_pillar | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:mars_stone_bricks northstar:mars_stone_pillar
northstar:mars_stone_pillar_from_mars_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:mars_stone_bricks northstar:mars_stone_pillar
northstar:martian_steel_grate | minecraft:crafting_shaped | c:plates/martian_steel minecraft:crafting_shaped northstar:martian_steel_grate
northstar:martian_steel_pillar | minecraft:crafting_shaped | c:ingots/martian_steel minecraft:crafting_shaped northstar:martian_steel_pillar
northstar:martian_steel_pillar_from_ingots_martian_steel_stonecutting | minecraft:stonecutting | c:ingots/martian_steel minecraft:stonecutting northstar:martian_steel_pillar
northstar:martian_steel_plating | minecraft:crafting_shaped | c:ingots/martian_steel minecraft:crafting_shaped northstar:martian_steel_plating
northstar:martian_steel_plating_from_ingots_martian_steel_stonecutting | minecraft:stonecutting | c:ingots/martian_steel minecraft:stonecutting northstar:martian_steel_plating
northstar:martian_steel_plating_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:martian_steel_plating northstar:martian_steel_plating_slab
northstar:martian_steel_plating_slab_from_martian_steel_plating_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:martian_steel_plating northstar:martian_steel_plating_slab
northstar:martian_steel_plating_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:martian_steel_plating northstar:martian_steel_plating_stairs
northstar:martian_steel_plating_stairs_from_martian_steel_plating_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:martian_steel_plating northstar:martian_steel_plating_stairs
northstar:martian_steel_plating_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:martian_steel_plating northstar:martian_steel_plating_vertical_slab
northstar:martian_steel_plating_vertical_slab_from_martian_steel_plating_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:martian_steel_plating northstar:martian_steel_plating_vertical_slab
northstar:martian_steel_sheetmetal | minecraft:crafting_shaped | c:plates/martian_steel minecraft:crafting_shaped northstar:martian_steel_sheetmetal
northstar:martian_steel_sheetmetal_from_plates_martian_steel_stonecutting | minecraft:stonecutting | c:plates/martian_steel minecraft:stonecutting northstar:martian_steel_sheetmetal
northstar:martian_steel_sheetmetal_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:martian_steel_sheetmetal northstar:martian_steel_sheetmetal_slab
northstar:martian_steel_sheetmetal_slab_from_martian_steel_sheetmetal_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:martian_steel_sheetmetal northstar:martian_steel_sheetmetal_slab
northstar:martian_steel_sheetmetal_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:martian_steel_sheetmetal northstar:martian_steel_sheetmetal_vertical_slab
northstar:martian_steel_sheetmetal_vertical_slab_from_martian_steel_sheetmetal_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:martian_steel_sheetmetal northstar:martian_steel_sheetmetal_vertical_slab
northstar:mechanical_crafting/atmospheric_concentrator | create:mechanical_crafting | c:plates/titanium create:fluid_tank create:mechanical_crafting create:propeller create:shaft minecraft:wool northstar:atmospheric_concentrator northstar:circuit northstar:oxygen_separator
northstar:mechanical_crafting/auto_lander | create:mechanical_crafting | create:mechanical_crafting northstar:auto_lander northstar:circuit northstar:lunar_sapphire_crystal northstar:polished_lunar_sapphire northstar:rocket_station northstar:titanium_ingot northstar:titanium_sheet
northstar:mechanical_crafting/circuit_engraver | create:mechanical_crafting | c:plates/titanium create:mechanical_crafting create:polished_rose_quartz create:precision_mechanism create:shaft northstar:amethyst_crystal northstar:circuit_engraver
northstar:mechanical_crafting/computer_rack | create:mechanical_crafting | c:plates/iron create:andesite_alloy create:mechanical_crafting northstar:computer_rack
northstar:mechanical_crafting/electrolysis_machine | create:mechanical_crafting | c:ingots/martian_steel c:plates/martian_steel create:fluid_pipe create:fluid_tank create:mechanical_crafting create:shaft northstar:amethyst_crystal northstar:circuit northstar:electrolysis_machine
northstar:mechanical_crafting/interplanetary_navigator | create:mechanical_crafting | c:ingots/titanium c:plates/titanium create:mechanical_crafting northstar:circuit northstar:interplanetary_navigator northstar:polished_lunar_sapphire northstar:targeting_computer
northstar:mechanical_crafting/oxygen_sealer | create:mechanical_crafting | c:plates/titanium create:encased_fan create:fluid_tank create:mechanical_crafting create:shaft northstar:circuit northstar:oxygen_sealer northstar:oxygen_separator
northstar:mechanical_crafting/rocket_controls | create:mechanical_crafting | c:plates/titanium create:industrial_iron_block create:mechanical_crafting minecraft:lever northstar:circuit northstar:rocket_controls
northstar:mechanical_crafting/rocket_station | create:mechanical_crafting | c:ingots/titanium c:plates/titanium create:mechanical_crafting northstar:circuit northstar:hardened_precision_mechanism northstar:iron_cogwheel northstar:rocket_station northstar:targeting_computer
northstar:mechanical_crafting/solar_panel | create:mechanical_crafting | c:plates/titanium create:mechanical_crafting create:shaft minecraft:tinted_glass northstar:circuit northstar:solar_panel
northstar:mechanical_crafting/temperature_regulator | create:mechanical_crafting | c:ingots/titanium c:plates/titanium create:mechanical_crafting create:shaft minecraft:blaze_rod minecraft:blue_ice northstar:advanced_circuit northstar:temperature_regulator
northstar:mercury_stone_brick_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:mercury_stone_brick_slab northstar:mercury_stone_bricks
northstar:mercury_stone_brick_slab_from_mercury_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:mercury_stone_brick_slab northstar:mercury_stone_bricks
northstar:mercury_stone_brick_slab_vertical | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:mercury_stone_brick_slab_vertical northstar:mercury_stone_bricks
northstar:mercury_stone_brick_slab_vertical_from_mercury_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:mercury_stone_brick_slab_vertical northstar:mercury_stone_bricks
northstar:mercury_stone_brick_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:mercury_stone_brick_stairs northstar:mercury_stone_bricks
northstar:mercury_stone_brick_stairs_from_mercury_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:mercury_stone_brick_stairs northstar:mercury_stone_bricks
northstar:mercury_stone_brick_wall | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:mercury_stone_brick_wall northstar:mercury_stone_bricks
northstar:mercury_stone_brick_wall_from_mercury_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:mercury_stone_brick_wall northstar:mercury_stone_bricks
northstar:mercury_stone_pillar | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:mercury_stone_bricks northstar:mercury_stone_pillar
