dndesires:breccia_from_stone_types_breccia_stonecutting | minecraft:stonecutting | dndesires:breccia dndesires:stone_types/breccia minecraft:stonecutting
dndesires:seething/magma_cream_from_slime_ball | dndesires:seething | dndesires:seething minecraft:magma_cream minecraft:slime_ball
dndesires:seething/mekanism/crushed_raw_lead | dndesires:seething | create:crushed_raw_lead dndesires:seething mekanism:ingot_lead neoforge:mod_loaded
dndesires:seething/mekanism/crushed_raw_osmium | dndesires:seething | create:crushed_raw_osmium dndesires:seething mekanism:ingot_osmium neoforge:mod_loaded
dndesires:seething/mekanism/crushed_raw_tin | dndesires:seething | create:crushed_raw_tin dndesires:seething mekanism:ingot_tin neoforge:mod_loaded
dndesires:seething/mekanism/crushed_raw_uranium | dndesires:seething | create:crushed_raw_uranium dndesires:seething mekanism:ingot_uranium neoforge:mod_loaded
dndesires:seething/netherite_scrap_netherite_scrap | dndesires:seething | dndesires:seething minecraft:ancient_debris minecraft:netherite_scrap
dndesires:seething/oreganized/crushed_raw_lead | dndesires:seething | create:crushed_raw_lead dndesires:seething neoforge:mod_loaded oreganized:lead_ingot
dndesires:seething/oreganized/crushed_raw_silver | dndesires:seething | create:crushed_raw_silver dndesires:seething neoforge:mod_loaded oreganized:silver_ingot
dndesires:seething/thermal/crushed_raw_lead | dndesires:seething | create:crushed_raw_lead dndesires:seething neoforge:mod_loaded thermal:lead_ingot
dndesires:seething/thermal/crushed_raw_nickel | dndesires:seething | create:crushed_raw_nickel dndesires:seething neoforge:mod_loaded thermal:nickel_ingot
dndesires:seething/thermal/crushed_raw_silver | dndesires:seething | create:crushed_raw_silver dndesires:seething neoforge:mod_loaded thermal:silver_ingot
dndesires:seething/thermal/crushed_raw_tin | dndesires:seething | create:crushed_raw_tin dndesires:seething neoforge:mod_loaded thermal:tin_ingot
dndesires:small_breccia_brick_slab | minecraft:crafting_shaped | dndesires:small_breccia_brick_slab dndesires:small_breccia_bricks minecraft:crafting_shaped
dndesires:small_breccia_brick_slab_from_stone_types_breccia_stonecutting | minecraft:stonecutting | dndesires:small_breccia_brick_slab dndesires:stone_types/breccia minecraft:stonecutting
dndesires:small_breccia_brick_slab_recycling | minecraft:crafting_shapeless | dndesires:small_breccia_brick_slab dndesires:small_breccia_bricks minecraft:crafting_shapeless
dndesires:small_breccia_brick_stairs | minecraft:crafting_shaped | dndesires:small_breccia_brick_stairs dndesires:small_breccia_bricks minecraft:crafting_shaped
dndesires:small_breccia_brick_stairs_from_stone_types_breccia_stonecutting | minecraft:stonecutting | dndesires:small_breccia_brick_stairs dndesires:stone_types/breccia minecraft:stonecutting
dndesires:small_breccia_brick_wall | minecraft:crafting_shaped | dndesires:small_breccia_brick_wall dndesires:small_breccia_bricks minecraft:crafting_shaped
dndesires:small_breccia_brick_wall_from_stone_types_breccia_stonecutting | minecraft:stonecutting | dndesires:small_breccia_brick_wall dndesires:stone_types/breccia minecraft:stonecutting
dndesires:small_breccia_bricks_from_stone_types_breccia_stonecutting | minecraft:stonecutting | dndesires:small_breccia_bricks dndesires:stone_types/breccia minecraft:stonecutting
