ars_nouveau:agronomic_sourcelink | minecraft:crafting_shaped | ars_nouveau:agronomic_sourcelink c:gems/source c:ingots/gold minecraft:crafting_shaped minecraft:wheat
ars_nouveau:gilded_sourcestone_large_bricks_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:gilded_sourcestone_large_bricks ars_nouveau:sourcestone minecraft:crafting_shapeless
ars_nouveau:gilded_sourcestone_mosaic_slab | minecraft:crafting_shaped | ars_nouveau:gilded_sourcestone_mosaic ars_nouveau:gilded_sourcestone_mosaic_slab minecraft:crafting_shaped
ars_nouveau:gilded_sourcestone_mosaic_stairs | minecraft:crafting_shaped | ars_nouveau:gilded_sourcestone_mosaic ars_nouveau:gilded_sourcestone_mosaic_stairs minecraft:crafting_shaped
ars_nouveau:gilded_sourcestone_mosaic_stone_cutterslab | minecraft:stonecutting | ars_nouveau:gilded_sourcestone_mosaic ars_nouveau:gilded_sourcestone_mosaic_slab minecraft:stonecutting
ars_nouveau:gilded_sourcestone_mosaic_stonecutter_stair | minecraft:stonecutting | ars_nouveau:gilded_sourcestone_mosaic ars_nouveau:gilded_sourcestone_mosaic_stairs minecraft:stonecutting
ars_nouveau:gilded_sourcestone_mosaic_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:gilded_sourcestone_mosaic ars_nouveau:sourcestone minecraft:crafting_shapeless
ars_nouveau:gilded_sourcestone_small_bricks_slab | minecraft:crafting_shaped | ars_nouveau:gilded_sourcestone_small_bricks ars_nouveau:gilded_sourcestone_small_bricks_slab minecraft:crafting_shaped
ars_nouveau:gilded_sourcestone_small_bricks_stairs | minecraft:crafting_shaped | ars_nouveau:gilded_sourcestone_small_bricks ars_nouveau:gilded_sourcestone_small_bricks_stairs minecraft:crafting_shaped
ars_nouveau:gilded_sourcestone_small_bricks_stone_cutterslab | minecraft:stonecutting | ars_nouveau:gilded_sourcestone_small_bricks ars_nouveau:gilded_sourcestone_small_bricks_slab minecraft:stonecutting
ars_nouveau:gilded_sourcestone_small_bricks_stonecutter_stair | minecraft:stonecutting | ars_nouveau:gilded_sourcestone_small_bricks ars_nouveau:gilded_sourcestone_small_bricks_stairs minecraft:stonecutting
ars_nouveau:gilded_sourcestone_small_bricks_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:gilded_sourcestone_small_bricks ars_nouveau:sourcestone minecraft:crafting_shapeless
ars_nouveau:glowstone_block_to_dust | ars_nouveau:crush | ars_nouveau:crush minecraft:glowstone minecraft:glowstone_dust
ars_nouveau:glyph_accelerate | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_accelerate minecraft:clock minecraft:powered_rail minecraft:sugar
ars_nouveau:glyph_amplify | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_amplify minecraft:diamond_pickaxe
ars_nouveau:glyph_animate_block | ars_nouveau:glyph | ars_nouveau:conjuration_essence ars_nouveau:glyph ars_nouveau:glyph_animate_block c:obsidians
ars_nouveau:glyph_aoe | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_aoe minecraft:firework_star
ars_nouveau:glyph_blink | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_blink ars_nouveau:manipulation_essence c:ender_pearls
ars_nouveau:glyph_bounce | ars_nouveau:glyph | ars_nouveau:abjuration_essence ars_nouveau:glyph ars_nouveau:glyph_bounce c:slime_balls
ars_nouveau:glyph_break | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_break minecraft:iron_pickaxe
ars_nouveau:glyph_bubble | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_bubble ars_nouveau:water_essence c:feathers minecraft:boats minecraft:water_bucket
ars_nouveau:glyph_burst | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_burst ars_nouveau:manipulation_essence minecraft:firework_star minecraft:tnt
ars_nouveau:glyph_cold_snap | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_cold_snap ars_nouveau:water_essence minecraft:ice minecraft:powder_snow_bucket
ars_nouveau:glyph_conjure_water | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_conjure_water ars_nouveau:water_essence minecraft:water_bucket
ars_nouveau:glyph_craft | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_craft minecraft:crafting_table
ars_nouveau:glyph_crush | ars_nouveau:glyph | ars_nouveau:earth_essence ars_nouveau:glyph ars_nouveau:glyph_crush minecraft:grindstone minecraft:piston
ars_nouveau:glyph_cut | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_cut ars_nouveau:manipulation_essence minecraft:iron_sword minecraft:shears
ars_nouveau:glyph_dampen | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_dampen minecraft:nether_brick
ars_nouveau:glyph_decelerate | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_decelerate minecraft:clock minecraft:cobweb minecraft:soul_sand
ars_nouveau:glyph_delay | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_delay ars_nouveau:manipulation_essence minecraft:clock minecraft:repeater
ars_nouveau:glyph_dispel | ars_nouveau:glyph | ars_nouveau:abjuration_essence ars_nouveau:glyph ars_nouveau:glyph_dispel minecraft:milk_bucket
ars_nouveau:glyph_duration_down | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_duration_down minecraft:clock minecraft:glowstone_dust
ars_nouveau:glyph_ender_inventory | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_ender_inventory ars_nouveau:manipulation_essence minecraft:ender_chest
ars_nouveau:glyph_evaporate | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_evaporate ars_nouveau:manipulation_essence minecraft:sponge
ars_nouveau:glyph_exchange | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_exchange ars_nouveau:manipulation_essence c:ender_pearls minecraft:emerald_block
ars_nouveau:glyph_explosion | ars_nouveau:glyph | ars_nouveau:fire_essence ars_nouveau:glyph ars_nouveau:glyph_explosion minecraft:fire_charge minecraft:tnt
ars_nouveau:glyph_extend_time | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_extend_time c:storage_blocks/redstone minecraft:clock
ars_nouveau:glyph_extract | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_extract minecraft:emerald
ars_nouveau:glyph_fangs | ars_nouveau:glyph | ars_nouveau:conjuration_essence ars_nouveau:glyph ars_nouveau:glyph_fangs minecraft:prismarine_shard minecraft:totem_of_undying
ars_nouveau:glyph_fell | ars_nouveau:glyph | ars_nouveau:earth_essence ars_nouveau:glyph ars_nouveau:glyph_fell minecraft:diamond_axe
ars_nouveau:glyph_firework | ars_nouveau:glyph | ars_nouveau:fire_essence ars_nouveau:glyph ars_nouveau:glyph_firework minecraft:firework_rocket minecraft:firework_star
ars_nouveau:glyph_flare | ars_nouveau:glyph | ars_nouveau:fire_essence ars_nouveau:glyph ars_nouveau:glyph_flare minecraft:blaze_rod minecraft:fire_charge minecraft:flint_and_steel
ars_nouveau:glyph_fortune | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_fortune minecraft:rabbit_foot
ars_nouveau:glyph_freeze | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_freeze ars_nouveau:water_essence minecraft:snow_block
ars_nouveau:glyph_glide | ars_nouveau:glyph | ars_nouveau:air_essence ars_nouveau:glyph ars_nouveau:glyph_glide c:gems/diamond minecraft:elytra
ars_nouveau:glyph_gravity | ars_nouveau:glyph | ars_nouveau:air_essence ars_nouveau:glyph ars_nouveau:glyph_gravity c:feathers minecraft:anvil
ars_nouveau:glyph_grow | ars_nouveau:glyph | ars_nouveau:earth_essence ars_nouveau:glyph ars_nouveau:glyph_grow c:seeds minecraft:bone_block
ars_nouveau:glyph_gust | ars_nouveau:glyph | ars_nouveau:air_essence ars_nouveau:glyph ars_nouveau:glyph_gust minecraft:piston
ars_nouveau:glyph_harm | ars_nouveau:glyph | ars_nouveau:earth_essence ars_nouveau:glyph ars_nouveau:glyph_harm minecraft:iron_sword
ars_nouveau:glyph_harvest | ars_nouveau:glyph | ars_nouveau:earth_essence ars_nouveau:glyph ars_nouveau:glyph_harvest minecraft:iron_hoe
ars_nouveau:glyph_heal | ars_nouveau:glyph | ars_nouveau:abjuration_essence ars_nouveau:glyph ars_nouveau:glyph_heal minecraft:glistering_melon_slice minecraft:golden_apple
ars_nouveau:glyph_hex | ars_nouveau:glyph | ars_nouveau:abjuration_essence ars_nouveau:glyph ars_nouveau:glyph_hex minecraft:blaze_rod minecraft:fermented_spider_eye minecraft:wither_rose
ars_nouveau:glyph_ignite | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_ignite minecraft:coals minecraft:flint_and_steel
ars_nouveau:glyph_infuse | ars_nouveau:glyph | ars_nouveau:abjuration_essence ars_nouveau:glyph ars_nouveau:glyph_infuse c:rods/blaze minecraft:glass_bottle
ars_nouveau:glyph_intangible | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_intangible ars_nouveau:manipulation_essence c:ender_pearls minecraft:phantom_membrane
ars_nouveau:glyph_interact | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_interact ars_nouveau:manipulation_essence minecraft:buttons minecraft:lever minecraft:wooden_pressure_plates
ars_nouveau:glyph_invisibility | ars_nouveau:glyph | ars_nouveau:abjuration_essence ars_nouveau:glyph ars_nouveau:glyph_invisibility c:rods/blaze minecraft:fermented_spider_eye
ars_nouveau:glyph_launch | ars_nouveau:glyph | ars_nouveau:air_essence ars_nouveau:glyph ars_nouveau:glyph_launch minecraft:rabbit_hide
ars_nouveau:glyph_leap | ars_nouveau:glyph | ars_nouveau:air_essence ars_nouveau:glyph ars_nouveau:glyph_leap ars_nouveau:wilden_wing
ars_nouveau:glyph_light | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_light minecraft:lantern minecraft:torch
ars_nouveau:glyph_lightning | ars_nouveau:glyph | ars_nouveau:air_essence ars_nouveau:glyph ars_nouveau:glyph_lightning minecraft:heart_of_the_sea minecraft:lightning_rod
ars_nouveau:glyph_linger | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_linger ars_nouveau:manipulation_essence c:rods/blaze c:storage_blocks/diamond minecraft:dragon_breath
ars_nouveau:glyph_name | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_name ars_nouveau:manipulation_essence minecraft:name_tag
ars_nouveau:glyph_orbit | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_orbit c:rods/blaze minecraft:compass minecraft:ender_eye
ars_nouveau:glyph_pantomime | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_pantomime c:glass_blocks
ars_nouveau:glyph_phantom_block | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_phantom_block c:glass_blocks
ars_nouveau:glyph_pickup | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_pickup minecraft:hopper
ars_nouveau:glyph_pierce | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_pierce ars_nouveau:wilden_spike minecraft:arrow
ars_nouveau:glyph_place_block | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_place_block ars_nouveau:manipulation_essence minecraft:dispenser
ars_nouveau:glyph_prestidigitation | ars_nouveau:glyph | ars_nouveau:conjuration_essence ars_nouveau:glyph ars_nouveau:glyph_prestidigitation
ars_nouveau:glyph_projectile | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_projectile minecraft:arrow minecraft:fletching_table
ars_nouveau:glyph_pull | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_pull minecraft:fishing_rod
ars_nouveau:glyph_randomize | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_randomize minecraft:pink_carpet
ars_nouveau:glyph_redstone_signal | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_redstone_signal ars_nouveau:manipulation_essence c:storage_blocks/redstone
ars_nouveau:glyph_rotate | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_rotate ars_nouveau:manipulation_essence
ars_nouveau:glyph_rune | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_rune ars_nouveau:manipulation_essence ars_nouveau:runic_chalk minecraft:tripwire_hook
ars_nouveau:glyph_self | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_self minecraft:iron_chestplate minecraft:wooden_pressure_plates
ars_nouveau:glyph_sense_magic | ars_nouveau:glyph | ars_nouveau:abjuration_essence ars_nouveau:dowsing_rod ars_nouveau:glyph ars_nouveau:glyph_sense_magic ars_nouveau:starbuncle_shards
ars_nouveau:glyph_sensitive | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_sensitive minecraft:poppy minecraft:scaffolding minecraft:water_bucket
ars_nouveau:glyph_slowfall | ars_nouveau:glyph | ars_nouveau:air_essence ars_nouveau:glyph ars_nouveau:glyph_slowfall ars_nouveau:wilden_wing c:crops/nether_wart c:rods/blaze minecraft:feather
ars_nouveau:glyph_smelt | ars_nouveau:glyph | ars_nouveau:fire_essence ars_nouveau:glyph ars_nouveau:glyph_smelt c:rods/blaze minecraft:blast_furnace
ars_nouveau:glyph_snare | ars_nouveau:glyph | ars_nouveau:earth_essence ars_nouveau:glyph ars_nouveau:glyph_snare minecraft:cobweb
ars_nouveau:glyph_split | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_split ars_nouveau:relay_splitter ars_nouveau:wilden_spike minecraft:stonecutter
ars_nouveau:glyph_summon_decoy | ars_nouveau:glyph | ars_nouveau:conjuration_essence ars_nouveau:glyph ars_nouveau:glyph_summon_decoy minecraft:armor_stand
ars_nouveau:glyph_summon_steed | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_summon_steed minecraft:leather
ars_nouveau:glyph_summon_undead | ars_nouveau:glyph | ars_nouveau:conjuration_essence ars_nouveau:glyph ars_nouveau:glyph_summon_undead minecraft:bone minecraft:wither_skeleton_skull
ars_nouveau:glyph_summon_vex | ars_nouveau:glyph | ars_nouveau:conjuration_essence ars_nouveau:glyph ars_nouveau:glyph_summon_vex minecraft:totem_of_undying
ars_nouveau:glyph_summon_wolves | ars_nouveau:glyph | ars_nouveau:conjuration_essence ars_nouveau:glyph ars_nouveau:glyph_summon_wolves ars_nouveau:wilden_wing minecraft:bone
ars_nouveau:glyph_toss | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_toss ars_nouveau:manipulation_essence minecraft:dropper
ars_nouveau:glyph_touch | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_touch minecraft:buttons
ars_nouveau:glyph_underfoot | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_underfoot minecraft:iron_boots minecraft:wooden_pressure_plates
ars_nouveau:glyph_wall | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:glyph_wall ars_nouveau:manipulation_essence c:rods/blaze c:storage_blocks/diamond minecraft:dragon_breath
ars_nouveau:glyph_wind_burst | ars_nouveau:glyph | ars_nouveau:air_essence ars_nouveau:glyph ars_nouveau:glyph_wind_burst minecraft:wind_charge
ars_nouveau:glyph_wind_shear | ars_nouveau:glyph | ars_nouveau:air_essence ars_nouveau:glyph ars_nouveau:glyph_wind_shear minecraft:iron_sword
ars_nouveau:glyph_wither | ars_nouveau:glyph | ars_nouveau:abjuration_essence ars_nouveau:glyph ars_nouveau:glyph_wither minecraft:wither_skeleton_skull
ars_nouveau:gold_grate | minecraft:crafting_shaped | ars_nouveau:gold_grate c:ingots/gold minecraft:crafting_shaped minecraft:iron_bars
ars_nouveau:gravel | ars_nouveau:crush | ars_nouveau:crush c:gravels minecraft:flint minecraft:sand
ars_nouveau:greater_experience_gem | minecraft:crafting_shapeless | ars_nouveau:experience_gem ars_nouveau:greater_experience_gem minecraft:crafting_shapeless
ars_nouveau:green_archwood_wood | minecraft:crafting_shaped | ars_nouveau:green_archwood_log ars_nouveau:green_archwood_wood minecraft:crafting_shaped
ars_nouveau:green_sbed | minecraft:crafting_shapeless | ars_nouveau:green_sbed ars_nouveau:summon_bed c:dyes/green minecraft:crafting_shapeless
ars_nouveau:horn_to_bonemeal | minecraft:crafting_shapeless | ars_nouveau:wilden_horn minecraft:bone_meal minecraft:crafting_shapeless
ars_nouveau:imbuement_abjuration_essence | ars_nouveau:imbuement | ars_nouveau:abjuration_essence ars_nouveau:imbuement c:gems/source minecraft:fermented_spider_eye minecraft:milk_bucket minecraft:sugar
ars_nouveau:imbuement_air_essence | ars_nouveau:imbuement | ars_nouveau:air_essence ars_nouveau:imbuement ars_nouveau:wilden_wing c:gems/source minecraft:arrows minecraft:feather
ars_nouveau:imbuement_amethyst | ars_nouveau:imbuement | ars_nouveau:imbuement ars_nouveau:source_gem minecraft:amethyst_shard
ars_nouveau:imbuement_amethyst_block | ars_nouveau:imbuement | ars_nouveau:imbuement ars_nouveau:source_gem_block minecraft:amethyst_block
ars_nouveau:imbuement_amplify_arrow | ars_nouveau:imbuement | ars_nouveau:air_essence ars_nouveau:amplify_arrow ars_nouveau:imbuement ars_nouveau:source_gem c:gems/diamond minecraft:arrows
ars_nouveau:imbuement_chamber | minecraft:crafting_shaped | ars_nouveau:archwood_planks ars_nouveau:imbuement_chamber c:ingots/gold minecraft:crafting_shaped
ars_nouveau:imbuement_conjuration_essence | ars_nouveau:imbuement | ars_nouveau:conjuration_essence ars_nouveau:imbuement ars_nouveau:starbuncle_shards ars_nouveau:wilden_horn c:gems/source minecraft:book
ars_nouveau:imbuement_earth_essence | ars_nouveau:imbuement | ars_nouveau:earth_essence ars_nouveau:imbuement c:gems/source c:ingots/iron c:seeds minecraft:dirt
ars_nouveau:imbuement_fire_essence | ars_nouveau:imbuement | ars_nouveau:fire_essence ars_nouveau:imbuement c:gems/source minecraft:flint_and_steel minecraft:gunpowder minecraft:torch
ars_nouveau:imbuement_lapis | ars_nouveau:imbuement | ars_nouveau:imbuement ars_nouveau:source_gem c:gems/lapis
ars_nouveau:imbuement_manipulation_essence | ars_nouveau:imbuement | ars_nouveau:imbuement ars_nouveau:manipulation_essence c:gems/source minecraft:clock minecraft:redstone minecraft:stone_button
ars_nouveau:imbuement_pierce_arrow | ars_nouveau:imbuement | ars_nouveau:air_essence ars_nouveau:imbuement ars_nouveau:pierce_arrow ars_nouveau:source_gem ars_nouveau:wilden_spike minecraft:arrows
ars_nouveau:imbuement_split_arrow | ars_nouveau:imbuement | ars_nouveau:air_essence ars_nouveau:imbuement ars_nouveau:source_gem ars_nouveau:split_arrow ars_nouveau:wilden_horn minecraft:arrows
ars_nouveau:imbuement_water_essence | ars_nouveau:imbuement | ars_nouveau:imbuement ars_nouveau:water_essence c:gems/source minecraft:kelp minecraft:snow_block minecraft:water_bucket
ars_nouveau:infinity_1 | ars_nouveau:enchantment | ars_nouveau:air_essence ars_nouveau:enchantment c:storage_blocks/diamond minecraft:infinity
ars_nouveau:item_detector | minecraft:crafting_shaped | ars_nouveau:archwood_planks ars_nouveau:item_detector c:glass_blocks minecraft:crafting_shaped minecraft:observer
ars_nouveau:jar_of_light | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:jar_of_light c:glass_blocks minecraft:glass_bottle minecraft:glowstone minecraft:redstone_lamp
ars_nouveau:jump_ring | ars_nouveau:enchanting_apparatus | ars_nouveau:air_essence ars_nouveau:enchanting_apparatus ars_nouveau:jump_ring ars_nouveau:ring_of_potential ars_nouveau:wilden_wing
ars_nouveau:knockback_1 | ars_nouveau:enchantment | ars_nouveau:air_essence ars_nouveau:enchantment ars_nouveau:manipulation_essence c:storage_blocks/source minecraft:knockback
ars_nouveau:knockback_2 | ars_nouveau:enchantment | ars_nouveau:air_essence ars_nouveau:enchantment ars_nouveau:manipulation_essence c:storage_blocks/source minecraft:knockback
ars_nouveau:light_blue_dye | ars_nouveau:crush | ars_nouveau:crush minecraft:blue_orchid minecraft:light_blue_dye
ars_nouveau:light_gray_dye_azure | ars_nouveau:crush | ars_nouveau:crush minecraft:azure_bluet minecraft:light_gray_dye
ars_nouveau:light_gray_dye_oxeye | ars_nouveau:crush | ars_nouveau:crush minecraft:light_gray_dye minecraft:oxeye_daisy
ars_nouveau:light_gray_dye_tulip | ars_nouveau:crush | ars_nouveau:crush minecraft:light_gray_dye minecraft:white_tulip
ars_nouveau:lingering_flask_cannon | ars_nouveau:enchanting_apparatus | ars_nouveau:air_essence ars_nouveau:enchanting_apparatus ars_nouveau:lingering_flask_cannon ars_nouveau:splash_flask_cannon minecraft:dragon_breath
ars_nouveau:looting_1 | ars_nouveau:enchantment | ars_nouveau:earth_essence ars_nouveau:enchantment c:gems/emerald c:storage_blocks/source minecraft:looting
ars_nouveau:looting_2 | ars_nouveau:enchantment | ars_nouveau:earth_essence ars_nouveau:enchantment c:gems/emerald c:storage_blocks/source minecraft:looting
ars_nouveau:looting_3 | ars_nouveau:enchantment | ars_nouveau:earth_essence ars_nouveau:enchantment c:storage_blocks/emerald c:storage_blocks/lapis c:storage_blocks/source minecraft:looting
ars_nouveau:magebloom_block | minecraft:crafting_shaped | ars_nouveau:magebloom_block ars_nouveau:magebloom_fiber minecraft:crafting_shaped
ars_nouveau:magebloom_block_to_magebloom | minecraft:crafting_shapeless | ars_nouveau:magebloom_block ars_nouveau:magebloom_fiber minecraft:crafting_shapeless
ars_nouveau:magebloom_crop | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:magebloom_crop c:gems/source c:seeds
ars_nouveau:magebloom_fiber | minecraft:crafting_shapeless | ars_nouveau:magebloom ars_nouveau:magebloom_fiber minecraft:crafting_shapeless
ars_nouveau:magebloom_to_pink | minecraft:crafting_shapeless | ars_nouveau:magebloom minecraft:crafting_shapeless minecraft:pink_dye
ars_nouveau:magelight_torch | minecraft:crafting_shaped | ars_nouveau:magelight_torch c:gems/source c:nuggets/gold minecraft:crafting_shaped
ars_nouveau:magenta_dye | ars_nouveau:crush | ars_nouveau:crush minecraft:allium minecraft:magenta_dye
ars_nouveau:magenta_dye_lilac | ars_nouveau:crush | ars_nouveau:crush minecraft:lilac minecraft:magenta_dye
ars_nouveau:mana_boost_1 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:mana_boost ars_nouveau:sourceberry_bush c:storage_blocks/source
ars_nouveau:mana_boost_2 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:mana_boost ars_nouveau:sourceberry_bush c:gems/diamond c:storage_blocks/lapis c:storage_blocks/source
ars_nouveau:mana_boost_3 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:mana_boost ars_nouveau:sourceberry_bush c:gems/diamond c:storage_blocks/lapis c:storage_blocks/source
ars_nouveau:mana_regen_1 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:mana_regen ars_nouveau:sourceberry_bush c:storage_blocks/lapis c:storage_blocks/source
ars_nouveau:mana_regen_2 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:enchantment ars_nouveau:mana_regen ars_nouveau:sourceberry_bush c:storage_blocks/lapis c:storage_blocks/source
ars_nouveau:mana_regen_3 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:enchantment ars_nouveau:mana_regen ars_nouveau:sourceberry_bush c:storage_blocks/lapis c:storage_blocks/source
ars_nouveau:manipulation_essence_to_andesite | minecraft:crafting_shaped | ars_nouveau:manipulation_essence minecraft:andesite minecraft:crafting_shaped minecraft:granite
ars_nouveau:manipulation_essence_to_blazin_sapling | minecraft:crafting_shapeless | ars_nouveau:manipulation_essence ars_nouveau:purple_archwood_sapling ars_nouveau:red_archwood_sapling minecraft:crafting_shapeless
ars_nouveau:manipulation_essence_to_calcite | minecraft:crafting_shaped | ars_nouveau:manipulation_essence minecraft:calcite minecraft:crafting_shaped minecraft:tuff
ars_nouveau:manipulation_essence_to_cascading_sapling | minecraft:crafting_shapeless | ars_nouveau:blue_archwood_sapling ars_nouveau:manipulation_essence ars_nouveau:red_archwood_sapling minecraft:crafting_shapeless
ars_nouveau:manipulation_essence_to_deepslate | minecraft:crafting_shaped | ars_nouveau:manipulation_essence minecraft:calcite minecraft:crafting_shaped minecraft:deepslate
ars_nouveau:manipulation_essence_to_diorite | minecraft:crafting_shaped | ars_nouveau:manipulation_essence minecraft:andesite minecraft:crafting_shaped minecraft:diorite
ars_nouveau:manipulation_essence_to_flourishing_sapling | minecraft:crafting_shapeless | ars_nouveau:blue_archwood_sapling ars_nouveau:green_archwood_sapling ars_nouveau:manipulation_essence minecraft:crafting_shapeless
ars_nouveau:manipulation_essence_to_granite | minecraft:crafting_shaped | ars_nouveau:manipulation_essence minecraft:crafting_shaped minecraft:diorite minecraft:granite
ars_nouveau:manipulation_essence_to_grass_block | minecraft:crafting_shaped | ars_nouveau:manipulation_essence minecraft:crafting_shaped minecraft:grass_block minecraft:moss_block
ars_nouveau:manipulation_essence_to_moss_block | minecraft:crafting_shaped | ars_nouveau:manipulation_essence minecraft:crafting_shaped minecraft:moss_block minecraft:mycelium
ars_nouveau:manipulation_essence_to_mycelium | minecraft:crafting_shaped | ars_nouveau:manipulation_essence minecraft:crafting_shaped minecraft:grass_block minecraft:mycelium
ars_nouveau:manipulation_essence_to_tuff | minecraft:crafting_shaped | ars_nouveau:manipulation_essence minecraft:crafting_shaped minecraft:deepslate minecraft:tuff
ars_nouveau:manipulation_essence_to_vexing_sapling | minecraft:crafting_shapeless | ars_nouveau:green_archwood_sapling ars_nouveau:manipulation_essence ars_nouveau:purple_archwood_sapling minecraft:crafting_shapeless
ars_nouveau:mendosteen_to_lime | minecraft:crafting_shapeless | ars_nouveau:mendosteen_pod minecraft:crafting_shapeless minecraft:lime_dye
ars_nouveau:mimic_scroll | minecraft:crafting_shapeless | ars_nouveau:allow_scroll ars_nouveau:mimic_scroll minecraft:chest minecraft:crafting_shapeless
ars_nouveau:mirrorweave | minecraft:crafting_shaped | ars_nouveau:conjuration_essence ars_nouveau:magebloom_block ars_nouveau:mirrorweave minecraft:crafting_shaped
ars_nouveau:mob_jar | minecraft:crafting_shaped | ars_nouveau:archwood_slab ars_nouveau:mob_jar c:glass_blocks minecraft:crafting_shaped
ars_nouveau:moonfall_2 | minecraft:crafting_shapeless | ars_nouveau:blue_archwood_log ars_nouveau:ritual_moonfall ars_nouveau:wilden_wing minecraft:crafting_shapeless
ars_nouveau:multishot_1 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:manipulation_essence c:storage_blocks/source minecraft:multishot
ars_nouveau:mundane_belt | minecraft:crafting_shaped | ars_nouveau:mundane_belt c:gems/source c:leathers minecraft:crafting_shaped
ars_nouveau:mycelial_sourcelink | minecraft:crafting_shaped | ars_nouveau:mycelial_sourcelink c:gems/source c:ingots/gold minecraft:crafting_shaped minecraft:mushroom_stew
ars_nouveau:novice_spell_book | minecraft:crafting_shapeless | ars_nouveau:novice_spell_book minecraft:book minecraft:crafting_shapeless minecraft:iron_axe minecraft:iron_pickaxe minecraft:iron_shovel minecraft:iron_sword
ars_nouveau:novice_spellbook_alt | minecraft:crafting_shapeless | ars_nouveau:novice_spell_book ars_nouveau:worn_notebook minecraft:crafting_shapeless minecraft:iron_axe minecraft:iron_pickaxe minecraft:iron_shovel minecraft:iron_sword
ars_nouveau:orange_dye | ars_nouveau:crush | ars_nouveau:crush minecraft:orange_dye minecraft:orange_tulip
ars_nouveau:orange_sbed | minecraft:crafting_shaped | ars_nouveau:magebloom_fiber ars_nouveau:orange_sbed minecraft:crafting_shaped minecraft:feather
