minecraft:dark_prismarine | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_prismarine minecraft:ink_sac minecraft:prismarine_shard
upgrade_aquatic:elder_prismarine_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:elder_prismarine_coralstone upgrade_aquatic:elder_prismarine_coralstone_wall
upgrade_aquatic:elder_prismarine_coralstone_wall_from_elder_prismarine_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:elder_prismarine_coralstone upgrade_aquatic:elder_prismarine_coralstone_wall
upgrade_aquatic:finger_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:finger_coral_block upgrade_aquatic:finger_corals
upgrade_aquatic:finger_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:finger_coralstone upgrade_aquatic:finger_coralstone_slab
upgrade_aquatic:finger_coralstone_slab_from_finger_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:finger_coralstone upgrade_aquatic:finger_coralstone_slab
upgrade_aquatic:finger_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:finger_coralstone upgrade_aquatic:finger_coralstone_stairs
upgrade_aquatic:finger_coralstone_stairs_from_finger_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:finger_coralstone upgrade_aquatic:finger_coralstone_stairs
upgrade_aquatic:finger_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:finger_coralstone upgrade_aquatic:finger_coralstone_wall
upgrade_aquatic:finger_coralstone_wall_from_finger_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:finger_coralstone upgrade_aquatic:finger_coralstone_wall
upgrade_aquatic:fire_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:fire_coral_block upgrade_aquatic:fire_corals
upgrade_aquatic:fire_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:fire_coralstone upgrade_aquatic:fire_coralstone_slab
upgrade_aquatic:fire_coralstone_slab_from_fire_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:fire_coralstone upgrade_aquatic:fire_coralstone_slab
upgrade_aquatic:fire_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:fire_coralstone upgrade_aquatic:fire_coralstone_stairs
upgrade_aquatic:fire_coralstone_stairs_from_fire_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:fire_coralstone upgrade_aquatic:fire_coralstone_stairs
upgrade_aquatic:fire_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:fire_coralstone upgrade_aquatic:fire_coralstone_wall
upgrade_aquatic:fire_coralstone_wall_from_fire_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:fire_coralstone upgrade_aquatic:fire_coralstone_wall
upgrade_aquatic:horn_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:horn_coral_block upgrade_aquatic:horn_corals
upgrade_aquatic:horn_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:horn_coralstone upgrade_aquatic:horn_coralstone_slab
upgrade_aquatic:horn_coralstone_slab_from_horn_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:horn_coralstone upgrade_aquatic:horn_coralstone_slab
upgrade_aquatic:horn_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:horn_coralstone upgrade_aquatic:horn_coralstone_stairs
upgrade_aquatic:horn_coralstone_stairs_from_horn_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:horn_coralstone upgrade_aquatic:horn_coralstone_stairs
upgrade_aquatic:horn_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:horn_coralstone upgrade_aquatic:horn_coralstone_wall
upgrade_aquatic:horn_coralstone_wall_from_horn_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:horn_coralstone upgrade_aquatic:horn_coralstone_wall
upgrade_aquatic:kelp | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:kelp upgrade_aquatic:kelp_block
upgrade_aquatic:kelp_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:kelp upgrade_aquatic:kelp_block
upgrade_aquatic:kelpy_cobblestone | minecraft:crafting_shapeless | minecraft:cobblestone minecraft:crafting_shapeless minecraft:kelp upgrade_aquatic:kelpy_cobblestone
upgrade_aquatic:kelpy_cobblestone_brick_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_brick_slab upgrade_aquatic:kelpy_cobblestone_bricks
upgrade_aquatic:kelpy_cobblestone_brick_slab_from_kelpy_cobblestone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_brick_slab upgrade_aquatic:kelpy_cobblestone_bricks
upgrade_aquatic:kelpy_cobblestone_brick_slab_from_kelpy_cobblestone_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone upgrade_aquatic:kelpy_cobblestone_brick_slab
upgrade_aquatic:kelpy_cobblestone_brick_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_brick_stairs upgrade_aquatic:kelpy_cobblestone_bricks
upgrade_aquatic:kelpy_cobblestone_brick_stairs_from_kelpy_cobblestone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_brick_stairs upgrade_aquatic:kelpy_cobblestone_bricks
upgrade_aquatic:kelpy_cobblestone_brick_stairs_from_kelpy_cobblestone_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone upgrade_aquatic:kelpy_cobblestone_brick_stairs
upgrade_aquatic:kelpy_cobblestone_brick_wall | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_brick_wall upgrade_aquatic:kelpy_cobblestone_bricks
upgrade_aquatic:kelpy_cobblestone_brick_wall_from_kelpy_cobblestone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_brick_wall upgrade_aquatic:kelpy_cobblestone_bricks
upgrade_aquatic:kelpy_cobblestone_brick_wall_from_kelpy_cobblestone_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone upgrade_aquatic:kelpy_cobblestone_brick_wall
upgrade_aquatic:kelpy_cobblestone_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone upgrade_aquatic:kelpy_cobblestone_bricks
upgrade_aquatic:kelpy_cobblestone_bricks_from_kelp | minecraft:crafting_shapeless | caverns_and_chasms:cobblestone_bricks minecraft:crafting_shapeless minecraft:kelp neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_bricks
upgrade_aquatic:kelpy_cobblestone_bricks_from_kelpy_cobblestone_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone upgrade_aquatic:kelpy_cobblestone_bricks
upgrade_aquatic:kelpy_cobblestone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:kelpy_cobblestone upgrade_aquatic:kelpy_cobblestone_slab
upgrade_aquatic:kelpy_cobblestone_slab_from_kelpy_cobblestone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:kelpy_cobblestone upgrade_aquatic:kelpy_cobblestone_slab
upgrade_aquatic:kelpy_cobblestone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:kelpy_cobblestone upgrade_aquatic:kelpy_cobblestone_stairs
upgrade_aquatic:kelpy_cobblestone_stairs_from_kelpy_cobblestone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:kelpy_cobblestone upgrade_aquatic:kelpy_cobblestone_stairs
upgrade_aquatic:kelpy_cobblestone_tile_slab | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_tile_slab upgrade_aquatic:kelpy_cobblestone_tiles
upgrade_aquatic:kelpy_cobblestone_tile_slab_from_kelpy_cobblestone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_bricks upgrade_aquatic:kelpy_cobblestone_tile_slab
upgrade_aquatic:kelpy_cobblestone_tile_slab_from_kelpy_cobblestone_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone upgrade_aquatic:kelpy_cobblestone_tile_slab
upgrade_aquatic:kelpy_cobblestone_tile_slab_from_kelpy_cobblestone_tiles_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_tile_slab upgrade_aquatic:kelpy_cobblestone_tiles
upgrade_aquatic:kelpy_cobblestone_tile_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_tile_stairs upgrade_aquatic:kelpy_cobblestone_tiles
upgrade_aquatic:kelpy_cobblestone_tile_stairs_from_kelpy_cobblestone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_bricks upgrade_aquatic:kelpy_cobblestone_tile_stairs
upgrade_aquatic:kelpy_cobblestone_tile_stairs_from_kelpy_cobblestone_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone upgrade_aquatic:kelpy_cobblestone_tile_stairs
upgrade_aquatic:kelpy_cobblestone_tile_stairs_from_kelpy_cobblestone_tiles_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_tile_stairs upgrade_aquatic:kelpy_cobblestone_tiles
upgrade_aquatic:kelpy_cobblestone_tile_wall | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_tile_wall upgrade_aquatic:kelpy_cobblestone_tiles
upgrade_aquatic:kelpy_cobblestone_tile_wall_from_kelpy_cobblestone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_bricks upgrade_aquatic:kelpy_cobblestone_tile_wall
upgrade_aquatic:kelpy_cobblestone_tile_wall_from_kelpy_cobblestone_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone upgrade_aquatic:kelpy_cobblestone_tile_wall
upgrade_aquatic:kelpy_cobblestone_tile_wall_from_kelpy_cobblestone_tiles_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_tile_wall upgrade_aquatic:kelpy_cobblestone_tiles
upgrade_aquatic:kelpy_cobblestone_tiles | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_bricks upgrade_aquatic:kelpy_cobblestone_tiles
upgrade_aquatic:kelpy_cobblestone_tiles_from_kelp | minecraft:crafting_shapeless | caverns_and_chasms:cobblestone_tiles minecraft:crafting_shapeless minecraft:kelp neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_tiles
upgrade_aquatic:kelpy_cobblestone_tiles_from_kelpy_cobblestone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone_bricks upgrade_aquatic:kelpy_cobblestone_tiles
upgrade_aquatic:kelpy_cobblestone_tiles_from_kelpy_cobblestone_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:mod_loaded upgrade_aquatic:kelpy_cobblestone upgrade_aquatic:kelpy_cobblestone_tiles
upgrade_aquatic:kelpy_cobblestone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:kelpy_cobblestone upgrade_aquatic:kelpy_cobblestone_wall
upgrade_aquatic:kelpy_cobblestone_wall_from_kelpy_cobblestone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:kelpy_cobblestone upgrade_aquatic:kelpy_cobblestone_wall
upgrade_aquatic:kelpy_stone_brick_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:kelpy_stone_brick_slab upgrade_aquatic:kelpy_stone_bricks
upgrade_aquatic:kelpy_stone_brick_slab_from_kelpy_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:kelpy_stone_brick_slab upgrade_aquatic:kelpy_stone_bricks
upgrade_aquatic:kelpy_stone_brick_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:kelpy_stone_brick_stairs upgrade_aquatic:kelpy_stone_bricks
upgrade_aquatic:kelpy_stone_brick_stairs_from_kelpy_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:kelpy_stone_brick_stairs upgrade_aquatic:kelpy_stone_bricks
upgrade_aquatic:kelpy_stone_brick_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:kelpy_stone_brick_wall upgrade_aquatic:kelpy_stone_bricks
upgrade_aquatic:kelpy_stone_brick_wall_from_kelpy_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:kelpy_stone_brick_wall upgrade_aquatic:kelpy_stone_bricks
upgrade_aquatic:kelpy_stone_bricks | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:kelp minecraft:stone_bricks upgrade_aquatic:kelpy_stone_bricks
upgrade_aquatic:large_driftwood_boat | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:driftwood_boat upgrade_aquatic:driftwood_planks upgrade_aquatic:large_driftwood_boat
upgrade_aquatic:large_river_boat | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:large_river_boat upgrade_aquatic:river_boat upgrade_aquatic:river_planks
upgrade_aquatic:luminous_prismarine | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:glow_ink_sac minecraft:prismarine_shard upgrade_aquatic:luminous_prismarine
upgrade_aquatic:luminous_prismarine_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:luminous_prismarine upgrade_aquatic:luminous_prismarine_slab
upgrade_aquatic:luminous_prismarine_slab_from_luminous_prismarine_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:luminous_prismarine upgrade_aquatic:luminous_prismarine_slab
upgrade_aquatic:luminous_prismarine_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:luminous_prismarine upgrade_aquatic:luminous_prismarine_stairs
upgrade_aquatic:luminous_prismarine_stairs_from_luminous_prismarine_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:luminous_prismarine upgrade_aquatic:luminous_prismarine_stairs
upgrade_aquatic:magenta_dye_from_mulberry | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:magenta_dye upgrade_aquatic:mulberry
upgrade_aquatic:moss_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:moss_coral_block upgrade_aquatic:moss_corals
upgrade_aquatic:moss_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:moss_coralstone upgrade_aquatic:moss_coralstone_slab
upgrade_aquatic:moss_coralstone_slab_from_moss_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:moss_coralstone upgrade_aquatic:moss_coralstone_slab
upgrade_aquatic:moss_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:moss_coralstone upgrade_aquatic:moss_coralstone_stairs
upgrade_aquatic:moss_coralstone_stairs_from_moss_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:moss_coralstone upgrade_aquatic:moss_coralstone_stairs
upgrade_aquatic:moss_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:moss_coralstone upgrade_aquatic:moss_coralstone_wall
upgrade_aquatic:moss_coralstone_wall_from_moss_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:moss_coralstone upgrade_aquatic:moss_coralstone_wall
upgrade_aquatic:mulberry | minecraft:crafting_shapeless | minecraft:crafting_shapeless neoforge:mod_loaded upgrade_aquatic:mulberry upgrade_aquatic:mulberry_punnet
upgrade_aquatic:mulberry_bread | minecraft:crafting_shapeless | minecraft:bread minecraft:crafting_shapeless upgrade_aquatic:mulberry_bread upgrade_aquatic:mulberry_jam_bottle
upgrade_aquatic:mulberry_jam_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:mulberry_jam_block upgrade_aquatic:mulberry_jam_bottle
upgrade_aquatic:mulberry_jam_bottle | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:glass_bottle minecraft:sugar upgrade_aquatic:mulberry upgrade_aquatic:mulberry_jam_bottle
upgrade_aquatic:mulberry_jam_bottle_from_mulberry_jam_block | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:glass_bottle upgrade_aquatic:mulberry_jam_block upgrade_aquatic:mulberry_jam_bottle
upgrade_aquatic:mulberry_pie | minecraft:crafting_shapeless | c:eggs minecraft:crafting_shapeless minecraft:sugar upgrade_aquatic:mulberry upgrade_aquatic:mulberry_pie
upgrade_aquatic:mulberry_punnet | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:mulberry upgrade_aquatic:mulberry_punnet
upgrade_aquatic:music_disc_atlantis | minecraft:crafting_shapeless | minecraft:crafting_shapeless upgrade_aquatic:disc_fragment_atlantis upgrade_aquatic:music_disc_atlantis
upgrade_aquatic:nautilus_shell_from_blasting_embedded_ammonite | minecraft:blasting | minecraft:blasting minecraft:nautilus_shell upgrade_aquatic:embedded_ammonite
upgrade_aquatic:nautilus_shell_from_smelting_embedded_ammonite | minecraft:smelting | minecraft:nautilus_shell minecraft:smelting upgrade_aquatic:embedded_ammonite
upgrade_aquatic:petal_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:petal_coral_block upgrade_aquatic:petal_corals
upgrade_aquatic:petal_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:petal_coralstone upgrade_aquatic:petal_coralstone_slab
upgrade_aquatic:petal_coralstone_slab_from_petal_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:petal_coralstone upgrade_aquatic:petal_coralstone_slab
upgrade_aquatic:petal_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:petal_coralstone upgrade_aquatic:petal_coralstone_stairs
upgrade_aquatic:petal_coralstone_stairs_from_petal_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:petal_coralstone upgrade_aquatic:petal_coralstone_stairs
upgrade_aquatic:petal_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:petal_coralstone upgrade_aquatic:petal_coralstone_wall
upgrade_aquatic:petal_coralstone_wall_from_petal_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:petal_coralstone upgrade_aquatic:petal_coralstone_wall
upgrade_aquatic:pickerelweed | minecraft:crafting_shapeless | minecraft:crafting_shapeless upgrade_aquatic:pickerelweed upgrade_aquatic:pickerelweed_block
upgrade_aquatic:pickerelweed_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:pickerelweed upgrade_aquatic:pickerelweed_block
upgrade_aquatic:pillow_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:pillow_coral_block upgrade_aquatic:pillow_corals
upgrade_aquatic:pillow_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:pillow_coralstone upgrade_aquatic:pillow_coralstone_slab
upgrade_aquatic:pillow_coralstone_slab_from_pillow_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:pillow_coralstone upgrade_aquatic:pillow_coralstone_slab
upgrade_aquatic:pillow_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:pillow_coralstone upgrade_aquatic:pillow_coralstone_stairs
upgrade_aquatic:pillow_coralstone_stairs_from_pillow_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:pillow_coralstone upgrade_aquatic:pillow_coralstone_stairs
upgrade_aquatic:pillow_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:pillow_coralstone upgrade_aquatic:pillow_coralstone_wall
upgrade_aquatic:pillow_coralstone_wall_from_pillow_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:pillow_coralstone upgrade_aquatic:pillow_coralstone_wall
upgrade_aquatic:pink_dye_from_flowering_rush | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:pink_dye upgrade_aquatic:flowering_rush
upgrade_aquatic:pink_dye_from_pink_searocket | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:pink_dye upgrade_aquatic:pink_searocket
upgrade_aquatic:prismarine_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:prismarine_coral_block upgrade_aquatic:prismarine_corals
upgrade_aquatic:prismarine_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:prismarine_coralstone upgrade_aquatic:prismarine_coralstone_slab
upgrade_aquatic:prismarine_coralstone_slab_from_prismarine_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:prismarine_coralstone upgrade_aquatic:prismarine_coralstone_slab
upgrade_aquatic:prismarine_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:prismarine_coralstone upgrade_aquatic:prismarine_coralstone_stairs
upgrade_aquatic:prismarine_coralstone_stairs_from_prismarine_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:prismarine_coralstone upgrade_aquatic:prismarine_coralstone_stairs
upgrade_aquatic:prismarine_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:prismarine_coralstone upgrade_aquatic:prismarine_coralstone_wall
upgrade_aquatic:prismarine_coralstone_wall_from_prismarine_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:prismarine_coralstone upgrade_aquatic:prismarine_coralstone_wall
upgrade_aquatic:prismarine_rod | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:prismarine_shard upgrade_aquatic:prismarine_rod
upgrade_aquatic:prismarine_rod_bundle | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:prismarine_rod upgrade_aquatic:prismarine_rod_bundle
upgrade_aquatic:prismarine_rod_from_prismarine_rod_bundle | minecraft:crafting_shapeless | minecraft:crafting_shapeless upgrade_aquatic:prismarine_rod upgrade_aquatic:prismarine_rod_bundle
upgrade_aquatic:river_beehive | minecraft:crafting_shaped | blueprint:and minecraft:crafting_shaped minecraft:honeycomb neoforge:mod_loaded upgrade_aquatic:river_beehive upgrade_aquatic:river_planks woodworks:config
upgrade_aquatic:river_boards | minecraft:crafting_shaped | blueprint:and minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:river_boards upgrade_aquatic:river_slab woodworks:config
upgrade_aquatic:river_boards_from_river_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_boards upgrade_aquatic:river_logs woodworks:config woodworks:sawmill
upgrade_aquatic:river_boards_from_river_planks_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_boards upgrade_aquatic:river_planks woodworks:config woodworks:sawmill
upgrade_aquatic:river_boat | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:river_boat upgrade_aquatic:river_planks
upgrade_aquatic:river_bookshelf | minecraft:crafting_shaped | blueprint:and minecraft:book minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:river_bookshelf upgrade_aquatic:river_planks woodworks:config
upgrade_aquatic:river_button | minecraft:crafting_shapeless | minecraft:crafting_shapeless upgrade_aquatic:river_button upgrade_aquatic:river_planks
upgrade_aquatic:river_button_from_river_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_button upgrade_aquatic:river_logs woodworks:config woodworks:sawmill
upgrade_aquatic:river_button_from_river_planks_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_button upgrade_aquatic:river_planks woodworks:config woodworks:sawmill
upgrade_aquatic:river_chest | minecraft:crafting_shaped | blueprint:and minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:river_chest upgrade_aquatic:river_planks woodworks:config
upgrade_aquatic:river_chest_boat | minecraft:crafting_shapeless | c:chests/wooden minecraft:crafting_shapeless upgrade_aquatic:river_boat upgrade_aquatic:river_chest_boat
upgrade_aquatic:river_door | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:river_door upgrade_aquatic:river_planks
upgrade_aquatic:river_door_from_river_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_door upgrade_aquatic:river_logs woodworks:config woodworks:sawmill
upgrade_aquatic:river_fence | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick upgrade_aquatic:river_fence upgrade_aquatic:river_planks
upgrade_aquatic:river_fence_from_river_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_fence upgrade_aquatic:river_logs woodworks:config woodworks:sawmill
upgrade_aquatic:river_fence_from_river_planks_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_fence upgrade_aquatic:river_planks woodworks:config woodworks:sawmill
upgrade_aquatic:river_fence_gate | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick upgrade_aquatic:river_fence_gate upgrade_aquatic:river_planks
upgrade_aquatic:river_fence_gate_from_river_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_fence_gate upgrade_aquatic:river_logs woodworks:config woodworks:sawmill
upgrade_aquatic:river_furnace_boat | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:furnace neoforge:mod_loaded upgrade_aquatic:river_boat upgrade_aquatic:river_furnace_boat
upgrade_aquatic:river_hanging_sign | minecraft:crafting_shaped | minecraft:chain minecraft:crafting_shaped upgrade_aquatic:river_hanging_sign upgrade_aquatic:stripped_river_log
upgrade_aquatic:river_ladder | minecraft:crafting_shaped | blueprint:and minecraft:crafting_shaped minecraft:stick neoforge:mod_loaded upgrade_aquatic:river_ladder upgrade_aquatic:river_planks woodworks:config
upgrade_aquatic:river_ladder_from_river_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_ladder upgrade_aquatic:river_logs woodworks:config woodworks:sawmill
