handcrafted:acacia_bench | minecraft:crafting_shaped | handcrafted:acacia_bench minecraft:acacia_planks minecraft:acacia_slab minecraft:crafting_shaped
handcrafted:oak_chair | minecraft:crafting_shaped | handcrafted:oak_chair minecraft:crafting_shaped minecraft:oak_planks minecraft:oak_slab minecraft:stick
handcrafted:oak_corner_trim | minecraft:crafting_shaped | handcrafted:oak_corner_trim minecraft:crafting_shaped minecraft:oak_planks
handcrafted:oak_couch | minecraft:crafting_shaped | handcrafted:cushions handcrafted:oak_couch minecraft:crafting_shaped minecraft:oak_planks minecraft:wool
handcrafted:oak_counter | minecraft:crafting_shaped | handcrafted:chests handcrafted:oak_counter minecraft:calcite minecraft:crafting_shaped minecraft:oak_planks
handcrafted:oak_cupboard | minecraft:crafting_shaped | handcrafted:chests handcrafted:oak_cupboard minecraft:crafting_shaped minecraft:oak_planks
handcrafted:oak_desk | minecraft:crafting_shaped | handcrafted:chests handcrafted:oak_desk minecraft:crafting_shaped minecraft:oak_planks minecraft:oak_slab
handcrafted:oak_dining_bench | minecraft:crafting_shaped | handcrafted:oak_dining_bench minecraft:crafting_shaped minecraft:oak_planks minecraft:oak_slab
handcrafted:oak_drawer | minecraft:crafting_shaped | handcrafted:chests handcrafted:oak_drawer minecraft:crafting_shaped minecraft:oak_planks minecraft:oak_slab
handcrafted:oak_fancy_bed | minecraft:crafting_shaped | handcrafted:cushions handcrafted:oak_fancy_bed handcrafted:sheets minecraft:crafting_shaped minecraft:oak_planks minecraft:wool
handcrafted:oak_nightstand | minecraft:crafting_shaped | handcrafted:chests handcrafted:oak_nightstand minecraft:crafting_shaped minecraft:oak_planks
handcrafted:oak_pillar_trim | minecraft:crafting_shaped | handcrafted:oak_pillar_trim minecraft:crafting_shaped minecraft:oak_planks
handcrafted:oak_shelf | minecraft:crafting_shaped | handcrafted:chests handcrafted:oak_shelf minecraft:crafting_shaped minecraft:oak_planks minecraft:oak_slab
handcrafted:oak_side_table | minecraft:crafting_shaped | handcrafted:chests handcrafted:oak_side_table minecraft:crafting_shaped minecraft:oak_planks minecraft:oak_slab
handcrafted:oak_table | minecraft:crafting_shaped | handcrafted:oak_table minecraft:crafting_shaped minecraft:oak_planks minecraft:stick
handcrafted:orange_cushion | minecraft:crafting_shaped | handcrafted:orange_cushion minecraft:crafting_shaped minecraft:feather minecraft:orange_wool
handcrafted:orange_sheet | minecraft:crafting_shapeless | handcrafted:orange_sheet minecraft:crafting_shapeless minecraft:orange_wool
handcrafted:oven | minecraft:crafting_shaped | handcrafted:oven minecraft:brick minecraft:crafting_shaped minecraft:iron_bars minecraft:smoker
handcrafted:phantom_trophy | minecraft:crafting_shaped | handcrafted:phantom_trophy minecraft:chain minecraft:crafting_shaped minecraft:phantom_membrane minecraft:planks
handcrafted:pillager_trophy | minecraft:crafting_shaped | handcrafted:pillager_trophy minecraft:crafting_shaped minecraft:crossbow minecraft:stone
handcrafted:pink_cushion | minecraft:crafting_shaped | handcrafted:pink_cushion minecraft:crafting_shaped minecraft:feather minecraft:pink_wool
handcrafted:pink_sheet | minecraft:crafting_shapeless | handcrafted:pink_sheet minecraft:crafting_shapeless minecraft:pink_wool
handcrafted:pufferfish_trophy | minecraft:crafting_shaped | handcrafted:pufferfish_trophy minecraft:crafting_shaped minecraft:planks minecraft:pufferfish
handcrafted:purple_cushion | minecraft:crafting_shaped | handcrafted:purple_cushion minecraft:crafting_shaped minecraft:feather minecraft:purple_wool
handcrafted:purple_sheet | minecraft:crafting_shapeless | handcrafted:purple_sheet minecraft:crafting_shapeless minecraft:purple_wool
handcrafted:quartz_corner_trim | minecraft:crafting_shaped | handcrafted:quartz_corner_trim minecraft:crafting_shaped minecraft:quartz_block
handcrafted:quartz_pillar_trim | minecraft:crafting_shaped | handcrafted:quartz_pillar_trim minecraft:crafting_shaped minecraft:quartz_block
handcrafted:red_cushion | minecraft:crafting_shaped | handcrafted:red_cushion minecraft:crafting_shaped minecraft:feather minecraft:red_wool
handcrafted:red_sandstone_corner_trim | minecraft:crafting_shaped | handcrafted:red_sandstone_corner_trim minecraft:crafting_shaped minecraft:red_sandstone
handcrafted:red_sandstone_pillar_trim | minecraft:crafting_shaped | handcrafted:red_sandstone_pillar_trim minecraft:crafting_shaped minecraft:red_sandstone
handcrafted:red_sheet | minecraft:crafting_shapeless | handcrafted:red_sheet minecraft:crafting_shapeless minecraft:red_wool
handcrafted:salmon_trophy | minecraft:crafting_shaped | handcrafted:salmon_trophy minecraft:crafting_shaped minecraft:planks minecraft:salmon
handcrafted:sandstone_corner_trim | minecraft:crafting_shaped | handcrafted:sandstone_corner_trim minecraft:crafting_shaped minecraft:sandstone
handcrafted:sandstone_pillar_trim | minecraft:crafting_shaped | handcrafted:sandstone_pillar_trim minecraft:crafting_shaped minecraft:sandstone
handcrafted:silverfish_trophy | minecraft:crafting_shaped | handcrafted:silverfish_trophy minecraft:chiseled_stone_bricks minecraft:crafting_shaped minecraft:planks
handcrafted:skeleton_horse_trophy | minecraft:crafting_shaped | handcrafted:skeleton_horse_trophy minecraft:crafting_shaped minecraft:planks minecraft:saddle
handcrafted:skeleton_trophy | minecraft:crafting_shaped | handcrafted:skeleton_trophy minecraft:crafting_shaped minecraft:skeleton_skull minecraft:stone
handcrafted:spider_trophy | minecraft:crafting_shaped | handcrafted:spider_trophy minecraft:crafting_shaped minecraft:planks minecraft:spider_eye
handcrafted:spruce_bench | minecraft:crafting_shaped | handcrafted:spruce_bench minecraft:crafting_shaped minecraft:spruce_planks minecraft:spruce_slab
handcrafted:spruce_chair | minecraft:crafting_shaped | handcrafted:spruce_chair minecraft:crafting_shaped minecraft:spruce_planks minecraft:spruce_slab minecraft:stick
handcrafted:spruce_corner_trim | minecraft:crafting_shaped | handcrafted:spruce_corner_trim minecraft:crafting_shaped minecraft:spruce_planks
handcrafted:spruce_couch | minecraft:crafting_shaped | handcrafted:cushions handcrafted:spruce_couch minecraft:crafting_shaped minecraft:spruce_planks minecraft:wool
handcrafted:spruce_counter | minecraft:crafting_shaped | handcrafted:chests handcrafted:spruce_counter minecraft:calcite minecraft:crafting_shaped minecraft:spruce_planks
handcrafted:spruce_cupboard | minecraft:crafting_shaped | handcrafted:chests handcrafted:spruce_cupboard minecraft:crafting_shaped minecraft:spruce_planks
handcrafted:spruce_desk | minecraft:crafting_shaped | handcrafted:chests handcrafted:spruce_desk minecraft:crafting_shaped minecraft:spruce_planks minecraft:spruce_slab
handcrafted:spruce_dining_bench | minecraft:crafting_shaped | handcrafted:spruce_dining_bench minecraft:crafting_shaped minecraft:spruce_planks minecraft:spruce_slab
handcrafted:spruce_drawer | minecraft:crafting_shaped | handcrafted:chests handcrafted:spruce_drawer minecraft:crafting_shaped minecraft:spruce_planks minecraft:spruce_slab
handcrafted:spruce_fancy_bed | minecraft:crafting_shaped | handcrafted:cushions handcrafted:sheets handcrafted:spruce_fancy_bed minecraft:crafting_shaped minecraft:spruce_planks minecraft:wool
handcrafted:spruce_nightstand | minecraft:crafting_shaped | handcrafted:chests handcrafted:spruce_nightstand minecraft:crafting_shaped minecraft:spruce_planks
handcrafted:spruce_pillar_trim | minecraft:crafting_shaped | handcrafted:spruce_pillar_trim minecraft:crafting_shaped minecraft:spruce_planks
handcrafted:spruce_shelf | minecraft:crafting_shaped | handcrafted:chests handcrafted:spruce_shelf minecraft:crafting_shaped minecraft:spruce_planks minecraft:spruce_slab
handcrafted:spruce_side_table | minecraft:crafting_shaped | handcrafted:chests handcrafted:spruce_side_table minecraft:crafting_shaped minecraft:spruce_planks minecraft:spruce_slab
handcrafted:spruce_table | minecraft:crafting_shaped | handcrafted:spruce_table minecraft:crafting_shaped minecraft:spruce_planks minecraft:stick
handcrafted:stackable_book | minecraft:crafting_shapeless | handcrafted:stackable_book minecraft:book minecraft:crafting_shapeless
handcrafted:stone_corner_trim | minecraft:crafting_shaped | handcrafted:stone_corner_trim minecraft:crafting_shaped minecraft:stone
handcrafted:stone_pillar_trim | minecraft:crafting_shaped | handcrafted:stone_pillar_trim minecraft:crafting_shaped minecraft:stone
handcrafted:terracotta_bowl | minecraft:crafting_shaped | handcrafted:terracotta_bowl minecraft:crafting_shaped minecraft:terracotta
handcrafted:terracotta_crockery_combo | minecraft:crafting_shapeless | handcrafted:terracotta_crockery_combo handcrafted:terracotta_cup handcrafted:terracotta_plate minecraft:crafting_shapeless
handcrafted:terracotta_cup | minecraft:crafting_shaped | handcrafted:terracotta_cup minecraft:crafting_shaped minecraft:terracotta
handcrafted:terracotta_medium_pot | minecraft:crafting_shaped | handcrafted:terracotta_medium_pot minecraft:crafting_shaped minecraft:terracotta
handcrafted:terracotta_plate | minecraft:crafting_shaped | handcrafted:terracotta_plate minecraft:crafting_shaped minecraft:terracotta
handcrafted:terracotta_thick_pot | minecraft:crafting_shaped | handcrafted:terracotta_thick_pot minecraft:crafting_shaped minecraft:terracotta
handcrafted:terracotta_thin_pot | minecraft:crafting_shaped | handcrafted:terracotta_thin_pot minecraft:crafting_shaped minecraft:terracotta
handcrafted:terracotta_wide_pot | minecraft:crafting_shaped | handcrafted:terracotta_wide_pot minecraft:crafting_shaped minecraft:terracotta
handcrafted:tropical_fish_trophy | minecraft:crafting_shaped | handcrafted:tropical_fish_trophy minecraft:crafting_shaped minecraft:planks minecraft:tropical_fish
handcrafted:vindicator_trophy | minecraft:crafting_shaped | handcrafted:vindicator_trophy minecraft:crafting_shaped minecraft:iron_axe minecraft:stone
handcrafted:warped_bench | minecraft:crafting_shaped | handcrafted:warped_bench minecraft:crafting_shaped minecraft:warped_planks minecraft:warped_slab
handcrafted:warped_chair | minecraft:crafting_shaped | handcrafted:warped_chair minecraft:crafting_shaped minecraft:stick minecraft:warped_planks minecraft:warped_slab
handcrafted:warped_corner_trim | minecraft:crafting_shaped | handcrafted:warped_corner_trim minecraft:crafting_shaped minecraft:warped_planks
handcrafted:warped_couch | minecraft:crafting_shaped | handcrafted:cushions handcrafted:warped_couch minecraft:crafting_shaped minecraft:warped_planks minecraft:wool
handcrafted:warped_counter | minecraft:crafting_shaped | handcrafted:chests handcrafted:warped_counter minecraft:calcite minecraft:crafting_shaped minecraft:warped_planks
handcrafted:warped_cupboard | minecraft:crafting_shaped | handcrafted:chests handcrafted:warped_cupboard minecraft:crafting_shaped minecraft:warped_planks
handcrafted:warped_desk | minecraft:crafting_shaped | handcrafted:chests handcrafted:warped_desk minecraft:crafting_shaped minecraft:warped_planks minecraft:warped_slab
handcrafted:warped_dining_bench | minecraft:crafting_shaped | handcrafted:warped_dining_bench minecraft:crafting_shaped minecraft:warped_planks minecraft:warped_slab
handcrafted:warped_drawer | minecraft:crafting_shaped | handcrafted:chests handcrafted:warped_drawer minecraft:crafting_shaped minecraft:warped_planks minecraft:warped_slab
handcrafted:warped_fancy_bed | minecraft:crafting_shaped | handcrafted:cushions handcrafted:sheets handcrafted:warped_fancy_bed minecraft:crafting_shaped minecraft:warped_planks minecraft:wool
handcrafted:warped_nightstand | minecraft:crafting_shaped | handcrafted:chests handcrafted:warped_nightstand minecraft:crafting_shaped minecraft:warped_planks
handcrafted:warped_pillar_trim | minecraft:crafting_shaped | handcrafted:warped_pillar_trim minecraft:crafting_shaped minecraft:warped_planks
handcrafted:warped_shelf | minecraft:crafting_shaped | handcrafted:chests handcrafted:warped_shelf minecraft:crafting_shaped minecraft:warped_planks minecraft:warped_slab
handcrafted:warped_side_table | minecraft:crafting_shaped | handcrafted:chests handcrafted:warped_side_table minecraft:crafting_shaped minecraft:warped_planks minecraft:warped_slab
handcrafted:warped_table | minecraft:crafting_shaped | handcrafted:warped_table minecraft:crafting_shaped minecraft:stick minecraft:warped_planks
handcrafted:white_bowl | minecraft:crafting_shapeless | handcrafted:terracotta_bowl handcrafted:white_bowl minecraft:crafting_shapeless minecraft:white_dye
handcrafted:white_crockery_combo | minecraft:crafting_shapeless | handcrafted:terracotta_crockery_combo handcrafted:white_crockery_combo minecraft:crafting_shapeless minecraft:white_dye
handcrafted:white_cup | minecraft:crafting_shapeless | handcrafted:terracotta_cup handcrafted:white_cup minecraft:crafting_shapeless minecraft:white_dye
handcrafted:white_cushion | minecraft:crafting_shaped | handcrafted:white_cushion minecraft:crafting_shaped minecraft:feather minecraft:white_wool
handcrafted:white_glazed_medium_pot | minecraft:crafting_shapeless | handcrafted:terracotta_medium_pot handcrafted:white_glazed_medium_pot minecraft:crafting_shapeless minecraft:white_glazed_terracotta
handcrafted:white_glazed_thick_pot | minecraft:crafting_shapeless | handcrafted:terracotta_thick_pot handcrafted:white_glazed_thick_pot minecraft:crafting_shapeless minecraft:white_glazed_terracotta
handcrafted:white_glazed_thin_pot | minecraft:crafting_shapeless | handcrafted:terracotta_thin_pot handcrafted:white_glazed_thin_pot minecraft:crafting_shapeless minecraft:white_glazed_terracotta
handcrafted:white_glazed_wide_pot | minecraft:crafting_shapeless | handcrafted:terracotta_wide_pot handcrafted:white_glazed_wide_pot minecraft:crafting_shapeless minecraft:white_glazed_terracotta
handcrafted:white_plate | minecraft:crafting_shapeless | handcrafted:terracotta_plate handcrafted:white_plate minecraft:crafting_shapeless minecraft:white_dye
handcrafted:white_sheet | minecraft:crafting_shapeless | handcrafted:white_sheet minecraft:crafting_shapeless minecraft:white_wool
handcrafted:witch_trophy | minecraft:crafting_shaped | handcrafted:witch_trophy minecraft:crafting_shaped minecraft:glass_bottle minecraft:stone
handcrafted:wither_skeleton_trophy | minecraft:crafting_shaped | handcrafted:wither_skeleton_trophy minecraft:crafting_shaped minecraft:planks minecraft:wither_skeleton_skull
handcrafted:wolf_trophy | minecraft:crafting_shaped | handcrafted:wolf_trophy minecraft:bone minecraft:crafting_shaped minecraft:planks
handcrafted:wood_bowl | minecraft:crafting_shaped | handcrafted:wood_bowl minecraft:crafting_shaped minecraft:planks minecraft:wooden_slabs
handcrafted:wood_crockery_combo | minecraft:crafting_shapeless | handcrafted:wood_crockery_combo handcrafted:wood_cup handcrafted:wood_plate minecraft:crafting_shapeless
handcrafted:wood_cup | minecraft:crafting_shaped | handcrafted:wood_cup minecraft:crafting_shaped minecraft:wooden_slabs
handcrafted:wood_plate | minecraft:crafting_shaped | handcrafted:wood_plate minecraft:crafting_shaped minecraft:wooden_slabs
handcrafted:yellow_bowl | minecraft:crafting_shapeless | handcrafted:terracotta_bowl handcrafted:yellow_bowl minecraft:crafting_shapeless minecraft:yellow_dye
handcrafted:yellow_crockery_combo | minecraft:crafting_shapeless | handcrafted:terracotta_crockery_combo handcrafted:yellow_crockery_combo minecraft:crafting_shapeless minecraft:yellow_dye
handcrafted:yellow_cup | minecraft:crafting_shapeless | handcrafted:terracotta_cup handcrafted:yellow_cup minecraft:crafting_shapeless minecraft:yellow_dye
handcrafted:yellow_cushion | minecraft:crafting_shaped | handcrafted:yellow_cushion minecraft:crafting_shaped minecraft:feather minecraft:yellow_wool
handcrafted:yellow_plate | minecraft:crafting_shapeless | handcrafted:terracotta_plate handcrafted:yellow_plate minecraft:crafting_shapeless minecraft:yellow_dye
handcrafted:yellow_sheet | minecraft:crafting_shapeless | handcrafted:yellow_sheet minecraft:crafting_shapeless minecraft:yellow_wool
minecraft:black_cushion_from_black_dye | minecraft:crafting_shapeless | handcrafted:black_cushion handcrafted:cushions minecraft:black_dye minecraft:crafting_shapeless
minecraft:black_sheet_from_black_dye | minecraft:crafting_shapeless | handcrafted:black_sheet handcrafted:sheets minecraft:black_dye minecraft:crafting_shapeless
minecraft:blue_cushion_from_blue_dye | minecraft:crafting_shapeless | handcrafted:blue_cushion handcrafted:cushions minecraft:blue_dye minecraft:crafting_shapeless
minecraft:blue_sheet_from_blue_dye | minecraft:crafting_shapeless | handcrafted:blue_sheet handcrafted:sheets minecraft:blue_dye minecraft:crafting_shapeless
minecraft:brown_cushion_from_brown_dye | minecraft:crafting_shapeless | handcrafted:brown_cushion handcrafted:cushions minecraft:brown_dye minecraft:crafting_shapeless
minecraft:brown_sheet_from_brown_dye | minecraft:crafting_shapeless | handcrafted:brown_sheet handcrafted:sheets minecraft:brown_dye minecraft:crafting_shapeless
minecraft:cyan_cushion_from_cyan_dye | minecraft:crafting_shapeless | handcrafted:cushions handcrafted:cyan_cushion minecraft:crafting_shapeless minecraft:cyan_dye
minecraft:cyan_sheet_from_cyan_dye | minecraft:crafting_shapeless | handcrafted:cyan_sheet handcrafted:sheets minecraft:crafting_shapeless minecraft:cyan_dye
minecraft:gray_cushion_from_gray_dye | minecraft:crafting_shapeless | handcrafted:cushions handcrafted:gray_cushion minecraft:crafting_shapeless minecraft:gray_dye
minecraft:gray_sheet_from_gray_dye | minecraft:crafting_shapeless | handcrafted:gray_sheet handcrafted:sheets minecraft:crafting_shapeless minecraft:gray_dye
minecraft:green_cushion_from_green_dye | minecraft:crafting_shapeless | handcrafted:cushions handcrafted:green_cushion minecraft:crafting_shapeless minecraft:green_dye
minecraft:green_sheet_from_green_dye | minecraft:crafting_shapeless | handcrafted:green_sheet handcrafted:sheets minecraft:crafting_shapeless minecraft:green_dye
minecraft:light_blue_cushion_from_light_blue_dye | minecraft:crafting_shapeless | handcrafted:cushions handcrafted:light_blue_cushion minecraft:crafting_shapeless minecraft:light_blue_dye
minecraft:light_blue_sheet_from_light_blue_dye | minecraft:crafting_shapeless | handcrafted:light_blue_sheet handcrafted:sheets minecraft:crafting_shapeless minecraft:light_blue_dye
minecraft:light_gray_cushion_from_light_gray_dye | minecraft:crafting_shapeless | handcrafted:cushions handcrafted:light_gray_cushion minecraft:crafting_shapeless minecraft:light_gray_dye
minecraft:light_gray_sheet_from_light_gray_dye | minecraft:crafting_shapeless | handcrafted:light_gray_sheet handcrafted:sheets minecraft:crafting_shapeless minecraft:light_gray_dye
minecraft:lime_cushion_from_lime_dye | minecraft:crafting_shapeless | handcrafted:cushions handcrafted:lime_cushion minecraft:crafting_shapeless minecraft:lime_dye
minecraft:lime_sheet_from_lime_dye | minecraft:crafting_shapeless | handcrafted:lime_sheet handcrafted:sheets minecraft:crafting_shapeless minecraft:lime_dye
minecraft:magenta_cushion_from_magenta_dye | minecraft:crafting_shapeless | handcrafted:cushions handcrafted:magenta_cushion minecraft:crafting_shapeless minecraft:magenta_dye
minecraft:magenta_sheet_from_magenta_dye | minecraft:crafting_shapeless | handcrafted:magenta_sheet handcrafted:sheets minecraft:crafting_shapeless minecraft:magenta_dye
minecraft:orange_cushion_from_orange_dye | minecraft:crafting_shapeless | handcrafted:cushions handcrafted:orange_cushion minecraft:crafting_shapeless minecraft:orange_dye
minecraft:orange_sheet_from_orange_dye | minecraft:crafting_shapeless | handcrafted:orange_sheet handcrafted:sheets minecraft:crafting_shapeless minecraft:orange_dye
minecraft:pink_cushion_from_pink_dye | minecraft:crafting_shapeless | handcrafted:cushions handcrafted:pink_cushion minecraft:crafting_shapeless minecraft:pink_dye
minecraft:pink_sheet_from_pink_dye | minecraft:crafting_shapeless | handcrafted:pink_sheet handcrafted:sheets minecraft:crafting_shapeless minecraft:pink_dye
minecraft:purple_cushion_from_purple_dye | minecraft:crafting_shapeless | handcrafted:cushions handcrafted:purple_cushion minecraft:crafting_shapeless minecraft:purple_dye
minecraft:purple_sheet_from_purple_dye | minecraft:crafting_shapeless | handcrafted:purple_sheet handcrafted:sheets minecraft:crafting_shapeless minecraft:purple_dye
minecraft:red_cushion_from_red_dye | minecraft:crafting_shapeless | handcrafted:cushions handcrafted:red_cushion minecraft:crafting_shapeless minecraft:red_dye
minecraft:red_sheet_from_red_dye | minecraft:crafting_shapeless | handcrafted:red_sheet handcrafted:sheets minecraft:crafting_shapeless minecraft:red_dye
minecraft:white_cushion_from_white_dye | minecraft:crafting_shapeless | handcrafted:cushions handcrafted:white_cushion minecraft:crafting_shapeless minecraft:white_dye
minecraft:white_sheet_from_white_dye | minecraft:crafting_shapeless | handcrafted:sheets handcrafted:white_sheet minecraft:crafting_shapeless minecraft:white_dye
minecraft:yellow_cushion_from_yellow_dye | minecraft:crafting_shapeless | handcrafted:cushions handcrafted:yellow_cushion minecraft:crafting_shapeless minecraft:yellow_dye
minecraft:yellow_sheet_from_yellow_dye | minecraft:crafting_shapeless | handcrafted:sheets handcrafted:yellow_sheet minecraft:crafting_shapeless minecraft:yellow_dye
