mcwdoors:acacia_bamboo_door | minecraft:crafting_shaped | mcwdoors:acacia_bamboo_door mcwdoors:print_bamboo minecraft:acacia_planks minecraft:crafting_shaped
mcwdoors:mangrove_whispering_door | minecraft:crafting_shaped | mcwdoors:mangrove_whispering_door mcwdoors:print_whispering minecraft:crafting_shaped minecraft:mangrove_planks
mcwdoors:metal_door | minecraft:crafting_shaped | mcwdoors:metal_door minecraft:crafting_shaped minecraft:iron_ingot minecraft:iron_nugget
mcwdoors:metal_hospital_door | minecraft:crafting_shaped | mcwdoors:metal_hospital_door minecraft:crafting_shaped minecraft:glass_pane minecraft:iron_ingot minecraft:iron_nugget
mcwdoors:metal_reinforced_door | minecraft:crafting_shaped | mcwdoors:metal_door mcwdoors:metal_reinforced_door minecraft:crafting_shaped minecraft:iron_nugget
mcwdoors:metal_warning_door | minecraft:crafting_shaped | mcwdoors:metal_warning_door mcwdoors:metal_windowed_door minecraft:crafting_shaped minecraft:iron_nugget
mcwdoors:metal_windowed_door | minecraft:crafting_shaped | mcwdoors:metal_door mcwdoors:metal_windowed_door minecraft:crafting_shaped minecraft:glass_pane
mcwdoors:oak_bamboo_door | minecraft:crafting_shaped | mcwdoors:oak_bamboo_door mcwdoors:print_bamboo minecraft:crafting_shaped minecraft:oak_planks
mcwdoors:oak_bark_glass_door | minecraft:crafting_shaped | mcwdoors:oak_bark_glass_door minecraft:crafting_shaped minecraft:glass minecraft:oak_log
mcwdoors:oak_barn_door | minecraft:crafting_shaped | mcwdoors:oak_barn_door minecraft:crafting_shaped minecraft:oak_planks minecraft:stick
mcwdoors:oak_barn_glass_door | minecraft:crafting_shaped | mcwdoors:oak_barn_glass_door minecraft:crafting_shaped minecraft:glass_pane minecraft:oak_planks
mcwdoors:oak_beach_door | minecraft:crafting_shaped | mcwdoors:oak_beach_door mcwdoors:print_jungle minecraft:crafting_shaped minecraft:oak_planks
mcwdoors:oak_cottage_door | minecraft:crafting_shaped | mcwdoors:oak_cottage_door mcwdoors:print_spruce minecraft:crafting_shaped minecraft:oak_planks
mcwdoors:oak_four_panel_door | minecraft:crafting_shaped | mcwdoors:oak_four_panel_door mcwdoors:print_dark_oak minecraft:crafting_shaped minecraft:oak_planks
mcwdoors:oak_glass_door | minecraft:crafting_shaped | mcwdoors:oak_glass_door minecraft:crafting_shaped minecraft:glass_pane minecraft:oak_planks
mcwdoors:oak_japanese2_door | minecraft:crafting_shaped | mcwdoors:oak_japanese2_door minecraft:crafting_shaped minecraft:oak_slab minecraft:paper
mcwdoors:oak_japanese_door | minecraft:crafting_shaped | mcwdoors:oak_japanese_door minecraft:crafting_shaped minecraft:oak_planks minecraft:paper
mcwdoors:oak_modern_door | minecraft:crafting_shaped | mcwdoors:oak_modern_door minecraft:crafting_shaped minecraft:glass_pane minecraft:oak_planks
mcwdoors:oak_mystic_door | minecraft:crafting_shaped | mcwdoors:oak_mystic_door mcwdoors:print_mystic minecraft:crafting_shaped minecraft:oak_planks
mcwdoors:oak_nether_door | minecraft:crafting_shaped | mcwdoors:oak_nether_door mcwdoors:print_nether minecraft:crafting_shaped minecraft:oak_planks
mcwdoors:oak_paper_door | minecraft:crafting_shaped | mcwdoors:oak_paper_door mcwdoors:print_birch minecraft:crafting_shaped minecraft:oak_planks
mcwdoors:oak_stable_door | minecraft:crafting_shaped | mcwdoors:oak_stable_door minecraft:crafting_shaped minecraft:iron_bars minecraft:oak_planks
mcwdoors:oak_stable_head_door | minecraft:crafting_shaped | mcwdoors:oak_stable_door mcwdoors:oak_stable_head_door minecraft:crafting_shaped
mcwdoors:oak_swamp_door | minecraft:crafting_shaped | mcwdoors:oak_swamp_door mcwdoors:print_swamp minecraft:crafting_shaped minecraft:oak_planks
mcwdoors:oak_tropical_door | minecraft:crafting_shaped | mcwdoors:oak_tropical_door mcwdoors:print_acacia minecraft:crafting_shaped minecraft:oak_planks
mcwdoors:oak_waffle_door | minecraft:crafting_shaped | mcwdoors:oak_waffle_door mcwdoors:print_waffle minecraft:crafting_shaped minecraft:oak_planks
mcwdoors:oak_western_door | minecraft:crafting_shaped | mcwdoors:oak_western_door minecraft:crafting_shaped minecraft:oak_planks minecraft:oak_slab
mcwdoors:oak_whispering_door | minecraft:crafting_shaped | mcwdoors:oak_whispering_door mcwdoors:print_whispering minecraft:crafting_shaped minecraft:oak_planks
mcwdoors:print_acacia | minecraft:crafting_shaped | mcwdoors:print_acacia minecraft:acacia_door minecraft:crafting_shaped minecraft:paper
mcwdoors:print_bamboo | minecraft:crafting_shaped | mcwdoors:print_bamboo minecraft:bamboo_door minecraft:crafting_shaped minecraft:paper
mcwdoors:print_birch | minecraft:crafting_shaped | mcwdoors:print_birch minecraft:birch_door minecraft:crafting_shaped minecraft:paper
mcwdoors:print_dark_oak | minecraft:crafting_shaped | mcwdoors:print_dark_oak minecraft:crafting_shaped minecraft:dark_oak_door minecraft:paper
mcwdoors:print_jungle | minecraft:crafting_shaped | mcwdoors:print_jungle minecraft:crafting_shaped minecraft:jungle_door minecraft:paper
mcwdoors:print_mystic | minecraft:crafting_shaped | mcwdoors:print_mystic minecraft:crafting_shaped minecraft:paper minecraft:warped_door
mcwdoors:print_nether | minecraft:crafting_shaped | mcwdoors:print_nether minecraft:crafting_shaped minecraft:crimson_door minecraft:paper
mcwdoors:print_oak | minecraft:crafting_shaped | mcwdoors:print_oak minecraft:crafting_shaped minecraft:oak_door minecraft:paper
mcwdoors:print_spruce | minecraft:crafting_shaped | mcwdoors:print_spruce minecraft:crafting_shaped minecraft:paper minecraft:spruce_door
mcwdoors:print_swamp | minecraft:crafting_shaped | mcwdoors:print_swamp minecraft:crafting_shaped minecraft:mangrove_door minecraft:paper
mcwdoors:print_waffle | minecraft:crafting_shaped | mcwdoors:print_waffle minecraft:cherry_door minecraft:crafting_shaped minecraft:paper
mcwdoors:print_whispering | minecraft:crafting_shaped | mcwdoors:print_whispering minecraft:crafting_shaped minecraft:paper minecraft:string
mcwdoors:sliding_glass_door | minecraft:crafting_shaped | mcwdoors:sliding_glass_door minecraft:crafting_shaped minecraft:glass_pane minecraft:iron_ingot
mcwdoors:spruce_bamboo_door | minecraft:crafting_shaped | mcwdoors:print_bamboo mcwdoors:spruce_bamboo_door minecraft:crafting_shaped minecraft:spruce_planks
mcwdoors:spruce_bark_glass_door | minecraft:crafting_shaped | mcwdoors:spruce_bark_glass_door minecraft:crafting_shaped minecraft:glass minecraft:spruce_log
mcwdoors:spruce_barn_door | minecraft:crafting_shaped | mcwdoors:spruce_barn_door minecraft:crafting_shaped minecraft:spruce_planks minecraft:stick
mcwdoors:spruce_barn_glass_door | minecraft:crafting_shaped | mcwdoors:spruce_barn_glass_door minecraft:crafting_shaped minecraft:glass_pane minecraft:spruce_planks
mcwdoors:spruce_beach_door | minecraft:crafting_shaped | mcwdoors:print_jungle mcwdoors:spruce_beach_door minecraft:crafting_shaped minecraft:spruce_planks
mcwdoors:spruce_classic_door | minecraft:crafting_shaped | mcwdoors:print_oak mcwdoors:spruce_classic_door minecraft:crafting_shaped minecraft:spruce_planks
mcwdoors:spruce_four_panel_door | minecraft:crafting_shaped | mcwdoors:print_dark_oak mcwdoors:spruce_four_panel_door minecraft:crafting_shaped minecraft:spruce_planks
mcwdoors:spruce_glass_door | minecraft:crafting_shaped | mcwdoors:spruce_glass_door minecraft:crafting_shaped minecraft:glass_pane minecraft:spruce_planks
mcwdoors:spruce_japanese2_door | minecraft:crafting_shaped | mcwdoors:spruce_japanese2_door minecraft:crafting_shaped minecraft:paper minecraft:spruce_slab
mcwdoors:spruce_japanese_door | minecraft:crafting_shaped | mcwdoors:spruce_japanese_door minecraft:crafting_shaped minecraft:paper minecraft:spruce_planks
mcwdoors:spruce_modern_door | minecraft:crafting_shaped | mcwdoors:spruce_modern_door minecraft:crafting_shaped minecraft:glass_pane minecraft:spruce_planks
mcwdoors:spruce_mystic_door | minecraft:crafting_shaped | mcwdoors:print_mystic mcwdoors:spruce_mystic_door minecraft:crafting_shaped minecraft:spruce_planks
mcwdoors:spruce_nether_door | minecraft:crafting_shaped | mcwdoors:print_nether mcwdoors:spruce_nether_door minecraft:crafting_shaped minecraft:spruce_planks
mcwdoors:spruce_paper_door | minecraft:crafting_shaped | mcwdoors:print_birch mcwdoors:spruce_paper_door minecraft:crafting_shaped minecraft:spruce_planks
mcwdoors:spruce_stable_door | minecraft:crafting_shaped | mcwdoors:spruce_stable_door minecraft:crafting_shaped minecraft:iron_bars minecraft:spruce_planks
mcwdoors:spruce_stable_head_door | minecraft:crafting_shaped | mcwdoors:spruce_stable_door mcwdoors:spruce_stable_head_door minecraft:crafting_shaped
mcwdoors:spruce_swamp_door | minecraft:crafting_shaped | mcwdoors:print_swamp mcwdoors:spruce_swamp_door minecraft:crafting_shaped minecraft:spruce_planks
mcwdoors:spruce_tropical_door | minecraft:crafting_shaped | mcwdoors:print_acacia mcwdoors:spruce_tropical_door minecraft:crafting_shaped minecraft:spruce_planks
mcwdoors:spruce_waffle_door | minecraft:crafting_shaped | mcwdoors:print_waffle mcwdoors:spruce_waffle_door minecraft:crafting_shaped minecraft:spruce_planks
mcwdoors:spruce_western_door | minecraft:crafting_shaped | mcwdoors:spruce_western_door minecraft:crafting_shaped minecraft:spruce_planks minecraft:spruce_slab
mcwdoors:spruce_whispering_door | minecraft:crafting_shaped | mcwdoors:print_whispering mcwdoors:spruce_whispering_door minecraft:crafting_shaped minecraft:spruce_planks
mcwdoors:store_door | minecraft:crafting_shaped | mcwdoors:store_door minecraft:crafting_shaped minecraft:glass_pane minecraft:iron_ingot
mcwdoors:warped_bamboo_door | minecraft:crafting_shaped | mcwdoors:print_bamboo mcwdoors:warped_bamboo_door minecraft:crafting_shaped minecraft:warped_planks
mcwdoors:warped_barn_door | minecraft:crafting_shaped | mcwdoors:warped_barn_door minecraft:crafting_shaped minecraft:stick minecraft:warped_planks
mcwdoors:warped_barn_glass_door | minecraft:crafting_shaped | mcwdoors:warped_barn_glass_door minecraft:crafting_shaped minecraft:glass_pane minecraft:warped_planks
mcwdoors:warped_beach_door | minecraft:crafting_shaped | mcwdoors:print_jungle mcwdoors:warped_beach_door minecraft:crafting_shaped minecraft:warped_planks
mcwdoors:warped_classic_door | minecraft:crafting_shaped | mcwdoors:print_oak mcwdoors:warped_classic_door minecraft:crafting_shaped minecraft:warped_planks
mcwdoors:warped_cottage_door | minecraft:crafting_shaped | mcwdoors:print_spruce mcwdoors:warped_cottage_door minecraft:crafting_shaped minecraft:warped_planks
mcwdoors:warped_four_panel_door | minecraft:crafting_shaped | mcwdoors:print_dark_oak mcwdoors:warped_four_panel_door minecraft:crafting_shaped minecraft:warped_planks
mcwdoors:warped_glass_door | minecraft:crafting_shaped | mcwdoors:warped_glass_door minecraft:crafting_shaped minecraft:glass_pane minecraft:warped_planks
mcwdoors:warped_japanese2_door | minecraft:crafting_shaped | mcwdoors:warped_japanese2_door minecraft:crafting_shaped minecraft:paper minecraft:warped_slab
mcwdoors:warped_japanese_door | minecraft:crafting_shaped | mcwdoors:warped_japanese_door minecraft:crafting_shaped minecraft:paper minecraft:warped_planks
mcwdoors:warped_modern_door | minecraft:crafting_shaped | mcwdoors:warped_modern_door minecraft:crafting_shaped minecraft:glass_pane minecraft:warped_planks
mcwdoors:warped_nether_door | minecraft:crafting_shaped | mcwdoors:print_nether mcwdoors:warped_nether_door minecraft:crafting_shaped minecraft:warped_planks
mcwdoors:warped_paper_door | minecraft:crafting_shaped | mcwdoors:print_birch mcwdoors:warped_paper_door minecraft:crafting_shaped minecraft:warped_planks
mcwdoors:warped_stable_door | minecraft:crafting_shaped | mcwdoors:warped_stable_door minecraft:crafting_shaped minecraft:iron_bars minecraft:warped_planks
mcwdoors:warped_stable_head_door | minecraft:crafting_shaped | mcwdoors:warped_stable_door mcwdoors:warped_stable_head_door minecraft:crafting_shaped
mcwdoors:warped_stem_glass_door | minecraft:crafting_shaped | mcwdoors:warped_stem_glass_door minecraft:crafting_shaped minecraft:glass minecraft:warped_stem
mcwdoors:warped_swamp_door | minecraft:crafting_shaped | mcwdoors:print_swamp mcwdoors:warped_swamp_door minecraft:crafting_shaped minecraft:warped_planks
mcwdoors:warped_tropical_door | minecraft:crafting_shaped | mcwdoors:print_acacia mcwdoors:warped_tropical_door minecraft:crafting_shaped minecraft:warped_planks
mcwdoors:warped_waffle_door | minecraft:crafting_shaped | mcwdoors:print_waffle mcwdoors:warped_waffle_door minecraft:crafting_shaped minecraft:warped_planks
mcwdoors:warped_western_door | minecraft:crafting_shaped | mcwdoors:warped_western_door minecraft:crafting_shaped minecraft:warped_planks minecraft:warped_slab
mcwdoors:warped_whispering_door | minecraft:crafting_shaped | mcwdoors:print_whispering mcwdoors:warped_whispering_door minecraft:crafting_shaped minecraft:warped_planks
mcwdoors:wooden_portcullis | minecraft:crafting_shaped | mcwdoors:wooden_portcullis minecraft:crafting_shaped minecraft:iron_ingot minecraft:wooden_fences
