minecraft:golem_slicing_axe | minecraft:smithing_transform | minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform minecraft:stonecutter modulargolems:diamond_golem_axe modulargolems:golem_slicing_axe
modulargolems:metal_golem_body_from_metal_golem_template_stonecutting | minecraft:stonecutting | minecraft:stonecutting modulargolems:metal_golem_body modulargolems:metal_golem_template
modulargolems:metal_golem_holder | modulargolems:golem_assemble | modulargolems:golem_assemble modulargolems:metal_golem_arm modulargolems:metal_golem_body modulargolems:metal_golem_holder modulargolems:metal_golem_legs
modulargolems:metal_golem_holder_replace_body | modulargolems:golem_replace_part | modulargolems:golem_replace_part modulargolems:metal_golem_body modulargolems:metal_golem_holder
modulargolems:metal_golem_holder_replace_left_arm | modulargolems:golem_replace_part | modulargolems:golem_replace_part modulargolems:metal_golem_arm modulargolems:metal_golem_holder
modulargolems:metal_golem_holder_replace_legs | modulargolems:golem_replace_part | modulargolems:golem_replace_part modulargolems:metal_golem_holder modulargolems:metal_golem_legs
modulargolems:metal_golem_holder_replace_right_arm | modulargolems:golem_replace_part | modulargolems:golem_replace_part modulargolems:metal_golem_arm modulargolems:metal_golem_holder
modulargolems:metal_golem_legs_from_metal_golem_template_stonecutting | minecraft:stonecutting | minecraft:stonecutting modulargolems:metal_golem_legs modulargolems:metal_golem_template
modulargolems:metal_golem_template | minecraft:crafting_shaped | minecraft:clay_ball minecraft:copper_ingot minecraft:crafting_shaped minecraft:stick modulargolems:metal_golem_template
modulargolems:monstrosity_chestplate | minecraft:smithing_transform | cataclysm:monstrous_horn minecraft:smithing_transform modulargolems:barbaric_vanguard_chestplate modulargolems:monstrosity_chestplate modulargolems:monstrosity_upgrade_template neoforge:mod_loaded
modulargolems:monstrosity_helmet | minecraft:smithing_transform | cataclysm:monstrous_horn minecraft:smithing_transform modulargolems:barbaric_vanguard_helmet modulargolems:monstrosity_helmet modulargolems:monstrosity_upgrade_template neoforge:mod_loaded
modulargolems:monstrosity_shinguard | minecraft:smithing_transform | cataclysm:monstrous_horn minecraft:smithing_transform modulargolems:barbaric_vanguard_shinguard modulargolems:monstrosity_shinguard modulargolems:monstrosity_upgrade_template neoforge:mod_loaded
modulargolems:monstrosity_upgrade_template | minecraft:crafting_shaped | cataclysm:lava_power_cell minecraft:blackstone minecraft:crafting_shaped minecraft:gold_ingot minecraft:netherite_upgrade_smithing_template modulargolems:monstrosity_upgrade_template neoforge:mod_loaded
modulargolems:mount_upgrade | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:saddle modulargolems:empty_upgrade modulargolems:mount_upgrade
modulargolems:naga | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:empty_upgrade modulargolems:naga neoforge:mod_loaded twilightforest:naga_scale
modulargolems:naga_boots | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:metal_golem_template modulargolems:naga_boots neoforge:mod_loaded twilightforest:ironwood_ingot twilightforest:naga_scale
modulargolems:naga_chestplate | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:metal_golem_template modulargolems:naga_chestplate neoforge:mod_loaded twilightforest:ironwood_ingot twilightforest:naga_chestplate twilightforest:naga_scale
modulargolems:naga_helmet | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:metal_golem_template modulargolems:naga_helmet neoforge:mod_loaded twilightforest:ironwood_ingot twilightforest:naga_scale twilightforest:naga_trophy
modulargolems:naga_shinguard | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:metal_golem_template modulargolems:naga_shinguard neoforge:mod_loaded twilightforest:ironwood_ingot twilightforest:naga_leggings
modulargolems:netherite | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diamond minecraft:netherite_ingot modulargolems:empty_upgrade modulargolems:netherite
modulargolems:netherite_expansion_template | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:nether_star minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template modulargolems:empty_upgrade modulargolems:netherite_expansion_template
modulargolems:netherite_golem_axe | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform modulargolems:diamond_golem_axe modulargolems:netherite_golem_axe
modulargolems:netherite_golem_spear | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform modulargolems:diamond_golem_spear modulargolems:netherite_golem_spear
modulargolems:netherite_golem_sword | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform modulargolems:diamond_golem_sword modulargolems:netherite_golem_sword
modulargolems:netherite_mecha_bow | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform modulargolems:iron_mecha_bow modulargolems:netherite_mecha_bow
modulargolems:netherite_monstrosity_earthquake | minecraft:crafting_shapeless | cataclysm:infernal_forge minecraft:crafting_shapeless modulargolems:empty_upgrade modulargolems:netherite_monstrosity_earthquake neoforge:mod_loaded
modulargolems:omnipotent_wand_command | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:gold_ingot minecraft:redstone_block modulargolems:command_wand modulargolems:omnipotent_wand_command modulargolems:retrieval_wand modulargolems:rider_wand modulargolems:summon_wand
modulargolems:orange_config_card | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:orange_dye modulargolems:config_card modulargolems:orange_config_card
modulargolems:patrol_path_recorder | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:ink_sac minecraft:map modulargolems:metal_golem_template modulargolems:patrol_path_recorder
modulargolems:pickup | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:ender_pearl minecraft:hopper minecraft:lava_bucket modulargolems:empty_upgrade modulargolems:pickup
modulargolems:pickup_mending | minecraft:crafting_shapeless | l2core:enchantment minecraft:crafting_shapeless minecraft:mending modulargolems:empty_upgrade modulargolems:pickup_mending
modulargolems:pickup_no_destroy | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:zombie_head modulargolems:empty_upgrade modulargolems:pickup_no_destroy
modulargolems:pink_config_card | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:pink_dye modulargolems:config_card modulargolems:pink_config_card
modulargolems:player | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:shield modulargolems:empty_upgrade modulargolems:player
modulargolems:purple_config_card | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:purple_dye modulargolems:config_card modulargolems:purple_config_card
modulargolems:push | minecraft:crafting_shaped | create:extendo_grip create:precision_mechanism minecraft:crafting_shaped modulargolems:empty_upgrade modulargolems:push neoforge:mod_loaded
modulargolems:quartz | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:quartz minecraft:quartz_block modulargolems:empty_upgrade modulargolems:quartz
modulargolems:recycle | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:ender_pearl minecraft:respawn_anchor minecraft:totem_of_undying modulargolems:empty_upgrade modulargolems:recycle
modulargolems:recycle_upgrade_from_life_charm | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:ender_pearl minecraft:respawn_anchor modulargolems:empty_upgrade modulargolems:recycle neoforge:mod_loaded twilightforest:charm_of_life_1 twilightforest:charm_of_life_2
modulargolems:recycle_upgrade_from_lock_charm_2 | minecraft:crafting_shaped | l2core:enchantment minecraft:crafting_shaped minecraft:infinity minecraft:mending minecraft:unbreaking modulargolems:empty_upgrade modulargolems:recycle neoforge:mod_loaded twilightforest:charm_of_keeping_2
modulargolems:recycle_upgrade_from_lock_charm_3 | minecraft:crafting_shapeless | minecraft:crafting_shapeless modulargolems:empty_upgrade modulargolems:recycle neoforge:mod_loaded twilightforest:charm_of_keeping_3
modulargolems:red_config_card | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:red_dye modulargolems:config_card modulargolems:red_config_card
modulargolems:retrieval_wand | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:ender_pearl minecraft:stick modulargolems:metal_golem_template modulargolems:retrieval_wand
modulargolems:rider_wand | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick minecraft:white_banner modulargolems:metal_golem_template modulargolems:rider_wand
modulargolems:roman_guard_chestplate | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:iron_chestplate minecraft:redstone modulargolems:metal_golem_template modulargolems:roman_guard_chestplate
modulargolems:roman_guard_helmet | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:iron_helmet minecraft:redstone modulargolems:metal_golem_template modulargolems:roman_guard_helmet
modulargolems:roman_guard_shinguard | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:iron_leggings minecraft:redstone modulargolems:metal_golem_template modulargolems:roman_guard_shinguard
modulargolems:scylla_lightning_upgrade | minecraft:crafting_shaped | cataclysm:essence_of_the_storm cataclysm:lacrima minecraft:crafting_shaped modulargolems:empty_upgrade modulargolems:scylla_lightning_upgrade neoforge:mod_loaded
modulargolems:sequenced_assembly/allthemodium_assemble_dog_golem_body | create:sequenced_assembly | allthemodium:allthemodium allthemodium:allthemodium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/allthemodium_assemble_dog_golem_legs | create:sequenced_assembly | allthemodium:allthemodium allthemodium:allthemodium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/allthemodium_assemble_humanoid_golem_arms | create:sequenced_assembly | allthemodium:allthemodium allthemodium:allthemodium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/allthemodium_assemble_humanoid_golem_body | create:sequenced_assembly | allthemodium:allthemodium allthemodium:allthemodium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/allthemodium_assemble_humanoid_golem_legs | create:sequenced_assembly | allthemodium:allthemodium allthemodium:allthemodium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/allthemodium_assemble_metal_golem_arm | create:sequenced_assembly | allthemodium:allthemodium allthemodium:allthemodium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/allthemodium_assemble_metal_golem_body | create:sequenced_assembly | allthemodium:allthemodium allthemodium:allthemodium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/allthemodium_assemble_metal_golem_legs | create:sequenced_assembly | allthemodium:allthemodium allthemodium:allthemodium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/ancient_metal_assemble_dog_golem_body | create:sequenced_assembly | cataclysm:ancient_metal cataclysm:ancient_metal_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/ancient_metal_assemble_dog_golem_legs | create:sequenced_assembly | cataclysm:ancient_metal cataclysm:ancient_metal_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/ancient_metal_assemble_humanoid_golem_arms | create:sequenced_assembly | cataclysm:ancient_metal cataclysm:ancient_metal_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/ancient_metal_assemble_humanoid_golem_body | create:sequenced_assembly | cataclysm:ancient_metal cataclysm:ancient_metal_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/ancient_metal_assemble_humanoid_golem_legs | create:sequenced_assembly | cataclysm:ancient_metal cataclysm:ancient_metal_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/ancient_metal_assemble_metal_golem_arm | create:sequenced_assembly | cataclysm:ancient_metal cataclysm:ancient_metal_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/ancient_metal_assemble_metal_golem_body | create:sequenced_assembly | cataclysm:ancient_metal cataclysm:ancient_metal_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/ancient_metal_assemble_metal_golem_legs | create:sequenced_assembly | cataclysm:ancient_metal cataclysm:ancient_metal_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/andesite_alloy_assemble_dog_golem_body | create:sequenced_assembly | create:andesite_alloy create:cogwheel create:deploying create:pressing create:sequenced_assembly create:wrench modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/andesite_alloy_assemble_dog_golem_legs | create:sequenced_assembly | create:andesite_alloy create:cogwheel create:deploying create:pressing create:sequenced_assembly create:wrench modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/andesite_alloy_assemble_humanoid_golem_arms | create:sequenced_assembly | create:andesite_alloy create:cogwheel create:deploying create:pressing create:sequenced_assembly create:wrench modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/andesite_alloy_assemble_humanoid_golem_body | create:sequenced_assembly | create:andesite_alloy create:cogwheel create:deploying create:pressing create:sequenced_assembly create:wrench modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/andesite_alloy_assemble_humanoid_golem_legs | create:sequenced_assembly | create:andesite_alloy create:cogwheel create:deploying create:pressing create:sequenced_assembly create:wrench modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/andesite_alloy_assemble_metal_golem_arm | create:sequenced_assembly | create:andesite_alloy create:cogwheel create:deploying create:pressing create:sequenced_assembly create:wrench modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/andesite_alloy_assemble_metal_golem_body | create:sequenced_assembly | create:andesite_alloy create:cogwheel create:deploying create:pressing create:sequenced_assembly create:wrench modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/andesite_alloy_assemble_metal_golem_legs | create:sequenced_assembly | create:andesite_alloy create:cogwheel create:deploying create:pressing create:sequenced_assembly create:wrench modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/brass_assemble_dog_golem_body | create:sequenced_assembly | c:ingots/brass create:brass create:deploying create:precision_mechanism create:pressing create:sequenced_assembly create:wrench modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/brass_assemble_dog_golem_legs | create:sequenced_assembly | c:ingots/brass create:brass create:deploying create:precision_mechanism create:pressing create:sequenced_assembly create:wrench modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/brass_assemble_humanoid_golem_arms | create:sequenced_assembly | c:ingots/brass create:brass create:deploying create:precision_mechanism create:pressing create:sequenced_assembly create:wrench modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/brass_assemble_humanoid_golem_body | create:sequenced_assembly | c:ingots/brass create:brass create:deploying create:precision_mechanism create:pressing create:sequenced_assembly create:wrench modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/brass_assemble_humanoid_golem_legs | create:sequenced_assembly | c:ingots/brass create:brass create:deploying create:precision_mechanism create:pressing create:sequenced_assembly create:wrench modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/brass_assemble_metal_golem_arm | create:sequenced_assembly | c:ingots/brass create:brass create:deploying create:precision_mechanism create:pressing create:sequenced_assembly create:wrench modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/brass_assemble_metal_golem_body | create:sequenced_assembly | c:ingots/brass create:brass create:deploying create:precision_mechanism create:pressing create:sequenced_assembly create:wrench modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/brass_assemble_metal_golem_legs | create:sequenced_assembly | c:ingots/brass create:brass create:deploying create:precision_mechanism create:pressing create:sequenced_assembly create:wrench modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/cardboard_assemble_dog_golem_body | create:sequenced_assembly | create:cardboard create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/cardboard_assemble_dog_golem_legs | create:sequenced_assembly | create:cardboard create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/cardboard_assemble_humanoid_golem_arms | create:sequenced_assembly | create:cardboard create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/cardboard_assemble_humanoid_golem_body | create:sequenced_assembly | create:cardboard create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/cardboard_assemble_humanoid_golem_legs | create:sequenced_assembly | create:cardboard create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/cardboard_assemble_metal_golem_arm | create:sequenced_assembly | create:cardboard create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/cardboard_assemble_metal_golem_body | create:sequenced_assembly | create:cardboard create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/cardboard_assemble_metal_golem_legs | create:sequenced_assembly | create:cardboard create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/chaotic_assemble_dog_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2hostility:chaos_ingot l2hostility:chaotic modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/chaotic_assemble_dog_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2hostility:chaos_ingot l2hostility:chaotic modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/chaotic_assemble_humanoid_golem_arms | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2hostility:chaos_ingot l2hostility:chaotic modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/chaotic_assemble_humanoid_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2hostility:chaos_ingot l2hostility:chaotic modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/chaotic_assemble_humanoid_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2hostility:chaos_ingot l2hostility:chaotic modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/chaotic_assemble_metal_golem_arm | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2hostility:chaos_ingot l2hostility:chaotic modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/chaotic_assemble_metal_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2hostility:chaos_ingot l2hostility:chaotic modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/chaotic_assemble_metal_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2hostility:chaos_ingot l2hostility:chaotic modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/copper_assemble_dog_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:copper_ingot modulargolems:copper modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/copper_assemble_dog_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:copper_ingot modulargolems:copper modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/copper_assemble_humanoid_golem_arms | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:copper_ingot modulargolems:copper modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/copper_assemble_humanoid_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:copper_ingot modulargolems:copper modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/copper_assemble_humanoid_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:copper_ingot modulargolems:copper modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/copper_assemble_metal_golem_arm | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:copper_ingot modulargolems:copper modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/copper_assemble_metal_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:copper_ingot modulargolems:copper modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/copper_assemble_metal_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:copper_ingot modulargolems:copper modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/cursium_assemble_dog_golem_body | create:sequenced_assembly | cataclysm:cursium cataclysm:cursium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/cursium_assemble_dog_golem_legs | create:sequenced_assembly | cataclysm:cursium cataclysm:cursium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/cursium_assemble_humanoid_golem_arms | create:sequenced_assembly | cataclysm:cursium cataclysm:cursium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/cursium_assemble_humanoid_golem_body | create:sequenced_assembly | cataclysm:cursium cataclysm:cursium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/cursium_assemble_humanoid_golem_legs | create:sequenced_assembly | cataclysm:cursium cataclysm:cursium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/cursium_assemble_metal_golem_arm | create:sequenced_assembly | cataclysm:cursium cataclysm:cursium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/cursium_assemble_metal_golem_body | create:sequenced_assembly | cataclysm:cursium cataclysm:cursium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/cursium_assemble_metal_golem_legs | create:sequenced_assembly | cataclysm:cursium cataclysm:cursium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/ender_guardian_assemble_dog_golem_body | create:sequenced_assembly | cataclysm:ender_guardian create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body modulargolems:void_construct neoforge:mod_loaded
modulargolems:sequenced_assembly/ender_guardian_assemble_dog_golem_legs | create:sequenced_assembly | cataclysm:ender_guardian create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs modulargolems:void_construct neoforge:mod_loaded
modulargolems:sequenced_assembly/ender_guardian_assemble_humanoid_golem_arms | create:sequenced_assembly | cataclysm:ender_guardian create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms modulargolems:void_construct neoforge:mod_loaded
modulargolems:sequenced_assembly/ender_guardian_assemble_humanoid_golem_body | create:sequenced_assembly | cataclysm:ender_guardian create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body modulargolems:void_construct neoforge:mod_loaded
modulargolems:sequenced_assembly/ender_guardian_assemble_humanoid_golem_legs | create:sequenced_assembly | cataclysm:ender_guardian create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs modulargolems:void_construct neoforge:mod_loaded
modulargolems:sequenced_assembly/ender_guardian_assemble_metal_golem_arm | create:sequenced_assembly | cataclysm:ender_guardian create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm modulargolems:void_construct neoforge:mod_loaded
modulargolems:sequenced_assembly/ender_guardian_assemble_metal_golem_body | create:sequenced_assembly | cataclysm:ender_guardian create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body modulargolems:void_construct neoforge:mod_loaded
modulargolems:sequenced_assembly/ender_guardian_assemble_metal_golem_legs | create:sequenced_assembly | cataclysm:ender_guardian create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs modulargolems:void_construct neoforge:mod_loaded
